SA4_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
111,4439,3211,2386,1722,663,152,16165,145,1102,1450,1361,1312,1171,335,52,6931,3068,13700,11937,8637,5928,4755,1935,476,50437,1343,4711,5579,6192,5573,3830,1795,513,29536,6128,12711,11242,11393,10980,7389,3595,1155,64593,949,720,637,655,640,489,176,45,4306,428,570,689,1171,1509,1539,823,255,6987,7494,13997,12573,13228,13126,9411,4597,1455,75889,142,221,235,284,350,389,298,112,2023,2634,2800,2506,2432,2534,3034,3195,2316,21448,14976,39988,38714,35346,31202,24321,12812,5064,202428
112,1754,1687,1573,1390,420,57,8100,47,466,875,951,1048,991,236,45,4662,830,5557,6950,6207,4962,4374,1452,344,30676,634,2541,3480,4087,4407,3575,1445,399,20574,3056,6356,6876,7415,8270,5755,2460,706,40887,456,440,398,445,518,397,109,31,2791,219,389,574,758,1111,1124,520,167,4863,3734,7177,7848,8617,9894,7273,3092,900,48541,65,130,147,179,277,347,215,110,1469,2395,2678,2926,2951,3278,3421,2848,1983,22477,7732,19735,23989,24684,25442,21377,9713,3836,136505
113,853,675,558,342,106,31,3492,41,364,440,495,414,340,78,10,2187,851,3965,3431,2616,1758,1277,506,126,14524,492,1641,1796,1935,1885,1249,545,162,9710,2836,5591,4956,4584,4491,2662,983,273,26375,388,415,282,310,331,197,56,12,1994,153,271,307,473,583,512,201,61,2558,3372,6282,5544,5373,5405,3369,1243,346,30925,63,112,95,83,128,123,91,35,727,1912,2094,1900,1911,1902,1860,1524,895,13995,6775,15347,14061,13082,12051,8552,4092,1601,75564
114,1060,1094,1155,1264,501,108,6029,34,324,453,496,684,736,221,15,2970,548,2873,3195,3063,3134,3001,1339,309,17463,350,1377,1906,2441,2827,2567,1297,306,13070,2099,4760,4485,4688,5322,4170,2162,567,28258,262,271,277,281,386,314,105,28,1928,149,224,300,477,760,931,518,120,3477,2509,5258,5058,5451,6478,5407,2786,715,33662,33,73,88,106,171,288,198,68,1034,1287,1397,1394,1498,1612,1913,1790,1071,11954,4806,12120,13154,14146,16063,15172,8132,2596,86177
115,8571,5220,3215,1813,545,117,23046,102,589,1239,1274,944,765,222,42,5177,3175,9370,13286,10405,6920,4664,1648,416,49891,1231,2416,4306,5478,4247,2947,1275,363,22255,2676,4185,4551,5717,4853,2954,1707,428,27068,283,201,240,357,363,256,102,25,1833,246,292,553,931,1098,1022,495,136,4781,3204,4681,5341,7006,6321,4229,2308,593,33679,91,174,314,327,311,304,241,67,1825,888,1074,1486,1321,1167,1219,1230,1121,9505,8824,21740,34530,31033,23123,15937,7470,2722,145381
116,11770,3917,1900,999,250,43,26099,150,1055,1592,993,578,337,91,3,4799,4058,16799,19136,9545,6022,3547,932,187,60227,2098,6222,7354,5573,3705,1937,622,139,27647,4093,8249,8183,7589,5797,3169,1280,332,38695,591,552,648,584,474,248,78,12,3192,388,633,1008,1238,1065,757,277,68,5434,5072,9434,9840,9409,7340,4175,1637,411,47325,142,455,675,446,351,310,125,16,2525,3663,5321,4895,3349,2633,2327,1616,956,24753,15544,46146,55257,33235,22527,13628,5279,1748,193367
117,12470,6295,3906,2253,697,106,43544,175,2408,2019,1476,1099,691,184,22,8074,9334,40017,20870,10603,6466,3591,1255,332,92465,2757,8852,6484,4697,3126,1725,721,214,28584,2234,6547,4425,3558,2842,1566,738,221,22120,297,436,339,321,269,181,43,12,1895,285,725,669,821,788,496,217,61,4060,2813,7707,5435,4704,3898,2243,993,290,28075,279,710,492,333,290,250,127,38,2516,4032,8593,5040,3282,2683,2062,1460,741,27892,20234,85260,52808,31386,21471,12817,5419,1742,231146
118,8294,6197,3967,2449,1079,229,30017,69,1173,1343,1288,989,772,263,54,5955,4265,23262,15348,11223,7256,4715,2138,640,68847,1015,3725,3844,3895,3134,2222,1147,428,19411,1151,3779,2993,2758,2575,1706,1152,407,16529,172,208,194,222,226,170,79,15,1295,161,460,442,669,782,661,366,128,3662,1479,4453,3631,3657,3587,2538,1597,550,21486,103,463,352,276,302,318,243,78,2132,1684,3616,2737,2037,1587,1653,1769,1612,16697,8873,44229,35552,28575,20814,14668,8237,3589,164546
119,11079,5778,3446,1640,468,98,36819,265,1689,1826,1480,1174,797,234,51,7520,8940,31067,22617,13828,9869,5207,1912,620,94061,4395,9563,10823,9885,7211,3910,1476,485,47749,4464,9552,9443,10037,8635,5060,2917,1072,51192,606,634,792,921,843,427,129,46,4394,591,1025,1418,2100,2236,1485,631,255,9742,5658,11211,11657,13064,11714,6980,3679,1370,65324,307,877,787,707,709,539,252,108,4284,5177,8156,6570,5139,4698,4135,3742,3217,40843,25384,76218,65359,49889,38826,23207,11765,5948,296597
120,9551,6021,4221,2503,771,145,34467,185,1469,1703,1605,1241,932,270,54,7460,5635,23172,17024,11816,7985,4746,1783,437,72590,2955,4968,5000,5191,3982,2441,949,317,25814,1769,3961,3508,3809,3564,2123,1158,407,20301,272,264,288,344,322,175,81,15,1758,211,448,577,929,1060,781,363,128,4502,2251,4670,4371,5089,4946,3080,1602,550,26564,172,388,370,318,337,335,180,74,2175,1923,3728,2514,1843,1717,1760,1591,1435,16510,13564,49218,40535,31883,24440,15790,7153,3008,185586
121,17678,13025,8229,5081,2375,497,57089,121,1609,2705,2891,2284,1727,720,155,12210,6326,24473,27370,22276,15354,10021,5273,1780,112871,1413,3911,5812,6909,6095,4830,3013,1207,33186,1729,3622,3578,3938,3690,2445,1548,649,21195,317,217,274,360,363,322,180,59,2102,214,369,627,1159,1379,1419,963,382,6521,2264,4213,4476,5464,5433,4194,2691,1094,29813,119,330,539,550,477,573,458,196,3245,1313,2355,2635,2107,1884,2031,2102,1858,16280,11880,46754,61218,53213,39755,28458,16626,6791,264691
122,5227,4940,3204,1710,753,155,19084,70,686,1192,1541,1218,889,318,63,5968,2768,11604,12921,12390,7855,4693,2230,672,55132,1002,3073,4449,5949,4578,3121,1865,579,24615,1990,4242,4461,5186,4672,2813,1874,652,25896,250,163,257,384,364,321,129,47,1912,195,310,554,1024,1274,1110,770,263,5503,2441,4717,5268,6594,6315,4244,2775,962,33306,61,224,279,339,319,313,307,112,1947,940,1406,1593,1594,1385,1433,1619,1365,11338,7366,24697,30929,33348,24872,16399,9865,3911,151390
123,4149,2081,1218,669,177,29,11247,107,694,871,703,521,381,88,12,3378,2113,8311,8586,5107,3132,1984,592,129,29946,1461,4567,5322,4440,3385,2016,568,120,21879,4350,9465,9056,8123,6629,4108,1596,299,43626,504,593,578,491,446,298,68,12,2987,344,527,774,1004,1100,890,298,66,4995,5202,10581,10401,9619,8171,5297,1968,371,51602,102,234,312,281,281,245,116,23,1598,2218,2708,2793,2180,1891,1842,1599,926,16159,11323,29897,32434,24410,18603,12436,5102,1614,135815
124,3977,2576,2045,1507,437,74,13924,120,824,1040,1075,1016,887,230,30,5221,2239,8775,8680,6299,4695,3657,1281,289,35913,1431,4751,5462,5182,4352,2866,1111,266,25421,5375,11625,10269,9243,7925,4717,1876,439,51475,638,657,639,578,529,357,91,15,3509,364,552,802,1071,1226,1043,481,109,5654,6372,12831,11711,10893,9682,6120,2449,565,60628,104,196,295,274,281,300,203,53,1714,2510,3422,3186,2696,2311,2211,2014,1306,19646,12918,33961,34347,29000,24384,17549,7727,2579,162472
125,14040,5172,3044,1423,444,72,40907,245,1641,1862,1211,857,596,170,33,6615,7068,29106,22530,11151,7351,4246,1656,440,83534,3953,8234,8545,6714,4913,2717,1178,332,36576,3505,7205,7114,6629,5622,3276,1738,590,35684,526,562,579,611,532,315,100,19,3247,435,767,1069,1346,1279,979,488,156,6518,4463,8535,8761,8593,7432,4569,2321,771,45448,271,859,804,517,495,402,205,76,3635,4972,8956,7165,4526,3864,3068,2303,1692,36539,21731,73274,63704,37874,27955,17014,8282,3409,253248
126,8506,4596,3124,1742,640,149,26517,94,785,1004,951,834,627,225,50,4567,3548,13623,12226,8033,5984,3831,1580,534,49361,994,2391,2971,3225,2795,1977,936,380,15669,1042,2102,1988,2238,2291,1516,859,376,12418,166,149,137,180,253,154,81,22,1134,126,207,324,563,685,635,345,168,3053,1334,2457,2449,2982,3225,2307,1280,558,16605,89,258,277,234,223,253,166,62,1559,882,1728,1493,1043,1077,981,968,982,9157,7220,28737,28929,21063,17264,11716,5789,2716,123434
127,4486,2118,1201,608,149,25,13678,201,957,1010,685,444,253,65,12,3642,5185,16640,12063,7125,4470,2751,782,136,49160,2447,7362,8233,6861,4663,2101,722,138,32529,4516,10096,9646,8891,7100,3911,1727,394,46268,648,686,813,801,621,260,58,11,3900,465,870,1282,1545,1401,799,257,64,6683,5626,11648,11741,11238,9123,4966,2042,466,56850,171,425,487,453,446,324,118,35,2460,4133,5127,5096,4114,3989,3079,2283,1517,29339,18097,46921,43122,32600,24337,14080,6175,2332,187661
128,3356,2547,1794,1102,383,78,11523,90,670,978,948,952,756,178,32,4600,2496,8864,8770,6848,4631,3158,1101,301,36167,1064,3001,4548,5344,3971,2577,1128,383,22021,2756,5517,5654,6396,5843,3746,2174,799,32892,252,235,286,383,404,277,127,40,2011,238,305,594,1052,1229,1162,632,218,5434,3241,6063,6539,7826,7479,5190,2935,1055,40339,55,135,210,248,310,338,235,88,1620,740,1123,1251,1265,1121,1194,1388,1212,9290,7791,22027,25650,25027,20255,14312,7353,3155,125571
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,15
201,1438,1282,1102,821,265,37,6352,51,576,896,926,861,773,190,28,4298,980,4297,4492,3598,2604,2129,817,166,19070,558,1950,2396,2644,2417,1933,792,178,12873,2321,5511,4919,5001,4547,3069,1260,325,26953,353,391,303,253,233,187,54,18,1786,119,229,282,352,418,376,157,52,1986,2798,6124,5503,5595,5191,3627,1482,394,30721,33,75,80,104,92,124,88,31,632,1418,1359,1336,1604,1601,1952,1631,911,11814,5927,15696,16131,15761,13871,11361,5253,1750,85759
202,1328,1215,1028,853,304,39,5997,70,605,978,1027,935,734,171,22,4553,846,4039,4464,3723,2607,2305,920,205,19120,500,1799,2174,2490,2426,2109,959,190,12646,1975,5109,4637,4729,4564,2905,1283,329,25532,316,301,301,239,267,197,49,11,1676,128,195,260,367,452,374,185,60,2027,2419,5602,5207,5333,5283,3475,1515,401,29233,17,97,65,87,97,117,98,43,614,1237,1408,1364,1546,1714,1799,1701,1166,11944,5193,14692,15582,15430,14081,11388,5669,2068,84114
203,3445,2448,1996,1401,514,51,14264,143,1493,1877,1706,1519,1233,343,40,8357,2810,11551,10787,7592,5521,4500,1663,378,44789,1480,4589,5337,5471,4705,4020,1778,455,27838,4078,9966,9292,8779,8016,5149,2247,708,48239,552,466,506,426,356,297,101,17,2720,265,425,581,689,720,735,372,114,3901,4897,10859,10378,9893,9100,6177,2719,838,54860,98,161,194,167,190,252,230,83,1377,2227,2493,2344,2292,2303,2657,2586,1636,18537,11949,35267,34359,29567,25329,20242,9827,3477,170018
204,1016,929,837,674,163,25,4589,62,534,791,883,857,719,215,19,4084,731,3594,3895,3286,2803,2461,851,202,17826,580,2080,2718,3001,3036,2455,1002,233,15107,2770,6073,5840,6013,6044,3863,1540,372,32518,387,368,314,309,328,238,67,18,2022,184,241,284,479,511,488,250,66,2495,3340,6677,6432,6806,6875,4595,1856,457,37037,36,69,74,94,129,159,110,49,717,1954,1698,1756,1984,2355,2424,2019,1019,15204,6738,15545,16681,16975,16894,13486,6217,2012,94554
205,1316,1198,1281,1017,357,45,6538,107,768,1003,1069,1195,1092,281,33,5548,1129,5509,5078,4194,4148,3725,1437,250,25478,676,3196,3832,4144,4433,3941,1632,379,22225,3784,10181,9292,9466,10008,7021,2970,710,53428,518,588,586,488,524,402,103,31,3236,191,391,510,610,809,847,354,101,3820,4495,11158,10384,10564,11343,8269,3429,838,60477,52,125,147,145,200,277,219,62,1222,2649,2802,2974,3000,3667,4272,3313,1790,24464,9188,24796,24735,24313,26261,22602,10664,3395,145951
206,21410,11684,7937,4698,1761,279,83734,501,5926,5287,4666,3686,2298,593,68,23030,17869,68648,37123,21707,13652,8523,3220,805,171560,4804,12657,9684,7733,5971,4028,1724,514,47112,4177,11233,7014,5956,5110,2612,1235,469,37797,658,822,500,449,332,242,66,18,3078,426,1065,971,1187,1133,788,392,138,6091,5256,13119,8477,7592,6577,3634,1686,624,46968,376,1041,671,430,355,334,218,78,3500,5359,11194,7012,4884,4127,3355,2652,1694,40277,36341,146369,89676,58693,42301,26884,11857,4061,416177
207,10916,8223,5750,3422,1539,367,41493,149,1504,2308,2970,2716,1849,674,149,12331,7140,19622,19180,17616,12536,8101,3975,1377,89533,2104,4024,4446,5704,5290,4277,2664,1009,29520,2159,3420,2790,3924,3884,2301,1888,753,21120,332,257,237,279,296,185,117,40,1745,222,312,443,822,904,838,546,234,4323,2715,3988,3473,5024,5085,3332,2551,1021,27189,152,286,331,336,369,361,314,148,2296,1771,2451,2078,1960,1669,1857,2061,1728,15575,14776,42396,42734,41838,33421,23190,13772,5807,217938
208,10464,8154,5025,2963,1135,262,37323,167,1736,2801,3570,2839,1888,554,118,13675,5844,20741,22157,20078,12878,8049,3357,1074,94161,1855,4857,6393,7949,6299,4811,2431,922,35517,2409,5524,5402,6569,6168,3743,2075,876,32775,401,310,348,372,399,262,110,29,2235,230,415,749,1164,1257,1016,588,270,5695,3044,6255,6504,8112,7830,5024,2771,1172,40705,100,297,403,427,390,434,299,186,2534,1531,2646,2502,2419,2042,2437,2494,2151,18228,13038,45340,51225,50709,37304,25607,13037,5884,242146
209,10967,5419,3157,1880,679,101,33149,239,2506,3435,3091,2170,1318,359,59,13170,5717,23164,22883,13872,8195,5169,1659,411,81076,2847,9092,10797,9247,6411,3933,1515,369,44223,5543,13051,12291,12003,9762,5440,2508,720,61319,775,742,699,638,545,308,77,19,3809,449,821,1186,1546,1448,980,399,137,6954,6769,14619,14174,14183,11759,6727,2986,871,72085,183,452,577,401,380,330,203,61,2585,3287,4596,4237,3558,3209,3089,2650,1732,26355,19756,64647,67083,49771,35279,22450,10053,3608,272635
210,6888,2779,1524,782,205,21,19463,234,1801,2117,1688,1107,642,152,22,7764,4207,17134,15105,8240,4805,2608,823,175,53091,2306,7926,8475,6435,4479,2478,896,191,33191,4269,10834,9617,9007,7388,3917,1902,586,47506,598,696,636,488,409,233,65,12,3135,422,819,1007,1158,1006,558,273,74,5324,5298,12348,11260,10652,8803,4707,2238,673,55968,136,391,459,336,270,220,141,50,2011,3238,4872,4217,3272,2727,2294,1989,1226,23838,15847,51308,48527,33404,23709,13724,6451,2355,195318
211,9149,5363,3386,2015,715,128,27859,243,1950,3025,2951,2425,1768,564,80,13005,4673,18611,20741,14953,9677,6755,2645,653,78713,2515,7083,9285,9950,8137,5737,2718,768,46187,5767,12830,12235,13883,12537,7347,3775,1080,69456,798,645,715,627,569,430,158,21,3956,417,625,1003,1376,1599,1233,674,240,7164,6979,14098,13956,15885,14703,9007,4606,1345,80571,102,297,376,344,398,462,340,147,2464,2122,2851,2953,2934,2850,2850,3117,2428,22107,16967,51657,59476,52383,41576,28599,14709,5547,270914
212,16492,7439,4074,2112,803,137,48898,432,2926,3604,2921,2074,1288,462,73,13791,10028,35093,31368,18578,10968,6683,2639,774,116133,5288,15790,17638,13413,9317,5551,2561,761,70327,8858,20854,18729,17912,14333,8162,4029,1208,94076,1395,1308,1179,1023,834,470,157,36,6406,735,1488,1855,2217,2001,1314,716,245,10569,10986,23645,21767,21145,17171,9944,4896,1492,111046,355,883,1029,662,571,562,333,141,4529,6360,9681,7684,6041,5222,4716,4258,2757,46723,34604,104707,99588,70200,49393,30863,15953,6140,411446
