SA4_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
406,9439,840,126,641,250,11291,7723,951,58,65,29,8831,2482,1011,432,16,21,3958,1379,1487,425,6,20,3314,239,102,38,3,3,388,1787,406,120,37,32,2387,1060,118,80,282,141,1684,55,30,11,0,0,108,7004,3155,1110,345,223,11833,956,87,60,64,93,1262,1729,636,202,465,75,3099,26849,5668,1559,1576,663,36316
407,30141,1050,224,591,154,32156,23405,495,105,90,64,24161,6171,1422,795,18,19,8423,1271,921,194,7,9,2402,410,305,57,0,3,778,4667,417,187,61,51,5377,1126,169,48,185,80,1604,107,53,23,3,4,184,13761,3283,1297,269,158,18770,2233,689,53,52,23,3045,4091,631,148,288,119,5281,73639,6146,1824,1283,518,83412
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,22848,1170,150,547,60,24776,25718,738,86,66,43,26651,6360,1230,321,21,22,7948,1035,909,79,0,3,2028,135,317,94,0,3,548,4688,530,95,48,22,5387,699,107,25,351,33,1210,76,26,5,0,0,112,12998,3114,614,425,93,17243,1201,511,51,70,36,1872,3335,541,107,491,65,4545,66102,6076,1017,1596,290,75085
502,12485,1254,298,292,14,14338,14637,555,169,20,8,15377,4500,966,331,12,3,5811,327,409,35,0,5,776,177,168,69,0,4,420,2401,372,73,14,3,2858,215,106,10,64,6,394,47,23,6,7,0,81,7657,2042,529,92,25,10345,548,895,25,14,0,1478,1464,356,87,138,10,2050,36786,5097,1105,548,59,43597
503,15649,2941,3557,12,19,22179,12893,2891,4627,18,13,20440,3742,3104,12849,30,22,19743,108,559,1031,0,3,1697,25,113,345,0,6,496,1823,1121,3059,20,17,6035,257,122,384,0,10,778,18,25,62,0,0,112,5979,5047,17726,50,61,28862,455,388,736,4,7,1593,771,430,1962,428,35,3633,35752,11707,28606,514,133,76713
504,24235,2156,413,192,21,27015,43729,3058,750,15,36,47579,8546,3024,1792,3,19,13381,1050,1274,264,0,3,2599,201,247,42,4,0,494,4857,1134,443,10,22,6471,558,158,46,57,9,824,80,50,14,5,0,143,15296,5886,2597,84,54,23914,813,278,63,9,3,1171,3017,842,276,485,64,4690,87087,12221,4099,786,175,104364
505,51434,8077,1139,274,23,60955,81217,11153,1423,17,26,93840,18581,8892,3177,9,25,30681,1616,2707,397,0,4,4722,262,520,125,0,0,909,9052,3597,845,26,16,13531,1023,419,114,75,15,1642,163,114,21,0,0,303,30700,16244,4680,110,59,51789,1706,1437,426,21,9,3595,5110,2110,692,221,72,8191,170161,39021,8363,644,184,218372
506,44338,4925,1483,476,49,51274,71681,5860,2080,43,55,79720,19252,8285,4862,35,49,32487,2376,2089,432,0,5,4899,319,631,239,0,0,1193,9623,2725,1142,37,25,13550,1175,374,156,151,30,1888,203,111,44,6,0,363,32948,14211,6877,228,113,54376,1769,1289,499,37,16,3615,5953,1736,869,283,79,8922,156692,28025,11811,1072,313,197902
507,40360,5046,1697,501,63,47665,64019,4759,1905,26,52,70757,16562,4216,3671,15,21,24481,1684,1769,680,0,6,4142,232,330,192,0,3,764,7270,1663,897,26,14,9873,944,170,122,150,15,1399,104,50,26,0,0,184,26788,8198,5583,203,70,40845,1232,887,436,17,8,2588,4563,1081,794,376,56,6874,136965,19970,10410,1122,252,168725
