SA4_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
111,1214,2203,2119,1901,2306,3548,6664,5688,3157,28811,1444,3242,3384,2624,2834,3477,4927,3080,1219,26232,781,3446,4002,3072,2970,3253,3399,1857,573,23361,417,3716,5775,4026,4178,4027,2777,1257,408,26590,189,2775,7185,5407,5309,4858,2813,919,181,29629,50,1528,6059,4678,4227,3491,1467,449,96,22037,21,679,5172,4454,4004,3121,1102,396,127,19073,9,266,3527,3801,3518,2481,674,183,53,14512,3,231,4715,7481,6776,4144,948,212,50,24564,7,30,678,1516,1500,898,225,83,18,4952,15,37,692,2159,2546,1672,527,192,55,7902,1195,1473,2584,2207,2094,1955,2275,2600,2505,18880,8,33,80,53,41,64,56,19,7,364,22324,25990,51648,48321,47950,46759,40641,25153,10855,319641
112,760,923,1431,1422,1953,3397,6082,4263,2202,22440,772,1409,2199,2139,2425,3466,4733,2701,1000,20846,479,1780,2800,2501,2594,3137,2942,1550,514,18287,309,1713,3460,3265,3470,3841,2365,909,316,19633,86,1019,3627,3572,3981,3957,2221,740,175,19374,18,431,2332,2717,2877,2405,1160,331,79,12351,7,186,1713,2310,2404,2047,840,286,104,9889,10,76,1018,1734,1830,1340,508,143,48,6706,3,69,1140,2616,2956,2056,677,172,39,9713,0,7,181,513,555,429,163,46,13,1909,16,29,249,917,1180,917,442,158,49,3948,1293,1088,2499,2721,2648,2760,2633,2154,1910,19702,10,53,151,64,60,50,51,33,4,474,13803,11481,26310,30172,33295,37675,35626,19608,8350,216312
113,522,651,951,779,945,1450,2512,2164,1291,11257,752,974,1347,1134,1119,1456,1827,1100,461,10162,586,1375,1797,1483,1314,1558,1372,745,199,10426,435,1734,2913,2191,2081,2059,1203,488,167,13270,269,1363,3171,2551,2367,2391,1047,345,78,13595,109,641,2217,1771,1745,1587,638,150,31,8883,13,303,1748,1597,1564,1317,474,170,68,7258,12,118,1131,1291,1257,1015,294,102,19,5227,8,86,1287,1885,2094,1376,394,97,28,7257,0,8,149,331,401,280,90,38,12,1314,9,26,190,462,591,501,239,106,33,2158,950,977,1937,1746,1736,1622,1453,1178,761,12370,4,46,138,106,23,28,20,6,3,376,10850,10530,21505,19409,19614,20561,16693,9927,4218,133301
114,434,539,862,769,1037,1919,3697,2892,1318,13472,549,814,1138,1158,1273,1926,2933,1831,558,12177,327,1022,1486,1314,1407,1753,2064,1286,329,10989,179,1050,1946,1589,1840,2060,1585,809,227,11280,70,744,2120,1878,2112,2265,1575,615,157,11534,18,423,1577,1419,1585,1536,950,328,76,7906,7,188,1265,1277,1399,1304,695,279,86,6494,3,70,893,1049,1149,965,430,150,32,4740,0,50,1028,1800,2067,1590,558,187,32,7310,0,4,118,375,388,359,179,75,15,1510,8,9,172,702,1066,956,503,200,35,3656,675,595,1304,1288,1306,1315,1360,1343,1011,10185,11,18,28,23,22,22,22,12,0,164,8537,7121,15915,16672,19211,23337,24573,14924,5242,135539
115,756,1137,768,916,1016,1225,2275,2059,974,11122,877,1504,1152,1414,1476,1559,2065,1451,507,12018,547,1678,1450,1787,1888,1855,1789,1038,269,12305,311,1802,2109,2265,2348,2138,1667,760,170,13581,158,1917,3187,3145,3204,2730,1813,672,109,16924,38,1314,3041,3090,2941,2360,1193,373,66,14415,23,621,3078,3409,3142,2378,995,260,53,13956,3,253,2170,3115,2818,2015,740,177,30,11322,9,194,3529,7907,6914,4006,1108,225,45,23941,0,28,595,2567,2189,1137,335,49,19,6911,4,20,682,3944,4390,2460,611,148,31,12292,540,531,1042,1278,1215,982,931,994,1183,8694,20,20,59,58,53,123,172,40,14,562,18248,15625,25927,39186,37720,31096,24336,13161,5041,210335
116,904,1922,2320,2078,1857,2299,4114,2880,1250,19624,1040,2728,3370,3083,2422,2157,2363,1260,543,18977,671,3122,4408,3912,3022,2497,1619,750,153,20156,427,3386,6419,5809,4651,3540,1348,356,106,26041,217,2938,8275,7900,5820,4288,1338,233,43,31038,64,1632,6932,6644,4607,3023,828,83,16,23831,28,729,5203,6114,4073,2481,617,89,28,19366,18,281,3533,4905,3153,1759,386,22,10,14069,0,211,4676,10206,5658,2729,465,32,8,23982,0,18,653,2317,1168,464,90,13,0,4733,6,35,542,2217,1316,532,129,42,16,4843,1612,2093,4966,4372,2978,2150,1675,1243,848,21947,11,32,80,63,65,261,273,59,12,860,24474,26631,60170,68282,47956,38331,27444,12629,4420,310340
117,424,1972,2621,1365,1290,1764,2818,2141,914,15308,484,3180,4812,2087,1382,1554,1747,913,288,16447,304,3026,6025,2448,1619,1476,1232,573,148,16859,208,2987,7863,3358,2103,1888,1255,495,127,20288,105,3129,10790,4591,2853,2248,1322,422,86,25534,52,2193,10260,4290,2633,1844,869,228,45,22409,23,1256,9519,4594,2791,1865,727,219,47,21047,9,621,7390,4403,2535,1587,620,159,43,17383,17,631,14082,11729,6343,3367,957,253,47,37417,10,129,2935,3714,2144,1015,287,83,14,10336,11,145,3775,7610,5599,2864,886,240,57,21194,815,3091,8079,4671,3070,2427,1812,1408,952,26331,85,248,736,389,294,328,179,57,7,2323,10230,31766,97428,60276,39063,29929,20431,10823,3950,303905
118,360,1008,859,698,840,1102,1921,1868,1075,9737,456,1458,1782,1020,1066,1263,1741,1248,504,10540,282,1472,2346,1317,1261,1340,1388,914,290,10614,138,1442,3444,1886,1616,1614,1429,854,298,12731,76,1665,5274,2640,2193,2107,1642,772,230,16604,24,1151,5419,2457,2004,1808,1110,521,145,14630,18,597,5421,2872,2324,1791,1066,446,130,14672,16,296,4440,2769,2069,1582,881,397,113,12563,18,290,8599,7280,4957,3106,1390,592,165,26394,7,73,1936,2723,2035,1183,515,243,87,8797,10,79,3113,8136,7907,4137,1735,689,231,26037,719,1060,3472,2506,1929,1469,1341,1491,1681,15668,33,148,239,136,135,130,118,41,15,1006,12122,15613,49557,39555,33609,26600,21022,13769,6423,218273
119,1096,3228,4086,3539,3680,4950,7377,6299,3774,38019,1272,4750,6339,4925,4740,4890,4399,2688,1239,35255,810,4794,7850,5936,5399,5031,3094,1634,577,35126,405,4762,10566,7370,6834,5790,2611,1149,399,39881,212,4263,12467,8917,7785,6342,2540,733,196,43459,56,2428,9473,6996,5728,4462,1574,384,123,31231,32,1092,7749,6468,5146,3786,1222,324,102,25915,8,430,5071,5020,4187,2915,825,153,51,18659,15,339,7113,9666,7492,4354,1055,195,63,30293,3,38,1130,2329,1865,974,238,74,16,6664,3,48,1132,3257,3182,1704,437,155,73,9992,2240,3251,7715,5917,4687,3983,3296,3160,3155,37402,50,85,221,164,170,259,214,75,17,1263,33634,42576,96142,84199,74277,68754,50521,30473,14682,495267
120,426,1788,1856,1087,1141,1650,2830,2536,1559,14873,509,2804,2994,1695,1592,1948,2251,1389,648,15830,290,2703,3806,2032,1801,1889,1683,976,320,15506,153,2563,5322,2701,2346,2241,1690,735,211,17969,78,2184,6905,3793,3027,2869,1844,589,150,21438,20,1458,6031,3469,2741,2218,1222,396,68,17627,23,686,5473,3727,2889,2240,1039,291,64,16440,9,290,4069,3402,2545,1906,793,216,41,13273,8,240,7374,8479,6167,4048,1257,286,71,27932,0,43,1356,2750,2201,1232,386,104,29,8108,6,36,1837,6026,6351,3164,901,197,56,18564,540,1385,3408,2321,1681,1432,1420,1430,1582,15204,23,48,153,103,89,161,127,39,8,758,13455,22200,56847,46338,39205,33498,24969,14490,7033,258015
121,695,1744,1183,1212,1334,1702,3039,2711,1598,15220,687,2210,1860,1931,1993,2195,3024,2355,1033,17292,415,2109,2441,2305,2192,2331,2709,1861,725,17100,200,2164,3482,3107,2820,2817,2699,1811,642,19730,105,2344,5654,4408,3887,3461,2973,1694,548,25079,26,1691,5852,4314,3478,2993,2136,1117,366,21983,17,838,5893,4830,3795,3099,2039,1034,320,21859,7,369,4604,4571,3588,2797,1482,769,238,18433,15,342,9382,13434,9626,6270,2653,1158,350,43240,16,74,1997,4879,3939,2289,891,344,125,14559,11,77,2790,11817,14536,8166,2599,1025,342,41362,683,783,2208,2384,1912,1571,1593,1646,1881,14660,56,61,171,193,207,275,295,109,18,1379,23924,22088,52259,66325,60149,48232,38215,24116,10930,346233
122,650,1057,616,706,900,1156,2262,2367,1249,10971,832,1656,1160,1187,1352,1691,2167,1891,806,12753,511,1813,1768,1504,1710,1939,1997,1440,473,13155,221,1786,2505,1968,2286,2320,1920,1159,399,14569,91,1717,3834,2740,3011,2966,2052,1101,287,17801,32,948,3427,2615,2845,2524,1451,614,180,14640,13,425,3181,2940,3075,2426,1180,517,167,13928,7,148,2432,2518,2677,2081,885,375,100,11225,11,158,4122,6274,6089,3862,1363,480,140,22499,5,31,902,2341,2390,1322,396,145,44,7570,10,35,1196,6026,8246,4041,1090,399,113,21155,529,511,1301,1353,1359,1155,1074,1197,1470,9950,25,25,124,71,71,74,57,27,10,483,16184,13666,28744,35249,39633,32071,23744,16313,7236,212842
123,932,1191,1679,1572,1603,2019,3699,2518,872,16080,1142,1865,2533,2386,1948,2049,2418,1165,386,15895,732,2342,3134,2889,2395,2225,1710,754,151,16333,425,2677,4496,4157,3607,2962,1440,438,92,20285,173,2207,5893,5087,4328,3608,1393,276,60,23024,44,1166,4801,4362,3570,2583,900,146,30,17613,18,551,3816,3891,3171,2083,644,119,31,14316,15,226,2491,3046,2540,1593,412,53,9,10379,8,198,3084,5343,4331,2563,506,73,15,16117,3,17,393,988,856,477,112,16,4,2865,5,17,357,1070,1127,677,222,51,26,3547,1242,1124,2521,2527,1889,1488,1356,1263,904,14309,10,28,60,41,45,93,109,28,14,430,19306,18468,41208,43309,36603,32118,24373,11502,3674,230569
124,992,1267,1639,1598,1732,2317,4584,3351,1283,18764,1250,1994,2832,2279,2103,2494,3441,1832,552,18776,823,2678,3378,2847,2498,2495,2406,1239,307,18666,490,3124,4916,3979,3712,3248,2082,732,177,22455,214,2582,6502,5392,4896,4313,2062,514,89,26552,75,1504,5417,4669,4036,3250,1285,265,58,20559,37,717,4517,4333,3958,2853,953,203,56,17625,18,271,3024,3613,3321,2245,563,85,26,13170,10,221,3723,6375,5711,3729,801,141,23,20726,3,25,470,1115,1117,660,172,42,17,3624,0,19,414,1227,1480,1005,305,108,22,4587,1229,1422,3377,2941,2469,1858,1732,1631,1298,17949,13,15,75,47,40,62,93,24,6,384,20454,20510,45865,45706,42338,38681,31040,15401,5263,265255
125,789,2784,3898,2916,2807,3537,5038,3781,2128,27677,885,4144,5817,4029,3395,3272,2905,1756,702,26903,535,4062,6993,4922,3715,3214,2121,1134,316,27008,323,4119,9725,6318,4801,3892,1778,668,200,31831,187,3384,11382,8044,5423,4442,1668,492,102,35136,57,2006,8968,6420,4240,3036,1049,238,53,26070,20,903,7291,5898,3933,2658,779,170,45,21705,7,353,4769,5075,3185,1863,515,86,26,15886,3,267,7368,10987,5716,3190,711,116,37,28391,3,28,1022,2524,1290,689,136,36,13,5753,6,39,932,2747,1964,925,260,73,27,6978,1895,3195,8428,6594,4180,3321,2472,1921,1626,33631,24,84,189,158,156,249,252,80,23,1213,25147,35982,92237,79875,55703,48815,34704,19062,7963,399487
126,322,992,904,764,782,1082,1709,1550,1081,9184,319,1314,1540,1266,1083,1312,1469,1043,530,9869,204,1198,1984,1423,1207,1275,1159,723,270,9445,108,1186,2535,1825,1548,1533,1125,565,207,10625,49,1260,3980,2624,1921,1914,1237,510,188,13684,26,904,3811,2522,1733,1498,845,277,96,11716,15,424,3563,2707,1794,1456,652,217,75,10897,10,172,2547,2339,1612,1262,481,160,59,8626,8,158,4223,6235,4029,2665,860,222,57,18454,3,26,714,1781,1397,796,218,65,21,5018,3,22,752,3133,3448,1846,553,155,56,9963,325,601,1646,1338,973,868,737,705,894,8082,25,32,69,72,77,160,164,35,5,636,10214,12903,32346,31973,24876,22729,17474,9722,5047,167292
127,1118,2232,3135,3528,3869,4633,6019,3997,1892,30429,1206,3112,4497,4264,4217,3921,3138,1612,616,26574,814,3408,4896,4661,4584,3941,1983,868,230,25389,557,3710,6902,5933,5866,4766,1658,511,136,30038,261,3507,8689,6979,6404,4919,1489,278,48,32575,75,1976,7115,5503,4572,3280,904,134,27,23588,37,925,5677,4889,3806,2666,697,121,31,18845,17,373,3693,3746,2840,1757,392,45,8,12869,11,257,4563,6224,4387,2396,468,64,12,18389,5,34,579,1196,841,476,109,25,7,3266,8,24,507,1278,1089,576,181,71,17,3747,2186,2231,4888,4581,3673,3377,2532,1999,1549,27019,15,30,106,88,80,157,137,39,15,668,32101,32651,67878,65524,59610,54791,37240,18387,7154,375334
