SA4_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Tot_M,Tot_F,Tot_P
111,4467,2165,2235,4406,2301,2453,4757,2351,2483,4837,2378,2588,4971,11341,12091,23435,2297,2477,4775,2281,2477,4757,2177,2454,4633,2282,2409,4691,2114,2302,4412,11144,12116,23267,2130,2192,4321,2059,2223,4279,2020,2181,4202,2067,2284,4354,1875,2144,4017,10149,11024,21171,1872,2071,3946,1794,2111,3899,1767,1951,3719,1797,2018,3818,1877,2147,4022,9113,10295,19413,1631,1751,3381,1529,1755,3286,1471,1647,3119,1163,1497,2656,1195,1325,2525,6988,7979,14965,4448,5722,10166,2526,3905,6426,1179,2216,3395,245,659,905,20,99,121,191,212,408,189023,198141,387161
112,3203,1682,1790,3477,1760,1879,3640,1744,2012,3757,1841,2076,3922,8568,9424,17997,1899,2056,3953,1898,1999,3890,1924,2123,4047,1844,1998,3836,1891,2004,3898,9445,10179,19628,1900,1976,3877,1749,2019,3765,1832,2013,3846,1871,1922,3789,1762,1872,3630,9109,9800,18907,1798,1795,3592,1723,1686,3408,1593,1606,3194,1600,1563,3165,1607,1697,3301,8315,8355,16665,1265,1264,2530,1291,1332,2623,1077,1266,2349,1033,1077,2112,975,1040,2019,5642,5990,11628,3581,4364,7941,2046,2916,4957,951,1630,2580,217,497,712,23,68,93,268,239,504,125517,133848,259364
113,1891,972,990,1956,1060,999,2057,1020,1044,2059,1075,1078,2151,5075,5047,10124,1064,1138,2201,1077,1076,2152,1047,1077,2122,980,1051,2034,965,932,1894,5131,5277,10408,947,960,1899,897,955,1850,878,857,1735,915,832,1745,875,820,1696,4513,4422,8932,799,816,1616,785,839,1620,696,764,1460,742,762,1500,766,779,1541,3788,3953,7742,603,601,1208,581,658,1237,557,610,1166,487,531,1020,503,547,1049,2724,2952,5675,1942,2296,4240,1057,1520,2580,423,833,1259,95,241,334,10,30,45,284,107,390,82577,82738,165316
114,1970,1004,1093,2090,1021,1144,2172,1118,1304,2415,1163,1181,2345,5255,5736,10994,1175,1277,2452,1199,1293,2497,1198,1304,2497,1134,1317,2453,1135,1288,2424,5840,6482,12322,1173,1349,2529,1161,1270,2427,1142,1262,2406,1196,1299,2496,1146,1299,2440,5823,6477,12299,1198,1286,2477,1144,1250,2394,1165,1248,2412,1187,1197,2386,1238,1353,2583,5928,6327,12256,1018,1019,2036,982,1011,1989,911,985,1897,793,836,1627,699,765,1466,4406,4614,9022,2802,3085,5886,1474,1814,3290,557,963,1525,110,268,374,10,41,50,102,89,197,79381,82742,162118
115,3245,1526,1654,3177,1596,1623,3224,1646,1709,3359,1585,1698,3282,8029,8255,16289,1525,1584,3109,1455,1538,2992,1352,1467,2819,1405,1526,2934,1376,1458,2831,7111,7566,14686,1357,1420,2775,1281,1377,2654,1215,1313,2529,1260,1327,2591,1086,1235,2318,6201,6669,12877,1134,1226,2354,1115,1218,2334,1083,1108,2200,1036,1134,2171,1070,1168,2233,5432,5855,11289,915,949,1859,817,926,1738,880,868,1752,667,737,1399,661,678,1345,3939,4155,8092,2338,2696,5030,1274,1649,2920,552,1010,1563,159,315,478,14,49,62,263,341,599,130441,133793,264232
116,4122,1977,2026,4008,1972,2076,4048,2003,2081,4090,2014,1984,3996,10063,10197,20260,1918,1909,3826,1764,1931,3693,1746,1806,3555,1651,1853,3500,1539,1693,3229,8620,9190,17804,1534,1698,3229,1536,1628,3167,1383,1509,2889,1298,1497,2796,1293,1478,2775,7047,7803,14848,1218,1414,2630,1219,1329,2554,1138,1276,2415,1152,1212,2361,1071,1296,2367,5792,6529,12317,924,986,1909,770,915,1688,762,796,1559,628,691,1320,558,664,1223,3644,4052,7694,2209,2676,4878,1072,1653,2725,406,869,1271,93,274,370,12,30,39,357,544,901,200105,201341,401448
117,3123,1738,1383,3123,1732,1547,3278,1760,1534,3301,1738,1425,3162,8698,7284,15986,1633,1459,3094,1493,1288,2780,1408,1238,2645,1343,1248,2587,1312,1204,2516,7185,6439,13618,1173,1162,2333,1130,1158,2290,1145,1132,2272,1037,1123,2157,959,1006,1962,5444,5576,11020,1028,969,2005,970,945,1915,932,892,1822,931,878,1811,868,813,1683,4741,4495,9236,746,789,1533,684,699,1381,596,658,1258,559,573,1133,508,508,1017,3091,3224,6314,2072,2373,4448,1095,1404,2499,455,692,1149,68,201,273,6,19,32,1360,1135,2501,175000,161993,336990
118,2883,1430,1411,2845,1397,1451,2843,1389,1405,2787,1412,1393,2804,7047,7122,14165,1292,1401,2690,1183,1276,2461,1191,1278,2471,1143,1246,2381,1089,1217,2301,5889,6408,12300,1107,1204,2314,1004,1134,2141,1028,1091,2116,943,1110,2051,922,1015,1936,4999,5561,10562,950,1076,2023,945,1106,2053,868,1101,1967,995,1125,2123,1009,1168,2173,4763,5579,10338,844,999,1840,764,959,1723,723,864,1588,642,763,1407,626,749,1378,3604,4336,7940,2519,3268,5791,1531,2144,3672,738,1285,2018,192,437,624,18,75,93,533,527,1065,124318,133455,257767
119,6995,3566,3659,7218,3517,3668,7188,3768,3776,7545,3361,3440,6797,17669,18076,35745,3410,3574,6985,3278,3514,6791,3081,3235,6321,3080,3296,6375,2993,3285,6270,15849,16903,32753,2812,3017,5829,2778,3073,5849,2638,2918,5555,2429,2639,5072,2289,2532,4818,12950,14180,27124,2350,2512,4857,2296,2492,4784,2147,2327,4472,2233,2381,4614,2217,2237,4448,11240,11941,23182,1865,2091,3958,1777,1862,3643,1711,1813,3524,1532,1631,3155,1368,1575,2943,8249,8970,17218,5904,7286,13187,3808,5093,8899,1704,2695,4399,371,854,1225,36,104,141,641,716,1356,300857,302969,603825
120,3520,1658,1825,3484,1677,1885,3566,1792,1948,3734,1641,1934,3573,8520,9355,17880,1630,1801,3435,1491,1645,3131,1448,1594,3041,1414,1518,2929,1357,1564,2921,7338,8117,15454,1370,1499,2867,1230,1507,2735,1255,1445,2702,1130,1356,2491,1141,1358,2496,6121,7166,13288,1112,1355,2471,1066,1316,2380,1042,1163,2205,1070,1207,2273,1039,1183,2226,5326,6224,11549,872,1063,1928,858,1022,1879,752,846,1593,678,776,1461,650,764,1411,3808,4467,8275,2731,3438,6174,1735,2400,4136,798,1354,2154,169,482,649,10,71,81,385,431,813,147911,155680,303588
121,5044,2354,2607,4963,2544,2773,5317,2469,2732,5199,2496,2548,5049,12293,13263,25563,2298,2540,4833,2216,2360,4575,2068,2324,4392,2042,2299,4336,2041,2205,4250,10658,11736,22396,1912,2165,4077,1926,2229,4155,1785,2032,3813,1723,2090,3815,1657,2051,3705,9003,10566,19569,1656,1999,3656,1668,2064,3737,1638,1906,3541,1704,1892,3595,1762,2071,3825,8427,9929,18355,1480,1799,3277,1409,1658,3066,1336,1511,2843,1118,1318,2436,1186,1312,2498,6525,7593,14126,4408,5483,9887,2583,3657,6243,1264,2168,3427,306,804,1114,29,95,124,724,777,1495,202900,218931,421833
122,3413,1711,1840,3551,1755,1778,3529,1680,1721,3408,1730,1681,3409,8584,8727,17314,1639,1650,3292,1441,1494,2936,1395,1458,2853,1466,1520,2984,1282,1332,2617,7225,7458,14689,1179,1418,2598,1219,1249,2470,1179,1262,2437,1182,1306,2489,1053,1208,2260,5816,6447,12264,1094,1187,2285,1032,1125,2153,1027,1235,2263,1088,1203,2291,1150,1282,2431,5390,6029,11422,976,1137,2111,886,1110,1993,930,1142,2073,775,947,1729,770,897,1672,4336,5232,9568,3097,3624,6717,1680,2457,4141,798,1489,2288,248,449,696,11,90,100,256,280,532,127607,133552,261159
123,3192,1625,1701,3327,1576,1774,3349,1615,1826,3446,1588,1701,3289,7938,8662,16601,1621,1728,3348,1562,1610,3174,1448,1594,3041,1464,1566,3034,1324,1510,2830,7409,8011,15422,1312,1483,2790,1297,1403,2708,1253,1377,2627,1221,1345,2564,1199,1254,2449,6281,6860,13141,1120,1278,2399,1082,1226,2305,1051,1092,2143,1021,1156,2180,1053,1050,2105,5337,5796,11126,871,900,1773,744,804,1545,664,766,1424,577,610,1183,531,621,1152,3388,3698,7081,2004,2388,4394,913,1370,2288,294,728,1020,93,232,324,3,28,33,214,236,454,145854,150913,296773
124,3857,1868,1950,3813,1884,1988,3870,1965,2022,3989,1905,2098,3995,9500,10018,19519,1974,2105,4083,1812,2083,3891,1801,1985,3789,1753,1992,3744,1705,1892,3594,9041,10055,19101,1610,1828,3439,1543,1794,3341,1529,1702,3232,1538,1676,3212,1597,1626,3225,7808,8631,16440,1444,1617,3063,1451,1513,2957,1325,1490,2818,1353,1501,2855,1344,1477,2819,6923,7593,14512,1095,1206,2292,1004,1092,2092,941,993,1933,755,901,1654,674,849,1515,4456,5033,9490,2587,3298,5883,1309,2009,3319,450,987,1427,98,341,442,5,55,61,206,204,410,163051,168967,332011
125,4882,2564,2643,5208,2514,2645,5159,2617,2617,5233,2533,2567,5099,12627,12953,25577,2331,2458,4789,2300,2487,4783,2273,2268,4541,2228,2300,4533,2159,2182,4340,11292,11702,22987,2032,2093,4122,1890,2053,3945,1871,2073,3951,1768,1880,3646,1642,1702,3347,9208,9810,19012,1527,1729,3261,1581,1604,3178,1431,1564,2989,1519,1569,3095,1455,1457,2916,7516,7920,15441,1280,1289,2571,1127,1224,2350,1110,1109,2226,984,1066,2052,874,996,1872,5375,5694,11068,3608,4306,7913,2120,2644,4766,908,1486,2399,210,489,699,20,57,78,612,690,1301,252040,242233,494269
126,2296,1086,1238,2325,1206,1257,2465,1201,1248,2446,1151,1171,2319,5709,6129,11849,1055,1182,2238,1038,1099,2136,994,1103,2101,959,1167,2128,987,1134,2117,5032,5698,10726,955,1098,2053,942,1056,1994,856,1008,1859,823,980,1805,796,932,1725,4366,5071,9441,783,861,1649,856,834,1687,727,800,1527,681,775,1452,725,822,1553,3776,4100,7871,606,655,1260,498,583,1083,525,603,1125,430,546,979,464,517,981,2527,2899,5431,1813,2447,4261,1151,1673,2827,613,1040,1654,152,348,504,19,44,57,301,384,684,98096,103447,201544
127,5653,2914,2861,5773,2921,2784,5704,2914,2889,5805,2829,2754,5587,14381,14137,28520,2703,2870,5580,2639,2846,5484,2594,2519,5110,2473,2605,5078,2305,2556,4863,12716,13401,26112,2150,2434,4580,2104,2368,4473,2017,2148,4162,1978,2021,4002,1660,1915,3573,9911,10886,20793,1736,1819,3553,1668,1786,3457,1609,1661,3273,1473,1574,3046,1436,1543,2982,7926,8389,16310,1239,1304,2551,1112,1129,2244,1066,1120,2188,934,1073,2013,922,933,1854,5285,5562,10844,3387,4120,7506,1886,2589,4480,779,1302,2075,174,340,510,19,57,77,331,401,726,234788,239460,474248
128,2780,1380,1416,2792,1427,1533,2955,1394,1521,2911,1433,1529,2957,7013,7385,14400,1447,1510,2960,1326,1375,2704,1338,1403,2741,1284,1452,2740,1219,1350,2564,6621,7094,13714,1267,1355,2623,1144,1247,2384,1105,1192,2292,1142,1210,2353,1015,1154,2164,5667,6157,11825,1031,1100,2141,1037,1157,2197,936,1104,2036,1018,1065,2085,1007,1174,2188,5038,5606,10646,831,1005,1831,804,964,1764,819,920,1737,690,789,1479,653,741,1393,3793,4418,8213,2456,3056,5511,1523,2109,3630,734,1403,2133,161,400,556,20,66,87,130,147,273,111180,116726,227909
197,3,0,0,4,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,4,0,4,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,31,4,38
201,2169,1080,1105,2189,1097,1163,2257,1119,1235,2353,1192,1218,2408,5504,5868,11370,1080,1229,2303,1031,1120,2143,1067,1225,2296,1109,1144,2256,1054,1129,2189,5339,5849,11190,1021,1142,2162,1080,1128,2211,1025,1090,2114,1032,1120,2148,959,1107,2068,5114,5580,10697,962,1062,2022,973,980,1949,927,989,1914,915,980,1893,935,984,1913,4709,4988,9693,776,790,1561,668,748,1410,644,734,1375,583,644,1226,554,577,1133,3215,3493,6709,2024,2297,4323,1075,1529,2603,419,850,1266,106,278,385,5,28,33,77,61,143,84380,88419,172802
202,2062,1004,1075,2075,1033,1191,2226,1118,1219,2342,1015,1254,2271,5122,5849,10976,1142,1203,2343,1087,1116,2204,1090,1198,2291,1051,1176,2230,1023,1124,2146,5394,5817,11211,1021,1074,2091,1017,1060,2073,1005,1133,2139,1035,1087,2120,1011,1045,2053,5084,5402,10480,976,1032,2013,952,1000,1954,862,927,1794,885,905,1792,942,989,1935,4623,4860,9479,722,721,1434,692,772,1464,621,683,1299,567,604,1169,537,614,1152,3140,3387,6523,2093,2389,4484,1130,1544,2672,499,892,1392,129,276,399,9,22,26,82,60,135,81367,85564,166934
203,3644,1871,2067,3936,1863,2067,3924,1850,2132,3988,1901,2144,4040,9224,10311,19534,1842,2095,3932,1807,2088,3897,1858,2091,3952,1784,2065,3850,1844,1996,3841,9134,10335,19469,1869,2039,3903,1777,1967,3741,1758,1951,3716,1622,1924,3543,1695,1817,3507,8720,9693,18411,1645,1766,3413,1616,1739,3347,1502,1766,3266,1501,1695,3196,1581,1775,3360,7848,8742,16586,1285,1444,2726,1108,1297,2403,1129,1227,2359,941,1136,2074,935,1063,1998,5402,6166,11566,3471,4366,7838,1918,2776,4700,874,1572,2443,195,482,680,13,58,69,139,170,313,158446,166757,325205
204,2494,1205,1284,2489,1187,1331,2513,1432,1365,2794,1393,1469,2857,6439,6708,13143,1358,1504,2858,1377,1458,2833,1313,1384,2702,1331,1384,2715,1246,1365,2611,6623,7095,13718,1341,1304,2648,1302,1360,2662,1299,1233,2535,1316,1283,2603,1160,1149,2304,6417,6342,12755,1196,1181,2372,1207,1174,2378,1125,1150,2277,1127,1084,2208,1109,1167,2267,5754,5759,11513,977,874,1847,821,925,1737,738,796,1536,692,722,1414,661,760,1422,3884,4069,7958,2483,2751,5229,1227,1745,2971,569,969,1543,116,264,381,4,42,54,129,125,255,92523,95210,187736
205,3745,1876,2097,3973,1998,2152,4148,2081,2317,4394,2184,2302,4486,9943,10800,20737,2213,2336,4544,2207,2367,4572,2196,2362,4554,2136,2345,4483,2057,2310,4366,10807,11716,22519,2194,2253,4448,2086,2241,4326,2136,2184,4321,2132,2278,4412,2165,2172,4332,10711,11136,21844,2117,2018,4143,2058,2130,4189,1952,1917,3869,1943,1892,3835,1985,1948,3925,10052,9898,19954,1577,1609,3193,1465,1495,2960,1319,1388,2707,1180,1254,2430,1099,1165,2264,6644,6906,13549,4239,4621,8861,2127,2775,4900,892,1487,2381,169,423,591,12,65,75,214,129,347,146677,152035,298708
206,6217,2956,3041,5998,3012,3147,6160,3068,2988,6054,2904,2798,5704,15050,15078,30132,2890,2961,5851,2578,2782,5364,2704,2667,5376,2394,2570,4962,2346,2633,4979,12910,13615,26527,2225,2466,4687,2156,2346,4500,2002,2243,4240,1947,2162,4104,1913,2054,3967,10239,11261,21505,1900,2088,3989,1709,2017,3721,1673,1856,3526,1703,1979,3685,1753,1983,3733,8736,9920,18655,1486,1542,3026,1280,1573,2847,1243,1350,2597,1059,1202,2260,1062,1254,2318,6128,6923,13049,4133,5418,9551,2406,3574,5981,1082,1825,2910,289,610,900,22,68,90,1296,1177,2473,300823,315393,616210
207,4698,2200,2404,4605,2226,2444,4672,2236,2428,4667,2182,2411,4601,11051,12185,23235,2056,2305,4367,2010,2239,4244,1984,2157,4136,1912,2095,4010,1895,2147,4042,9855,10944,20797,1764,2042,3803,1719,1982,3693,1714,1933,3648,1524,1871,3397,1607,1805,3414,8325,9635,17961,1485,1804,3290,1525,1840,3367,1423,1772,3192,1496,1830,3327,1530,1902,3436,7467,9153,16615,1357,1597,2951,1188,1522,2712,1221,1548,2770,1074,1394,2462,1126,1342,2473,5968,7397,13363,4659,6155,10811,2939,4123,7061,1403,2464,3862,332,757,1090,29,115,146,658,624,1279,178910,192537,371446
208,5285,2550,2717,5267,2532,2751,5285,2598,2727,5325,2491,2784,5282,12705,13734,26440,2398,2606,5009,2316,2509,4828,2259,2472,4732,2203,2332,4535,2053,2383,4439,11237,12303,23544,2059,2197,4253,1967,2220,4193,1841,2155,3998,1844,2100,3946,1723,2189,3912,9434,10862,20298,1724,2043,3768,1678,1991,3671,1638,1984,3623,1624,1976,3602,1864,2122,3985,8522,10123,18645,1474,1739,3208,1309,1660,2963,1223,1483,2703,1064,1359,2424,1051,1329,2382,6115,7565,13680,4335,5788,10119,2594,4153,6756,1386,2657,4043,385,926,1305,28,157,181,360,439,802,201432,217352,418786
209,6227,2938,3124,6062,2965,3222,6180,3011,3248,6258,2814,3106,5925,14721,15928,30655,3001,3172,6170,2725,2971,5700,2677,3003,5679,2577,2878,5459,2587,2759,5345,13571,14784,28360,2464,2802,5267,2351,2609,4962,2142,2480,4622,2181,2423,4609,2060,2302,4361,11203,12618,23821,1965,2270,4237,1982,2258,4238,1945,2167,4111,1927,2095,4022,1930,2188,4120,9752,10983,20730,1556,1780,3332,1533,1639,3177,1371,1589,2959,1273,1453,2724,1191,1359,2552,6929,7816,14742,4600,5727,10332,2712,3801,6510,1107,2018,3121,233,588,820,20,59,80,391,453,844,266090,273144,539239
