SA4_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
511,279,570,850,118,207,327,168,627,794,166,997,1163,525,2183,2703,539,1294,1832,1570,1284,2858,1311,1416,2726,1373,1682,3054,1621,1413,3036,1293,1158,2455,1418,1097,2514,3355,1984,5337,2637,365,2999,2353,653,3009,1429,200,1630,3663,987,4650,3454,323,3776,490,1507,2001,27754,19956,47710
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,13,13
601,463,749,1209,197,296,488,251,928,1174,319,1923,2243,1099,5322,6430,1418,3323,4743,3744,2368,6113,3692,2696,6388,4561,2931,7489,5482,2135,7611,3985,1907,5897,4124,1331,5454,8668,1966,10629,6430,406,6835,4877,523,5400,3225,165,3387,7407,769,8173,4233,602,4831,537,1070,1603,64705,31393,96103
602,328,517,848,188,252,443,185,763,950,286,1599,1890,927,4332,5258,1066,2564,3630,3611,1595,5203,3040,1943,4987,3287,1823,5111,3743,1243,4985,2557,937,3490,2532,690,3222,5170,870,6040,3367,188,3565,2461,207,2668,1401,64,1471,2882,380,3262,2761,263,3019,459,836,1298,40257,21064,61320
603,111,151,260,69,77,145,63,193,261,87,447,530,305,1254,1562,326,582,912,1101,412,1519,899,493,1390,994,439,1432,1054,273,1319,711,251,960,741,165,908,1300,232,1534,925,46,972,572,76,647,311,24,332,605,133,743,974,49,1022,159,244,405,11308,5542,16845
604,250,405,651,145,177,321,162,623,783,223,1341,1560,776,3733,4512,869,1998,2872,3260,1140,4402,2408,1389,3795,2510,1354,3860,2898,841,3739,2005,719,2722,1983,545,2529,3835,687,4521,2578,95,2669,1749,134,1886,976,33,1008,1821,252,2069,2464,157,2620,435,800,1230,31341,16413,47756
697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,184,441,627,59,130,191,116,337,453,170,833,1002,350,1205,1563,416,775,1194,865,807,1676,873,1154,2030,1307,1420,2729,1651,1429,3083,1454,1299,2753,1673,1181,2855,4442,2085,6526,3658,436,4100,3273,567,3836,2478,228,2708,6465,985,7455,3825,639,4467,296,847,1151,33581,16801,50387
702,84,311,401,170,149,319,302,344,641,184,404,592,608,738,1345,392,514,904,850,723,1571,879,862,1741,997,1185,2176,1074,1124,2196,814,940,1759,814,824,1643,1760,1581,3341,1469,427,1897,1271,556,1830,836,236,1065,1925,894,2813,1843,290,2132,384,1306,1696,16660,13414,30072
797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,7
801,542,1043,1589,239,390,635,248,990,1242,319,1927,2249,855,4232,5086,1096,2764,3862,2531,2713,5247,2737,3385,6117,4041,4177,8218,5688,4438,10129,5113,4869,9976,5486,4224,9706,14033,8438,22468,12128,1021,13149,12033,2044,14082,9814,619,10431,33714,3516,37228,6046,1100,7150,544,1013,1561,117214,52899,170110
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,8,14,23,7,13,23,6,14,18,12,36,43,20,80,99,21,50,67,50,53,104,55,55,107,64,60,123,72,50,122,63,33,96,72,38,109,127,36,166,97,0,98,75,19,95,57,4,60,94,18,111,97,8,102,26,30,56,1008,615,1629
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
