SA4_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
111,475,10280,640,0,11394,602,11754,783,16,13155,1592,22524,1369,46,25534,2400,20029,1158,31,23616,3308,19023,1035,20,23389,3907,17639,948,30,22520,2743,15578,932,20,19277,1367,9224,848,8,11448,402,3007,567,0,3975,16785,129054,8279,174,154293,562,9776,586,7,10933,803,11328,686,14,12835,2507,22379,1197,36,26118,3968,19682,1030,26,24702,5499,18147,896,16,24562,6240,17121,851,33,24244,3882,16420,1012,41,21362,1598,10906,1187,8,13706,313,5384,1173,8,6881,25378,131145,8629,192,165341,1029,20052,1224,8,22324,1408,23082,1470,33,25990,4100,44905,2568,80,51648,6368,39707,2187,53,48321,8814,37164,1936,41,47950,10142,34762,1797,64,46759,6629,31998,1950,56,40641,2960,20133,2034,19,25153,718,8393,1740,7,10855,42167,260201,16907,364,319641
112,299,6081,700,0,7077,337,4875,531,34,5778,834,10319,1236,74,12468,1395,11480,1339,24,14242,2130,12373,1300,35,15836,2803,13884,1328,22,18042,2067,14145,1212,23,17452,996,7439,783,15,9239,320,2446,472,3,3236,11173,83031,8917,248,103370,346,5740,629,3,6723,421,4734,528,24,5707,1367,11151,1253,73,13843,2516,12060,1315,35,15924,3654,12532,1257,22,17460,4706,13659,1237,27,19631,3072,13915,1164,29,18173,1240,8138,975,9,10360,245,3994,872,3,5119,17569,85913,9233,233,112948,641,11817,1332,10,13803,753,9610,1062,53,11481,2200,21467,2489,151,26310,3907,23542,2656,64,30172,5782,24906,2554,60,33295,7515,27543,2566,50,37675,5142,28055,2381,51,35626,2237,15570,1761,33,19608,567,6433,1344,4,8350,28746,168947,18150,474,216312
113,239,4848,546,8,5640,244,4508,599,37,5377,639,8993,1197,106,10942,925,7617,1112,89,9739,1236,7520,1006,15,9779,1467,7920,821,10,10216,989,6674,639,8,8307,534,3668,466,0,4670,135,1237,216,0,1586,6414,52977,6589,273,66251,314,4458,434,0,5212,378,4360,399,13,5150,1112,8663,754,34,10564,1585,7391,675,12,9668,2117,7054,661,7,9834,2428,7220,679,17,10344,1437,6337,602,9,8386,553,4152,546,11,5259,114,2141,382,0,2631,10038,51782,5136,100,67053,558,9309,979,4,10850,622,8870,995,46,10530,1757,17658,1954,138,21505,2509,15010,1784,106,19409,3354,14572,1664,23,19614,3896,15140,1496,28,20561,2427,13005,1242,20,16693,1090,7818,1014,6,9927,246,3371,597,3,4218,16449,104758,11725,376,133301
114,209,3869,344,6,4417,208,3154,348,4,3714,530,6618,786,12,7945,801,6596,762,8,8171,1268,7263,706,11,9260,1685,8758,655,12,11111,1420,9754,575,8,11760,843,5889,484,6,7216,218,1679,256,0,2155,7183,53572,4918,78,65747,234,3560,321,4,4119,240,2923,233,10,3406,864,6589,504,16,7971,1406,6576,506,11,8503,2090,7327,535,4,9950,2803,8858,559,11,12231,2052,10169,583,12,12814,930,6163,601,10,7707,170,2470,447,0,3087,10787,54627,4286,78,69788,444,7426,660,11,8537,449,6080,578,18,7121,1389,13205,1286,28,15915,2208,13171,1275,23,16672,3356,14588,1247,22,19211,4484,17618,1214,22,23337,3479,19921,1156,22,24573,1774,12050,1084,12,14924,386,4143,707,0,5242,17966,108202,9206,164,135539
115,399,8794,295,10,9500,424,7510,253,13,8193,687,11449,463,37,12641,1691,16324,638,20,18674,2225,15545,537,25,18339,2087,12668,394,41,15186,1275,10002,359,66,11706,614,5340,320,28,6301,170,1519,307,7,2005,9574,89151,3561,249,102538,388,8109,241,6,8744,450,6772,201,14,7430,1083,11677,505,22,13287,2560,17272,648,34,20510,3452,15404,503,23,19385,3215,12175,431,82,15906,1824,10303,402,103,12632,694,5732,424,16,6859,134,2390,502,10,3036,13793,89836,3849,319,107799,790,16903,533,20,18248,869,14279,455,20,15625,1772,23124,963,59,25927,4250,33597,1282,58,39186,5683,30947,1038,53,37720,5298,24847,822,123,31096,3097,20307,753,172,24336,1310,11073,741,40,13161,303,3911,807,14,5041,23374,178984,7411,562,210335
116,514,11288,890,10,12696,693,12010,1241,12,13953,1723,24583,2849,49,29196,2997,28770,2503,40,34311,2639,19864,1576,23,24100,2049,15551,1082,71,18754,1271,10866,704,114,12949,581,4804,460,27,5875,132,1245,207,4,1590,12598,128979,11512,336,153421,613,10393,770,7,11776,821,10977,865,21,12682,2726,25937,2274,35,30974,4361,27444,2138,28,33973,3917,18598,1303,42,23857,3086,15364,934,189,19578,1730,11785,815,161,14488,578,5586,562,24,6757,86,2328,411,5,2831,17922,128404,10073,520,156916,1124,21676,1660,11,24474,1516,22990,2101,32,26631,4453,50515,5124,80,60170,7358,56211,4645,63,68282,6552,38465,2878,65,47956,5137,30910,2016,261,38331,2997,22649,1522,273,27444,1161,10392,1019,59,12629,215,3579,616,12,4420,30517,257385,21579,860,310340
117,200,4435,413,46,5098,500,13422,1742,127,15788,1585,43506,4511,415,50020,1927,27694,2727,239,32590,2227,17010,1878,165,21285,1876,12570,1439,152,16036,922,8320,938,90,10275,437,4092,637,31,5199,123,1206,298,0,1626,9799,132255,14581,1266,157905,207,4497,397,32,5131,515,14017,1333,120,15980,1897,41584,3599,324,47412,2388,23231,1917,151,27692,2885,13642,1130,127,17782,2531,10293,893,177,13897,1374,7996,697,93,10161,554,4427,615,24,5624,87,1747,488,3,2326,12432,121442,11069,1053,145996,402,8928,812,85,10230,1012,27436,3075,248,31766,3486,85096,8113,736,97428,4313,50927,4645,389,60276,5114,30655,3008,294,39063,4408,22863,2331,328,29929,2300,16314,1637,179,20431,994,8517,1249,57,10823,208,2954,781,7,3950,22235,253699,25653,2323,303905
118,266,5598,374,19,6268,363,6519,546,70,7507,875,20518,1814,120,23330,1404,16495,1356,79,19334,2063,13224,982,70,16340,2172,10028,739,65,13000,1082,8119,560,58,9824,597,5012,514,20,6138,225,1805,444,6,2473,9050,87320,7339,507,104213,249,5306,293,14,5859,446,7112,477,79,8111,1186,23337,1591,119,26229,2092,17022,1041,61,20225,3169,13291,745,63,17268,3153,9837,537,68,13596,1712,8842,589,55,11198,872,5990,749,23,7633,179,2786,970,8,3944,13059,93521,6990,499,114061,512,10900,672,33,12122,810,13635,1019,148,15613,2059,43849,3403,239,49557,3502,33520,2401,136,39555,5227,26516,1724,135,33609,5321,19862,1275,130,26600,2791,16957,1150,118,21022,1468,11001,1258,41,13769,407,4591,1411,15,6423,22106,180842,14326,1006,218273
119,798,15540,1141,27,17503,1126,19392,1755,58,22329,2727,41866,4180,122,48892,4001,34839,3130,96,42060,4971,28660,2245,88,35963,4590,26961,1964,89,33605,2490,20235,1458,88,24281,1340,11530,1278,30,14177,504,4506,910,7,5926,22552,203521,18064,596,244738,824,14246,1036,25,16128,1335,17453,1424,31,20244,3785,39733,3629,102,47252,6046,33154,2866,72,42138,7399,28550,2281,82,38318,6687,26422,1868,175,35149,3619,20973,1522,125,26247,1665,13096,1492,45,16298,363,6601,1785,12,8760,31734,200232,17908,660,250532,1625,29784,2178,50,33634,2459,36849,3175,85,42576,6515,81596,7812,221,96142,10051,67990,6000,164,84199,12369,57211,4527,170,74277,11278,53387,3831,259,68754,6113,41211,2986,214,50521,3008,24627,2770,75,30473,869,11106,2694,17,14682,54285,403758,35968,1263,495267
120,297,6256,265,12,6826,487,10195,798,23,11499,1172,25192,1849,92,28312,1862,19817,1228,53,22959,2434,15256,803,42,18535,2427,12744,683,62,15911,1229,9641,577,61,11508,633,5433,475,16,6554,231,2153,326,7,2714,10782,106677,6999,365,124827,292,6052,273,12,6630,573,9481,621,30,10703,1560,25217,1687,63,28531,2566,19650,1113,45,23376,3941,15904,769,45,20667,3683,13147,649,109,17584,2035,10752,598,69,13456,843,6478,584,22,7929,181,3421,711,0,4314,15682,110113,6998,390,133188,589,12306,538,23,13455,1057,19677,1412,48,22200,2736,50413,3541,153,56847,4427,39468,2335,103,46338,6383,31157,1578,89,39205,6109,25888,1335,161,33498,3271,20395,1172,127,24969,1472,11915,1055,39,14490,420,5574,1030,8,7033,26461,216796,14002,758,258015
121,482,11513,327,25,12335,603,10229,388,35,11250,1134,22517,1072,73,24801,2424,27632,1175,104,31332,3387,24161,828,115,28492,3521,18747,691,110,23069,2102,14721,611,138,17561,1198,9211,523,49,10985,416,3375,392,11,4197,15269,142091,6000,660,164014,494,10741,318,32,11589,612,9872,327,29,10843,1495,24736,1139,90,27461,3573,30141,1189,89,34994,5494,25174,893,95,31654,5349,18951,700,163,25160,3193,16574,736,159,20656,1548,10796,730,50,13133,355,5465,906,7,6730,22109,152450,6941,716,182221,970,22257,641,56,23924,1208,20100,719,61,22088,2625,47250,2213,171,52259,5995,57770,2360,193,66325,8890,49330,1722,207,60149,8875,37695,1390,275,48232,5290,31288,1342,295,38215,2751,20005,1252,109,24116,775,8838,1296,18,10930,37380,294544,12937,1379,346233
122,302,7843,283,15,8443,320,6547,232,13,7114,649,12620,620,51,13946,1236,14870,677,39,16822,2162,16385,595,34,19178,2474,12819,522,36,15848,1338,9483,387,24,11229,734,6350,345,19,7444,252,2197,291,6,2744,9470,89114,3944,234,102773,314,7203,220,3,7740,401,5909,231,15,6556,884,13185,654,71,14799,1952,15790,656,35,18430,3724,16082,613,36,20455,3796,11927,467,38,16224,1956,10108,411,31,12510,941,7387,528,14,8868,223,3591,667,3,4490,14191,91190,4448,249,110075,616,15049,501,25,16184,724,12455,465,25,13666,1540,25807,1269,124,28744,3186,30657,1334,71,35249,5887,32468,1204,71,39633,6267,24740,986,74,32071,3291,19591,796,57,23744,1676,13734,876,27,16313,476,5787,966,10,7236,23664,180298,8394,483,212842
