SA4_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
111,165,284,1548,2150,438,3862,411,2717,132,11717,823,2651,3388,4785,1811,2855,784,2074,238,19407,3723,12701,7001,5503,4515,2619,1988,2717,618,41387,5626,12432,5339,4046,4923,1859,2130,2326,578,39261,5679,9577,4647,4165,5704,2130,2525,2766,559,37752,3523,6325,3372,3205,4543,1788,2260,2584,369,27966,811,1805,620,586,1025,418,499,597,109,6468,128,208,59,28,115,51,53,78,54,776,10,9,0,3,8,3,0,6,16,54,20489,45995,25979,24476,23084,15580,10662,15858,2679,184787
112,110,107,901,1258,225,2404,223,1831,134,7182,385,643,1582,1695,695,1213,354,1307,135,8007,1912,4267,3606,2746,1804,1451,807,2157,330,19084,3514,5874,3341,2732,2457,1317,873,1919,438,22472,3863,5828,3028,3188,3036,1617,1163,2287,445,24453,3347,4503,2472,2896,2895,1570,1437,2535,310,21961,1481,1538,668,628,887,493,479,742,146,7046,385,141,49,30,87,49,51,73,89,956,68,9,0,9,6,6,4,5,27,126,15054,22899,15652,15185,12091,10113,5387,12855,2052,111291
113,140,126,1070,1138,231,1548,159,1118,109,5641,375,726,1616,1667,520,891,348,1169,140,7455,1691,3406,2727,2183,1453,1006,944,2374,315,16104,2442,3094,2003,1696,1627,838,1003,1937,295,14929,2836,2690,1618,1617,1941,881,1168,1884,279,14913,2690,2002,1408,1390,1886,811,1350,1772,213,13515,1383,608,404,300,517,218,463,494,91,4480,409,63,41,20,67,26,38,72,62,797,73,0,4,0,9,5,3,4,19,105,12040,12715,10890,10005,8250,6227,5473,10818,1517,77948
114,84,73,733,758,145,1301,118,984,95,4293,239,460,1285,1105,364,671,222,693,82,5118,1174,2522,2630,1770,1123,894,563,1099,169,11944,2045,2909,2136,1536,1351,767,612,1114,195,12675,2431,3153,1912,1783,1786,994,783,1343,225,14411,2189,2805,1611,1594,1788,993,848,1245,197,13280,882,1142,418,346,625,340,257,368,82,4449,205,167,42,29,98,52,28,62,57,739,17,9,0,6,6,7,0,0,14,59,9272,13239,10770,8924,7290,6013,3432,6907,1117,66967
115,133,443,1097,1205,531,2187,199,1307,86,7195,612,2566,1976,1742,1621,1730,461,877,189,11771,2803,7924,2656,1581,2832,1249,708,832,372,20970,7234,12238,2841,1720,4585,1644,798,847,569,32470,7685,9098,2799,2069,4996,1695,1084,1149,438,31018,4571,5524,2152,1363,3784,1304,1026,1044,281,21039,1194,1903,606,347,1249,412,334,384,113,6544,209,225,59,27,131,77,43,50,32,864,18,13,4,3,8,0,0,4,12,55,24449,39926,14188,10050,19743,10297,4656,6506,2098,131916
116,128,311,874,866,446,2600,492,1520,156,7383,699,2449,2069,2384,2211,2456,2070,1768,388,16501,3857,12115,4560,4141,5639,2599,4636,2897,1046,41503,7376,15641,4640,4245,7869,2582,4497,2850,1048,50743,4619,7307,3534,3281,5829,1746,4004,3007,627,33962,2255,3475,2441,2163,3957,1186,3085,2449,380,21395,436,785,518,467,892,274,690,589,94,4749,28,69,35,22,41,27,27,27,19,302,3,0,3,0,5,0,0,7,4,17,19403,42161,18674,17578,26887,13474,19503,15120,3768,176562
117,59,285,287,722,248,1071,88,503,40,3304,1090,5166,1714,3404,2399,2316,565,1212,347,18219,10193,32267,6654,5837,7351,4145,1822,3400,1375,73054,10959,18740,3469,2717,4796,2200,991,1705,839,46423,6906,10083,2015,1729,3729,1488,834,1096,438,28315,3465,5889,1294,1173,2511,878,715,999,249,17159,805,1879,332,291,760,273,208,340,97,4975,132,248,29,24,73,48,11,37,29,638,16,20,0,3,7,5,0,0,3,54,33632,74573,15803,15898,21874,12413,5223,9302,3416,192139
118,98,320,329,767,270,1064,120,472,43,3484,647,3036,904,1740,1452,1279,257,531,219,10053,6456,18082,3571,2584,3609,2411,740,1413,726,39588,8321,13361,2122,1542,2951,1620,458,734,614,31734,7010,10078,1496,1465,2984,1455,446,639,503,26068,3777,6413,1075,1156,2557,955,488,656,307,17382,1155,2632,355,366,990,395,173,245,186,6504,259,509,60,37,184,100,18,49,64,1284,28,44,5,0,13,19,0,3,18,139,27743,54477,9919,9659,15026,9298,2694,4741,2670,136223
119,112,515,1063,1129,666,3127,315,1491,156,8564,1151,4997,2923,3835,3340,4167,1154,2641,613,24818,6446,20547,6880,6573,8099,4809,3204,4830,1623,63005,9096,16109,5867,4691,8506,3685,2984,3336,1299,55568,7668,10704,5139,4428,8495,3207,3555,3711,993,47886,4464,6659,4226,3265,6189,2342,3602,3845,649,35242,1014,1796,949,688,1557,588,820,1029,222,8664,107,212,96,61,133,69,47,91,48,872,11,14,7,0,7,5,0,0,10,47,30072,61549,27152,24667,36995,21989,15667,20982,5606,244684
120,57,363,353,703,363,1379,100,647,59,4029,659,3325,1423,2566,1881,2179,464,1690,291,14470,5465,18390,3776,3506,4954,2781,1175,2336,879,43268,8440,14854,2703,1907,4342,1800,781,1170,687,36685,7478,10614,2186,1718,4254,1624,757,1119,477,30224,4137,7033,1731,1274,3384,1231,849,1176,290,21102,1037,2417,448,339,1041,343,283,373,117,6396,130,298,57,18,130,54,33,50,35,804,20,24,5,0,7,3,0,7,9,74,27426,57322,12678,12027,20351,11396,4444,8577,2850,157055
121,91,744,499,1664,558,2230,270,1178,88,7313,867,4925,1488,2946,2255,2277,356,847,248,16202,6609,21017,3278,2988,4623,2603,539,1203,702,43556,13235,25012,3020,2398,5931,2455,605,939,931,54541,13302,19355,2511,2375,6176,2145,652,1005,766,48286,7755,12383,1830,1722,4641,1657,655,1073,483,32198,2168,4559,578,492,1869,682,242,469,198,11246,444,898,66,76,315,137,28,75,83,2111,55,49,4,0,17,12,0,5,35,177,44524,88946,13286,14656,26377,14189,3334,6793,3533,215638
122,116,329,948,1507,350,2091,349,1180,64,6934,619,2073,1879,2182,1106,1603,384,714,138,10693,3833,8632,3522,2268,2224,1665,585,987,400,24113,7926,10501,2886,1778,3142,1609,531,865,466,29709,9082,10557,2793,2154,4404,1872,760,1058,453,33122,5122,6619,1973,1528,3624,1494,862,1075,322,22612,1210,2139,558,444,1227,512,332,403,94,6916,216,337,79,45,203,94,32,47,49,1106,15,22,9,0,7,11,0,5,17,89,28137,41212,14647,11898,16286,10959,3829,6324,2000,135285
123,123,165,1381,972,339,2266,378,1595,174,7398,566,1490,2337,1995,1504,1769,981,1413,298,12360,3006,6795,4669,3359,4081,2042,2614,2393,693,29656,4523,7222,4058,3348,5015,1972,2940,2193,652,31924,3947,4684,3276,2931,4444,1744,3045,2362,490,26921,2447,2898,2215,1998,3480,1299,2582,2001,336,19257,577,861,504,389,892,313,599,465,89,4689,78,72,28,15,56,23,42,35,25,381,4,3,0,0,0,0,0,0,0,22,15270,24196,18478,15014,19811,11427,13178,12468,2766,132607
124,133,196,1617,1250,423,2646,399,1912,149,8722,676,1674,2958,2519,1763,1796,1125,1676,267,14456,3447,7778,5670,4004,4741,2245,3060,2591,634,34167,5133,8373,4408,3478,5524,1879,3299,2300,688,35084,5090,6548,3666,3264,5490,1855,3271,2327,550,32068,3256,4747,2711,2443,4392,1464,2639,2109,393,24148,778,1553,663,536,1136,417,669,520,104,6370,108,175,47,24,101,57,52,44,36,652,16,9,0,5,4,0,5,3,8,48,18628,31056,21732,17521,23578,12357,14519,13480,2830,155712
125,90,423,598,750,476,2110,298,1132,129,6007,873,3921,2240,3044,2563,3020,1519,2622,571,20378,5663,20705,5596,5575,7178,3990,3770,4300,1704,58469,8227,18114,5039,3736,7477,2657,2882,2724,1290,52157,5265,8330,3842,3111,5559,1863,2565,2747,791,34061,2889,4786,2843,2134,4145,1329,2461,2831,477,23908,676,1362,625,489,1107,334,570,689,125,5975,64,146,40,39,101,40,40,45,29,550,7,13,5,0,4,4,0,0,11,45,23749,57793,20822,18878,28615,15336,14103,17100,5139,201545
126,49,312,220,591,291,1095,93,512,38,3213,442,2368,877,1393,1286,1335,208,553,149,8611,3029,11784,2212,1680,3125,1634,467,792,495,25220,5126,10944,1908,1283,3226,1249,455,619,461,25274,4468,6990,1425,1176,2788,908,453,723,258,19190,2613,4584,1249,965,2288,784,535,782,196,13997,603,1520,296,237,729,225,174,274,71,4127,96,193,28,21,103,35,8,21,21,537,6,15,5,0,0,0,0,3,5,43,16442,38706,8211,7354,13848,7277,2399,4285,1698,100212
127,156,304,1017,1063,470,2704,530,1560,172,7986,828,3297,2399,2614,2684,2659,1807,1648,487,18424,4209,12003,5079,4410,6352,2744,3611,2783,1089,42281,5463,8986,4430,3680,6465,2372,3992,2997,1025,39407,4418,5366,4226,3332,5514,2147,4553,4066,763,34389,2658,2888,3153,2225,3824,1486,4126,3709,499,24564,621,771,707,392,820,317,763,822,111,5330,79,64,34,9,64,26,40,56,20,390,6,3,0,3,7,0,0,0,8,29,18424,33696,21047,17735,26198,14460,19420,17646,4176,172795
128,77,262,1164,1238,386,1868,187,1137,56,6375,547,2029,2068,1863,1291,1330,324,656,137,10242,3164,7408,3510,2333,2735,1372,580,765,347,22225,5763,8019,2863,1946,3855,1377,702,834,432,25798,5805,6671,2893,2275,4727,1681,946,1089,397,26488,3470,4633,2076,1575,3881,1314,927,1048,224,19153,862,1472,504,351,1159,391,326,328,68,5467,112,192,64,32,135,46,26,48,28,695,11,8,3,0,8,4,0,4,12,62,19809,30698,15150,11628,18179,9382,4028,5918,1713,116501
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,13,0,0,18,0,0,0,0,0,0,7,0,0,12,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,35
201,112,73,692,785,156,1703,115,1136,86,4859,359,688,1424,1440,618,1081,269,965,109,6957,1457,3857,2853,2223,1688,1136,815,1440,233,15712,2311,4307,2285,1796,2006,846,788,1266,223,15832,2743,3732,2068,2052,2332,989,1068,1506,278,16767,2096,2759,1654,1682,1932,919,1091,1541,222,13903,817,834,355,337,475,243,320,433,98,3913,244,74,32,21,37,30,15,45,38,535,24,4,3,4,3,0,0,0,9,56,10171,16329,11357,10343,9260,6952,4480,8344,1299,78536
202,73,40,604,720,162,1652,137,1202,84,4671,271,734,1245,1286,575,929,314,1018,112,6487,1284,3987,2583,2010,1407,972,780,1676,231,14924,2384,4422,2104,1724,1781,811,753,1379,228,15580,2768,3961,1912,1915,2168,943,983,1396,256,16293,2106,2816,1529,1736,1948,867,1077,1501,223,13801,890,934,359,372,521,248,294,405,82,4111,248,75,33,16,45,30,24,60,39,567,34,8,0,0,0,3,0,0,13,62,10058,16971,10372,9775,8608,6453,4359,8640,1266,76490
203,122,88,1096,1673,257,3277,255,2098,124,8987,644,1643,2750,3127,1197,2363,825,1817,248,14617,3258,9938,6292,4649,3312,2192,1865,2798,543,34852,5342,9831,4975,3697,3981,1813,1588,2307,572,34115,5380,7643,4154,3875,4293,1900,1924,2489,559,32222,3583,5324,2884,3043,3573,1666,1941,2312,395,24718,1136,1685,677,592,1002,469,516,721,158,6963,258,168,62,36,77,44,36,94,55,826,30,12,3,0,8,4,0,4,17,74,19753,36336,22892,20703,17704,13725,8959,14634,2670,157372
204,102,56,849,1100,208,1678,177,1434,134,5728,356,517,1658,1532,495,791,490,1042,135,7012,1619,3256,3119,2408,1409,1024,1028,1790,273,15924,2693,3697,2571,2039,1730,894,1042,1556,285,16512,3325,3442,2390,2161,2418,1198,1393,1888,327,18536,3079,2794,1995,1942,2264,1147,1528,2122,276,17142,1822,966,549,486,619,336,486,660,132,6057,609,106,43,31,76,37,36,86,62,1081,61,3,0,4,9,6,4,9,22,118,13665,14835,13170,11692,9228,7102,6177,10591,1656,88111
205,157,82,1229,1303,248,2664,162,1745,197,7791,588,964,2255,1889,918,1299,414,1446,170,9948,2383,5234,4705,3305,2461,1698,1364,2784,473,24409,3517,5049,3951,2953,2865,1423,1503,2567,462,24289,4355,4560,3640,3381,3414,1808,1945,2940,456,26502,4088,4165,3253,2865,3376,1685,2161,2959,474,25022,2180,1374,798,670,962,503,629,891,209,8210,636,153,64,51,107,59,55,117,102,1346,89,0,9,0,3,0,3,10,30,152,17997,21589,19908,16406,14362,11136,8242,15462,2569,127669
206,132,447,405,2367,584,2898,207,1708,108,8854,1839,8902,3296,8196,4922,5747,1049,3066,666,37683,16594,61434,11713,12401,14137,7634,2613,5697,2190,134421,18568,36308,5671,4616,8526,3390,1293,2197,1394,81971,13960,21327,3626,3397,6869,2597,1143,1707,925,55549,7848,13507,2372,2401,5015,1816,1023,1514,551,36043,2091,4781,627,571,1530,608,271,489,221,11195,363,724,80,46,162,107,29,90,88,1675,33,38,4,0,9,7,0,0,22,119,61419,147466,27783,33995,41758,24810,7628,16475,6173,367512
207,107,405,380,1969,563,3024,184,1507,80,8221,914,4213,1753,3390,2526,3713,573,1596,322,18996,4560,16776,3661,3229,4511,2733,916,1647,823,38855,8410,16329,2762,2118,4240,2075,668,979,787,38369,9982,14168,2747,2459,5254,2324,764,1250,656,39611,6011,10284,2268,2104,4145,1731,775,1311,421,29045,1643,3571,606,572,1479,534,257,499,163,9320,294,590,94,70,208,112,36,102,60,1563,28,38,0,3,16,7,0,9,24,133,31942,66375,14266,15913,22934,16262,4178,8913,3331,184112
208,116,332,619,2554,592,3612,245,1852,117,10034,848,3492,2156,3582,2440,3480,574,1408,277,18261,5649,17548,4944,3899,4967,2860,1073,1791,777,43508,11652,19207,3989,2941,5492,2538,788,1181,922,48716,13369,17102,3836,3489,6997,2934,1036,1462,846,51079,7549,10902,2972,2710,5584,2179,1086,1442,488,34904,1971,3844,924,723,1900,809,402,607,189,11370,293,542,121,75,242,153,42,110,75,1640,31,40,9,0,15,10,5,14,27,156,41490,73008,19574,19966,28230,18565,5249,9872,3719,219669
209,167,263,1390,1914,513,4532,282,2375,194,11625,990,3143,4225,4234,2649,4271,1253,2647,511,23911,6022,18771,9721,7291,7407,3928,3309,4381,1283,62114,10306,20165,8266,6364,8470,3148,3506,3520,1312,65057,9386,13130,6714,5506,8527,3223,3504,3820,898,54712,5257,7647,4504,3843,6443,2389,3029,3376,589,37079,1244,2130,1066,803,1602,633,798,979,157,9400,186,206,88,47,132,65,54,133,62,972,17,17,5,4,10,3,3,10,14,77,33574,65466,35977,30003,35746,22183,15736,21243,5017,264944
210,131,160,1095,1167,382,3352,276,1879,175,8607,751,2108,3362,2777,2074,2977,1273,2360,466,18153,4527,12571,7839,5582,6061,2927,3616,3977,1189,48288,6963,12173,6220,4823,6286,2367,3565,2982,1027,46402,5647,7242,4896,4082,5841,2240,3177,3142,749,37016,3333,4171,3283,2681,4619,1749,2739,2505,462,25540,702,1071,675,519,1040,405,599,635,126,5771,134,104,62,29,75,48,37,83,31,605,13,4,3,0,4,3,0,0,12,31,22190,39609,27434,21665,26367,16060,15287,17561,4242,190420
211,194,265,1852,2486,503,4957,359,3136,196,13954,1039,3063,4665,3854,2439,4059,1058,2551,421,23136,5303,16108,9245,5569,6253,3289,1959,3298,996,52021,10198,18501,7961,5013,7645,3097,2113,3076,1027,58630,10428,13773,7767,5710,8985,3471,2850,3686,981,57654,6815,8956,5886,4505,7662,2825,2879,3546,653,43717,1759,2670,1406,1029,2022,814,846,1158,211,11911,272,349,130,78,181,94,55,150,50,1356,17,13,3,0,7,11,3,10,28,93,36022,63705,38914,28250,35690,22610,12126,20603,4561,262480
212,256,505,1887,2612,870,6784,672,4204,335,18117,1648,5547,6532,6113,4483,6845,2868,5552,985,40572,8754,25318,16100,10855,11897,6874,8185,10197,2585,100770,13619,24568,13764,10094,12384,5504,7935,8168,2183,98207,11375,15169,10887,8457,11285,4711,7263,8254,1627,79026,6810,8364,7171,5284,8312,3148,6310,6687,1020,53111,1633,2380,1593,1075,2097,773,1383,1652,280,12865,285,259,135,66,202,95,55,197,99,1388,35,10,10,0,9,8,9,8,38,128,44411,82121,58086,44554,51543,34732,34679,44910,9147,404186
