SA4_CODE_2021,M_15_19_yr_VWOG_Volunteer,M_15_19_yr_VWOG_Not_vol,M_15_19_yr_VWOG_NS,M_15_19_yr_Oseas_visitors,M_15_19_yr_Total,M_20_24_yr_VWOG_Volunteer,M_20_24_yr_VWOG_Not_vol,M_20_24_yr_VWOG_NS,M_20_24_yr_Oseas_visitors,M_20_24_yr_Total,M_25_34_yr_VWOG_Volunteer,M_25_34_yr_VWOG_Not_vol,M_25_34_yr_VWOG_NS,M_25_34_yr_Oseas_visitors,M_25_34_yr_Total,M_35_44_yr_VWOG_Volunteer,M_35_44_yr_VWOG_Not_vol,M_35_44_yr_VWOG_NS,M_35_44_yr_Oseas_visitors,M_35_44_yr_Total,M_45_54_yr_VWOG_Volunteer,M_45_54_yr_VWOG_Not_vol,M_45_54_yr_VWOG_NS,M_45_54_yr_Oseas_visitors,M_45_54_yr_Total,M_55_64_yr_VWOG_Volunteer,M_55_64_yr_VWOG_Not_vol,M_55_64_yr_VWOG_NS,M_55_64_yr_Oseas_visitors,M_55_64_yr_Total,M_65_74_yr_VWOG_Volunteer,M_65_74_yr_VWOG_Not_vol,M_65_74_yr_VWOG_NS,M_65_74_yr_Oseas_visitors,M_65_74_yr_Total,M_75_84_yr_VWOG_Volunteer,M_75_84_yr_VWOG_Not_vol,M_75_84_yr_VWOG_NS,M_75_84_yr_Oseas_visitors,M_75_84_yr_Total,M_85_yr_over_VWOG_Volunteer,M_85_yr_over_VWOG_Not_vol,M_85_yr_over_Voluntary_wk_ns,M_85_yr_over_Oseas_visitors,M_85_yr_over_Tot,M_Tot_VWOG_Volunteer,M_Tot_VWOG_Not_vol,M_Tot_VWOG_NS,M_Tot_Overseas_visitors,M_Tot_Tot,F_15_19_yr_VWOG_Volunteer,F_15_19_yr_VWOG_Not_vol,F_15_19_yr_VWOG_NS,F_15_19_yr_Oseas_visitors,F_15_19_yr_Total,F_20_24_yr_VWOG_Volunteer,F_20_24_yr_VWOG_Not_vol,F_20_24_yr_VWOG_NS,F_20_24_yr_Oseas_visitors,F_20_24_yr_Total,F_25_34_yr_VWOG_Volunteer,F_25_34_yr_VWOG_Not_vol,F_25_34_yr_VWOG_NS,F_25_34_yr_Oseas_visitors,F_25_34_yr_Total,F_35_44_yr_VWOG_Volunteer,F_35_44_yr_VWOG_Not_vol,F_35_44_yr_VWOG_NS,F_35_44_yr_Oseas_visitors,F_35_44_yr_Total,F_45_54_yr_VWOG_Volunteer,F_45_54_yr_VWOG_Not_vol,F_45_54_yr_VWOG_NS,F_45_54_yr_Oseas_visitors,F_45_54_yr_Total,F_55_64_yr_VWOG_Volunteer,F_55_64_yr_VWOG_Not_vol,F_55_64_yr_VWOG_NS,F_55_64_yr_Oseas_visitors,F_55_64_yr_Total,F_65_74_yr_VWOG_Volunteer,F_65_74_yr_VWOG_Not_vol,F_65_74_yr_VWOG_NS,F_65_74_yr_Oseas_visitors,F_65_74_yr_Total,F_75_84_yr_VWOG_Volunteer,F_75_84_yr_VWOG_Not_vol,F_75_84_yr_VWOG_NS,F_75_84_yr_Oseas_visitors,F_75_84_yr_Total,F_85_yr_over_VWOG_Volunteer,F_85_yr_over_VWOG_Not_vol,F_85_yr_over_Voluntary_wk_ns,F_85yr_over_Oseas_visitors,F_85_yr_over_Tot,F_Tot_VWOG_Volunteer,F_Tot_VWOG_Not_vol,F_Tot_VWOG_NS,F_Tot_Overseas_visitors,F_Tot_Tot,P_15_19_yr_VWOG_Volunteer,P_15_19_yr_VWOG_Not_vol,P_15_19_yr_VWOG_NS,P_15_19_yr_Oseas_visitors,P_15_19_yr_Total,P_20_24_yr_VWOG_Volunteer,P_20_24_yr_VWOG_Not_vol,P_20_24_yr_VWOG_NS,P_20_24_yr_Oseas_visitors,P_20_24_yr_Total,P_25_34_yr_VWOG_Volunteer,P_25_34_yr_VWOG_Not_vol,P_25_34_yr_VWOG_NS,P_25_34_yr_Oseas_visitors,P_25_34_yr_Total,P_35_44_yr_VWOG_Volunteer,P_35_44_yr_VWOG_Not_vol,P_35_44_yr_VWOG_NS,P_35_44_yr_Oseas_visitors,P_35_44_yr_Total,P_45_54_yr_VWOG_Volunteer,P_45_54_yr_VWOG_Not_vol,P_45_54_yr_VWOG_NS,P_45_54_yr_Oseas_visitors,P_45_54_yr_Total,P_55_64_yr_VWOG_Volunteer,P_55_64_yr_VWOG_Not_vol,P_55_64_yr_VWOG_NS,P_55_64_yr_Oseas_visitors,P_55_64_yr_Total,P_65_74_yr_VWOG_Volunteer,P_65_74_yr_VWOG_Not_vol,P_65_74_yr_VWOG_NS,P_65_74_yr_Oseas_visitors,P_65_74_yr_Total,P_75_84_yr_VWOG_Volunteer,P_75_84_yr_VWOG_Not_vol,P_75_84_yr_VWOG_NS,P_75_84_yr_Oseas_visitors,P_75_84_yr_Total,P_85_yr_over_VWOG_Volunteer,P_85_yr_over_VWOG_Not_vol,P_85_yr_over_Voluntary_wk_ns,P_85_yr_over_Oseas_visitors,P_85_yr_over_Tot,P_Tot_VWOG_Volunteer,P_Tot_VWOG_Not_vol,P_Tot_VWOG_NS,P_Tot_Overseas_visitors,P_Tot_Total
111,1193,9598,604,0,11394,1238,11154,746,16,13155,2181,21977,1335,46,25534,3218,19267,1100,31,23616,3466,18915,987,20,23389,2931,18678,882,30,22520,3177,15222,863,20,19277,1731,8889,816,8,11448,273,3172,526,0,3975,19397,126868,7860,174,154293,1467,8888,563,7,10933,1698,10457,664,14,12835,2873,22039,1167,36,26118,4411,19282,982,26,24702,3972,19710,868,16,24562,3421,19988,795,33,24244,3729,16652,939,41,21362,1797,10781,1121,8,13706,274,5466,1131,8,6881,23650,133273,8235,192,165341,2660,18488,1165,8,22324,2941,21607,1414,33,25990,5050,44020,2503,80,51648,7629,38547,2082,53,48321,7435,38622,1852,41,47950,6353,38668,1679,64,46759,6908,31872,1805,56,40641,3524,19673,1935,19,25153,544,8641,1664,7,10855,43041,260140,16093,364,319641
112,767,5626,686,0,7077,547,4664,525,34,5778,1195,10013,1183,74,12468,2109,10813,1291,24,14242,2577,11951,1268,35,15836,2959,13763,1291,22,18042,3389,12870,1173,23,17452,1526,6940,755,15,9239,265,2530,443,3,3236,15332,79165,8624,248,103370,871,5242,599,3,6723,641,4531,519,24,5707,1704,10831,1233,73,13843,3058,11551,1279,35,15924,3348,12871,1221,22,17460,3752,14633,1220,27,19631,4373,12652,1124,29,18173,1975,7472,898,9,10360,341,3953,815,3,5119,20067,83745,8909,233,112948,1632,10868,1290,10,13803,1185,9197,1038,53,11481,2900,20840,2416,151,26310,5175,22360,2577,64,30172,5923,24823,2491,60,33295,6714,28395,2517,50,37675,7758,25521,2296,51,35626,3499,14419,1650,33,19608,605,6485,1260,4,8350,35398,162912,17532,474,216312
113,772,4341,517,8,5640,562,4212,571,37,5377,1104,8570,1155,106,10942,1568,7025,1054,89,9739,1740,7049,978,15,9779,1905,7519,782,10,10216,1815,5870,611,8,8307,949,3288,429,0,4670,139,1235,206,0,1586,10563,49108,6303,273,66251,916,3887,407,0,5212,718,4031,387,13,5150,1358,8456,724,34,10564,1973,7039,643,12,9668,2080,7116,628,7,9834,2016,7659,658,17,10344,2112,5688,579,9,8386,1172,3587,488,11,5259,213,2070,355,0,2631,12540,49533,4872,100,67053,1688,8230,928,4,10850,1282,8244,957,46,10530,2457,17028,1879,138,21505,3543,14061,1697,106,19409,3817,14165,1604,23,19614,3920,15173,1434,28,20561,3922,11560,1192,20,16693,2121,6874,920,6,9927,349,3309,564,3,4218,23104,98642,11175,376,133301
114,467,3597,349,6,4417,316,3051,337,4,3714,693,6456,777,12,7945,1091,6337,731,8,8171,1485,7077,685,11,9260,1849,8612,633,12,11111,2465,8714,570,8,11760,1303,5457,451,6,7216,212,1681,257,0,2155,9887,50993,4792,78,65747,580,3220,319,4,4119,357,2814,229,10,3406,883,6586,490,16,7971,1540,6451,494,11,8503,1822,7607,522,4,9950,2365,9309,546,11,12231,3048,9195,557,12,12814,1466,5671,561,10,7707,231,2421,435,0,3087,12289,53271,4143,78,69788,1048,6813,664,11,8537,673,5859,568,18,7121,1577,13047,1268,28,15915,2634,12790,1226,23,16672,3304,14685,1205,22,19211,4214,17920,1176,22,23337,5515,17912,1129,22,24573,2772,11128,1013,12,14924,445,4107,687,0,5242,22182,104259,8936,164,135539
115,1306,7928,248,10,9500,1064,6892,225,13,8193,1260,10901,438,37,12641,2181,15877,594,20,18674,2858,14951,498,25,18339,2184,12594,380,41,15186,1840,9464,338,66,11706,972,4987,317,28,6301,153,1529,310,7,2005,13811,85135,3343,249,102538,1516,7015,211,6,8744,1372,5859,188,14,7430,1451,11339,470,22,13287,3035,16850,597,34,20510,3315,15565,481,23,19385,2318,13107,391,82,15906,1962,10202,364,103,12632,972,5469,404,16,6859,157,2373,498,10,3036,16100,87782,3601,319,107799,2824,14944,458,20,18248,2432,12753,420,20,15625,2719,22243,901,59,25927,5214,32729,1192,58,39186,6174,30516,978,53,37720,4499,25697,773,123,31096,3796,19666,697,172,24336,1945,10462,716,40,13161,313,3905,804,14,5041,29912,172916,6945,562,210335
116,1131,10727,833,10,12696,1111,11650,1173,12,13953,1985,24470,2697,49,29196,2943,29004,2335,40,34311,2416,20194,1472,23,24100,1542,16118,1021,71,18754,1043,11160,634,114,12949,391,5025,428,27,5875,46,1345,195,4,1590,12605,129692,10784,336,153421,1344,9729,697,7,11776,1474,10371,820,21,12682,2461,26343,2131,35,30974,3265,28681,1998,28,33973,2508,20062,1247,42,23857,1711,16793,878,189,19578,1268,12302,760,161,14488,415,5813,502,24,6757,62,2358,403,5,2831,14513,132449,9433,520,156916,2476,20452,1536,11,24474,2582,22026,1988,32,26631,4445,50816,4828,80,60170,6204,57679,4332,63,68282,4918,40259,2717,65,47956,3252,32907,1902,261,38331,2317,23461,1392,273,27444,805,10841,929,59,12629,108,3701,598,12,4420,27121,262142,20219,860,310340
117,640,4006,405,46,5098,1870,12089,1703,127,15788,4553,40647,4408,415,50020,3299,26393,2655,239,32590,2634,16643,1850,165,21285,2029,12465,1385,152,16036,1332,7948,907,90,10275,521,4025,619,31,5199,68,1269,291,0,1626,16941,125481,14209,1266,157905,808,3905,381,32,5131,2488,12046,1326,120,15980,5413,38166,3499,324,47412,3550,22117,1872,151,27692,2882,13664,1112,127,17782,2146,10713,860,177,13897,1473,7927,670,93,10161,558,4460,582,24,5624,87,1756,481,3,2326,19407,114756,10780,1053,145996,1451,7912,785,85,10230,4361,24135,3023,248,31766,9965,78817,7903,736,97428,6848,48509,4530,389,60276,5513,30304,2960,294,39063,4177,23185,2241,328,29929,2805,15870,1577,179,20431,1079,8486,1195,57,10823,149,3025,773,7,3950,36348,240244,24988,2323,303905
118,1286,4597,359,19,6268,1155,5749,531,70,7507,2331,19116,1759,120,23330,2411,15544,1307,79,19334,2831,12507,930,70,16340,2214,10024,698,65,13000,1585,7626,546,58,9824,767,4867,490,20,6138,167,1873,430,6,2473,14748,81902,7056,507,104213,1373,4189,284,14,5859,1599,5970,462,79,8111,3128,21458,1528,119,26229,3268,15869,1020,61,20225,3715,12762,722,63,17268,2443,10559,528,68,13596,1880,8696,564,55,11198,952,5930,720,23,7633,187,2787,960,8,3944,18556,88215,6788,499,114061,2658,8788,643,33,12122,2757,11716,995,148,15613,5462,40574,3284,239,49557,5680,31411,2328,136,39555,6551,25273,1650,135,33609,4653,20579,1235,130,26600,3472,16323,1108,118,21022,1719,10794,1210,41,13769,360,4660,1394,15,6423,33304,170116,13844,1006,218273
119,1475,14927,1084,27,17503,1672,18921,1681,58,22329,3127,41693,3947,122,48892,3262,35753,2950,96,42060,3175,30591,2108,88,35963,2579,29077,1861,89,33605,1999,20823,1368,88,24281,969,11972,1210,30,14177,192,4842,884,7,5926,18447,208594,17094,596,244738,1722,13404,978,25,16128,2301,16588,1328,31,20244,3748,39954,3450,102,47252,4301,35025,2736,72,42138,3845,32286,2099,82,38318,2887,30368,1727,175,35149,2330,22363,1426,125,26247,1049,13768,1445,45,16298,228,6772,1746,12,8760,22411,210522,16939,660,250532,3199,28327,2063,50,33634,3971,35510,3006,85,42576,6871,81653,7398,221,96142,7564,70774,5688,164,84199,7022,62882,4208,170,74277,5460,59444,3585,259,68754,4335,43184,2794,214,50521,2015,25734,2656,75,30473,417,11611,2637,17,14682,40856,419123,34030,1263,495267
120,1090,5477,249,12,6826,1115,9606,762,23,11499,2337,24125,1761,92,28312,2362,19395,1145,53,22959,2686,15040,770,42,18535,2092,13117,649,62,15911,1611,9267,569,61,11508,684,5390,457,16,6554,138,2254,320,7,2714,14109,103671,6681,365,124827,1193,5177,247,12,6630,1548,8515,608,30,10703,2941,23916,1610,63,28531,3306,18975,1042,45,23376,3676,16217,723,45,20667,2584,14281,609,109,17584,2077,10752,557,69,13456,788,6557,565,22,7929,132,3507,677,0,4314,18244,107911,6644,390,133188,2277,10654,501,23,13455,2661,18116,1373,48,22200,5276,48044,3369,153,56847,5674,38376,2191,103,46338,6358,31260,1492,89,39205,4674,27400,1262,161,33498,3686,20022,1131,127,24969,1478,11944,1026,39,14490,263,5761,999,8,7033,32353,211582,13326,758,258015
121,2410,9604,302,25,12335,1711,9138,368,35,11250,2752,20958,1016,73,24801,4006,26104,1119,104,31332,5536,22058,791,115,28492,4417,17889,649,110,23069,3777,13062,588,138,17561,2377,8055,504,49,10985,406,3401,388,11,4197,27388,130259,5715,660,164014,2881,8384,290,32,11589,2247,8235,330,29,10843,3260,23009,1099,90,27461,6148,27629,1132,89,34994,7573,23158,829,95,31654,5053,19274,673,163,25160,4226,15576,701,159,20656,2471,9893,719,50,13133,429,5405,892,7,6730,34279,140562,6660,716,182221,5291,17985,595,56,23924,3959,17374,699,61,22088,6008,43968,2114,171,52259,10148,53732,2249,193,66325,13105,45210,1621,207,60149,9476,37165,1322,275,48232,8005,28637,1285,295,38215,4842,17944,1219,109,24116,832,8804,1276,18,10930,61667,270816,12377,1379,346233
122,1414,6745,269,15,8443,833,6042,222,13,7114,1387,11935,577,51,13946,2394,13773,619,39,16822,3796,14787,562,34,19178,2934,12397,476,36,15848,2171,8665,366,24,11229,1315,5774,347,19,7444,242,2211,283,6,2744,16488,82328,3723,234,102773,1662,5866,205,3,7740,1018,5306,212,15,6556,1615,12472,637,71,14799,3276,14499,620,35,18430,4744,15106,571,36,20455,2923,12820,446,38,16224,2379,9690,414,31,12510,1434,6933,488,14,8868,254,3585,645,3,4490,19308,86282,4238,249,110075,3081,12610,477,25,16184,1852,11353,431,25,13666,3001,24414,1212,124,28744,5671,28269,1244,71,35249,8540,29893,1128,71,39633,5860,25218,922,74,32071,4552,18352,778,57,23744,2745,12704,839,27,16313,498,5795,934,10,7236,35794,168604,7959,483,212842
