SA4_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
111,1832,7309,74,9221,35781,1701,64,46759,392,7496,31,7916,30798,1872,56,40641,88,1385,8,1481,21720,1932,19,25153,8,75,0,91,9078,1683,7,10855,62729,23285,2217,88234,214881,16162,364,319641
112,1680,4262,73,6012,29127,2485,50,37675,316,4224,19,4563,28723,2292,51,35626,59,722,6,784,17103,1683,33,19608,3,37,0,40,7015,1285,4,8350,37026,13636,1696,52357,145942,17538,474,216312
113,739,2971,41,3748,15326,1456,28,20561,160,2288,16,2459,13010,1200,20,16693,25,503,3,529,8450,940,6,9927,6,28,0,36,3597,580,3,4218,24559,9290,1058,34903,86734,11287,376,133301
114,846,2649,41,3537,18595,1181,22,23337,169,2645,10,2821,20637,1098,22,24573,51,518,7,569,13294,1045,12,14924,7,35,3,45,4498,695,0,5242,22610,8546,983,32135,94308,8932,164,135539
115,1864,2829,54,4748,25455,770,123,31096,484,3497,41,4023,19429,712,172,24336,65,629,11,700,11709,713,40,13161,11,31,0,42,4191,791,14,5041,53703,9663,655,64029,138823,6918,562,210335
116,1994,2969,68,5030,31133,1906,261,38331,492,2581,50,3128,22611,1432,273,27444,56,415,3,475,11126,977,59,12629,4,21,0,28,3786,589,12,4420,78561,11232,1063,90852,198075,20548,860,310340
117,1660,1164,24,2850,24511,2247,328,29929,283,1541,26,1853,16812,1592,179,20431,47,396,4,448,9109,1202,57,10823,0,22,0,26,3147,778,7,3950,37613,5700,418,43730,232788,25064,2323,303905
118,2435,1498,33,3971,21270,1225,130,26600,318,2656,21,2989,16814,1101,118,21022,83,714,9,804,11727,1193,41,13769,11,46,3,59,4960,1391,15,6423,42395,7209,488,50091,153314,13863,1006,218273
119,4385,3960,148,8492,56364,3639,259,68754,851,4222,75,5146,42308,2852,214,50521,159,867,13,1037,26718,2644,75,30473,28,66,0,94,11938,2632,17,14682,96583,14682,1046,112310,347456,34250,1263,495267
120,2491,1758,36,4286,27760,1295,161,33498,392,2676,41,3105,20611,1127,127,24969,83,611,8,700,12716,1029,39,14490,17,41,3,61,5965,1003,8,7033,50171,7320,486,57977,185842,13445,758,258015
121,4258,2771,74,7103,39507,1346,275,48232,791,5441,48,6284,30350,1289,295,38215,130,1307,11,1441,21355,1215,109,24116,7,52,0,64,9590,1257,18,10930,83007,12686,789,96480,235996,12387,1379,346233
122,2722,2276,52,5056,26007,930,74,32071,323,3756,31,4113,18803,770,57,23744,55,863,4,926,14504,857,27,16313,13,43,0,55,6239,940,10,7236,50888,9386,716,60990,143342,8028,483,212842
123,1445,3402,74,4930,25787,1307,93,32118,238,2433,33,2704,20430,1136,109,24373,43,331,3,380,10004,1098,28,11502,0,7,0,7,2882,775,14,3674,56184,10728,1187,68098,149078,12960,430,230569
124,1618,3855,67,5545,31431,1637,62,38681,308,3175,26,3515,26042,1392,93,31040,53,460,3,520,13655,1206,24,15401,8,25,0,37,4354,861,6,5263,59328,12776,1294,73401,175725,15743,384,265255
125,2883,2792,72,5746,39733,3088,249,48815,659,2838,38,3535,28730,2188,252,34704,126,546,10,686,16683,1619,80,19062,7,39,0,44,6555,1340,23,7963,83333,10544,784,94663,271338,32278,1213,399487
126,1600,1411,41,3046,18776,744,160,22729,475,2369,31,2879,13826,607,164,17474,68,443,3,515,8575,589,35,9722,11,26,0,34,4211,797,5,5047,37196,5715,319,43230,116047,7380,636,167292
127,3092,3384,101,6576,44984,3077,157,54791,583,2685,43,3309,31633,2163,137,37240,88,454,12,554,16070,1723,39,18387,15,36,0,49,5700,1390,15,7154,76055,11809,995,88857,260950,24857,668,375334
128,1454,2930,25,4413,23012,686,47,28160,230,3759,23,4009,17810,648,50,22513,41,636,3,681,12276,764,14,13733,6,26,0,37,5340,1034,7,6415,42740,9678,571,52983,125855,6610,245,185695
197,0,0,0,0,8,0,0,8,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,12,22,0,3,38
201,938,2871,44,3847,17505,1206,23,22584,197,2753,9,2954,16179,1256,21,20410,49,451,4,505,9518,1009,8,11039,0,23,0,26,3599,666,0,4290,27077,9294,1047,37407,94755,9413,125,141705
202,920,2935,37,3887,16980,1317,13,22199,172,2891,7,3069,15726,1165,26,19991,45,543,0,586,9420,998,9,11016,0,33,0,36,3689,777,9,4499,26613,9430,967,37009,90041,9687,119,136861
203,1711,5423,72,7210,30133,1661,46,39041,309,6400,27,6735,26587,1682,36,35044,54,1048,3,1104,16820,1470,13,19416,7,39,0,52,6799,1040,9,7897,54960,18297,1726,74982,175803,14898,280,265967
204,987,3204,43,4236,20863,1769,29,26895,197,2966,21,3183,19503,1577,17,24290,37,518,3,557,11496,1136,5,13195,7,26,0,33,4297,614,0,4945,27558,9988,1093,38639,104689,11846,234,155409
205,1425,5732,69,7225,33401,2637,39,43302,303,4899,14,5211,33839,2745,16,41819,72,744,6,828,19542,2041,13,22420,7,42,0,49,6644,1251,4,7952,42306,16881,1825,61022,166800,19370,326,247515
206,3817,3560,68,7450,45847,3363,313,56978,560,6237,41,6844,30857,2457,168,40325,123,1569,10,1701,19135,1762,44,22652,17,94,0,114,8525,1242,21,9903,73241,19023,1458,93732,418246,35173,2308,549459
207,3371,3716,93,7184,35717,1134,256,44293,714,7429,48,8185,25321,1072,201,34771,142,1960,12,2118,20946,1109,64,24240,19,80,0,97,11079,988,16,12181,63039,16684,1003,80716,219365,11560,1172,312822
208,3809,4412,80,8302,40262,1418,140,50121,538,8011,46,8591,28914,1440,132,39078,139,1761,9,1916,20464,1424,44,23852,20,86,0,101,10974,1205,16,12301,76251,18950,1515,96715,235301,13330,740,346087
209,3141,6879,96,10117,46608,2282,156,59168,608,8205,52,8871,33678,2003,174,44728,116,1493,9,1614,21844,1610,67,25137,20,61,3,86,9172,1282,16,10553,97931,23786,2054,123769,290473,20830,795,435868
210,2297,4736,93,7123,34897,1965,131,44124,462,4775,46,5276,24188,1402,113,30980,85,913,10,1012,16064,1174,44,18297,13,47,0,63,6867,759,6,7697,74478,16497,1465,92440,222938,19282,678,335334
211,3172,8450,108,11732,50497,1848,184,64264,752,10297,73,11118,37780,1658,173,50733,160,1834,18,2009,25768,1689,63,29523,18,76,0,92,10201,1501,15,11810,92670,28114,2598,123390,282194,15937,728,422244
212,5046,9604,196,14847,68575,3774,455,87652,1207,10149,107,11464,49889,2895,451,64699,242,1995,22,2259,33597,2494,149,38492,28,115,0,149,14181,1696,37,16059,152934,34710,3381,191028,457501,37699,1996,688222
213,4710,8574,187,13463,62550,4038,504,80554,1026,8319,83,9430,44703,2881,494,57509,147,1296,24,1463,23917,2048,104,27530,20,68,0,94,8957,1190,18,10257,160219,31036,3085,194344,426838,44663,1797,667639
214,1870,5318,68,7257,30420,1835,36,39559,351,6287,27,6669,27150,1771,55,35653,72,1189,12,1270,19381,1795,22,22476,20,54,3,72,7473,1462,7,9020,50427,17820,1768,70023,167646,15019,258,252944
215,655,2806,37,3503,16923,1640,26,22084,148,2070,8,2230,15046,1558,15,18855,26,375,0,403,9517,1194,3,11123,7,29,0,41,4142,714,0,4891,21341,8044,878,30272,86493,11579,248,128584
216,663,2324,36,3026,14165,1248,12,18446,159,1840,15,2011,13024,1142,22,16193,22,306,0,332,8530,1006,4,9871,0,21,0,21,3333,588,3,3950,19775,7012,691,27471,74968,9377,138,111958
217,606,2419,33,3053,14489,1013,13,18571,139,2171,9,2319,13070,1013,15,16407,27,409,6,435,7763,788,0,8987,4,21,0,26,3248,521,0,3793,18599,7284,704,26577,71527,7301,129,105544
297,0,3,0,4,45,111,0,158,0,0,0,0,7,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4,0,55,121,385,0,565
301,1349,4227,44,5619,24253,884,41,30795,245,4204,19,4467,20186,876,68,25596,38,782,4,822,12382,943,19,14162,4,36,0,40,4285,1021,12,5352,41979,13494,1455,56930,128161,7735,254,193086
302,1138,2709,42,3888,19192,764,91,23936,205,3295,21,3513,14112,728,73,18424,44,693,0,734,10067,746,20,11566,8,32,0,38,4828,843,13,5717,39698,10346,1030,51069,124239,8062,406,183779
303,2221,4084,74,6387,28818,1342,209,36751,582,4977,47,5602,20346,1045,189,27191,97,1023,8,1129,13261,889,37,15326,6,52,0,61,5898,631,4,6582,66381,15994,1482,83855,204305,13130,958,302242
304,1226,2004,30,3255,15697,363,71,19388,224,3516,16,3750,11887,338,81,16055,52,884,0,940,8149,319,19,9426,9,45,0,50,3559,303,7,3921,36021,8838,817,45676,100959,3939,428,151006
305,1750,2193,36,3980,22662,1742,215,28602,227,3309,17,3553,13690,1206,121,18570,28,691,3,727,7722,845,39,9332,8,23,3,32,3160,490,7,3689,41180,10601,958,52745,187518,17473,1636,259363
306,1544,3428,77,5055,28418,3417,148,37035,321,3051,21,3385,25255,3266,113,32024,59,659,4,727,12816,1811,46,15405,5,32,0,39,3856,786,7,4700,37150,12186,1701,51034,143394,23941,1951,220327
307,567,2051,29,2646,14053,1675,19,18388,103,1414,8,1528,13282,1332,8,16150,31,276,5,311,7641,925,0,8882,5,26,0,24,2478,457,0,2963,18610,6352,879,25843,69740,11008,267,106857
308,939,4006,38,4992,23349,2928,38,31314,173,2611,16,2798,18811,2173,58,23841,32,449,3,488,9846,1197,14,11547,7,25,0,32,3062,606,3,3704,36987,12491,1865,51347,117280,19439,688,188747
309,3602,8264,109,11975,59599,4218,298,76088,709,8582,62,9345,52195,3961,297,65808,149,1619,9,1779,32976,3374,128,38257,25,84,0,112,10841,2433,33,13411,105649,29562,3162,138372,355537,36731,1757,532398
310,1680,4970,93,6741,30263,2043,116,39163,312,3710,32,4058,22354,1520,97,28023,55,676,4,733,12711,1151,32,14627,10,38,0,45,4015,702,8,4769,63204,17633,2522,83350,179334,21579,512,284782
311,1578,4887,92,6558,28991,1947,83,37585,311,3841,36,4191,23801,1571,76,29634,55,658,3,720,12887,1137,27,14768,3,32,0,38,3808,605,7,4459,61275,18033,2586,81895,175444,19664,421,277425
312,744,3102,30,3872,18997,3917,56,26839,118,2014,3,2143,14824,2118,63,19146,31,323,3,354,7368,1015,21,8765,0,21,0,24,2253,382,7,2652,29209,9297,1279,39795,95882,24200,664,160542
313,1062,4168,60,5290,26194,1471,50,33008,256,3562,25,3841,27111,1458,44,32456,45,565,11,624,16660,1256,35,18577,5,36,0,40,5243,779,4,6068,39638,13797,1719,55153,145351,13907,633,215037
314,1023,3241,41,4305,17446,502,58,22314,165,3008,17,3189,12967,452,49,16660,26,563,9,597,7388,398,16,8387,5,21,0,28,2196,289,4,2518,43393,11344,1437,56172,105722,5807,247,167952
315,379,1115,40,1528,10256,2150,27,13966,84,667,4,756,8753,1681,20,11204,15,104,0,120,3091,597,9,3823,0,8,0,8,661,118,6,792,12277,4550,761,17583,47829,13089,559,79062
316,2342,5803,59,8204,43364,2509,125,54197,395,6230,29,6653,42268,2528,158,51607,101,1152,3,1255,27131,2279,96,30759,9,54,0,62,9291,1544,19,10915,63627,19359,2041,85031,228954,19531,1021,334536
317,690,2448,37,3174,14201,902,23,18293,127,2274,14,2418,12585,804,15,15826,36,426,6,465,8690,716,15,9884,13,22,0,36,3448,403,0,3888,25360,8629,1262,35249,86934,7392,213,129790
318,1027,3932,54,5016,22301,2063,56,29433,191,2971,13,3169,19321,1755,51,24297,34,591,5,625,10508,1101,21,12255,9,36,0,39,3389,561,8,3995,34929,12846,1757,49537,126518,17261,637,193956
319,1278,4430,72,5785,38387,2985,72,47221,328,3327,21,3679,43586,3215,66,50549,63,603,0,669,24971,2427,37,28104,6,27,0,37,7277,983,8,8298,38628,13944,1953,54522,187178,19940,874,262514
397,0,0,0,4,14,16,0,34,0,0,0,0,8,6,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,14,118,220,24,380
401,2136,4501,52,6693,29900,1308,133,38038,383,7365,35,7781,23931,1175,101,32982,90,1843,11,1940,17027,958,41,19966,10,107,0,119,8417,747,12,9294,49632,18499,1739,69877,181802,11293,860,263841
402,2013,7414,119,9543,39854,1762,137,51289,441,6750,34,7227,30760,1604,165,39750,85,1170,8,1261,20428,1405,37,23132,15,69,0,84,8015,981,13,9091,74779,24770,2780,102331,244124,17138,628,364211
403,1957,6989,82,9031,36051,1330,76,46487,414,9374,47,9836,30667,1274,98,41870,84,1821,9,1910,20350,1166,40,23465,10,84,0,90,9432,824,12,10354,60552,25277,2712,88536,207911,10683,446,307583
404,1371,3708,54,5132,24338,982,70,30527,253,4525,15,4794,18055,781,80,23710,52,961,4,1017,12559,732,22,14321,0,53,0,57,7017,427,6,7509,35492,13243,1213,49943,147401,7878,392,205615
405,504,2438,30,2970,13908,1043,3,17927,113,1974,9,2099,13871,1033,14,17014,22,304,6,332,8288,783,5,9414,3,16,0,22,2894,382,0,3297,15358,6873,717,22944,65764,6340,72,95117
406,358,1745,17,2117,9697,1358,22,13193,74,1093,5,1184,7987,947,12,10120,16,189,0,209,4434,565,0,5205,0,14,0,17,1519,225,0,1761,12514,5448,808,18772,47392,8921,125,75210
407,797,3812,40,4648,21986,1765,42,28444,201,3471,13,3683,23105,1743,37,28567,45,563,0,611,14345,1267,15,16246,11,24,0,30,5270,646,13,5953,25535,11513,1255,38300,110993,11976,904,162171
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,22,8,7,40
501,889,3497,43,4429,19118,1444,38,25038,177,3070,19,3265,17213,1284,29,21786,49,461,0,516,9777,877,16,11184,6,25,4,35,3341,561,0,3940,29642,10718,1673,42037,96298,10093,366,148794
502,464,2125,15,2601,10181,481,16,13280,92,1693,11,1790,11393,564,21,13763,33,291,0,331,7791,615,4,8737,0,26,0,22,2567,464,5,3055,14861,6429,801,22090,56937,4466,100,83597
503,1447,1954,38,3442,15905,1089,147,20586,223,3844,16,4083,11219,1002,95,16401,63,1166,4,1236,7470,807,37,9550,4,63,0,68,3870,601,15,4547,27768,10078,1085,38928,106454,10006,1288,156670
504,1463,4353,81,5892,23797,1276,110,31075,300,4094,20,4413,17535,923,90,22956,49,836,7,889,10422,754,29,12098,10,48,0,52,3847,525,4,4427,46495,15376,1921,63796,141061,11987,474,217319
505,3049,9801,146,13002,48283,1847,199,63333,642,11469,60,12173,35885,1556,147,49767,118,2294,14,2430,23084,1584,61,27157,14,121,0,138,9643,1057,15,10850,100380,34815,4157,139353,294334,17894,942,452521
506,2679,7953,121,10759,41568,2282,282,54888,628,8531,50,9208,32382,1778,282,43648,114,1619,14,1745,19536,1624,84,22986,14,91,0,106,7594,1406,24,9130,89557,29127,3477,122166,271484,23046,1293,417991
507,2446,7658,110,10211,37174,1796,175,49352,492,8034,42,8570,27871,1638,166,38238,106,1671,18,1799,17698,1633,47,21175,22,91,0,113,7337,1368,11,8839,76565,26895,3582,107042,221076,17991,915,347021
509,688,2393,34,3120,15977,1837,11,20945,120,1837,4,1972,14543,1524,18,18054,30,308,0,340,8015,1027,10,9394,0,24,0,23,2734,483,4,3246,18853,7175,1037,27067,73721,11647,294,112735
510,416,1264,30,1713,11824,4002,83,17613,54,801,12,861,7888,1646,60,10455,6,120,3,129,2024,456,5,2620,3,9,3,13,227,71,0,313,18471,5598,1470,25544,59310,25719,796,111367
511,608,2071,29,2709,14447,3042,52,20247,97,1423,10,1530,12162,1921,29,15647,29,238,0,266,5553,862,4,6695,6,19,0,21,1518,289,8,1832,19266,6601,1101,26971,70946,19924,453,118291
597,9,15,0,30,290,221,29,560,0,15,0,15,103,56,0,178,0,3,0,3,19,12,0,32,0,0,0,0,0,0,4,3,310,58,9,371,1489,1380,164,3410
601,1282,4202,52,5536,22906,1114,61,29621,242,5036,18,5296,19002,1131,40,25470,46,1072,5,1118,12255,955,22,14348,3,55,0,53,5006,529,7,5603,38030,15700,1977,55705,138398,10086,482,204671
602,734,2531,26,3288,16353,997,18,20659,130,2327,8,2460,14942,1011,13,18433,34,395,3,438,9155,797,11,10398,3,17,0,18,3215,463,8,3708,21649,8383,1034,31061,86887,7202,298,125452
603,243,836,14,1092,5618,467,0,7185,53,627,3,685,5138,455,6,6281,11,105,0,120,2381,268,0,2764,0,0,0,0,599,121,0,722,5617,2329,271,8221,24123,2694,57,35097
604,510,2267,38,2814,13099,826,22,16757,95,1553,7,1659,12201,866,13,14746,22,261,0,280,7365,744,6,8392,3,11,0,13,2547,309,7,2875,16231,6775,892,23898,65730,5959,157,95745
697,0,6,0,3,42,30,0,77,0,0,0,0,33,0,0,33,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,35,10,0,47,211,110,13,374
701,733,1851,28,2614,12783,2116,150,17665,186,1756,12,1951,9215,1517,83,12766,20,321,4,342,3540,524,22,4433,9,17,0,22,738,138,6,904,23377,7248,1093,31711,76815,15212,2555,126296
702,435,1585,156,2167,9168,2146,65,13556,131,950,47,1124,6834,1475,33,9464,15,152,14,177,1718,358,13,2264,3,23,0,31,276,47,0,357,13818,10138,2757,26714,46744,13056,553,87063
797,4,0,0,4,69,34,0,106,0,0,0,0,27,11,0,40,0,0,0,0,5,3,0,10,0,0,0,0,0,0,0,0,29,9,0,37,285,151,17,494
801,2642,5759,109,8509,34790,1454,179,44930,421,8245,50,8716,24868,1290,152,35030,88,2035,15,2139,15866,1028,49,19085,9,105,0,110,6337,753,7,7204,77645,24330,3050,105023,247937,16736,1020,370716
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,37,81,0,120,610,157,5,893,4,59,0,66,493,108,0,673,0,17,0,17,217,62,0,295,0,0,0,0,54,4,0,60,590,256,41,884,2683,1036,23,4630
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
