SA4_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
116,1732,168,54,0,0,1952,411,37,27,0,0,462,396,42,16,0,0,455,695,82,28,0,0,807,939,111,48,0,0,1103,3133,405,233,0,0,3777,4116,727,464,8,3,5317,8794,1672,823,8,12,11306,8627,1032,215,3,42,9917,8916,647,98,6,16,9675,4052,289,61,0,7,4402,3038,364,109,5,6,3521,44849,5576,2169,29,91,52712
117,284,439,858,10,0,1588,67,88,149,4,0,306,43,70,131,4,0,245,72,99,259,0,0,433,96,159,357,3,0,613,275,394,1265,3,0,1937,301,452,1565,9,4,2334,525,863,3570,16,8,4984,475,812,3148,3,0,4443,903,1637,3511,13,14,6079,1678,2999,2778,22,13,7488,342,405,1027,11,3,1789,5057,8426,18618,106,41,32245
118,632,372,567,17,0,1580,53,74,96,3,0,220,47,54,96,3,0,200,75,72,140,0,0,287,120,94,214,5,0,433,295,255,591,4,0,1136,268,277,698,15,0,1262,516,490,1386,15,3,2420,378,433,1305,12,0,2135,855,920,1912,15,5,3702,4028,3150,2196,38,9,9423,766,465,652,8,0,1889,8021,6655,9852,137,18,24679
119,2001,507,680,5,0,3198,465,137,198,5,0,805,450,116,168,0,0,731,610,175,355,4,0,1150,826,273,499,4,3,1611,2376,748,1544,21,0,4689,2462,916,2465,18,4,5863,4960,1822,4511,40,13,11335,3943,1500,2395,19,5,7858,6583,1891,1418,10,12,9913,7078,1127,690,7,7,8911,2996,704,916,16,0,4627,34750,9912,15832,139,54,60690
120,840,335,506,14,5,1703,163,66,104,0,0,328,129,52,109,0,0,285,186,72,206,0,0,466,250,122,250,3,0,623,671,300,903,7,3,1876,686,322,1213,18,0,2236,1277,714,3098,30,7,5118,997,594,2200,29,0,3824,2042,1246,2075,14,0,5371,5448,2286,1353,29,6,9124,1026,377,694,7,0,2106,13698,6484,12714,150,24,33071
121,1925,243,740,5,5,2914,308,33,137,0,0,474,245,33,131,0,0,406,354,33,208,0,0,595,433,46,290,0,0,776,1423,166,1016,5,0,2609,1381,181,1262,0,5,2820,2874,399,3228,18,4,6526,2281,345,2664,7,4,5295,4517,622,2787,13,8,7948,12924,1400,2430,17,3,16774,1986,204,879,7,4,3078,30634,3697,15778,71,25,50197
122,1183,114,294,5,4,1602,240,29,76,0,0,349,201,25,78,0,0,305,271,42,119,0,0,441,387,39,169,3,0,602,1053,94,501,8,0,1654,1033,117,633,9,3,1789,2088,230,1387,12,5,3712,1867,213,1218,8,0,3302,3995,374,1398,15,4,5784,9614,681,1093,12,11,11411,1591,150,418,0,6,2155,23524,2100,7379,61,26,33102
123,1327,100,31,0,4,1461,440,33,8,0,0,487,377,53,11,0,0,444,692,83,28,0,0,801,979,96,21,0,0,1101,3229,394,126,0,5,3753,4364,610,170,0,0,5146,9242,734,191,0,11,10173,7330,275,58,0,8,7668,5521,127,42,0,0,5691,2890,59,27,0,0,2983,2417,150,65,0,3,2636,38800,2711,777,7,31,42337
124,1627,115,47,0,3,1791,539,40,17,0,0,602,453,42,18,0,0,509,885,69,32,0,0,993,1163,100,60,0,0,1327,3612,389,245,0,6,4254,5062,673,418,4,9,6164,9719,1066,271,5,5,11063,7303,376,91,0,5,7777,5684,187,47,0,0,5923,2810,78,28,0,5,2925,2360,176,58,0,3,2593,41226,3314,1337,13,26,45914
125,1556,325,488,4,7,2383,343,84,110,0,0,538,302,80,134,0,0,520,448,121,215,0,0,790,680,171,333,4,0,1186,1892,571,1205,7,5,3682,2252,752,2218,10,9,5230,4222,1770,4387,21,14,10416,3479,1441,2224,10,9,7161,4881,1258,1131,12,9,7290,4187,669,587,3,7,5452,2152,556,838,6,3,3556,26407,7796,13862,73,66,48194
126,949,171,271,3,0,1399,138,40,57,0,0,232,131,19,42,0,0,185,190,38,97,0,0,322,241,49,141,0,0,434,652,167,428,0,4,1250,632,187,659,0,0,1483,1367,425,1741,4,0,3542,1088,377,1280,0,3,2746,2002,559,1017,3,3,3579,4826,627,484,0,5,5943,1044,167,371,0,3,1584,13259,2822,6584,17,16,22700
127,2004,189,157,0,3,2362,528,59,63,0,0,651,465,61,53,0,0,576,734,97,108,6,0,944,1084,125,149,0,0,1356,3245,437,582,0,0,4276,3993,640,680,0,6,5321,8551,1245,656,0,28,10471,7648,705,187,0,26,8568,7498,381,135,0,16,8034,3557,156,95,0,6,3819,3129,285,209,0,3,3630,42434,4388,3065,9,106,50007
128,958,157,183,0,4,1305,258,39,55,0,0,352,212,37,61,0,0,314,317,70,93,3,0,481,448,81,148,0,0,674,1287,226,417,0,0,1928,1448,298,686,3,0,2432,3018,645,1509,3,3,5185,2851,620,1007,4,4,4482,5064,888,644,0,7,6605,5703,596,333,3,3,6633,1389,206,271,3,0,1870,22954,3862,5404,21,19,32264
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,1010,44,5,4,0,1064,679,42,4,0,0,718,583,28,4,3,0,617,1230,83,8,6,6,1323,1730,100,28,0,0,1855,4722,263,33,12,7,5033,4657,120,12,10,8,4799,3858,84,6,3,11,3964,1262,26,0,3,4,1299,892,20,0,5,0,925,592,11,3,0,0,602,1240,40,3,0,3,1284,22454,857,108,47,33,23498
202,1078,25,4,5,3,1112,645,18,6,0,0,674,559,16,5,7,0,583,1105,36,3,9,0,1151,1609,62,4,8,0,1687,4851,118,15,6,8,5001,4716,76,13,7,8,4819,3692,46,6,17,7,3763,1329,10,0,7,0,1350,988,16,0,0,0,1004,634,3,4,0,4,641,1247,25,0,4,0,1277,22451,452,59,65,36,23056
203,1814,97,18,3,0,1932,874,45,14,0,0,930,686,38,7,0,0,737,1359,98,20,5,0,1480,1793,140,37,4,0,1974,6022,412,95,7,0,6538,7756,420,68,3,3,8249,9988,317,68,3,7,10390,4191,110,14,3,4,4329,3129,75,12,0,8,3225,2034,55,7,0,0,2100,2417,107,17,6,0,2545,42064,1922,374,31,32,44421
204,1083,29,11,4,8,1128,641,17,5,0,0,668,604,15,5,4,0,632,1200,56,0,6,0,1265,1887,83,18,5,7,1998,5043,111,17,9,5,5185,4736,46,10,9,10,4817,3837,20,11,5,3,3874,1276,10,3,4,9,1298,1004,4,0,6,0,1019,670,5,0,3,3,684,1379,23,4,3,0,1412,23368,424,82,68,41,23976
205,1866,67,25,0,7,1968,1173,37,14,3,3,1234,1178,25,19,0,0,1214,2406,66,30,6,0,2503,3319,82,45,4,6,3449,8286,149,67,7,8,8518,7293,80,32,10,9,7424,5725,65,17,5,16,5827,1944,19,0,3,0,1964,1409,15,4,4,0,1434,989,15,5,4,4,1011,2377,50,17,0,0,2445,37969,663,270,48,53,39004
206,1266,905,1247,11,3,3427,284,191,301,4,0,776,221,146,317,4,4,693,315,260,567,4,0,1145,476,384,935,5,0,1805,1213,1111,4186,29,4,6546,1273,1221,5839,43,13,8388,2391,2423,7469,77,11,12368,1916,1832,3173,32,3,6960,3299,2954,2680,38,11,8987,5130,3993,2091,28,11,11258,1319,1052,1466,10,3,3848,19106,16484,30255,284,65,66195
207,2162,535,238,0,0,2931,391,128,58,0,0,577,318,74,59,0,0,457,454,152,116,0,0,715,586,187,172,0,0,945,1685,567,784,4,0,3041,1573,650,1172,5,0,3403,3219,1280,1427,4,0,5935,2324,1084,584,4,0,3999,4446,1391,470,0,4,6307,8717,1498,287,4,8,10516,2207,525,287,0,6,3028,28080,8062,5654,22,26,41850
208,2075,653,316,10,0,3055,486,181,103,0,0,778,384,160,117,0,0,655,609,261,170,6,0,1041,821,326,274,10,0,1423,2237,944,1178,27,4,4392,2373,1166,1697,32,0,5263,4560,2330,2432,26,5,9355,3514,1727,1004,20,7,6269,5793,2160,723,8,6,8696,9095,1977,466,8,6,11548,2505,802,478,11,0,3802,34445,12677,8960,160,32,56280
209,2970,305,82,0,7,3367,1031,113,31,0,0,1175,887,119,24,0,0,1028,1455,202,60,0,0,1716,2048,318,129,7,0,2498,6529,1066,494,9,3,8098,9562,1591,590,7,5,11765,16064,2211,484,12,9,18781,8695,970,162,0,0,9836,7359,592,105,4,0,8067,4952,316,59,3,0,5329,4475,508,88,4,0,5077,66041,8307,2299,49,31,76734
210,2208,268,39,4,0,2516,821,93,25,0,0,935,643,77,12,0,0,734,1218,170,34,0,0,1431,1670,254,49,4,0,1969,5750,973,201,8,0,6931,8658,1465,255,0,4,10378,13914,1906,118,3,3,15951,5893,811,30,0,6,6734,4572,533,27,0,4,5141,3006,301,12,0,0,3323,3744,455,45,0,5,4257,52096,7321,838,23,25,60309
211,3721,287,44,0,4,4061,1258,103,21,0,0,1384,1147,100,14,0,0,1260,1859,135,30,4,0,2027,2494,211,66,0,0,2770,7515,695,281,4,5,8499,9425,1085,368,0,9,10877,16097,1546,259,3,7,17917,10420,809,72,3,4,11308,8781,480,40,4,7,9307,5117,219,30,0,6,5377,4392,307,57,4,3,4770,72222,5968,1285,27,44,79551
212,4733,411,163,0,3,5314,1487,164,62,0,0,1722,1357,143,55,0,0,1548,2316,270,102,0,0,2695,3173,346,202,0,4,3732,10691,1373,639,8,6,12716,16123,2027,679,3,10,18843,27567,2432,708,4,18,30728,12803,1141,328,0,4,14284,9695,828,311,3,5,10840,6764,461,157,0,3,7392,7034,674,204,0,6,7919,103747,10284,3616,22,57,117727
213,4456,518,109,5,3,5083,1425,189,48,4,0,1671,1295,179,54,0,0,1531,2283,325,107,0,0,2713,3265,450,214,3,0,3938,11702,1784,838,15,3,14340,17996,2401,909,9,17,21333,28078,3022,704,10,26,31843,11248,1362,235,3,9,12856,8240,1158,141,6,4,9550,5283,691,83,10,3,6078,7126,738,193,9,3,8066,102402,12821,3634,65,74,118991
214,1951,200,35,0,0,2193,762,92,9,0,0,869,620,92,10,0,0,723,1164,142,18,4,0,1324,1560,221,31,0,0,1818,4609,734,105,8,0,5449,6031,907,97,3,3,7035,9445,770,90,4,3,10304,4923,246,35,0,0,5213,3951,144,21,0,4,4124,2853,103,18,0,0,2975,2599,207,24,0,0,2833,40484,3856,498,23,14,44875
215,1066,19,7,0,0,1099,787,10,5,0,0,798,864,13,0,3,0,883,1692,31,13,3,4,1751,2107,48,21,3,0,2176,4313,66,27,3,0,4412,2483,27,5,0,0,2516,1653,12,4,8,0,1680,521,3,0,5,0,526,374,0,0,0,0,373,272,0,0,3,0,281,1066,18,8,8,0,1104,17196,251,96,39,12,17602
216,801,25,0,4,5,829,484,18,0,0,0,506,484,27,0,5,0,514,1070,52,0,7,3,1126,1594,33,0,0,0,1637,4071,84,3,3,3,4166,3105,30,0,4,0,3141,2207,19,0,7,4,2239,614,10,0,0,0,625,445,7,0,0,3,456,405,4,0,3,3,418,1014,25,0,5,0,1038,16293,325,4,45,23,16693
217,886,29,4,5,3,925,490,21,8,0,0,517,566,13,3,0,0,583,1142,30,6,4,0,1187,1502,57,18,6,0,1587,3555,85,19,9,0,3670,2695,46,10,5,6,2756,1957,29,5,3,0,1998,664,7,0,3,0,679,487,3,0,0,0,496,446,0,0,3,4,448,944,20,5,0,0,974,15336,347,78,48,20,15826
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,1287,93,39,0,0,1421,523,55,23,0,0,605,433,58,15,0,0,505,679,99,23,0,0,804,993,127,34,0,0,1163,2925,538,125,7,5,3597,4709,603,147,0,0,5462,9264,421,129,6,0,9818,4714,134,37,0,0,4883,3431,74,23,3,0,3539,1913,38,26,0,0,1982,1833,109,17,0,0,1962,32702,2350,643,22,12,35732
302,1068,95,68,0,0,1230,363,41,23,0,0,434,289,51,45,0,0,377,530,89,79,0,0,692,750,118,166,0,0,1038,2360,615,599,0,0,3578,3710,819,576,0,0,5115,6977,554,399,0,5,7934,3915,158,96,0,3,4174,2990,76,75,3,0,3152,1646,55,49,0,0,1750,1275,131,94,0,0,1506,25880,2803,2271,6,7,30973
303,1939,182,124,0,0,2242,524,61,41,0,0,625,453,76,48,0,0,586,710,124,113,8,0,956,1061,250,200,0,0,1513,3105,1167,807,3,4,5089,4435,1453,993,4,8,6884,8676,1209,641,3,5,10535,5800,365,190,0,0,6357,5252,213,130,0,4,5600,3518,112,73,4,4,3707,2174,272,154,0,0,2606,37646,5490,3517,24,28,46703
304,1075,35,80,0,0,1192,314,17,24,0,0,354,267,9,31,0,0,307,409,34,63,0,0,506,554,50,99,0,0,704,1739,148,404,0,0,2295,2385,263,433,0,0,3094,5016,294,370,0,0,5680,3568,106,110,0,0,3787,3455,92,85,5,0,3634,2566,32,52,0,3,2659,1154,52,93,0,0,1301,22502,1142,1854,0,12,25515
305,893,71,478,0,0,1448,186,29,118,0,0,334,144,23,137,0,0,310,281,44,287,0,0,613,314,46,455,0,0,813,969,243,1951,4,5,3167,1071,389,2522,0,8,3993,2346,588,2586,0,10,5533,2317,362,1066,0,0,3739,3591,246,840,0,11,4689,4732,156,740,0,4,5634,1049,101,509,0,5,1658,17887,2295,11691,10,48,31930
306,1189,62,80,24,12,1363,504,30,63,4,5,607,516,60,76,5,7,663,1050,127,203,9,0,1397,1609,135,253,12,7,2012,5208,304,391,19,7,5924,6135,160,223,22,13,6550,5555,92,127,12,14,5791,1851,20,38,4,0,1919,1285,13,23,6,3,1329,803,9,31,13,9,860,1606,64,99,8,12,1782,27309,1076,1604,131,73,30194
307,906,20,0,18,8,945,385,19,0,0,0,406,447,18,3,5,0,472,965,11,0,3,0,987,1282,15,0,5,5,1312,2960,26,4,16,3,3006,2181,16,0,10,4,2204,1677,5,0,9,0,1688,549,0,0,6,0,558,453,4,0,0,0,462,390,5,0,9,0,405,843,11,0,4,3,865,13039,134,12,86,39,13309
308,1150,21,32,31,15,1248,605,18,21,3,0,649,613,17,16,3,0,654,1276,43,34,9,0,1367,1874,53,49,0,0,1980,5521,81,73,21,5,5704,5444,99,57,11,4,5616,5215,62,39,18,12,5340,1909,23,14,5,0,1945,1340,23,15,5,3,1378,792,9,3,9,7,820,1631,25,17,11,4,1684,27372,479,366,125,51,28387
309,2433,533,483,11,7,3467,831,273,175,0,0,1284,674,225,134,0,0,1035,1211,434,297,9,0,1960,1698,728,555,8,8,2997,5083,2734,1669,13,19,9526,8391,3269,1812,16,24,13510,16435,2629,1630,9,26,20727,8888,792,534,11,9,10230,7052,596,464,0,8,8129,4660,372,341,3,10,5392,4207,815,561,3,9,5606,61565,13414,8656,81,140,83856
310,1679,44,7,0,0,1736,742,20,5,0,0,773,704,27,6,0,0,741,1428,63,12,0,0,1504,2363,140,18,0,0,2522,9197,370,44,4,5,9619,10800,251,28,10,5,11096,9933,135,14,10,0,10095,3260,21,0,4,5,3287,2071,24,4,3,0,2094,1056,14,3,4,0,1071,2436,68,5,3,0,2510,45662,1178,139,41,18,47042
311,1543,70,19,0,6,1637,699,40,3,0,0,748,544,68,11,0,0,623,1104,172,30,0,3,1308,1738,268,53,0,0,2063,6776,565,127,5,3,7473,10488,294,56,0,3,10843,11207,157,37,8,8,11416,4070,32,10,0,0,4119,2402,27,4,0,0,2441,1197,21,3,0,0,1226,2775,90,23,5,6,2897,44537,1810,376,25,35,46781
312,838,26,13,8,8,900,337,24,7,5,0,373,305,25,10,4,3,347,614,45,37,4,0,700,983,54,36,13,3,1094,3481,145,68,19,9,3720,4208,116,56,18,6,4400,4694,72,41,16,14,4830,1829,23,12,3,0,1865,1170,14,8,5,3,1208,669,8,13,6,8,699,1334,38,22,8,3,1409,20466,596,319,109,54,21547
313,1252,64,49,3,0,1366,554,33,22,0,0,609,461,39,29,0,0,525,872,86,35,9,3,1004,1281,132,54,4,0,1475,4732,292,171,0,8,5202,6934,189,137,5,10,7267,7583,119,136,8,6,7853,2879,33,40,5,6,2960,1729,19,29,0,0,1773,876,15,32,0,0,927,1857,67,54,5,0,1985,31004,1075,787,45,31,32952
314,1105,68,4,0,0,1173,374,51,0,0,0,422,366,46,3,0,0,416,627,82,0,0,0,711,974,150,5,0,0,1136,3223,544,19,0,4,3792,5997,404,24,0,7,6430,8954,241,19,0,7,9224,3727,52,4,0,0,3795,2600,41,4,0,0,2643,1374,18,6,0,0,1400,1525,70,13,0,0,1607,30850,1769,98,5,21,32748
315,336,6,0,20,27,394,155,5,0,12,0,174,213,7,0,8,0,227,325,7,7,17,4,357,419,13,0,12,6,446,880,29,3,28,13,948,681,14,0,22,3,729,688,24,3,34,5,760,237,7,0,12,8,265,174,0,0,6,0,187,169,0,0,18,10,200,388,4,0,18,10,418,4667,127,22,211,86,5105
316,1949,185,158,5,5,2304,777,134,59,4,4,984,605,100,74,3,0,783,1147,127,128,8,0,1409,1590,188,201,7,8,1996,4690,630,524,14,0,5868,7190,769,578,8,11,8558,11933,619,484,10,13,13062,5635,212,167,3,10,6022,3967,100,166,3,11,4240,2593,78,95,3,11,2778,2966,180,205,4,3,3358,45040,3315,2832,86,90,51362
317,723,37,17,0,3,786,319,28,7,0,0,357,313,35,19,0,0,363,700,63,14,0,0,780,1112,101,32,0,0,1246,3990,265,64,4,4,4326,4352,144,20,3,0,4517,3797,62,15,8,3,3887,1280,19,5,4,8,1315,848,13,0,5,0,869,509,9,0,0,3,523,942,41,10,0,0,992,18885,815,207,27,26,19959
318,1146,58,37,3,5,1244,495,42,16,3,0,559,514,43,22,5,5,585,1162,94,39,17,0,1312,1837,114,57,17,0,2022,5894,200,127,21,4,6236,6143,116,82,12,9,6356,5199,60,79,9,4,5353,1680,15,26,8,8,1735,1168,20,31,5,3,1224,729,15,18,0,3,764,1535,37,32,11,7,1623,27501,810,564,93,38,29006
