SA4_CODE_2021,F_Mgmt_Cmrce_35_44_yr,F_Mgmt_Cmrce_45_54_yr,F_Mgmt_Cmrce_55_64_yr,F_Mgmt_Cmrce_65_74_yr,F_Mgmt_Cmrce_75_84_yr,F_Mgmt_Cmrce_85_yr_over,F_Mgmt_Cmrce_Tot,F_Scty_Cul_15_24_yr,F_Scty_Cul_25_34_yr,F_Scty_Cul_35_44_yr,F_Scty_Cul_45_54_yr,F_Scty_Cul_55_64_yr,F_Scty_Cul_65_74_yr,F_Scty_Cul_75_84_yr,F_Scty_Cul_85_yr_over,F_Scty_Cul_Tot,F_Crtve_Arts_15_24_yr,F_Crtve_Arts_25_34_yr,F_Crtve_Arts_35_44_yr,F_Crtve_Arts_45_54_yr,F_Crtve_Arts_55_64_yr,F_Crtve_Arts_65_74_yr,F_Crtve_Arts_75_84_yr,F_Crtve_Arts_85_yr_over,F_Crtve_Arts_Tot,F_FoodHos_PsnlSvcs_15_24_yr,F_FoodHos_PsnlSvcs_25_34_yr,F_FoodHos_PsnlSvcs_35_44_yr,F_FoodHos_PsnlSvcs_45_54_yr,F_FoodHos_PsnlSvcs_55_64_yr,F_FoodHos_PsnlSvcs_65_74_yr,F_FoodHos_PsnlSvcs_75_84_ye,F_FoodHos_PsnlSvcs_85_over,F_FoodHos_PsnlSvcs_Tot,F_Mix_Fld_Prog_15_24_yr,F_Mix_Fld_Prog_25_34_yr,F_Mix_Fld_Prog_35_44_yr,F_Mix_Fld_Prog_45_54_yr,F_Mix_Fld_Prog_55_64_yr,F_Mix_Fld_Prog_65_74_yr,F_Mix_Fld_Prog_75_84_yr,F_Mix_Fld_Prog_85_yr_over,F_Mix_Fld_Prog_Tot,F_Fld_stud_inad_desc_15_24,F_Fld_stud_inad_desc_25_34,F_Fld_stud_inad_desc_35_44,F_Fld_stud_inad_desc_45_54,F_Fld_stud_inad_desc_55_64,F_Fld_stud_inad_desc_65_74,F_Fld_stud_inad_desc_75_84,F_Fld_stud_inad_desc_85_over,F_Fld_stud_inad_desc_Tot,F_Fld_stud_ns_15_24_yr,F_Fld_stud_ns_25_34_yr,F_Fld_stud_ns_35_44_yr,F_Fld_stud_ns_45_54_yr,F_Fld_stud_ns_55_64_yr,F_Fld_stud_ns_65_74_yr,F_Fld_stud_ns_75_84_yr,F_Fld_stud_ns_85_yr_over,F_Fld_stud_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Nat_Phy_Sci_15_24_yr,P_Nat_Phy_Sci_25_34_yr,P_Nat_Phy_Sci_35_44_yr,P_Nat_Phy_Sci_45_54_yr,P_Nat_Phy_Sci_55_64_yr,P_Nat_Phy_Sci_65_74_yr,P_Nat_Phy_Sci_75_84_yr,P_Nat_Phy_Sci_85_yr_over,P_Nat_Phy_Sci_Tot,P_IT_15_24_yr,P_IT_25_34_yr,P_IT_35_44_yr,P_IT_45_54_yr,P_IT_55_64_yr,P_IT_65_74_yr,P_IT_75_84_yr,P_IT_85_yr_over,P_IT_Tot,P_Egnr_rel_Tech_15_24_yr,P_Egnr_rel_Tech_25_34_yr,P_Egnr_rel_Tech_35_44_yr,P_Egnr_rel_Tech_45_54_yr,P_Egnr_rel_Tech_55_64_yr,P_Egnr_rel_Tech_65_74_yr,P_Egnr_rel_Tech_75_84_yr,P_Egnr_rel_Tech_85_yr_over,P_Egnr_rel_Tech_Tot,P_Arc_Bld_15_24_yr,P_Arc_Bld_25_34_yr,P_Arc_Bld_35_44_yr,P_Arc_Bld_45_54_yr,P_Arc_Bld_55_64_yr,P_Arc_Bld_65_74_yr,P_Arc_Bld_75_84_yr,P_Arc_Bld_85_yr_over,P_Arc_Bld_Tot,P_Agric_Env_Rel_Stud_15_24,P_Agric_Env_Rel_Stud_25_34,P_Agric_Env_Rel_Stud_35_44,P_Agric_Env_Rel_Stud_45_54,P_Agric_Env_Rel_Stud_55_64,P_Agric_Env_Rel_Stud_65_74,P_Agric_Env_Rel_Stud_75_84,P_Agric_Env_Rel_Stud_85_over,P_Agric_Envir_Rel_Stud_Tot,P_Hlth_15_24_yr,P_Hlth_25_34_yr,P_Hlth_35_44_yr,P_Hlth_45_54_yr,P_Hlth_55_64_yr,P_Hlth_65_74_yr,P_Hlth_75_84_yr,P_Hlth_85_yr_over,P_Hlth_Tot,P_Edu_15_24_yr,P_Edu_25_34_yr,P_Edu_35_44_yr,P_Edu_45_54_yr,P_Edu_55_64_yr,P_Edu_65_74_yr,P_Edu_75_84_yr,P_Edu_85_yr_over,P_Edu_Tot,P_Mgmt_Cmrce_15_24_yr,P_Mgmt_Cmrce_25_34_yr,P_Mgmt_Cmrce_35_44_yr,P_Mgmt_Cmrce_45_54_yr,P_Mgmt_Cmrce_55_64_yr,P_Mgmt_Cmrce_65_74_yr,P_Mgmt_Cmrce_75_84_yr,P_Mgmt_Cmrce_85_yr_over,P_Mgmt_Cmrce_Tot,P_Scty_Cul_15_24_yr,P_Scty_Cul_25_34_yr,P_Scty_Cul_35_44_yr,P_Scty_Cul_45_54_yr,P_Scty_Cul_55_64_yr,P_Scty_Cul_65_74_yr,P_Scty_Cul_75_84_yr,P_Scty_Cul_85_yr_over,P_Scty_Cul_Tot,P_Crtve_Arts_15_24_yr,P_Crtve_Arts_25_34_yr,P_Crtve_Arts_35_44_yr,P_Crtve_Arts_45_54_yr,P_Crtve_Arts_55_64_yr,P_Crtve_Arts_65_74_yr,P_Crtve_Arts_75_84_yr,P_Crtve_Arts_85_yr_over,P_Crtve_Arts_Tot,P_FoodHos_PsnlSvcs_15_24,P_FoodHos_PsnlSvcs_25_34,P_FoodHos_PsnlSvcs_35_44,P_FoodHos_PsnlSvcs_45_54,P_FoodHos_PsnlSvcs_55_64,P_FoodHos_PsnlSvcs_65_74,P_FoodHos_PsnlSvcs_75_84,P_FoodHos_PsnlSvcs_85_over,P_FoodHos_PsnlSvcs_Tot,P_Mix_Fld_Prog_15_24_yr,P_Mix_Fld_Prog_25_34_yr,P_Mix_Fld_Prog_35_44_yr,P_Mix_Fld_Prog_45_54_yr,P_Mix_Fld_Prog_55_64_yr,P_Mix_Fld_Prog_65_74_yr,P_Mix_Fld_Prog_75_84_yr,P_Mix_Fld_Prog_85_yr_over,P_Mix_Fld_Prog_Tot,P_Fld_stud_inad_desc_15_24,P_Fld_stud_inad_desc_25_34,P_Fld_stud_inad_desc_35_44,P_Fld_stud_inad_desc_45_54,P_Fld_stud_inad_desc_55_64,P_Fld_stud_inad_desc_65_74,P_Fld_stud_inad_desc_75_84,P_Fld_stud_inad_desc_85_over,P_Fld_stud_inad_desc_Tot,P_Fld_stud_ns_15_24_yr,P_Fld_stud_ns_25_34_yr,P_Fld_stud_ns_35_44_yr,P_Fld_stud_ns_45_54_yr,P_Fld_stud_ns_55_64_yr,P_Fld_stud_ns_65_74_yr,P_Fld_stud_ns_75_84_yr,P_Fld_stud_ns_85_yr_over,P_Fld_stud_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr
111,5016,4641,3725,2403,920,272,22871,1477,3614,3453,3209,2588,1479,502,104,16418,533,1321,1053,677,430,294,145,48,4507,910,1613,1257,1157,744,472,168,56,6372,37,19,15,21,14,14,10,9,136,87,168,245,233,179,124,62,20,1123,1283,1372,1253,1115,1083,1360,1687,1454,10613,8149,21230,20280,18136,15368,11149,5689,2630,102635,308,1166,1032,904,721,671,306,59,5170,300,1006,1153,724,477,242,72,3,3980,1384,5534,5441,5568,6104,5330,2894,926,33178,1166,2729,2373,2117,1851,1328,730,229,12533,239,658,675,678,457,265,124,23,3113,1529,6000,4997,4515,4270,2783,1221,405,25729,763,3056,3437,3118,3149,3267,1413,396,18594,2147,6860,7919,7330,5871,3941,1639,422,36121,1965,5104,4816,4554,3655,2392,874,213,23566,965,2082,1695,1067,710,453,220,63,7252,1267,2399,2003,1749,1146,733,327,90,9713,65,34,19,35,26,22,9,7,216,188,366,467,515,398,267,144,45,2394,2703,2986,2692,2491,2368,2616,2838,2176,20868,14976,39988,38714,35346
112,2506,2758,2647,1789,684,210,13226,534,1661,2244,2406,2498,1537,397,64,11343,264,949,1043,831,588,395,134,32,4231,513,1020,903,881,614,453,149,52,4584,24,11,7,7,12,9,12,4,78,34,110,159,198,164,99,44,10,826,1189,1389,1481,1460,1531,1520,1413,1195,11192,4205,10923,13083,13339,13290,10269,4462,2073,71635,87,385,505,527,506,531,211,48,2798,126,293,407,369,324,227,51,7,1802,615,1878,2074,2285,3105,3000,1641,484,15080,395,1494,1622,1703,1807,1376,587,165,9155,260,624,814,880,826,548,159,38,4152,589,2353,2825,2993,3343,2539,971,296,15911,302,1495,2222,2242,2530,2877,1031,267,12962,888,2880,3879,4142,3968,3031,1180,340,20305,717,2269,3037,3390,3464,2475,700,130,16178,472,1443,1621,1315,941,678,225,43,6744,712,1582,1575,1427,1083,762,277,84,7500,41,27,9,10,19,19,12,0,144,77,220,329,381,374,268,97,43,1784,2448,2800,3075,3028,3152,3044,2567,1880,21985,7732,19735,23989,24684
113,1685,1595,1432,832,295,83,7953,419,1157,1079,1012,951,454,109,25,5198,105,265,217,141,126,65,32,11,966,348,741,573,413,286,179,54,18,2615,38,21,12,4,3,0,4,0,83,29,96,83,76,54,30,20,6,390,833,842,771,791,852,814,744,529,6172,3380,7838,7195,6640,5995,4055,1962,908,37980,79,325,291,259,216,158,59,9,1407,88,347,284,145,117,77,8,0,1073,812,2131,1908,1873,1872,1310,572,163,10647,419,912,727,593,690,459,198,67,4066,351,660,721,763,670,446,207,57,3875,617,1949,1509,1350,1335,974,434,142,8311,271,1219,1232,1287,1139,988,380,111,6624,777,2250,2458,2384,2069,1266,453,109,11766,582,1637,1524,1440,1269,669,190,44,7350,171,407,338,220,196,120,58,19,1525,489,1094,846,633,467,281,105,28,3944,58,36,20,17,7,12,3,0,154,67,184,193,168,165,111,44,15,941,2000,2188,2001,1949,1847,1680,1383,832,13871,6775,15347,14061,13082
114,1527,1748,1868,1621,721,150,9321,399,1053,1250,1391,1481,1138,344,62,7111,117,294,388,315,349,278,127,38,1898,317,633,569,524,428,299,122,30,2927,14,12,0,8,7,7,7,0,57,37,64,96,137,113,84,41,16,593,601,563,584,653,730,825,874,634,5467,2424,6309,6813,7339,8170,7267,3558,1296,43181,78,231,237,313,384,429,192,44,1910,64,211,263,184,235,149,47,5,1173,427,1492,1582,1842,2606,2595,1638,424,12603,462,1041,1050,1046,1067,988,481,126,6272,141,365,401,428,442,317,135,39,2259,318,1414,1362,1389,1813,1580,714,220,8810,176,915,1064,1222,1557,1860,823,201,7820,553,1941,2319,2639,2883,2674,1288,256,14550,528,1416,1714,1912,2071,1803,689,140,10269,187,487,569,498,523,432,201,56,2956,461,969,911,840,684,490,215,47,4631,19,21,14,16,9,9,9,0,97,67,147,207,268,228,209,101,40,1267,1328,1463,1445,1551,1558,1629,1594,994,11557,4806,12120,13154,14146
115,6389,5228,3337,1947,721,180,21895,837,1677,2341,2286,1567,985,284,67,10039,470,787,832,598,305,205,82,31,3312,432,691,724,782,427,257,121,25,3457,23,8,10,8,14,19,13,8,94,51,147,307,248,197,146,60,20,1173,403,610,797,610,557,506,585,647,4715,4517,11605,18317,15683,11063,7349,3219,1377,73125,361,676,1095,1135,1041,695,301,73,5393,353,1156,4092,2202,1034,362,52,3,9262,708,2307,4193,4265,4150,3023,1570,417,20633,911,1425,1625,1733,1216,655,382,110,8050,155,331,426,424,372,239,105,30,2076,855,2309,2662,2634,2175,1593,727,219,13170,393,1597,2039,2318,1958,1825,771,235,11127,1547,5600,10744,9306,6207,3942,1525,340,39222,1221,2655,3241,3265,2355,1608,542,141,15028,738,1265,1254,844,496,308,146,46,5095,540,961,1078,1105,664,384,172,42,4950,42,9,16,15,23,32,16,8,171,114,265,497,459,337,268,121,49,2119,893,1175,1568,1321,1098,991,1037,1030,9103,8824,21740,34530,31033
116,8518,4716,3164,1543,366,70,26108,1211,3258,3605,2653,1715,745,166,28,13377,442,915,779,409,187,111,39,9,2896,733,1390,1306,838,486,236,90,14,5088,21,33,33,27,31,34,10,4,191,94,398,654,370,236,135,33,8,1927,1608,2451,2368,1563,1205,1150,805,618,11770,7916,24825,27815,16350,10708,6247,2208,979,97049,443,1411,1872,1174,823,513,128,25,6382,910,4103,7659,2244,621,205,36,0,15772,1124,5030,7212,5118,4668,2852,1133,288,27418,833,1762,1546,1307,829,528,245,61,7110,153,434,413,381,317,141,42,11,1888,1288,4854,4095,2777,1918,1140,302,98,16473,634,2771,2521,2111,1413,1177,444,108,11180,2646,10914,15162,8276,5244,2746,754,127,45874,1681,4629,4891,3707,2476,1234,353,54,19021,775,1640,1289,656,334,213,64,17,4994,1049,2290,2350,1334,794,385,145,27,8370,53,72,52,42,51,50,12,10,339,201,746,1117,692,510,301,99,27,3691,3751,5490,5086,3424,2531,2158,1510,918,24860,15544,46146,55257,33235
117,7740,4067,2263,1026,325,82,30214,1396,7440,4397,2839,2050,1259,431,99,19915,1433,5405,2719,1394,816,342,100,26,12242,630,1614,975,588,353,196,71,14,4434,72,47,15,19,15,13,11,9,210,209,694,485,382,207,128,54,24,2173,1800,3987,2157,1289,1057,875,664,426,12260,10551,42579,24865,14493,9857,5998,2496,911,111758,1167,3402,1887,1126,776,475,184,51,9068,1060,4194,3395,1485,614,197,25,3,10985,1299,7169,3682,2364,2056,1298,744,230,18848,654,3396,2024,1313,886,496,217,66,9058,135,628,420,294,210,117,40,8,1858,953,5977,3399,2139,1756,1163,461,135,15986,311,2534,1833,1540,1492,1292,480,99,9575,4534,22596,14955,7944,4502,2142,674,133,57470,2186,12353,7615,5061,3739,2379,818,172,34325,2280,9332,5301,2724,1549,631,184,40,22046,1084,3258,2052,1290,765,375,127,20,8979,153,112,41,24,31,33,12,15,423,369,1321,966,703,438,273,97,35,4207,4034,8976,5234,3380,2657,1948,1356,735,28313,20234,85260,52808,31386
118,5519,4361,2563,1478,663,216,22406,712,4347,3642,2973,2171,1477,624,153,16093,718,3087,2201,1362,778,346,156,63,8712,192,756,585,580,380,264,152,31,2948,21,18,13,9,15,20,33,45,167,97,351,322,410,241,172,89,29,1721,750,1762,1244,935,672,715,885,1003,7965,4846,23898,18537,14829,10531,7457,4172,2058,86324,418,1702,1130,959,767,599,351,61,5980,263,1089,1411,945,555,246,36,0,4542,555,3701,2308,1824,1955,1577,1045,381,13353,468,2489,1824,1328,942,611,309,84,8057,70,366,236,251,207,96,52,24,1301,605,4170,2878,2412,2248,1656,1025,374,15384,226,1747,1420,1483,1542,1589,751,234,8988,1930,12001,10696,8535,5116,2988,1312,390,42960,1075,6906,5811,5024,3675,2645,1174,294,26597,1045,4450,3376,2073,1249,585,236,91,13104,294,1195,1025,995,624,409,228,58,4830,46,26,25,20,23,32,43,62,287,173,606,567,668,415,251,156,56,2897,1698,3786,2838,2066,1491,1391,1508,1480,16267,8873,44229,35552,28575
119,10969,8277,5481,2597,822,295,42652,1689,5403,5126,4105,2970,1335,336,73,21042,870,2096,1544,956,561,263,116,39,6449,916,1999,1981,1590,882,510,187,55,8112,51,48,39,41,54,51,37,41,366,185,467,524,438,309,162,89,69,2236,2392,4048,3280,2553,2173,1953,1863,1926,20182,12840,38845,33309,25681,18651,10651,5027,3145,148144,882,2220,1743,1621,1488,734,312,91,9089,2335,5238,5378,2746,1296,325,54,3,17367,1493,6932,5897,6142,6903,4417,2468,985,35234,1384,3341,2824,2599,1710,1029,602,218,13708,129,450,462,382,360,197,94,21,2085,2196,7367,4589,3382,2975,1772,759,282,23322,1072,4667,3647,3288,2828,2199,915,343,18957,4925,21502,19324,13443,9008,4616,1530,488,74840,2486,8006,7387,5955,4468,2346,696,177,31524,1387,3450,2608,1619,976,482,225,73,10821,1424,3485,3471,2543,1464,832,364,93,13667,121,125,81,76,101,96,58,62,713,317,874,1022,860,697,370,204,119,4472,5241,8569,6928,5237,4562,3791,3491,2988,40810,25384,76218,65359,49889
120,6774,5336,3376,1676,496,181,26793,967,3810,3627,3191,2329,1442,456,99,15931,775,2612,1840,1277,765,315,121,37,7748,367,892,749,662,456,221,100,16,3466,26,25,11,11,35,20,13,5,132,109,391,393,360,234,165,59,23,1730,887,1867,1319,951,800,793,783,952,8356,6846,25550,20930,17028,12601,7978,3392,1725,96056,587,1679,1344,1226,1083,643,286,70,6913,1772,3585,3230,1718,827,243,39,4,11421,609,4371,3222,2704,2921,2021,1097,344,17292,514,1877,1616,1521,1122,652,330,102,7742,73,367,278,263,243,141,46,16,1424,1147,4797,3093,2606,2343,1712,763,248,16707,388,2251,1850,1896,2000,1935,826,214,11352,2848,13562,12245,9204,6044,3146,993,277,48324,1466,6036,5571,4954,3706,2450,833,195,25218,1266,4228,3144,2078,1244,576,197,54,12780,693,1714,1464,1097,751,390,172,37,6316,73,58,23,26,51,32,18,3,270,190,718,693,623,427,289,119,37,3106,1929,3955,2771,1967,1674,1567,1442,1404,16712,13564,49218,40535,31883
121,11617,9601,5852,3557,1657,582,42022,992,4202,5322,5077,3639,2615,1246,342,23432,837,2301,2367,1755,1058,561,294,140,9305,323,744,834,783,477,313,164,55,3705,35,12,5,24,28,35,17,4,157,92,352,519,561,392,302,155,72,2439,628,1281,1425,1093,875,918,961,1131,8313,6283,25268,32718,28188,20242,14572,8223,3733,139226,704,1896,2215,2282,1987,1566,1016,295,11971,678,2667,5955,3504,1829,665,140,17,15456,623,4025,5534,4490,4287,3220,2292,880,25356,499,1724,1785,1713,1432,963,572,207,8890,131,450,554,550,408,273,163,62,2581,1119,4888,4934,4700,4047,3098,2077,937,25804,338,2345,2521,2864,2889,3102,1864,588,16502,2752,13961,20740,17889,11845,7361,3605,1138,79297,1594,6721,8019,8254,6191,4611,2326,651,38370,1380,3644,3678,2635,1624,926,414,199,14505,511,1314,1529,1255,787,459,238,87,6172,58,30,20,32,48,56,32,12,282,167,608,875,914,661,489,271,109,4091,1321,2479,2864,2122,1714,1675,1620,1615,15410,11880,46754,61218,53213
122,5202,5763,3512,2101,1131,354,22428,567,2137,2756,2924,1960,1176,474,119,12105,506,1541,1610,1263,681,349,160,52,6155,290,613,714,828,521,330,194,48,3536,15,9,10,5,11,8,11,17,81,38,184,254,331,167,102,73,32,1181,442,741,802,785,568,552,774,843,5516,3865,13102,16461,17275,12216,8004,4665,2086,77676,291,776,975,1232,971,673,364,90,5377,292,702,1342,1325,850,286,63,5,4868,450,2150,2473,3129,3192,2323,1676,592,15991,639,1890,2041,2068,1535,867,517,203,9765,148,398,473,534,394,189,100,29,2258,633,2359,2432,2471,2341,1530,964,394,13129,284,1641,1935,2162,2136,1941,1035,286,11421,1451,6388,9340,10398,6803,4137,2183,622,41315,884,3290,4164,4622,3196,2082,924,219,19385,818,2315,2478,1953,1085,608,283,78,9622,424,992,1166,1275,787,461,279,61,5445,18,17,16,8,19,15,14,19,132,79,316,451,580,342,215,139,64,2188,958,1456,1646,1594,1216,1071,1305,1242,10494,7366,24697,30929,33348
123,4750,3324,2555,1409,356,82,17414,1050,2917,2997,2114,1600,691,145,24,11534,368,726,468,269,186,104,32,13,2161,618,1307,1057,714,420,258,75,21,4464,23,21,19,11,23,23,34,21,178,74,156,262,197,141,76,15,3,929,1081,1435,1433,1063,899,853,787,600,8153,6018,16450,16811,12031,8991,5519,2108,927,68854,251,704,755,630,446,304,88,23,3188,379,1238,2100,802,343,140,20,0,5028,1018,3560,4038,4166,4014,2945,1240,242,21226,1063,1995,1765,1461,959,678,282,68,8273,180,437,467,343,281,163,57,10,1933,1042,3225,2788,2172,1692,1037,371,85,12416,497,2529,2507,2059,1554,1269,394,91,10896,1565,5919,7931,5501,4049,2347,642,113,28069,1430,4000,4024,2987,2161,1080,258,44,15981,635,1267,806,427,303,188,65,16,3704,816,1827,1736,1134,676,423,152,30,6784,44,44,26,20,35,29,60,27,277,135,342,505,435,317,211,65,13,2017,2269,2826,2990,2261,1791,1611,1411,856,16012,11323,29897,32434,24410
124,4668,3906,3040,1820,576,120,19204,1194,3213,3079,2678,2258,1307,379,65,14170,428,1061,886,627,462,310,92,36,3905,819,1563,1252,869,532,286,90,26,5426,23,14,19,16,18,11,8,0,118,78,197,261,217,131,102,45,11,1040,1190,1738,1603,1277,991,992,1033,859,9681,6747,18246,18002,14850,12039,8312,3597,1483,83276,260,820,791,750,636,529,219,42,4055,356,1184,1746,794,443,232,39,5,4795,1065,3931,4225,4342,4434,3155,1525,358,23043,1206,2346,1918,1672,1256,860,374,86,9721,288,782,632,587,444,221,89,24,3063,1134,3326,3041,2660,2390,1726,723,218,15209,589,2892,2825,2601,2495,2315,807,184,14702,1702,6096,7450,6120,4864,3193,1019,209,30664,1658,4551,4373,3875,3201,2102,668,127,20549,756,1775,1486,1050,818,533,170,50,6639,1088,2196,1935,1316,838,465,179,35,8059,35,39,34,28,32,22,14,0,201,159,405,546,473,364,255,111,20,2334,2608,3617,3351,2739,2164,1943,1785,1223,19437,12918,33961,34347,29000
125,9588,5611,3641,1796,607,176,33686,1521,4472,4144,3102,2134,996,311,56,16742,523,1640,1098,695,377,173,72,21,4596,667,1548,1418,915,493,232,102,24,5411,45,49,33,27,31,31,22,22,251,129,560,583,335,238,140,48,18,2052,2166,4058,3225,2025,1797,1399,1121,937,16737,10783,36801,30760,18835,13324,7600,3589,1658,123354,779,2419,2207,1496,1138,755,323,60,9183,2321,7605,7979,2548,1001,300,49,0,21796,1264,8178,7366,4699,4874,3090,1698,562,31732,980,2568,2214,1791,1200,634,340,120,9860,103,397,380,348,303,159,68,29,1779,1933,7225,4247,2718,2166,1367,587,193,20434,762,3463,2767,2262,1958,1535,793,227,13766,4101,18941,17584,9570,6182,3396,1189,327,61293,2098,6572,5901,4420,3323,1746,611,130,24810,889,2614,1817,1096,630,333,127,35,7532,1117,2756,2633,1510,799,421,194,45,9473,106,112,82,63,56,52,28,43,543,237,1031,1042,660,485,324,126,52,3956,5028,9399,7477,4699,3843,2900,2148,1593,37083,21731,73274,63704,37874
126,5362,3735,2455,1384,511,207,19736,504,1876,2134,1683,1314,863,329,84,8781,433,990,874,581,346,176,70,32,3499,218,481,475,428,268,163,55,24,2113,22,6,11,10,19,25,14,0,107,67,168,226,202,121,104,52,20,958,416,921,821,527,517,455,492,610,4755,3731,15126,14984,10932,8677,5701,2792,1482,63427,386,1318,1093,976,1007,681,332,103,5894,437,2228,3455,1618,1015,282,47,7,9100,436,3109,3145,2329,2567,1866,1002,419,14869,308,948,902,806,649,395,227,72,4312,63,215,214,197,210,113,68,17,1099,638,2853,2182,1739,1653,1300,638,262,11266,246,1322,1237,1229,1342,1297,727,253,7653,1839,9000,9272,6549,4450,2701,990,376,35168,799,3003,3128,2615,2119,1497,610,165,13941,690,1637,1381,908,530,285,124,50,5601,352,892,896,659,423,262,92,28,3606,41,23,17,21,28,33,21,5,187,99,311,374,333,217,188,90,43,1655,876,1873,1632,1092,1050,834,830,903,9089,7220,28737,28929,21063
127,6880,4889,3075,1355,323,68,24741,1442,4137,3486,2617,1791,686,123,23,14307,526,1095,637,426,187,100,55,13,3036,756,1646,1684,1191,643,360,107,14,6392,28,48,32,32,21,15,7,0,192,126,305,309,248,160,84,28,9,1273,1959,2723,2654,2055,1819,1455,1146,880,14693,9598,25432,22641,16442,11232,6078,2466,1167,95053,599,1301,1118,933,718,419,121,24,5235,693,2291,3209,1362,548,141,24,0,8261,1219,4704,4726,5062,5184,3165,1388,307,25763,1286,2611,2019,1762,1250,647,357,66,9991,116,291,311,266,229,156,50,8,1425,1674,4927,3193,2404,1644,958,294,89,15179,1012,3974,2845,2274,1618,1205,493,103,13528,2916,10592,11215,7613,4853,2380,608,120,40300,2108,5857,4816,3621,2557,1134,272,57,20430,855,1869,1155,673,330,190,89,17,5174,1050,2405,2436,1737,1002,526,178,28,9363,81,85,65,56,54,37,20,8,395,238,533,617,582,478,234,90,34,2804,4265,5472,5399,4249,3873,2901,2184,1479,29820,18097,46921,43122,32600
128,4379,4163,3090,1886,836,320,18430,707,1947,2213,1978,1338,787,252,65,9283,489,964,865,547,256,182,106,35,3433,389,780,791,808,442,328,136,43,3721,8,13,3,11,18,6,32,97,190,29,117,173,155,111,68,25,17,696,331,581,641,601,451,500,664,689,4461,4062,11578,13564,12744,9751,6555,3188,1613,63061,221,613,682,740,635,493,224,49,3658,199,591,1204,794,475,207,31,0,3495,743,2517,2806,3619,3828,2963,1798,637,18911,872,1849,1806,1809,1261,762,410,175,8940,123,291,326,309,259,127,56,18,1512,760,2273,2177,2087,1913,1140,556,201,11109,411,2056,2045,2159,2203,1938,723,183,11721,1332,4798,7147,6906,5296,3541,1477,494,30991,1014,3043,3234,2960,2050,1318,443,111,14176,754,1532,1359,852,402,310,151,43,5402,521,1033,1162,1166,693,455,227,63,5310,15,13,7,15,21,13,55,119,266,74,225,343,335,242,158,85,39,1498,751,1197,1346,1268,981,892,1115,1022,8564,7791,22027,25650,25027
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
201,1883,1590,1175,658,183,51,7133,471,1530,1603,1723,1488,957,241,29,8050,193,418,441,346,272,201,57,23,1954,298,790,614,497,344,227,77,29,2873,10,9,9,4,3,12,5,0,51,30,88,143,143,90,89,27,14,620,710,711,684,779,714,865,800,527,5795,3052,8279,8735,8234,7099,5434,2396,962,44181,119,350,369,368,310,227,82,22,1840,146,506,587,342,249,123,24,0,1977,533,1734,1751,1953,1940,1699,839,197,10651,498,1288,1027,814,748,526,263,77,5245,234,490,536,549,458,272,127,23,2688,664,2146,1868,1852,1905,1404,580,170,10596,253,1417,1509,1472,1430,1650,734,165,8637,504,2060,2892,2702,2089,1297,393,92,12037,651,2106,2115,2342,1980,1473,380,63,11120,370,757,766,580,457,353,124,29,3435,421,1131,975,792,565,381,134,40,4443,18,24,15,14,8,11,6,0,92,49,210,285,317,196,197,69,24,1352,1462,1479,1431,1673,1531,1753,1484,841,11654,5927,15696,16131,15761
202,1523,1430,1145,580,217,68,6372,429,1408,1614,1620,1478,971,252,35,7801,128,375,453,386,249,201,62,20,1875,332,738,563,413,314,192,83,14,2653,14,11,8,7,9,3,6,4,51,19,79,153,154,106,91,26,9,641,617,699,702,757,760,807,844,706,5902,2789,7946,8411,8094,7212,5457,2626,1145,43675,82,300,380,411,291,294,143,19,1908,80,339,455,316,218,132,40,3,1576,489,1701,1618,1836,1981,1729,894,230,10476,344,1119,979,920,777,565,260,85,5049,165,449,549,643,526,294,122,31,2780,690,2371,2023,1860,2033,1441,611,176,11204,266,1301,1534,1485,1450,1734,822,150,8738,461,1805,2466,2413,1959,1224,441,115,10883,605,1885,2185,2258,2031,1479,453,72,10978,246,645,744,656,430,380,124,33,3267,419,1082,898,682,519,316,143,26,4083,15,22,10,15,11,8,8,8,103,42,174,294,315,236,175,74,21,1337,1291,1496,1449,1618,1607,1621,1542,1107,11736,5193,14692,15582,15430
