SA4_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
117,156636,144946,301579,69954,53545,123500,22691,26463,49156,9458,10025,19484,5869,4883,10754,107980,94913,202895,34926,39717,74650,5.4,5.1,5.3,68.9,65.5,67.3,65.2,62.1,63.7,21627,21911,43544,3462,4609,8074,45473,46993,92465,14125,14459,28584,14972,7148,22120,865,1037,1895,1862,2202,4060,17697,10379,28075,110928,103954,214879,46921,44672,91593,57816,55068,112885,94218,88367,182585
118,103710,113564,217267,47531,38679,86208,14908,22815,37721,5263,7032,12296,2895,2687,5580,70598,71209,141801,27127,35903,63030,4.1,3.8,3.9,68.1,62.7,65.3,65.3,60.3,62.7,14653,15362,30017,2155,3798,5955,31070,37777,68847,7805,11616,19411,11501,5025,16529,476,822,1295,1412,2249,3662,13387,8093,21486,90769,97717,188488,24230,26775,51001,55258,60599,115855,54281,58693,112967
119,244132,249871,494010,73436,55458,128896,32109,42732,74846,22818,18129,40943,9743,6905,16649,138111,123224,261335,90060,110481,200542,7.1,5.6,6.4,56.6,49.3,52.9,52.6,46.6,49.5,18702,18116,36819,2833,4686,7520,44201,49856,94061,21355,26384,47749,34093,17099,51192,1571,2822,4394,3804,5937,9742,39472,25859,65324,238028,242179,480213,41360,39365,80722,159046,165784,324830,104476,101154,205623
120,124462,132794,257260,52271,42588,94860,18927,26655,45578,7929,8688,16617,4528,3607,8141,83662,81538,165197,34517,44891,79405,5.4,4.4,4.9,67.2,61.4,64.2,63.6,58.7,61.1,16356,18113,34467,2731,4735,7460,33830,38760,72590,11703,14113,25814,13413,6894,20301,669,1086,1758,1831,2671,4502,15910,10656,26564,111453,118481,229937,27950,28541,56494,68169,74573,142735,64535,66257,130798
121,163356,181501,344857,78521,58523,137048,22880,37795,60679,7527,10389,17915,4726,4197,8920,113658,110900,224557,44449,64402,108853,4.2,3.8,4,69.6,61.1,65.1,66.7,58.8,62.5,28862,28230,57089,4697,7508,12210,52944,59924,112871,13537,19649,33186,13702,7490,21195,776,1328,2102,2392,4123,6521,16874,12941,29813,161092,173672,334766,33181,35806,68986,101889,111026,212916,83142,89656,172803
122,102536,109828,212361,47176,31369,78537,16401,27376,43778,5350,7614,12968,2449,2013,4464,71380,68366,139746,27679,37404,65084,3.4,2.9,3.2,69.6,62.3,65.8,67.2,60.4,63.7,9639,9445,19084,2082,3888,5968,25179,29951,55132,9989,14620,24615,18351,7544,25896,618,1289,1912,2081,3420,5503,21049,12255,33306,104297,109065,213358,17650,18520,36180,69900,73670,143572,46230,48183,94407
123,111781,118358,230139,45071,29947,75014,14303,24246,38542,9946,9106,19052,3565,3269,6829,72875,66561,139438,33235,45566,78804,4.9,4.9,4.9,65.2,56.2,60.6,62,53.5,57.6,5367,5880,11247,1122,2258,3378,12219,17733,29946,8966,12913,21879,28428,15194,43626,932,2053,2987,1879,3113,4995,31236,20368,51602,119102,123258,242359,17473,17951,35422,76640,78672,155312,50709,53609,104319
124,128494,136379,264877,53259,36104,89361,17824,28959,46781,9275,10297,19572,3808,3214,7023,84161,78572,162736,37705,50732,88436,4.5,4.1,4.3,65.5,57.6,61.4,62.5,55.3,58.8,6219,7705,13924,1731,3491,5221,14436,21482,35913,10254,15168,25421,33215,18253,51475,1186,2321,3509,2182,3470,5654,36584,24047,60628,132107,137064,269169,19767,20880,40644,87642,90942,178579,54890,58239,113135
125,202822,195450,398274,66421,47639,114063,25620,32063,57682,17006,12797,29808,8597,6685,15276,117642,99184,216824,70274,83067,153335,7.3,6.7,7,58,50.7,54.4,53.8,47.3,50.6,21334,19573,40907,2576,4036,6615,40464,43066,83534,16988,19588,36576,23293,12386,35684,1215,2038,3247,2632,3882,6518,27145,18305,45448,189247,186022,375260,41173,37773,78945,113716,115674,229387,102393,94992,197384
126,80299,86359,166657,35223,26242,61465,11351,17069,28424,4844,5476,10329,2713,2503,5208,54135,51294,105428,22917,31497,54408,5,4.9,4.9,67.4,59.4,63.3,64,56.5,60.1,13411,13112,26517,1697,2875,4567,23387,25968,49361,6868,8807,15669,8194,4222,12418,406,727,1134,1098,1949,3053,9701,6906,16605,76498,80976,157474,16855,17379,34227,46692,49799,96492,42180,44146,86327
127,183524,191144,374670,54953,39411,94359,19816,28577,48392,16969,13074,30042,7253,5705,12958,98991,86765,185758,72878,92756,165628,7.3,6.6,7,53.9,45.4,49.6,50,42.4,46.1,6437,7244,13678,1201,2437,3642,21651,27516,49160,13950,18579,32529,29832,16434,46268,1318,2581,3900,2614,4067,6683,33767,23078,56850,192380,196637,389017,25966,26802,52763,125442,128717,254155,79202,81925,161128
128,89266,96186,185451,40401,26691,67092,12805,23700,36502,5614,7287,12902,2095,1627,3721,60923,59299,120217,25524,33570,59089,3.4,2.7,3.1,68.2,61.6,64.8,65.9,60,62.8,5570,5957,11523,1563,3043,4600,15562,20609,36167,9143,12879,22021,23545,9351,32892,641,1374,2011,1977,3453,5434,26157,14185,40339,92950,97474,190420,13445,14156,27604,65030,68364,133391,35895,37952,73853
197,31,4,32,26,0,27,0,0,0,0,0,0,0,0,0,33,3,35,0,0,0,0,0,0,96.9,66.7,94.3,96.9,66.7,94.3,0,0,0,0,0,0,0,0,4,0,0,0,7,0,7,0,0,0,0,0,0,11,0,11,29,3,33,6,0,6,20,0,19,12,3,17
201,68360,73225,141579,27959,15717,43681,9434,19816,29251,2400,3205,5611,2076,1672,3742,41869,40412,82287,22291,28476,50771,5,4.1,4.6,61.3,55.2,58.1,58.2,52.9,55.5,2859,3497,6352,1389,2909,4298,7588,11486,19070,5136,7739,12873,17320,9636,26953,673,1108,1786,820,1163,1986,18810,11913,30721,66668,70239,136906,11244,12043,23295,43528,45464,88988,30474,32935,63409
202,65802,70936,136740,26783,15263,42044,9281,19639,28920,2309,3213,5527,1808,1444,3254,40181,39568,79750,21539,27152,48690,4.5,3.7,4.1,61.1,55.8,58.3,58.3,53.7,55.9,2591,3408,5997,1418,3133,4553,7527,11593,19120,5164,7485,12646,16542,8992,25532,600,1082,1676,840,1181,2027,17979,11257,29233,64808,68258,133061,9996,11051,21054,42548,44276,86825,28279,31243,59527
203,127836,137844,265686,55928,31346,87272,18909,39965,58872,4630,6600,11230,3732,3081,6815,83200,80990,164189,38474,50375,88849,4.5,3.8,4.2,65.1,58.8,61.8,62.2,56.5,59.2,6881,7386,14264,2578,5774,8357,18665,26123,44789,11562,16272,27838,31195,17049,48239,1018,1698,2720,1552,2341,3901,33766,21087,54860,124534,131603,256139,23183,25192,48374,77035,81460,158496,62512,67526,130038
204,75955,79225,155176,31916,17969,49891,10157,21101,31259,3096,3869,6968,1710,1362,3066,46880,44298,91185,23647,29462,53111,3.6,3.1,3.4,61.7,55.9,58.8,59.5,54.2,56.8,1913,2677,4589,1217,2871,4084,6718,11101,17826,5859,9245,15107,21437,11081,32518,713,1303,2022,1042,1455,2495,23201,13838,37037,72870,75213,148085,11718,12285,24003,48458,49592,98050,32138,33891,66023
205,120095,127099,247191,45269,24177,69448,14973,32977,47951,4539,5729,10265,3626,2652,6285,68411,65536,133948,43179,52684,95867,5.3,4,4.7,57,51.6,54.2,53.9,49.5,51.6,2725,3809,6538,1645,3906,5548,9516,15963,25478,8453,13771,22225,35512,17916,53428,1108,2123,3236,1604,2219,3820,38226,22257,60477,115078,119539,234616,18223,19669,37895,75719,77671,153383,50836,54997,105840
206,265753,281398,547150,128824,103133,231959,45032,68313,113345,9598,12608,22208,10562,9343,19904,194019,193394,387413,54768,71835,126604,5.4,4.8,5.1,73,68.7,70.8,69,65.4,67.2,38760,44979,83734,8394,14635,23030,81393,90161,171560,21944,25164,47112,24281,13512,37797,1389,1692,3078,2562,3526,6091,28232,18731,46968,201964,212475,414437,76686,81828,158514,112113,120742,232848,156368,163748,320118
207,148307,163336,311645,64176,42974,107150,24682,41688,66369,4628,5965,10594,5219,4506,9725,98700,95136,193838,44611,62692,107303,5.3,4.7,5,66.6,58.2,62.2,63,55.5,59.1,21149,20346,41493,4559,7777,12331,42165,47367,89533,12922,16600,29520,13819,7300,21120,697,1047,1745,1602,2720,4323,16117,11072,27189,144863,157178,302037,26578,27572,54152,95639,105229,200866,68921,72754,141676
208,163899,181447,345345,80172,52652,132827,25192,49021,74212,5138,7493,12633,5111,4394,9507,115607,113567,229176,42647,61476,104129,4.4,3.9,4.1,70.5,62.6,66.4,67.4,60.2,63.6,18182,19140,37323,4747,8926,13675,43436,50730,94161,15334,20188,35517,21819,10953,32775,811,1423,2235,2170,3524,5695,24809,15897,40705,163386,176557,339945,29308,31209,60517,107480,117705,225181,76234,81350,157580
209,212482,222592,435073,99137,57964,157103,31125,59274,90391,7504,9943,17448,7809,6684,14489,145571,133860,279435,57246,79295,136540,5.4,5,5.2,68.5,60.1,64.2,64.8,57.1,60.9,16087,17062,33149,4221,8944,13170,35671,45408,81076,19870,24352,44223,40968,20352,61319,1517,2290,3809,2731,4217,6954,45219,26863,72085,219086,225807,444896,32546,33113,65655,145376,151609,296989,91480,93541,185019
210,164835,169820,334653,72533,40926,113467,23694,39734,63431,6114,7408,13522,6858,5871,12734,109206,93943,203151,46686,67403,114085,6.3,6.3,6.3,66.3,55.3,60.7,62.1,51.9,56.9,9576,9880,19463,2378,5380,7764,23266,29828,53091,15142,18052,33191,31604,15908,47506,1266,1867,3135,2128,3195,5324,34998,20971,55968,169968,173146,343115,26875,26803,53674,106726,110556,217284,77392,77503,154904
211,203566,217955,421521,99083,56034,155111,29150,61879,91035,6672,9660,16333,5929,5330,11261,140836,132911,273741,55762,77544,133305,4.2,4,4.1,69.2,61,64.9,66.3,58.5,62.3,13410,14453,27859,4321,8677,13005,34408,44300,78713,19490,26696,46187,46996,22455,69456,1489,2469,3956,2781,4381,7164,51267,29305,80571,215130,225061,440191,25032,26297,51338,151424,158507,309937,76469,81156,157624
212,340160,346067,686223,155682,87440,243120,50740,84872,135608,11557,13901,25454,13161,11723,24886,231131,197938,429074,91510,131341,222848,5.7,5.9,5.8,67.9,57.2,62.5,64.1,53.8,58.9,24958,23936,48898,4602,9192,13791,52825,63301,116133,32007,38318,70327,60977,33101,94076,2553,3853,6406,4219,6344,10569,67745,43304,111046,344773,348792,693564,58490,56666,115154,211484,217535,429022,167470,165054,332525
213,330751,335088,665840,152298,90439,242744,48108,78051,126165,12555,14867,27429,14372,13828,28199,227342,197186,424528,84021,119611,203627,6.3,7,6.6,68.7,58.8,63.8,64.4,54.7,59.5,25649,25274,50920,4954,10164,15121,53756,65044,118795,29368,34147,63516,55783,31145,86925,2567,3562,6132,4218,5707,9923,62569,40419,102982,333630,337530,671156,60688,60182,120867,203691,209003,412693,163807,163580,327385
214,121034,131645,252688,52940,28930,81872,16466,35426,51885,4411,6527,10939,3213,2752,5972,77038,73628,150668,37285,50656,87939,4.2,3.7,4,63.6,55.9,59.6,61,53.8,57.3,4218,5302,9521,2013,4599,6614,14433,21305,35740,11299,16977,28276,32524,16146,48665,958,1804,2769,1743,2847,4587,35223,20797,56020,121451,128934,250383,17513,18846,36355,80484,85287,165767,51284,55556,106842
215,63749,64592,128343,26559,14231,40792,7345,16003,23354,2264,2776,5041,1679,1231,2908,37845,34245,72094,20725,25347,46068,4.4,3.6,4,59.4,53,56.2,56.7,51.1,53.9,1001,1365,2372,597,1666,2264,3905,7510,11416,3806,6400,10198,15666,8749,24412,620,1053,1679,742,995,1732,17021,10797,27818,61028,61844,122871,8599,9052,17648,42224,42114,84337,23745,25068,48812
216,55021,56801,111825,22791,12327,35120,6261,14519,20778,2004,2449,4453,1475,1091,2566,32531,30382,62909,18082,22296,40374,4.5,3.6,4.1,59.1,53.5,56.3,56.4,51.6,54,998,1376,2376,593,1520,2111,3586,6650,10239,3372,5818,9189,14026,7518,21546,492,863,1354,630,916,1543,15145,9291,24443,53540,54395,107937,7998,8591,16587,36203,36350,72548,22040,23680,45724
217,51404,54008,105411,22484,11642,34128,6836,15225,22062,2065,2552,4615,1058,868,1922,32445,30286,62730,15555,20377,35932,3.3,2.9,3.1,63.1,56.1,59.5,61.1,54.5,57.7,1187,1666,2853,688,1674,2367,4199,7503,11700,3440,5778,9216,13648,7556,21207,482,845,1325,619,881,1504,14752,9280,24035,50614,52109,102724,7051,7560,14611,35064,35620,70681,19835,21411,41244
297,493,72,565,131,22,147,7,0,7,11,0,13,4,0,4,151,22,174,7,0,9,1.3,0,1.2,30.5,29.2,30.4,30.1,29.2,30,3,0,3,3,0,3,16,3,19,21,3,32,68,6,73,8,0,8,8,0,8,80,6,86,135,20,154,25,4,28,91,11,105,60,12,71
301,92454,100381,192833,43335,27462,70796,11943,24798,36743,4020,6360,10384,2988,2362,5352,62292,60983,123273,26970,35753,62719,4.8,3.9,4.3,67.4,60.8,63.9,64.1,58.4,61.2,3779,4274,8051,1473,3152,4631,11706,17106,28803,8761,12757,21519,26391,13568,39955,1085,1526,2613,1508,2389,3898,28986,17484,46467,94266,99392,193653,16060,17164,33223,59762,62477,122242,44764,48528,93288
302,87708,95664,183371,42297,29398,71688,12424,22829,35248,4184,6387,10576,3095,2520,5618,62006,61133,123135,22243,30770,53013,5,4.1,4.6,70.7,63.9,67.2,67.2,61.3,64.1,5684,6187,11869,2028,3620,5648,16447,22041,38489,8644,10849,19489,18640,10462,29104,951,1175,2125,1324,1867,3182,20917,13502,34415,85649,90993,176641,17293,18593,35888,51857,55536,107394,45300,48572,93873
303,146385,154897,301283,67449,45946,113393,23696,38271,61963,6894,9619,16517,5956,4958,10917,103987,98791,202783,36390,50327,86715,5.7,5,5.4,71,63.8,67.3,67,60.6,63.7,14959,15191,30152,3457,6137,9595,34273,41026,75297,13395,15908,29307,23143,12603,35744,1365,1650,3011,1822,2702,4523,26330,16949,43282,141066,146992,288056,31597,32594,64195,83498,88139,171634,79500,82419,161916
304,72397,78179,150578,34102,22093,56193,10814,19804,30616,3696,5640,9336,2742,2235,4974,51349,49774,101118,19363,26617,45977,5.3,4.5,4.9,70.9,63.7,67.2,67.1,60.8,63.8,10266,9329,19593,2274,3926,6193,18632,22251,40884,6521,8009,14524,10118,5709,15827,669,803,1477,895,1415,2310,11686,7922,19612,73328,76949,150271,14951,15745,30694,45105,48022,93134,38880,40695,79575
305,127252,130474,257727,62369,46588,108952,20015,31076,51091,6547,9344,15887,4794,4019,8816,93720,91026,184744,24877,31544,56426,5.1,4.4,4.8,73.6,69.8,71.7,69.9,66.7,68.3,15339,15495,30837,3908,6435,10344,36699,41353,78052,10984,12662,23643,15318,8924,24241,1053,1154,2204,1343,1875,3213,17709,11951,29662,98276,99680,197952,38147,40321,78469,48887,49703,98596,82135,85162,167292
306,107017,111360,218370,39709,27284,66991,14260,27046,41309,4501,4678,9182,4054,3251,7307,62527,62259,124787,32718,38011,70734,6.5,5.2,5.9,58.4,55.9,57.1,54.6,53,53.8,2931,3876,6798,1328,2934,4268,9840,16428,26268,8069,11946,20014,28605,15186,43798,1392,1912,3299,1551,2144,3702,31550,19242,50792,96171,98425,194595,20284,21837,42120,61850,62348,124199,48540,52244,100778
307,53926,52669,106591,23810,12913,36725,5295,12372,17668,2041,1968,4009,1391,1138,2532,32536,28396,60934,15526,19646,35172,4.3,4,4.2,60.3,53.9,57.2,57.8,51.8,54.8,667,939,1603,407,963,1368,3230,6136,9375,3067,4658,7724,13841,7972,21809,711,1088,1798,770,974,1745,15323,10035,25355,49942,49032,98973,9043,9370,18415,33905,32397,66305,21835,22995,44824
