SA4_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
203,3934,3483,7421,9186,8580,17765,2951,3021,5975,1463,1337,2798,13612,12944,26561,5117,4620,9737,2732,3198,5933,2626,2303,4927,10480,10127,20610,532,623,1153,478,740,1218,1273,658,1931,1305,1723,3027,19,8,28,3608,3763,7367,2868,3957,6825,1198,1595,2795,413,618,1037,1200,2482,3681,18,16,32,5700,8680,14375,9313,12453,21761,433,436,868,659,1041,1703,18,9,22,1105,1486,2595,8636,7728,16365,139,170,313,47229,48394,95627
204,1793,1764,3561,4725,4400,9127,2006,1951,3955,669,677,1344,7393,7037,14435,3173,3119,6294,1762,1788,3551,930,1030,1956,5863,5945,11808,376,353,730,231,430,667,771,501,1271,628,1211,1840,14,7,22,2026,2505,4529,420,837,1251,224,511,731,105,230,336,512,1160,1676,4,11,14,1265,2750,4009,3292,5258,8551,247,192,435,310,510,820,13,11,27,571,711,1284,6788,6547,13341,129,125,255,25838,27394,53228
205,2950,2664,5615,8231,7604,15837,2324,2295,4617,1050,957,2004,11621,10859,22472,5485,5248,10733,1967,2129,4100,1248,1335,2581,8708,8714,17426,332,443,772,198,564,770,1043,700,1742,857,1734,2589,30,17,45,2467,3451,5920,749,1450,2199,359,842,1201,134,345,478,618,1742,2352,12,18,32,1869,4385,6254,4339,7845,12187,362,281,641,453,795,1249,23,23,48,842,1096,1937,11248,10710,21959,214,129,347,39916,42031,81947
206,4512,4279,8791,9689,9303,18990,2623,2471,5099,1739,1894,3629,14063,13695,27756,6260,5784,12041,1998,2144,4139,3057,3442,6504,11329,11382,22709,1490,1509,3005,2415,3100,5518,1045,725,1769,3391,4292,7682,19,16,37,8364,9653,18017,13761,17189,30950,7392,8735,16132,1518,1900,3416,5500,8392,13888,50,58,112,28225,36274,64498,36638,45962,82593,1383,1723,3104,2193,3039,5229,32,34,64,3608,4798,8405,18172,17341,35511,1296,1177,2473,89614,98624,188235
207,3671,3362,7033,10072,9287,19356,2344,2180,4528,1823,2213,4033,14264,13690,27949,6508,5889,12405,2868,2571,5436,4736,5184,9923,14133,13659,27790,725,517,1241,812,1022,1834,780,328,1102,1296,1854,3150,17,12,20,3623,3727,7352,8609,8937,17542,2480,2654,5130,989,955,1943,1989,2788,4776,22,29,55,14088,15360,29447,17733,19104,36843,663,575,1237,1011,1526,2536,14,12,31,1692,2111,3803,5671,5993,11657,658,624,1279,57826,58537,116364
208,4880,4593,9475,10883,10321,21204,3220,3079,6299,3167,3060,6223,17292,16483,33771,6200,5756,11950,3302,3332,6633,5957,5830,11786,15474,14941,30416,773,593,1370,579,909,1489,984,427,1414,1365,1957,3318,13,8,20,3720,3896,7615,6830,7723,14555,1852,2264,4120,838,928,1769,1980,3247,5226,15,22,37,11521,14194,25710,15253,18102,33355,531,474,1005,971,1488,2455,13,18,31,1517,1980,3494,6567,7289,13856,360,439,802,61342,63819,125161
209,6946,6170,13116,16728,15554,32281,5328,5258,10581,1634,1655,3288,23735,22501,46231,11131,10279,21413,4638,4693,9328,2205,2342,4547,17996,17331,35329,1324,1111,2430,1204,1682,2883,1961,770,2736,2142,2821,4959,31,18,52,6664,6398,13065,6086,7920,14004,2555,3278,5834,707,949,1658,2151,3819,5969,37,29,67,11537,16000,27539,18237,22429,40668,1134,1069,2207,1534,2088,3621,32,16,50,2706,3177,5881,11269,11002,22276,391,453,844,81273,83074,164344
210,5335,4859,10195,11855,10959,22814,4989,4823,9805,2602,2716,5319,19480,18526,38005,8029,7412,15447,3712,3748,7462,2831,2962,5789,14602,14150,28749,1405,1005,2409,1153,1487,2640,1476,586,2067,1655,2378,4035,36,23,60,5729,5480,11209,4299,5738,10038,1565,2030,3598,559,664,1222,1286,2360,3649,19,35,57,7730,10830,18562,13488,16343,29834,1289,1276,2567,1289,1969,3255,30,27,59,2606,3277,5879,11130,10431,21558,365,386,749,67001,67967,134973
211,6208,5612,11822,16487,15204,31691,3061,3014,6073,2196,2193,4389,21760,20434,42192,10678,10044,20719,3743,3560,7304,3729,3535,7268,18164,17161,35324,944,1020,1968,666,1089,1758,2310,960,3275,1997,2943,4941,30,14,42,5947,6034,11981,5186,6345,11530,1422,2060,3481,796,984,1780,1903,3438,5346,19,26,47,9332,12853,22182,15305,18915,34221,668,660,1332,1239,1978,3216,26,17,37,1932,2651,4581,8079,8509,16586,348,414,762,71798,73693,145491
212,10249,9242,19491,27910,25847,53760,6308,6137,12449,4442,4616,9060,38721,36672,75390,18884,17584,36473,5748,6068,11817,5290,5320,10610,29977,29019,58998,2478,2388,4865,2377,3116,5491,2825,1352,4174,3588,5306,8899,49,29,77,11316,12192,23506,12289,13829,26113,4341,5096,9439,1214,1501,2713,2787,4508,7291,74,49,123,20702,24975,45675,32075,37231,69309,2499,2309,4809,2809,3998,6806,55,63,125,5366,6376,11740,20851,19837,40682,995,1121,2116,138231,139495,277724
