SA4_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
312,10016,12779,17706,9137,9791,7093,12835,10433,1941,91729
313,11662,15604,16999,15291,14578,10284,8856,14511,2206,110000
314,13533,23537,15190,14065,16477,9745,6626,8992,1847,110015
315,5969,6194,6232,4195,4079,2040,4495,5347,1047,39596
316,23610,39051,27396,24784,22156,17825,8426,18018,3276,184558
317,8086,15318,10518,10193,9429,6591,4503,9098,1226,74959
318,12374,20807,16120,17043,13449,9487,8726,11433,2044,111487
319,13506,16850,15742,16529,12641,10782,8695,16894,2313,113955
397,5,33,9,3,3,0,21,37,0,99
401,23776,51257,16113,17373,19609,12555,4723,10547,2315,158265
402,20412,34028,29499,28982,27222,18091,17004,25286,4147,204668
403,22012,43034,24398,25324,24165,15832,7724,15286,2873,180637
404,14548,28471,15423,16071,16899,10356,6810,11178,2136,121886
405,8766,6781,6744,5849,4926,3840,3792,6950,907,48549
406,5596,5935,6651,4956,3736,2952,4495,5006,850,40178
407,13958,10487,11401,10454,8191,7264,5884,13674,1594,82907
497,0,3,3,0,0,0,4,9,0,22
501,10481,13524,15121,9998,8870,7205,7661,11644,1426,85928
502,4033,5788,7628,5832,4303,3978,4384,4492,724,41151
503,16258,39911,7126,10152,10222,6291,2381,5097,1375,98798
504,15025,26443,21392,17272,18288,11376,10966,12635,2410,135811
505,35440,67174,42588,35533,38332,24530,15950,24721,4682,288942
506,26900,56139,38384,31178,32846,20140,21588,24494,4607,256274
507,25445,50203,32571,26315,26665,17269,13972,18182,3491,214103
509,12421,8259,9039,6422,6120,4229,5670,8530,1079,61780
510,6609,10233,13932,5298,5575,2449,9298,6170,1262,60812
511,8330,9708,12004,6299,6526,4191,9190,6993,1159,64403
597,96,324,627,58,45,6,172,344,23,1697
601,14571,28465,15720,16599,15331,9937,5358,10630,2127,118737
602,8838,12346,9393,9048,7499,6217,5131,8136,1226,67824
603,2798,2821,2710,2131,1813,1141,1212,2576,427,17630
604,6167,7399,7556,6809,5142,4527,4407,7092,928,50010
697,14,78,74,21,9,0,18,58,0,277
701,10358,17331,11056,11415,11016,5389,4061,5973,1504,78112
702,5085,9106,4888,6274,4106,1900,2073,3725,961,38122
797,12,85,63,17,0,0,8,86,4,282
801,44313,78043,23917,27158,36088,15245,6008,12417,5262,248458
897,0,0,0,0,0,0,0,0,0,0
901,501,399,421,398,290,150,142,269,42,2614
997,0,0,0,0,0,0,0,0,0,0
