SUA_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
1010,5553,6863,14562,16250,17131,13450,3051,306,25,77183,3673,1712,3873,4051,4517,8923,17305,12079,5192,61332,409,436,997,989,864,889,1074,1307,1365,8335,9634,9010,19434,21290,22510,23260,21425,13694,6583,146846,1716,5564,16098,18515,20056,13762,2340,150,9,78212,5830,5184,8296,9878,9761,9409,3352,482,24,52225,1938,2034,3394,2770,2510,2442,806,102,9,16016,158,248,605,482,452,259,91,49,19,2367,9654,13022,28389,31644,32778,25877,6584,791,72,148810,416,663,909,677,816,673,73,3,4,4247,1009,398,401,403,381,462,133,15,3,3209,1425,1062,1310,1081,1198,1138,203,24,5,7453,11083,14087,29702,32731,33972,27017,6792,808,77,156260,8091,3306,6082,6245,7702,15286,31202,22399,8402,108721,870,879,2031,1947,1860,1741,1937,2177,1996,15443,20045,18275,37816,40924,43536,44043,39926,25387,10473,280428
1011,1334,1284,3251,3616,3828,3138,763,56,8,17279,692,316,820,742,781,1835,4106,2695,1112,13100,109,89,311,283,239,236,240,295,267,2077,2134,1690,4389,4636,4849,5211,5105,3051,1386,32459,413,1205,3529,4010,4408,2910,560,40,3,17078,1660,1061,2182,2351,2268,2422,977,94,10,13024,151,113,328,242,231,314,102,15,4,1501,38,76,159,130,89,69,34,9,6,603,2257,2453,6201,6731,6996,5720,1675,154,20,32202,95,138,207,182,198,141,20,0,0,983,230,81,145,130,111,139,33,5,4,876,331,218,349,305,307,284,53,0,4,1854,2588,2675,6549,7037,7300,6004,1725,158,23,34053,1501,602,1280,1216,1385,3319,7647,4988,1860,23799,224,196,620,570,513,482,465,509,410,3979,4317,3470,8451,8815,9196,9810,9832,5651,2293,61831
1012,682,964,2670,2080,1789,1526,393,46,3,10150,344,226,509,312,342,678,1340,1118,502,5372,98,102,295,211,186,141,120,129,73,1354,1128,1290,3472,2602,2321,2341,1861,1293,574,16878,376,1162,3540,2775,2507,1985,431,51,3,12834,810,452,1294,1023,766,817,406,74,4,5644,64,62,269,137,102,106,57,3,0,798,22,53,131,65,48,37,8,7,0,367,1276,1725,5230,4000,3423,2938,905,128,15,19645,53,68,98,74,75,40,7,0,0,415,83,47,52,39,28,34,12,0,0,297,142,113,150,114,101,70,22,0,0,708,1415,1839,5384,4109,3521,3011,924,131,15,20352,746,384,738,493,590,1113,2348,1944,777,9136,218,219,577,418,368,289,243,215,114,2675,2383,2445,6698,5025,4483,4419,3521,2292,908,32167
1013,289,287,617,707,838,885,272,28,0,3918,161,66,145,151,256,750,1815,1360,616,5321,27,18,55,42,49,61,117,164,210,750,470,368,818,898,1140,1696,2205,1555,832,9989,105,240,615,748,853,730,169,14,3,3477,348,233,401,494,552,722,310,52,3,3119,36,24,59,52,69,101,34,8,0,389,23,22,25,25,28,29,12,9,0,176,517,519,1102,1313,1509,1583,532,78,10,7155,33,33,53,48,47,49,5,0,0,267,24,15,18,19,23,48,12,0,0,157,53,51,75,61,70,97,12,0,0,420,574,568,1175,1378,1578,1676,544,78,10,7576,317,124,250,284,474,1335,3429,2579,1052,9842,51,37,101,82,104,132,230,267,290,1297,942,727,1527,1741,2150,3145,4204,2930,1351,18714
1014,381,512,1283,1117,1121,945,237,21,0,5615,213,151,330,241,285,518,1134,842,429,4144,40,34,97,88,76,57,74,60,33,555,632,698,1716,1438,1478,1517,1437,927,465,10315,198,641,1655,1535,1417,1140,196,17,0,6802,429,326,670,542,558,632,263,32,0,3460,38,50,152,85,81,109,33,3,0,547,10,34,64,41,27,18,15,0,0,211,677,1047,2543,2199,2086,1904,510,58,4,11024,35,47,73,46,57,48,5,0,0,316,45,25,40,36,31,24,7,0,0,214,85,76,115,76,90,76,12,4,0,530,760,1119,2658,2275,2175,1974,522,59,0,11550,488,398,703,497,605,931,2021,1505,668,7808,85,78,206,162,164,126,142,100,62,1124,1334,1601,3567,2938,2936,3032,2682,1667,731,20489
1015,273,389,782,767,806,687,158,17,0,3868,179,130,291,213,285,507,980,808,422,3824,32,42,98,77,72,58,57,75,83,600,483,565,1165,1065,1164,1248,1195,900,500,8292,94,390,867,892,946,757,132,15,0,4098,354,260,475,442,459,478,169,35,3,2683,30,22,94,55,44,59,20,3,0,328,13,25,48,28,18,19,9,5,0,167,489,704,1489,1416,1467,1321,331,51,5,7274,45,69,73,52,55,43,4,0,0,343,56,25,37,27,24,30,3,0,0,202,109,93,106,78,84,70,3,0,0,542,596,799,1598,1493,1553,1390,342,56,5,7819,422,207,407,371,496,904,1853,1414,654,6730,70,93,188,155,157,126,114,133,108,1145,1091,1103,2185,2017,2205,2419,2305,1598,775,15698
1016,363,433,1253,1063,983,778,221,34,0,5120,201,110,314,178,212,303,593,526,288,2732,22,46,119,82,74,75,61,64,86,631,583,587,1680,1326,1270,1157,873,617,379,8481,206,605,1783,1528,1409,1089,248,20,4,6888,407,232,599,569,471,493,237,46,0,3061,31,24,90,50,38,41,25,3,0,304,18,34,65,42,25,25,14,4,3,232,654,892,2546,2176,1949,1656,519,80,8,10481,26,30,66,43,34,15,4,0,0,212,30,23,35,22,17,13,0,0,0,145,55,54,102,66,46,29,6,0,0,360,710,951,2647,2243,1992,1682,521,80,8,10837,427,182,453,308,370,516,1017,924,447,4636,53,84,270,188,180,156,115,114,147,1316,1191,1214,3366,2736,2546,2359,1663,1111,604,16791
1017,247,246,509,559,585,539,142,16,0,2838,180,119,242,188,245,440,789,529,248,2991,50,38,80,77,69,58,62,68,65,556,475,396,832,822,899,1040,987,617,311,6391,109,258,512,561,634,479,102,10,0,2661,252,160,359,300,337,400,158,20,5,1999,31,23,49,41,43,50,28,4,0,267,10,14,35,31,27,13,5,0,0,143,403,456,958,938,1047,942,296,39,5,5071,33,46,60,59,40,47,0,0,0,278,42,23,41,22,30,39,12,0,0,198,79,73,101,78,63,87,11,0,0,479,479,527,1054,1015,1112,1026,303,39,5,5547,428,314,664,526,538,869,1523,978,378,6218,95,75,140,149,141,139,117,117,82,1047,1001,912,1862,1681,1784,2031,1942,1141,462,12814
1018,512,598,1345,1336,1416,1249,308,27,4,6797,268,164,339,352,377,645,1340,981,499,4960,83,76,162,135,90,106,99,113,106,970,860,846,1843,1823,1885,2001,1740,1122,608,12731,189,564,1529,1487,1593,1365,224,18,0,6975,652,486,908,880,887,818,344,42,6,5017,40,48,125,97,83,110,43,7,0,555,18,20,45,49,40,26,14,12,0,215,895,1124,2599,2520,2602,2313,627,73,12,12763,26,70,89,54,69,76,8,0,0,391,107,58,55,55,43,64,20,0,0,397,138,128,140,111,111,132,26,0,0,784,1031,1248,2741,2629,2713,2448,652,69,8,13546,594,325,557,538,706,1221,2459,1673,759,8818,148,157,302,255,201,231,199,192,175,1851,1774,1726,3602,3428,3613,3897,3302,1933,937,24217
1019,155,218,494,429,511,491,96,17,0,2410,140,50,135,153,198,366,670,526,228,2467,13,9,44,37,42,37,40,56,22,305,312,278,672,627,753,885,808,596,252,5175,76,232,590,497,666,517,90,11,0,2695,162,146,295,280,273,330,99,22,4,1613,31,39,83,36,50,59,20,0,0,317,6,12,17,20,15,11,6,4,0,96,284,427,985,835,1002,929,216,33,4,4720,11,25,39,45,39,29,5,0,0,191,30,21,16,15,15,25,3,0,0,128,45,37,58,60,52,54,10,0,0,318,327,466,1045,892,1056,980,227,35,4,5042,285,133,334,302,367,680,1279,953,352,4682,41,21,101,93,93,92,91,88,31,666,652,623,1482,1294,1516,1749,1600,1077,388,10382
1020,297,275,617,755,794,536,115,4,3,3409,139,53,158,163,170,370,665,373,82,2178,9,16,26,33,29,36,40,28,8,218,442,341,800,953,996,937,816,408,92,5800,129,283,762,948,1033,646,120,5,0,3929,324,211,342,446,472,386,129,21,3,2327,55,40,100,68,68,82,25,0,0,446,7,12,26,24,26,14,0,3,0,123,515,553,1230,1484,1594,1128,275,25,11,6825,20,28,33,27,30,26,4,0,0,173,48,24,22,10,12,14,8,0,0,147,69,56,54,37,45,45,6,0,0,317,589,612,1283,1523,1638,1170,285,26,11,7142,328,112,206,243,286,659,1289,762,136,4022,24,41,55,60,69,70,73,57,19,465,943,764,1550,1827,1987,1902,1649,844,167,11628
1021,423,532,1215,1079,1270,1038,258,28,4,5850,285,174,309,306,279,774,1442,1271,632,5473,31,34,58,58,53,53,71,84,40,472,742,745,1578,1446,1599,1861,1762,1387,673,11789,170,560,1314,1291,1512,1081,194,23,0,6131,414,400,755,698,744,760,293,53,4,4114,118,100,214,183,147,148,58,8,0,973,17,22,54,40,39,29,9,0,0,214,720,1080,2334,2210,2434,2020,551,75,4,11428,40,56,78,62,59,63,9,0,0,370,90,54,40,28,28,34,10,0,0,285,134,110,113,93,83,95,20,4,0,651,851,1191,2454,2296,2520,2122,574,84,4,12085,590,307,485,462,548,1275,2673,2314,1047,9712,54,76,117,116,88,100,122,138,66,880,1495,1572,3055,2879,3163,3494,3367,2534,1124,22681
1022,232,242,736,631,599,451,100,26,0,3011,92,56,166,114,117,221,486,414,189,1848,9,19,50,37,39,33,28,32,38,289,331,316,950,778,759,710,611,469,231,5157,127,360,982,812,814,537,116,12,0,3757,239,136,360,381,324,323,117,28,6,1912,43,16,103,62,36,38,15,4,0,323,4,11,29,24,18,18,0,5,0,113,408,526,1474,1270,1192,915,255,53,8,6106,19,17,32,25,19,8,3,0,0,118,29,6,21,13,15,17,0,0,0,97,47,20,50,42,31,23,5,0,0,217,456,550,1524,1312,1219,939,255,59,8,6325,228,91,226,170,208,377,837,716,298,3138,28,45,110,99,93,77,63,59,50,619,709,681,1856,1578,1520,1396,1158,825,353,10076
1023,198,247,647,543,529,363,87,10,0,2630,134,70,202,170,172,274,394,240,105,1765,22,22,52,52,36,30,29,24,18,283,352,337,903,763,741,674,505,271,124,4678,101,314,894,786,774,528,95,7,0,3497,234,147,321,296,264,228,76,11,0,1590,20,20,77,49,37,41,9,5,0,258,4,10,26,29,14,13,10,0,0,107,364,488,1325,1162,1084,808,192,22,0,5449,22,23,50,36,33,35,0,0,0,204,31,21,30,19,16,19,10,0,0,136,53,46,84,52,46,51,7,0,0,341,415,536,1407,1212,1130,863,201,22,5,5789,314,132,362,331,324,494,757,450,157,3311,50,46,139,107,98,70,54,45,24,635,782,710,1910,1660,1543,1426,1015,512,183,9734
