SUA_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
3009,17,24,60,86,142,264,830,1075,482,2967,4,0,13,12,22,32,33,31,14,162,158,131,302,339,402,499,759,806,373,3772,1324,2219,4946,5564,6610,8558,10810,6783,2040,48857
3010,7,3,14,16,25,49,133,203,141,599,0,0,14,3,7,9,12,6,3,50,47,39,109,87,89,80,80,74,45,643,326,685,1429,1167,1144,1201,1199,699,313,8159
3011,18,22,61,98,131,314,753,1040,502,2942,3,7,19,28,31,31,40,28,17,207,318,443,967,863,778,739,616,560,349,5623,2246,5074,11176,11096,10646,10244,7435,4018,1559,63493
3012,19,30,50,62,95,180,430,543,302,1703,3,0,11,5,17,16,32,17,10,108,97,95,189,213,195,229,269,250,141,1672,763,1436,2712,2839,3271,3920,4109,2355,813,22214
3013,24,16,43,44,69,89,177,124,30,603,0,7,9,4,19,17,21,8,4,91,130,221,432,377,393,409,299,120,33,2409,635,1429,3405,2765,2465,2321,1390,568,113,15095
3014,24,28,107,168,236,357,789,1251,641,3606,3,13,50,52,46,67,52,36,21,339,308,354,756,702,620,540,557,527,378,4747,2384,5110,10998,10046,9275,9120,7025,4124,1701,59771
3015,102,57,157,244,420,770,1978,3323,1993,9052,21,34,88,96,126,116,106,107,62,754,948,1069,2513,2517,2392,2466,2710,2745,1981,19341,9664,18969,41012,46692,51403,51249,48400,29042,10450,306882
3016,75,116,195,309,370,474,1198,1987,1149,5861,29,72,234,237,175,172,131,62,43,1146,376,496,1007,836,797,792,764,787,481,6332,4004,9105,18765,17126,16730,15801,13921,8834,3558,107839
3017,64,60,172,272,338,651,1175,1626,757,5114,15,20,95,112,125,129,106,78,34,713,822,1402,2086,1617,1406,1224,1085,836,492,10970,6130,14222,26203,23160,22445,20176,15287,7866,2614,138107
3018,6,4,16,15,55,68,204,282,130,783,0,0,4,3,5,18,18,16,4,72,54,65,120,106,139,166,152,180,93,1074,422,869,1734,1446,1748,2034,2006,1347,461,12072
3019,4,0,6,15,27,63,194,290,139,746,0,0,5,5,0,4,3,8,5,35,47,58,131,101,133,181,213,153,61,1077,530,944,2067,2264,2492,2885,2706,1463,467,15824
4000,78,81,306,392,562,1196,2995,3832,2172,11609,14,26,84,129,167,161,145,118,80,920,946,926,2453,2435,3010,3424,3234,2304,1087,19814,5756,12037,28039,29901,36071,43525,39437,19954,6763,221480
4001,294,391,1612,2387,2588,4181,9185,12853,8958,42455,66,249,1222,1828,2294,2215,1904,1747,1336,12873,2450,3347,7847,6987,6120,5880,6092,6184,4372,49281,30951,88932,190267,181265,170559,162643,135529,79735,35934,1075824
4002,9,13,49,67,67,119,323,416,279,1335,3,4,28,30,28,23,15,34,11,172,73,102,212,203,220,190,203,229,156,1595,767,1596,3605,3344,3722,3774,3204,1911,821,22733
4003,9,10,39,65,65,98,281,377,214,1155,3,6,15,11,14,15,21,20,4,105,64,69,162,162,169,150,160,128,71,1125,421,1049,2294,2036,2147,2363,2088,1459,569,14428
4004,4,13,49,38,41,79,178,219,100,726,0,4,20,14,6,20,15,16,4,91,72,73,200,185,196,197,170,132,35,1268,373,767,2131,1671,1722,1857,1442,799,257,11017
4005,4,4,18,16,27,51,159,199,136,625,0,0,5,0,5,0,7,3,0,25,67,66,145,153,147,154,134,103,55,1016,379,837,1963,1914,2053,2124,1794,1019,436,12510
4006,6,7,19,20,33,91,224,307,175,892,0,0,0,6,10,5,0,9,11,49,42,62,141,115,141,137,141,109,47,942,367,883,1620,1405,1797,1881,1624,1083,431,11087
4007,5,3,10,34,23,58,247,394,284,1057,4,5,5,4,10,5,14,12,8,66,31,28,63,90,105,160,276,294,200,1257,389,799,1759,2176,2745,4093,6221,4173,1520,23881
4008,12,10,21,36,37,104,218,269,94,801,0,3,15,7,16,7,10,13,6,79,69,95,200,178,237,221,181,181,98,1460,490,1242,2787,2389,2995,3040,2085,1394,441,16866
5000,175,139,397,427,684,1073,2071,2147,935,8058,29,37,133,170,248,227,202,198,96,1333,1630,2751,8917,8861,9014,7642,4730,2396,844,46784,7649,15207,43315,45552,48535,50877,39500,16346,4355,271331
5001,8,12,41,45,47,99,195,329,222,996,0,5,18,27,38,19,19,12,17,145,95,87,221,203,222,236,242,259,179,1744,992,1613,3782,3815,4349,4660,4135,2593,1110,27046
5002,8,4,12,23,29,36,105,76,25,306,3,0,8,13,14,7,7,8,8,63,122,166,549,429,448,482,331,151,29,2712,442,927,2988,2872,2589,2818,2670,882,111,16298
5003,17,22,59,70,88,165,377,534,307,1636,5,0,30,19,28,48,32,34,24,219,173,195,523,432,457,439,429,350,297,3288,2036,3821,9139,9792,9655,9046,7239,3952,1531,56201
5004,10,11,21,26,34,72,166,256,232,828,0,4,34,9,17,15,12,8,13,107,110,71,293,279,273,339,344,269,164,2141,912,1392,3807,5011,5320,5265,5320,2833,1039,30898
5005,6,0,3,7,17,41,68,108,66,318,0,0,0,3,0,7,10,0,5,25,67,73,152,167,199,149,161,143,37,1157,348,581,1355,1428,1590,1628,1302,840,271,9343
5006,17,15,22,36,62,147,275,361,201,1131,0,12,16,21,22,30,35,43,28,198,213,185,431,483,410,381,318,273,148,2858,1234,2027,4519,4693,5032,4906,3958,2119,829,29307
5007,10,13,25,56,59,91,131,104,46,543,3,4,12,29,23,17,14,3,3,113,140,227,587,544,452,514,354,126,72,3015,873,2004,4932,4503,4011,3598,1915,685,197,22722
5008,3,3,12,16,35,25,42,28,7,165,5,6,9,12,3,6,3,8,0,39,127,205,681,745,609,434,161,37,8,3008,424,976,3542,3781,2834,1870,787,181,22,14423
5009,474,459,1663,2616,3369,4943,9064,11281,7109,40989,93,237,1328,1872,2108,2176,1915,1564,1153,12444,4309,5828,14526,12953,10646,9040,9417,9508,7372,83589,54273,128894,291804,295964,262923,228785,182170,100576,40560,1585956
5010,6,8,19,31,39,48,48,27,8,233,0,0,7,10,20,8,11,4,0,64,130,212,799,750,674,527,184,48,13,3333,452,922,3557,3397,2606,2102,808,189,34,14079
6000,62,35,99,128,254,707,1383,1248,800,4718,14,8,39,33,36,59,61,51,39,329,526,466,1262,1278,1439,1830,1853,1310,553,10517,3867,7112,16915,17680,21584,27203,23545,11043,3045,131999
6001,8,3,27,31,67,111,242,303,259,1050,3,0,15,9,26,18,22,7,7,123,93,83,180,185,227,196,235,222,123,1542,725,1585,3258,3095,3374,3713,3218,2043,743,21754
6002,11,19,35,35,50,99,228,288,258,1032,0,11,20,6,15,22,21,11,3,107,61,77,222,155,180,220,289,282,157,1637,798,1714,4062,3392,3917,4003,3839,2369,894,24988
6003,71,67,237,242,300,560,967,1333,1092,4874,10,25,160,131,177,163,151,91,54,970,446,601,1763,1259,1056,1075,1305,1199,681,9391,4932,13894,37422,29198,26954,26371,23027,13287,5320,180401
6004,27,49,161,161,158,266,495,626,590,2525,3,25,97,133,167,107,63,64,33,676,225,386,732,471,467,519,531,630,401,4366,2215,5955,13561,10946,11266,10663,9173,5802,2387,71976
6005,0,4,4,21,36,59,140,162,179,607,0,0,0,0,0,3,4,4,0,23,42,40,67,77,82,87,146,134,55,733,340,695,1491,1501,1813,2208,2061,1299,494,11905
7000,442,410,837,824,838,760,747,293,53,5215,60,77,130,170,203,228,250,124,38,1279,622,906,2364,1924,2052,2004,1444,353,38,11706,3896,6432,15010,12716,12018,11801,8371,1927,238,72413
7001,49,44,100,120,136,146,205,106,36,942,3,10,31,41,50,53,52,25,22,280,138,148,489,423,405,469,388,101,34,2590,734,1391,5148,4322,3615,3741,2560,754,183,22451
7002,59,44,177,263,397,518,787,598,190,3024,8,31,88,101,130,149,165,100,44,816,596,993,2855,2236,2039,1882,1398,539,162,12697,3226,8955,26015,21574,17761,15531,11202,3977,834,109088
8000,0,0,0,0,0,0,3,4,3,13,0,0,0,0,0,0,0,0,0,3,6,4,5,4,11,13,15,4,0,68,38,56,128,143,156,138,114,36,6,824
8001,82,75,352,440,564,998,1808,1967,1141,7426,20,53,287,253,276,311,295,319,187,2002,1232,2004,4040,2806,2071,1702,1692,1398,899,17845,12704,36713,83595,74322,61221,49190,37537,20425,7766,383472
9000,0,0,3,5,17,31,60,21,3,142,0,0,0,0,9,25,37,28,7,107,27,70,257,182,176,180,119,64,5,1087,115,272,741,691,765,892,664,295,60,4490
