SUA_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
3009,229,260,486,112,96,209,87,263,357,119,573,685,412,1726,2137,449,1176,1626,2012,647,2660,1518,673,2194,1595,705,2292,1533,464,1996,938,313,1250,908,225,1134,1587,311,1895,1080,66,1143,728,83,809,403,21,426,829,153,985,1108,92,1202,279,498,778,15926,8344,24264
3010,26,42,65,17,19,33,11,32,45,13,85,103,74,286,360,78,167,245,247,108,356,207,146,357,199,117,316,240,87,329,187,72,263,131,43,171,317,92,407,219,8,230,163,14,177,83,6,89,184,37,225,182,21,203,44,89,132,2631,1480,4110
3011,210,293,503,90,93,179,76,299,375,103,569,671,319,1306,1628,379,904,1282,1017,571,1585,911,731,1647,1076,828,1905,1279,639,1913,1000,600,1597,1180,489,1668,2668,905,3571,2172,135,2308,1894,238,2126,1235,53,1292,2968,297,3261,2681,256,2939,250,490,743,21500,9698,31200
3012,74,70,144,40,46,83,51,160,210,51,323,374,220,965,1183,206,528,733,851,278,1129,694,340,1033,702,287,989,705,190,899,402,135,537,425,79,508,742,104,843,485,16,498,311,18,325,182,4,186,328,23,346,477,41,514,129,242,369,7066,3848,10917
3013,37,82,120,8,27,34,17,106,119,21,111,132,60,137,197,81,98,182,117,135,253,116,149,260,151,204,348,199,199,396,170,175,342,181,194,373,511,437,950,466,42,507,527,98,625,329,28,357,841,142,986,411,53,460,57,270,329,4299,2688,6984
3014,163,269,435,76,89,164,74,312,380,102,593,696,335,1502,1840,420,934,1349,1232,656,1893,1121,801,1920,1243,822,2060,1472,641,2110,1121,484,1605,1121,423,1548,2669,629,3297,1869,97,1967,1525,151,1678,945,34,976,2037,204,2248,2074,150,2222,256,456,704,19853,9239,29088
3015,999,1246,2249,494,521,1017,432,1172,1608,405,2455,2859,1594,6774,8368,1912,4875,6787,6449,3233,9685,6018,3781,9799,7365,3687,11056,8671,2962,11633,6051,2181,8229,6625,1792,8420,13649,2756,16402,9913,640,10552,7550,771,8330,4656,241,4897,12307,1495,13804,7819,895,8715,1098,1893,2995,104020,43367,147386
3016,315,478,799,151,173,321,128,479,613,173,998,1173,616,2766,3377,688,2078,2764,2431,1298,3724,2210,1614,3821,2583,1643,4226,2991,1325,4313,2318,1023,3345,2411,761,3173,5133,1065,6201,3628,172,3796,2665,224,2891,1647,59,1701,3665,319,3992,2690,236,2924,397,576,971,36838,17293,54134
3017,356,612,967,150,225,377,148,642,792,246,1118,1365,605,2467,3078,779,1943,2717,2172,1432,3600,2101,1844,3949,2649,2094,4748,3230,1814,5045,2588,1511,4103,2858,1150,4005,6153,1639,7790,4939,327,5266,3773,395,4172,2402,112,2513,5112,519,5632,4204,496,4698,428,699,1125,44903,21045,65947
3018,47,61,103,27,26,52,20,60,84,22,149,169,101,460,560,113,307,414,443,181,621,353,217,573,347,192,537,390,109,492,296,77,369,273,55,331,504,74,579,276,15,285,173,13,184,99,3,106,177,29,204,294,25,321,73,108,179,4030,2141,6168
