SUA_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
1010,1790,4707,66,6562,35631,1854,65,44108,313,4072,40,4425,33445,2056,58,39986,65,650,5,728,22411,2253,22,25414,17,36,0,47,8323,2097,14,10482,56522,14520,1447,72490,191338,16598,308,280740
1011,379,1202,25,1608,7684,523,31,9839,72,1244,7,1328,8021,484,16,9847,25,209,0,234,4888,524,4,5656,3,15,0,21,1860,407,0,2291,11032,4032,569,15633,41982,4219,265,62100
1012,144,747,10,903,3205,313,4,4425,33,521,5,557,2709,246,6,3528,5,113,0,119,1946,225,0,2292,0,11,0,16,771,122,0,908,6573,2395,287,9257,20063,2848,51,32217
1013,77,330,3,408,2603,128,6,3146,18,333,4,350,3626,226,5,4206,0,60,0,63,2611,260,0,2930,5,3,0,9,1067,276,0,1358,2114,1006,95,3214,14184,1319,23,18738
1014,115,481,6,611,2261,166,4,3037,22,315,5,334,2188,161,9,2694,8,70,0,77,1494,100,0,1667,0,4,0,3,669,61,0,731,3627,1389,172,5185,13650,1656,31,20522
1015,87,346,7,439,1850,136,0,2419,21,266,0,289,1887,129,0,2305,5,75,0,78,1403,121,0,1598,0,3,0,3,671,100,0,775,2713,1185,160,4063,10420,1212,46,15741
1016,88,358,6,456,1735,166,10,2364,29,258,6,283,1253,120,5,1662,4,63,0,68,930,109,0,1112,0,4,0,4,460,137,0,604,3078,1098,119,4295,11078,1418,119,16911
1017,56,268,0,323,1539,169,5,2030,22,170,5,197,1618,127,0,1942,10,41,0,48,966,127,3,1141,0,0,0,0,379,81,0,462,1858,848,106,2815,8120,1881,10,12821
1018,179,451,10,637,3013,247,10,3907,35,411,0,443,2656,211,0,3309,0,78,0,83,1650,201,0,1934,0,0,0,4,769,164,4,938,4177,1593,233,6002,16248,1969,52,24267
1019,64,232,7,294,1350,104,0,1749,15,144,4,162,1337,100,0,1600,0,22,0,25,959,90,0,1077,0,0,0,4,360,24,0,388,1573,633,85,2290,7111,979,0,10389
1020,59,311,3,371,1448,78,3,1906,10,221,0,226,1349,74,0,1650,0,33,0,36,757,55,4,850,0,0,0,0,154,10,0,167,2595,910,118,3618,7503,509,11,11644
1021,118,434,3,555,2820,116,3,3501,19,378,0,398,2822,149,0,3367,8,98,0,101,2291,144,0,2532,0,7,0,8,1038,84,0,1122,4144,1385,169,5699,15971,1013,15,22694
1022,39,193,0,239,1078,85,0,1396,3,135,0,136,950,70,0,1158,3,39,0,46,715,71,0,832,0,0,0,6,296,47,0,353,2165,631,109,2906,6493,677,4,10080
1023,47,156,4,210,1122,93,0,1425,13,107,0,120,836,61,0,1009,0,24,0,24,445,42,0,513,0,0,0,0,152,30,0,183,2108,574,72,2757,6058,921,8,9746
1024,137,460,7,610,3624,175,4,4417,23,507,4,533,4182,211,0,4932,0,98,5,100,3022,251,0,3367,0,0,0,0,887,206,6,1100,3491,1447,124,5062,17913,1319,19,24315
1025,2237,9680,114,12032,45064,2308,76,59476,461,9345,40,9844,38592,2346,77,50858,107,1588,12,1701,25819,2330,29,29882,14,85,4,105,10371,1946,7,12432,84090,30480,3165,117734,271464,22128,443,411773
1026,164,594,9,767,3570,303,11,4648,38,530,5,574,3467,213,9,4262,7,100,0,110,2302,164,5,2582,0,6,0,10,973,87,0,1060,5672,2070,287,8031,20417,2959,40,31447
1027,165,655,9,831,3480,231,14,4558,32,608,3,647,3114,204,6,3971,9,125,0,137,2069,204,3,2409,3,14,0,17,862,150,0,1031,7088,2390,343,9818,21386,2062,57,33323
1028,254,718,9,993,5261,303,7,6555,57,804,3,864,5825,362,10,7056,20,174,0,193,4397,413,3,5007,3,13,0,16,1756,415,0,2191,7250,2615,330,10190,29968,2616,68,42841
1029,71,324,0,400,1405,92,3,1892,16,199,0,213,1065,74,0,1351,3,37,0,44,620,41,0,704,0,4,0,4,292,17,0,309,2990,994,133,4112,8677,887,16,13697
1030,81,335,6,423,2293,130,0,2850,12,325,0,339,2877,143,0,3365,3,60,0,62,1807,134,0,2002,4,6,0,3,577,59,0,645,2631,1093,115,3839,12033,993,19,16884
1031,33601,36187,866,70649,430302,23584,2388,526927,6385,43079,524,49989,321415,18700,2223,392320,1084,8575,101,9760,193645,16597,651,220656,152,476,11,637,78187,15377,176,94370,837827,136839,10537,985211,2706377,231885,12138,3935613
1032,176,673,6,861,3661,296,3,4821,56,601,0,659,3302,278,9,4244,11,116,0,121,2445,357,0,2925,0,5,0,4,977,252,0,1239,6501,2359,297,9158,23020,3079,54,35308
1033,112,447,3,565,2787,254,0,3609,19,332,7,358,2914,262,0,3543,3,75,0,82,2133,257,0,2470,0,0,0,3,911,184,0,1100,3360,1355,186,4903,15073,1961,10,21954
1034,68,303,3,379,2045,159,0,2584,14,318,3,332,2566,128,0,3023,5,49,0,54,1579,103,3,1732,0,5,0,3,567,62,0,630,2256,940,101,3302,10293,889,9,14494
1035,264,979,11,1258,4764,291,8,6311,45,856,10,909,3955,267,0,5141,9,177,0,186,2708,269,3,3165,3,13,0,11,1254,218,3,1481,8996,3414,421,12831,30851,2700,112,46499
1036,1502,4960,57,6521,29802,1320,45,37688,238,4322,22,4582,24846,1248,47,30721,61,680,5,749,16817,1373,12,18946,9,37,0,49,6553,1402,4,8012,50791,14711,1255,66763,170093,12504,265,249617
2000,3921,13155,174,17248,85741,7613,69,110674,849,12058,70,12981,81298,7257,67,101603,173,1964,13,2147,45033,5022,33,52236,21,110,0,134,15327,2589,15,18060,100160,38969,3811,142940,396225,48842,663,588667
2001,106,394,10,507,2010,109,3,2630,22,405,3,431,1764,101,3,2294,3,39,0,46,1028,76,0,1151,0,4,0,4,403,28,0,431,4599,1330,136,6068,12403,873,15,19355
2002,64,246,3,316,1568,134,0,2016,11,227,0,240,1681,128,0,2049,4,46,0,48,1225,153,0,1421,0,3,0,3,403,161,0,572,2105,798,101,3000,8855,1080,6,12937
2003,551,1806,22,2377,9865,545,15,12812,111,1747,10,1864,8868,550,19,11297,22,304,3,328,5637,532,3,6499,0,8,0,10,2401,436,0,2839,18446,6034,703,25187,60013,5161,92,90447
2004,488,1803,21,2305,9159,594,6,12066,92,1707,4,1801,8372,492,12,10678,21,320,3,343,5417,476,3,6246,0,15,0,16,2379,403,6,2808,16755,5858,621,23240,55090,4866,72,83269
2005,88,186,6,272,1234,114,0,1622,12,235,0,244,1377,122,0,1749,3,55,0,64,846,144,0,1059,0,6,0,6,277,200,0,476,1617,671,68,2359,6017,1324,13,9709
2006,35,247,0,279,1174,70,0,1526,11,217,4,230,1136,96,0,1464,3,38,0,44,874,74,0,995,0,3,0,6,429,49,0,492,1801,740,87,2624,7201,583,13,10422
2007,87,383,8,477,2432,155,0,3067,30,327,0,362,2510,168,0,3041,0,54,0,53,1655,204,0,1916,0,7,0,7,561,174,0,753,3260,1193,132,4580,12700,1365,19,18671
2008,1478,4683,55,6218,25605,1362,43,33227,250,5538,25,5818,22179,1370,34,29402,52,938,0,992,14641,1230,13,16879,7,37,0,44,6172,873,3,7099,48842,16022,1503,66365,154861,12923,268,234415
2009,158,383,7,546,2233,98,3,2872,22,434,5,465,1656,86,0,2209,3,75,0,83,992,68,0,1141,0,5,0,5,244,61,0,317,4356,1188,142,5689,10656,753,14,17111
2010,68,315,0,385,1648,85,0,2118,12,289,0,300,1381,82,0,1774,0,60,0,60,1069,93,0,1221,0,9,0,9,531,55,0,594,2619,995,136,3751,9221,787,7,13771
2011,30582,53447,979,85006,405211,20944,2177,513338,6105,67740,517,74365,294364,17009,1953,387683,1213,13716,123,15042,196484,14735,606,226869,174,663,8,847,86003,11125,155,98134,823375,200877,17749,1042003,2669787,209027,10429,3931246
2012,217,899,14,1132,5254,510,10,6904,39,656,0,690,4618,467,7,5782,11,117,0,129,2938,317,0,3386,0,8,0,5,1210,183,0,1400,7717,2693,322,10728,29159,3894,148,43933
2013,78,463,7,551,2316,193,3,3063,15,302,0,319,2249,189,0,2754,4,34,0,44,1305,115,0,1461,0,0,0,0,544,45,0,590,2909,1275,153,4333,12322,1329,47,18026
2014,50,217,0,269,1387,89,0,1744,10,159,0,164,1295,80,0,1535,0,27,0,27,681,61,0,773,0,3,0,9,314,26,0,344,1478,606,51,2133,6618,593,4,9349
2015,65,250,0,318,1451,86,3,1862,15,239,0,257,1355,87,0,1705,7,36,0,37,945,79,0,1062,0,3,0,3,391,71,0,470,2361,809,92,3261,8305,775,37,12382
2016,260,740,9,1005,4782,456,7,6250,60,604,0,663,4190,353,5,5215,5,110,0,120,2825,317,4,3261,0,5,0,5,1216,185,3,1408,8133,2451,250,10836,28578,3555,71,43034
2017,39,243,0,290,968,86,0,1348,5,149,0,152,882,61,0,1103,0,25,0,25,708,70,0,802,0,0,0,0,369,51,0,425,1665,621,70,2357,6090,680,12,9135
2018,191,800,8,995,4120,412,12,5538,21,571,4,597,3843,413,3,4858,11,82,0,94,2430,403,0,2930,0,3,0,4,993,326,0,1322,6360,2361,257,8984,23493,3368,52,35893
2019,74,383,0,454,1864,123,0,2440,19,358,0,374,1804,119,0,2301,8,63,0,66,1458,153,0,1675,0,6,0,9,688,129,0,821,2898,1218,102,4217,11116,1030,12,16376
2020,195,793,12,1000,3935,223,0,5166,48,659,4,712,3782,215,0,4706,8,107,0,124,2524,191,0,2830,0,3,0,5,936,82,0,1026,7003,2370,309,9688,22272,1863,44,33858
2021,189,667,6,865,3511,207,7,4587,41,664,0,709,3038,220,0,3971,5,123,0,127,1972,216,0,2317,3,3,0,10,901,211,0,1120,5620,2148,219,7981,19461,1936,69,29448
3000,3500,12105,173,15776,93560,12970,186,122496,791,8409,46,9246,89269,10060,179,108758,168,1490,15,1665,43219,5239,65,50193,21,104,5,122,11272,1879,7,13282,104035,37082,4777,145892,425161,80683,3531,655267
3001,68,153,5,221,1943,463,15,2643,17,146,0,162,1509,333,12,2018,3,31,0,34,461,91,12,595,0,0,0,0,56,9,0,68,2178,584,97,2856,9763,2430,191,15237
3002,12693,31188,489,44369,203839,10242,927,259383,2442,32516,227,35186,157002,8512,783,201484,423,6368,47,6828,96512,7217,232,110795,46,294,7,352,35863,5441,58,41717,422046,116247,13557,551851,1306978,104768,5404,1969004
3003,281,1127,19,1427,7815,480,13,9739,76,831,4,910,8950,539,14,10406,18,183,0,200,6209,515,11,6930,0,9,0,9,2100,250,0,2366,9981,3591,508,14078,44101,3747,196,62122
3004,1009,1883,42,2934,15170,1843,86,20031,182,1767,11,1957,12189,1663,76,15888,35,378,0,414,6213,969,36,7630,7,16,0,24,1932,410,10,2369,23688,7066,1003,31760,82927,14041,882,129600
3005,58,188,0,247,1133,204,4,1592,0,110,0,114,610,151,7,876,0,22,0,21,219,51,0,287,0,0,0,0,53,34,0,87,2703,665,151,3517,6244,1258,241,11264
3006,191,764,7,955,4378,347,10,5696,25,441,10,472,2909,284,5,3679,0,66,0,70,1412,138,3,1624,0,0,0,0,443,80,0,526,7956,2355,394,10700,22243,2435,50,35422
3007,3886,9094,118,13091,64992,4565,294,82947,758,9408,64,10221,58891,4348,311,73776,158,1781,16,1955,38207,3852,139,44147,20,92,0,112,13343,2822,30,16309,113038,32141,3524,148701,387038,39766,1803,577311
3008,78,315,5,406,2251,149,4,2815,27,270,0,295,2326,121,3,2744,3,53,0,61,1585,101,0,1750,4,5,0,9,672,69,0,738,3260,1134,194,4581,12635,1100,17,18341
3009,246,742,16,997,7100,465,26,8587,49,613,3,671,9507,632,25,10837,13,116,0,132,5995,665,11,6807,0,4,0,8,1715,315,4,2042,7176,2386,353,9923,37170,3496,106,50695
3010,37,137,4,175,950,73,5,1207,14,103,0,118,1013,67,0,1200,0,16,0,17,626,60,0,699,0,0,0,0,273,41,0,313,1564,473,85,2122,5768,616,29,8538
3011,330,1468,14,1812,7700,747,23,10284,42,1045,3,1094,5787,551,19,7459,19,190,0,203,3383,426,5,4022,0,13,0,16,1301,249,7,1564,13329,4632,630,18587,42293,5503,127,66513
3012,104,431,13,546,3148,231,0,3926,22,338,0,358,3537,213,3,4110,6,53,0,58,2109,181,4,2357,0,0,0,0,729,84,0,816,3280,1363,200,4848,16056,2143,13,23067
3013,88,248,10,342,1592,388,15,2341,12,122,0,141,966,283,5,1398,0,27,0,26,431,111,0,563,0,0,0,0,82,29,6,114,3090,941,171,4205,9076,2417,57,15746
3014,280,1419,17,1711,6859,550,9,9126,62,1015,0,1079,5479,471,20,7040,12,160,0,172,3577,376,4,4129,4,17,0,21,1406,275,5,1707,12306,4619,702,17625,39801,5240,96,62768
3015,2239,5525,57,7819,41085,2361,115,51379,372,5930,29,6333,39719,2370,156,48572,98,1066,3,1166,25706,2187,93,29154,9,52,0,59,8896,1504,19,10471,61695,18473,1962,82129,218977,18618,981,320706
3016,587,2122,35,2735,12318,759,23,15833,108,2048,11,2169,11072,690,15,13943,36,392,6,430,7783,624,11,8847,5,20,0,27,3153,371,0,3558,22375,7657,1149,31177,76276,6203,134,113791
3017,766,2852,44,3666,15296,1223,35,20226,124,2186,13,2320,12013,964,40,15342,25,447,0,469,6762,642,15,7887,3,23,0,31,2213,376,8,2620,27752,9807,1449,39009,93427,11965,351,144748
3018,78,250,5,332,1561,140,0,2034,20,172,0,190,1691,124,0,2006,6,47,0,56,1163,122,0,1347,0,4,0,4,397,69,0,461,2093,820,112,3026,8630,956,7,12619
3019,92,366,3,465,2240,182,0,2889,17,338,4,353,2158,197,0,2707,5,68,0,75,1261,126,0,1469,0,0,0,0,428,42,0,467,3042,1193,153,4389,11166,1074,18,16653
4000,1205,5797,53,7055,33303,3186,44,43589,272,4846,33,5148,31460,2838,35,39487,59,751,3,821,17326,1818,16,19984,12,37,0,46,5872,838,8,6771,37797,17040,1889,56726,153678,19297,964,230664
4001,7381,22105,309,29798,127685,5254,414,163155,1479,27543,129,29149,101733,4725,441,136051,313,5707,23,6045,69540,4205,138,79925,33,308,5,344,32694,2922,44,36004,217463,80377,8310,306149,771146,46234,2322,1125852
4002,110,588,6,703,2906,166,8,3780,35,428,0,464,2578,160,3,3208,5,77,0,83,1665,164,0,1911,0,5,0,5,700,114,0,821,4448,1751,242,6436,15990,1417,25,23872
4003,68,328,0,398,1820,147,4,2373,19,218,0,228,1734,124,5,2095,0,59,0,58,1282,115,0,1460,0,3,0,3,512,53,0,570,2369,980,109,3467,10132,1428,21,15046
4004,51,269,0,325,1344,190,4,1861,18,148,0,170,1123,147,6,1447,0,31,0,31,687,85,3,803,0,3,0,3,229,24,0,257,1708,781,93,2587,7181,1665,36,11468
4005,63,303,3,375,1597,156,0,2125,9,247,0,259,1421,117,0,1800,5,32,0,37,897,86,0,1022,0,5,0,5,383,50,0,436,2462,922,117,3505,8518,1049,11,13082
4006,60,266,3,331,1444,111,0,1883,15,150,0,169,1356,104,0,1624,0,39,0,38,970,72,0,1083,0,0,0,0,398,33,0,431,1734,797,93,2627,8129,819,0,11572
4007,122,539,13,666,3292,135,3,4096,32,769,3,807,5207,209,6,6227,10,115,0,127,3839,207,4,4180,3,4,0,6,1387,127,3,1532,2868,1792,177,4835,18703,1040,29,24618
4008,77,407,5,491,2353,191,0,3040,10,198,0,211,1755,118,7,2086,5,41,0,42,1231,118,0,1396,0,4,0,4,392,50,0,444,3023,1176,186,4382,11947,1273,11,17614
5000,1449,5000,90,6543,36902,7451,125,51021,259,3771,30,4061,31182,4269,77,39579,60,548,9,614,13754,1983,18,16368,7,34,5,46,3610,703,12,4366,43606,16287,2865,62763,167627,47874,1532,279792
5001,182,572,9,767,3659,236,11,4668,27,466,6,493,3413,230,0,4141,3,80,0,90,2321,178,3,2598,0,10,0,10,985,121,0,1110,5002,1923,315,7234,19121,1896,47,28296
5002,73,235,0,305,2031,483,9,2824,15,236,0,247,2093,330,12,2687,6,46,0,54,678,147,0,882,0,0,0,0,84,26,0,111,2572,923,172,3661,10196,2833,123,16818
5003,326,1470,20,1817,6813,414,14,9065,70,1106,3,1181,5700,369,11,7257,26,178,0,202,3485,263,3,3962,6,10,0,19,1246,266,0,1528,12594,4423,726,17749,37544,3610,89,58989
5004,195,724,7,924,4008,334,10,5276,35,844,6,882,4128,313,5,5322,3,128,0,132,2484,221,4,2845,0,6,0,8,924,105,0,1036,6520,2364,341,9225,21002,2031,63,32316
5005,51,219,0,271,1205,154,4,1630,5,138,0,146,1018,143,0,1302,0,43,0,44,675,121,0,838,0,6,0,8,242,22,0,271,1676,688,109,2470,6155,1112,23,9751
5006,192,672,7,872,3680,357,8,4916,32,503,6,538,3128,284,3,3962,9,86,0,91,1797,234,9,2128,0,6,0,9,680,138,5,833,5602,2130,339,8076,19514,2959,42,30597
5007,136,359,0,498,2623,479,14,3617,18,171,0,181,1422,312,19,1934,6,41,0,48,557,82,0,690,0,3,0,3,163,34,0,199,4922,1205,236,6358,14006,3106,75,23545
5008,49,189,0,243,1214,421,19,1889,3,89,0,91,543,155,11,797,0,9,0,9,145,30,3,187,0,0,0,0,12,3,0,22,3568,644,172,4384,7536,3006,94,15017
5009,11446,33483,508,45441,175054,8469,927,229888,2368,37429,194,39986,135013,7307,793,183104,476,7853,55,8381,85348,6943,263,100938,69,435,0,498,34693,5403,78,40673,353189,121683,14878,489761,1083030,82394,4948,1660133
5010,63,164,0,228,1359,515,7,2116,6,71,0,75,557,178,8,813,0,6,0,8,140,45,0,196,0,0,0,0,29,9,0,34,2928,605,161,3691,7403,3327,56,14480
6000,853,3302,36,4188,21388,1624,19,27233,170,2356,9,2536,19477,1541,18,23573,30,355,0,387,9669,1000,10,11056,0,10,0,15,2615,421,5,3057,22427,9231,1080,32740,93956,9668,272,136635
6001,108,534,8,651,2915,150,3,3722,16,323,4,344,2716,161,8,3227,10,64,0,74,1821,152,3,2049,0,3,0,0,679,60,0,746,3927,1618,230,5779,15633,1263,22,22700
6002,132,548,16,696,3134,183,4,4011,28,458,0,482,3149,208,3,3848,7,80,0,88,2068,213,4,2373,0,4,0,5,766,123,0,893,4419,1801,280,6499,18012,1440,66,26019
6003,1179,3732,45,4957,20469,960,63,26443,229,4673,19,4921,17108,1004,44,23075,40,1018,5,1065,11351,885,19,13322,3,49,0,51,4758,500,7,5326,34966,14391,1801,51156,127479,9129,468,188239
6004,433,1397,15,1847,8394,429,8,10679,62,1499,8,1569,7169,435,15,9184,22,276,3,302,5094,411,3,5808,6,16,0,16,2102,270,3,2392,13840,5171,675,19682,51592,3907,160,75340
6005,63,337,5,401,1735,77,0,2213,9,240,5,249,1699,113,0,2063,5,31,0,36,1159,103,0,1299,0,0,0,0,440,44,0,493,1984,980,115,3075,8680,646,6,12409
7000,354,1452,152,1959,7901,1951,59,11862,109,856,42,1008,6017,1354,32,8405,15,136,12,168,1448,311,5,1935,5,22,0,28,184,25,0,238,11649,9424,2617,23693,38762,11974,506,74928
7001,137,332,10,477,2821,455,21,3763,39,263,5,304,1918,337,7,2573,6,43,0,48,619,91,8,763,0,0,0,4,149,32,0,180,4222,1392,227,5847,14914,2502,102,23363
7002,674,1651,21,2349,11300,1893,144,15693,173,1579,12,1762,8145,1309,77,11293,20,285,3,308,3193,480,24,4000,3,14,0,22,688,132,6,838,21350,6578,998,28930,70171,13944,2522,115562
8000,5,18,0,33,92,19,0,138,0,18,0,17,80,15,0,114,0,7,0,7,26,4,0,36,0,0,0,0,6,0,0,6,201,63,0,267,526,71,0,866
8001,2835,6371,111,9324,38218,1668,195,49408,449,8720,49,9219,26925,1408,166,37725,99,2109,15,2216,17102,1117,44,20487,10,114,0,124,6828,819,8,7780,83779,26260,3290,113323,267877,18257,1059,400520
9000,37,81,0,120,610,157,5,893,4,59,0,66,493,108,0,673,0,17,0,17,217,62,0,295,0,0,0,0,54,4,0,60,590,256,41,884,2683,1036,23,4630
