SUA_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
1032,238,5294,5532,4961,903,5868,2322,257,2585,2000,184,2183,944,108,1052,536,54,585,11005,6797,17805
1033,137,3547,3684,3320,537,3854,1305,143,1449,1056,78,1129,519,61,580,344,26,369,6675,4398,11073
1034,103,2126,2238,2697,402,3102,843,95,941,702,53,754,308,15,327,139,14,150,4794,2708,7501
1035,342,6532,6876,6309,1039,7349,2948,353,3295,2688,168,2853,1332,78,1406,707,57,769,14323,8225,22550
1036,1343,29253,30598,35075,5009,40079,17032,1552,18583,17267,924,18194,7103,355,7460,3216,188,3398,81038,37277,118315
2000,4005,82426,86425,97705,16227,113933,33370,3535,36902,30999,2419,33422,14977,1261,16235,6798,538,7342,187845,106412,294263
2001,110,2074,2179,2684,267,2946,1460,75,1537,1520,47,1574,658,35,689,269,15,282,6698,2511,9209
2002,89,2094,2177,2052,289,2337,804,88,892,679,44,721,309,27,334,149,20,161,4070,2559,6632
2003,594,13713,14308,13409,2168,15582,5888,652,6540,5610,302,5913,2458,127,2586,932,72,1006,28905,17034,45939
2004,554,12300,12855,12340,1858,14196,5490,555,6041,5053,289,5340,2217,137,2357,1042,55,1099,26704,15196,41895
2005,88,1757,1846,1575,251,1827,571,53,623,451,32,477,144,11,157,62,0,63,2892,2099,4993
2006,53,1808,1867,1530,243,1778,624,55,682,551,37,586,278,23,303,124,19,141,3169,2190,5355
2007,118,2631,2749,3136,440,3577,1099,81,1177,1009,59,1066,509,26,540,189,12,207,6065,3255,9315
2008,1458,30395,31853,34202,5064,39265,15655,1645,17296,15751,986,16739,6294,389,6683,2337,191,2524,75691,38675,114363
2009,86,1320,1398,2420,206,2623,1160,65,1223,1548,49,1593,666,20,690,225,13,241,6106,1669,7772
2010,85,2391,2475,2182,336,2520,947,78,1019,764,40,809,374,21,389,116,8,128,4469,2874,7340
2011,19118,448046,467161,486518,83207,569723,276201,27838,304036,287184,16320,303511,111430,6943,118373,55958,3376,59330,1236408,585721,1822129
2012,312,6145,6460,6275,1182,7452,2754,355,3110,2445,243,2695,1189,123,1318,622,89,710,13604,8139,21742
2013,104,3355,3459,2746,446,3189,1148,114,1256,985,64,1051,412,29,440,180,20,207,5576,4019,9597
2014,76,1552,1628,1572,241,1817,597,44,641,499,32,532,166,5,173,85,6,88,2991,1885,4877
2015,90,2113,2203,1940,252,2188,801,82,887,695,33,731,306,18,329,131,3,132,3965,2506,6477
2016,211,6073,6283,5801,979,6784,2706,336,3036,2579,216,2792,1223,93,1316,782,58,842,13308,7757,21058
2017,55,1423,1471,1373,240,1613,582,59,640,499,48,540,260,22,279,104,9,104,2869,1781,4655
2018,257,5888,6143,5332,921,6252,2202,232,2437,1993,148,2146,832,69,904,381,34,415,11002,7295,18299
2019,93,2916,3008,2586,349,2934,994,74,1071,892,51,950,410,13,427,158,12,173,5136,3422,8563
2020,212,4135,4349,5367,623,5991,2237,162,2396,2151,107,2252,1047,66,1116,491,33,525,11500,5130,16624
2021,185,4431,4614,4581,634,5218,1901,180,2083,1710,114,1823,754,53,812,272,34,305,9409,5445,14856
3000,5727,78111,83837,90425,28840,119268,34239,5099,39344,29675,3560,33236,15123,1797,16924,10692,1057,11749,185891,118464,304352
3001,135,1431,1571,1405,936,2342,608,157,766,592,101,693,205,41,246,97,16,114,3044,2682,5723
3002,13059,215057,228111,257344,45169,302512,138846,13960,152809,135762,7203,142966,56281,3140,59423,32223,1574,33794,633512,286104,919618
3003,460,8593,9054,9972,1974,11943,3757,359,4119,3114,203,3317,1395,74,1474,908,57,965,19609,11267,30873
3004,1128,16481,17603,16590,4380,20969,8247,1047,9302,7120,592,7716,2886,249,3134,1855,169,2022,37826,22916,60742
3005,128,1327,1456,1294,377,1673,707,96,802,749,55,807,388,27,419,199,10,207,3462,1898,5358
3006,390,4960,5349,4978,1087,6068,2518,217,2727,2326,114,2433,996,48,1044,531,31,559,11735,6451,18184
3007,3815,65746,69560,79755,17564,97314,39108,4792,43897,36781,2533,39317,14138,977,15120,7298,405,7705,180893,92015,272913
3008,136,2714,2845,2831,449,3275,1165,106,1267,970,57,1021,448,18,467,295,16,312,5843,3353,9199
3009,376,6691,7063,8877,2082,10959,2790,260,3051,2216,133,2349,1020,51,1074,636,31,669,15926,9246,25169
3010,54,1279,1332,1255,255,1503,507,64,572,437,42,476,233,26,258,148,14,159,2631,1679,4303
3011,908,8515,9418,9160,1949,11107,4602,492,5094,4071,293,4367,1840,144,1987,926,46,976,21500,11442,32937
3012,157,3418,3572,3733,589,4323,1307,163,1468,1059,64,1117,470,39,508,343,15,356,7066,4277,11342
3013,131,2103,2232,1626,646,2276,883,148,1030,862,74,939,436,39,475,358,27,393,4299,3043,7341
3014,687,8165,8856,8402,1574,9977,4188,422,4610,3888,238,4130,1706,121,1822,976,61,1036,19853,10580,30428
3015,2645,35331,37970,49303,9198,58501,20606,2213,22816,19946,1203,21151,7860,452,8313,3665,166,3830,104020,48561,152583
3016,933,15293,16226,16951,2479,19430,7376,661,8035,6558,321,6880,3134,153,3287,1895,58,1950,36838,18973,55815
3017,1569,17833,19404,19213,4156,23366,9966,1188,11162,8438,635,9074,3581,269,3849,2135,168,2302,44903,24256,69161
3018,90,1982,2067,2048,295,2347,759,79,836,615,39,652,308,24,341,205,14,220,4030,2434,6460
3019,247,2019,2265,2514,705,3217,1083,95,1181,950,68,1027,403,28,436,194,6,197,5403,2926,8327
4000,2049,32960,35012,37731,7307,45036,12194,1292,13486,11342,887,12235,5475,376,5852,2643,205,2852,71431,43026,114465
4001,8062,149986,158049,158805,22586,181386,79099,6850,85951,75148,3339,78487,27858,1328,29190,13097,671,13770,362073,184763,546833
4002,193,4011,4203,3795,531,4331,1508,141,1653,1380,57,1440,556,24,578,277,18,293,7714,4787,12500
4003,104,2420,2527,2318,383,2703,897,89,980,759,66,825,323,21,348,208,12,214,4611,2986,7601
4004,129,1963,2085,1499,379,1882,660,92,746,509,62,571,239,24,260,157,23,184,3194,2540,5738
4005,162,2041,2203,2039,362,2403,826,101,933,729,57,782,300,26,335,133,10,138,4185,2594,6782
4006,109,2199,2312,1793,273,2072,763,75,837,542,32,577,260,15,274,123,8,127,3592,2600,6188
4007,216,4340,4561,5413,643,6058,1201,84,1285,861,41,903,366,20,381,150,11,160,8208,5140,13349
4008,163,3527,3688,2756,473,3225,1103,116,1221,926,61,986,379,27,408,154,19,170,5486,4215,9697
5000,2718,31527,34246,30949,13494,44445,11771,2043,13813,10442,1776,12220,5158,830,5988,3274,463,3739,64313,50126,114434
5001,279,4207,4490,4512,651,5158,1729,169,1896,1540,61,1598,661,30,691,365,21,386,9075,5138,14220
5002,159,1363,1524,1036,1490,2525,694,268,966,687,208,891,369,93,460,259,57,321,3201,3480,6679
5003,748,7900,8644,9091,1233,10321,4135,298,4436,3899,158,4062,1603,65,1672,745,35,782,20220,9698,29920
5004,442,3952,4396,5218,910,6133,2073,181,2254,1989,139,2127,790,62,851,319,25,346,10831,5276,16103
5005,137,1495,1631,1401,370,1770,566,78,640,497,65,563,238,40,274,109,13,119,2950,2055,5009
5006,454,4260,4711,4373,907,5280,2031,262,2293,1696,148,1844,761,89,843,431,55,484,9737,5720,15458
5007,236,3321,3553,2707,790,3489,1507,221,1733,1411,136,1552,677,75,749,355,27,382,6890,4565,11453
5008,176,1494,1668,1181,619,1802,769,187,959,977,162,1142,459,84,533,222,42,265,3774,2595,6372
5009,17613,201195,218808,226834,32165,259002,121234,9747,130985,119272,5029,124300,45997,2127,48116,21637,1031,22673,552581,251297,803884
5010,170,1904,2073,1159,593,1752,728,175,901,693,116,813,355,57,412,256,28,280,3367,2872,6239
6000,1312,19502,20815,23791,3618,27405,8145,771,8915,6875,481,7356,2948,211,3156,1644,100,1746,44720,24680,69398
6001,219,3984,4201,3771,485,4254,1474,97,1567,1241,57,1299,490,37,523,237,16,253,7433,4667,12106
6002,219,4166,4381,4322,597,4915,1783,110,1895,1407,63,1465,554,25,576,283,11,291,8560,4970,13533
6003,1452,24671,26125,26714,3945,30651,12944,1474,14422,11245,769,12016,4549,337,4892,2223,165,2386,59132,31360,90498
6004,585,11224,11807,11101,1702,12799,5029,475,5503,4374,244,4619,1711,109,1817,833,51,879,23629,13805,37431
6005,129,1939,2068,2199,280,2477,791,61,848,639,19,653,262,26,283,127,7,138,4141,2330,6468
7000,365,6058,6422,3922,4682,8600,2245,639,2882,2290,588,2878,1562,235,1797,3389,141,3532,13773,12340,26122
7001,205,2848,3057,2183,1119,3300,1411,256,1669,1175,135,1312,576,69,648,427,35,462,5976,4467,10445
7002,1226,11400,12634,11036,4247,15284,7318,1323,8634,6289,809,7098,2830,356,3179,1795,182,1983,30492,18322,48812
8000,6,60,69,100,17,112,44,9,52,51,4,62,33,0,34,22,0,22,264,92,357
8001,2845,48993,51837,52461,8673,61130,27604,3117,30724,28377,1559,29933,10659,611,11268,4707,279,4983,126655,63234,189889
9000,33,580,614,467,122,592,195,45,239,173,26,201,88,12,99,65,4,68,1008,794,1805
