SUA_CODE_2021,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
3002,242988,488255,4965,29281,28855,134690,7123,33625,162835,630280,203768,827876,13338,56926,25433,88169,46179,148763,84947,293862,288716,1121736,1693,8376,8088,27859,3891,14498,44088,117485,57757,168210,4214,13623,11024,24609,36354,80132,51587,118359,109346,286572,11877,24981,652927,1921542
3003,9439,18858,131,740,670,3126,284,1337,3481,13582,4572,18786,221,889,477,1572,1298,4077,1992,6543,6558,25333,61,300,252,856,207,775,1579,4435,2101,6374,114,360,241,538,1331,2904,1692,3794,3792,10166,307,651,20096,55002
3004,15333,30510,278,1605,1532,7018,490,2325,8797,33549,11098,44493,541,2232,1205,3867,2191,6838,3945,12938,15038,57429,131,615,627,2123,321,1172,3533,9443,4607,13358,231,724,710,1539,2298,5045,3238,7303,7847,20656,651,1361,38870,109957
3005,1234,2388,28,151,195,889,57,248,1127,4485,1404,5771,55,220,109,322,175,537,340,1078,1749,6844,10,27,38,142,30,117,271,745,345,1028,16,47,30,66,111,231,155,348,497,1374,45,102,3525,10708
3006,4512,8886,92,511,559,2531,174,774,2968,11572,3787,15390,179,722,414,1277,670,2038,1254,4034,5049,19422,30,156,181,648,92,321,1118,3084,1420,4206,51,162,169,349,569,1205,788,1718,2212,5925,153,312,11924,34539
3007,75893,152232,1084,6010,7299,33365,2144,9761,41851,160443,52378,209573,3392,14230,6505,22007,13167,42128,23068,78361,75445,287933,402,1863,2212,7397,1095,3888,12355,31958,16071,45106,1222,3906,3290,7348,11595,25192,16104,36446,32171,81549,2780,5793,186286,527500
3008,2489,4980,52,305,199,954,86,414,1059,4154,1395,5822,82,346,145,473,377,1195,610,2015,2003,7839,22,102,108,372,58,231,583,1589,771,2296,31,111,108,239,493,1055,635,1398,1413,3691,94,198,5997,16709
3009,8518,17023,89,513,503,2327,186,866,2420,9402,3200,13111,160,662,307,945,973,3060,1440,4674,4641,17779,54,227,224,790,144,532,1240,3389,1659,4939,67,208,216,479,1018,2197,1301,2884,2958,7818,218,459,16342,43081
3010,1141,2273,15,74,87,416,34,178,549,2229,686,2900,35,137,53,165,172,535,256,833,946,3734,9,48,37,151,36,135,252,704,326,1043,17,52,41,97,154,327,211,474,538,1517,53,118,2678,7640
3011,8682,16934,160,880,904,4072,357,1600,5277,20237,6698,26784,374,1500,584,1841,1548,4770,2508,8114,9209,34894,44,205,276,929,144,488,1753,4777,2217,6401,101,329,291,618,1156,2494,1545,3441,3763,9845,347,720,22006,62389
3012,3374,6727,57,324,223,1039,110,533,1074,4201,1466,6102,88,383,143,477,545,1704,784,2561,2250,8667,30,128,85,312,81,296,606,1708,801,2450,34,109,93,204,589,1278,720,1592,1523,4049,111,227,7259,19664
3013,1517,2986,45,233,167,819,79,368,1268,5001,1561,6420,75,307,106,338,219,663,395,1312,1956,7731,11,66,54,194,47,215,460,1357,568,1831,11,41,44,90,258,586,316,712,882,2544,86,183,4430,13440
3014,7564,14952,140,783,824,3728,308,1428,4695,18148,5966,24080,318,1301,544,1696,1397,4349,2261,7340,8227,31416,68,308,308,1108,204,776,1888,5229,2464,7418,103,330,265,586,1327,2900,1702,3814,4164,11235,379,785,20332,58386
3015,48330,96384,624,3399,4232,18987,1151,5127,22631,87392,28628,114901,1792,7350,3492,11524,7227,22661,12504,41536,41130,156437,165,708,1212,4000,536,1831,6282,16072,8200,22610,575,1779,1686,3671,5749,12359,8016,17812,16212,40422,1127,2327,106804,295573
3016,15727,31235,349,2144,1629,7880,426,1985,8460,33404,10864,45405,564,2379,1110,3627,2270,7161,3948,13169,14817,58573,118,594,535,1881,288,1089,2768,7596,3715,11160,225,748,495,1061,2003,4313,2722,6124,6433,17283,602,1252,37577,108340
3017,17886,35286,333,1994,1872,8622,587,2696,10550,40407,13348,53717,706,2919,1508,4900,2881,8915,5099,16729,18441,70454,144,722,687,2428,402,1472,3945,10578,5179,15199,294,936,741,1609,2601,5625,3637,8176,8817,23374,843,1765,45989,130869
3018,1863,3710,33,166,129,618,49,245,734,2933,942,3958,54,214,77,260,295,902,425,1378,1368,5331,12,41,60,205,44,167,382,1071,492,1482,22,63,50,110,273,593,349,763,835,2254,60,130,4120,11424
3019,2541,4940,39,195,238,1043,69,299,1169,4468,1512,6008,86,336,139,420,373,1105,591,1856,2103,7864,24,94,55,194,38,155,347,909,466,1353,28,96,73,159,266,571,369,820,829,2176,64,125,5537,15108
4000,36353,71833,534,2901,2819,12833,788,3632,13986,55760,18124,75128,1129,4536,1844,5775,5271,16362,8244,26676,26369,101804,108,505,638,2250,369,1312,3709,10083,4823,14150,320,1000,724,1536,3326,7029,4375,9568,9200,23719,800,1729,72722,199082
4001,142591,285320,2407,13922,15276,70156,3186,14482,84204,322184,105073,420749,8503,36013,14615,50645,28894,93160,52017,179821,157089,600566,786,3693,4363,14768,2005,7011,22623,58177,29777,83649,2736,8759,6761,15006,24111,52525,33609,76293,63388,159940,6465,13542,369538,1059370
4002,3390,6754,62,361,310,1424,97,459,1547,6110,2018,8363,136,561,201,633,548,1745,881,2937,2900,11303,24,119,86,289,74,253,637,1644,824,2303,55,173,114,250,437,940,609,1361,1431,3665,108,223,7834,21939
4003,2071,4128,39,208,155,754,69,304,814,3158,1081,4429,65,278,92,304,361,1155,520,1741,1603,6166,20,90,65,224,30,97,421,1207,530,1613,24,79,71,149,337,713,431,947,960,2560,75,158,4708,13010
4004,1343,2628,33,187,119,563,48,206,604,2307,814,3259,26,94,75,221,216,665,313,972,1122,4235,16,71,43,174,41,145,346,1066,449,1465,7,20,32,72,234,502,270,595,722,2056,71,152,3262,9070
4005,1861,3644,27,138,163,757,62,254,900,3475,1150,4629,57,220,100,291,253,759,408,1276,1562,5905,5,32,59,207,28,91,339,919,430,1247,14,48,52,123,249,518,319,685,747,1933,60,130,4230,11613
4006,1519,3037,28,147,110,486,59,265,619,2421,813,3326,43,184,73,224,288,876,400,1286,1219,4606,13,68,64,229,48,175,319,825,442,1295,21,56,60,129,307,672,391,854,837,2153,67,132,3636,9935
4007,5178,10274,23,141,193,881,65,295,986,3840,1274,5153,68,271,152,489,449,1371,671,2132,1942,7282,6,33,70,214,47,168,409,1063,537,1485,36,109,97,223,423,901,557,1229,1090,2716,96,194,8311,20461
4008,2309,4584,34,188,200,884,66,289,1053,4065,1351,5430,72,295,126,379,390,1219,585,1893,1942,7325,21,98,87,299,53,201,535,1384,697,1980,26,80,98,198,387,827,508,1103,1201,3080,85,170,5539,15157
5000,30882,60463,480,2591,2376,10298,1035,4750,14613,57424,18503,75063,898,3455,1483,4310,4382,13339,6763,21102,25266,96165,135,640,611,2135,532,2103,3905,10960,5183,15847,222,700,589,1222,3161,6859,3978,8785,9156,24634,886,1953,66192,183207
5001,4293,8500,89,519,345,1565,123,546,1840,7181,2396,9814,131,533,233,734,594,1839,959,3105,3352,12921,13,56,126,438,76,256,609,1663,827,2416,49,164,115,241,492,1052,655,1454,1478,3871,118,243,9245,25539
5002,1163,2225,14,95,128,517,54,260,973,3804,1175,4683,44,156,66,190,149,467,256,814,1435,5494,17,66,49,177,35,132,326,931,425,1306,8,15,55,109,152,328,207,450,633,1755,56,121,3283,9599
5003,8363,16390,161,848,896,3992,319,1396,4790,18436,6164,24681,354,1408,564,1738,1364,4174,2279,7322,8444,32002,50,230,274,905,168,591,1605,4301,2097,6019,125,375,268,559,1067,2235,1457,3167,3556,9184,240,501,20598,58083
5004,5155,10079,63,352,466,2039,168,725,2497,9595,3197,12720,153,571,304,925,658,1975,1108,3473,4310,16194,21,96,150,486,65,200,643,1684,878,2465,39,108,122,265,452,928,612,1304,1496,3766,82,171,11044,30206
5005,1348,2628,27,137,135,583,32,135,657,2601,853,3454,34,136,63,183,198,604,301,920,1149,4371,8,42,45,159,20,68,177,484,242,751,14,40,30,71,162,327,211,446,452,1187,49,95,3001,8285
5006,4133,8063,68,349,379,1708,125,593,2223,8558,2790,11207,146,600,234,706,679,2054,1056,3360,3845,14566,24,149,131,453,113,432,778,2161,1054,3195,63,195,129,260,563,1184,755,1651,1809,4840,164,328,9955,27804
