SUA_CODE_2021,M_0_4_yr_Need_for_assist,M_0_4_yr_No_need_for_assist,M_0_4_yr_Need_for_assist_ns,M_0_4_yr_OS_vis,M_0_4_yr_Tot,M_5_14_yr_Need_for_assist,M_5_14_yr_No_need_for_assist,M_5_14_yr_Need_for_assist_ns,M_5_14_yr_OS_vis,M_5_14_yr_Tot,M_15_19_yr_Need_for_assist,M_15_19_No_need_for_assist,M_15_19_Need_for_assist_ns,M_15_19_yr_OS_vis,M_15_19_yr_Tot,M_20_24_yr_Need_for_assist,M_20_24_No_need_for_assist,M_20_24_Need_for_assist_ns,M_20_24_yr_OS_vis,M_20_24_yr_Tot,M_25_34_yr_Need_for_assist,M_25_34_No_need_for_assist,M_25_34_Need_for_assist_ns,M_25_34_yr_OS_vis,M_25_34_yr_Tot,M_35_44_yr_Need_for_assist,M_35_44_No_need_for_assist,M_35_44_Need_for_assist_ns,M_35_44_yr_OS_vis,M_35_44_yr_Tot,M_45_54_yr_Need_for_assist,M_45_54_No_need_for_assist,M_45_54_Need_for_assist_ns,M_45_54_yr_OS_vis,M_45_54_yr_Tot,M_55_64_yr_Need_for_assist,M_55_64_No_need_for_assist,M_55_64_Need_for_assist_ns,M_55_64_yr_OS_vis,M_55_64_yr_Tot,M_65_74_yr_Need_for_assist,M_65_74_No_need_for_assist,M_65_74_Need_for_assist_ns,M_65_74_yr_OS_vis,M_65_74_yr_Tot,M_75_84_yr_Need_for_assist,M_75_84_No_need_for_assist,M_75_84_Need_for_assist_ns,M_75_84_yr_OS_vis,M_75_84_yr_Tot,M_85_yr_over_Need_for_assist,M_85_over_No_need_for_assist,M_85_over_Need_for_assist_ns,M_85_over_OS_vis,M_85_yr_over_Tot,M_Tot_Need_for_assist,M_Tot_No_need_for_assist,M_Tot_Need_for_assist_ns,M_Tot_OS_vis,M_Tot_Tot,F_0_4_yr_Need_for_assist,F_0_4_yr_No_need_for_assist,F_0_4_yr_Need_for_assist_ns,F_0_4_yr_OS_vis,F_0_4_yr_Tot,F_5_14_yr_Need_for_assist,F_5_14_yr_No_need_for_assist,F_5_14_yr_Need_for_assist_ns,F_5_14_yr_OS_vis,F_5_14_yr_Tot,F_15_19_yr_Need_for_assist,F_15_19_No_need_for_assist,F_15_19_Need_for_assist_ns,F_15_19_yr_OS_vis,F_15_19_yr_Tot,F_20_24_yr_Need_for_assist,F_20_24_No_need_for_assist,F_20_24_Need_for_assist_ns,F_20_24_yr_OS_vis,F_20_24_yr_Tot,F_25_34_yr_Need_for_assist,F_25_34_No_need_for_assist,F_25_34_Need_for_assist_ns,F_25_34_yr_OS_vis,F_25_34_yr_Tot,F_35_44_yr_Need_for_assist,F_35_44_No_need_for_assist,F_35_44_Need_for_assist_ns,F_35_44_yr_OS_vis,F_35_44_yr_Tot,F_45_54_yr_Need_for_assist,F_45_54_No_need_for_assist,F_45_54_Need_for_assist_ns,F_45_54_yr_OS_vis,F_45_54_yr_Tot,F_55_64_yr_Need_for_assist,F_55_64_No_need_for_assist,F_55_64_Need_for_assist_ns,F_55_64_yr_OS_vis,F_55_64_yr_Tot,F_65_74_yr_Need_for_assist,F_65_74_No_need_for_assist,F_65_74_Need_for_assist_ns,F_65_74_yr_OS_vis,F_65_74_yr_Tot,F_75_84_yr_Need_for_assist,F_75_84_No_need_for_assist,F_75_84_Need_for_assist_ns,F_75_84_yr_OS_vis,F_75_84_yr_Tot,F_85_yr_over_Need_for_assist,F_85_over_No_need_for_assist,F_85_over_Need_for_assist_ns,F_85_over_OS_vis,F_85_yr_over_Tot,F_Tot_Need_for_assist,F_Tot_No_need_for_assist,F_Tot_Need_for_assist_ns,F_Tot_OS_vis,F_Tot_Tot,P_0_4_yr_Need_for_assist,P_0_4_yr_No_need_for_assist,P_0_4_yr_Need_for_assist_ns,P_0_4_yr_OS_vis,P_0_4_yr_Tot,P_5_14_yr_Need_for_assist,P_5_14_yr_No_need_for_assist,P_5_14_yr_Need_for_assist_ns,P_5_14_yr_OS_vis,P_5_14_yr_Tot,P_15_19_yr_Need_for_assist,P_15_19_No_need_for_assist,P_15_19_Need_for_assist_ns,P_15_19_yr_OS_vis,P_15_19_yr_Tot,P_20_24_yr_Need_for_assist,P_20_24_No_need_for_assist,P_20_24_Need_for_assist_ns,P_20_24_yr_OS_vis,P_20_24_yr_Tot,P_25_34_yr_Need_for_assist,P_25_34_No_need_for_assist,P_25_34_Need_for_assist_ns,P_25_34_yr_OS_vis,P_25_34_yr_Tot,P_35_44_yr_Need_for_assist,P_35_44_No_need_for_assist,P_35_44_Need_for_assist_ns,P_35_44_yr_OS_vis,P_35_44_yr_Tot,P_45_54_yr_Need_for_assist,P_45_54_No_need_for_assist,P_45_54_Need_for_assist_ns,P_45_54_yr_OS_vis,P_45_54_yr_Tot,P_55_64_yr_Need_for_assist,P_55_64_No_need_for_assist,P_55_64_Need_for_assist_ns,P_55_64_yr_OS_vis,P_55_64_yr_Tot,P_65_74_yr_Need_for_assist,P_65_74_No_need_for_assist,P_65_74_Need_for_assist_ns,P_65_74_yr_OS_vis,P_65_74_yr_Tot,P_75_84_yr_Need_for_assist,P_75_84_No_need_for_assist,P_75_84_Need_for_assist_ns,P_75_84_yr_OS_vis,P_75_84_yr_Tot,P_85_yr_over_Need_for_assist,P_85_over_No_need_for_assist,P_85_over_Need_for_assist_ns,P_85_over_OS_vis,P_85_yr_over_Tot,P_Tot_Need_for_assist,P_Tot_No_need_for_assist,P_Tot_Need_for_assist_ns,P_Tot_OS_vis,P_Tot_Tot
1010,227,9225,480,8,9932,1879,18954,1134,21,21989,606,9302,503,3,10418,416,8387,465,16,9284,571,16769,1038,12,18396,569,18079,977,28,19652,737,19210,1078,26,21047,1265,18584,939,25,20809,1800,15863,830,23,18523,2021,8965,709,11,11705,1485,1915,489,9,3896,11572,145258,8645,176,165650,128,8748,500,0,9381,842,18620,1112,10,20587,345,8827,456,7,9644,250,8294,455,4,9008,479,17942,1015,20,19458,585,19677,1031,17,21307,895,20662,951,27,22536,1462,20858,940,41,23302,1900,18532,998,31,21463,2751,9942,1001,8,13707,2988,2604,987,4,6590,12636,154712,9449,174,176976,352,17973,979,11,19316,2718,37577,2249,27,42573,955,18129,960,11,20056,666,16685,917,12,18294,1054,34715,2050,32,37848,1153,37756,2009,38,40964,1631,39874,2029,49,43584,2728,39439,1873,65,44108,3705,34394,1831,58,39986,4769,18912,1713,22,25414,4478,4517,1480,14,10482,24202,299976,18095,346,342625
1011,45,1755,109,3,1910,322,4128,295,0,4751,123,1924,128,0,2175,80,1597,98,28,1801,128,3629,305,49,4112,139,3757,285,19,4201,168,3897,282,18,4367,317,4025,254,8,4604,431,4076,222,10,4736,436,1989,176,9,2606,334,459,113,0,909,2523,31231,2275,143,36176,18,1800,128,5,1949,158,4181,276,0,4619,65,1937,127,0,2137,38,1559,93,28,1724,105,3981,305,37,4428,145,4208,283,19,4656,199,4388,263,10,4860,305,4665,240,21,5229,436,4447,225,6,5112,573,2236,241,0,3051,678,491,212,0,1391,2728,33897,2395,129,39155,65,3556,236,6,3859,483,8314,567,6,9374,197,3859,263,0,4314,119,3154,194,54,3525,236,7607,607,87,8535,282,7961,573,40,8858,371,8286,542,29,9221,627,8682,500,31,9839,860,8523,449,16,9847,1009,4223,423,4,5656,1009,952,325,0,2291,5259,65124,4670,274,75326
1012,31,1379,137,0,1547,208,2362,295,0,2865,63,1068,128,0,1257,54,975,116,0,1146,62,2890,272,15,3243,60,2143,218,7,2432,92,1881,200,0,2164,130,1798,147,3,2078,173,1362,128,0,1659,213,699,84,0,998,136,159,37,0,334,1214,16717,1767,27,19728,9,1376,146,0,1533,89,2500,249,0,2836,43,978,104,0,1128,32,1162,103,0,1297,63,3091,311,11,3476,51,2332,218,3,2604,117,2017,179,0,2318,139,2059,142,3,2345,165,1578,111,3,1862,273,914,108,0,1296,296,213,63,0,574,1284,18220,1738,25,21266,41,2750,283,3,3080,304,4856,541,0,5695,101,2047,236,0,2383,81,2136,220,0,2441,128,5989,584,15,6715,106,4473,441,7,5038,202,3897,380,6,4487,266,3862,297,4,4425,343,2940,242,6,3528,487,1619,190,0,2292,434,367,105,0,908,2499,34937,3503,54,40994
1013,0,323,24,0,348,61,803,50,0,918,27,420,31,0,472,28,315,18,0,363,31,628,43,0,709,41,751,42,4,843,58,895,62,0,1010,118,1250,74,0,1446,198,1712,87,0,1998,244,1078,54,0,1373,230,262,28,0,521,1047,8437,519,10,10011,4,332,16,0,350,46,807,66,0,916,17,423,27,0,470,21,334,16,0,368,31,728,61,0,821,32,822,42,0,906,76,1012,50,0,1143,134,1500,60,5,1702,179,1935,97,7,2209,312,1165,87,0,1561,432,343,55,0,832,1276,9397,585,17,11266,6,651,34,0,702,105,1611,122,0,1838,42,842,56,0,942,52,645,40,0,727,62,1355,103,4,1527,78,1572,88,4,1743,132,1901,115,3,2155,255,2754,133,6,3146,379,3644,182,5,4206,550,2237,143,0,2930,658,609,86,0,1358,2321,17833,1097,24,21276
1014,18,702,61,0,776,138,1298,112,0,1539,49,597,53,3,699,23,783,93,4,908,45,1536,269,9,1855,44,1264,184,0,1490,60,1222,174,0,1462,105,1312,103,0,1520,137,1037,75,3,1246,158,547,41,0,737,104,138,25,0,266,868,10443,1177,18,12510,5,636,37,0,674,75,1315,115,0,1509,30,567,33,0,640,16,648,34,0,694,38,1582,102,5,1717,45,1314,82,0,1441,78,1319,82,0,1481,118,1337,66,4,1520,156,1206,70,4,1440,218,666,43,0,927,278,157,29,0,465,1052,10751,691,15,12507,21,1340,91,0,1451,213,2613,227,0,3048,74,1168,91,4,1339,36,1438,124,3,1601,82,3122,368,9,3574,93,2574,264,3,2937,140,2540,256,7,2940,221,2650,166,4,3037,291,2249,146,9,2694,376,1210,80,0,1667,383,292,54,0,731,1926,21193,1871,34,25022
1015,12,535,51,0,595,108,1117,85,5,1318,58,513,39,0,609,26,464,45,5,542,38,896,87,21,1037,46,828,72,11,964,66,891,88,0,1047,110,993,69,0,1168,163,895,53,0,1110,148,519,30,0,701,114,141,10,0,265,882,7793,639,45,9359,11,493,40,3,543,57,1040,92,0,1181,21,427,37,0,483,13,504,42,0,566,40,1024,105,0,1172,50,944,69,0,1067,79,1000,80,3,1167,107,1094,50,0,1248,128,1019,47,0,1195,206,655,42,0,900,279,194,27,0,500,993,8389,630,8,10023,17,1025,95,3,1140,163,2158,179,5,2502,76,934,77,0,1089,43,972,88,4,1107,76,1919,189,24,2207,99,1772,143,11,2025,151,1894,161,7,2213,213,2082,117,0,2419,290,1914,103,0,2305,357,1173,72,0,1598,391,337,45,0,775,1874,16189,1277,50,19386
1016,11,648,57,0,714,61,1174,92,0,1326,19,555,34,0,609,18,569,36,5,636,30,1519,137,37,1723,20,1284,105,29,1443,37,1133,99,6,1286,55,1065,79,0,1196,74,650,57,0,785,89,354,50,0,491,96,108,22,0,226,509,9070,780,85,10440,11,618,49,0,676,31,1130,100,0,1267,10,550,24,0,587,8,532,48,5,595,26,1543,119,15,1693,24,1222,78,3,1330,51,1146,76,5,1271,56,1036,65,10,1165,98,726,54,3,874,139,447,32,0,619,193,151,35,0,379,639,9105,689,34,10462,21,1267,104,0,1393,91,2303,196,0,2587,29,1109,53,0,1196,28,1103,85,13,1227,52,3062,256,51,3417,44,2506,191,37,2768,89,2285,171,14,2556,111,2095,154,10,2364,172,1381,113,5,1662,229,803,81,0,1112,287,252,65,0,604,1141,18173,1465,119,20896
1017,13,371,64,0,445,119,779,114,0,1008,52,406,65,0,527,23,338,154,0,513,37,624,370,3,1031,39,552,270,0,866,70,667,151,0,889,109,777,107,0,990,154,734,57,0,949,136,349,33,0,523,69,72,8,0,149,821,5671,1391,4,7881,9,353,49,0,407,55,861,101,0,1015,21,409,50,0,475,27,341,35,0,396,28,700,97,0,832,35,690,88,0,822,72,751,76,0,899,114,860,66,0,1039,146,788,54,0,987,187,384,45,0,619,207,86,21,0,311,894,6231,683,3,7817,19,721,112,0,853,174,1636,216,0,2028,69,816,110,0,1001,45,677,189,0,912,66,1328,471,5,1866,79,1241,365,0,1686,143,1421,222,0,1784,219,1638,168,5,2030,305,1520,117,0,1942,325,740,77,3,1141,269,160,31,0,462,1716,11902,2072,10,15698
1018,19,708,65,7,795,195,1443,140,0,1775,74,778,67,0,916,60,739,77,9,886,87,1530,138,8,1762,65,1418,122,0,1599,85,1527,115,7,1732,140,1633,126,5,1903,155,1307,102,0,1560,110,628,80,0,812,124,151,57,0,329,1107,11850,1088,34,14087,11,645,57,0,710,77,1461,131,0,1677,45,730,82,0,860,42,725,75,0,846,64,1626,161,9,1854,77,1606,145,3,1826,114,1673,98,0,1887,149,1733,117,9,2007,144,1497,101,0,1740,240,795,87,0,1122,311,204,90,0,608,1278,12704,1138,15,15142,30,1347,120,7,1504,274,2904,275,0,3454,117,1509,153,0,1774,102,1468,156,9,1735,146,3152,303,15,3618,141,3023,263,7,3428,199,3205,212,3,3619,283,3368,242,10,3907,299,2802,199,0,3309,348,1421,162,0,1934,435,351,152,4,938,2390,24557,2226,53,29225
1019,8,260,21,0,292,64,622,67,0,752,24,286,32,0,343,20,278,54,0,347,32,603,173,0,815,26,510,129,0,672,41,648,74,0,762,44,745,77,0,864,76,665,54,0,788,83,369,23,0,478,57,72,6,0,133,479,5059,709,0,6251,3,255,23,0,281,41,578,49,0,667,21,272,26,0,312,3,257,12,0,278,20,605,48,0,676,35,548,41,0,626,55,652,44,0,753,66,788,35,0,885,74,709,27,0,808,123,431,38,0,596,137,99,18,0,252,568,5193,361,0,6122,11,512,41,0,571,107,1200,114,0,1414,43,556,55,0,652,23,531,69,0,623,50,1213,224,0,1488,59,1060,176,0,1293,93,1296,122,0,1516,107,1536,110,0,1749,147,1370,81,0,1600,208,805,62,0,1077,191,169,17,0,388,1051,10250,1075,0,12376
