SUA_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
5010,83,55,51,16,4,0,302,3,56,54,35,23,20,0,0,191,68,469,410,193,128,49,16,0,1330,24,235,323,239,178,60,7,0,1076,207,960,944,595,448,136,25,7,3315,80,61,60,27,16,3,0,0,249,14,39,48,42,32,19,3,0,192,305,1062,1049,665,492,160,27,3,3752,8,16,16,17,15,6,0,0,70,363,831,780,704,548,193,53,10,3489,771,2757,2715,1905,1431,510,113,20,10216
6000,730,732,895,714,247,29,4166,15,246,310,460,573,470,122,17,2213,430,2411,2727,2460,2693,2295,748,119,13879,189,992,1558,2135,2753,2151,757,158,10691,2065,5402,5118,5480,5819,3585,1281,233,28981,477,525,423,333,367,208,55,13,2398,115,226,275,414,608,525,193,47,2385,2656,6147,5807,6223,6793,4318,1524,286,33760,43,73,84,96,133,166,98,22,719,1393,1464,1484,1720,2242,2419,1664,600,12979,4746,12127,12703,13819,16089,12525,5163,1229,78402
6001,109,94,99,53,32,0,545,8,72,71,60,70,49,18,5,351,102,477,453,320,321,234,98,21,2022,42,179,272,347,354,249,147,39,1615,413,966,884,842,877,478,228,62,4747,131,120,74,66,45,33,14,3,479,34,37,50,58,96,77,38,3,394,573,1122,1011,967,1013,580,283,65,5620,14,32,16,17,21,28,14,8,145,232,213,218,277,249,295,303,147,1920,970,2244,2141,2078,2117,1482,896,288,12219
6002,122,84,84,64,18,7,671,6,56,58,73,68,62,21,0,345,109,596,464,371,304,310,107,26,2296,47,256,314,418,366,311,143,45,1892,494,1228,1007,1022,926,609,262,82,5628,142,140,83,84,72,47,13,5,575,45,55,55,79,102,96,36,13,485,681,1426,1148,1179,1099,759,306,91,6693,10,18,23,24,16,27,27,4,144,200,254,202,227,282,375,346,186,2062,1062,2887,2327,2380,2215,1894,971,357,14096
6003,3823,2389,1789,1299,481,117,17402,78,1003,1209,1158,1071,793,228,38,5582,2244,9942,7217,5246,4110,3379,1338,384,33855,590,2469,2671,3052,2796,2283,1132,354,15348,2612,6464,5693,5217,4768,3006,1460,425,29648,643,633,442,313,318,172,64,22,2613,205,329,359,449,598,579,279,133,2935,3462,7426,6497,5981,5681,3767,1801,578,35197,76,219,190,145,169,177,145,55,1182,1350,2007,1494,1348,1384,1660,1604,863,11712,8014,30367,23113,19312,17005,13355,6724,2388,120285
6004,859,555,481,348,156,17,4082,18,248,352,309,273,218,70,12,1505,613,3031,2326,1890,1420,1004,393,103,10771,212,828,1013,1264,1086,840,440,125,5804,1322,2950,2522,2535,2209,1331,668,202,13728,341,365,208,151,150,72,26,12,1322,98,154,153,213,211,245,125,47,1236,1756,3459,2879,2899,2565,1651,819,263,16289,38,86,56,80,65,68,69,21,481,727,837,569,587,638,674,739,400,5170,3416,10108,8052,7579,6522,4804,2691,942,44111
6005,50,48,48,42,21,4,293,6,26,38,41,46,38,13,0,206,42,230,265,213,220,181,61,11,1221,21,90,132,195,213,166,86,24,931,212,469,456,487,529,312,167,36,2667,43,61,34,30,26,19,4,0,218,18,22,29,40,58,59,22,7,254,274,550,518,563,607,392,194,48,3139,6,6,0,14,12,15,8,0,63,111,81,91,93,110,188,162,73,907,460,1066,1085,1163,1261,1010,540,161,6756
7000,426,274,363,265,37,0,1929,15,195,225,238,284,193,19,0,1166,273,1729,1166,922,1082,741,118,7,6042,158,632,769,908,1045,697,117,8,4336,941,2198,2147,2157,2073,1306,250,18,11081,331,313,258,224,156,80,19,0,1382,96,203,207,239,207,178,30,0,1154,1363,2715,2614,2613,2434,1566,295,22,13628,9,26,32,26,28,22,9,0,158,1972,2595,2112,2215,2205,1562,371,44,13068,3810,8442,7342,7194,7439,5052,972,76,40322
7001,454,259,258,128,30,0,1620,5,147,159,141,134,67,22,0,683,157,1340,921,586,470,322,74,6,3871,55,375,417,392,414,216,57,9,1939,318,866,763,712,635,384,93,13,3791,63,60,47,28,38,11,4,0,252,27,52,64,64,75,48,14,0,342,414,976,871,803,745,447,111,18,4382,9,26,23,19,13,20,9,5,127,311,544,468,430,526,412,100,40,2833,955,3889,3312,2641,2560,1615,400,77,15445
7002,2215,1227,983,550,144,11,8134,61,719,784,700,585,315,62,6,3222,1176,6464,4742,2802,2018,1348,384,59,18992,444,2008,2245,2222,1702,997,310,36,9964,1982,4579,4054,3353,2862,1662,485,74,19050,560,375,263,169,117,101,16,4,1612,149,216,286,350,285,240,98,12,1643,2685,5174,4603,3878,3270,2002,601,91,22304,47,168,142,111,81,93,32,14,696,1798,3086,2535,2306,2107,1533,610,176,14150,6299,20526,17260,13248,10736,6848,2138,399,77457
8000,12,8,16,10,0,0,56,0,0,10,8,11,4,0,0,38,14,40,46,41,19,14,3,0,180,0,17,19,19,14,7,5,0,97,16,32,27,31,23,19,4,0,150,3,3,0,0,0,0,0,0,12,0,0,0,0,3,5,0,0,6,14,37,25,32,23,23,4,0,167,0,0,0,0,0,0,0,0,5,8,7,3,16,21,18,0,0,84,44,109,124,125,109,83,22,3,614
8001,15490,10433,6921,4244,1735,400,54989,318,3398,4044,3673,2971,2247,730,85,17474,8042,27191,21691,14891,10126,7522,3550,982,93988,2081,6674,8281,7815,5979,3873,1832,572,37102,4938,10703,9000,7911,6195,3574,1859,620,44803,1112,789,600,480,417,313,117,47,3870,397,553,790,1089,1246,1210,623,218,6129,6436,12049,10388,9481,7862,5097,2595,882,54793,190,428,444,312,310,314,225,98,2322,3628,4632,3493,2578,2212,2092,1741,1131,21511,21278,69573,63836,49188,36378,25385,12410,4144,282185
9000,27,23,27,18,4,0,144,6,13,17,19,22,11,0,0,95,23,105,101,89,70,67,19,5,480,12,56,63,68,77,50,18,5,344,60,114,131,147,173,94,32,7,759,34,12,13,16,17,10,0,0,95,3,4,12,12,11,13,7,0,61,102,133,148,167,200,117,38,7,914,0,5,4,6,5,19,5,0,38,109,262,190,180,178,119,80,12,1143,253,613,561,554,572,411,168,28,3155
