SUA_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
5002,5,9,35,72,31,126,6,89,15,392,22,77,90,119,65,55,23,66,10,532,209,606,265,329,219,97,69,169,33,1995,359,585,251,250,280,99,90,133,52,2098,332,379,248,217,280,103,92,114,41,1808,319,346,159,144,227,121,101,103,23,1535,151,113,61,38,79,41,46,47,14,585,31,15,0,6,10,12,0,10,7,85,0,0,0,0,0,0,0,0,0,0,1438,2123,1119,1179,1188,653,430,722,197,9046
5003,20,26,311,409,97,862,99,621,43,2486,98,231,643,475,260,331,248,500,42,2834,454,1231,1540,740,686,513,591,868,111,6743,771,1539,1451,868,868,451,743,833,134,7645,836,1418,1295,946,1025,501,768,762,119,7672,612,1061,901,660,830,392,705,620,62,5839,175,314,193,139,201,88,189,161,28,1489,31,21,10,6,12,12,20,19,3,124,3,0,0,0,0,3,0,0,0,13,2997,5838,6347,4242,3978,3153,3359,4382,548,34843
5004,14,10,188,343,25,466,33,299,26,1406,48,79,304,190,67,141,48,217,13,1111,320,544,683,399,232,177,135,373,43,2916,591,873,785,469,436,252,211,391,67,4074,662,916,668,484,537,328,300,453,55,4406,549,605,439,373,449,303,279,417,58,3468,238,192,110,81,154,123,105,125,26,1156,41,21,7,7,15,12,9,20,6,138,5,0,0,0,0,0,0,3,3,19,2471,3235,3194,2339,1915,1808,1121,2299,306,18679
5005,3,0,71,43,19,117,22,88,8,372,14,40,125,57,39,62,42,45,16,439,90,184,208,86,112,81,100,122,17,1002,123,185,189,103,139,83,121,121,22,1089,220,175,170,122,166,82,152,119,19,1226,152,156,136,98,132,63,175,135,31,1058,68,42,19,20,43,8,45,37,4,291,23,6,0,0,3,0,3,4,4,52,4,0,0,0,0,0,0,0,0,0,702,788,921,534,655,492,651,670,129,5530
5006,15,16,219,226,45,427,46,291,21,1310,55,128,332,260,131,201,78,195,18,1386,235,645,680,441,352,230,223,343,48,3197,405,741,576,432,419,227,244,325,33,3400,483,770,507,500,488,266,379,346,73,3804,378,510,420,411,439,212,394,309,43,3112,140,148,101,93,126,51,99,103,15,886,30,22,13,3,9,9,9,13,8,105,4,0,0,0,0,0,0,0,7,14,1732,2976,2854,2365,2003,1629,1469,1928,259,17211
5007,9,14,208,109,43,255,61,167,22,884,27,193,408,144,139,121,211,177,22,1445,211,712,917,323,387,172,572,284,44,3629,412,572,728,335,351,145,532,225,57,3358,379,445,617,273,381,143,570,220,62,3088,317,313,441,200,293,133,477,244,43,2467,78,72,86,44,72,21,131,65,17,593,5,14,4,3,8,0,3,12,3,51,0,0,0,0,0,0,0,0,0,0,1447,2333,3415,1428,1675,994,2548,1400,271,15512
5008,8,5,90,56,35,156,18,110,9,488,34,78,198,79,78,49,56,97,13,667,219,515,674,189,276,112,203,272,41,2498,363,459,743,242,327,82,253,207,70,2749,294,295,495,173,227,84,234,166,56,2024,155,173,255,94,133,42,179,117,18,1169,41,48,38,18,20,5,45,27,4,243,4,0,0,4,0,0,7,0,0,13,0,0,0,0,0,0,0,0,0,0,1111,1564,2483,859,1090,531,996,998,215,9842
5009,679,1272,5771,11292,2383,19182,2562,12894,834,56872,3759,12982,15253,20129,9869,14977,5838,11363,1627,95792,20634,64553,38388,28211,26106,13844,14796,17509,4180,228225,34023,68221,34844,24357,29425,10975,14951,15163,3900,235857,33732,51908,28399,22044,29769,11303,14194,14783,3281,209408,22285,33885,20184,15649,24496,9342,12489,12627,2185,153140,5999,10372,4857,3523,6834,3021,3376,3932,726,42645,846,1281,372,231,673,346,257,538,263,4812,50,69,16,8,45,29,9,35,88,350,122017,244541,148087,125447,129603,83022,68461,88850,17074,1027100
5010,4,6,74,48,24,83,25,67,17,361,15,63,146,49,55,40,61,97,13,543,167,405,692,185,251,101,297,230,60,2396,257,354,643,199,247,75,303,204,67,2346,196,248,388,106,164,58,339,141,39,1683,145,164,238,74,140,49,258,119,31,1207,30,40,45,16,23,11,33,27,0,227,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,804,1279,2228,676,907,427,1320,889,231,8763
6000,128,27,657,551,125,932,121,857,68,3461,331,302,1145,861,400,597,332,957,84,5016,1476,1925,2579,1624,1112,783,961,1813,196,12465,2109,2415,2125,1517,1378,746,1103,1641,286,13321,2608,2585,2173,1895,1851,981,1373,1959,308,15733,2693,2346,1955,1770,1833,908,1616,2050,291,15455,1213,714,483,330,475,248,435,528,143,4566,324,73,38,17,60,22,38,74,67,718,36,8,0,0,0,0,0,0,19,69,10912,10399,11166,8563,7233,5223,5981,9885,1464,70812
