SUA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
2010,8187,8738,16923,491,528,1024,1134,1000,2134,517,432,952,473,509,979,1122,1155,2270,921,1007,1928,932,999,1929,1009,1109,2118,829,948,1774,532,691,1221,231,364,594,4,8,7,7999,8570,16573,182,166,353,160,167,321,5,6,10,0,5,8,167,178,338,7114,7586,14698,602,686,1289,7323,7801,15126,429,488,920,7466,8000,15465,132,156,287,1058,947,2010,362,319,679,82,123,204,147,339,482,2522,3149,5674,1341,1319,2666,1215,1237,2455,554,547,1104,451,446,893,24,33,59
2011,2364288,2437939,4802232,146300,138435,284732,300898,285354,586246,137813,130858,268673,166248,157240,323488,385283,391764,777044,357590,364149,721741,299384,314892,614269,248544,264795,513338,181476,206208,387683,103068,123801,226869,37693,60442,98134,5321,5804,11129,2321331,2393308,4714641,42959,44633,87587,15058,14735,29797,584,501,1090,445,442,890,16091,15681,31772,1411694,1435554,2847255,842515,894836,1737346,1434131,1457906,2892036,808698,862144,1670841,1905411,1968842,3874252,43834,41272,85106,283259,268856,552112,114410,113135,227542,79337,81564,160899,95522,135707,231231,1215014,1319088,2534100,188269,177512,365781,212672,189652,402327,89157,85262,174422,76556,97736,174289,25491,33904,59400
2012,26453,27551,54002,1602,1555,3157,3549,3367,6918,1615,1505,3120,1566,1477,3042,3549,3705,7254,3032,3289,6325,3216,3496,6715,3360,3548,6904,2847,2927,5782,1598,1795,3386,520,878,1400,86,60,150,25816,26900,52721,640,649,1286,1296,1468,2763,28,18,45,36,37,76,1363,1523,2879,20365,21520,41887,3659,3710,7372,20830,22118,42945,3365,3246,6623,22131,23317,45449,480,427,913,3171,3009,6175,1033,1064,2098,309,380,690,519,1048,1570,7650,9435,17085,3139,3186,6325,4479,4062,8539,1913,1868,3785,1559,1568,3130,310,302,610
2013,10661,11044,21702,579,557,1138,1300,1239,2543,633,574,1209,603,587,1184,1358,1358,2713,1139,1251,2387,1249,1405,2653,1530,1530,3063,1360,1398,2754,681,779,1461,236,361,590,34,15,47,10506,10814,21323,157,228,383,251,236,486,9,18,29,8,11,18,271,264,537,8598,8892,17495,1221,1331,2547,9381,9708,19093,500,591,1093,9549,9935,19486,141,141,287,1175,1123,2297,394,421,820,125,135,262,174,413,587,2742,3403,6143,1559,1562,3118,2139,1855,3997,878,866,1745,617,673,1287,60,62,127
2014,5500,5592,11097,264,249,511,623,611,1236,333,295,623,289,248,535,521,576,1092,585,630,1212,739,743,1484,879,869,1744,775,757,1535,372,404,773,133,215,344,4,0,7,5302,5426,10731,197,168,362,166,150,317,9,5,10,4,0,4,179,152,329,4580,4712,9291,508,565,1068,4940,5058,10005,177,223,403,4940,5077,10015,73,74,143,569,551,1125,214,206,422,60,55,118,86,193,283,1461,1907,3365,847,870,1714,1065,961,2026,533,392,924,309,282,589,25,13,37
2015,7259,7929,15186,455,443,897,988,913,1901,450,443,895,411,395,809,947,963,1907,852,936,1784,837,1053,1892,882,980,1862,789,914,1705,471,594,1062,171,300,470,31,11,41,6993,7652,14647,263,271,539,165,199,368,8,6,8,4,5,9,176,204,387,5943,6424,12371,882,1070,1951,6356,6924,13281,440,536,979,6482,7091,13574,139,128,268,933,859,1792,302,314,623,83,123,205,160,385,546,2454,2971,5423,891,1077,1970,1179,1167,2355,491,479,968,324,361,683,34,33,66
2016,26370,27294,53661,1772,1622,3386,3746,3490,7238,1684,1579,3263,1639,1580,3219,3540,3840,7380,3167,3383,6556,3239,3248,6491,3037,3204,6250,2459,2752,5215,1527,1735,3261,543,865,1408,38,38,76,25786,26616,52400,581,682,1263,1063,1143,2208,24,34,54,35,37,75,1124,1213,2333,19061,20045,39107,5197,5279,10480,18755,19763,38519,5535,5567,11105,21509,22570,44082,456,421,883,3387,3163,6554,1196,1191,2385,357,528,889,609,1176,1783,8241,10059,18302,3148,3023,6177,3730,3590,7319,1879,1663,3536,1469,1431,2896,413,403,820
2017,5404,5877,11277,358,378,736,692,717,1407,316,267,578,336,344,683,791,863,1654,661,710,1368,582,600,1176,674,673,1348,520,582,1103,328,474,802,148,275,425,5,9,12,5195,5686,10883,209,187,396,208,253,458,4,12,17,0,4,10,214,269,482,4310,4721,9033,712,754,1471,4357,4781,9134,679,696,1374,4572,5026,9596,90,81,172,650,661,1307,204,195,399,72,97,174,98,220,318,1719,2181,3900,714,744,1456,840,743,1580,344,354,702,297,302,597,79,66,145
2018,21278,22483,43760,1272,1256,2527,2775,2570,5339,1254,1217,2467,1235,1266,2506,2834,3054,5890,2542,2662,5208,2549,2635,5180,2628,2907,5538,2350,2510,4858,1350,1581,2930,493,824,1322,36,16,50,20321,21439,41765,960,1042,1996,403,419,822,26,20,41,8,11,20,435,453,883,16514,17271,33786,2815,3209,6024,17713,18590,36303,1675,1963,3636,18248,19295,37534,331,348,678,2493,2298,4790,844,858,1701,263,389,650,461,850,1309,6308,7799,14106,2948,2786,5739,3507,3235,6741,1419,1537,2955,1098,1192,2289,117,137,250
2019,9342,10468,19809,497,541,1037,1249,1145,2394,604,579,1188,465,531,996,1108,1207,2311,1058,1164,2232,1112,1296,2403,1149,1296,2440,1066,1237,2301,734,948,1675,295,526,821,11,10,18,9037,10078,19118,305,390,691,192,216,410,10,7,16,11,7,19,211,229,439,7867,8792,16659,905,1042,1949,8256,9200,17454,548,669,1218,8462,9451,17915,148,162,307,1157,1083,2237,419,432,851,102,149,254,205,415,624,2964,3870,6831,1265,1401,2665,1600,1595,3199,683,655,1340,465,513,977,37,50,93
