SUA_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
1010,465,9349,595,3,10418,530,8244,491,16,9284,1220,16005,1160,12,18396,1978,16551,1103,28,19652,2720,17179,1122,26,21047,3019,16826,946,25,20809,2105,15433,968,23,18523,1296,9424,969,11,11705,321,2877,689,9,3896,13659,111886,8038,148,133730,501,8594,534,7,9644,640,7861,501,4,9008,1987,16321,1126,20,19458,3559,16607,1125,17,21307,4686,16854,973,27,22536,5079,17228,960,41,23302,3343,16948,1147,31,21463,1417,10894,1384,8,13707,282,4837,1460,4,6590,21493,116141,9210,160,147007,969,17949,1133,11,20056,1167,16105,995,12,18294,3210,32317,2290,32,37848,5543,33156,2224,38,40964,7405,34038,2094,49,43584,8100,34051,1895,65,44108,5445,32374,2103,58,39986,2714,20321,2355,22,25414,607,7715,2153,14,10482,35151,228021,17254,308,280740
1011,104,1909,164,0,2175,87,1566,121,28,1801,260,3457,343,49,4112,403,3460,324,19,4201,553,3495,292,18,4367,715,3606,273,8,4604,616,3865,245,10,4736,263,2105,228,9,2606,98,672,141,0,909,3099,24144,2130,135,29511,116,1883,140,0,2137,115,1471,112,28,1724,467,3584,340,37,4428,719,3609,308,19,4656,1023,3569,260,10,4860,1190,3765,256,21,5229,874,3974,250,6,5112,366,2373,311,0,3051,65,1040,278,0,1391,4943,25265,2248,129,32583,221,3788,301,0,4314,202,3037,230,54,3525,725,7040,681,87,8535,1115,7067,632,40,8858,1582,7066,554,29,9221,1903,7374,531,31,9839,1495,7838,501,16,9847,627,4482,541,4,5656,167,1713,416,0,2291,8043,49410,4378,265,62100
1012,62,1041,151,0,1257,53,959,133,0,1146,170,2740,320,15,3243,205,1988,227,7,2432,275,1686,204,0,2164,285,1632,161,3,2078,176,1357,130,0,1659,110,796,93,0,998,32,257,45,0,334,1360,12458,1472,29,15315,45,965,113,0,1128,76,1108,108,0,1297,337,2795,340,11,3476,421,1934,244,3,2604,484,1637,194,0,2318,553,1639,148,3,2345,280,1452,127,3,1862,143,1023,129,0,1296,18,478,77,0,574,2364,13029,1481,26,16897,109,2003,268,0,2383,131,2070,243,0,2441,502,5532,660,15,6715,628,3927,474,7,5038,764,3319,401,6,4487,834,3273,311,4,4425,452,2805,261,6,3528,256,1815,222,0,2292,51,733,121,0,908,3720,25489,2952,51,32217
1013,23,415,40,0,472,31,304,27,0,363,54,603,52,0,709,103,696,43,4,843,153,793,62,0,1010,207,1165,73,0,1446,252,1628,116,0,1998,146,1126,107,0,1373,53,390,76,0,521,1018,7117,596,10,8742,19,406,44,0,470,34,315,21,0,368,89,668,65,0,821,166,685,50,0,906,285,808,53,0,1143,396,1241,65,5,1702,361,1706,130,7,2209,170,1214,169,0,1561,40,585,207,0,832,1556,7634,801,12,9999,44,819,79,0,942,57,622,52,0,727,145,1269,112,4,1527,266,1384,87,4,1743,434,1601,112,3,2155,601,2405,140,6,3146,620,3334,251,5,4206,313,2342,273,0,2930,93,975,282,0,1358,2576,14750,1389,23,18738
1014,42,601,56,3,699,40,757,106,4,908,125,1429,293,9,1855,160,1147,188,0,1490,214,1051,195,0,1462,219,1193,104,0,1520,163,999,87,3,1246,85,605,53,0,737,28,212,27,0,266,1085,7995,1096,18,10193,39,547,47,0,640,52,611,36,0,694,199,1402,110,5,1717,266,1081,89,0,1441,324,1075,78,0,1481,332,1116,69,4,1520,235,1124,82,4,1440,104,760,60,0,927,21,410,35,0,465,1582,8129,609,9,10330,85,1147,99,4,1339,92,1365,137,3,1601,328,2831,400,9,3574,430,2228,279,3,2937,542,2128,266,7,2940,552,2308,171,4,3037,399,2120,168,9,2694,191,1364,113,0,1667,44,621,60,0,731,2663,16125,1704,31,20522
1015,37,520,54,0,609,29,446,57,5,542,78,846,97,21,1037,114,755,88,11,964,159,793,91,0,1047,210,880,81,0,1168,144,903,66,0,1110,71,574,55,0,701,25,225,26,0,265,862,5930,611,41,7447,26,413,44,0,483,48,467,52,0,566,153,900,111,0,1172,218,761,87,0,1067,262,817,92,3,1167,336,845,68,0,1248,225,902,61,0,1195,98,722,82,0,900,30,398,78,0,500,1395,6221,675,7,8298,64,930,101,0,1089,80,918,107,4,1107,225,1745,208,24,2207,331,1516,176,11,2025,417,1605,178,7,2213,549,1724,147,0,2419,375,1809,129,0,2305,167,1292,138,0,1598,55,621,101,0,775,2253,12157,1287,46,15741
1016,23,535,49,0,609,16,555,51,5,636,79,1434,175,37,1723,133,1154,125,29,1443,143,1018,121,6,1286,153,961,89,0,1196,102,623,63,0,785,54,382,52,0,491,20,155,49,0,226,718,6815,780,85,8397,31,518,32,0,587,35,505,53,5,595,143,1399,136,15,1693,177,1054,94,3,1330,231,953,89,5,1271,276,804,79,10,1165,154,663,60,3,874,73,490,59,0,619,14,280,89,0,379,1129,6662,690,34,8518,58,1053,82,0,1196,50,1061,109,13,1227,224,2829,311,51,3417,303,2213,214,37,2768,375,1969,208,14,2556,425,1760,167,10,2364,252,1290,123,5,1662,127,869,115,0,1112,28,432,138,0,604,1850,13480,1468,119,16911
1017,28,421,77,0,527,24,331,153,0,513,65,581,388,3,1031,101,481,282,0,866,131,612,149,0,889,144,729,114,0,990,129,757,70,0,949,52,419,51,0,523,15,112,15,0,149,686,4439,1297,4,6427,36,377,63,0,475,28,332,41,0,396,138,586,104,0,832,202,519,99,0,822,213,597,89,0,899,244,729,66,0,1039,177,744,69,0,987,68,462,83,0,619,5,240,66,0,311,1123,4585,680,3,6393,58,800,139,0,1001,52,664,195,0,912,200,1168,491,5,1866,306,998,379,0,1686,346,1206,237,0,1784,387,1461,178,5,2030,306,1499,138,0,1942,127,885,135,3,1141,24,358,85,0,462,1804,9028,1978,10,12821
1018,43,800,82,0,916,53,743,85,9,886,133,1464,156,8,1762,181,1287,135,0,1599,270,1331,123,7,1732,305,1454,144,5,1903,201,1252,107,0,1560,75,644,91,0,812,27,244,60,0,329,1291,9211,980,34,11516,36,729,97,0,860,69,693,84,0,846,208,1476,164,9,1854,346,1326,148,3,1826,453,1335,100,0,1887,495,1389,116,9,2007,313,1322,109,0,1740,109,894,119,0,1122,28,462,115,0,608,2053,9628,1051,15,12754,78,1521,175,0,1774,122,1431,172,9,1735,346,2935,321,15,3618,522,2615,285,7,3428,727,2671,226,3,3619,799,2848,255,10,3907,516,2575,215,0,3309,187,1535,214,0,1934,59,708,177,4,938,3350,18839,2028,52,24267
1019,12,285,40,0,343,18,276,55,0,347,52,574,189,0,815,68,475,135,0,672,114,574,76,0,762,130,656,76,0,864,78,647,64,0,788,42,401,40,0,478,11,112,10,0,133,538,3995,676,0,5207,23,260,27,0,312,24,240,15,0,278,77,546,47,0,676,105,473,47,0,626,186,525,43,0,753,204,653,35,0,885,107,658,49,0,808,66,478,52,0,596,4,225,18,0,252,798,4048,330,0,5182,34,547,67,0,652,40,510,66,0,623,130,1120,236,0,1488,174,944,175,0,1293,300,1096,121,0,1516,334,1306,113,0,1749,183,1304,111,0,1600,113,877,89,0,1077,19,339,28,0,388,1330,8050,1009,0,10389
1020,19,452,26,0,495,21,368,23,0,417,37,668,39,0,751,98,737,34,0,877,150,801,41,0,997,132,789,40,0,964,109,680,46,0,832,52,353,30,4,438,9,58,8,0,73,623,4911,295,14,5839,35,390,22,0,442,25,302,18,0,341,96,675,30,3,805,209,709,32,0,953,260,705,37,0,1001,217,682,36,0,940,142,634,44,0,816,43,335,30,0,408,13,80,3,0,92,1036,4512,248,3,5802,53,842,45,0,943,49,675,41,0,764,138,1340,71,3,1553,306,1450,71,0,1828,408,1504,74,3,1994,352,1466,82,3,1906,249,1315,88,0,1650,97,689,58,4,850,12,141,15,0,167,1665,9426,543,11,11644
1021,47,667,40,0,756,41,746,43,0,825,103,1300,74,0,1477,145,1208,76,0,1438,231,1272,60,0,1560,252,1313,62,0,1634,206,1341,67,0,1604,158,927,68,0,1145,53,361,33,0,445,1237,9139,509,4,10897,40,647,47,0,741,52,652,42,0,742,177,1336,62,3,1579,256,1121,71,0,1446,373,1162,62,0,1599,444,1346,69,4,1864,285,1389,89,0,1762,173,1118,91,0,1389,38,584,51,0,678,1839,9361,590,10,11797,87,1321,92,0,1498,93,1396,84,0,1574,280,2637,134,4,3057,406,2329,143,0,2880,606,2432,122,0,3158,699,2661,135,3,3501,485,2729,152,0,3367,334,2042,161,0,2532,91,943,88,0,1122,3075,18503,1103,15,22694
1022,14,339,23,0,377,18,315,24,0,366,52,784,70,0,903,82,654,68,0,800,88,621,54,0,758,89,548,53,0,686,50,453,34,0,543,28,297,27,0,357,11,96,16,0,125,439,4114,364,0,4920,18,297,16,0,331,12,282,19,0,314,100,793,58,0,952,126,611,44,0,778,148,566,42,0,759,160,514,34,0,708,90,489,36,0,611,49,387,37,0,466,12,177,39,0,231,712,4115,329,4,5159,34,636,39,0,709,35,594,49,0,679,156,1581,123,0,1859,209,1265,114,0,1578,234,1189,100,0,1520,251,1065,88,0,1396,146,943,70,0,1158,77,685,65,0,832,21,277,51,0,353,1159,8231,689,4,10080
1023,6,387,35,0,429,18,309,42,0,368,70,761,176,4,1007,89,666,137,0,901,61,637,101,0,803,94,593,59,0,754,44,429,29,0,504,23,198,25,0,241,0,49,10,0,59,418,4030,620,7,5061,20,306,28,0,352,16,301,23,0,337,105,737,65,0,903,124,573,66,0,762,134,566,41,0,741,113,521,33,0,672,66,416,28,0,505,26,219,24,0,273,0,100,25,0,124,605,3748,322,4,4681,32,695,57,0,782,33,602,73,0,710,168,1497,240,4,1909,218,1244,200,3,1663,201,1202,149,0,1543,208,1123,89,0,1425,108,844,61,0,1009,50,422,45,0,513,0,147,31,0,183,1018,7774,946,8,9746
1024,38,713,51,0,802,28,496,38,0,561,77,879,57,0,1013,126,961,50,0,1143,203,1325,69,4,1594,312,1652,95,4,2064,268,1978,105,0,2352,175,1326,123,0,1625,43,332,68,0,439,1262,9660,655,8,11591,41,601,41,0,679,46,467,30,0,536,109,889,51,0,1057,235,1032,58,0,1325,359,1366,64,0,1791,540,1728,83,0,2349,431,2040,109,0,2583,220,1379,145,0,1742,30,484,145,4,659,2009,9979,722,9,12720,80,1316,85,0,1476,67,959,69,0,1096,188,1769,110,0,2074,364,1997,109,4,2470,563,2688,136,7,3390,853,3383,174,4,4417,696,4011,216,0,4932,389,2697,272,0,3367,71,815,214,6,1100,3273,19637,1381,19,24315
