SUA_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
5010,259,57,25,128,22,496,726,81,12,15,0,833,573,273,222,8,3,1079,423,114,28,0,5,569,66,10,7,0,4,83,113,33,23,6,0,178,990,290,193,91,14,1574,12,8,0,0,0,15,2183,728,467,108,32,3508,244,62,39,23,8,372,448,193,153,208,18,1026,3854,1121,695,482,78,6239
6000,28218,291,174,381,76,29136,21630,131,69,69,29,21930,3691,359,178,32,4,4268,718,251,97,0,5,1072,180,160,60,0,0,406,4404,173,111,60,29,4775,955,79,47,104,42,1235,107,24,4,0,4,136,10054,1041,500,207,83,11885,1699,57,30,59,35,1880,3975,192,73,289,30,4565,65571,1715,840,1002,258,69398
6001,3992,98,21,27,8,4143,3438,38,10,5,3,3492,1287,302,58,11,0,1665,536,262,9,0,0,806,114,83,7,0,0,213,715,122,27,3,0,864,100,31,21,23,3,179,18,7,0,0,0,27,2772,807,126,38,6,3751,102,15,0,0,0,121,440,100,17,35,0,591,10739,1068,181,105,15,12106
6002,4336,226,3,57,12,4632,3974,76,0,9,4,4055,1116,313,3,3,0,1433,648,356,10,0,5,1016,165,85,0,0,0,247,923,173,8,3,0,1111,111,46,4,46,4,214,22,20,0,0,0,46,2979,989,26,60,11,4063,124,42,0,7,3,168,417,126,3,58,0,609,11825,1457,33,195,25,13533
6003,27339,968,1123,170,41,29638,27777,826,854,34,22,29520,8262,1505,2798,62,26,12654,2642,807,886,0,28,4361,572,324,279,0,22,1196,4963,727,1257,60,44,7047,523,114,183,62,10,887,107,42,45,3,0,194,17074,3518,5445,182,128,26344,943,291,273,22,14,1532,2354,381,550,152,28,3461,75480,5978,8240,560,233,90498
6004,10774,655,469,32,16,11941,10939,466,269,6,9,11694,4086,857,1144,52,12,6152,689,352,319,0,6,1368,342,232,152,0,3,739,2073,364,407,17,18,2877,179,56,56,38,3,337,47,16,18,0,0,83,7429,1884,2089,109,47,11555,355,150,50,3,3,562,1017,366,214,68,9,1680,30515,3513,3089,226,91,37431
6005,2534,111,10,67,0,2723,1854,42,0,8,0,1902,294,122,4,3,4,422,195,128,0,0,0,321,37,45,3,0,0,87,419,89,12,10,0,530,51,9,0,8,0,73,11,15,0,0,0,22,996,401,15,27,4,1441,56,25,0,7,0,84,222,77,5,15,0,320,5661,651,31,117,9,6468
7000,2354,40,3,2413,414,5221,3374,37,3,181,47,3645,678,217,26,24,11,959,3402,495,103,16,27,4045,1568,191,55,25,20,1861,681,59,20,176,64,1001,1610,384,152,620,307,3077,93,14,0,8,0,120,8034,1362,361,855,434,11060,1929,201,102,299,170,2706,1895,276,155,890,274,3485,17591,1918,626,4649,1341,26122
7001,1131,183,26,388,91,1819,2594,575,47,34,13,3261,699,885,213,3,23,1821,439,328,23,4,5,798,64,47,3,0,25,140,514,268,40,21,28,868,130,130,27,147,60,497,13,5,0,0,0,21,1859,1658,304,181,137,4147,119,101,20,32,23,301,337,184,37,307,51,914,6048,2701,434,941,316,10445
7002,5501,564,1061,884,47,8050,11756,1009,2014,60,9,14843,4082,1693,6214,18,34,12032,1149,758,706,4,14,2634,155,31,90,4,7,283,1867,612,1357,49,43,3923,1133,112,401,298,75,2009,54,18,55,4,0,126,8432,3217,8816,368,167,21003,396,87,153,41,25,702,1785,492,1097,710,124,4209,27871,5367,13136,2068,369,48812
8000,92,0,0,0,0,96,127,0,0,0,0,132,15,6,0,0,0,13,9,6,0,0,0,17,0,0,0,0,0,0,18,0,0,0,4,25,16,0,0,0,6,27,0,0,0,0,0,0,63,9,0,0,7,82,15,0,0,0,0,20,34,0,0,0,0,34,331,14,0,0,14,357
8001,37937,6395,4371,116,37,48857,52880,10933,9593,11,34,73450,10188,7179,14576,8,52,32004,4817,2851,1497,20,10,9198,425,420,340,0,14,1197,5203,2627,3776,10,40,11662,1962,528,655,43,37,3229,121,66,58,0,3,242,22722,13675,20900,84,154,57536,1125,884,874,4,26,2921,3305,1433,2166,192,33,7130,117975,33321,37899,406,291,189889
9000,445,29,28,0,5,503,261,13,6,0,4,286,107,3,4,0,5,115,59,31,49,0,0,139,39,0,3,0,0,42,167,23,21,0,4,218,81,9,18,0,3,118,0,0,0,0,0,0,458,65,97,0,14,632,93,5,11,7,9,119,199,11,32,0,10,259,1456,125,176,9,41,1805
