SUA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
1023,5061,4678,9734,2326,1178,3497,472,1113,1590,176,188,368,187,148,341,3153,2630,5789,1550,1765,3311,5.9,5.8,5.9,62.4,56.3,59.4,58.7,53,56,66,74,139,33,73,101,221,392,609,246,367,613,1603,879,2479,67,101,167,70,111,178,1734,1089,2823,4677,4535,9211,993,981,1973,2886,2751,5635,2431,2444,4877
1024,11583,12714,24292,3468,1952,5420,1602,2938,4546,485,579,1060,300,235,533,5855,5707,11556,5153,6342,11498,5.1,4.1,4.6,50.5,44.9,47.6,48,43,45.4,419,411,829,163,309,472,1172,1603,2768,1116,1537,2654,3512,1741,5255,109,231,336,227,457,686,3847,2427,6272,10824,11685,22507,1932,2114,4042,6752,7274,14028,5540,6071,11603
1025,199039,212290,411327,84626,52092,136718,27847,56926,84770,7311,9980,17295,7023,5194,12219,126807,124190,250997,62912,78348,141261,5.5,4.2,4.9,63.7,58.5,61,60.2,56.1,58.1,8319,9492,17810,2608,5500,8106,23646,34670,58316,14992,22002,36993,55945,31534,87479,2101,3781,5881,3142,5504,8653,61192,40817,102012,195736,204753,400492,35462,38317,73781,127255,132168,259423,91281,98735,190017
1026,15643,15763,31406,5534,3268,8805,1996,3789,5785,493,608,1105,506,374,880,8528,8043,16571,6120,6712,12835,5.9,4.7,5.3,54.5,51,52.8,51.3,48.6,50,416,471,884,154,412,568,1166,1830,2992,1118,1625,2745,4280,2623,6898,181,335,518,220,468,688,4680,3425,8099,14299,14933,29225,2663,2870,5528,9169,9544,18717,6799,7310,14110
1027,15827,17445,33273,7581,5085,12672,1938,4200,6138,475,657,1135,417,342,759,10418,10285,20700,4461,6147,10615,4,3.3,3.7,65.8,59,62.2,63.2,57,59.9,710,783,1490,219,486,703,1899,2975,4874,1113,1820,2935,4052,2552,6604,175,307,479,226,486,713,4449,3345,7797,15891,16949,32835,3186,3346,6529,9468,10172,19636,8334,8999,17340
1028,19940,22835,42774,6751,4896,11646,3059,5523,8586,591,778,1364,614,483,1091,11011,11675,22694,7804,9936,17734,5.6,4.1,4.8,55.2,51.1,53,52.2,49,50.5,819,880,1699,325,578,905,2330,3447,5772,1664,2583,4247,5285,3239,8527,202,446,647,390,711,1103,5882,4400,10276,18732,20881,39620,3843,4296,8138,11333,12545,23871,10200,11712,21915
1029,7183,6499,13678,3855,1638,5496,709,1743,2451,264,327,588,204,165,379,5034,3868,8900,1606,2344,3949,4.1,4.3,4.2,70.1,59.5,65.1,67.2,56.9,62.3,125,134,256,40,107,150,469,671,1140,414,591,999,2375,1323,3700,99,144,242,83,196,274,2557,1661,4213,6630,6484,13110,1631,1302,2932,4064,3905,7970,3737,3440,7177
1030,8065,8799,16867,2431,1538,3965,975,1885,2859,293,342,638,235,185,425,3936,3947,7882,3687,4401,8086,6.1,4.7,5.4,48.8,44.9,46.7,45.8,42.7,44.2,245,282,526,93,207,296,602,1012,1608,590,923,1514,2538,1353,3890,90,194,282,160,272,435,2786,1819,4604,7665,8196,15862,1307,1408,2718,4954,5205,10156,3631,4042,7677
1031,1925068,1998411,3923474,764204,556983,1321187,259724,385309,645037,140122,136620,276744,66479,54471,120954,1230530,1133389,2363923,588195,759372,1347568,5.4,4.8,5.1,63.9,56.7,60.3,60.5,54,57.2,192479,193772,386251,31444,52978,84421,408326,476948,885272,165545,213572,379118,288147,146712,434861,12189,22406,34596,29437,46050,75488,329776,215165,544944,1862599,1914883,3777490,367574,371059,738635,1178766,1228047,2406817,928329,941968,1870299
1032,16831,18420,35252,7396,5036,12433,2055,4105,6162,487,633,1121,560,502,1062,10488,10283,20775,4936,6650,11584,5.3,4.9,5.1,62.3,55.8,58.9,59,53.1,55.9,442,566,1014,191,425,626,1393,2442,3835,978,1704,2682,4293,2826,7121,196,362,559,230,515,744,4722,3699,8423,15908,16909,32815,3588,3745,7334,9648,10316,19964,8577,9214,17788
