SUA_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
1010,710,419,1124,345,480,823,24,4,30,0,4,0,30,40,65,41064,32067,73130,2298,2528,4826,1111,26,1133,407,39,446,216,65,273,294,207,501,833,994,1825,47320,36866,84186,229,163,388,5,7,8,0,0,0,290,101,393,39,32,68,38,13,53,598,319,917,3,9,10,0,0,0,17,24,37,30,56,93,12,19,28,68,102,170,437,167,606,1106,584,1687,94,67,164,14,14,30,13,3,21,130,81,210,16695,21727,38426,9275,14357,23636,358,313,672,74888,73927,148810
1011,9,3,9,92,118,211,4,0,4,0,0,0,15,31,48,10782,10427,21208,818,983,1797,251,10,256,163,23,190,162,42,206,75,44,120,340,386,729,12704,12073,24774,0,6,6,0,0,0,0,0,0,8,4,4,0,0,0,3,0,3,10,7,10,0,0,0,0,0,0,6,4,8,5,14,16,0,0,0,9,18,26,105,70,179,127,94,218,0,0,0,0,0,0,7,0,7,7,0,12,1479,2002,3481,1344,2182,3523,96,91,192,15755,16445,32202
1012,0,0,0,34,28,60,0,3,3,0,0,0,25,46,73,7258,6613,13871,571,713,1276,171,4,170,77,6,81,63,15,81,44,32,75,214,212,423,8456,7670,16131,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,3,3,11,0,0,0,0,0,0,3,8,10,69,50,116,73,62,136,3,0,8,3,0,6,6,0,5,18,6,16,546,919,1469,667,1140,1809,48,42,94,9808,9836,19645
1013,0,0,0,16,14,31,0,0,0,0,0,0,3,3,10,2245,2304,4544,160,226,386,57,0,59,19,4,25,29,11,47,14,14,34,155,155,305,2702,2740,5440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,5,4,24,16,42,23,23,49,0,0,0,0,0,0,3,0,0,3,0,0,312,409,717,324,542,867,39,44,80,3405,3754,7155
1014,8,0,4,23,10,35,0,0,0,0,0,0,14,21,30,4099,3533,7631,328,345,671,82,5,90,33,0,36,26,4,31,27,5,31,191,193,381,4835,4118,8947,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,7,4,38,18,56,40,25,66,3,0,3,0,0,0,0,0,0,9,0,9,277,492,771,442,725,1164,38,30,64,5636,5384,11024
1015,0,0,0,10,14,20,0,0,0,3,0,3,9,4,18,2484,2443,4926,204,199,403,87,4,89,37,0,38,64,19,79,16,8,26,134,143,274,3036,2844,5884,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,27,13,40,37,11,53,0,0,0,0,0,0,4,0,4,4,0,4,191,324,521,320,442,764,32,29,61,3626,3648,7274
1016,0,0,0,0,6,7,4,3,5,0,0,0,13,27,38,4288,3364,7652,475,622,1098,59,0,59,37,5,38,29,9,33,38,22,62,133,122,255,5081,4174,9252,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,5,5,10,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,4,9,42,23,60,46,31,76,0,0,0,0,0,0,0,0,0,0,0,0,144,263,409,213,471,685,35,25,64,5515,4965,10481
1017,0,0,0,12,11,18,0,0,0,0,0,0,5,4,11,1735,1782,3513,139,190,329,87,0,89,15,0,13,8,0,10,11,11,21,69,56,121,2086,2060,4138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,15,10,32,21,12,35,0,0,0,0,0,0,0,0,5,4,0,3,103,191,294,209,338,543,33,27,56,2446,2619,5071
1018,0,0,0,26,17,43,4,0,4,0,0,0,8,17,30,4290,3828,8121,286,396,685,86,0,89,65,3,68,56,11,66,33,17,46,176,194,368,5032,4489,9517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,3,4,5,38,29,75,43,38,79,0,0,0,0,0,0,3,0,3,4,0,7,533,852,1387,662,1060,1722,24,28,48,6304,6460,12763
1019,0,5,8,5,6,7,0,0,0,0,0,0,9,9,11,1656,1375,3036,111,110,216,22,4,25,13,0,11,14,3,12,6,7,15,117,105,219,1950,1620,3572,3,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,3,3,9,3,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,6,13,8,24,21,15,36,0,5,5,0,0,0,0,0,0,0,5,3,180,283,460,261,344,598,20,23,46,2432,2285,4720
1020,0,0,0,7,8,10,0,0,0,3,0,3,3,0,4,2183,1619,3803,106,110,218,93,0,95,13,0,12,10,0,13,20,6,32,56,39,98,2487,1785,4271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,29,19,49,32,22,54,0,0,0,0,0,0,0,0,0,0,0,0,559,796,1353,462,641,1105,22,17,39,3558,3263,6825
1021,29,21,53,7,4,13,0,0,0,0,0,0,0,0,0,3531,2787,6316,180,175,359,179,7,184,38,6,39,4,9,13,22,11,36,88,65,156,4089,3079,7170,11,6,11,0,0,0,0,0,0,6,0,10,0,0,4,5,0,5,22,14,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,12,53,61,26,82,3,5,10,0,0,0,3,0,0,7,8,14,949,1383,2335,717,1048,1771,35,25,65,5862,5567,11428
1022,0,0,0,4,4,10,0,0,0,0,0,0,7,9,15,2306,1798,4102,201,158,359,53,0,54,19,0,20,21,0,24,12,4,17,109,135,242,2721,2120,4841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,32,57,33,32,59,0,0,0,0,0,0,0,0,0,0,0,0,150,280,430,278,453,735,15,23,34,3199,2905,6106
1023,7,0,7,6,0,6,0,0,0,0,0,0,0,0,0,2175,1571,3747,137,131,266,29,0,25,19,3,23,9,0,9,9,9,23,65,73,139,2448,1793,4239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,25,16,5,24,0,0,0,0,0,0,0,0,0,0,0,0,128,274,409,355,389,744,17,10,33,2971,2476,5449
1024,0,0,4,23,37,53,3,0,3,0,0,0,3,0,3,3110,2581,5695,188,203,389,95,3,92,18,0,19,25,11,31,24,23,42,133,138,275,3611,3000,6616,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,4,3,3,3,0,0,0,5,7,13,39,17,53,46,22,70,0,0,0,0,0,0,0,0,0,0,0,3,1042,1219,2265,821,1188,2004,36,38,69,5553,5470,11026
1025,239,136,380,583,836,1418,29,34,61,34,32,65,118,108,226,73323,58931,132255,3581,4399,7983,1432,44,1471,867,129,1000,813,301,1117,419,322,742,1766,2017,3781,83207,67300,150505,62,42,109,4,0,4,14,11,25,62,29,91,24,15,34,35,8,47,193,112,305,9,4,9,5,11,15,45,47,90,53,107,157,22,36,56,126,196,324,730,412,1133,1047,717,1762,68,50,112,26,29,48,30,12,45,117,84,209,20296,27885,48176,14664,22631,37293,461,383,836,119789,118997,238782
1026,0,4,12,6,16,25,7,0,7,0,0,0,8,23,31,5625,4897,10517,390,482,869,120,0,125,94,8,104,80,20,98,39,17,59,196,202,394,6571,5674,12242,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,3,0,3,0,3,10,0,0,0,0,0,0,0,3,3,5,9,10,0,0,0,0,7,17,71,32,109,77,49,130,5,0,5,0,0,0,0,0,4,6,0,9,579,808,1387,736,1087,1822,57,49,105,8027,7664,15693
1027,0,0,0,97,37,130,9,0,3,0,0,0,24,48,72,7025,6444,13468,591,603,1194,147,4,154,33,9,39,50,17,66,49,24,71,259,250,510,8281,7426,15709,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,14,0,14,0,5,9,0,4,4,20,9,25,59,42,101,79,51,127,0,0,0,0,3,4,4,0,4,5,5,10,827,1196,2029,755,1226,1981,48,33,86,9997,9945,19943
1028,0,0,5,34,45,79,4,0,4,0,0,0,14,24,37,6955,6949,13906,482,643,1125,132,6,138,113,17,129,82,28,110,37,27,61,263,289,552,8116,8039,16157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,5,0,0,0,0,0,0,0,6,5,3,6,5,5,0,3,9,7,18,81,40,119,88,49,140,0,3,3,0,4,4,0,0,0,0,9,10,1227,1512,2735,925,1532,2460,43,63,103,10399,11194,21595
1029,0,0,4,8,4,14,0,0,0,0,0,0,4,9,10,3140,2112,5251,164,173,340,65,4,65,18,0,17,12,0,11,70,20,82,381,70,456,3877,2385,6261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,4,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,4,5,29,17,50,32,23,55,0,0,4,0,0,0,0,0,0,6,0,4,308,565,870,585,720,1308,17,9,29,4827,3699,8524
1030,0,0,0,0,3,7,0,0,0,0,0,0,0,4,5,2558,2349,4905,136,178,323,83,0,80,22,4,27,27,3,32,12,3,18,55,74,125,2903,2627,5526,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,8,27,17,41,31,22,52,0,0,4,0,0,0,0,0,0,3,0,0,394,549,937,354,544,893,25,16,42,3699,3761,7459
1031,30677,28947,59617,12354,15406,27756,628,297,929,651,559,1208,1628,1644,3273,446352,296543,742893,21050,36717,57770,12201,199,12399,8189,1052,9243,6666,2004,8663,6332,4318,10649,25185,28134,53324,571908,415821,987725,9777,11901,21675,108,81,187,397,456,856,3439,2006,5451,685,1368,2057,909,520,1427,15321,16325,31644,99,78,180,241,257,498,666,512,1179,429,1016,1445,404,458,861,1839,2318,4161,4952,2807,7761,22115,21454,43567,3039,3190,6225,275,292,568,181,83,264,3490,3564,7057,424118,469476,893591,137062,164676,301737,5357,3933,9292,1164054,1078918,2242971
1032,0,0,0,20,20,41,0,5,4,0,0,0,20,21,39,6653,5865,12518,592,643,1236,212,7,215,104,6,110,47,11,64,45,28,79,213,230,444,7915,6838,14758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,8,0,0,3,0,0,6,10,7,12,77,44,123,83,58,140,0,0,0,0,5,5,5,0,5,5,7,4,822,1302,2122,1056,1557,2606,52,29,77,9933,9783,19715
1033,5,0,5,17,17,35,0,0,0,0,0,0,10,15,26,3324,3244,6571,243,293,533,109,9,111,35,0,41,26,0,24,19,10,25,154,143,296,3940,3728,7666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,7,5,41,17,60,44,22,62,0,0,0,0,0,0,0,0,0,0,0,0,233,323,559,381,593,976,49,38,89,4643,4705,9353
1034,0,0,0,3,3,5,0,0,0,0,0,0,0,0,3,2124,1972,4095,157,153,313,83,0,83,18,3,23,27,10,31,26,11,37,93,112,206,2535,2268,4801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,3,27,8,36,29,12,39,0,0,0,0,0,0,0,0,0,0,0,0,363,537,902,287,487,775,24,27,54,3246,3325,6571
1035,0,0,0,84,59,140,6,7,13,0,0,0,23,34,54,10243,9325,19565,806,819,1629,138,11,142,108,8,122,96,30,124,337,95,435,455,466,915,12302,10850,23155,0,0,0,0,0,0,0,0,0,6,7,8,0,0,0,0,0,0,6,7,9,0,0,0,0,0,0,5,0,11,12,5,17,3,0,6,26,9,31,112,71,182,132,85,222,0,0,0,0,4,4,6,0,10,6,3,11,905,1241,2147,903,1667,2576,69,47,120,14329,13898,28225
1036,563,291,854,362,483,842,16,0,11,5,5,6,64,60,118,40653,29549,70202,1856,2285,4145,881,18,898,398,39,431,412,88,500,279,211,489,1117,1268,2387,46608,34284,80888,60,67,120,0,0,0,3,5,3,160,65,224,22,26,52,25,11,38,271,165,443,0,0,0,0,0,0,34,26,59,30,64,95,14,14,34,78,101,184,356,179,528,708,441,1152,37,32,64,3,22,24,11,5,13,54,53,109,14449,19781,34223,8573,12879,21452,262,223,484,70647,67665,138310
2000,289,185,468,436,299,733,51,19,70,23,30,51,73,55,136,102315,84341,186658,5994,5983,11974,2994,97,3090,847,159,1006,982,379,1364,1441,644,2085,7932,6555,14489,123379,98743,222125,32,26,54,0,0,0,11,18,28,144,68,210,28,20,48,34,0,32,252,125,377,0,0,0,0,0,0,42,29,67,24,53,81,13,15,29,85,92,183,1140,482,1619,1474,704,2179,71,43,116,9,5,21,100,27,123,178,76,254,26024,30260,56282,12824,21817,34635,1703,1507,3205,165573,153111,318682
2001,100,67,168,4,14,17,0,4,4,0,0,0,0,0,0,4154,3021,7178,268,208,475,99,0,102,13,5,23,15,5,19,21,18,28,73,95,165,4744,3437,8179,12,3,16,0,0,0,3,7,15,18,16,35,7,6,7,0,0,0,43,33,72,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,5,8,37,17,49,79,59,139,9,13,23,0,0,0,3,0,0,11,14,27,851,1404,2256,492,863,1358,30,25,52,6204,5809,12009
2002,0,0,0,3,7,12,4,0,4,0,0,0,6,9,17,2303,2090,4394,170,180,356,47,0,51,9,0,9,36,11,48,20,12,33,104,110,211,2707,2417,5128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,4,0,0,0,0,0,8,22,20,48,27,31,51,0,0,0,0,0,0,5,0,5,3,0,3,236,370,609,254,408,664,27,29,58,3250,3262,6510
2003,95,41,141,111,163,275,12,0,15,5,0,7,81,82,164,17220,15018,32234,1196,1316,2510,204,7,209,71,8,86,240,63,302,90,37,125,583,624,1205,19909,17372,37281,3,9,10,0,0,0,7,8,15,35,13,45,0,0,0,9,0,11,60,23,85,0,0,0,0,0,0,5,4,7,9,22,31,7,16,22,26,43,66,164,112,283,246,190,437,18,17,32,7,10,11,12,0,12,32,25,57,3624,4444,8068,2100,3881,5976,135,125,257,26045,26033,52078
2004,40,27,67,138,195,335,6,4,14,0,3,9,34,32,62,16255,14239,30498,1093,1254,2343,252,5,249,120,15,140,224,99,317,77,48,124,547,561,1109,18781,16482,35260,7,0,7,0,0,0,0,0,3,5,5,13,4,4,4,8,0,14,28,16,40,0,0,0,0,0,0,8,8,21,21,29,54,8,9,14,36,48,86,150,102,250,213,161,378,8,7,11,6,9,15,6,4,7,20,15,32,2648,3648,6301,1956,3600,5559,116,86,209,23739,23990,47732
2005,26,26,48,4,0,5,0,0,0,0,0,0,0,6,10,1118,1058,2175,68,89,157,31,0,31,9,0,9,51,35,90,10,0,11,102,94,195,1425,1309,2730,5,5,6,0,0,0,3,0,3,0,0,3,0,3,3,8,4,16,19,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,17,26,15,41,0,0,0,0,0,0,0,0,0,0,5,0,513,663,1178,212,364,575,11,15,28,2192,2359,4554
