SUA_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
1010,6853,14662,7143,4476,8990,1925,65,44108,4550,10142,7113,4994,10965,2160,58,39986,2822,5006,3408,2781,9062,2309,22,25414,1097,1324,669,522,4731,2127,14,10482,52258,76742,37884,28037,68479,17036,308,280740
1011,1708,3233,1575,802,1978,520,31,9839,1216,2670,1858,1176,2397,510,16,9847,599,1167,836,704,1807,541,4,5656,245,308,168,130,1032,409,0,2291,11591,17078,8286,5369,15172,4336,265,62100
1012,801,1399,591,351,971,309,4,4425,471,853,574,360,985,266,6,3528,281,421,307,254,809,228,0,2292,91,102,47,50,508,116,0,908,6147,8415,3647,2551,8508,2901,51,32217
1013,526,976,495,321,678,142,6,3146,448,1054,774,509,1168,247,5,4206,301,541,373,346,1103,258,0,2930,131,140,88,83,631,277,0,1358,3000,4739,2537,1817,5263,1367,23,18738
1014,543,944,420,241,719,170,4,3037,308,651,429,290,837,175,9,2694,191,330,223,163,631,124,0,1667,69,94,41,40,427,59,0,731,3837,5269,2367,1650,5649,1709,31,20522
1015,383,732,355,238,568,143,0,2419,263,529,376,289,721,123,0,2305,152,301,213,174,646,122,0,1598,92,101,47,40,391,99,0,775,2722,3937,1960,1483,4369,1223,46,15741
1016,398,628,274,202,701,165,10,2364,208,319,227,184,595,125,5,1662,120,217,117,129,416,117,0,1112,65,77,37,24,256,140,0,604,2994,3770,1583,1242,5765,1444,119,16911
1017,235,516,305,226,577,172,5,2030,181,429,303,268,634,121,0,1942,118,182,103,142,458,131,3,1141,43,40,23,18,252,86,0,462,1778,2629,1409,1253,3815,1928,10,12821
1018,679,1301,521,310,828,255,10,3907,356,903,599,398,827,223,0,3309,213,369,254,225,662,202,0,1934,96,121,58,41,445,178,4,938,4656,6795,3010,2007,5749,2005,52,24267
1019,232,533,279,205,395,112,0,1749,189,337,258,188,516,106,0,1600,119,173,138,130,424,87,0,1077,45,52,33,15,212,25,0,388,1685,2591,1287,1002,2829,987,0,10389
1020,274,633,327,234,361,75,3,1906,188,403,302,269,417,75,0,1650,101,154,132,118,288,58,4,850,29,24,14,17,72,12,0,167,2249,3320,1667,1383,2492,526,11,11644
1021,563,1077,608,419,704,121,3,3501,385,844,628,475,890,149,0,3367,259,499,412,343,873,157,0,2532,113,160,57,64,644,87,0,1122,4167,6005,3141,2444,5869,1054,15,22694
1022,245,445,212,120,288,81,0,1396,145,301,187,131,322,75,0,1158,104,142,106,106,297,74,0,832,31,43,18,15,193,48,0,353,1937,2783,1236,953,2476,687,4,10080
1023,241,428,202,125,327,91,0,1425,95,212,151,137,341,61,0,1009,44,102,54,37,224,55,0,513,15,21,12,8,93,30,0,183,1754,2416,1080,876,2667,948,8,9746
1024,730,1539,753,412,792,191,4,4417,572,1343,917,673,1194,220,0,4932,389,725,513,405,1052,283,0,3367,126,151,68,66,483,205,6,1100,4333,6829,3496,2448,5794,1392,19,24315
1025,9862,19597,9473,5465,12584,2427,76,59476,5851,12987,9146,6392,13944,2464,77,50858,3331,5899,4128,3365,10676,2449,29,29882,1369,1667,836,549,6046,1952,7,12432,82058,117794,53294,35223,100328,22630,443,411773
1026,708,1435,727,456,1007,311,11,4648,458,1057,738,551,1212,238,9,4262,244,485,345,316,1010,174,5,2582,112,136,71,53,598,92,0,1060,5495,7966,3785,2978,8150,3030,40,31447
1027,798,1484,630,346,1044,241,14,4558,503,1004,656,450,1135,220,6,3971,280,481,328,243,877,192,3,2409,112,138,71,54,496,152,0,1031,6527,9273,4091,2666,8615,2094,57,33323
1028,1146,2286,968,523,1319,307,7,6555,932,1958,1297,773,1715,365,10,7056,547,1048,755,538,1681,436,3,5007,252,264,155,120,981,415,0,2191,8489,12280,5624,3536,10168,2669,68,42841
1029,280,615,314,179,401,100,3,1892,141,302,224,203,403,71,0,1351,75,133,93,84,277,55,0,704,29,50,15,10,188,15,0,309,2440,3706,1696,1321,3595,931,16,13697
1030,439,959,450,308,549,133,0,2850,383,862,649,431,881,155,0,3365,198,369,289,228,783,135,0,2002,79,96,40,40,322,71,0,645,2944,4612,2412,1749,4111,1038,19,16884
1031,80319,158294,80470,52654,128271,24530,2388,526927,50082,100088,63116,43533,113634,19655,2223,392320,28573,47047,28907,20794,77372,17314,651,220656,11180,12794,6246,4125,44190,15670,176,94370,746556,1017614,455758,331530,1133838,238180,12138,3935613
1032,810,1492,690,387,1132,308,3,4821,478,1007,685,524,1254,290,9,4244,307,568,394,338,951,377,0,2925,149,160,71,61,541,252,0,1239,6411,9026,4155,2837,9695,3124,54,35308
1033,523,1021,570,362,880,261,0,3609,350,807,558,490,1047,278,0,3543,244,419,315,327,893,277,0,2470,107,132,74,51,550,191,0,1100,3464,5253,2716,2254,6249,2006,10,21954
1034,380,866,488,247,445,159,0,2584,352,897,576,385,686,126,0,3023,170,410,265,234,542,111,3,1732,77,103,56,30,305,59,0,630,2567,4111,2186,1466,3256,891,9,14494
1035,1129,2155,916,470,1340,296,8,6311,683,1352,819,585,1417,279,0,5141,390,649,394,320,1124,277,3,3165,164,189,102,80,726,219,3,1481,9622,12944,5373,3535,12154,2765,112,46499
1036,5836,11939,6283,4101,8127,1365,45,37688,3411,7867,5564,4053,8422,1358,47,30721,2156,3899,2573,2208,6638,1469,12,18946,894,1062,560,405,3659,1422,4,8012,48216,69198,33299,23915,61813,12914,265,249617
2000,17184,35081,19078,12540,18982,7738,69,110674,11585,24981,18617,15893,22980,7477,67,101603,5390,9958,7567,7667,16350,5272,33,52236,1857,2224,1397,1196,8715,2661,15,18060,104617,159976,85130,66457,122016,49799,663,588667
2001,406,871,408,252,577,115,3,2630,293,551,361,307,686,100,3,2294,141,199,144,146,455,69,0,1151,40,42,29,16,274,34,0,431,3869,5391,2378,1837,4974,891,15,19355
2002,309,609,336,186,439,135,0,2016,224,484,379,318,502,146,0,2049,145,270,196,201,449,162,0,1421,42,77,44,40,211,159,0,572,2248,3343,1733,1369,3134,1113,6,12937
2003,2227,4292,1990,1088,2645,550,15,12812,1373,2918,2003,1465,2934,583,19,11297,745,1218,904,796,2261,574,3,6499,299,380,194,146,1369,456,0,2839,18139,25853,11471,8043,21595,5263,92,90447
2004,2162,3835,1869,1092,2489,609,6,12066,1320,2711,1855,1430,2832,515,12,10678,664,1272,891,766,2126,524,3,6246,308,333,187,182,1366,423,6,2808,16564,23448,10556,7603,20024,5006,72,83269
2005,266,609,300,139,195,112,0,1622,185,553,342,235,300,128,0,1749,105,236,177,149,246,148,0,1059,53,39,38,31,113,202,0,476,1590,2855,1515,1008,1396,1333,13,9709
2006,258,456,216,170,354,72,0,1526,179,335,245,200,409,98,0,1464,113,170,136,124,376,78,0,995,37,60,34,30,274,48,0,492,1925,2542,1252,1006,3069,605,13,10422
2007,527,1000,463,281,636,160,0,3067,362,718,520,399,857,182,0,3041,166,339,267,248,694,205,0,1916,56,88,44,42,334,182,0,753,3459,5001,2364,1791,4654,1378,19,18671
2008,5519,11200,5467,3007,6566,1425,43,33227,3448,8012,5421,3662,7412,1407,34,29402,1820,3557,2576,2084,5553,1274,13,16879,741,920,555,451,3526,902,3,7099,47263,67818,30768,20690,54350,13266,268,234415
2009,476,1034,606,319,342,104,3,2872,241,613,462,388,407,94,0,2209,121,258,207,192,299,70,0,1141,28,45,25,25,129,67,0,317,3569,5220,2869,1942,2721,770,14,17111
2010,374,683,317,199,464,84,0,2118,216,424,314,225,500,85,0,1774,137,232,186,157,414,94,0,1221,77,68,59,38,300,53,0,594,2671,3747,1760,1271,3524,790,7,13771
2011,85482,162916,74782,45208,120908,21856,2177,513338,50695,101136,62491,41775,111719,17910,1953,387683,28487,47701,30729,22274,81472,15601,606,226869,11455,13676,6809,4614,49924,11493,155,98134,800714,1058911,440806,303826,1100969,215599,10429,3931246
2012,1084,2032,1011,601,1642,527,10,6904,634,1296,880,740,1745,474,7,5782,327,600,408,416,1287,348,0,3386,144,165,75,92,749,186,0,1400,7697,10720,5170,3938,12259,3996,148,43933
2013,442,881,450,344,739,203,3,3063,269,585,439,394,881,198,0,2754,138,237,194,176,595,127,0,1461,67,61,47,26,334,47,0,590,3049,4445,2218,1919,4952,1390,47,18026
2014,270,532,270,176,405,90,0,1744,166,354,283,215,436,86,0,1535,91,127,100,105,283,65,0,773,34,38,24,16,202,28,0,344,1630,2429,1263,936,2464,613,4,9349
2015,298,583,311,174,404,80,3,1862,211,389,305,243,464,84,0,1705,108,209,144,109,411,89,0,1062,39,46,36,22,252,72,0,470,2225,3394,1649,1225,3078,778,37,12382
2016,1050,1820,804,527,1595,454,7,6250,640,1180,783,582,1657,363,5,5215,386,538,379,348,1266,351,4,3261,148,178,85,81,735,178,3,1408,7675,10310,4602,3693,13057,3623,71,43034
2017,242,407,185,114,308,92,0,1348,139,245,181,162,314,59,0,1103,105,146,107,85,288,70,0,802,45,67,32,26,207,53,0,425,1672,2276,1054,815,2634,670,12,9135
2018,797,1625,771,506,1417,416,12,5538,475,1054,712,624,1568,428,3,4858,273,489,362,339,1048,422,0,2930,116,129,75,58,616,327,0,1322,6106,9045,4160,3332,9785,3426,52,35893
2019,436,779,342,208,543,130,0,2440,269,566,378,273,674,131,0,2301,202,314,236,179,608,145,0,1675,59,101,70,48,406,132,0,821,3008,4454,2051,1439,4343,1063,12,16376
2020,844,1712,842,526,991,245,0,5166,553,1215,901,660,1147,222,0,4706,287,597,411,376,944,212,0,2830,108,137,70,56,580,81,0,1026,6678,9490,4537,3503,7688,1920,44,33858
2021,782,1598,724,368,898,212,7,4587,487,1033,717,471,1025,238,0,3971,238,518,294,296,750,216,0,2317,124,150,83,57,490,229,0,1120,5823,8289,3757,2501,7008,1999,69,29448
3000,18844,33768,17951,13293,25248,13213,186,122496,12615,23675,17234,16338,28237,10479,179,108758,5287,8821,6676,7163,16568,5607,65,50193,1481,1663,986,932,6253,1957,7,13282,112300,158961,80117,68739,149413,82203,3531,655267
3001,438,728,283,136,564,467,15,2643,263,490,252,142,510,347,12,2018,73,128,63,51,171,102,12,595,3,8,9,4,37,5,0,68,2955,3726,1389,875,3640,2460,191,15237
3002,45972,88000,39406,22530,51948,10604,927,259383,25406,53630,35658,24646,52384,8978,783,201484,13147,23491,16230,12220,37871,7605,232,110795,4810,5636,2790,1954,20936,5540,58,41717,418867,569522,237776,157871,472062,107508,5404,1969004
3003,1565,2938,1440,977,2306,496,13,9739,1067,2529,1773,1486,2959,588,14,10406,703,1228,958,909,2580,552,11,6930,251,265,167,146,1264,265,0,2366,10741,15880,7802,6089,17513,3902,196,62122
3004,3485,6316,2635,1375,4272,1873,86,20031,1990,3966,2308,1560,4279,1705,76,15888,833,1405,845,748,2754,1017,36,7630,242,309,129,113,1161,415,10,2369,25101,34266,13827,9126,32161,14247,882,129600
3005,275,457,194,106,356,207,4,1592,111,201,119,79,200,152,7,876,29,61,33,33,84,55,0,287,8,11,3,6,26,30,0,87,2189,2945,1165,938,2520,1260,241,11264
3006,953,1725,780,554,1311,355,10,5696,427,823,564,471,1101,295,5,3679,163,274,221,206,589,156,3,1624,56,70,32,30,255,91,0,526,6782,9872,4141,3318,8763,2504,50,35422
3007,15064,26590,11881,6580,17816,4712,294,82947,9728,19073,12029,7586,20558,4487,311,73776,5179,8736,5819,4233,16001,4041,139,44147,1767,1900,1007,786,7955,2869,30,16309,118650,156292,67581,44651,147491,40842,1803,577311
3008,467,812,449,304,624,162,4,2815,288,626,469,419,795,135,3,2744,210,278,264,241,643,109,0,1750,70,93,57,37,420,66,0,738,3523,4620,2333,1959,4734,1153,17,18341
3009,1315,2584,1303,968,1904,492,26,8587,1181,2610,1868,1435,3049,665,25,10837,689,1225,909,768,2517,687,11,6807,232,213,125,110,1036,328,4,2042,8521,13070,6627,5121,13615,3637,106,50695
3010,193,346,177,130,282,75,5,1207,131,240,203,185,369,70,0,1200,57,138,97,107,251,58,0,699,27,36,30,20,153,47,0,313,1512,2206,995,891,2275,628,29,8538
3011,1765,3160,1351,852,2363,771,23,10284,905,1673,1162,974,2152,575,19,7459,456,680,480,495,1429,468,5,4022,159,186,85,83,791,256,7,1564,13143,17792,7297,5567,16923,5672,127,66513
3012,614,1140,591,457,882,240,0,3926,390,909,705,642,1243,221,3,4110,232,404,309,342,888,174,4,2357,87,83,48,53,463,80,0,816,3847,5521,2828,2490,6194,2173,13,23067
3013,355,589,275,165,540,400,15,2341,179,273,138,116,400,285,5,1398,66,82,57,52,193,118,0,563,9,11,12,5,47,29,6,114,2866,3876,1503,1125,3847,2474,57,15746
3014,1506,2751,1292,816,2188,562,9,9126,803,1622,1168,905,2046,484,20,7040,439,745,488,483,1589,385,4,4129,201,205,107,94,815,288,5,1707,11822,16418,7142,5318,16622,5343,96,62768
3015,8861,17873,8487,4646,8920,2470,115,51379,6042,13851,9293,6080,10685,2465,156,48572,3368,6381,4503,3395,9146,2270,93,29154,1135,1373,772,652,4991,1527,19,10471,63668,93744,44527,29240,69391,19153,981,320706
3016,2743,5394,2330,1398,3185,759,23,15833,1618,3616,2491,1931,3532,742,15,13943,977,1762,1316,1175,2974,628,11,8847,387,463,259,226,1840,383,0,3558,22797,32125,13991,10159,28243,6336,134,113791
3017,3436,6495,2825,1714,4465,1259,35,20226,1793,3832,2416,1863,4358,1039,40,15342,928,1421,1075,915,2842,687,15,7887,306,301,196,106,1317,385,8,2620,29069,39867,15855,11018,36366,12224,351,144748
3018,324,649,299,190,429,137,0,2034,235,466,367,296,524,127,0,2006,141,259,191,181,450,125,0,1347,54,66,28,19,231,64,0,461,2381,3205,1633,1283,3124,981,7,12619
3019,446,952,437,245,614,192,0,2889,317,685,437,344,720,205,0,2707,170,300,180,192,494,133,0,1469,50,69,20,27,256,40,0,467,3186,4640,2133,1570,4002,1106,18,16653
4000,7176,13873,7112,4447,7705,3231,44,43589,4661,9482,7203,6094,9077,2939,35,39487,2001,3720,2926,3027,6395,1887,16,19984,642,902,560,439,3361,853,8,6771,41902,63074,32706,24893,47539,19583,964,230664
4001,29116,56749,24990,13346,33011,5516,414,163155,17374,38098,24897,16180,34085,4979,441,136051,9510,17531,12355,9037,26929,4429,138,79925,4111,5175,2732,1997,18903,3037,44,36004,237026,325242,141019,90501,281939,47800,2322,1125852
4002,689,1242,604,333,738,168,8,3780,351,811,596,425,852,173,3,3208,210,350,265,249,647,179,0,1911,76,106,72,51,380,125,0,821,4764,6767,3104,2165,5571,1469,25,23872
4003,387,717,345,180,581,157,4,2373,238,444,360,306,614,131,5,2095,141,278,197,176,530,129,0,1460,72,73,42,39,280,58,0,570,2656,3653,1858,1330,4059,1455,21,15046
4004,267,518,241,144,490,195,4,1861,144,305,211,176,452,147,6,1447,79,126,90,76,339,87,3,803,32,37,21,12,128,24,0,257,1791,2629,1211,917,3221,1662,36,11468
4005,303,711,339,179,430,163,0,2125,202,453,322,249,443,125,0,1800,121,176,148,132,349,92,0,1022,39,63,31,27,228,44,0,436,2355,3657,1750,1209,3010,1092,11,13082
4006,265,513,286,180,503,122,0,1883,143,343,261,232,535,114,0,1624,90,158,138,137,461,91,0,1083,43,58,35,26,228,35,0,431,1835,2856,1434,1122,3451,872,0,11572
4007,747,1420,720,424,641,139,3,4096,679,1775,1412,868,1263,228,6,6227,439,987,772,557,1200,223,4,4180,156,226,140,104,749,148,3,1532,4144,7031,4138,2784,5396,1091,29,24618
4008,434,881,442,271,792,214,0,3040,219,445,312,286,698,133,7,2086,112,249,180,173,554,127,0,1396,47,45,33,35,233,50,0,444,2946,4571,2100,1620,5030,1329,11,17614
5000,7967,13522,6454,4617,10812,7530,125,51021,5072,9009,5901,5457,9688,4381,77,39579,1782,3021,2247,2332,4907,2062,18,16368,505,624,374,330,1808,708,12,4366,47173,64676,30194,25405,62473,48348,1532,279792
5001,835,1659,763,376,793,230,11,4668,506,1123,733,633,903,229,0,4141,307,544,362,385,830,167,3,2598,155,152,95,99,499,116,0,1110,5513,8104,3749,2800,6188,1896,47,28296
5002,479,763,290,152,638,493,9,2824,380,638,332,203,780,336,12,2687,146,184,98,68,248,149,0,882,14,10,9,7,47,29,0,111,3222,4352,1613,1001,3646,2859,123,16818
5003,1558,2936,1366,930,1830,430,14,9065,862,1847,1306,961,1893,384,11,7257,457,834,591,515,1269,286,3,3962,146,247,121,94,644,282,0,1528,11642,16448,7434,5906,13783,3687,89,58989
5004,926,1816,839,467,859,348,10,5276,660,1448,1047,775,1071,314,5,5322,343,634,461,387,784,230,4,2845,131,145,93,74,481,108,0,1036,6441,9444,4627,3378,6296,2068,63,32316
5005,303,520,210,155,284,154,4,1630,151,291,209,186,325,135,0,1302,92,156,111,98,262,122,0,838,39,52,18,17,112,25,0,271,1991,2636,1143,893,1963,1113,23,9751
5006,757,1557,709,462,1055,374,8,4916,453,969,623,561,1048,305,3,3962,234,374,259,265,732,257,9,2128,82,103,67,58,370,147,5,833,5518,8186,3587,2923,7262,3067,42,30597
5007,579,980,381,232,929,498,14,3617,224,418,229,185,544,313,19,1934,73,102,78,64,285,90,0,690,19,17,12,12,107,32,0,199,4419,5831,2191,1741,6118,3156,75,23545
5008,308,501,144,96,406,423,19,1889,94,172,75,59,228,159,11,797,25,26,17,22,60,30,3,187,0,6,0,0,3,3,0,22,2708,3779,1213,1038,3169,3018,94,15017
5009,41780,76015,32610,20220,49478,8856,927,229888,23732,49174,30799,22413,48487,7710,793,183104,11782,21510,14350,11683,34076,7270,263,100938,4712,5921,3038,2225,19129,5574,78,40673,357503,458581,189277,141825,422883,85121,4948,1660133
5010,346,442,150,96,538,530,7,2116,108,159,62,60,240,182,8,813,31,30,17,16,61,44,0,196,9,6,0,0,15,9,0,34,2493,3131,1003,826,3593,3376,56,14480
6000,4107,8457,4599,3133,5233,1683,19,27233,2516,5768,4338,3644,5698,1588,18,23573,1066,2035,1549,1688,3666,1047,10,11056,312,403,228,208,1468,433,5,3057,23732,37305,19797,15472,30164,9888,272,136635
6001,594,1197,539,348,866,164,3,3722,350,697,522,458,1013,175,8,3227,200,356,277,284,772,160,3,2049,70,94,57,47,398,75,0,746,4104,6061,2852,2316,6019,1316,22,22700
6002,669,1163,578,348,1053,189,4,4011,380,887,677,502,1173,219,3,3848,224,401,307,299,928,216,4,2373,103,107,68,54,445,125,0,893,4765,6708,3199,2355,7445,1474,66,26019
6003,4761,9480,4046,2066,5032,997,63,26443,2906,6573,4256,2722,5515,1056,44,23075,1486,3004,1928,1534,4443,913,19,13322,647,815,403,311,2646,502,7,5326,40044,55640,23173,14197,45334,9382,468,188239
6004,1877,3602,1509,829,2420,433,8,10679,1055,2289,1624,1117,2624,469,15,9184,556,1126,777,708,2215,420,3,5808,217,350,183,125,1252,268,3,2392,14943,20872,8993,6122,20252,3994,160,75340
6005,358,736,361,204,481,70,0,2213,239,463,375,325,547,109,0,2063,105,230,164,186,509,104,0,1299,51,72,21,32,264,54,0,493,2195,3413,1728,1249,3148,672,6,12409
7000,2162,3021,1249,750,2667,1958,59,11862,1255,1870,942,621,2316,1374,32,8405,267,327,184,151,693,315,5,1935,43,32,17,15,111,25,0,238,15558,18085,7928,4996,15790,12066,506,74928
7001,710,1133,390,172,890,445,21,3763,372,693,300,180,675,345,7,2573,105,171,82,62,253,91,8,763,21,17,8,7,99,26,0,180,4968,6132,2220,1442,5972,2525,102,23363
7002,2742,4697,1815,984,3382,1925,144,15693,1664,2807,1463,901,3050,1333,77,11293,524,829,454,312,1369,492,24,4000,105,121,43,30,408,130,6,838,22739,29981,10957,7070,28164,14132,2522,115562
8000,31,49,21,9,11,19,0,138,13,33,19,23,8,21,0,114,4,5,7,0,10,4,0,36,0,7,0,0,4,0,0,6,213,281,126,56,116,75,0,866
8001,9140,19156,8030,3646,7520,1724,195,49408,5132,12324,7354,4064,7202,1490,166,37725,2687,5432,3445,2342,5354,1180,44,20487,1095,1399,725,464,3259,827,8,7780,92151,131446,50041,26521,80669,18629,1059,400520
9000,148,267,120,61,143,155,5,893,68,174,85,85,150,111,0,673,29,59,23,37,92,60,0,295,8,6,10,7,17,7,0,60,717,1086,467,331,970,1033,23,4630
