SUA_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
2021,44,70,157,114,122,77,42,5,0,642,35,53,135,95,127,86,28,7,0,572,1299,1473,3705,3435,3581,3108,814,108,3,17530
3000,950,1172,2371,2272,2214,2103,648,83,0,11809,1157,1226,2677,2740,3149,2774,1216,464,107,15503,19403,23172,57095,62088,71881,66375,21490,4061,432,325991
3001,11,28,77,83,77,37,14,0,0,331,10,29,81,70,77,46,29,6,0,343,465,907,2283,1822,1588,1317,418,48,0,8843
3002,2158,5137,11582,9907,8912,6104,1741,216,13,45763,2471,5886,13619,12735,10269,6653,1783,398,101,53911,69312,121729,280543,277806,248233,163945,39898,4363,311,1206143
3003,65,128,261,250,227,183,58,3,0,1168,97,153,297,254,254,175,56,34,6,1325,2147,2709,5945,5782,6186,5212,1347,202,15,29560
3004,161,342,706,739,726,464,152,17,0,3311,159,249,647,558,545,381,117,36,3,2697,4540,5664,14793,15982,16699,12174,3303,389,31,73573
3005,42,60,93,69,57,60,12,5,0,396,27,25,62,65,56,34,4,0,0,278,601,730,1723,1780,1459,1047,234,30,0,7609
3006,50,99,180,154,177,110,26,4,0,795,67,117,240,218,190,135,23,3,0,991,1479,1806,4454,4541,4644,3306,638,60,0,20924
3007,587,1419,3280,3111,2696,1847,551,81,4,13574,781,1628,3885,3797,3318,2280,781,196,46,16713,19900,30556,70622,72661,70505,51018,15382,1930,162,332730
3008,25,60,110,95,69,58,20,3,0,440,31,39,87,66,89,57,27,5,3,398,717,816,1717,1679,1850,1455,349,41,8,8636
3009,31,85,183,194,205,145,33,4,0,874,67,59,136,149,169,137,34,18,9,775,1401,1470,3468,4021,4509,3906,987,103,12,19868
3010,19,17,43,23,27,33,10,0,0,170,9,17,36,41,47,18,10,0,0,187,340,480,1063,883,812,703,187,22,0,4492
3011,153,259,543,417,389,258,68,10,0,2090,116,220,411,350,355,235,75,17,4,1781,2900,3807,8588,8816,8492,6547,1633,160,10,40949
3012,20,39,95,77,87,76,18,5,0,417,31,45,79,93,85,65,32,14,0,447,683,813,1577,1745,2105,1851,421,50,7,9244
3013,24,52,101,70,67,52,19,4,0,386,38,35,88,79,60,37,18,0,0,347,605,948,2481,2045,1721,1363,321,41,6,9535
3014,115,202,417,336,255,219,65,6,0,1619,109,141,332,224,207,145,53,11,4,1222,2704,3641,8075,7593,6967,5612,1301,120,15,36033
3015,413,707,1577,1512,1531,1094,284,31,0,7162,499,702,1587,1669,1653,1147,364,117,22,7759,12562,14476,32115,37376,40788,31131,8570,1031,66,178113
3016,200,315,673,563,505,385,133,26,4,2803,161,279,511,486,429,288,108,37,8,2306,4807,6741,14488,13460,13031,10080,2742,370,38,65757
3017,258,452,880,683,592,422,142,30,0,3456,242,380,729,607,569,426,126,21,0,3090,6264,10075,19667,17771,17128,12781,3198,304,9,87187
3018,28,32,55,49,34,35,15,3,0,252,19,25,66,47,50,49,33,9,4,304,529,604,1271,1079,1260,1232,370,57,6,6405
3019,28,26,70,70,90,42,25,0,0,348,28,31,63,64,60,50,19,6,0,325,747,743,1653,1860,2010,1659,431,44,4,9158
4000,258,409,813,766,941,794,304,37,3,4322,296,328,670,720,929,886,428,187,33,4476,6810,8799,20695,22867,27087,26711,9191,1716,162,124033
4001,1005,2751,6323,5366,5277,4016,1278,181,11,26219,839,2254,5012,4660,4168,3041,974,313,73,21342,34232,63513,148612,144149,132949,102214,26560,3098,264,655585
4002,31,55,139,124,125,94,26,5,0,590,23,46,125,73,100,90,31,11,0,498,1094,1187,2785,2630,2914,2481,650,70,11,13819
4003,16,41,67,50,51,44,15,4,0,291,15,22,55,46,52,38,16,0,0,248,463,683,1501,1265,1399,1313,337,38,0,7004
4004,24,26,68,44,39,35,9,0,0,236,13,18,39,40,23,38,11,6,0,186,363,446,1331,1008,1113,1052,250,23,0,5578
4005,24,46,70,49,74,43,21,0,0,325,9,26,49,49,41,48,15,6,0,241,511,598,1468,1491,1542,1302,346,49,6,7323
4006,14,20,50,51,45,48,16,0,0,231,9,16,27,29,32,24,7,4,0,151,412,574,1113,947,1197,1027,205,18,0,5491
4007,15,29,77,70,88,99,39,3,0,424,18,9,29,44,59,51,31,23,8,268,570,595,1297,1616,1970,2154,827,132,8,9176
4008,13,29,57,46,62,52,17,0,0,280,21,23,45,55,60,60,7,7,0,288,516,795,1974,1712,2094,1687,308,32,0,9116
5000,299,426,918,886,878,794,234,20,3,4469,342,428,988,1008,1194,1109,477,171,29,5751,6047,9367,27399,30235,32807,30086,9723,1719,172,147559
5001,48,70,135,130,110,123,47,3,0,667,53,50,94,93,110,89,29,11,3,536,1214,1167,2693,2937,3418,3065,956,119,18,15601
5002,10,31,73,87,59,45,20,0,0,322,23,32,91,123,82,58,21,10,0,431,392,532,1995,2098,1808,1535,585,85,0,9046
5003,79,168,318,275,309,216,60,9,0,1427,92,125,279,286,236,183,63,11,0,1275,2486,2834,6743,7645,7672,5839,1489,124,13,34843
5004,52,70,130,143,173,102,46,3,0,722,51,54,91,142,146,108,48,17,6,669,1406,1111,2916,4074,4406,3468,1156,138,19,18679
5005,25,32,69,54,73,37,13,0,0,300,18,33,37,37,47,46,21,9,0,251,372,439,1002,1089,1226,1058,291,52,0,5530
5006,70,90,164,144,135,110,38,12,0,759,54,53,127,119,140,100,45,9,4,660,1310,1386,3197,3400,3804,3112,886,105,14,17211
5007,56,89,165,152,140,79,21,0,0,708,52,66,152,142,131,101,35,4,0,680,884,1445,3629,3358,3088,2467,593,51,0,15512
5008,27,33,105,99,66,29,9,0,0,363,26,50,132,147,101,63,13,0,0,524,488,667,2498,2749,2024,1169,243,13,0,9842
5009,2114,4452,10025,8788,7577,5599,1806,238,15,40612,2258,4799,11572,11392,9591,6563,2096,461,99,48846,56872,95792,228225,235857,209408,153140,42645,4812,350,1027100
5010,20,25,81,74,48,34,10,0,0,293,17,35,88,95,78,57,8,0,0,392,361,543,2396,2346,1683,1207,227,4,0,8763
6000,152,245,515,491,510,450,146,13,0,2519,119,179,379,431,492,464,219,87,20,2391,3461,5016,12465,13321,15733,15455,4566,718,69,70812
6001,22,60,129,100,95,71,15,0,0,488,15,25,65,59,48,55,25,8,4,304,751,1105,2328,2275,2316,2147,506,57,6,11502
6002,25,65,149,111,124,82,20,3,0,576,21,35,73,68,66,59,23,16,3,361,864,1249,3048,2545,2804,2322,579,92,8,13510
6003,134,373,1138,869,718,578,184,38,0,4042,105,246,808,513,490,366,140,38,8,2707,4985,9420,28802,23230,21325,16610,4632,538,38,109576
6004,84,200,441,323,345,280,84,10,0,1767,58,127,283,218,207,162,56,18,9,1135,2499,4039,10254,8514,8714,6857,1807,177,24,42876
6005,6,29,51,45,48,42,16,3,0,241,12,14,36,28,36,35,17,3,0,173,410,496,1141,1141,1379,1293,310,36,3,6214
7000,52,88,247,232,218,180,57,6,0,1080,91,132,274,247,253,190,77,11,0,1275,1214,2400,6905,6462,6405,5462,1593,160,7,30608
7001,34,50,159,155,98,104,27,3,0,632,20,27,148,127,96,66,32,9,0,530,650,877,3816,3184,2655,2373,720,62,0,14334
7002,141,226,730,629,464,372,119,11,0,2684,140,326,818,653,490,362,128,20,8,2938,3178,6307,19502,16504,13361,9641,2810,255,20,71567
8000,0,6,4,0,6,3,0,0,0,23,3,4,0,0,0,3,0,0,0,17,42,47,113,132,136,86,37,6,0,595
8001,517,1039,1959,1649,1407,905,326,39,0,7849,241,648,1784,1274,888,511,148,40,14,5545,14031,28334,69879,64071,51956,31439,8006,918,81,268706
9000,0,0,4,17,13,20,10,3,0,67,4,14,15,19,18,26,20,5,0,124,136,177,451,462,524,572,247,44,3,2614
