SUA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
1010,1309,2078,3387,25551,31740,57296,7,8,20,2273,2801,5076,128,146,267,34521,40009,74530,113,170,286,1175,1253,2424,569,802,1370,323,369,689,294,363,660,176,163,339,1506,1658,3166,1368,1769,3132,3098,3706,6802,250,373,621,630,712,1346,3469,4694,8157,3549,4120,7671,112,147,267,79124,95002,174119,1177,1031,2210,809,695,1501,224,244,462,57,43,110,279,264,542,407,571,982,749,882,1629,70517,64812,135337,576,453,1031,280,481,759,71375,65753,137126,10712,11115,21828,176,174,346,165650,176976,342625
1011,327,473,804,4884,5958,10843,0,0,0,596,685,1284,5,7,14,5962,7084,13043,24,32,52,84,85,174,223,285,508,35,41,79,77,103,179,14,17,32,145,189,334,545,683,1227,944,1124,2073,56,101,162,105,139,246,734,1033,1769,763,1015,1779,17,21,38,15222,18619,33838,180,166,351,241,201,451,34,29,63,17,13,35,948,890,1833,324,421,746,1293,1322,2616,15678,15127,30803,133,94,229,70,131,199,15872,15350,31226,2859,2851,5711,143,129,274,36176,39155,75326
1012,160,195,354,3145,3918,7067,0,0,3,306,330,635,7,3,8,4893,5827,10719,10,11,25,53,63,111,29,38,63,15,16,25,43,47,96,14,11,30,46,49,98,148,186,330,605,689,1291,39,61,103,47,53,100,630,841,1471,442,523,971,3,4,7,10477,12666,23149,643,585,1224,275,235,511,12,12,22,12,9,22,166,136,298,20,48,67,200,190,384,5939,5426,11369,47,24,76,14,28,39,6000,5481,11484,1938,1880,3817,27,25,54,19728,21266,40994
1013,59,105,167,2249,2818,5067,0,0,0,114,134,248,0,0,0,1966,2364,4327,14,17,26,33,31,59,85,91,179,11,25,38,17,24,42,8,7,18,69,96,165,25,52,77,272,351,619,27,35,66,14,21,36,303,475,778,153,215,365,4,10,14,5367,6768,12136,69,65,130,33,24,60,0,5,5,7,4,15,8,4,10,16,18,35,32,22,59,3707,3469,7178,26,24,46,16,24,36,3748,3515,7264,687,746,1435,10,17,24,10011,11266,21276
1014,98,120,217,2349,2772,5119,0,0,0,133,144,274,89,83,176,2960,3322,6281,9,10,19,103,84,187,42,43,83,8,16,27,22,25,43,0,5,10,28,38,66,56,55,110,199,217,421,33,44,80,25,34,59,341,397,736,173,174,348,6,3,13,6566,7476,14047,155,148,308,104,80,179,3,5,7,0,0,0,29,26,56,44,59,105,75,82,161,4057,3697,7751,33,36,74,19,23,40,4114,3751,7863,1373,827,2205,18,15,34,12510,12507,25022
1015,32,60,86,1822,2169,3998,0,0,0,98,118,226,0,0,0,1611,1928,3539,3,0,3,12,12,31,58,71,126,7,16,28,13,20,29,0,0,0,11,19,23,51,89,142,382,503,884,39,49,90,15,24,48,213,260,466,162,182,336,0,0,0,4498,5471,9972,35,35,66,28,21,46,0,0,0,5,5,10,29,30,57,24,35,60,49,70,122,3799,3531,7335,20,18,40,11,21,31,3833,3571,7407,848,787,1637,45,8,50,9359,10023,19386
1016,67,99,155,1008,1164,2168,0,0,3,75,90,170,41,38,76,3462,3746,7206,10,8,18,21,13,32,32,54,84,71,68,145,36,26,61,14,9,24,67,63,131,143,162,305,205,260,464,16,21,33,105,129,236,347,447,793,201,241,441,0,4,9,5853,6546,12400,710,589,1301,384,278,660,0,4,4,3,0,3,439,372,808,24,14,40,464,390,853,2006,1770,3773,14,16,31,3,9,9,2028,1792,3814,853,727,1584,85,34,119,10440,10462,20896
1017,22,41,65,1133,1371,2497,0,0,0,46,60,108,0,0,0,1409,1651,3059,0,5,4,19,15,33,46,72,122,9,9,15,0,13,10,0,0,3,21,30,52,56,66,118,150,158,309,37,52,87,127,150,271,293,401,694,124,147,264,0,0,3,3462,4193,7647,19,14,36,10,9,21,5,0,5,8,21,31,12,5,18,22,28,48,39,55,89,2825,2678,5507,13,10,22,7,7,18,2843,2696,5545,1474,804,2280,4,3,10,7881,7817,15698
1018,140,192,334,1522,1890,3413,0,0,0,99,127,228,0,0,0,2579,3004,5584,5,15,24,26,24,52,52,66,120,23,21,40,17,24,39,0,5,6,42,33,83,136,189,323,494,578,1068,24,37,67,99,102,195,430,563,994,392,452,846,48,51,99,6004,7191,13190,71,74,149,65,62,131,12,13,23,8,11,16,52,44,95,93,154,254,150,211,359,6148,5906,12049,68,58,124,35,37,75,6256,6001,12255,1358,1370,2730,34,15,53,14087,15142,29225
1019,44,66,108,907,1085,1994,0,0,0,89,84,174,86,84,172,1210,1372,2581,0,0,0,21,23,49,27,38,66,10,19,29,10,0,11,0,0,0,19,19,35,41,51,97,184,192,373,14,28,44,19,20,32,280,347,629,94,93,189,8,8,11,3026,3457,6478,42,39,75,30,18,50,5,6,14,0,0,3,4,5,17,21,38,61,32,51,80,2240,2024,4258,26,32,60,9,18,29,2272,2067,4340,809,422,1222,0,0,0,6251,6122,12376
1020,34,63,99,1360,1475,2838,0,0,0,163,178,346,0,0,0,1373,1422,2800,4,9,12,38,30,71,20,20,38,5,7,9,27,14,38,0,0,0,26,31,52,58,66,118,158,178,335,17,23,36,11,7,16,259,306,567,197,208,403,7,0,3,3713,3973,7684,16,15,28,15,11,33,5,10,16,4,0,3,3,4,0,11,24,32,15,25,41,3209,2836,6043,21,16,38,7,20,23,3243,2875,6114,416,342,765,14,3,14,7468,7328,14796
1021,67,97,167,1861,2325,4183,0,0,0,199,252,451,4,3,4,2049,2340,4394,0,10,9,54,36,100,81,100,179,23,19,38,18,27,46,0,3,8,65,95,153,84,98,186,231,274,504,56,78,135,1122,1320,2446,337,449,793,484,566,1052,81,103,183,6758,8093,14848,38,31,77,44,33,78,12,10,23,0,4,4,9,10,20,25,39,65,40,51,92,5483,4938,10421,52,43,95,24,56,72,5555,5039,10592,753,773,1534,4,10,15,13275,14139,27415
1022,19,49,66,1091,1318,2408,0,0,0,44,61,104,0,0,0,1510,1601,3109,0,0,0,20,20,41,28,42,68,0,0,8,3,8,12,0,0,0,11,8,20,56,59,114,155,172,327,7,11,18,3,10,14,146,193,336,92,120,216,0,4,10,3174,3636,6812,42,33,75,21,16,34,7,4,14,4,0,5,20,23,43,12,16,29,33,42,75,2490,2246,4742,21,12,36,6,11,17,2515,2273,4794,472,423,900,0,4,4,6294,6481,12764
1023,36,59,90,1325,1531,2853,0,0,0,77,82,156,3,5,4,1244,1256,2503,0,0,3,11,18,27,25,38,65,6,3,11,0,0,5,10,6,17,15,17,29,32,30,59,124,111,235,7,7,14,14,14,35,117,143,262,105,100,201,5,9,14,3115,3373,6489,36,27,64,32,21,59,4,4,7,6,0,0,20,18,42,11,12,25,35,33,65,2441,2000,4437,19,10,29,3,11,18,2463,2022,4485,744,417,1156,7,4,8,6458,5962,12421
1024,88,147,230,2515,3121,5630,0,0,0,151,175,323,0,0,0,2621,3223,5838,10,14,27,120,130,250,39,61,104,8,8,19,24,54,76,3,6,7,23,37,65,215,291,507,391,479,871,20,36,54,16,21,39,459,564,1016,231,279,508,3,10,14,6859,8498,15359,82,52,139,29,27,58,10,10,23,5,0,7,8,9,14,26,32,58,32,43,84,5562,5023,10586,30,24,63,20,31,44,5615,5077,10692,806,792,1600,11,9,22,13540,14661,28200
1025,1684,2437,4117,35394,42511,77906,4,0,4,3766,4189,7955,188,181,372,44940,52096,97038,122,169,285,2255,2327,4577,568,782,1346,380,443,818,327,455,780,109,109,217,1290,1510,2802,2426,2811,5238,4730,5588,10317,643,854,1491,766,917,1684,7417,10516,17922,5336,6237,11569,254,268,519,110901,131952,242856,2022,1754,3776,2381,1892,4274,148,168,318,52,61,112,499,395,898,517,910,1420,1067,1366,2431,111121,102697,213823,956,760,1715,326,554,882,112404,104017,216420,16254,13828,30081,231,256,488,247098,257659,504762
1026,141,223,364,2875,3410,6284,0,0,0,308,328,635,0,0,0,3110,3626,6736,25,30,56,98,84,181,86,105,190,34,37,66,29,33,59,10,5,13,39,56,92,150,210,361,461,557,1019,63,53,113,16,21,40,418,543,958,491,535,1027,6,10,15,8206,9633,17843,224,191,413,88,83,168,16,18,37,8,9,13,47,34,80,65,91,152,116,141,253,8100,7520,15622,48,36,81,22,35,53,8161,7596,15763,2414,1511,3923,27,15,39,19394,19405,38803
1027,163,188,356,2975,3601,6578,0,0,0,230,283,517,119,133,250,5254,5884,11141,12,21,33,95,98,193,67,74,142,33,30,56,35,31,69,16,6,24,225,231,458,226,310,540,411,475,884,28,40,66,28,34,60,847,1110,1952,523,588,1110,6,3,10,11131,12954,24082,265,227,501,152,136,288,19,8,29,5,0,7,65,48,122,47,82,129,120,136,257,7243,6644,13885,53,47,101,16,28,42,7317,6716,14033,1407,1443,2850,33,24,60,20612,21845,42452
1028,162,247,406,4003,5135,9131,0,0,0,201,237,442,4,0,6,4892,6077,10965,14,21,31,84,86,166,71,96,163,16,23,34,59,71,132,26,26,52,235,247,480,213,277,490,615,769,1379,70,99,166,101,150,252,655,929,1580,639,793,1433,15,19,38,11895,15049,26949,190,174,359,79,81,162,18,17,38,9,4,8,46,29,75,68,100,166,114,138,256,9848,9303,19144,95,53,147,38,67,108,9973,9425,19394,1680,1686,3367,43,38,85,24160,26854,51016
1029,45,76,121,1806,1980,3781,0,0,0,105,114,219,70,67,135,1857,1862,3714,0,0,3,10,13,21,17,26,43,5,5,10,20,16,36,0,0,0,41,41,82,71,67,141,140,120,261,8,15,26,14,14,31,263,314,571,152,154,307,27,26,50,4614,4824,9439,46,39,85,31,20,54,0,0,0,0,0,0,3,3,6,21,18,40,24,24,50,3471,2853,6325,27,11,41,10,8,13,3504,2876,6377,732,398,1131,7,5,17,9011,8266,17273
1030,53,87,145,1709,2101,3811,0,0,0,107,142,249,0,0,0,1659,1971,3632,7,0,8,130,117,244,61,87,145,10,12,24,38,36,72,0,6,8,20,23,45,52,63,110,193,218,408,17,27,47,4,15,25,172,270,448,186,222,409,6,4,12,4383,5314,9689,21,13,33,34,31,67,4,11,18,8,3,8,0,0,3,20,39,58,30,41,73,4396,4126,8520,33,22,52,19,31,47,4449,4171,8620,675,640,1312,10,12,22,9651,10321,19973
1031,84854,111618,196466,187374,218782,406159,7310,7873,15185,25629,29204,54828,1546,1600,3146,532645,584406,1117051,1593,1837,3435,84743,89289,174033,4646,6038,10687,5181,5533,10716,3177,3878,7060,14304,14544,28848,10251,11401,21650,20190,24096,44284,33586,38684,72269,1569,2104,3675,4542,5493,10034,30225,37767,67992,57735,64930,122665,1698,1868,3564,1027951,1149328,2177280,131421,119211,250629,170401,157215,327613,18025,19161,37195,170,191,364,20325,17792,38117,12832,14206,27041,33335,32190,65526,740581,678484,1419069,7296,5792,13089,2794,4396,7195,750674,688675,1439350,164018,152091,316107,6287,6776,13060,2386968,2436252,4823218
1032,157,199,362,4334,5257,9590,0,0,0,196,227,425,60,67,133,4520,5146,9663,10,10,19,36,23,59,74,102,174,27,26,50,16,27,48,8,9,16,80,75,155,196,249,439,485,634,1121,42,51,100,45,41,84,599,797,1394,464,497,962,17,13,33,11219,13250,24471,251,240,492,184,133,317,3,3,12,15,12,26,87,74,161,41,68,108,139,158,294,7503,6742,14245,46,38,83,16,22,42,7564,6803,14371,2043,1959,4005,47,21,59,21614,22765,44379
1033,63,108,169,2679,3119,5802,0,0,0,259,291,549,0,0,0,1802,2119,3919,6,20,27,39,35,73,65,93,154,33,42,76,20,27,37,5,7,14,50,49,102,85,102,191,362,465,827,75,120,197,49,68,120,419,649,1070,304,377,682,5,8,11,6256,7593,13848,43,51,92,48,57,104,3,12,19,11,10,22,12,16,30,23,46,66,46,71,118,5068,4800,9872,25,25,52,19,29,49,5120,4850,9966,1205,1157,2369,6,5,15,12789,13910,26700
1034,80,126,204,1350,1657,3006,0,0,0,167,226,396,0,0,0,1540,1839,3383,3,6,3,61,46,108,31,43,72,9,8,10,15,17,35,0,0,0,11,21,32,26,34,59,183,201,376,5,15,18,6,13,19,242,323,563,129,173,307,7,8,17,3791,4617,8412,17,24,42,20,8,31,7,9,19,0,0,0,0,0,0,20,22,41,20,22,42,3706,3439,7140,23,23,43,14,26,42,3746,3484,7231,586,552,1143,6,8,16,8282,8848,17131
1035,182,216,397,3893,4836,8731,0,0,0,339,361,696,94,93,194,7405,8431,15841,37,35,69,90,87,178,57,80,137,34,31,67,217,286,507,94,104,199,168,159,328,238,303,543,919,1156,2075,40,38,77,78,74,148,798,1105,1904,553,624,1180,5,14,18,15066,17814,32884,351,271,624,333,284,617,6,5,19,3,10,14,110,87,193,448,527,976,561,622,1181,9469,8831,18301,80,55,137,31,41,70,9581,8920,18504,1870,1758,3629,92,32,125,28053,29926,57977
1036,1175,1898,3076,18625,22769,41395,5,8,13,1136,1327,2460,152,157,308,33254,37481,70740,109,143,255,6066,6082,12148,536,711,1250,151,194,350,418,535,954,249,225,466,430,507,937,1127,1321,2446,2394,2847,5234,238,357,591,147,207,348,3110,4246,7357,4080,4469,8544,80,80,162,72306,83665,155969,1277,988,2263,3347,3180,6523,107,106,210,25,29,53,174,162,332,353,533,885,549,721,1273,60603,54857,115461,539,460,1001,223,353,580,61364,55667,117034,8995,8662,17659,135,148,284,149257,155042,304302
2000,2114,2941,5050,35603,41412,77023,0,0,5,3479,3832,7308,286,268,550,62225,66796,129022,497,638,1129,1817,1753,3576,775,1028,1807,336,361,692,2380,2717,5099,68,51,117,770,820,1594,1992,2228,4219,8047,8490,16540,522,739,1258,527,604,1136,16544,20117,36663,6342,6990,13333,231,262,488,142447,159110,301555,988,830,1820,1251,947,2195,269,290,554,40,32,75,547,486,1029,816,1291,2107,1402,1806,3212,168465,154189,322652,1044,845,1890,495,835,1333,169998,155873,325871,35100,30472,65572,386,330,716,353956,352592,706549
2001,64,95,164,876,1218,2097,0,0,0,100,131,236,18,7,26,2762,3118,5878,5,9,13,182,162,341,38,40,78,17,23,36,36,57,95,0,0,0,36,45,76,69,97,162,116,197,304,15,14,27,14,28,44,268,413,682,234,247,481,3,4,12,4796,5810,10606,200,161,362,108,89,199,8,4,6,0,0,0,266,251,519,24,46,73,294,296,590,5754,5416,11174,44,37,84,16,20,34,5812,5479,11286,674,611,1289,10,10,20,11960,12567,24519
2002,55,74,122,914,1092,2005,0,0,0,88,103,198,66,69,135,1085,1412,2495,4,7,7,15,14,33,25,41,69,14,14,25,12,20,24,0,3,7,12,9,22,73,102,173,149,169,315,19,26,45,23,30,51,246,349,596,140,159,299,3,0,8,2886,3614,6500,35,37,78,40,33,70,0,0,4,0,0,0,21,21,43,17,39,50,33,66,98,3682,3644,7322,18,27,44,13,15,27,3712,3680,7396,673,706,1378,4,0,8,7442,8212,15656
2003,390,472,861,3759,4954,8715,0,0,0,400,446,847,124,121,242,10772,12964,23737,324,451,778,233,242,466,123,165,288,43,67,107,209,249,457,44,36,80,112,148,259,351,405,754,919,1169,2090,89,140,229,73,100,176,2086,3042,5132,915,1086,2002,18,29,47,20583,25822,46400,724,585,1315,417,346,763,28,28,61,10,5,21,332,308,643,160,276,433,502,591,1093,26957,26243,53207,179,158,338,73,141,213,27215,26537,53753,3632,3485,7122,58,47,102,53541,57918,111465
2004,589,747,1341,4194,5536,9729,0,0,4,1096,1279,2378,85,89,178,8915,10558,19470,63,75,138,174,142,312,110,132,241,69,88,162,136,166,306,57,56,109,85,112,195,501,617,1116,720,851,1572,60,98,154,141,141,281,2028,2858,4889,992,1220,2209,14,10,25,19433,24029,43468,434,371,808,398,351,744,22,28,47,10,4,15,213,177,392,112,200,313,338,381,721,24372,23853,48224,175,124,297,51,96,146,24601,24071,48670,3433,3339,6776,46,40,88,49302,53363,102663
2005,54,81,134,326,480,803,0,0,0,28,41,69,48,41,92,382,429,814,19,19,36,22,24,38,5,11,13,0,0,0,10,17,22,0,0,0,0,13,15,29,34,65,54,76,135,16,18,34,0,4,0,161,270,429,81,103,186,5,6,11,1172,1584,2765,10,15,26,9,9,17,8,21,27,4,0,8,10,10,18,25,44,72,38,54,92,3218,3401,6619,32,27,62,16,40,57,3265,3469,6736,988,504,1494,10,5,19,5564,5746,11309
2006,48,50,91,461,574,1031,0,0,0,44,54,102,0,0,0,1516,1638,3153,0,3,3,20,18,31,14,12,28,8,5,9,9,25,30,5,0,11,11,12,25,49,55,107,176,220,392,11,23,33,4,0,4,277,414,690,70,100,170,3,5,4,2664,3161,5832,25,18,41,49,22,73,3,0,0,0,0,0,13,6,22,8,15,24,20,22,44,2889,2713,5600,14,8,16,3,8,9,2906,2724,5634,453,400,844,7,9,13,6175,6410,12583
2007,80,85,159,1314,1602,2915,0,0,0,97,135,230,0,0,0,2373,2764,5139,14,23,31,29,29,60,17,27,36,8,8,14,41,44,82,9,5,9,17,20,37,65,78,141,250,303,554,19,27,46,4,6,12,561,823,1379,134,149,282,4,5,9,4953,6039,10989,60,53,111,28,18,51,0,6,6,0,0,3,19,14,38,9,23,28,30,43,70,4812,4560,9374,22,19,36,6,18,27,4840,4593,9435,834,786,1622,15,6,19,10833,11626,22464
