SUA_CODE_2021,M_Part_a_r_mar_0_14,M_Part_a_r_mar_15_24,M_Part_a_r_mar_25_34,M_Part_a_r_mar_35_44,M_Part_a_r_mar_45_54,M_Part_a_r_mar_55_64,M_Part_a_r_mar_65_74,M_Part_a_r_mar_75_84,M_Part_a_r_mar_85ov,M_Part_a_r_mar_Tot,M_Part_de_f_mar_0_14,M_Part_de_f_mar_15_24,M_Part_de_f_mar_25_34,M_Part_de_f_mar_35_44,M_Part_de_f_mar_45_54,M_Part_de_f_mar_55_64,M_Part_de_f_mar_65_74,M_Part_de_f_mar_75_84,M_Part_de_f_mar_85ov,M_Part_de_f_mar_Tot,M_LPar_0_14_yr,M_LPar_15_24_yr,M_LPar_25_34_yr,M_LPar_35_44_yr,M_LPar_45_54_yr,M_LPar_55_64_yr,M_LPar_65_74_yr,M_LPar_75_84_yr,M_LPar_85_yr_over,M_LPar_Tot,M_Child_u_15_0_14_yr,M_Child_u_15_15_24_yr,M_Child_u_15_25_34_yr,M_Child_u_15_35_44_yr,M_Child_u_15_45_54_yr,M_Child_u_15_55_64_yr,M_Child_u_15_65_74_yr,M_Child_u_15_75_84_yr,M_Child_u_15_85_yr_over,M_Child_u_15_Tot,M_Dep_stu15_24_0_14,M_Dep_stu15_24_15_24,M_Dep_stu15_24_25_34,M_Dep_stu15_24_35_44,M_Dep_stu15_24_45_54,M_Dep_stu15_24_55_64,M_Dep_stu15_24_65_74,M_Dep_stu15_24_75_84,M_Dep_stu15_24_85_over,M_Dep_stu15_24_Tot,M_Non_dep_child_0_14,M_Non_dep_child_15_24,M_Non_dep_child_25_34,M_Non_dep_child_35_44,M_Non_dep_child_45_54,M_Non_dep_child_55_64,M_Non_dep_child_65_74,M_Non_dep_child_75_84,M_Non_dep_child_85_over,M_Non_dep_child_Tot,M_Oth_rel_ind_0_14,M_Oth_rel_ind_15_24,M_Oth_rel_ind_25_34,M_Oth_rel_ind_35_44,M_Oth_rel_ind_45_54,M_Oth_rel_ind_55_64,M_Oth_rel_ind_65_74,M_Oth_rel_ind_75_84,M_Oth_rel_ind_85ov,M_Oth_rel_ind_Tot,M_Unrel_ind_liv_fam_hh_0_14,M_Unre_ind_liv_fam_hh_15_24,M_Unre_ind_liv_fam_hh_25_34,M_Unre_ind_liv_fam_hh_35_44,M_Unre_ind_liv_fam_hh_45_54,M_Unre_ind_liv_fam_hh_55_64,M_Unre_ind_liv_fam_hh_65_74,M_Unre_ind_liv_fam_hh_75_84,M_Unrel_ind_liv_fam_hh_85ov,M_Unrel_ind_liv_fam_hh_Tot,M_Group_hh_mem_0_14,M_Group_hh_mem_15_24,M_Group_hh_mem_25_34,M_Group_hh_mem_35_44,M_Group_hh_mem_45_54,M_Group_hh_mem_55_64,M_Group_hh_mem_65_74,M_Group_hh_mem_75_84,M_Group_hh_mem_85ov,M_Group_hh_mem_Tot,M_LPer_0_14_yr,M_LPer_15_24_yr,M_LPer_25_34_yr,M_LPer_35_44_yr,M_LPer_45_54_yr,M_LPer_55_64_yr,M_LPer_65_74_yr,M_LPer_75_84_yr,M_LPer_85_yr_over,M_LPer_Tot,M_Vis_from_within_Aus_0_14,M_Vis_from_within_Aus_15_24,M_Vis_from_within_Aus_25_34,M_Vis_from_within_Aus_35_44,M_Vis_from_within_Aus_45_54,M_Vis_from_within_Aus_55_64,M_Vis_from_within_Aus_65_74,M_Vis_from_within_Aus_75_84,M_Vis_from_within_Aus_85ov,M_Vis_from_within_Aus_Tot,M_OS_vis_0_14_yr,M_OS_vis_15_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_Overseas_v_Total,M_Tot_0_14_yr,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Part_r_mar_0_14,F_Part_r_mar_15_24,F_Part_r_mar_25_34,F_Part_r_mar_35_44,F_Part_r_mar_45_54,F_Part_r_mar_55_64,F_Part_r_mar_65_74,F_Part_r_mar_75_84,F_Part_r_mar_85ov,F_Part_r_mar_Tot,F_Part_de_f_mar_0_14,F_Part_de_f_mar_15_24,F_Part_de_f_mar_25_34,F_Part_de_f_mar_35_44,F_Part_de_f_mar_45_54,F_Part_de_f_mar_55_64,F_Part_de_f_mar_65_74,F_Part_de_f_mar_75_84,F_Part_de_f_mar_85ov,F_Part_de_f_mar_Tot,F_LPar_0_14_yr,F_LPar_15_24_yr,F_LPar_25_34_yr,F_LPar_35_44_yr,F_LPar_45_54_yr,F_LPar_55_64_yr,F_LPar_65_74_yr,F_LPar_75_84_yr,F_LPar_85_yr_over,F_LPar_Tot,F_Child_u_15_0_14_yr,F_Child_u_15_15_24_yr,F_Child_u_15_25_34_yr,F_Child_u_15_35_44_yr,F_Child_u_15_45_54_yr,F_Child_u_15_55_64_yr,F_Child_u_15_65_74_yr,F_Child_u_15_75_84_yr,F_Child_u_15_85_yr_over,F_Child_u_15_Tot,F_Dep_stu15_24_0_14,F_Dep_stu15_24_15_24,F_Dep_stu15_24_25_34,F_Dep_stu15_24_35_44,F_Dep_stu15_24_45_54,F_Dep_stu15_24_55_64,F_Dep_stu15_24_65_74,F_Dep_stu15_24_75_84,F_Dep_stu15_24_85_over,F_Dep_stu15_24_Tot,F_Non_dep_child_0_14,F_Non_dep_child_15_24,F_Non_dep_child_25_34,F_Non_dep_child_35_44,F_Non_dep_child_45_54,F_Non_dep_child_55_64,F_Non_dep_child_65_74,F_Non_dep_child_75_84,F_Non_dep_child_85_over,F_Non_dep_child_Tot,F_Oth_rel_ind_0_14,F_Oth_rel_ind_15_24,F_Oth_rel_ind_25_34,F_Oth_rel_ind_35_44,F_Oth_rel_ind_45_54,F_Oth_rel_ind_55_64,F_Oth_rel_ind_65_74,F_Oth_rel_ind_75_84,F_Oth_rel_ind_85ov,F_Oth_rel_ind_Tot
1012,..,24,946,1274,1050,1116,949,579,138,6077,..,252,678,274,240,175,72,29,5,1723,..,15,56,84,99,82,34,13,9,390,3925,..,..,..,..,..,..,..,..,3925,..,611,..,..,..,..,..,..,..,611,..,657,325,125,97,34,13,0,0,1247,..,147,108,27,40,42,46,14,8,432,..,93,131,36,21,16,9,5,0,311,..,130,292,64,47,55,35,14,7,646,..,82,276,211,264,304,283,174,66,1669,88,123,95,60,39,38,31,20,8,491,0,0,5,3,0,3,0,0,0,17,4010,2136,2910,2154,1900,1868,1475,850,236,17544,..,57,1245,1323,1062,1129,885,457,62,6225,..,349,698,301,217,166,71,12,3,1822,..,99,381,395,371,167,90,71,40,1602,3922,..,..,..,..,..,..,..,..,3922,..,639,..,..,..,..,..,..,..,639,..,456,151,52,46,30,9,0,0,745,..,111,71,15,65,99,80,54,24,504
1013,..,5,124,367,431,683,1143,863,211,3820,..,61,154,120,127,156,117,63,13,810,..,4,15,39,50,48,20,12,18,200,1180,..,..,..,..,..,..,..,..,1180,..,247,..,..,..,..,..,..,..,247,..,302,154,86,70,46,12,0,0,679,..,38,29,13,13,16,36,17,23,186,..,25,18,22,12,13,4,0,0,107,..,26,43,37,38,57,59,34,9,298,..,22,64,86,168,274,407,242,151,1420,29,53,32,20,30,23,20,7,6,210,0,0,0,0,0,0,0,0,0,4,1203,791,642,792,948,1319,1823,1239,415,9169,..,9,192,415,466,803,1155,690,127,3850,..,80,191,129,154,143,112,29,3,842,..,27,118,170,194,111,72,61,57,808,1166,..,..,..,..,..,..,..,..,1166,..,258,..,..,..,..,..,..,..,258,..,209,75,35,45,53,7,0,0,418,..,38,11,6,13,46,48,33,28,220
1014,..,12,433,682,622,774,691,408,108,3731,..,133,382,196,150,111,64,24,0,1065,..,4,27,52,78,49,18,21,7,254,2137,..,..,..,..,..,..,..,..,2137,..,381,..,..,..,..,..,..,..,381,..,484,216,98,64,41,5,0,0,907,..,58,54,23,28,22,26,13,5,223,..,35,46,21,15,10,5,3,0,128,..,75,93,37,36,48,37,12,7,342,..,52,143,112,221,292,272,176,70,1341,24,45,49,32,17,19,21,8,6,220,0,0,5,0,0,0,3,0,0,13,2158,1281,1435,1262,1233,1363,1144,666,197,10739,..,25,572,706,700,753,647,311,62,3774,..,200,372,188,175,88,52,9,3,1096,..,46,192,240,220,123,69,57,34,980,2018,..,..,..,..,..,..,..,..,2018,..,348,..,..,..,..,..,..,..,348,..,352,121,42,38,21,5,0,0,576,..,46,23,13,28,42,63,34,8,264
1015,..,15,220,384,432,557,601,414,115,2735,..,133,264,127,113,85,58,18,8,806,..,5,33,47,56,38,7,10,11,212,1743,..,..,..,..,..,..,..,..,1743,..,305,..,..,..,..,..,..,..,305,..,372,155,80,51,45,7,0,0,705,..,55,34,19,23,26,35,12,4,200,..,36,25,18,34,9,7,0,0,136,..,39,57,26,37,51,55,12,6,282,..,41,85,110,155,226,229,148,69,1060,38,43,40,46,38,33,20,8,3,268,3,0,0,0,0,0,0,0,0,3,1781,1044,912,859,933,1063,1015,623,219,8450,..,31,301,436,466,578,575,334,69,2783,..,176,266,135,110,94,51,8,0,834,..,46,222,265,222,110,54,50,41,1015,1586,..,..,..,..,..,..,..,..,1586,..,260,..,..,..,..,..,..,..,260,..,216,74,31,40,21,7,0,0,383,..,49,27,10,25,49,56,40,23,280
1016,..,18,527,742,672,683,510,330,97,3576,..,59,272,130,108,78,27,8,0,687,..,3,16,31,53,34,10,10,6,167,1884,..,..,..,..,..,..,..,..,1884,..,357,..,..,..,..,..,..,..,357,..,461,228,86,51,20,3,0,0,852,..,97,61,38,33,20,21,11,4,278,..,30,78,32,34,26,0,0,0,204,..,49,153,75,47,41,17,3,4,389,..,39,126,116,132,150,112,77,38,794,31,35,44,21,12,22,11,5,7,186,0,0,0,0,6,0,0,0,0,6,1919,1156,1509,1275,1138,1076,715,442,154,9387,..,40,663,778,701,648,469,263,32,3591,..,109,273,124,98,68,16,4,5,706,..,31,135,155,166,94,41,31,26,686,1795,..,..,..,..,..,..,..,..,1795,..,390,..,..,..,..,..,..,..,390,..,325,142,30,17,23,6,0,0,539,..,55,32,15,29,55,33,18,14,248
1017,..,5,144,256,298,406,503,291,58,1964,..,75,165,107,112,102,61,16,0,643,..,7,24,40,53,31,13,13,4,187,1285,..,..,..,..,..,..,..,..,1285,..,216,..,..,..,..,..,..,..,216,..,347,164,65,69,30,5,0,0,678,..,64,30,13,22,49,41,19,7,240,..,28,27,19,13,19,8,0,0,115,..,16,25,17,29,40,41,8,0,176,..,24,48,64,110,184,170,102,33,731,36,46,35,16,29,25,20,3,0,211,0,0,3,0,0,0,0,0,0,4,1318,832,664,602,731,876,857,453,103,6445,..,15,199,309,339,434,471,216,14,2000,..,101,176,112,126,93,52,14,0,675,..,49,179,195,180,124,35,44,21,825,1267,..,..,..,..,..,..,..,..,1267,..,258,..,..,..,..,..,..,..,258,..,221,70,35,20,21,3,0,0,372,..,53,22,8,31,45,72,27,16,272
1018,..,11,359,624,626,781,760,458,137,3757,..,135,420,280,239,178,91,25,4,1380,..,0,29,74,125,86,44,14,14,382,2327,..,..,..,..,..,..,..,..,2327,..,507,..,..,..,..,..,..,..,507,..,581,265,143,105,58,11,0,0,1166,..,84,50,23,34,43,47,20,6,303,..,66,74,38,24,20,11,5,0,241,..,133,198,75,89,128,76,20,0,720,..,57,143,183,287,406,368,172,63,1681,56,66,55,23,46,33,24,4,3,314,0,0,4,4,0,3,0,0,0,15,2381,1633,1604,1465,1587,1748,1422,716,237,12791,..,28,486,704,671,758,706,374,70,3800,..,180,464,286,241,160,65,9,0,1405,..,49,211,390,402,216,97,71,55,1487,2190,..,..,..,..,..,..,..,..,2190,..,516,..,..,..,..,..,..,..,516,..,396,119,62,47,32,5,0,0,665,..,61,38,15,35,67,73,41,17,351
1019,..,8,186,234,307,389,416,242,65,1833,..,47,133,84,73,64,35,13,0,458,..,3,3,15,32,29,18,10,8,126,955,..,..,..,..,..,..,..,..,955,..,181,..,..,..,..,..,..,..,181,..,249,117,58,45,27,7,0,0,503,..,27,12,8,12,11,16,7,3,100,..,12,19,6,12,8,3,0,0,63,..,27,43,20,18,28,24,15,4,167,..,39,83,83,141,196,198,135,42,921,19,22,19,14,17,11,8,4,0,119,0,0,0,0,0,0,0,0,0,0,970,612,616,526,665,760,728,426,114,5424,..,16,221,264,332,415,381,195,24,1851,..,79,140,93,69,54,25,9,6,476,..,32,91,114,127,79,46,40,34,561,881,..,..,..,..,..,..,..,..,881,..,187,..,..,..,..,..,..,..,187,..,153,71,27,20,21,4,0,0,294,..,20,7,6,11,27,28,29,9,129
1020,..,9,233,492,585,596,555,299,37,2814,..,54,192,154,127,84,47,16,0,675,..,3,4,38,44,42,14,11,0,151,1544,..,..,..,..,..,..,..,..,1544,..,337,..,..,..,..,..,..,..,337,..,335,156,51,46,9,3,0,0,599,..,26,11,11,12,25,23,13,0,117,..,28,22,10,17,9,7,3,0,99,..,22,24,11,15,17,26,7,0,111,..,21,46,54,91,114,114,71,22,537,31,15,15,35,13,7,10,3,0,132,0,0,0,0,0,0,0,0,0,7,1578,848,702,843,951,909,804,428,67,7130,..,13,327,572,611,618,504,193,24,2861,..,83,209,134,132,75,40,10,0,692,..,22,85,127,116,61,30,31,7,493,1452,..,..,..,..,..,..,..,..,1452,..,324,..,..,..,..,..,..,..,324,..,219,79,39,21,13,3,0,0,379,..,30,8,3,12,23,44,26,15,170
1021,..,27,438,764,853,939,1024,777,209,5031,..,135,344,195,185,130,82,38,9,1116,..,6,19,49,89,52,24,13,13,268,2262,..,..,..,..,..,..,..,..,2262,..,493,..,..,..,..,..,..,..,493,..,642,277,131,98,40,7,0,0,1198,..,64,50,26,26,44,38,33,12,300,..,62,53,37,29,22,15,5,0,223,..,47,68,33,48,72,79,29,6,379,..,21,103,97,156,237,244,154,98,1103,44,50,49,33,22,34,17,3,0,256,0,0,0,0,0,0,0,0,0,4,2304,1538,1417,1370,1501,1571,1537,1055,349,12637,..,34,626,789,855,1037,1011,622,93,5074,..,192,361,209,183,143,73,26,4,1186,..,45,189,238,276,146,69,57,38,1055,2221,..,..,..,..,..,..,..,..,2221,..,539,..,..,..,..,..,..,..,539,..,383,164,59,32,31,10,0,0,680,..,44,25,8,29,51,69,71,37,335
1022,..,11,242,394,366,373,318,216,44,1972,..,88,279,119,91,59,19,15,0,670,..,0,14,28,43,11,9,10,13,126,1258,..,..,..,..,..,..,..,..,1258,..,181,..,..,..,..,..,..,..,181,..,223,75,44,40,17,7,0,0,398,..,26,27,12,19,11,9,6,3,118,..,32,15,9,3,7,3,0,0,66,..,66,60,23,24,17,17,4,0,206,..,29,74,72,79,117,94,62,24,551,32,37,31,12,13,8,15,0,0,158,0,0,0,0,0,0,0,0,0,0,1288,692,817,717,678,625,491,315,92,5710,..,17,325,404,397,367,286,170,24,1993,..,124,290,119,76,50,24,8,3,687,..,16,96,112,109,40,28,22,13,441,1221,..,..,..,..,..,..,..,..,1221,..,183,..,..,..,..,..,..,..,183,..,116,48,18,17,8,4,0,0,204,..,20,6,0,9,22,29,17,11,121
1023,..,4,202,340,338,355,303,146,23,1700,..,92,213,138,91,62,21,14,5,629,..,0,24,31,39,28,4,4,0,126,1298,..,..,..,..,..,..,..,..,1298,..,225,..,..,..,..,..,..,..,225,..,260,105,35,30,12,0,0,0,451,..,35,24,3,10,22,19,9,3,125,..,19,37,22,10,9,3,0,0,102,..,30,59,33,18,21,7,5,0,172,..,24,111,97,131,157,101,53,15,683,15,22,23,31,12,11,9,0,0,131,0,0,0,0,0,0,0,0,0,0,1320,721,800,724,673,661,471,228,47,5636,..,13,286,360,362,340,260,105,7,1741,..,132,240,115,97,50,17,9,0,669,..,33,139,144,122,54,21,10,8,532,1194,..,..,..,..,..,..,..,..,1194,..,209,..,..,..,..,..,..,..,209,..,141,41,18,5,3,0,0,0,207,..,24,11,4,11,18,29,12,11,120
1024,..,14,248,577,817,1181,1539,1091,226,5690,..,52,232,173,204,202,145,58,10,1072,..,0,5,51,90,53,20,12,9,242,1805,..,..,..,..,..,..,..,..,1805,..,504,..,..,..,..,..,..,..,504,..,505,236,97,97,47,15,0,0,996,..,46,35,21,10,22,22,23,8,186,..,43,45,18,29,14,8,8,0,167,..,51,55,36,47,66,54,29,0,339,..,19,68,92,166,310,370,263,96,1388,42,49,39,21,32,34,33,3,8,256,0,0,0,0,4,0,0,0,0,10,1850,1283,965,1088,1493,1926,2209,1491,356,12656,..,25,346,702,922,1307,1540,847,99,5791,..,91,246,203,195,205,121,45,3,1108,..,16,105,194,323,144,52,59,55,946,1812,..,..,..,..,..,..,..,..,1812,..,511,..,..,..,..,..,..,..,511,..,303,138,36,29,38,16,0,0,561,..,33,15,0,18,46,53,65,37,275
1025,..,271,8353,16289,16102,16066,15244,8539,1930,82789,..,2442,9080,4791,3640,2504,1260,402,52,24174,..,52,441,1094,1635,968,473,295,180,5139,45198,..,..,..,..,..,..,..,..,45198,..,10298,..,..,..,..,..,..,..,10298,..,10206,5006,2060,1567,842,133,3,0,19808,..,1356,1058,421,473,667,535,316,147,4983,..,974,1161,448,391,238,147,37,9,3411,..,2662,3320,983,880,998,678,228,41,9796,..,833,2823,2819,3585,4543,4170,2456,1075,22287,839,893,932,619,535,401,259,122,34,4644,12,20,37,27,12,22,18,7,0,153,46046,29996,32214,29544,28825,27247,22926,12403,3475,232673,..,485,11346,17505,16990,16391,14077,6515,960,84271,..,3662,9364,4774,3558,2372,976,283,29,25015,..,612,3187,4970,5374,2803,1392,1061,745,20146,42694,..,..,..,..,..,..,..,..,42694,..,10690,..,..,..,..,..,..,..,10690,..,6877,2888,883,620,471,121,4,0,11856,..,1097,623,221,416,973,1159,794,427,5707
1026,..,15,587,978,978,1144,1197,740,177,5826,..,226,611,284,264,199,112,42,9,1748,..,0,35,95,111,81,33,25,12,400,3340,..,..,..,..,..,..,..,..,3340,..,665,..,..,..,..,..,..,..,665,..,711,362,153,105,57,11,0,0,1404,..,133,85,28,33,60,58,24,15,429,..,56,85,45,24,24,12,4,0,250,..,95,143,55,49,103,75,33,8,560,..,64,210,168,278,368,359,230,105,1793,65,91,81,72,46,38,19,15,4,427,3,0,0,0,7,3,4,0,0,17,3409,2058,2209,1888,1896,2081,1877,1107,333,16858,..,40,807,1075,1033,1193,1150,548,88,5928,..,303,591,328,244,182,84,33,3,1773,..,74,329,384,395,194,106,72,48,1607,3272,..,..,..,..,..,..,..,..,3272,..,657,..,..,..,..,..,..,..,657,..,500,193,68,60,31,9,0,0,861,..,91,37,17,29,80,112,69,43,481
1027,..,39,853,1332,1285,1131,1114,650,169,6564,..,226,689,337,266,173,79,18,10,1789,..,7,36,83,87,59,34,17,17,342,4406,..,..,..,..,..,..,..,..,4406,..,719,..,..,..,..,..,..,..,719,..,774,265,115,99,60,16,0,0,1332,..,108,75,41,42,43,35,9,9,359,..,81,59,35,25,12,4,0,0,216,..,139,206,62,74,73,58,25,5,634,..,72,264,238,280,365,307,207,98,1840,67,99,96,59,56,26,23,11,3,448,5,3,3,3,0,6,0,0,0,17,4471,2273,2532,2307,2213,1948,1681,939,297,18660,..,61,1080,1464,1270,1202,1068,475,76,6706,..,335,664,360,245,152,61,16,0,1840,..,88,315,427,389,185,78,65,62,1613,3991,..,..,..,..,..,..,..,..,3991,..,769,..,..,..,..,..,..,..,769,..,470,151,68,43,29,6,0,0,777,..,77,51,18,33,76,85,51,15,418
1028,..,18,551,1329,1518,1598,1987,1455,396,8857,..,213,579,395,343,254,225,82,23,2113,..,3,21,81,134,75,46,24,16,399,3919,..,..,..,..,..,..,..,..,3919,..,974,..,..,..,..,..,..,..,974,..,749,365,167,137,63,17,0,0,1499,..,101,69,31,32,54,56,30,16,388,..,87,78,44,41,24,7,3,0,289,..,159,241,67,94,122,81,57,13,825,..,72,205,208,297,483,527,375,211,2371,88,125,93,94,57,73,59,18,14,615,4,4,3,6,0,6,4,0,0,21,4005,2506,2203,2416,2652,2739,3011,2048,689,22273,..,31,759,1504,1628,1734,1938,1143,203,8938,..,307,614,370,362,306,162,65,17,2209,..,64,285,452,562,279,143,108,84,1971,3720,..,..,..,..,..,..,..,..,3720,..,943,..,..,..,..,..,..,..,943,..,469,177,82,61,66,24,3,0,887,..,90,44,11,44,88,100,95,55,529
1029,..,8,373,515,575,557,424,208,47,2708,..,104,293,164,124,62,29,7,0,784,..,0,18,37,51,35,17,0,4,157,1717,..,..,..,..,..,..,..,..,1717,..,325,..,..,..,..,..,..,..,325,..,398,163,58,34,22,5,0,0,677,..,36,32,8,27,14,16,8,6,147,..,34,39,8,6,6,5,0,0,95,..,37,75,16,18,25,18,5,0,200,..,42,130,121,141,161,109,69,22,790,23,34,42,18,19,9,11,0,0,157,0,0,0,0,0,0,0,0,0,3,1738,1019,1161,950,1008,889,619,295,80,7763,..,17,456,602,623,545,366,140,26,2778,..,156,331,134,126,48,17,6,0,818,..,24,140,157,145,55,42,29,14,609,1662,..,..,..,..,..,..,..,..,1662,..,302,..,..,..,..,..,..,..,302,..,268,80,28,11,14,7,0,0,400,..,33,16,0,23,26,21,26,4,161
1030,..,13,222,457,516,702,994,613,139,3651,..,82,258,170,137,127,118,39,3,940,..,4,14,39,50,35,32,11,7,191,1440,..,..,..,..,..,..,..,..,1440,..,258,..,..,..,..,..,..,..,258,..,354,171,75,72,37,6,0,0,708,..,37,23,12,23,28,21,15,3,171,..,25,18,11,13,15,8,4,0,97,..,22,41,23,28,47,43,21,4,239,..,16,68,84,153,232,275,179,60,1067,34,39,25,31,23,26,26,11,4,209,0,0,0,0,0,0,0,0,0,3,1474,862,841,895,1018,1248,1521,894,217,8970,..,14,310,519,560,758,1019,462,53,3694,..,118,271,165,150,141,99,41,5,992,..,33,128,174,195,105,46,58,41,784,1379,..,..,..,..,..,..,..,..,1379,..,307,..,..,..,..,..,..,..,307,..,210,65,36,39,30,8,0,0,385,..,29,9,6,22,43,45,37,34,217
1031,..,3210,98951,215332,186571,162107,124032,67013,17463,874692,..,11236,70022,39382,26214,17369,8190,2628,374,175414,..,294,1590,5496,10211,8286,3978,2337,1603,33802,432391,..,..,..,..,..,..,..,..,432391,..,131669,..,..,..,..,..,..,..,131669,..,84485,71388,22530,13613,5873,908,33,0,198832,..,13565,14788,5917,5261,6679,5563,3239,1846,56865,..,8278,15559,6137,4247,3195,1442,415,85,39370,..,21796,45037,13623,8338,7473,5052,1817,378,103511,..,7261,29873,28772,27685,30594,24876,15097,6828,170973,3841,4455,5992,3895,3228,2643,1853,825,299,27035,256,364,620,484,459,600,767,224,47,3827,436491,286615,353823,341574,285822,244831,176663,93635,28930,2248380,..,8066,140592,225967,186931,152940,109503,46797,7485,878288,..,16568,73191,35587,23419,14093,5881,1461,171,170368,..,2545,15604,33550,44551,28995,13564,9453,6178,154433,409322,..,..,..,..,..,..,..,..,409322,..,135453,..,..,..,..,..,..,..,135453,..,58128,48445,12347,7986,4657,1047,56,0,132668,..,11204,10397,3748,4858,12152,15040,10890,6393,74690
1032,..,26,751,1213,1120,1190,1169,800,206,6468,..,299,683,338,262,191,91,31,6,1899,..,11,44,118,104,55,44,30,11,424,4196,..,..,..,..,..,..,..,..,4196,..,744,..,..,..,..,..,..,..,744,..,766,315,137,109,54,12,0,0,1392,..,122,112,49,52,55,46,20,3,451,..,110,151,55,32,18,19,0,0,393,..,181,301,78,69,74,56,20,0,778,..,118,313,246,313,409,372,229,91,2095,96,111,102,58,62,27,37,14,4,507,0,3,17,6,0,0,0,0,0,29,4294,2486,2778,2299,2121,2077,1852,1142,328,19380,..,59,1020,1241,1174,1251,1137,614,99,6592,..,411,707,341,252,185,76,22,0,1999,..,120,479,507,417,212,97,86,68,1984,3911,..,..,..,..,..,..,..,..,3911,..,733,..,..,..,..,..,..,..,733,..,485,167,74,65,50,14,0,0,854,..,104,48,21,47,94,95,66,29,496
1033,..,21,308,493,567,758,907,653,165,3877,..,125,279,193,158,154,101,42,5,1055,..,0,35,48,78,52,39,17,8,290,2173,..,..,..,..,..,..,..,..,2173,..,361,..,..,..,..,..,..,..,361,..,545,245,134,117,57,13,0,0,1113,..,79,51,15,49,41,43,22,10,310,..,55,53,19,28,17,9,6,0,191,..,47,64,49,52,75,49,25,3,371,..,35,125,106,174,340,356,238,85,1455,56,75,50,53,30,34,20,11,3,335,0,0,0,0,3,0,0,0,0,6,2228,1340,1223,1120,1254,1536,1535,1013,285,11539,..,37,392,548,664,833,889,466,82,3914,..,189,295,178,172,150,64,30,3,1088,..,63,289,325,295,175,99,95,48,1398,2083,..,..,..,..,..,..,..,..,2083,..,412,..,..,..,..,..,..,..,412,..,343,122,57,55,38,8,0,0,619,..,63,30,8,12,74,80,48,35,344
1034,..,9,150,398,432,622,946,571,112,3239,..,32,186,148,117,107,88,26,0,719,..,3,5,35,60,26,18,6,6,159,1238,..,..,..,..,..,..,..,..,1238,..,258,..,..,..,..,..,..,..,258,..,281,140,69,46,42,4,0,0,585,..,27,23,8,14,22,24,11,3,135,..,13,23,16,12,8,6,3,0,81,..,16,56,22,19,31,31,12,3,185,..,19,40,49,103,172,199,149,79,812,39,29,21,25,12,23,20,9,6,185,0,0,0,0,0,0,0,0,0,5,1280,688,652,774,818,1054,1336,792,217,7607,..,8,226,426,484,736,932,403,61,3274,..,65,205,150,115,106,75,14,0,734,..,10,81,147,180,73,46,57,39,628,1171,..,..,..,..,..,..,..,..,1171,..,278,..,..,..,..,..,..,..,278,..,149,78,30,16,40,5,0,0,317,..,21,18,5,8,26,26,34,20,149
1035,..,46,1041,1790,1721,1704,1528,867,244,8942,..,356,943,384,276,233,104,32,0,2335,..,11,46,102,145,90,37,19,16,467,5463,..,..,..,..,..,..,..,..,5463,..,1115,..,..,..,..,..,..,..,1115,..,1088,453,187,108,64,11,0,0,1905,..,144,110,46,40,51,49,32,14,480,..,97,119,33,21,18,12,0,0,303,..,289,393,139,78,78,54,13,5,1049,..,139,421,327,427,491,414,256,133,2599,80,142,130,59,57,55,37,8,0,572,5,5,17,17,0,0,3,0,0,46,5545,3419,3682,3080,2870,2778,2245,1226,407,25269,..,91,1360,1970,1754,1742,1386,679,135,9107,..,522,950,374,288,208,89,21,3,2452,..,145,453,568,542,248,134,83,62,2239,5236,..,..,..,..,..,..,..,..,5236,..,1210,..,..,..,..,..,..,..,1210,..,695,261,72,54,46,11,0,0,1140,..,128,76,27,36,100,107,64,29,554
1036,..,142,4851,10337,10650,10921,9737,5652,1436,53727,..,1178,4713,2539,2028,1453,703,235,49,12889,..,35,162,544,952,617,261,188,127,2889,26721,..,..,..,..,..,..,..,..,26721,..,6659,..,..,..,..,..,..,..,6659,..,6886,3715,1408,1061,548,87,5,0,13719,..,677,529,254,283,372,308,196,94,2716,..,451,570,221,152,133,61,19,9,1608,..,1860,2092,407,390,485,317,143,29,5717,..,383,1385,1481,1984,2829,2352,1535,684,12635,383,442,439,333,282,242,154,61,36,2370,11,13,15,12,14,12,20,6,0,98,27111,18718,18472,17532,17800,17605,14003,8036,2464,141731,..,256,6650,11184,11109,11028,9022,4303,691,54259,..,1732,4953,2468,1999,1341,572,167,23,13253,..,287,1485,2644,3071,1812,774,697,509,11269,25054,..,..,..,..,..,..,..,..,25054,..,7349,..,..,..,..,..,..,..,7349,..,4552,2160,584,434,333,85,4,0,8155,..,606,335,131,215,602,690,559,346,3485
