SA1_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
10102100921,33,1428,1147,350,2147,0.9,1761,1.8
10102100923,38,2156,969,420,2352,0.8,2129,2.6
10102100924,45,3575,1050,360,1125,1.2,1062,1.9
10102100925,34,1356,1146,400,2225,1,1838,1.9
10102100926,32,1079,988,350,2029,1,1554,2
10102100927,35,2037,1097,480,2632,0.8,2328,2.8
10102100928,38,1800,1024,300,2399,0.9,1521,1.9
10102100929,41,1517,803,345,2135,0.9,1578,1.9
10102101001,38,2000,1021,400,2083,0.9,1645,2
10102101002,49,2708,1398,700,3805,0.7,3639,2.8
10102101003,52,2167,1281,458,3416,0.7,3021,2.6
10102101004,41,2300,1335,513,3031,0.7,2522,2.6
10102101006,35,1192,1002,250,1837,1,1278,1.6
10102101007,42,1733,972,330,1906,0.9,1662,1.9
10102101008,33,1622,1012,300,2162,1,1630,2
10102101009,39,1950,1059,400,2386,0.8,2042,2.4
10102101010,33,1517,1111,350,1954,0.9,1630,1.9
10102101011,54,2113,974,153,3250,0.9,2499,2.3
10102101012,33,1645,1196,410,2349,0.8,1702,2.2
10102101013,7,4100,2124,0,4749,1.2,4749,4.5
10102101014,52,2245,1187,625,2805,0.6,2791,2.6
10102101015,31,1083,969,300,1912,1,1321,1.8
10102101016,36,2182,1221,367,3011,0.8,2937,3
10102101017,32,1614,1298,350,2513,0.8,1890,1.9
10102101201,36,1970,1529,505,3531,0.7,2791,2.6
10102101202,38,3000,1676,690,4343,0.8,4463,3.3
10102101203,34,2318,1597,372,4068,0.8,3791,3.3
10102101204,34,3032,1822,440,4772,0.8,4772,3.7
10102101205,37,2599,1697,700,4704,0.8,4687,3.4
10102101206,40,3000,1687,670,4966,0.7,4926,3.2
10102101207,40,2256,1211,460,2937,0.7,2694,2.6
10102101208,40,2100,1107,370,2613,0.7,2100,2.4
10102101209,37,2600,1375,350,3576,0.8,3598,3.5
10102101210,37,2383,1424,550,3068,0.7,2794,2.7
10102101211,35,2492,1431,550,4058,0.8,3874,3.3
10102101212,35,2370,1366,540,3308,0.8,3073,2.9
10102101213,41,2353,1464,580,3420,0.7,3238,2.8
10102101214,37,2391,1528,450,3692,0.8,3625,3.2
10102101215,37,2289,1399,535,2971,0.8,2611,2.7
10102101216,38,2166,1448,565,3308,0.7,3166,2.9
10102101217,56,2600,866,350,2625,1.2,1375,2.1
10102101218,36,2100,1158,430,2661,0.8,2215,2.5
10102101219,35,1901,1150,343,2299,0.8,1850,2.1
10102101220,35,1950,1148,375,2542,0.8,2333,2.7
10102101221,30,2167,1255,325,2856,0.8,2874,3.2
10102101222,38,2250,1299,461,2976,0.8,2795,2.9
10102101223,36,2167,1319,475,2710,0.8,2357,2.6
10102101224,44,2500,1495,485,4408,0.7,3899,2.9
10102101225,0,0,0,0,0,0,0,0
10102101226,0,0,0,0,0,0,0,0
10102101227,41,3080,1630,700,4983,0.8,5139,3.5
10102101228,37,2158,1210,460,2764,0.7,2299,2.5
10102101229,34,1900,897,295,2107,0.8,1812,2.6
10102101230,35,1517,583,238,1575,0.8,1312,2.6
10102101231,45,3033,1530,458,3531,0.7,3457,2.7
10102101232,38,2383,1608,550,4229,0.7,4058,3
10102161001,31,1950,1524,490,2708,0.8,2377,2.4
10102161002,33,2600,1810,365,3727,0.8,3687,3
10102161003,30,2600,1584,700,3289,0.8,3335,3.3
10102161004,30,2800,1651,320,3444,0.8,3349,2.9
10102161005,32,2700,1665,370,3526,0.8,3539,3.3
10102161006,30,2846,1646,680,3874,0.8,3874,3.4
10102161007,31,2400,1529,550,3214,0.8,3050,2.7
10102161008,33,2500,1472,633,3538,0.9,3374,3.4
10102161009,34,2622,1363,720,3750,0.8,3471,3.3
10102161010,30,2399,1562,365,3227,0.9,3076,3
10102161011,33,2624,1713,655,3583,0.8,3567,3.2
10102161012,31,2829,1833,700,3839,0.8,3916,3.4
10102161013,31,2496,1650,660,3559,0.8,3555,3.3
10102161014,31,2600,1586,600,3339,0.8,3333,3
10102161015,31,2502,1727,610,3697,0.8,3658,3.3
10102161101,46,2500,1267,450,3150,0.7,3107,2.8
10102161102,45,2250,1505,610,3714,0.8,3643,3
10102161103,44,2600,1542,696,3321,0.7,3321,2.9
10102161104,38,2167,1187,443,3071,0.8,2681,2.8
10102161105,45,3077,1256,500,3785,0.8,3178,2.8
10102161106,39,2542,1297,620,3204,0.8,3159,3.1
10102161107,41,1950,907,400,2150,0.8,1916,2.6
10102161108,47,2448,1254,335,3053,0.8,2704,2.8
10102161109,34,2518,1594,600,3310,0.7,3233,2.9
10102161110,47,2108,1519,500,3643,0.8,3050,2.8
10102161111,47,2600,926,380,2288,0.9,1640,2.4
10102161112,35,2600,1218,650,3478,0.8,3541,3.5
10102161113,43,2947,1375,460,3527,0.8,3225,2.8
10102161114,41,2400,1174,360,2750,0.9,2562,2.8
10102161115,43,2600,1036,386,2937,0.8,2928,3.1
10102161116,44,2578,1199,370,3625,0.8,3549,3.2
10102161117,42,2383,1238,350,3399,0.7,3428,2.8
10102161118,48,2546,1211,760,3266,0.7,3291,3
10102161119,34,2600,1462,640,3517,0.8,3452,3.2
10102161120,48,1832,979,280,2250,0.8,2014,2.3
10102161121,45,2600,1162,405,3031,0.7,2416,2.5
10102161122,50,2600,1120,600,3083,0.7,2899,2.8
10102161123,32,2167,1140,455,2849,0.9,2650,3.1
10102161124,36,2143,1224,500,2738,0.8,2450,2.8
10102161125,46,2167,1125,410,2625,0.8,2299,2.6
10102161126,38,2118,1228,475,2643,0.8,2200,2.5
10102161127,36,2600,1449,598,3405,0.8,3166,3.2
10102161128,52,2123,1268,400,2416,0.7,2250,2.4
10102161129,39,1950,1331,370,3200,0.8,3444,3.2
10102161130,37,1300,933,300,2125,0.9,1507,2.4
10102161131,40,2392,1267,350,2905,0.9,2807,2.9
10102161132,45,3309,1218,550,3583,0.9,4125,3.3
10102161133,37,2753,1320,320,3795,0.8,3795,3.3
10102161134,45,2329,1062,231,2791,0.8,2550,2.8
10102161135,46,2529,1312,500,3265,0.7,3071,2.7
10102161136,47,3000,1338,550,3531,0.7,3480,3
10102161137,44,2600,1259,470,2963,0.7,3050,2.6
10102161138,44,3033,1446,520,3874,0.7,3722,3
10102161139,48,3300,1327,665,3405,0.7,3272,2.8
10102161140,41,2817,1191,443,3055,0.8,3274,3.3
10102161141,39,3207,1427,563,3922,0.8,4178,3.5
10102161142,49,2200,1093,700,3166,0.7,3214,3.2
10102161143,44,2858,1166,701,3700,0.8,3550,3.2
10102161144,44,2123,1134,465,2577,0.8,2212,2.5
10102161145,44,2640,1167,450,2932,0.8,2826,3
10102161146,47,2390,1437,595,4125,0.7,3437,2.8
10103101301,55,837,453,150,1062,0.7,695,1.9
10103101302,49,974,753,222,1699,0.7,1256,2.1
10103101303,46,1006,622,171,1375,0.7,1083,2
10103101304,42,1083,699,230,1696,0.7,1292,2.2
10103101305,53,2123,890,213,2173,0.6,1542,2.2
10103101306,53,850,794,200,1916,0.6,1452,2.4
10103101307,46,1009,698,190,1786,0.8,1363,2.3
10103101308,42,1300,833,170,2250,0.8,1562,2.4
10103101401,41,1083,597,320,1149,0.7,1107,2.3
10103101402,37,1322,873,280,2205,0.8,1569,2.2
10103101403,48,1140,763,275,1812,0.7,1258,2
10103101404,41,1300,926,270,2208,0.7,1352,2
10103101405,42,1133,736,265,1981,0.7,1199,2.2
10103101406,46,1300,776,305,1910,0.7,1461,2.2
10103101407,50,1700,854,350,2068,0.7,1442,2.2
10103101408,48,1167,792,390,2136,0.6,1442,2.2
10103101409,52,1485,679,320,2050,0.7,1297,2.3
10103101410,45,1408,758,292,1656,0.7,1211,2.1
10103101411,40,1192,734,220,1924,0.7,1230,2
10103101412,39,1213,813,330,1766,0.8,1570,2.5
10103101414,47,1582,839,366,1908,0.6,1812,2.4
10103101415,36,1170,785,320,1846,0.8,1678,2.5
10103101417,43,0,900,240,3750,0.7,1874,2.2
10103101419,47,1092,814,300,1812,0.7,1529,2.2
10103101420,52,1733,868,380,2403,0.7,2250,2.6
10103101421,44,1281,680,228,1607,0.8,1053,2
10103101501,0,0,0,0,0,0,0,0
10103101502,43,0,2187,0,1625,2,1625,2
10103101503,47,700,511,250,1333,0.7,949,2.1
10103101505,55,1733,1138,300,2200,0.7,1916,2.2
10103101511,45,889,884,383,1292,0.6,1149,1.9
10103101512,60,1733,725,230,1625,0.7,1292,1.9
10103101514,45,2084,1029,175,2687,0.7,2650,3
10103101515,50,1372,624,295,1875,0.8,1292,2.4
10103101516,53,2232,785,225,2374,0.7,2100,2.3
10103101517,47,1467,578,300,1449,0.8,1384,2.6
10103101518,49,1909,989,275,2100,0.7,1787,2.4
10103101519,47,1700,919,425,2437,0.7,2021,2.6
10103101520,52,1997,919,225,2250,0.8,1812,2.3
10103101521,48,1717,918,250,2471,0.8,2058,2.7
10103101523,48,1307,848,270,2041,0.7,1768,2.4
10103101524,57,1083,853,700,1375,0.6,1481,2.1
10103101525,43,2000,924,400,2541,0.8,2428,2.8
10103101526,44,1638,1013,400,2374,0.8,2055,2.6
10103101601,40,0,1230,403,5249,2,2999,4
10103101602,43,1237,710,260,1803,0.7,1276,2.1
10103101603,45,1490,712,250,1926,0.8,1385,2.3
10103101604,39,1517,912,355,2175,0.8,1713,2.6
10103101605,38,2504,1096,1000,3100,0.8,2874,2.8
10103101606,43,1800,920,500,2341,0.8,2132,2.7
10103101607,48,1192,826,251,1800,0.9,1446,2.4
10103101608,47,1925,992,335,2478,0.8,2299,2.6
10103101611,41,2442,1396,2000,2388,1.1,2888,2
10103101612,39,1217,959,225,1333,1.2,974,1.9
10103101614,26,1681,827,500,2134,0.9,2170,2.5
10103101615,32,1500,918,450,2274,0.8,2240,2.6
10103101616,30,1394,924,380,2289,0.9,1847,2
10103101617,29,1428,867,400,1937,0.9,1942,2.4
10103101619,45,1300,771,300,1946,0.8,1552,2.4
10103101620,31,1335,997,445,2343,0.9,2018,2.7
10103101621,35,1650,1057,425,3749,1.1,2624,2.6
10103101622,34,1737,1227,560,2708,0.8,2646,2.8
10103101623,32,2121,982,500,2827,0.8,2330,2.7
10103101624,0,0,0,0,0,0,0,0
10103101625,46,2050,909,365,2117,0.8,1857,2.6
10103101626,34,2167,1008,555,2750,0.8,2426,2.6
10103101627,28,2100,846,450,2547,0.8,2338,3
10104101701,58,1733,492,295,1257,0.7,963,2.3
10104101702,40,1733,631,373,1437,0.8,1312,2.7
10104101703,63,1538,616,390,1413,0.6,1079,1.9
10104101704,48,1376,552,300,1180,0.8,925,2
10104101705,53,813,521,300,1312,0.7,725,1.5
10104101706,58,1300,545,268,1052,0.8,750,1.7
10104101707,75,0,0,0,0,0,0,0
10104101708,50,1235,691,360,1391,0.7,1297,2.2
10104101709,47,1733,667,430,1678,0.8,1390,2.6
10104101710,58,1863,721,420,1462,0.6,1409,2.3
10104101711,49,1800,688,370,1733,0.7,1600,2.6
10104101713,48,1399,621,335,1433,0.8,1256,2.3
10104101714,0,0,0,0,0,0,0,0
10104101715,0,0,0,0,0,0,0,0
10104101716,38,1257,608,358,1392,0.7,1044,2.4
10104101717,50,1517,664,350,1275,0.7,1044,1.8
10104101718,51,1300,625,295,1170,0.7,909,1.8
10104101719,51,1411,502,380,1205,0.7,1088,2.4
10104101720,52,1500,560,383,1262,0.7,1174,2.5
10104101721,38,1495,561,310,1224,0.8,1157,2.7
10104101722,51,1542,615,370,1350,0.7,1212,2.3
10104101723,48,1560,654,385,1395,0.7,1197,2.5
10104101724,54,2167,556,300,1562,0.6,1531,2.5
10104101801,57,1470,684,355,1416,0.6,1307,2.3
10104101802,59,1733,813,450,1708,0.6,1488,2.2
10104101803,49,1950,757,410,2083,0.8,1912,2.7
10104101804,61,1250,698,345,1542,0.6,1233,1.8
10104101805,54,2370,696,315,1531,0.7,1437,2.6
10104101806,50,1517,665,318,1382,0.7,1150,1.9
10104101807,45,1600,560,380,1433,0.7,1131,2.4
10104101808,55,1300,561,300,1264,0.6,900,2
10104101809,72,1538,721,410,1906,0.6,1531,1.9
10104101810,41,1518,557,360,1268,0.8,1264,2.6
10104101811,51,1733,604,400,1331,0.7,1187,2.3
10104101812,57,1465,635,350,1416,0.7,1065,1.8
10104101813,56,1950,803,345,1781,0.8,1699,2.4
10104101814,53,1842,636,428,1416,0.7,1271,2.2
10104101815,56,1820,790,430,1854,0.6,1465,2.2
10104101816,52,1333,765,420,1792,0.7,1416,2.2
10104101817,51,1874,717,410,1637,0.7,1471,2.4
10104101818,58,1733,592,380,1346,0.6,1161,2.2
10104101819,48,1733,711,380,1510,0.7,1338,2.4
10104101820,49,1278,514,350,1359,0.7,1012,2.2
10104101821,50,1509,756,350,1520,0.7,1287,2.1
10104101822,63,1385,533,300,1470,0.7,1135,1.9
10104101823,54,1083,605,300,1256,0.7,949,1.7
10104101824,0,0,0,0,0,0,0,0
10104101901,55,1149,612,310,1485,0.8,927,2.1
10104101902,44,1192,559,240,1351,0.8,868,2
10104101903,48,1300,679,270,1402,0.7,949,1.7
10104101904,37,1387,675,323,1586,0.7,1221,2.4
10104101905,39,1083,487,250,890,0.7,795,2.3
10104101906,41,1690,766,360,1807,0.7,1553,2.5
10104101907,36,1370,682,345,1660,0.8,1394,2.4
10104101911,52,1300,819,370,1687,0.7,1396,2.1
10104101912,57,1560,725,335,1442,0.7,1209,2.1
10104101913,54,1850,794,330,1578,0.6,1306,1.9
10104101915,49,1430,859,330,1937,0.9,1803,2.6
10104101917,45,1733,740,360,2024,0.8,1853,2.8
10104101918,50,1738,781,335,2125,0.7,1609,2.4
10104101919,49,1439,714,250,1770,1,1341,2.4
10104101920,47,1180,689,350,1550,0.7,1176,2.1
10104101921,41,1842,853,428,1958,0.7,1823,2.6
10104101924,48,1733,730,395,1800,0.8,1480,2.5
10104101925,40,1300,677,275,1575,0.7,1062,2.1
10104101926,60,1617,614,265,1474,0.7,1010,1.8
10104101927,41,1890,990,330,2349,0.8,2125,2.9
10104101928,44,1733,769,375,1882,0.8,1379,2.4
10104101929,36,1224,614,340,1202,0.7,1066,2.4
10104101930,55,0,625,0,1125,0.6,1125,2
10104101931,40,1584,825,125,1937,0.5,1312,1.9
10104101932,60,2167,716,320,1812,0.6,1625,2.1
10104101933,43,1300,702,325,1531,0.7,1343,2.4
10104102001,46,1950,718,285,2033,0.8,1875,2.7
10104102002,51,1693,633,295,1467,0.8,1388,2.5
10104102003,38,1470,736,400,1569,0.8,1427,2.6
10104102004,56,1220,577,225,1431,0.8,1145,2.2
10104102005,57,1225,537,300,1142,0.9,1042,2.2
10104102006,54,867,452,165,1089,0.9,820,2.2
10104102007,43,1647,700,260,1708,0.9,1605,2.8
10104102008,51,1343,664,388,1460,0.8,1367,2.5
10104102009,68,0,575,0,0,0.3,575,1
10104102010,28,0,687,0,1375,1,1375,4
10104102011,45,1509,675,250,1637,0.8,1519,2.5
10104102012,0,0,0,0,0,0,0,0
10104102013,56,1083,465,250,1187,0.8,900,2.1
10104102014,58,1100,527,216,1474,0.8,1333,2.3
10104102015,55,943,583,200,1375,0.9,1087,2.2
10104102016,56,987,528,315,1221,1,987,2.2
10104102017,48,1621,673,260,1775,0.8,1468,2.4
10104102018,52,1500,550,230,1303,0.8,1162,2.4
10104102019,59,1213,631,247,1625,0.8,1160,2
10104102020,54,1396,610,250,1509,0.9,1187,2.3
10104102021,0,0,0,0,0,0,0,0
10104102022,49,1083,564,240,1357,0.9,1149,2.3
10104102023,49,1517,816,330,1946,0.8,1593,2.5
10104102024,52,1777,497,250,1166,0.7,935,2.3
10104102025,47,1083,595,260,1431,0.8,1132,2.2
10104102026,49,1500,527,290,1359,0.8,1187,2.5
10104102027,54,1395,586,263,1430,0.8,1275,2.4
10104102028,43,1733,789,265,1894,0.8,1481,2.5
10104102029,51,1170,523,305,1375,0.8,1166,2.4
10104102030,51,1040,490,300,1312,0.8,871,2.2
10104102031,47,1949,644,180,1812,0.9,1333,2.7
10104102032,59,867,439,140,1028,0.9,778,2
10104102102,45,1574,754,333,1875,0.8,1458,2.4
10104102104,56,1733,692,400,1517,0.7,1217,2.1
10104102105,52,1788,776,400,1875,0.7,1531,2.4
10104102106,58,1300,627,290,1430,0.8,1040,2.1
10104102107,54,1733,841,350,2067,0.7,1827,2.4
10104102108,49,1881,877,380,1944,0.7,1583,2.4
10104102110,47,1864,792,375,1781,0.7,1416,2.4
10104102111,48,0,982,150,2166,1,1374,2.9
10104102201,62,758,442,0,866,1.1,875,2.4
10104102301,56,1350,590,263,1302,0.7,910,1.9
10104102302,53,1498,631,380,1455,0.7,1319,2.3
10104102303,47,2159,728,420,1762,0.8,1481,2.7
10104102304,55,1517,612,300,1525,0.9,1194,2.1
10104102305,54,1468,603,275,1348,0.7,871,2
10104102306,54,1500,675,300,1339,0.7,1237,2.3
10104102307,52,1408,494,220,928,0.8,780,1.9
10104102308,49,1541,462,228,1134,0.7,890,2.2
10104102309,57,1700,609,320,1442,0.7,1187,2
10104102310,67,0,487,175,725,0.6,1024,2
10104102401,54,1239,821,300,1916,0.8,1600,2.3
10104102402,51,1517,738,300,1553,0.9,1348,2.4
10104102403,47,1300,483,220,1375,0.9,1042,2.7
10104102404,47,1733,645,325,1916,0.9,1656,2.6
10104102405,52,1759,526,200,1395,0.9,1187,2.4
10104102406,53,1603,669,220,1531,0.8,1364,2.5
10104102407,59,1517,607,350,1267,0.8,1218,2.4
10104102408,49,1300,558,245,1430,0.8,1015,2.1
10104102409,58,1300,777,275,1583,0.7,1261,2
10104102410,51,400,582,225,1375,1,1213,2.6
10104102411,56,1170,589,400,1221,0.7,1125,2.2
10104102412,58,1599,802,320,1476,0.7,1423,2.1
10104102501,0,0,0,0,0,0,0,0
10104102502,54,1531,667,330,1541,0.7,1044,2.1
10104102503,72,1476,534,240,1339,0.8,715,1.4
10104102504,40,1000,763,300,1666,0.7,993,1.6
10104102505,59,1300,678,310,1408,0.7,924,1.7
10104102506,47,1800,1003,352,2024,0.7,1764,2.1
10104102507,54,1717,907,420,2083,0.7,1778,2.4
10104102508,64,1559,590,430,1363,0.6,1052,2
10104102509,48,1400,678,270,1791,0.8,1542,2.8
10104102510,54,1794,725,465,1852,0.7,1652,2.4
10104102511,53,1541,624,450,1671,0.7,1316,2.3
10104102512,61,1540,620,420,1458,0.6,1135,2
10104102513,41,1630,795,370,1807,0.8,1666,2.8
10104102514,48,1235,504,330,1208,0.8,908,2.2
10104102516,47,1517,686,300,1728,0.8,1388,2.5
10104102517,54,1737,772,350,2015,0.7,1312,2.1
10104102518,53,2033,723,450,1671,0.7,1548,2.5
10104102519,68,1344,584,400,1275,0.6,1068,2.1
10104102520,54,1603,717,373,1492,0.7,1266,2
10104102521,57,1192,846,337,1767,0.8,1267,1.7
10104102522,56,1560,884,378,2071,0.7,1516,2.1
10104102523,51,1422,634,250,1625,0.7,1609,2.4
10104102524,45,1745,654,375,1768,0.8,1462,2.7
10104102525,61,1517,569,210,1258,0.8,850,2
10104102526,48,1950,777,420,1833,0.7,1485,2.4
10104102527,48,1950,716,425,1812,0.7,1468,2.4
10104102528,52,1452,640,240,1666,0.8,1083,1.9
10104102529,50,1625,641,315,1303,0.7,984,2
10104102530,55,2040,759,360,1760,0.7,1452,2.3
10104102531,35,0,0,0,0,0,0,0
10104102532,61,1257,453,295,1357,0.8,1031,2
10104102601,61,1560,584,350,1289,0.6,1009,2
10104102603,62,1950,689,280,1416,0.6,1170,1.9
10104102604,63,1300,685,307,1347,0.6,1125,1.8
10104102605,63,1517,537,315,1170,0.6,977,1.9
10104102606,56,2119,677,260,1800,0.8,1470,2.3
10104102607,51,1517,615,355,1524,0.7,1286,2.2
10104102608,60,1490,487,300,1237,0.7,912,2.2
10104102609,50,1404,593,315,1347,0.7,1042,2.1
10104102610,44,1460,497,219,1187,0.8,1012,2.3
10104102611,56,1842,532,400,1375,0.7,1125,2.3
10104102613,57,1712,599,150,1468,0.8,1052,2.2
10104102614,52,1724,717,325,1683,0.7,1391,2.2
10104102615,49,1517,695,365,1625,0.7,1312,2.4
10104102616,51,1733,700,385,1791,0.8,1458,2.5
10104102617,48,1684,791,340,2083,0.8,1550,2.3
10104102618,58,1634,618,238,1541,0.8,1275,2.3
10104102619,56,1733,783,350,1713,0.7,1478,2.4
10104102620,43,1252,522,278,1424,0.8,858,2.2
10104102621,45,1545,633,290,1375,0.7,1148,2.4
10104102622,49,1517,624,350,1625,0.9,1375,2.5
10104102623,53,1135,557,220,1297,0.8,886,1.9
10104102624,46,1434,539,340,1266,0.8,1080,2.4
10104102625,58,2680,697,430,1875,0.7,1562,2.4
10104102626,62,1322,540,360,1416,0.6,1093,2
10104102627,62,4000,928,275,1468,0.8,1468,2
10104102701,55,1593,690,350,1517,0.7,1215,2.2
10104102702,57,1300,537,220,1268,0.7,751,1.8
10104102703,62,1517,635,275,1352,0.7,1354,2.3
10104102704,58,1213,547,250,1125,0.7,843,1.9
10104102705,55,1560,570,300,1375,0.8,1037,1.9
10104102706,64,1300,468,295,1258,0.7,839,2
10104102707,54,1408,575,335,1412,0.7,1144,2.1
10104102708,65,1582,596,280,1458,0.7,975,2
10104102709,52,1387,644,390,1617,0.7,1331,2.4
10104102710,62,834,626,250,1481,0.8,1109,2.1
10104102711,0,0,0,0,0,0,0,0
10104102712,56,1300,681,270,1458,0.9,1157,2.2
10104102713,52,1733,651,420,1602,0.8,1465,2.4
10104102714,60,0,575,0,0,0,575,1
10104102715,68,2383,687,0,900,0.7,900,2.1
10104102716,0,0,0,0,0,0,0,0
10104102719,52,1647,595,340,1182,0.7,915,2
10104102720,62,1555,543,300,1193,0.7,1141,2.1
10104102721,62,1127,558,320,1235,0.7,934,1.9
10104102722,30,366,364,240,762,1,739,2.9
10104102723,60,1509,598,355,1347,0.7,1134,2
10104102724,55,1625,619,366,1537,0.7,1214,2.4
10104102725,61,1466,569,330,1292,0.6,982,2.1
10104102726,62,1647,695,320,1583,0.7,1471,2.2
10104102728,62,1127,521,250,1104,0.8,756,1.6
10104102729,58,1343,513,270,1134,0.7,844,2
10104102730,60,2900,949,315,1625,0.8,2125,2.3
10104102731,60,1343,629,295,1367,0.8,1131,2
10104102732,56,1517,613,300,1323,0.8,912,2.1
10104102733,52,1517,606,340,1333,0.7,1226,2.3
10105153901,42,2167,1100,400,2903,0.7,2769,3
10105153902,40,1657,746,298,1812,0.7,1515,2.3
10105153903,50,1560,1036,330,2312,0.6,1402,1.9
10105153904,48,1042,774,300,1766,0.7,1255,2
10105153905,48,1469,639,300,1607,0.7,1125,2
10105153906,32,1417,665,320,1481,0.8,1286,2.6
10105153907,76,0,432,180,774,1,463,1.1
10105153909,32,1509,521,275,1291,0.7,787,2.2
10105153910,40,1408,725,295,1350,0.9,1263,2
10105153911,32,1986,985,430,2220,0.7,2026,2.7
10105153912,47,1533,789,360,2045,0.7,1562,2.3
10105153913,43,1300,594,325,1562,0.8,1221,2.2
10105153914,41,1733,771,383,2017,0.7,1640,2.7
10105153915,38,1370,732,300,1625,0.7,1174,2.1
10105153916,46,2167,870,475,2358,0.7,2229,2.9
10105153917,35,1300,709,335,1483,0.7,1187,2.3
10105153918,57,1300,586,300,1359,0.7,933,1.7
10105153919,45,1300,710,315,1825,0.7,1104,1.9
10105153920,33,1900,869,420,2189,0.7,2116,2.9
10105153921,37,1720,810,335,1912,0.8,1625,2.6
10105153922,40,2600,1067,179,3086,0.7,2558,2.8
10105153923,42,1871,832,370,2230,0.7,2037,2.6
10105153924,35,1366,458,210,933,0.7,812,2.3
10105153925,40,1387,770,298,1771,0.7,1258,2
10105153926,40,1560,610,300,1461,0.7,1166,2.2
10105153927,48,1517,885,350,2111,0.6,1829,2.2
10105153928,40,2253,954,320,2187,0.8,1875,2.3
10105153929,34,1517,711,340,1666,0.8,1269,2.4
10105153930,47,2002,931,405,2283,0.6,1981,2.6
10105153931,38,1733,882,280,1713,0.9,1108,1.9
10105153932,37,1701,815,340,1962,0.8,1593,2.5
10105153933,40,1636,754,320,1531,0.8,1269,2.1
10105153934,37,1257,852,265,1767,0.7,1307,1.9
10105153935,44,1733,744,270,2033,0.7,1205,2
10105153936,48,1454,852,313,2022,0.7,1406,2.2
10105153937,34,1950,493,210,1259,0.8,1019,2.6
10105153938,41,1525,715,360,1825,0.7,1413,2.4
10105153939,54,1733,498,300,1708,0.8,979,2.2
10105153940,39,1517,678,330,1562,0.8,1307,2.4
10105153941,48,1625,725,310,1812,0.8,1458,2.4
10105153942,48,1387,494,320,1463,0.7,1138,2.2
10105153943,46,1495,794,365,2083,0.7,1663,2.4
