CED_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED118,444,943,985,936,747,991,1732,1332,618,8722,521,1354,1449,1487,1125,1002,1185,645,202,8972,332,1464,1946,1924,1428,1103,830,344,73,9454,195,1550,2917,2843,2077,1535,722,191,66,12085,85,1476,4055,3962,2765,1948,731,145,29,15199,20,840,3528,3550,2327,1502,455,55,16,12293,16,403,2746,3447,2280,1286,332,46,17,10587,12,160,1981,2926,1933,1004,210,19,9,8244,0,125,2913,6835,3768,1709,289,20,4,15654,0,10,418,1715,879,326,51,9,0,3415,3,20,372,1646,1076,387,77,24,10,3606,563,977,2434,2122,1338,910,725,538,318,9911,0,21,30,28,38,163,166,36,3,480,11861,12777,29695,37647,24867,18372,13253,6185,2059,156722
CED119,446,581,475,500,586,771,1550,1440,626,6976,565,856,695,828,879,1001,1389,940,300,7459,362,1083,975,1058,1047,1106,1215,622,177,7637,195,1200,1458,1439,1466,1388,1034,434,90,8701,98,1209,2140,1881,2053,1835,1078,390,56,10745,29,734,2205,1921,1871,1512,734,175,41,9226,22,328,2097,2012,1993,1473,495,118,25,8567,8,150,1530,1891,1852,1182,313,61,7,6974,4,125,2335,4294,3897,2295,510,79,13,13561,0,10,351,1050,1039,517,124,14,8,3118,0,11,350,1553,1644,936,176,34,18,4719,309,316,623,684,572,490,537,683,980,5187,0,8,18,21,13,26,32,10,3,135,9663,8724,16837,21002,20857,17728,13548,7790,3123,119270
CED120,649,600,788,699,879,1164,2322,1893,716,9712,799,985,1228,1093,1160,1439,1780,973,275,9724,550,1343,1589,1395,1373,1407,1333,638,147,9771,305,1564,2289,1906,1914,1832,1086,407,102,11413,123,1297,3069,2463,2449,2284,1111,270,60,13133,39,743,2684,2175,2124,1638,670,152,33,10256,17,365,2281,2172,2049,1465,522,119,35,9015,13,155,1533,1780,1782,1080,333,61,4,6744,0,148,1915,3261,3219,1948,463,95,16,11061,0,19,275,607,634,412,99,23,9,2066,0,12,261,721,990,704,273,79,23,3070,678,568,1315,1295,1221,1119,1088,906,636,8827,5,14,35,16,20,24,25,10,3,161,10946,9716,21715,21934,22406,20722,16911,8843,3094,136287
CED121,548,679,1013,952,1147,1649,3196,2474,1290,12946,714,1030,1564,1278,1389,1655,2228,1311,499,11680,489,1307,1855,1491,1524,1460,1495,831,211,10663,325,1603,2522,1898,1990,1720,1143,490,141,11839,133,1146,2913,2349,2442,2069,1059,347,70,12527,52,608,2107,1788,1804,1395,564,147,19,8490,21,312,1827,1654,1530,1260,439,168,54,7259,0,156,1310,1407,1367,950,263,76,13,5540,10,166,2103,2858,2647,1778,331,72,10,9972,0,18,364,600,558,396,88,37,3,2069,7,22,254,598,744,625,203,72,26,2553,691,798,1764,1594,1389,1106,1165,1169,976,10651,7,14,25,23,15,20,14,8,0,124,10504,9959,22339,21125,21471,21337,18668,10855,4362,140612
CED122,286,920,950,638,710,990,1791,1660,889,8840,393,1420,1787,935,894,1024,1295,837,311,8887,212,1297,2175,1160,1085,1083,932,571,179,8704,111,1390,3096,1702,1442,1347,920,451,153,10611,59,1392,4528,2333,1881,1719,961,365,116,13361,17,948,4214,2112,1677,1363,595,176,65,11166,11,474,3930,2296,1773,1273,494,173,53,10484,9,236,2973,2094,1510,1040,370,102,39,8377,10,176,4824,5092,3468,1969,532,161,41,16275,7,31,915,1567,1148,575,166,57,26,4487,4,34,1013,3229,3116,1286,334,89,35,9140,569,1077,2830,1933,1451,1156,1000,903,741,11658,32,133,231,110,107,128,97,33,4,876,8713,14257,36804,27721,22710,18352,13748,8822,3761,154885
CED123,548,722,989,963,982,1164,2257,1621,648,9884,714,1219,1717,1338,1143,1209,1518,863,253,9978,470,1669,2100,1669,1360,1223,1035,516,95,10130,302,1986,3099,2505,2158,1643,896,285,63,12926,132,1679,4103,3411,2781,2212,835,180,25,15346,47,963,3451,2890,2251,1654,539,93,23,11915,28,480,2871,2678,2156,1403,402,77,29,10135,10,176,1872,2102,1689,1023,235,31,11,7147,3,152,2274,3634,2848,1600,317,37,9,10865,3,20,273,664,520,269,60,17,6,1845,0,16,238,643,613,391,102,37,10,2061,794,1041,2481,2132,1649,1133,1020,910,634,11784,7,15,57,28,25,43,66,13,8,246,11544,12858,28944,27821,23158,19118,14727,7344,2477,147989
CED124,471,497,777,831,1161,2216,4484,3427,1480,15350,590,712,1092,1091,1475,2197,3327,1941,680,13104,356,910,1374,1316,1547,2025,2102,1220,331,11181,139,899,1601,1660,1963,2241,1530,723,184,10943,73,613,1677,1733,2128,2256,1399,514,113,10509,20,276,1100,1202,1454,1557,771,258,59,6705,11,126,828,1034,1255,1185,548,212,81,5271,0,35,544,831,986,868,310,96,18,3688,8,35,649,1406,1686,1310,397,92,27,5607,0,10,93,238,315,250,104,39,11,1069,12,22,113,385,620,509,268,117,32,2068,691,422,965,1033,1192,1491,1690,1569,1108,10162,3,4,23,20,17,25,13,12,5,113,8488,6091,12743,14760,18736,24580,26449,15613,5523,132983
CED125,567,809,1257,1165,1085,1409,2443,1494,497,10728,651,1276,1941,1773,1330,1329,1549,698,212,10769,419,1580,2373,2117,1611,1499,1045,411,84,11136,274,1801,3506,3045,2408,1988,844,238,44,14157,98,1517,4591,3880,2971,2322,812,168,31,16390,23,776,3685,3376,2305,1616,551,83,15,12437,13,377,2996,2861,2012,1323,370,68,14,10031,16,176,2001,2164,1446,981,232,26,4,7048,9,129,2509,3666,2406,1367,263,32,4,10390,3,13,268,647,469,224,64,10,3,1697,6,11,295,696,541,291,99,27,13,1974,847,875,1958,1882,1278,1005,812,659,337,9650,6,22,42,36,37,96,93,23,11,363,12604,12909,32126,31766,23401,20761,15497,6748,1779,157588
CED126,422,644,365,448,570,682,1540,1617,857,7151,556,1041,674,756,837,1107,1466,1274,552,8253,332,1100,1000,987,1096,1258,1348,989,318,8419,140,1112,1386,1215,1458,1492,1246,765,262,9081,62,1026,2109,1684,1905,1929,1332,718,175,10946,21,550,1758,1544,1779,1631,894,387,119,8690,6,220,1622,1713,1966,1499,772,320,118,8223,6,81,1145,1487,1689,1274,549,235,60,6537,0,94,1761,3399,3644,2341,832,290,88,12445,5,19,339,1157,1350,743,240,93,23,3967,9,19,405,2545,3833,2099,644,250,71,9871,347,317,661,743,815,768,720,853,990,6216,15,10,55,29,39,33,32,14,9,243,9819,8217,14589,19404,23064,19691,15569,11059,4868,126273
CED127,479,558,648,645,775,1136,2344,1851,678,9123,586,813,1082,937,1054,1316,1970,1062,320,9139,400,991,1222,1133,1217,1334,1436,792,223,8752,207,1163,1663,1403,1596,1571,1234,493,117,9453,101,895,2217,1809,2117,2029,1292,396,66,10941,29,560,1818,1662,1723,1541,793,196,40,8372,14,246,1558,1651,1884,1484,596,145,30,7599,10,112,1095,1487,1703,1272,387,71,17,6157,3,94,1408,2798,3103,2259,537,123,19,10352,0,4,204,495,661,462,133,33,10,2009,3,10,197,682,1086,739,234,85,15,3057,433,354,797,768,875,799,767,755,675,6220,6,9,30,21,27,15,20,10,0,133,9049,7644,15930,17465,20182,19794,16823,8783,2981,118635
CED128,411,748,1260,1255,1443,1747,2386,1718,895,11857,454,1135,1803,1621,1539,1503,1338,777,263,10435,315,1260,1823,1723,1497,1399,900,412,110,9434,167,1375,2534,2040,2000,1789,742,217,58,10919,85,1121,3085,2459,2251,1932,679,142,31,11791,29,663,2433,1940,1735,1321,407,53,8,8591,8,305,1800,1729,1443,1090,282,53,23,6722,3,124,1155,1327,1094,737,179,21,9,4648,8,84,1401,2095,1632,1055,209,17,3,6495,6,10,205,409,290,197,43,5,3,1170,0,6,124,443,394,210,80,31,8,1305,812,890,2091,1897,1462,1230,1026,706,483,10603,3,12,33,35,39,37,48,19,13,242,11444,11539,24718,23763,21654,20659,14968,7876,2949,139560
