CED_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED330,892,10324,11218,18284,2547,20826,9766,746,10508,10020,587,10606,4893,300,5194,3542,169,3716,47391,14671,62061
CED397,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
CED401,1084,25645,26733,21573,5050,26624,10722,1841,12563,9762,796,10560,3380,263,3641,1623,158,1782,48145,33759,81907
CED402,1165,21302,22468,23376,3625,27000,8257,826,9082,7554,514,8067,3475,223,3697,1571,123,1692,45395,26612,72007
CED403,1100,21826,22920,21662,2954,24614,9779,957,10733,9646,414,10057,3278,148,3423,1093,76,1168,46554,26369,72925
CED404,1439,24027,25468,22876,5304,28179,7849,943,8792,6762,585,7345,3327,261,3589,1767,135,1906,44022,31257,75285
CED405,1022,21822,22840,21238,2985,24219,10157,802,10957,9385,337,9727,3152,135,3286,1268,62,1330,46212,26142,72357
CED406,1082,16687,17766,21039,2310,23353,10379,572,10955,9347,300,9645,3310,123,3430,1305,43,1356,46466,20031,66507
CED407,918,15827,16744,19887,2075,21961,10292,565,10856,10000,335,10334,3902,164,4067,2120,72,2191,47120,19038,66160
CED408,1343,16580,17922,24086,2768,26850,9251,573,9826,9170,378,9545,3610,144,3756,1483,72,1558,48942,20516,69458
CED409,1034,18467,19497,18682,3056,21736,10758,923,11680,9319,499,9815,4530,246,4776,3347,135,3483,47668,23323,70987
CED410,1012,21271,22281,21743,2811,24550,10811,834,11645,11255,445,11701,3799,166,3963,1356,82,1436,49975,25603,75578
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED501,1837,15477,17317,18408,2420,20820,10670,659,11326,10046,412,10458,4325,206,4531,2212,95,2307,47493,19264,66760
CED502,1174,15117,16291,16577,2495,19069,10651,832,11480,10511,507,11015,4666,259,4920,3007,147,3155,46581,19358,65938
CED503,1673,14931,16605,20146,2247,22389,8565,492,9060,7813,303,8116,3380,160,3536,1821,83,1904,43398,18209,61609
CED504,1213,17476,18687,19142,2776,21928,10767,846,11613,9627,486,10111,4057,222,4285,2488,112,2598,47297,21923,69220
CED505,1498,19662,21163,19215,3161,22377,9012,979,9988,10093,420,10515,3637,137,3776,939,42,980,44395,24393,68794
CED506,2059,22641,24702,19075,13038,32113,8798,2038,10837,8152,1763,9916,4128,822,4952,2901,482,3382,45105,40789,85894
CED507,1656,15648,17299,19507,3122,22633,8297,697,8991,7818,468,8286,3246,197,3437,1402,103,1505,41933,20224,62155
