CED_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
CED136,1233,245,282,332,344,110,46,94,5903,13,0,0,0,0,0,0,0,0,48,67,10724,2290,2129,391,383,480,492,222,86,484,17688
CED137,13246,4393,5342,6821,6739,2087,434,1699,85374,23,0,12,3,0,7,14,0,3,495,570,43753,14208,15358,4956,5861,7432,7346,2307,540,2577,104340
CED138,1375,397,359,446,544,235,38,186,7063,22,3,6,0,0,0,5,0,0,141,176,16695,3323,3010,722,623,747,913,512,111,1069,27728
CED139,1619,537,585,641,937,306,168,100,7288,10,0,3,0,0,0,0,0,3,113,136,5819,1754,2142,625,689,749,1048,369,198,480,13874
CED140,1726,421,404,391,417,181,43,163,9512,32,0,0,0,0,0,0,0,3,111,151,17989,4150,3377,712,639,581,636,319,98,778,29290
CED141,739,226,219,196,207,63,36,119,4917,23,0,0,0,0,0,0,0,0,49,76,10783,1816,1507,341,313,296,313,112,60,402,15959
CED142,11832,4344,4858,5387,7348,2893,806,1132,62014,35,11,15,5,10,12,14,5,0,362,468,32660,12294,17831,6046,6640,7534,9963,4106,1404,2098,100584
CED143,3078,967,1027,1056,1289,585,141,275,18906,19,0,3,0,5,0,7,0,0,30,62,25376,7786,7575,1884,2001,2036,2292,1164,349,788,51254
CED144,10041,2578,3545,3715,3736,1045,282,1955,77706,30,11,11,4,3,8,11,0,0,468,552,47357,11750,11086,2814,3800,3964,4010,1169,315,2747,88996
CED145,2897,886,1026,1246,1550,658,136,346,19140,25,3,6,0,7,4,3,0,3,430,482,26803,6006,7438,2166,2315,2755,3277,1520,391,1367,54033
CED146,9322,2632,1933,1539,1832,653,197,1321,75361,45,7,12,4,5,4,0,0,0,341,418,51949,14075,10385,2857,2115,1720,2005,747,223,2001,88075
CED147,1496,318,287,350,347,129,30,225,11578,29,0,0,0,0,0,0,0,0,81,117,21735,2519,2309,443,430,476,472,220,58,856,29513
CED197,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
CED201,5843,1070,1090,1014,1268,418,110,439,34744,29,7,4,0,0,0,0,0,0,95,140,28894,9827,7000,1310,1286,1190,1455,481,147,886,52474
CED202,1386,393,363,460,561,222,41,164,6890,15,0,3,0,0,0,0,0,0,41,59,9504,2397,2171,502,478,620,696,302,63,540,17274
CED203,1547,460,440,544,476,178,33,125,6789,10,0,0,0,0,0,0,0,0,277,292,7852,2537,2112,587,560,646,577,231,74,713,15878
CED204,11646,2279,2542,2482,2855,1018,408,1106,63613,39,11,13,0,10,5,3,0,0,202,281,40821,13680,12938,2491,2808,2702,3097,1133,447,1729,81855
CED205,13768,4965,4071,3383,4363,1332,283,1263,74739,39,11,13,5,7,3,10,0,5,347,428,32057,16804,15026,5185,4315,3598,4566,1419,317,1884,85167
CED206,1731,320,263,370,323,125,45,137,8880,16,0,3,0,0,0,0,0,0,20,34,17310,3535,2750,500,382,474,459,166,68,519,26161
CED207,11803,3342,3914,4247,5017,2092,526,1152,72920,30,4,3,4,7,9,18,3,0,85,157,40260,14436,13515,3705,4316,4739,5561,2368,591,1616,91094
CED208,3944,1118,1439,1831,1773,551,110,865,33072,29,4,0,0,0,0,0,0,0,113,155,26727,5508,5993,1562,1876,2312,2192,689,175,1310,48346
CED209,1464,349,430,478,627,270,42,125,7555,18,7,0,0,0,3,4,0,0,104,132,11909,3151,2845,587,615,686,884,370,88,671,21810
CED210,3146,912,908,1017,1238,434,95,361,16758,33,6,5,0,0,3,4,0,0,344,396,15629,3763,4278,1110,1101,1207,1487,569,124,1062,30342
CED211,6682,1454,1422,1568,1541,487,124,471,32261,25,8,8,6,0,0,4,0,0,146,185,23987,8841,7895,1623,1618,1744,1734,572,169,955,49139
