CED_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
CED142,750,2363,3112,172,444,617,182,1170,1357,193,2161,2348,472,2898,3363,488,1968,2455,1047,1830,2877,1109,2473,3580,1386,3337,4723,1852,3267,5120,1556,3266,4819,1817,3157,4975,4876,7631,12513,4066,1164,5233,4073,2821,6898,3235,755,3986,15621,6190,21811,1826,1671,3496,313,1274,1592,45043,49848,94892
CED143,332,531,859,98,208,307,86,369,452,102,573,672,245,1280,1528,301,1145,1444,684,967,1648,800,1136,1934,1120,1385,2509,1437,1238,2669,1258,1221,2483,1400,1161,2558,3508,2499,6007,3008,267,3281,3043,898,3942,2363,161,2527,17957,2171,20130,2126,315,2443,300,458,757,40171,17985,58160
CED144,901,884,1792,187,208,395,281,596,875,364,1372,1737,931,2322,3256,1062,1261,2327,2811,985,3790,2512,1185,3688,3107,1306,4416,3516,1058,4573,2568,855,3425,2604,661,3258,5148,1136,6286,3619,284,3905,2830,308,3140,2001,87,2087,5427,422,5849,2304,355,2659,595,574,1169,42775,15856,58624
CED145,363,766,1133,93,210,301,88,398,482,83,673,753,211,1325,1540,233,1231,1467,569,1106,1678,586,1422,2009,919,1744,2665,1101,1654,2753,907,1639,2553,1193,1610,2802,2822,3486,6307,2339,456,2791,2577,1435,4014,2038,377,2422,17072,4165,21236,2042,773,2813,384,643,1027,35629,25113,60741
CED146,683,507,1190,163,135,297,268,465,728,324,930,1253,885,1708,2596,1004,668,1673,2574,538,3111,2382,789,3174,2923,775,3699,3456,562,4019,2784,443,3228,2885,386,3269,6198,491,6688,4914,57,4977,3862,104,3963,2646,19,2663,6463,138,6600,2590,91,2681,637,432,1068,47644,9224,56872
CED147,504,569,1072,184,198,379,198,596,796,223,1168,1391,813,3281,4093,875,1927,2807,3119,1181,4301,2720,1433,4148,3032,1407,4440,3573,933,4516,2572,788,3359,2810,605,3420,5933,894,6837,4727,107,4838,3837,182,4015,2330,43,2377,5497,409,5904,2581,147,2730,540,703,1245,46080,16592,62671
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,476,525,992,202,175,381,186,390,570,208,800,1007,630,2235,2864,674,1308,1978,2137,1012,3146,2007,1208,3214,2666,1306,3971,3100,971,4074,2425,863,3285,2559,692,3256,5865,1037,6894,4928,152,5081,4167,208,4372,2670,59,2734,6322,254,6573,2209,142,2351,419,473,890,43837,13810,57650
CED202,323,541,873,145,226,372,147,612,755,211,1328,1544,690,3599,4288,902,2244,3144,2716,1433,4150,2455,1839,4293,2937,1863,4804,3438,1308,4740,2525,1087,3609,2629,810,3441,5215,1110,6325,3837,180,4021,2954,255,3213,1732,64,1796,4029,460,4492,2358,254,2613,516,776,1291,39753,20004,59756
CED203,286,538,827,167,252,424,158,627,785,194,1334,1537,709,3596,4303,861,2251,3112,2802,1515,4317,2584,1824,4410,2955,1785,4737,3467,1218,4687,2503,1050,3546,2587,801,3389,5440,1083,6523,3920,169,4089,3020,223,3245,1770,60,1825,3628,393,4024,2352,273,2627,541,777,1315,39945,19767,59720
CED204,653,646,1307,197,176,372,239,426,658,293,875,1170,825,2284,3112,878,1167,2043,2641,859,3507,2566,1187,3745,3085,1277,4358,3751,974,4723,2808,765,3569,2962,524,3482,6248,826,7070,4669,200,4868,3456,188,3646,2184,116,2301,4524,344,4869,2593,208,2803,571,569,1137,45135,13605,58736
CED205,735,512,1247,179,107,286,308,339,649,324,681,1003,889,1429,2320,1168,656,1819,2684,586,3271,2726,918,3645,3313,973,4285,3976,733,4704,3152,668,3818,3121,441,3566,6447,646,7097,4561,132,4697,3288,133,3419,2016,59,2072,3827,201,4032,2443,164,2605,681,408,1088,45831,9784,55621
CED206,360,497,858,171,175,350,152,386,538,163,750,912,555,2427,2986,643,1417,2057,2055,987,3042,2024,1239,3265,2500,1255,3752,3068,916,3980,2404,743,3148,2546,555,3097,6115,867,6986,5041,111,5154,4017,220,4238,2576,32,2606,5764,270,6035,2547,148,2696,500,488,997,43202,13494,56693
CED207,983,1146,2133,378,344,722,368,663,1036,329,1123,1453,847,2575,3414,873,1656,2524,2225,1229,3454,2172,1403,3580,2710,1507,4213,3068,1173,4239,2302,1043,3342,2386,851,3240,5324,1491,6817,4151,347,4496,3907,444,4360,2714,157,2869,9697,685,10382,2519,418,2937,440,579,1019,47405,18823,66234
CED208,430,817,1253,179,278,459,189,695,883,215,1466,1681,612,3047,3661,603,1686,2292,1928,1314,3238,1669,1565,3235,1888,1884,3774,2304,1895,4196,1951,1758,3708,2054,1431,3489,4490,2461,6955,3829,460,4288,3536,701,4234,2596,241,2833,8298,870,9169,1859,672,2533,379,675,1052,39029,23911,62936
CED209,395,463,861,200,164,367,145,375,522,153,773,925,627,2222,2850,690,1688,2377,2261,1129,3392,2137,1215,3354,2653,1292,3942,3091,978,4072,2165,931,3098,2302,707,3010,5505,1131,6633,4524,231,4750,3749,303,4053,2291,110,2393,5579,653,6228,2402,262,2665,455,570,1030,41320,15194,56511
CED210,357,611,967,162,248,406,180,654,834,204,1410,1615,709,3575,4285,891,2426,3316,2500,1497,3999,2315,1862,4175,2769,1911,4681,3110,1484,4589,2319,1281,3604,2327,970,3293,5117,1525,6639,3901,247,4147,3350,355,3711,2133,118,2248,5555,513,6073,2234,352,2584,525,850,1382,40643,21901,62547
CED211,574,615,1184,202,225,427,203,494,695,225,956,1179,613,2501,3114,672,1808,2477,1951,1288,3236,2117,1472,3584,2606,1537,4143,3076,1259,4337,2286,1094,3379,2386,833,3223,5562,1303,6864,4784,188,4969,4193,285,4476,2931,72,3008,8081,369,8451,2285,202,2489,412,599,1008,45126,17098,62225
CED212,389,582,971,136,207,340,186,470,654,166,1053,1219,620,2883,3505,725,1935,2657,2040,1277,3316,2052,1639,3692,2569,1705,4281,2955,1341,4292,2369,1110,3474,2548,784,3324,5799,1118,6918,4728,133,4862,3608,230,3833,2361,55,2413,5793,305,6091,2321,211,2536,543,709,1252,41888,17748,59637
CED213,439,702,1134,223,263,479,176,574,749,186,1106,1290,752,3275,4035,690,2422,3118,2697,1481,4180,2412,1563,3971,3052,1585,4637,3297,1129,4426,2154,920,3074,2388,705,3091,5005,1075,6082,3811,175,3990,3073,311,3388,1896,66,1962,5235,1033,6268,2515,145,2662,631,992,1627,40617,19536,60158
CED214,746,880,1622,220,222,439,322,683,1012,396,1529,1924,955,2773,3724,897,1488,2392,2560,1191,3754,2409,1568,3974,2625,1752,4370,3247,1609,4857,2459,1368,3831,2400,1205,3599,5065,1967,7028,4002,439,4440,3341,595,3938,2261,189,2448,6011,740,6746,2191,538,2724,554,693,1248,42653,21423,64073
CED215,595,616,1213,204,183,385,217,416,638,226,808,1030,631,1852,2485,703,1093,1794,1876,851,2728,1787,1144,2933,2354,1268,3620,2971,1155,4129,2469,1105,3579,2577,825,3408,6305,1611,7914,5109,210,5316,4810,438,5252,3295,123,3411,10377,594,10975,2522,270,2791,482,469,949,49499,15037,64539
CED216,526,766,1288,219,273,494,252,741,991,275,1653,1920,946,4317,5265,1057,2450,3506,3638,1563,5207,3106,1931,5037,3287,1685,4971,3655,1201,4857,2345,938,3284,2619,695,3319,4859,942,5803,3308,128,3436,2362,253,2611,1296,57,1353,3195,458,3652,2785,214,3001,758,1127,1884,40489,21388,61876
CED217,502,658,1163,189,278,464,209,468,671,154,859,1010,435,1884,2317,436,1425,1857,1126,1183,2303,1217,1328,2540,1639,1438,3077,1962,1171,3131,1480,1075,2551,1642,896,2537,3711,1743,5449,3209,166,3378,3334,523,3853,2454,68,2520,15511,1090,16601,2332,171,2505,387,542,923,41914,16962,58868
CED218,678,506,1184,182,118,295,239,316,555,259,647,904,723,1576,2305,797,676,1470,2431,567,2999,2142,808,2946,2562,898,3464,3213,765,3979,2685,646,3332,2854,500,3353,6274,731,7004,4938,93,5032,3941,154,4091,2597,55,2653,5777,180,5958,2457,122,2584,581,358,938,45327,9704,55031
CED219,489,529,1016,156,123,284,172,342,517,238,802,1037,685,2059,2743,855,1271,2124,2306,878,3185,2265,1193,3460,2727,1346,4076,3409,1090,4496,2764,887,3650,2892,621,3509,6430,880,7311,4771,127,4887,3444,169,3617,2178,28,2199,4476,189,4667,2359,137,2502,555,499,1051,43154,13169,56322
CED220,463,1001,1472,148,330,477,154,647,806,144,1131,1280,391,2059,2447,384,1689,2072,937,1434,2367,997,1832,2827,1356,2500,3858,1670,2441,4109,1331,2417,3750,1554,2027,3577,3790,3985,7773,3213,555,3771,3127,1226,4350,2334,271,2607,14243,2440,16687,2011,577,2594,323,647,972,38580,29222,67808
CED221,441,411,850,116,96,209,182,220,401,176,525,707,560,1373,1930,734,832,1567,2020,612,2636,2266,1021,3290,2883,1155,4033,3798,942,4734,3357,755,4114,3499,498,3995,7922,635,8557,5709,134,5837,3928,151,4085,2280,71,2348,3876,164,4045,2633,183,2820,538,373,909,46911,10154,57063
CED222,879,1041,1918,278,291,570,302,653,947,320,1289,1609,950,3018,3973,883,1516,2396,2870,1110,3983,2642,1572,4212,3103,1549,4645,3725,1289,5012,2972,1064,4031,2954,816,3771,6250,1379,7638,4661,391,5049,3694,461,4157,2520,190,2713,6720,622,7344,2538,516,3050,523,579,1107,48778,19352,68130
CED223,376,622,997,192,274,473,168,666,839,232,1451,1685,852,3832,4683,863,2339,3199,3104,1636,4744,2684,1955,4647,3220,1921,5142,3662,1293,4953,2504,1034,3540,2770,718,3486,5794,967,6761,3865,180,4044,2726,249,2981,1650,82,1729,3255,662,3914,2854,189,3041,659,1080,1742,41432,21171,62599
CED224,464,656,1122,167,239,413,188,489,672,175,957,1128,536,2688,3224,610,1791,2396,1821,1206,3021,1722,1447,3168,2281,1567,3845,2538,1274,3817,2073,1144,3215,2188,957,3143,5192,1466,6654,4598,166,4769,4198,374,4573,2986,61,3049,8698,487,9182,2059,172,2233,450,595,1045,42955,17728,60682
CED225,454,561,1011,174,184,359,178,462,640,169,839,1006,534,2138,2674,556,1423,1981,1618,1164,2776,1654,1223,2877,2147,1340,3492,2528,1091,3618,2012,1060,3072,2181,850,3027,4921,1459,6376,4327,175,4504,4142,327,4475,3026,82,3118,10269,486,10752,2171,203,2374,437,465,905,43490,15542,59038
CED226,729,718,1446,243,264,501,261,474,730,211,720,931,463,1443,1904,478,1380,1852,1095,1216,2311,1112,1400,2511,1589,1670,3257,1999,1588,3591,1545,1450,3000,1701,1234,2937,3984,2339,6316,3231,288,3523,3171,666,3839,2395,185,2575,15653,1396,17051,2520,365,2890,341,465,799,42712,19252,61971
CED227,384,383,764,143,117,259,155,260,418,167,568,734,491,1556,2048,626,1100,1726,1882,721,2600,1858,1036,2896,2557,1180,3736,3198,944,4137,2618,780,3398,3113,593,3704,6943,760,7708,5576,118,5699,4058,188,4243,2426,43,2471,5305,223,5527,2450,133,2583,538,426,964,44490,11124,55615
CED228,517,533,1053,141,133,279,206,314,514,256,703,957,624,1523,2145,958,1067,2024,2182,842,3023,2375,1139,3517,3119,1408,4521,3906,1135,5041,3415,999,4412,3448,664,4113,8031,1040,9067,5606,207,5809,4294,257,4546,2652,99,2750,5400,365,5764,2654,242,2896,605,463,1070,50370,13138,63507
CED229,505,1337,1845,163,361,521,152,813,963,171,1498,1667,393,2295,2685,453,1980,2434,965,1797,2762,1014,2493,3506,1490,3490,4983,1898,3343,5237,1539,3391,4927,1787,2895,4681,4519,5918,10439,3673,676,4345,3557,1719,5283,2605,362,2966,12893,3239,16126,2039,778,2817,376,949,1330,40180,39338,79517
