CED_CODE_2021,M_0_4_yr_Need_for_assist,M_0_4_yr_No_need_for_assist,M_0_4_yr_Need_for_assist_ns,M_0_4_yr_OS_vis,M_0_4_yr_Tot,M_5_14_yr_Need_for_assist,M_5_14_yr_No_need_for_assist,M_5_14_yr_Need_for_assist_ns,M_5_14_yr_OS_vis,M_5_14_yr_Tot,M_15_19_yr_Need_for_assist,M_15_19_No_need_for_assist,M_15_19_Need_for_assist_ns,M_15_19_yr_OS_vis,M_15_19_yr_Tot,M_20_24_yr_Need_for_assist,M_20_24_No_need_for_assist,M_20_24_Need_for_assist_ns,M_20_24_yr_OS_vis,M_20_24_yr_Tot,M_25_34_yr_Need_for_assist,M_25_34_No_need_for_assist,M_25_34_Need_for_assist_ns,M_25_34_yr_OS_vis,M_25_34_yr_Tot,M_35_44_yr_Need_for_assist,M_35_44_No_need_for_assist,M_35_44_Need_for_assist_ns,M_35_44_yr_OS_vis,M_35_44_yr_Tot,M_45_54_yr_Need_for_assist,M_45_54_No_need_for_assist,M_45_54_Need_for_assist_ns,M_45_54_yr_OS_vis,M_45_54_yr_Tot,M_55_64_yr_Need_for_assist,M_55_64_No_need_for_assist,M_55_64_Need_for_assist_ns,M_55_64_yr_OS_vis,M_55_64_yr_Tot,M_65_74_yr_Need_for_assist,M_65_74_No_need_for_assist,M_65_74_Need_for_assist_ns,M_65_74_yr_OS_vis,M_65_74_yr_Tot,M_75_84_yr_Need_for_assist,M_75_84_No_need_for_assist,M_75_84_Need_for_assist_ns,M_75_84_yr_OS_vis,M_75_84_yr_Tot,M_85_yr_over_Need_for_assist,M_85_over_No_need_for_assist,M_85_over_Need_for_assist_ns,M_85_over_OS_vis,M_85_yr_over_Tot,M_Tot_Need_for_assist,M_Tot_No_need_for_assist,M_Tot_Need_for_assist_ns,M_Tot_OS_vis,M_Tot_Tot,F_0_4_yr_Need_for_assist,F_0_4_yr_No_need_for_assist,F_0_4_yr_Need_for_assist_ns,F_0_4_yr_OS_vis,F_0_4_yr_Tot,F_5_14_yr_Need_for_assist,F_5_14_yr_No_need_for_assist,F_5_14_yr_Need_for_assist_ns,F_5_14_yr_OS_vis,F_5_14_yr_Tot,F_15_19_yr_Need_for_assist,F_15_19_No_need_for_assist,F_15_19_Need_for_assist_ns,F_15_19_yr_OS_vis,F_15_19_yr_Tot,F_20_24_yr_Need_for_assist,F_20_24_No_need_for_assist,F_20_24_Need_for_assist_ns,F_20_24_yr_OS_vis,F_20_24_yr_Tot,F_25_34_yr_Need_for_assist,F_25_34_No_need_for_assist,F_25_34_Need_for_assist_ns,F_25_34_yr_OS_vis,F_25_34_yr_Tot,F_35_44_yr_Need_for_assist,F_35_44_No_need_for_assist,F_35_44_Need_for_assist_ns,F_35_44_yr_OS_vis,F_35_44_yr_Tot,F_45_54_yr_Need_for_assist,F_45_54_No_need_for_assist,F_45_54_Need_for_assist_ns,F_45_54_yr_OS_vis,F_45_54_yr_Tot,F_55_64_yr_Need_for_assist,F_55_64_No_need_for_assist,F_55_64_Need_for_assist_ns,F_55_64_yr_OS_vis,F_55_64_yr_Tot,F_65_74_yr_Need_for_assist,F_65_74_No_need_for_assist,F_65_74_Need_for_assist_ns,F_65_74_yr_OS_vis,F_65_74_yr_Tot,F_75_84_yr_Need_for_assist,F_75_84_No_need_for_assist,F_75_84_Need_for_assist_ns,F_75_84_yr_OS_vis,F_75_84_yr_Tot,F_85_yr_over_Need_for_assist,F_85_over_No_need_for_assist,F_85_over_Need_for_assist_ns,F_85_over_OS_vis,F_85_yr_over_Tot,F_Tot_Need_for_assist,F_Tot_No_need_for_assist,F_Tot_Need_for_assist_ns,F_Tot_OS_vis,F_Tot_Tot,P_0_4_yr_Need_for_assist,P_0_4_yr_No_need_for_assist,P_0_4_yr_Need_for_assist_ns,P_0_4_yr_OS_vis,P_0_4_yr_Tot,P_5_14_yr_Need_for_assist,P_5_14_yr_No_need_for_assist,P_5_14_yr_Need_for_assist_ns,P_5_14_yr_OS_vis,P_5_14_yr_Tot,P_15_19_yr_Need_for_assist,P_15_19_No_need_for_assist,P_15_19_Need_for_assist_ns,P_15_19_yr_OS_vis,P_15_19_yr_Tot,P_20_24_yr_Need_for_assist,P_20_24_No_need_for_assist,P_20_24_Need_for_assist_ns,P_20_24_yr_OS_vis,P_20_24_yr_Tot,P_25_34_yr_Need_for_assist,P_25_34_No_need_for_assist,P_25_34_Need_for_assist_ns,P_25_34_yr_OS_vis,P_25_34_yr_Tot,P_35_44_yr_Need_for_assist,P_35_44_No_need_for_assist,P_35_44_Need_for_assist_ns,P_35_44_yr_OS_vis,P_35_44_yr_Tot,P_45_54_yr_Need_for_assist,P_45_54_No_need_for_assist,P_45_54_Need_for_assist_ns,P_45_54_yr_OS_vis,P_45_54_yr_Tot,P_55_64_yr_Need_for_assist,P_55_64_No_need_for_assist,P_55_64_Need_for_assist_ns,P_55_64_yr_OS_vis,P_55_64_yr_Tot,P_65_74_yr_Need_for_assist,P_65_74_No_need_for_assist,P_65_74_Need_for_assist_ns,P_65_74_yr_OS_vis,P_65_74_yr_Tot,P_75_84_yr_Need_for_assist,P_75_84_No_need_for_assist,P_75_84_Need_for_assist_ns,P_75_84_yr_OS_vis,P_75_84_yr_Tot,P_85_yr_over_Need_for_assist,P_85_over_No_need_for_assist,P_85_over_Need_for_assist_ns,P_85_over_OS_vis,P_85_yr_over_Tot,P_Tot_Need_for_assist,P_Tot_No_need_for_assist,P_Tot_Need_for_assist_ns,P_Tot_OS_vis,P_Tot_Tot
CED111,82,4271,193,3,4545,491,8645,384,5,9521,182,4445,244,0,4878,147,5759,328,16,6255,238,10205,544,18,11001,252,9102,442,8,9796,352,9157,443,11,9961,526,8740,369,10,9645,720,6334,301,10,7366,883,3356,274,0,4507,764,741,183,0,1691,4628,70754,3702,82,79168,36,4017,180,4,4235,276,8385,394,3,9064,97,4384,262,7,4750,135,5673,288,7,6102,207,9996,491,17,10710,252,9517,439,18,10218,441,9579,367,6,10400,582,9087,356,10,10028,813,6955,329,19,8115,1332,3665,373,3,5365,1488,911,469,3,2863,5653,72165,3943,98,81852,115,8289,377,6,8784,762,17036,777,10,18589,280,8828,511,6,9625,285,11435,621,19,12354,439,20203,1035,38,21716,499,18619,878,23,20018,795,18736,809,22,20358,1106,17830,719,19,19670,1532,13289,632,28,15476,2218,7016,642,3,9875,2252,1651,647,3,4557,10277,142917,7647,179,161021
CED112,115,4581,276,7,4972,1061,9262,582,4,10915,332,4606,269,3,5212,216,4154,240,3,4614,293,8287,506,3,9094,306,8668,523,12,9510,391,8890,517,11,9808,642,8268,421,7,9339,927,6946,385,10,8272,923,3665,336,7,4925,714,793,237,4,1743,5926,68126,4295,70,78404,77,4432,268,0,4776,475,9200,592,5,10274,201,4380,264,4,4848,137,4158,228,0,4529,251,9099,537,9,9902,319,9352,502,5,10179,454,9660,480,9,10607,706,9294,419,21,10435,918,7975,419,13,9331,1312,4204,476,6,5988,1417,1118,509,0,3038,6263,72876,4696,71,83908,196,9012,541,3,9751,1541,18467,1178,11,21191,531,8985,534,5,10060,357,8306,476,4,9142,549,17388,1044,18,18990,628,18030,1024,13,19695,844,18555,1003,17,20412,1349,17560,836,33,19776,1844,14921,810,28,17603,2231,7863,809,5,10919,2131,1908,743,0,4788,12189,140999,8984,143,162312
CED113,65,4182,237,3,4484,539,9436,720,7,10703,167,4319,315,6,4804,135,3892,359,12,4397,210,8846,895,65,10021,219,8881,803,24,9926,343,10115,857,11,11338,470,10877,905,11,12259,727,8725,667,17,10141,753,3803,343,0,4896,528,737,144,3,1413,4167,73800,6241,161,84371,36,4152,280,3,4472,247,8860,631,8,9746,101,4036,268,5,4412,86,3659,263,20,4030,208,9178,668,50,10107,258,9388,628,15,10283,422,10499,659,9,11589,542,10727,697,26,11996,650,8487,541,14,9689,909,3744,325,7,4985,1072,763,215,0,2053,4529,73502,5176,161,83362,103,8334,515,7,8960,788,18297,1352,12,20447,269,8359,583,9,9221,222,7546,626,30,8422,420,18028,1562,122,20132,477,18267,1427,37,20205,765,20616,1518,27,22923,1010,21600,1604,38,24258,1381,17208,1207,29,19828,1664,7547,669,7,9881,1597,1497,356,5,3462,8696,147303,11421,322,167739
CED114,107,4711,426,0,5245,685,9573,989,0,11243,231,4600,415,3,5247,170,4009,390,29,4592,293,9075,924,102,10390,227,8513,837,55,9631,391,9083,932,17,10424,633,9933,881,14,11457,936,8482,745,11,10177,890,4223,417,3,5534,710,931,198,0,1838,5270,73134,7147,238,85788,54,4550,408,0,5011,326,9425,884,3,10628,127,4541,365,3,5032,111,3940,354,10,4413,210,9294,805,57,10368,230,9028,779,19,10058,443,9522,718,10,10691,616,10343,799,17,11775,907,8426,615,8,9954,1235,4587,476,0,6302,1462,1138,228,0,2823,5701,74786,6427,125,87051,157,9258,830,3,10257,1009,18996,1867,3,21872,360,9142,777,4,10279,282,7944,744,37,9011,504,18369,1731,152,20758,455,17544,1612,76,19687,828,18599,1650,31,21116,1249,20269,1681,35,23236,1837,16915,1361,15,20129,2126,8809,889,7,11837,2161,2066,424,0,4663,10970,147922,13578,365,172836
CED115,83,4474,492,8,5050,480,9712,843,11,11040,164,5157,386,0,5713,141,5656,421,0,6226,270,11116,975,38,12398,298,9392,869,27,10581,616,9342,761,17,10736,1098,9246,699,12,11055,1434,5842,521,21,7816,1238,2134,361,7,3737,771,396,224,3,1396,6584,72470,6547,152,85748,42,4197,452,4,4697,199,9190,811,4,10206,100,5068,359,4,5528,78,5722,411,6,6220,178,11153,1019,20,12372,317,10311,859,13,11497,715,10013,717,19,11463,1378,9187,644,48,11252,1769,6045,521,26,8364,1777,1985,401,5,4169,1377,384,394,6,2161,7932,73243,6592,148,87920,130,8666,939,16,9748,681,18897,1656,18,21250,265,10223,746,8,11241,218,11378,835,11,12446,443,22268,1998,53,24768,608,19705,1726,42,22080,1328,19357,1476,36,22196,2479,18431,1341,61,22312,3207,11885,1040,43,16175,3015,4119,762,11,7900,2145,783,620,9,3562,14513,145715,13140,301,173670
CED116,86,3783,290,10,4173,659,7963,681,8,9300,240,3852,313,5,4409,167,3179,352,10,3704,287,6811,803,12,7914,273,7162,753,8,8199,385,8127,748,13,9274,785,10430,688,21,11925,1103,11113,620,11,12851,1166,5680,387,5,7246,851,1157,139,0,2148,6000,69266,5776,94,81140,48,3541,281,4,3874,262,7926,598,3,8788,158,3579,291,6,4031,109,3006,205,5,3331,222,7188,498,9,7926,267,7730,557,13,8564,423,8886,550,6,9863,750,11790,599,5,13142,1063,11681,570,14,13321,1484,5664,410,9,7564,1616,1379,234,0,3230,6394,72370,4800,74,83641,135,7328,573,9,8045,922,15886,1276,11,18093,392,7433,603,8,8439,282,6189,552,15,7040,504,14002,1301,24,15835,546,14892,1310,23,16767,806,17010,1303,23,19144,1535,22224,1285,25,25073,2169,22793,1188,20,26172,2648,11345,800,18,14811,2466,2534,377,0,5381,12398,141646,10569,171,164781
CED117,40,3691,114,6,3845,244,6883,271,3,7398,71,2941,115,5,3139,67,3961,242,8,4281,119,13013,642,39,13810,141,11789,568,18,12514,207,9804,478,25,10513,313,7118,432,17,7878,461,4583,259,22,5336,662,1973,172,6,2809,566,384,78,0,1031,2902,66137,3372,148,72552,11,3537,144,9,3695,114,6747,228,3,7094,56,2681,113,0,2853,74,4309,246,12,4640,170,13950,707,22,14848,139,12226,489,17,12871,221,10349,393,15,10979,322,7497,265,33,8115,575,5299,232,32,6138,1042,2134,157,0,3331,1038,456,94,0,1586,3764,69175,3065,151,76151,53,7225,259,10,7539,357,13631,497,13,14498,131,5620,231,5,5990,143,8272,486,21,8926,288,26956,1348,65,28659,284,24015,1058,36,25384,425,20153,873,42,21488,635,14613,692,50,15991,1038,9882,496,54,11479,1698,4104,325,6,6135,1606,839,173,0,2619,6667,135315,6438,296,148708
CED118,163,6960,377,4,7502,684,14285,711,9,15687,227,5656,285,0,6177,150,6063,539,3,6760,204,13043,1367,13,14621,227,17623,1153,15,19020,289,11707,673,11,12676,442,8098,416,40,8996,695,5239,270,71,6270,695,2034,201,17,2946,390,326,89,0,802,4163,91019,6073,191,101451,71,6704,371,3,7151,326,13832,671,7,14836,114,5340,237,0,5688,97,5606,299,14,6014,159,14098,807,14,15073,259,17553,810,12,18632,406,11268,494,24,12194,618,8280,360,122,9382,925,5682,280,93,6985,1039,1996,190,16,3237,756,369,131,0,1259,4764,90724,4652,315,100449,237,13664,745,10,14649,1010,28116,1386,10,30526,343,10993,522,0,11861,250,11671,841,21,12777,356,27137,2171,30,29695,480,35173,1965,28,37647,700,22966,1163,38,24867,1060,16378,780,163,18372,1617,10919,549,166,13253,1734,4029,386,36,6185,1140,693,222,3,2059,8926,181740,10726,506,201901
CED119,74,4444,126,3,4649,528,9850,306,0,10690,200,4719,147,0,5063,116,4367,169,3,4653,143,7826,275,5,8251,149,9649,318,6,10129,175,9628,234,7,10046,246,8164,203,6,8619,457,5898,173,17,6545,539,2876,213,6,3637,447,554,189,3,1191,3084,67981,2353,63,73474,39,4407,118,4,4574,252,9635,251,6,10147,94,4389,111,0,4596,62,3918,89,9,4062,117,8199,256,10,8584,175,10387,301,17,10869,216,10360,230,5,10819,337,8567,191,17,9110,549,6236,195,23,7004,846,3050,257,7,4153,860,643,428,0,1928,3548,69789,2427,89,75852,120,8854,245,4,9224,781,19487,562,8,20833,293,9110,259,0,9663,178,8281,255,8,8724,262,16019,532,18,16837,320,20033,619,21,21002,394,19985,461,13,20857,581,16729,391,26,17728,1006,12137,368,32,13548,1392,5918,468,10,7790,1306,1201,615,3,3123,6631,137765,4778,148,149325
CED120,134,5691,299,0,6126,850,10956,654,6,12457,288,5109,273,3,5673,168,4561,279,9,5019,249,9745,661,20,10672,236,9811,625,16,10686,326,10091,606,14,11028,440,9165,521,8,10131,727,7113,397,15,8258,760,3228,271,4,4263,473,587,107,0,1174,4654,76045,4698,98,85491,74,5368,255,3,5698,414,10640,615,6,11677,177,4863,225,0,5271,99,4417,179,9,4697,203,10335,483,14,11043,225,10473,541,5,11247,380,10519,474,8,11372,550,9567,447,19,10589,807,7473,362,10,8651,1056,3233,287,3,4582,1055,645,215,0,1923,5056,77531,4095,77,86758,209,11057,554,3,11818,1264,21594,1268,10,24140,464,9972,504,5,10946,269,8972,460,14,9716,452,20081,1147,35,21715,461,20287,1164,16,21934,704,20602,1079,20,22406,995,18734,966,24,20722,1541,14585,764,25,16911,1825,6455,556,10,8843,1531,1235,324,3,3094,9710,153578,8790,170,172243
CED121,136,4993,252,0,5388,1020,10007,631,5,11663,363,4805,329,0,5502,211,4586,469,6,5271,324,9804,1131,15,11276,308,9295,1004,13,10616,435,9424,789,3,10648,723,9217,603,10,10550,1039,7586,453,8,9086,1025,3788,284,5,5100,715,800,135,0,1648,6305,74307,6086,57,86752,67,4784,249,3,5111,453,9983,558,5,10999,173,4583,238,6,5002,134,4311,228,9,4680,252,10309,491,8,11067,312,9708,468,12,10508,525,9848,442,6,10819,788,9596,387,14,10785,1003,8210,356,10,9583,1421,4020,307,3,5756,1530,967,202,0,2707,6656,76348,3945,73,87013,203,9784,501,3,10496,1469,19988,1194,3,22659,534,9394,567,7,10504,344,8904,701,14,9959,575,20118,1625,25,22339,617,19002,1474,23,21125,956,19275,1227,15,21471,1510,18817,994,20,21337,2044,15798,808,14,18668,2442,7807,590,8,10855,2246,1769,336,0,4362,12961,150654,10026,126,173769
CED122,63,4605,288,13,4963,313,8288,470,12,9084,117,4115,262,17,4513,103,6524,515,66,7213,148,16459,1401,110,18113,157,12534,1025,69,13785,256,10066,755,61,11142,363,8050,585,63,9055,520,5441,421,50,6427,746,2874,316,19,3950,625,681,182,0,1487,3408,79627,6225,475,89738,26,4377,264,7,4679,135,8120,413,11,8684,65,3913,214,15,4203,55,6464,455,73,7043,149,17286,1134,119,18691,166,12974,761,35,13939,245,10740,530,47,11566,439,8384,409,72,9296,695,6209,372,48,7322,1201,3324,327,21,4871,1120,773,374,0,2270,4294,82563,5252,447,92558,92,8985,548,16,9639,452,16406,888,25,17769,179,8030,481,32,8713,159,12985,975,133,14257,299,33747,2538,231,36804,327,25507,1780,110,27721,505,20808,1282,107,22710,796,16426,997,128,18352,1208,11649,795,97,13748,1948,6195,640,33,8822,1745,1459,557,4,3761,7706,162195,11474,918,182291
CED123,167,6592,405,5,7167,1029,11645,825,0,13498,271,5221,384,0,5875,216,5855,468,0,6541,311,12401,1124,38,13867,339,12365,1012,20,13738,438,10228,790,15,11467,613,8089,529,19,9258,781,5757,390,33,6957,689,2429,303,5,3424,337,379,155,0,873,5189,80958,6389,143,92669,85,6079,411,0,6581,472,11566,837,0,12876,177,5172,312,4,5667,134,5717,456,7,6314,290,13665,1103,18,15074,327,12810,935,10,14080,488,10547,648,11,11686,665,8711,457,23,9858,889,6451,392,30,7772,1020,2517,379,7,3921,736,482,381,3,1600,5292,83709,6321,114,95439,253,12672,823,4,13751,1504,23207,1661,3,26373,453,10391,692,7,11544,359,11570,927,15,12858,594,26059,2229,57,28944,667,25177,1952,28,27821,923,20774,1439,25,23158,1281,16805,987,43,19118,1672,12205,785,66,14727,1703,4946,684,13,7344,1077,862,539,8,2477,10482,164665,12706,254,188110
CED124,79,3166,233,8,3488,674,7948,690,4,9312,240,3832,276,6,4360,169,2777,183,0,3128,252,5361,415,8,6037,276,6225,452,7,6966,442,7931,550,12,8932,824,10163,630,10,11623,1233,11307,648,8,13190,1289,6023,407,5,7725,881,1187,167,3,2236,6348,65912,4657,74,76991,54,3160,230,0,3440,323,7817,662,8,8803,142,3749,238,0,4129,117,2662,184,0,2964,226,6007,471,11,6708,251,7030,500,15,7796,465,8823,515,3,9807,817,11539,591,11,12954,1128,11518,609,7,13254,1501,5927,458,3,7885,1619,1406,266,0,3293,6634,69632,4707,57,81037,130,6325,466,6,6930,996,15758,1354,9,18117,388,7581,512,3,8488,283,5445,369,4,6091,480,11362,885,23,12743,525,13255,955,20,14760,903,16755,1067,17,18736,1640,21701,1213,25,24580,2361,22818,1258,13,26449,2782,11948,871,12,15613,2504,2589,431,5,5523,12987,135548,9369,132,158031
CED125,209,8007,493,4,8712,1118,13704,966,6,15786,356,5686,379,4,6422,205,5983,365,9,6560,361,13885,777,20,15041,343,14612,857,20,15833,443,10604,598,14,11661,674,8793,426,25,9924,929,6072,293,46,7342,750,2222,222,9,3202,304,288,72,9,668,5689,89858,5439,169,101155,102,7695,492,10,8295,519,13569,932,9,15021,198,5641,338,0,6181,158,5821,370,10,6357,298,15855,909,20,17081,358,14743,813,16,15933,588,10593,535,24,11734,907,9423,437,68,10839,1165,6591,352,48,8153,1062,2190,273,13,3541,563,376,165,5,1114,5910,92513,5618,217,104252,304,15702,991,6,17007,1638,27274,1895,9,30811,551,11329,712,6,12604,361,11803,729,22,12909,655,29742,1688,42,32126,698,29361,1670,36,31766,1030,21197,1130,37,23401,1585,18222,863,96,20761,2098,12661,650,93,15497,1812,4413,495,23,6748,861,673,231,11,1779,11599,182369,11058,378,205409
CED126,43,3945,137,3,4129,331,9703,339,7,10369,119,4861,174,12,5163,92,4122,133,5,4345,102,6802,274,19,7203,99,8748,311,19,9174,152,10577,341,21,11096,221,9091,314,17,9643,377,6740,240,17,7371,702,4136,245,4,5089,691,942,174,6,1811,2936,69650,2678,133,75395,28,3743,129,13,3913,142,9271,317,12,9736,67,4447,141,0,4654,54,3677,135,10,3871,75,6985,280,36,7384,113,9754,356,13,10232,196,11378,368,17,11962,227,9499,305,14,10049,420,7486,279,17,8197,983,4654,321,8,5965,1456,1284,317,4,3055,3770,72182,2939,135,79035,76,7689,261,16,8040,474,18971,652,17,20113,189,9306,310,15,9819,146,7800,265,10,8217,184,13795,558,55,14589,213,18500,668,29,19404,348,21961,713,39,23064,448,18583,624,33,19691,800,14223,514,32,15569,1685,8789,563,14,11059,2144,2219,492,9,4868,6710,141828,5620,267,154425
CED127,84,3877,162,3,4121,691,8441,375,13,9516,246,4286,196,0,4731,157,3699,175,0,4040,228,7310,356,21,7908,184,7880,351,10,8430,331,8954,383,16,9681,368,8805,347,6,9527,572,7201,288,7,8069,656,3166,184,0,4006,429,594,80,0,1102,3949,64209,2903,74,71137,54,3711,149,0,3912,321,8235,351,4,8914,150,3992,172,8,4320,119,3355,124,4,3601,198,7506,301,9,8024,229,8451,344,15,9037,309,9808,370,9,10496,506,9405,340,8,10260,627,7838,278,14,8753,899,3627,246,11,4782,977,721,177,0,1878,4384,66647,2851,73,73958,137,7592,304,4,8032,1012,16682,727,11,18427,400,8275,369,6,9049,278,7052,302,9,7644,429,14811,661,30,15930,412,16331,694,21,17465,639,18761,751,27,20182,875,18216,693,15,19794,1195,15040,563,20,16823,1556,6788,429,10,8783,1404,1312,257,0,2981,8333,130857,5755,150,145097
CED128,108,5244,475,4,5827,558,10820,946,6,12330,181,5407,380,0,5969,154,5417,425,8,5994,253,11375,876,19,12528,385,10507,868,25,11777,615,9385,628,18,10640,1042,8465,521,17,10047,1257,5613,382,13,7268,1174,2331,230,13,3745,606,422,101,4,1130,6324,74982,5827,122,87254,66,5129,451,0,5648,267,10700,900,6,11869,108,5028,332,0,5471,96,5123,312,8,5544,230,11087,862,17,12193,370,10798,802,12,11981,755,9630,606,21,11009,1205,8854,535,23,10609,1600,5690,372,31,7695,1578,2292,250,10,4132,1147,461,212,9,1819,7426,74783,5626,138,87976,179,10374,919,3,11475,827,21523,1840,11,24201,296,10437,710,3,11444,251,10535,735,12,11539,487,22457,1738,33,24718,760,21300,1672,35,23763,1371,19007,1232,39,21654,2239,17322,1057,37,20659,2856,11307,755,48,14968,2749,4621,483,19,7876,1752,884,306,13,2949,13758,149768,11454,260,175238
CED129,86,5637,162,0,5878,469,14098,413,8,14988,171,6045,157,3,6374,125,5254,134,10,5522,159,8926,296,30,9407,172,14569,382,17,15135,206,12370,294,16,12877,220,8980,209,34,9443,503,6515,215,66,7295,659,3276,160,16,4123,506,563,139,4,1202,3259,86234,2544,205,92242,47,5383,152,9,5587,239,13568,370,10,14194,110,5791,138,3,6039,80,5018,121,4,5216,131,9892,323,15,10361,170,15854,416,34,16476,234,12909,303,19,13463,347,9439,253,73,10117,671,7420,214,83,8387,1014,3372,173,13,4571,943,611,162,5,1726,3979,89262,2622,270,96136,129,11017,314,3,11468,702,27670,782,23,29181,280,11837,295,8,12417,201,10273,252,12,10737,283,18816,616,43,19762,338,30423,801,43,31609,438,25276,595,37,26342,569,18425,463,103,19559,1174,13933,425,146,15684,1674,6654,336,31,8692,1448,1172,299,11,2931,7237,175499,5166,473,188379
CED130,85,4172,380,4,4639,685,8971,963,4,10629,228,4412,503,0,5145,164,3673,520,9,4365,231,7883,884,88,9090,264,7416,794,68,8544,377,8036,854,20,9290,619,8793,834,7,10254,910,7829,672,0,9415,862,4040,473,0,5376,566,811,196,0,1578,4994,66042,7082,205,78325,47,3742,357,6,4150,306,8931,961,0,10204,142,4415,580,8,5140,115,3788,475,4,4379,216,8517,812,32,9576,251,7990,754,24,9024,422,8608,744,11,9799,621,9410,735,8,10780,809,7963,632,10,9417,1125,4461,512,4,6098,1234,1034,333,0,2598,5287,68856,6905,108,81160,134,7913,735,4,8788,994,17900,1927,8,20832,367,8828,1084,8,10289,278,7461,994,15,8748,449,16401,1701,118,18667,514,15410,1549,94,17572,803,16654,1598,36,19085,1239,18199,1576,17,21033,1716,15796,1305,17,18828,1989,8496,983,3,11474,1806,1843,536,0,4181,10280,134903,13984,315,159489
CED131,90,4183,209,6,4488,529,8574,405,3,9511,234,4275,286,0,4788,201,6202,461,12,6871,261,12172,701,31,13163,260,9909,533,14,10724,402,9018,500,17,9936,535,8196,467,15,9210,702,6010,378,10,7106,834,2735,288,5,3864,701,617,154,0,1479,4746,71879,4382,123,81142,49,3995,189,7,4244,252,8296,346,5,8902,145,4279,298,0,4729,144,6482,397,12,7029,246,12161,619,24,13048,272,10168,463,15,10924,375,9687,423,13,10490,595,8635,385,21,9635,791,6456,360,29,7647,1148,3143,367,6,4667,1493,882,411,0,2779,5510,74192,4265,133,84093,142,8176,401,16,8735,777,16868,747,10,18408,376,8557,579,0,9513,337,12681,857,25,13901,500,24333,1321,52,26213,537,20080,1003,32,21653,776,18701,926,24,20425,1132,16827,847,42,18845,1495,12466,747,40,14747,1983,5881,659,10,8532,2193,1498,566,0,4259,10257,146069,8648,251,165226
CED132,40,4293,177,24,4533,230,8928,308,12,9484,70,3833,127,5,4041,44,3990,149,15,4194,95,11802,575,43,12517,93,12851,594,46,13584,143,10207,417,53,10822,181,7943,356,27,8510,294,6047,324,48,6710,494,3156,250,16,3919,542,667,197,5,1406,2223,73718,3472,295,79712,25,4107,180,14,4332,117,8608,299,16,9041,56,3598,129,11,3792,42,3925,143,16,4119,96,13184,636,44,13959,120,14029,624,51,14825,134,11198,411,28,11776,224,8754,350,50,9378,439,7046,352,54,7901,791,3514,363,21,4691,1199,935,470,3,2607,3240,78898,3969,313,86422,67,8397,357,38,8857,347,17538,609,25,18521,126,7431,257,16,7830,88,7912,291,27,8318,187,24990,1214,84,26473,211,26884,1213,95,28409,276,21410,828,85,22599,406,16701,713,75,17889,732,13094,679,99,14609,1285,6670,613,43,8611,1740,1598,667,8,4016,5462,152618,7440,607,166132
CED133,80,3810,350,8,4256,782,8999,866,5,10653,310,4222,356,6,4886,220,3381,446,38,4084,294,7031,1034,85,8434,288,7538,960,46,8835,488,8926,890,24,10329,880,10810,929,16,12634,1124,10432,719,9,12284,1005,4730,382,6,6119,741,966,177,0,1883,6207,70841,7113,236,84395,42,3687,324,3,4057,343,8795,848,0,9986,177,3944,344,0,4461,140,3346,307,31,3827,236,7757,777,57,8829,315,8398,790,34,9533,554,9766,725,20,11069,769,11498,735,17,13029,1006,10493,675,4,12175,1263,4900,424,5,6587,1495,1157,295,0,2947,6348,73737,6243,176,86501,125,7503,674,12,8312,1130,17791,1709,5,20634,485,8162,701,7,9351,364,6724,758,69,7911,529,14786,1810,141,17262,602,15939,1754,75,18369,1043,18693,1617,43,21403,1649,22307,1669,34,25661,2127,20920,1394,13,24455,2262,9632,797,12,12706,2234,2121,473,6,4835,12553,144573,13356,413,170896
CED134,73,4562,628,0,5271,598,8824,1428,9,10855,195,3697,594,0,4487,145,3549,611,13,4316,214,8651,1282,55,10201,226,7283,1143,18,8668,394,7747,1174,14,9324,621,8823,1294,11,10752,877,7057,988,13,8936,870,3360,564,3,4794,543,707,215,3,1461,4756,64258,9924,131,79073,46,4279,604,0,4930,278,8716,1353,0,10348,110,3608,520,6,4236,87,3545,530,9,4177,186,9268,1251,37,10738,196,7739,1135,7,9077,393,7880,1125,0,9402,629,8828,1118,10,10581,704,6877,836,6,8427,1009,3697,618,6,5322,1086,883,352,0,2310,4715,65309,9443,88,79558,120,8840,1236,3,10198,880,17535,2785,9,21208,306,7302,1114,7,8725,234,7092,1140,25,8486,394,17917,2533,92,20941,422,15023,2282,23,17748,783,15628,2297,16,18730,1251,17653,2410,18,21337,1586,13929,1830,23,17366,1874,7055,1183,8,10123,1624,1587,564,3,3778,9468,129573,19370,221,158632
