CED_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
CED117,7176,4920,3016,118,9,15235,6088,6610,5285,91,15,18085,2503,4443,13972,572,68,21563,90,243,1095,0,5,1430,81,67,498,7,5,651,653,938,1528,166,18,3295,42,79,155,30,8,312,9,16,51,0,0,75,3370,5788,17303,778,97,27332,193,183,298,10,7,696,435,560,1413,106,23,2530,17263,18055,27315,1100,151,63884
CED118,11823,879,272,4,4,12986,23521,3434,1707,19,66,28751,9671,2531,3068,32,40,15337,734,754,380,0,0,1869,110,132,118,0,0,361,1577,248,256,3,12,2097,267,51,50,0,0,370,55,24,17,0,3,101,12417,3742,3890,36,52,20135,371,191,51,0,0,616,2012,524,592,10,22,3150,50140,8771,6513,67,148,65640
CED119,15054,1531,1244,11,13,17861,17851,2293,2156,9,4,22312,2957,1109,2632,32,8,6738,187,360,280,0,0,826,65,110,106,0,0,286,754,189,306,21,7,1285,407,53,21,25,12,521,14,5,17,0,0,40,4395,1828,3367,76,30,9692,245,87,321,0,0,660,789,233,321,18,16,1373,38334,5976,7413,121,62,51905
CED120,18070,696,124,158,38,19089,24992,500,99,23,22,25647,6695,930,391,66,29,8111,685,172,88,0,0,939,155,184,21,0,4,370,1957,140,82,24,12,2213,355,28,15,72,13,484,48,11,6,0,0,65,9884,1463,608,161,59,12178,990,379,31,24,17,1439,2649,221,74,67,16,3029,56598,3255,940,434,157,61379
CED121,19787,1041,259,257,45,21383,23047,550,102,22,25,23746,8025,1747,503,24,18,10318,1264,475,128,0,6,1871,227,196,88,3,3,510,2419,207,71,26,16,2741,417,94,38,120,40,701,51,18,8,0,0,83,12412,2724,828,175,84,16222,982,569,119,16,14,1700,2422,448,134,112,8,3127,58650,5331,1436,581,178,66181
CED122,8821,2751,5509,53,11,17157,6358,3358,7438,35,15,17207,2022,1904,20500,297,42,24759,197,951,2887,0,10,4035,71,83,455,3,3,615,584,347,2440,54,20,3444,107,150,418,8,14,690,16,8,95,0,0,126,2995,3443,26795,365,81,33676,246,123,724,13,5,1108,609,465,2757,46,32,3907,19029,10139,43222,512,148,73050
CED123,13421,1223,484,89,21,15228,20969,2617,1163,5,19,24773,9943,3199,3642,30,32,16851,996,871,482,0,3,2356,138,291,351,0,0,780,1735,326,270,13,11,2352,261,33,39,9,8,340,58,20,28,0,0,105,13128,4736,4808,54,61,22792,526,160,114,4,3,808,2369,772,747,15,12,3922,50419,9506,7318,173,114,67525
CED124,26733,1890,772,653,79,30132,16568,499,233,48,17,17362,5259,1278,1319,105,34,7984,404,161,181,5,4,747,284,191,175,5,0,662,2339,275,211,48,20,2887,345,65,44,167,28,647,57,30,13,0,3,104,8692,1994,1945,324,90,13037,1235,213,209,25,27,1712,3175,448,318,309,62,4307,56406,5042,3469,1363,270,66549
CED125,12450,1015,432,74,8,13985,26517,1758,690,3,29,28995,10677,1969,1613,8,20,14286,1979,1399,208,0,3,3594,141,192,113,0,4,448,1706,250,143,0,11,2117,237,44,34,5,0,317,50,25,10,0,0,93,14795,3879,2127,13,39,20852,441,381,305,0,0,1135,2450,678,298,12,21,3468,56654,7716,3859,109,101,68428
CED126,14890,1745,3728,82,25,20470,15260,1039,3548,43,21,19906,2944,532,5168,88,31,8764,108,247,141,0,0,501,53,157,153,0,0,362,1282,186,1023,16,24,2531,94,87,89,23,8,299,28,12,36,0,0,81,4518,1219,6609,128,64,12536,344,645,747,12,4,1746,942,270,701,49,11,1970,35952,4916,15334,303,124,56629
CED127,18885,818,319,61,28,20115,20514,675,178,16,18,21405,5387,1175,627,34,21,7245,431,265,58,0,0,754,286,235,121,4,3,649,1705,178,118,11,14,2026,242,38,20,43,8,341,38,12,8,0,3,57,8077,1895,949,100,56,11074,615,126,139,8,12,905,1650,221,143,86,31,2127,49749,3733,1730,263,144,55619
CED128,13724,1012,710,16,12,15471,14005,1965,1357,7,11,17345,6795,1775,4108,19,87,12783,485,782,887,0,0,2154,99,147,441,0,0,686,1739,307,436,12,11,2502,485,90,150,41,18,789,80,29,45,0,0,155,9680,3126,6071,69,122,19072,494,137,166,0,9,800,2244,491,969,40,24,3770,40148,6728,9270,141,176,56459
CED129,15022,1199,1227,0,4,17457,23630,2303,1582,0,44,27549,6239,1806,3088,0,32,11162,97,142,63,0,0,304,29,52,82,0,6,164,1001,208,253,0,3,1456,158,40,27,0,0,229,15,10,11,0,0,43,7536,2249,3527,0,38,13359,402,115,562,0,7,1080,1032,183,349,0,11,1570,47621,6042,7248,3,102,61020
CED130,22096,565,83,269,96,23099,16970,251,49,48,25,17334,7258,2542,672,46,29,10548,977,257,163,0,3,1393,426,241,138,6,7,816,3148,257,71,30,23,3529,690,82,28,131,28,965,93,51,16,6,0,163,12603,3428,1081,215,96,17416,1715,165,25,29,44,1977,4263,587,188,268,58,5375,57650,4998,1421,833,311,65209
CED131,15398,2231,1344,44,21,19037,17467,1905,1286,23,18,20697,7499,3731,4323,136,50,15739,569,1111,1245,5,5,2933,159,286,214,6,0,664,2536,709,767,29,23,4060,270,93,90,13,7,468,60,22,30,0,0,106,11091,5950,6662,183,85,23970,396,355,129,5,4,891,1306,609,843,50,23,2836,45661,11048,10264,306,147,67431
CED132,10113,2475,7113,12,10,19726,7992,2140,7730,6,10,17880,2101,1768,19687,85,47,23679,27,77,736,0,7,839,24,54,579,0,5,664,635,380,2331,31,9,3385,47,19,237,5,14,323,6,5,72,0,0,87,2829,2307,23649,125,85,28987,250,118,816,4,13,1205,452,209,1803,19,15,2498,21633,7250,41097,168,133,70291
CED133,25097,1220,431,1221,134,28103,18420,616,200,124,23,19379,5625,1764,1181,52,37,8655,678,245,125,0,0,1054,255,314,90,4,3,666,3739,458,327,96,39,4654,469,77,53,365,41,1006,81,44,12,11,5,151,10839,2911,1789,531,118,16190,1007,239,59,62,24,1387,3770,485,299,333,36,4930,59127,5467,2775,2273,342,69987
CED134,19373,490,101,584,278,20828,15724,234,50,62,61,16127,5309,1359,955,29,21,7681,1481,315,230,7,11,2043,681,205,137,4,9,1043,3520,207,138,59,46,3965,1362,172,161,208,111,2019,110,38,29,3,3,191,12468,2304,1659,317,205,16943,1823,274,111,91,96,2394,6216,631,386,342,139,7713,55601,3933,2302,1396,773,64003
CED135,9186,1514,2316,23,9,13058,8773,3328,6766,39,25,18929,4541,3152,18731,125,101,26647,1020,1254,1754,0,14,4048,87,197,718,0,9,1011,1252,462,1617,25,20,3387,273,180,240,10,21,725,53,22,122,0,0,198,7230,5276,23189,161,163,36011,398,150,415,21,7,988,1626,690,2680,32,34,5058,27215,10956,35368,276,235,74050
CED136,19432,1986,404,352,68,22236,21607,1041,160,26,18,22855,8828,2700,897,50,15,12492,1320,406,166,4,7,1897,431,298,109,3,3,840,2146,390,132,22,17,2715,857,82,24,152,17,1137,58,35,9,3,0,111,13646,3912,1332,243,55,19188,706,551,48,15,10,1337,2134,504,159,133,22,2946,57532,7993,2106,769,168,68567
CED137,10993,1695,5843,54,16,18600,7745,1992,11385,87,29,21240,2844,1590,23047,338,142,27953,125,291,769,0,4,1192,49,52,311,0,4,415,753,270,2402,62,27,3515,144,102,630,10,19,903,16,10,117,0,0,154,3928,2317,27285,413,195,34130,303,111,669,15,12,1105,713,254,2530,42,57,3593,23683,6362,47702,610,305,78673
CED138,19488,4007,1915,1215,106,26734,15251,2421,926,67,25,18692,4283,2663,2037,62,36,9078,450,661,289,0,5,1401,166,225,128,0,4,512,3174,1044,692,122,47,5086,453,200,135,317,69,1165,67,36,17,7,0,132,8590,4816,3298,505,154,17367,949,322,355,66,23,1709,3050,816,633,611,40,5152,47328,12384,7140,2454,339,69648
CED139,21872,587,366,205,64,23096,18200,242,148,51,36,18674,6448,1131,1949,75,17,9627,1491,102,244,0,5,1839,228,138,109,0,3,480,3274,235,189,29,21,3751,876,79,67,97,26,1142,80,24,24,4,0,129,12400,1709,2584,205,76,16974,1422,238,120,28,30,1839,3554,315,382,146,89,4489,57453,3094,3608,626,295,65073
CED140,16739,2809,1532,175,34,21291,16952,1319,1216,41,19,19544,6181,1927,3105,262,61,11529,517,560,435,0,3,1519,142,143,189,0,0,476,1702,325,407,51,19,2499,256,59,41,18,7,381,52,17,26,4,0,96,8843,3032,4195,342,88,16500,619,694,352,13,5,1687,1835,595,633,75,30,3166,44990,8450,7931,646,177,62190
CED141,20389,1972,665,181,17,23226,19327,898,355,22,3,20601,5815,1498,970,44,9,8338,1143,564,440,0,0,2148,94,62,186,0,0,348,1947,302,173,15,12,2449,254,36,22,58,5,378,47,17,16,0,0,79,9302,2482,1814,121,28,13745,482,251,113,13,9,868,1796,335,230,45,21,2434,51294,5938,3182,378,77,60872
CED142,804,3997,8189,35,17,13047,669,4786,12618,54,30,18162,444,5957,39203,295,206,46104,61,1553,4047,8,18,5686,8,141,1231,13,22,1406,138,1446,4745,90,68,6488,37,113,780,20,35,987,4,33,163,0,0,208,687,9240,50180,427,349,60891,36,243,993,10,12,1306,119,863,5535,110,92,6728,2323,19134,77517,645,512,100138
CED143,10446,2105,6314,43,18,18923,9916,1644,5905,31,13,17516,2087,1020,12691,124,40,15965,71,98,316,0,0,484,62,106,194,0,3,361,749,275,2166,36,16,3237,64,36,90,4,0,197,29,12,47,0,0,92,3060,1547,15506,165,62,20340,241,146,488,8,3,882,532,171,1091,32,27,1850,24185,5614,29306,281,119,59502
CED144,11209,2166,2558,31,16,15977,9022,3190,4355,30,18,16604,3629,1954,11091,150,50,16867,494,1018,969,0,3,2486,123,232,278,3,5,639,1290,428,1202,32,20,2970,323,99,299,9,12,742,32,28,68,3,4,134,5888,3753,13898,200,91,23827,441,177,460,8,8,1096,1597,577,2039,41,44,4295,28152,9866,23315,308,166,61802
CED145,5262,4252,7542,147,17,17230,3770,4129,6355,108,10,14379,806,2409,18250,377,52,21897,3,26,394,0,3,422,3,31,160,0,4,197,323,618,3197,91,17,4246,32,33,217,16,20,313,10,10,83,8,0,107,1175,3123,22307,490,85,27176,161,148,880,18,12,1214,377,397,2314,85,33,3200,10747,12053,39401,845,157,63204
CED146,12458,948,134,3,17,13543,21270,2370,305,0,71,24015,7630,1906,465,16,35,10051,2269,1034,767,0,8,4084,199,151,188,0,6,543,1650,231,126,0,18,2022,606,53,36,0,5,701,84,11,12,0,0,115,12444,3385,1597,18,72,17513,530,182,78,0,7,803,2718,515,331,0,20,3579,49417,7395,2447,24,187,59461
CED147,20772,1815,334,369,32,23327,20183,1453,290,22,16,21958,6107,1985,943,34,16,9085,2034,624,340,4,0,3006,264,157,108,0,3,536,1886,338,174,16,12,2421,235,45,27,66,9,379,52,26,9,0,0,91,10581,3178,1602,122,36,15521,561,362,114,11,5,1050,2091,403,210,102,13,2818,54189,7211,2553,628,99,64676
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,17500,1971,259,12,6,19752,20735,2428,432,8,7,23614,6729,1954,432,15,3,9137,508,257,157,0,0,936,70,88,92,0,3,247,1385,275,89,6,10,1757,93,53,4,0,3,153,34,18,3,0,0,53,8819,2647,777,24,24,12288,473,779,43,6,5,1301,1458,423,129,3,3,2026,48988,8254,1643,58,40,58979
CED202,19495,1254,226,122,22,21110,19890,828,106,32,23,20880,7971,2120,609,23,21,10736,905,497,101,0,3,1513,164,177,41,0,6,390,2291,354,96,23,12,2775,222,49,19,54,13,352,60,24,0,0,0,90,11611,3229,865,95,46,15849,764,170,32,8,8,987,2584,467,122,78,15,3276,54345,5950,1356,337,114,62106
CED203,21168,750,62,152,43,22169,20613,426,51,52,32,21173,7287,1550,167,31,13,9052,983,520,87,0,0,1595,273,144,24,0,3,436,2797,285,40,25,14,3159,246,25,6,39,9,330,62,13,3,0,0,78,11648,2538,329,98,45,14656,749,66,8,11,0,842,2947,376,76,94,8,3498,57125,4149,524,413,130,62336
CED204,15572,1543,249,13,8,17377,20500,2271,448,4,6,23227,7730,2490,1216,15,15,11468,960,558,121,4,0,1642,66,74,71,0,4,213,1791,395,135,5,10,2330,373,95,34,75,9,585,73,23,15,0,0,115,10985,3638,1586,107,38,16357,471,185,36,0,3,701,2595,664,294,37,48,3640,50127,8305,2612,158,107,61305
CED205,11078,605,141,8,7,11838,25344,1684,257,0,12,27309,7511,1882,416,0,19,9831,944,246,178,0,3,1368,104,36,57,0,0,194,1934,276,87,6,9,2313,630,99,32,96,0,867,99,16,6,5,5,120,11221,2552,772,105,35,14692,545,107,20,0,5,677,2961,533,189,50,13,3746,51152,5477,1383,172,68,58258
CED206,18862,858,90,118,21,19945,26453,698,64,16,21,27251,4317,720,48,8,11,5104,265,155,7,0,0,431,91,41,18,0,0,152,1752,136,17,9,12,1930,169,11,4,66,3,258,33,9,4,0,0,47,6635,1069,98,81,31,7916,612,265,60,7,5,946,2045,163,28,52,4,2289,54610,3049,335,272,80,58351
CED207,19720,2637,2143,4,7,24510,14120,2760,2504,0,5,19388,6934,2865,4579,13,18,14404,486,324,380,0,0,1194,77,82,248,0,0,405,1737,525,639,7,4,2912,228,81,156,0,6,463,31,23,43,0,0,101,9489,3900,6039,22,30,19486,658,685,659,0,3,2011,1354,452,841,5,9,2654,45337,10434,12193,33,58,68053
CED208,14730,2762,869,49,8,18415,11551,4843,2259,61,3,18721,5719,6676,5146,168,15,17716,680,1009,626,3,6,2309,117,123,134,0,0,380,1529,918,551,57,3,3067,188,87,61,15,3,354,33,45,31,0,0,106,8265,8863,6546,241,26,23938,466,302,108,9,0,883,1368,896,582,118,17,2983,36381,17667,10359,477,53,64941
CED209,19480,1133,99,125,23,20858,21231,670,35,10,13,21960,7400,969,85,14,12,8479,195,114,0,0,0,314,94,53,0,0,0,143,1922,212,32,16,9,2180,182,31,3,81,4,301,39,9,0,4,0,51,9833,1390,116,108,18,11466,960,444,10,9,7,1425,2070,278,22,88,3,2462,53574,3906,289,342,69,58180
CED210,18296,1623,399,143,14,20470,18553,1219,329,20,18,20140,9182,3140,1257,34,28,13645,1408,790,108,0,0,2310,245,300,76,5,9,639,2212,566,170,21,20,2987,239,85,29,145,13,508,71,42,8,0,0,132,13362,4927,1652,201,69,20212,561,134,24,53,8,784,2385,643,185,81,14,3301,53164,8541,2587,494,114,64909
CED211,19377,2003,364,4,11,21756,20881,2398,703,0,17,24003,7630,2278,888,16,15,10818,627,459,87,0,0,1167,136,166,45,0,3,349,1612,378,118,10,3,2120,139,44,10,0,0,201,36,24,8,0,0,72,10183,3343,1155,21,24,14726,686,293,45,0,0,1021,1427,483,131,22,6,2068,52559,8511,2404,46,56,63578
CED212,15193,1987,258,68,20,17522,21960,2530,238,11,13,24752,7390,3043,730,17,18,11201,714,377,84,0,3,1172,119,116,33,3,3,276,1694,516,97,11,4,2322,173,71,20,199,0,457,41,29,10,7,0,85,10130,4153,980,231,26,15523,399,520,71,4,0,998,2208,596,199,136,3,3151,49899,9789,1744,450,64,61942
CED213,21827,2510,613,294,15,25261,18531,1326,261,13,7,20128,5893,1538,417,26,9,7877,535,215,115,0,0,863,60,51,0,0,0,118,1863,282,94,18,11,2273,348,50,12,83,8,498,56,13,3,3,0,79,8754,2153,644,133,30,11711,1074,734,92,17,3,1913,2832,491,113,137,12,3579,53011,7204,1719,589,59,62589
CED214,14636,1915,1032,45,9,17636,12927,4204,2500,46,13,19693,6795,4051,5622,84,28,16578,782,1022,434,0,4,2240,145,116,198,0,0,463,2486,861,652,43,19,4064,534,163,120,78,10,903,91,33,43,0,0,176,10839,6241,7069,207,62,24424,685,182,107,6,4,983,2501,929,1152,87,17,4687,41594,13470,11865,389,107,67422
CED215,13361,2327,513,19,12,16235,22224,4196,657,12,16,27112,10941,3527,1219,39,16,15747,296,319,263,0,0,869,89,84,67,0,0,241,1564,435,153,16,7,2176,288,62,17,21,11,396,64,19,8,0,0,90,13241,4441,1724,78,31,19522,478,161,168,5,0,806,2401,593,234,43,8,3277,51705,11726,3302,162,66,66959
CED216,24557,812,515,421,55,26360,19012,294,138,31,28,19503,5774,936,996,18,15,7734,983,306,284,0,0,1572,249,108,81,3,4,441,2570,161,121,17,24,2894,464,37,56,138,18,705,73,18,16,5,0,124,10121,1566,1545,185,55,13477,906,159,62,26,7,1155,3866,314,281,178,27,4667,58462,3147,2537,835,175,65153
CED217,15568,4778,2134,70,14,22567,12987,4212,2298,65,17,19578,3756,3537,4054,140,17,11507,163,341,334,0,0,843,19,50,164,4,0,233,959,729,526,44,7,2261,57,36,61,8,0,165,17,22,22,0,0,56,4972,4712,5163,190,24,15067,389,263,349,5,7,1021,986,504,604,37,9,2134,34904,14467,10545,369,73,60361
CED218,14803,1471,114,36,11,16434,23584,1994,171,8,15,25767,6008,1645,222,0,11,7881,414,66,39,0,0,526,77,52,67,0,0,198,1554,293,31,5,0,1886,255,46,4,64,3,377,60,19,0,3,0,83,8367,2128,377,74,14,10951,498,372,11,3,3,893,2428,428,92,31,4,2979,49680,6389,758,145,43,57028
