CED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
CED114,3632,2097,2170,2118,2233,2295,1836,1133,502,18019,32121,19248,20603,19608,21083,23197,20114,11829,4659,172468
CED115,3191,2112,2469,2276,2044,1972,1321,801,516,16695,30964,23671,24713,22039,22165,22252,16127,7893,3553,173374
CED116,2717,1699,1666,1755,1840,1908,1677,1055,492,14816,26116,15451,15809,16747,19123,25040,26147,14795,5377,164611
CED117,1191,1046,1839,1607,1349,1119,724,446,303,9621,22022,14881,28593,25347,21450,15944,11415,6132,2612,148412
CED118,2787,1871,2586,2486,1710,1162,746,446,226,14029,45154,24624,29664,37616,24831,18217,13086,6147,2056,201393
CED119,1607,1094,895,1086,1087,865,628,522,362,8135,30047,18375,16817,20978,20846,17703,13512,7781,3119,149178
CED120,2910,1696,1656,1803,1754,1504,1104,717,381,13529,35944,20644,21679,21916,22389,20693,16881,8833,3093,172074
CED121,3047,2047,2178,2045,1877,1580,1117,814,445,15141,33148,20439,22316,21095,21460,21319,18654,10848,4355,173639
CED122,1915,1839,3024,2251,1830,1427,1069,652,328,14345,27364,22797,36579,27612,22597,18221,13651,8786,3761,181374
CED123,3654,2315,2883,2580,2113,1465,1106,807,534,17465,40113,24394,28890,27789,23136,19071,14661,7334,2469,187851
CED124,2607,1417,1164,1355,1540,1747,1788,1172,571,13345,25031,14572,12722,14735,18719,24551,26434,15599,5522,157897
CED125,4035,2122,2313,2320,1767,1415,894,506,209,15584,47801,25490,32079,31729,23358,20668,15399,6725,1768,205028
CED126,1610,1066,882,1139,1374,1212,851,683,458,9263,28123,18015,14531,19377,23024,19656,15541,11039,4859,154157
CED127,1935,1221,1096,1175,1349,1210,891,581,364,9821,26441,16675,15901,17443,20156,19781,16804,8774,2977,144947
CED128,3436,2011,2270,2175,1830,1527,1055,604,352,15257,35656,22962,24687,23728,21611,20617,14920,7852,2945,174975
CED129,1659,1076,956,1255,1186,898,670,451,344,8504,40610,23135,19721,31566,26305,19453,15538,8664,2920,187908
CED130,3544,2660,2094,1956,2127,2112,1700,1201,623,18019,29601,19011,18549,17476,19049,21015,18816,11468,4182,159169
CED131,1972,2217,1908,1550,1517,1370,1014,766,633,12947,27117,23390,26159,21614,20401,18809,14710,8520,4259,164976
CED132,1341,868,1533,1623,1253,1035,885,723,717,9986,27311,16105,26389,28311,22511,17817,14510,8565,4012,165524
CED133,3301,2044,2199,2208,2173,2321,1903,1037,529,17715,28934,17188,17121,18290,21358,25624,24443,12696,4826,170486
CED134,4983,2817,2976,2715,2797,2932,2180,1375,647,23418,31394,17183,20851,17721,18708,21313,17348,10115,3774,158405
CED135,3549,2131,3530,2971,1829,1616,1076,723,486,17911,38733,23888,41261,35884,21810,18972,13270,7132,2891,203834
CED136,2982,1587,1678,1514,1474,1333,1124,822,422,12933,34216,20092,22501,20848,20926,21135,19547,11275,3568,174109
CED137,1754,1818,3424,2264,1566,1330,1036,719,641,14564,29150,25159,44854,31374,22976,20457,14958,8466,4089,201473
CED138,2976,1699,1882,2160,2202,2162,1823,1122,670,16694,27511,15535,17204,20349,21654,24076,23354,13244,5743,168662
CED139,3077,2287,2044,1948,1972,1895,1422,989,436,16072,31336,20655,19663,18154,18869,20593,18144,10811,4424,162649
CED140,2020,1222,1202,1275,1381,1406,1186,834,512,11035,26187,16284,15591,18439,19939,20551,18467,11709,4891,152067
CED141,2137,1258,1182,1209,1298,1176,998,689,361,10314,27096,16755,16463,17929,19207,19516,17726,11473,4232,150396
CED142,1388,3072,6384,3771,2484,1894,1205,692,343,21221,16024,27022,67170,38927,22602,17466,11641,5564,1848,208260
CED143,1280,872,1057,1137,1256,962,632,447,312,7967,26525,15803,19643,21751,22493,17509,12494,8265,3554,148040
CED144,3178,2112,2668,2304,1918,1629,1002,661,392,15870,34620,23362,29470,25640,22438,20165,14064,8400,3989,182150
CED145,1269,963,2193,1555,1199,931,744,686,684,10225,21270,13144,28724,22405,18711,14495,11845,7802,3779,142172
CED146,4040,2246,2087,2257,1935,1521,891,523,359,15868,44957,28434,26966,28686,25207,22041,13643,6378,2295,198618
CED147,2610,1564,1368,1407,1524,1366,1131,941,717,12616,31350,19619,19594,19971,21051,21112,18880,12049,4465,168092
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,8,3,0,0,32
CED201,1597,1109,1168,1138,1173,1086,730,523,291,8814,27136,18947,20172,22267,21481,20347,15666,8803,3576,158406
CED202,2526,1621,1457,1356,1617,1371,1141,683,363,12125,28035,17903,18856,18562,19553,19146,16785,8813,3520,151172
CED203,2532,1555,1745,1612,1680,1636,1214,890,580,13442,27449,17042,18435,18266,19055,19848,17753,9900,4034,151778
CED204,2824,1977,2378,2025,1835,1492,1061,604,312,14511,33591,23302,26520,25061,22943,21249,15102,8043,3250,179062
CED205,3838,2149,2640,2403,1786,1373,729,379,135,15443,44671,25359,32226,29639,21407,17859,10619,4918,1475,188166
CED206,2101,1407,1250,1257,1461,1331,850,492,179,10330,29098,18219,19128,20375,21482,20038,15827,8400,2652,155217
CED207,1366,1682,1780,1232,1220,1020,793,642,456,10187,28089,26755,26092,24236,23388,19755,16060,12358,6300,183028
CED208,1526,1267,1860,1501,1496,1026,710,519,414,10311,23437,16915,29524,24989,21337,16060,10942,7566,4005,154775
CED209,2002,1256,1103,1206,1181,1084,1019,704,379,9940,28920,16985,18251,19769,18393,17591,17247,9440,3814,150407
CED210,2336,1759,2073,1847,1684,1359,999,622,309,12999,27528,19515,23674,20446,20170,18746,15420,8992,3754,158246
CED211,1548,1063,1065,1218,1141,972,749,628,628,9015,29738,18915,20573,23945,22319,19292,15747,10225,4843,165593
CED212,2380,1455,1575,1617,1706,1276,875,596,337,11820,29563,17710,19995,21726,21847,19147,14762,8569,3569,156891
CED213,2117,1279,1121,1295,1660,1497,1452,1097,643,12159,23972,15387,13857,15851,19797,20392,20867,13895,5443,149453
CED214,2571,1890,3135,2340,1893,1530,1060,731,471,15635,28108,20675,35124,27408,21715,18184,13548,7518,3397,175681
CED215,2980,1652,2472,2527,1624,1097,686,400,210,13660,43585,19303,28604,36196,24062,16963,11631,6014,2518,188878
CED216,2917,1808,2088,2062,1892,1922,1799,1128,755,16376,26069,15855,17441,16920,18394,22248,21361,11462,3990,153743
CED217,1474,1025,847,1038,1330,1026,798,522,322,8378,26895,18353,14831,19375,23844,19751,15327,9337,4738,152454
CED218,2736,1936,2782,2492,1868,1290,777,375,151,14408,37419,22984,26086,28182,23619,18516,13101,5922,1863,177697
CED219,3439,1722,1998,1885,1622,1237,824,390,143,13254,36961,19700,24922,24377,20489,17015,13203,5857,1893,164413
CED220,1118,1079,1982,1300,1181,947,761,660,482,9523,20097,18688,31318,22138,19247,16124,12848,8457,3878,152797
CED221,3533,1799,2230,2076,1547,1114,591,297,117,13300,45640,24018,30571,31253,21916,16385,10219,4778,1593,186373
CED222,2069,1747,2400,1725,1546,1278,926,697,387,12779,31629,25545,34376,27903,23827,20368,16119,10453,4907,195133
CED223,2709,1872,1620,1729,1944,1984,1598,1002,426,14892,27472,17001,17018,17939,20340,23007,20794,11232,4208,159014
CED224,1728,1022,1245,1350,1279,1055,792,608,321,9387,29270,17562,19649,23743,23274,18806,14216,8696,4100,159312
CED225,1569,1139,1136,1204,1239,1069,840,571,334,9104,28487,17994,18995,22215,21930,19330,16039,9186,3934,158096
CED226,1192,1170,1053,952,1171,966,676,473,311,7967,25388,23244,20670,19731,22662,19685,15310,9385,4930,161006
CED227,2954,1549,1733,1697,1479,1078,745,473,242,11945,39616,20603,25998,26630,20801,15402,11146,6243,2074,168519
CED228,4223,2045,2882,2581,1689,1128,694,361,232,15840,48990,24389,35948,36406,21287,16646,10900,4781,1596,200949
CED229,1338,1419,3123,2291,1732,1423,1038,711,516,13584,19470,17356,40480,28339,21256,17054,13002,6786,2884,166633
CED230,3293,1907,1926,1958,2049,2283,1928,1290,823,17463,28725,17244,19618,17863,20357,24213,21313,12562,5418,167318
CED231,1517,1230,1684,1438,1422,1113,777,503,214,9902,24493,17456,23796,22430,20775,17113,13683,8666,3748,152160
CED232,2649,1448,1306,1566,1496,1214,822,418,134,11060,35925,18730,20364,23900,21429,17224,12793,6055,1749,158157
CED233,1575,3098,5825,3180,2003,1598,1075,544,274,19175,16377,36270,67254,31676,18511,14681,10376,5270,2140,202554
CED234,1408,1130,1085,1125,1220,1017,807,700,471,8971,28339,20863,20588,23244,23325,20961,16515,12398,5739,171977
CED235,2508,1270,1313,1452,1483,1613,1475,922,437,12466,25086,14139,15559,15758,17651,20985,20410,10939,3947,144472
CED236,3054,1893,1962,1872,2005,2002,1594,1076,554,15991,28495,17729,18584,17581,20039,21639,18940,11239,4435,158678
CED237,2458,1568,1846,1700,1514,1221,835,650,450,12233,33487,20913,26423,26450,20944,18287,13566,7405,2925,170389
CED238,2476,1644,1644,1786,2004,1888,1730,991,518,14684,25756,15816,17034,16824,19774,22865,20420,10976,4528,154002
CED239,1682,1261,2168,1633,1324,926,617,498,388,10485,24345,18080,33761,25970,18895,14528,9765,7042,4440,156833
CED297,0,4,38,98,129,111,13,0,0,389,0,9,52,140,182,158,16,0,0,565
CED301,3877,2492,2617,2342,1916,1475,1050,686,367,16816,41932,24444,27644,25532,23050,20558,15375,8025,2592,189137
CED302,1690,1224,1111,1209,1216,923,611,461,366,8821,31684,20046,20080,24271,22768,17960,13603,8065,3319,161796
CED303,1965,1254,1026,1065,1308,1158,884,515,309,9482,28393,18199,16030,19409,21510,21351,18597,10338,3815,157650
CED304,1485,2162,3773,2519,2144,1623,891,497,252,15342,23422,28455,43440,29124,24340,18103,11490,5882,2292,186553
CED305,3347,3022,4745,4495,4465,3714,1882,848,307,26827,31735,19607,23372,23023,22950,22793,16593,8398,2847,171310
CED306,3237,2390,3026,2637,2496,2502,1800,971,339,19402,30318,19366,21554,20714,21549,22525,18170,9058,2978,166241
CED307,2084,1250,1105,1150,1293,825,609,337,197,8848,32340,19993,18751,21955,23099,18392,13976,6980,2042,157528
CED308,3320,2167,2317,2053,2107,1544,1263,756,291,15808,36189,23491,25762,25355,25535,22399,19533,11483,3555,193305
CED309,2521,1600,1531,1806,1796,1664,1441,1008,603,13959,29950,17730,18201,21341,22832,22607,20928,12162,4499,170240
CED310,2494,1793,1623,1638,1785,1633,1339,918,456,13673,29677,19628,19468,20654,22324,22067,20844,12951,4711,172323
CED311,3794,2250,2727,3023,3182,2998,2018,926,288,21208,32927,17865,20042,21131,22384,23481,17955,7981,2051,165824
CED312,4361,2621,2675,2390,2018,1461,981,650,317,17479,42313,25347,28400,26327,23706,19552,15531,8307,2612,192098
CED313,1680,2065,2789,1976,1722,1314,966,661,440,13616,26666,26799,36921,28411,23497,16946,11007,5809,2738,178795
CED314,2527,1791,1580,1497,1516,1405,1110,738,338,12509,32016,21014,20638,19124,19134,18365,16001,10007,3998,160293
CED315,3390,2922,2581,2187,1993,1636,1232,655,291,16896,32432,24083,23996,21107,20429,18953,14598,7302,2357,165258
CED316,2491,1477,1344,1289,1579,1734,1836,1327,522,13607,25245,15361,14974,15459,18363,23051,26382,15905,4813,159556
CED317,4402,2988,3636,3293,3551,3398,2944,1331,474,26014,34172,19996,22323,21200,23499,26983,24568,11289,3280,187311
CED318,4239,2904,3996,3177,3317,3311,2736,1170,307,25156,34175,20896,25027,24574,26116,25346,20147,8958,2549,187781
CED319,1850,1292,1653,1512,1394,1039,787,594,608,10740,28339,18924,25673,24411,21222,17016,13009,8361,4264,161214
CED320,3389,2304,2523,2167,1885,1378,1198,735,344,15928,36042,22274,23571,22109,22743,21705,20989,11653,3422,184511
CED321,3458,2093,2381,2195,2564,2652,2158,1231,533,19259,28577,16142,17667,17004,19945,22964,21288,11018,3493,158095
CED322,2307,1545,1824,1770,1753,1477,1254,879,580,13388,28885,18931,20682,22547,22137,19258,17301,10190,4332,164265
CED323,2425,2365,3391,2550,2446,2465,2062,1425,723,19868,25532,22573,29506,24064,23941,22824,20539,12745,4527,186254
CED324,1783,1404,1688,1432,1160,903,649,387,237,9643,30050,22372,28267,25568,20504,16805,12906,7322,3142,166943
CED325,3510,2246,3115,2807,1956,1327,693,369,146,16169,41357,24412,27701,28094,23551,18753,12770,6412,2161,185217
CED326,2648,1525,1578,1673,1513,1139,940,665,480,12167,36593,20962,22745,26100,23752,20124,17954,10850,4344,183428
CED327,4103,2320,2330,2316,1779,1234,868,483,288,15722,42580,24842,26359,27794,22424,18741,14277,6517,2025,185552
CED328,1349,1389,1053,1008,1039,743,539,413,305,7834,30210,27105,20066,22853,22301,15704,12841,7780,3154,161999
CED329,2541,1605,1623,1775,1997,2029,1780,1061,487,14908,24113,14828,13236,15838,20320,24529,24731,13086,3951,154637
CED330,3579,2173,1918,2167,2169,1665,1165,647,265,15754,38251,21696,20793,23538,25053,22669,17514,8374,2365,180260
CED397,0,13,60,75,43,16,12,0,0,220,6,24,87,111,79,34,14,0,0,354
CED401,1862,1920,2483,2048,1821,1509,1080,634,387,13754,29543,27924,37468,28746,23631,21531,17058,9366,5061,200330
CED402,2495,1661,1794,1947,2152,2060,1759,1063,536,15459,29158,17750,18602,19058,22107,24621,22129,12144,4645,170213
CED403,1371,1096,1047,1062,1175,1147,918,668,407,8880,27122,20763,22796,22610,21728,21355,19570,11952,6226,174122
CED404,3128,1968,2662,2461,2684,2799,2053,1250,499,19500,29998,17539,20911,19779,23161,27425,23577,12680,4290,179349
CED405,1644,1270,1293,1283,1407,1331,852,596,288,9944,26442,19126,23605,22182,22201,22680,18002,11039,5474,170747
CED406,2069,1228,1178,1288,1216,1121,791,501,252,9641,29255,18945,20690,21594,20987,20647,18324,9348,3583,163385
CED407,1882,1353,1414,1509,1313,1024,720,548,326,10097,31086,21214,23106,23736,21626,20021,17042,10425,3809,172055
CED408,1998,1183,990,1163,1389,1442,1281,730,314,10490,29673,17768,15612,19328,22838,24080,23865,12995,4271,170428
CED409,3567,2030,2178,1874,1702,1436,987,601,366,14729,40182,24347,27729,24236,22017,21557,15013,8412,3433,186919
CED410,1480,1167,1116,1154,1261,1014,776,726,545,9236,30450,22312,24204,24989,23642,21519,18927,13235,6404,185673
CED497,0,0,0,4,5,0,0,0,0,6,0,0,0,16,10,0,0,0,0,34
CED501,3246,2045,2391,2175,1771,1220,788,578,368,14568,39723,22071,25058,24962,22397,18658,13062,7337,2466,175746
CED502,3297,1788,1978,1960,1581,1180,824,535,364,13507,40868,21790,26400,28730,21092,17341,13647,6890,2393,179148
CED503,2500,1371,1249,1411,1508,1303,1087,816,518,11758,30369,16766,16768,18020,18967,19354,18252,10854,3626,152970
CED504,2660,1624,1786,1774,1523,1322,950,546,194,12382,32720,21412,26188,24801,21788,20774,16962,9337,3172,177147
CED505,1663,1353,1463,1352,1236,1052,1010,787,573,10489,30088,21847,22453,23199,22536,18820,15881,10587,5075,170484
CED506,6657,4516,8705,8455,8021,6870,3856,1501,371,48955,43022,23728,38203,37832,36529,36616,27821,10430,2409,256586
CED507,2610,1481,1653,1704,1801,1620,1286,730,369,13257,30536,15861,16894,20070,20673,20119,17470,9005,3283,153914
CED508,1987,1406,1597,1574,1532,1192,899,597,417,11195,30339,18861,23820,24504,21836,18764,14346,7569,3141,163184
CED509,2415,1667,2195,2173,1863,1303,872,530,291,13319,36158,20530,23166,24586,22374,18892,14217,7882,2742,170549
CED510,1575,1084,937,1138,1268,1070,750,460,290,8569,30757,19482,15634,21159,22659,21394,17775,8035,3054,159945
CED511,4056,2838,4317,4160,4279,3763,2314,1114,388,27233,32272,18805,23419,23724,25691,26869,20359,10280,3540,184969
CED512,2681,1547,1421,1527,1430,965,591,339,142,10641,39936,22686,23831,25736,23468,16997,11416,6129,2076,172278
CED513,1651,1677,2976,2308,1996,1540,1085,652,385,14269,25562,19470,36581,29682,22747,19615,14672,8289,4266,180887
CED514,2248,1989,2668,2087,1731,1442,948,743,687,14539,30805,24543,34899,28105,21777,19459,15330,8333,4030,187274
CED515,1611,1462,1469,1518,1389,1134,912,723,511,10724,33576,23792,19144,24971,24249,21557,18592,10327,4811,181017
CED597,0,51,220,435,397,221,57,6,0,1396,3,137,518,957,896,533,176,32,0,3250
CED601,1595,1222,1123,954,985,996,816,534,281,8510,18470,12905,15091,12667,13633,14255,12460,7236,2743,109474
CED602,1710,994,1000,990,1145,1104,1027,666,279,8902,18412,11552,12719,11719,13845,15518,13840,7959,2759,108329
CED603,1252,997,1367,954,1005,895,696,465,249,7891,16747,13594,21197,14436,13346,13035,11000,6326,2709,112400
CED604,1422,915,1013,1013,934,873,696,465,212,7542,19512,11443,14592,14215,13638,14222,12774,7110,2594,110097
CED605,1815,1130,1089,1128,1206,1327,1085,550,181,9511,19376,11443,13090,12739,14385,17083,14770,7234,2069,112197
CED697,0,0,28,25,30,30,0,0,0,114,5,21,62,80,90,75,33,3,0,366
CED701,3399,2567,4360,3536,3305,3112,2187,515,68,23049,28353,18153,24600,20765,18527,18098,12896,3287,534,145217
CED702,2399,1573,2509,2021,1807,1719,1112,394,108,13645,22642,13281,22023,18172,15172,13305,9520,3467,731,118304
CED797,0,11,15,38,39,36,11,3,0,156,0,37,58,105,120,106,42,10,0,482
CED801,1646,1101,1334,1165,1014,817,647,429,211,8362,28807,17222,22214,21863,19507,17659,13783,7471,2543,151069
CED802,1175,2408,1996,1320,1192,1036,780,415,275,10601,20542,24767,27374,20340,17338,14615,11601,6946,3296,146810
CED803,1938,1172,1496,1325,974,575,399,207,56,8134,33663,19285,28305,27266,19579,12964,9867,4832,1407,157160
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
