CED_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
CED137,549,116,416,8,6,1095,97,16,81,0,0,199,79,20,69,0,0,170,99,30,155,0,0,293,152,40,181,4,0,373,379,118,688,3,0,1192,387,119,1096,3,0,1601,760,278,3001,21,9,4056,536,244,2164,22,6,2975,1094,384,1750,13,5,3247,2952,504,1111,14,3,4585,663,124,668,3,0,1462,7745,1992,11385,87,29,21240
CED138,827,126,60,3,3,1022,310,68,21,8,0,407,226,55,23,3,0,307,424,105,37,4,0,572,576,123,61,9,7,778,1558,361,184,10,3,2115,1985,484,173,4,0,2644,3372,499,157,14,8,4050,1992,209,56,0,0,2261,1726,140,58,0,0,1929,1264,66,37,5,0,1375,986,172,53,11,0,1225,15251,2421,926,67,25,18692
CED139,933,31,9,7,5,980,502,14,8,0,0,523,537,9,4,5,0,556,1136,25,14,3,3,1174,1660,26,29,5,0,1724,4221,59,39,10,8,4338,3398,36,22,6,5,3462,2687,17,10,3,4,2725,854,6,5,5,0,867,697,7,4,4,0,710,523,9,0,5,3,542,1056,10,5,3,5,1071,18200,242,148,51,36,18674
CED140,754,69,58,4,0,890,292,20,29,0,0,342,226,43,14,0,0,286,395,43,33,0,0,467,542,75,56,0,6,679,1510,161,183,4,4,1867,2030,263,246,7,3,2552,3657,316,280,8,3,4265,2665,138,106,3,0,2909,2360,68,84,5,0,2518,1525,42,55,4,0,1622,990,78,67,0,6,1136,16952,1319,1216,41,19,19544
CED141,862,53,8,3,0,923,350,22,3,0,0,371,300,18,22,0,0,330,533,39,9,0,0,580,701,29,24,5,0,761,2160,141,67,4,0,2370,3077,208,82,4,0,3376,4923,210,74,0,0,5202,2589,76,24,0,3,2695,1780,36,9,0,0,1830,999,21,5,0,0,1021,1067,53,20,4,3,1140,19327,898,355,22,3,20601
CED142,50,279,621,0,0,948,10,52,97,0,0,153,8,32,92,0,0,134,12,53,172,0,0,240,12,90,233,0,0,339,42,213,824,3,0,1090,33,237,995,5,0,1258,43,474,2273,6,8,2806,45,432,2042,0,0,2526,90,878,2434,5,6,3415,289,1805,2126,16,13,4250,39,247,703,12,3,1003,669,4786,12618,54,30,18162
CED143,562,99,291,3,0,956,88,18,72,0,0,182,74,8,58,0,0,141,106,19,80,0,0,205,135,26,119,0,0,273,405,51,363,3,0,826,350,62,417,0,3,833,724,148,982,7,0,1862,615,132,869,0,0,1622,1341,257,1129,3,0,2737,4877,711,1163,9,3,6766,649,117,345,0,5,1116,9916,1644,5905,31,13,17516
CED144,517,158,186,0,0,860,136,42,60,0,0,249,142,34,46,0,0,228,177,51,107,0,0,334,249,90,161,0,0,496,646,243,534,6,0,1436,708,315,737,10,0,1763,1365,613,1237,3,3,3216,990,474,540,0,5,2011,1587,587,330,3,4,2505,1653,345,150,3,4,2152,855,239,256,3,0,1357,9022,3190,4355,30,18,16604
CED145,336,233,403,14,0,985,21,46,57,3,0,119,13,32,63,3,0,113,25,41,86,0,0,154,48,52,123,3,3,231,95,136,383,4,0,619,70,149,418,9,0,646,186,262,806,10,0,1268,119,220,754,8,0,1102,282,488,1187,10,0,1972,2172,2194,1647,39,4,6058,397,286,428,9,0,1119,3770,4129,6355,108,10,14379
CED146,921,83,21,0,0,1027,256,17,6,0,0,273,205,36,3,0,0,247,396,46,3,0,0,453,533,68,4,0,0,604,1617,289,29,0,0,1928,2118,398,57,0,4,2570,4604,715,79,0,21,5429,3869,318,42,0,25,4256,3463,164,32,0,13,3675,1732,76,12,0,3,1828,1555,157,20,0,3,1732,21270,2370,305,0,71,24015
