CED_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
CED301,3336,6305,3069,2085,4727,1030,49,20605,1752,3564,2509,2312,4342,891,37,15409,883,1440,1085,1010,2833,771,11,8035,293,334,179,123,1196,455,3,2591,27713,40037,17965,14098,36839,10560,237,147443
CED302,3340,6465,2819,1573,3238,520,64,18024,1803,3824,2557,1653,3337,432,83,13685,963,1859,1235,902,2651,448,16,8083,410,543,277,159,1571,358,3,3326,28729,39549,17245,10637,29112,4840,315,130424
CED303,3879,7597,3539,1905,3787,643,23,21367,2256,5057,3569,2509,4490,716,36,18635,1215,2184,1684,1273,3246,741,13,10351,408,507,260,181,1644,811,6,3824,27288,38525,18019,11578,28182,5665,160,129415
CED304,3843,6567,2470,1075,2889,1252,138,18238,1774,3453,1847,1018,2667,728,74,11562,768,1384,857,510,1887,477,25,5908,298,343,164,87,1152,256,7,2299,41440,50612,15754,8355,35564,11401,1044,164171
CED305,3403,6230,3045,2028,4831,3260,24,22817,1873,3667,2634,2240,4485,1689,37,16627,913,1469,1009,1090,3017,896,11,8411,336,341,177,183,1378,427,5,2846,24245,34344,15301,12068,32309,21310,266,139842
CED306,3713,6718,3078,1979,5059,1985,51,22582,2141,4061,2800,2335,5193,1646,58,18228,995,1581,1138,1135,3187,1029,18,9082,292,355,187,162,1519,463,0,2980,25752,35177,15325,11560,34245,13864,755,136679
CED307,3198,6846,3165,1813,2934,440,23,18419,1691,3843,2784,2093,3192,375,31,14014,859,1520,1147,889,2230,338,8,6987,278,288,139,89,1013,238,0,2045,27622,39138,17564,11577,25079,4213,142,125336
CED308,4061,7183,3168,1900,5103,987,72,22466,2496,5108,3278,2091,5560,1002,89,19619,1328,2270,1548,1130,4386,808,44,11527,389,376,222,172,1981,424,5,3562,31652,42741,18532,12845,41600,9747,405,157520
CED309,3983,7887,3717,2040,3881,1095,44,22647,2548,5953,4060,2686,4601,1077,55,20984,1340,2724,1829,1426,3865,985,37,12194,448,598,315,284,2164,677,5,4501,27655,41602,19685,12906,29988,8455,300,140594
CED310,3723,7622,3649,2069,3958,1047,40,22110,2570,5909,3983,2690,4626,1069,55,20899,1464,2795,2133,1556,4066,932,33,12981,557,618,363,297,2284,598,9,4718,28875,41237,19644,13171,31428,8286,453,143102
CED311,3576,6445,3330,2483,5084,2559,32,23517,2047,3844,2680,2631,4894,1860,36,17991,838,1338,969,1127,2745,968,15,7994,215,254,136,154,936,355,3,2058,23467,33540,15670,13834,30937,15441,935,133832
CED312,3324,6056,2836,1789,4517,1035,46,19599,1848,3533,2497,1921,4880,857,42,15574,910,1549,1066,796,3262,719,9,8321,261,276,127,114,1418,421,7,2621,29311,39705,17250,13048,40037,10443,235,150023
CED313,3409,6446,2402,1089,2686,912,75,17019,1636,3249,1821,937,2562,796,49,11057,690,1292,826,499,1876,622,17,5825,304,385,147,120,1364,422,0,2741,37603,48779,16063,8716,31681,9282,656,152784
CED314,3171,6176,2723,1644,3692,957,24,18388,1864,4079,2805,2280,4065,902,17,16020,1114,1968,1482,1328,3382,731,12,10017,435,505,298,248,2080,428,0,3998,25527,35903,15812,11793,31682,7554,177,128446
CED315,3217,6025,2577,1593,4299,1242,39,18992,1751,3596,2272,1743,4176,1053,43,14636,867,1331,990,841,2635,638,16,7320,286,288,190,96,1163,334,8,2362,26702,36499,14572,10137,33975,10930,380,133200
CED316,3601,6812,3568,2566,5204,1300,42,23095,2785,6246,4636,3780,7367,1582,39,26423,1613,2835,2190,2011,5836,1421,29,15932,521,540,323,288,2492,637,5,4813,22737,34274,17739,13972,36447,9145,382,134699
CED317,4336,7477,3768,2645,5834,2924,74,27054,3026,5469,3533,3298,6540,2705,55,24624,1139,1941,1527,1573,3727,1386,12,11307,326,386,240,211,1536,583,6,3281,27466,37074,17418,14510,36877,19800,1181,154318
CED318,4527,7710,3175,1759,5350,2834,106,25452,2764,4904,2828,1920,5250,2473,79,20224,1019,1681,990,877,3144,1244,45,8993,285,329,141,120,1277,400,10,2561,30251,39812,16101,11123,37424,18896,1312,154925
CED319,3223,5969,2559,1313,3307,649,57,17073,1661,3701,2218,1401,3419,612,37,13052,999,1859,1203,884,2796,621,18,8381,508,603,293,230,1967,661,12,4271,29019,41540,16474,9763,29503,6582,291,133169
CED320,3444,6957,3345,2296,4739,922,29,21737,2267,5124,3823,3046,5738,1000,33,21020,1265,2324,1639,1487,4123,816,14,11671,379,436,201,192,1797,428,9,3437,28042,39782,18990,14753,37099,9805,535,149012
CED321,3700,6347,3187,2397,5096,2233,24,22988,2500,4586,3243,2994,5941,2026,12,21294,1206,1917,1340,1527,3749,1281,5,11026,372,443,238,219,1656,558,0,3491,23015,31903,15368,13405,31708,14118,308,129828
CED322,3527,6484,2932,1525,3884,915,45,19307,2315,4655,2950,1814,4590,979,63,17363,1159,2037,1384,991,3625,999,26,10222,467,526,264,194,1888,991,8,4338,29097,38353,16602,10372,32256,8704,363,135746
