CED_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
CED122,75241,78765,154006,31082,25422,56509,11026,15729,26758,4499,5327,9825,2455,2130,4588,49069,48606,97675,21426,25567,46994,5,4.4,4.7,65.2,61.7,63.4,62,59,60.4,8961,9618,18581,1181,2264,3445,17629,22103,39734,6226,8448,14672,10825,4603,15421,429,665,1093,1057,1608,2669,12309,6876,19182,64102,67274,131376,18151,18818,36974,38953,41821,80776,39293,40530,79817
CED123,71870,75871,147741,30642,21140,51787,9552,15013,24567,5286,5911,11195,2227,2010,4244,47715,44081,91791,19773,27061,46827,4.7,4.6,4.6,66.4,58.1,62.1,63.3,55.4,59.3,2915,3465,6384,700,1383,2084,7003,10584,17590,5263,7858,13126,18441,10573,29014,677,1321,1995,1130,1742,2873,20252,13639,33882,73168,75209,148381,11967,12811,24780,46096,47283,93379,33216,35370,68590
CED124,64130,68740,132870,19965,12087,32053,8019,15751,23770,2159,2538,4700,1923,1472,3398,32065,31850,63917,28131,32736,60869,6,4.6,5.3,50,46.3,48.1,47,44.2,45.6,1497,1757,3246,675,1438,2108,4898,8083,12978,4383,7297,11678,19745,10328,30070,671,1436,2106,1200,2124,3327,21618,13887,35501,61564,64517,126082,9632,10580,20209,41158,42749,83912,26977,29338,56314
CED125,76494,80734,157227,30228,20800,51027,9691,15469,25163,7220,6227,13450,2714,2519,5229,49853,45011,94868,22642,31464,54106,5.4,5.6,5.5,65.2,55.8,60.3,61.6,52.6,57,3960,4311,8279,727,1459,2186,9060,12564,21621,6404,8693,15095,17120,10011,27128,651,1358,2009,1281,2009,3288,19049,13383,32428,80887,83317,164201,13526,13981,27502,47076,48253,95329,40267,42372,82642
CED126,60772,65258,126037,26391,16919,43310,9994,16606,26600,3301,4591,7892,1407,1126,2530,41088,39246,80332,17520,23440,40965,3.4,2.9,3.2,67.6,60.1,63.7,65.3,58.4,61.7,4707,4612,9319,1080,2202,3272,12958,15927,28890,6179,9165,15345,12522,5048,17569,398,817,1209,1356,2233,3583,14265,8087,22356,62583,65549,128131,9418,9825,19239,43031,45424,88459,25579,26624,52201
CED127,57429,61071,118504,23088,14741,37830,8584,14706,23291,3889,4576,8470,1478,1095,2577,37038,35129,72165,18148,23641,41792,4,3.1,3.6,64.5,57.5,60.9,61.9,55.7,58.7,3351,4442,7798,1109,2253,3357,7461,11211,18673,5140,7730,12865,16096,7724,23821,487,1027,1518,1059,1754,2812,17638,10505,28150,59444,61965,121406,8145,8477,16620,41797,43705,85503,22326,23408,45733
CED128,68987,70333,139314,19182,13909,33088,7199,10347,17541,6120,4361,10483,2747,1916,4658,35248,30526,65780,29122,35295,64422,7.8,6.3,7.1,51.1,43.4,47.2,47.1,40.7,43.9,2431,2471,4899,437,923,1357,7548,9513,17060,5094,6706,11806,11768,6283,18058,504,926,1432,968,1631,2598,13243,8841,22084,71928,73116,145037,8931,8629,17561,49366,50581,99945,26651,26530,53181
CED129,71187,76106,147293,34087,23762,57855,9405,16385,25787,4591,5435,10025,2211,1922,4130,50294,47498,97794,18998,26565,45562,4.4,4,4.2,70.6,62.4,66.4,67.5,59.9,63.6,9291,8833,18124,1500,2271,3771,17533,20619,38152,6935,8788,15722,10851,5246,16099,393,825,1217,1212,2011,3221,12459,8080,20536,75416,78559,153977,13486,14138,27626,46861,49008,95871,37056,38870,75932
CED130,62859,66708,129560,25823,16400,42218,7457,15208,22662,1977,2377,4355,1950,1634,3584,37204,35616,72821,20020,25315,45345,5.2,4.6,4.9,59.2,53.4,56.2,56.1,50.9,53.4,1954,2452,4405,675,1553,2233,5025,8790,13818,3529,6208,9732,15898,9443,25338,752,1366,2118,934,1750,2682,17583,12556,30140,58626,60770,119400,11383,12208,23585,38967,40146,79106,27061,29340,56402
CED131,67029,70829,137858,28424,19104,47533,11106,19927,31041,2486,3350,5838,2540,1699,4238,44556,44086,88646,18699,22862,41560,5.7,3.9,4.8,66.5,62.2,64.3,62.7,59.8,61.2,4552,5012,9556,1213,2337,3553,11676,15389,27064,5240,7071,12316,15042,8315,23359,669,1034,1702,982,1544,2526,16693,10898,27592,62124,64148,126273,13702,14643,28339,39148,40464,79621,32941,34761,67701
