CED_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
CED111,838,1227,2068,8549,10434,18980,7,5,13,618,710,1330,143,149,296,16960,19180,36141,53,78,129,3570,3631,7201,225,312,539,68,96,165,182,243,426,159,143,306,269,301,569,561,714,1274,1237,1459,2695,127,186,310,79,110,189,1617,2221,3840,2229,2415,4648,50,48,98,36708,42440,79148,1043,742,1781,2062,1871,3934,76,73,149,9,8,14,140,126,264,201,313,508,341,444,787,32739,29690,62429,339,297,631,140,225,366,33217,30210,63427,4796,4755,9547,82,98,179,79168,81852,161021
CED112,532,879,1412,12327,15179,27504,3,9,15,1075,1381,2455,88,93,179,16875,19618,36493,36,70,110,536,576,1112,265,363,634,174,189,361,124,153,276,81,73,157,691,772,1471,653,834,1490,1376,1676,3054,140,172,312,312,356,670,1531,2130,3667,1643,1865,3508,57,66,126,38006,45574,83578,529,455,985,373,319,688,76,71,144,13,22,40,134,140,276,211,277,491,356,444,809,32811,30093,62903,241,195,439,127,213,339,33179,30496,63678,5293,5594,10877,70,71,143,78404,83908,162312
CED113,562,853,1417,12150,13685,25827,3,3,3,737,749,1484,102,103,213,16809,17826,34641,9,25,38,1030,984,2018,267,373,635,85,91,178,319,388,706,33,26,55,284,280,561,471,534,1005,1452,1581,3040,116,119,236,189,196,382,1755,2205,3962,1602,1824,3420,41,59,94,37451,41053,78508,971,828,1793,633,514,1148,75,76,153,30,25,51,443,371,811,234,343,580,703,736,1439,35656,32390,68045,305,248,554,130,192,324,36090,32833,68929,7720,6311,14028,161,161,322,84371,83362,167739
CED114,441,642,1090,10855,12859,23718,0,0,0,730,775,1503,180,193,373,21120,22734,43853,59,82,140,254,257,506,190,272,464,136,171,308,1039,1207,2245,35,31,66,234,238,466,708,842,1547,2530,2809,5343,111,147,256,288,359,646,3283,4105,7392,1463,1632,3092,41,38,76,43243,48754,92000,1597,1341,2937,807,581,1387,34,34,75,17,10,23,1015,857,1875,172,217,383,1202,1082,2285,29834,27060,56899,175,111,293,73,92,165,30084,27271,57357,8133,7220,15351,238,125,365,85788,87051,172836
CED115,15007,18069,33080,2464,2694,5152,2335,2502,4837,1013,1101,2113,8,4,14,21561,22898,44464,18,13,33,4096,4160,8257,194,268,462,274,242,509,74,77,154,634,618,1258,292,338,626,542,630,1174,441,472,916,27,34,65,229,231,459,416,434,851,3080,3271,6351,51,52,103,37746,40045,77786,1681,1622,3297,6706,6275,12985,25,10,36,9,0,9,301,238,537,1956,2032,3989,2259,2276,4536,14783,12246,27029,77,68,144,67,67,130,14933,12385,27314,7245,7092,14335,152,148,301,85748,87920,173670
CED116,507,780,1288,13467,15961,29424,3,3,7,1036,1217,2245,3,0,4,14642,16641,31282,57,56,111,580,542,1121,359,468,824,77,89,171,205,240,445,26,34,58,174,183,361,464,604,1066,1845,2142,3986,154,157,313,79,101,181,1962,2615,4572,1584,1823,3405,37,56,93,36733,42939,79670,374,319,694,239,209,444,94,103,193,25,29,61,63,61,123,178,304,483,271,390,664,35436,32575,68014,262,204,470,128,215,345,35829,32998,68827,6999,5826,12827,94,74,171,81140,83641,164781
CED117,1855,2659,4511,4094,4791,8884,7,15,22,325,347,675,0,0,0,14402,16340,30745,8,10,16,2754,3079,5836,102,131,228,28,29,54,98,147,248,116,108,219,138,196,337,209,261,471,658,789,1447,28,39,64,34,59,86,625,810,1434,837,1051,1882,41,31,72,24495,28233,52728,1682,1344,3027,968,805,1775,360,424,784,22,23,44,51,57,109,309,333,647,387,406,794,37404,37253,74662,597,563,1161,134,251,383,38131,38069,76202,4535,4057,8594,148,151,296,72552,76151,148708
CED118,2114,2538,4645,7009,8070,15078,30,30,61,1274,1380,2653,33,42,73,21424,23285,44710,140,170,315,1703,1731,3436,220,251,470,366,412,781,78,84,168,782,766,1544,559,626,1185,1764,2077,3833,1254,1473,2721,98,117,219,373,437,819,1163,1440,2601,2684,2884,5564,71,83,153,41025,45362,86393,18219,17409,35626,6167,6006,12177,51,56,105,5,9,17,5734,5025,10759,644,676,1319,6389,5714,12098,20025,17407,37428,211,181,390,87,146,231,20316,17730,38048,6974,5324,12298,191,315,506,101451,100449,201901
CED119,824,1255,2078,10485,12306,22791,12,16,32,1218,1366,2591,101,113,215,19237,21209,40437,91,112,193,3221,3277,6503,58,97,155,102,132,229,155,162,315,726,740,1471,330,342,675,681,789,1471,1164,1274,2433,144,162,310,62,76,132,1383,1723,3107,1656,1847,3500,103,105,207,40917,45836,86757,1348,1387,2733,1638,1607,3248,80,99,186,0,0,9,105,108,212,169,207,379,277,324,599,24766,21839,46610,219,175,396,76,126,204,25065,22148,47208,3259,3108,6369,63,89,148,73474,75852,149325
CED120,557,775,1331,15965,18296,34263,34,31,63,959,1016,1975,259,245,504,23529,25169,48706,43,53,92,1157,1104,2267,227,328,553,124,124,247,172,215,387,105,109,220,219,279,502,610,702,1310,1262,1399,2664,112,178,291,135,177,314,1793,2122,3918,1637,1758,3391,120,117,239,48464,53432,101895,577,553,1132,983,909,1892,58,65,123,7,8,15,169,165,330,194,281,481,368,453,823,28311,25208,53519,204,184,383,89,149,234,28602,25538,54141,5785,4960,10744,98,77,170,85491,86758,172243
CED121,453,764,1222,14992,17472,32466,0,0,0,1183,1339,2516,108,109,214,14989,16723,31718,15,42,58,296,278,572,319,441,751,128,121,245,112,161,273,38,32,73,357,449,808,675,787,1458,1633,1768,3403,230,315,545,1499,1758,3256,2738,3654,6389,1870,2066,3934,218,241,461,41398,47749,89153,454,403,859,350,286,638,38,37,76,14,26,43,87,79,172,162,247,408,269,352,620,36082,32026,68112,295,217,508,122,197,322,36502,32438,68936,7234,4903,12137,57,73,126,86752,87013,173769
CED122,2449,3462,5910,5693,6749,12443,183,193,370,492,603,1096,8,10,13,23502,26145,49647,14,17,38,5197,5812,11007,125,176,302,103,92,197,121,139,264,251,260,515,281,339,619,528,710,1243,1113,1231,2347,14,21,40,57,72,124,659,770,1427,1624,1947,3569,27,29,61,40000,45319,85320,1595,1336,2937,2647,2322,4965,2686,2945,5637,13,13,20,128,114,248,211,276,493,354,401,762,31516,29656,61168,365,263,626,125,196,323,31997,30111,62111,7533,6204,13733,475,447,918,89738,92558,182291
CED123,891,1244,2139,11399,13659,25058,49,45,95,819,858,1674,215,192,409,24761,26883,51643,86,83,168,1397,1408,2798,235,284,518,335,381,720,153,181,333,415,411,827,435,512,945,1211,1394,2601,1434,1722,3152,91,173,260,181,235,411,1147,1400,2545,2522,2771,5294,57,64,120,46945,52655,99597,3381,3327,6705,2702,2485,5186,41,33,67,21,20,37,1243,1178,2423,253,353,604,1515,1546,3063,29309,26595,55899,276,222,490,89,163,250,29672,26976,56650,7393,7057,14452,143,114,254,92669,95439,188110
CED124,362,592,957,16399,18643,35040,3,0,3,1212,1318,2525,12,8,25,13351,15208,28556,56,71,121,229,203,434,395,500,895,112,149,256,125,158,282,28,27,52,346,391,737,387,493,878,2185,2420,4609,228,312,538,255,324,578,2765,3723,6488,1576,1906,3477,32,56,93,39679,45907,85588,200,197,395,154,143,294,50,55,107,46,30,77,44,36,80,146,241,386,229,309,543,30027,27630,57652,204,180,379,103,191,295,30329,27998,58332,5913,5774,11683,74,57,132,76991,81037,158031
CED125,2160,2801,4963,10237,11984,22218,372,347,721,1258,1388,2644,161,142,296,25917,28270,54186,74,103,175,2300,2354,4661,396,462,860,695,743,1437,130,154,286,713,681,1394,549,553,1103,1365,1629,2989,1164,1296,2454,94,135,223,417,483,896,1101,1331,2429,3245,3601,6846,100,105,201,50275,55747,106021,5774,5614,11386,10181,9885,20072,47,32,82,8,13,24,1200,1113,2319,481,596,1072,1691,1722,3415,23997,21546,45544,200,124,327,115,149,266,24312,21826,46139,6560,6400,12961,169,217,378,101155,104252,205409
CED126,887,1328,2218,10800,12862,23666,15,20,41,723,792,1513,4,3,8,16533,18582,35122,17,18,36,1141,1231,2366,174,241,411,84,100,179,179,229,413,333,368,705,278,311,587,686,790,1481,1172,1407,2576,56,77,127,50,62,116,1553,2032,3588,1550,1805,3350,32,44,74,35388,40965,76360,754,652,1408,392,357,752,245,259,506,0,3,4,209,180,392,196,264,459,408,449,855,33031,30621,63648,259,190,448,144,240,382,33431,31046,64472,3755,3835,7585,133,135,267,75395,79035,154425
CED127,584,937,1522,10774,12751,23527,0,8,9,1270,1466,2737,241,260,503,14706,16208,30909,57,72,136,621,624,1245,250,337,583,144,148,293,169,204,366,34,32,59,189,244,428,698,768,1458,1320,1477,2799,100,125,223,125,147,272,1507,1961,3468,1754,1963,3720,63,74,142,34014,38859,72872,380,325,705,306,302,609,120,126,247,12,17,27,186,169,356,274,416,692,477,598,1075,30608,28404,59012,329,268,595,156,253,413,31093,28928,60020,4091,3805,7898,74,73,150,71137,73958,145097
CED128,4076,5155,9230,4308,5006,9311,2464,2669,5134,838,873,1708,16,17,35,29074,30773,59842,83,100,181,3122,3085,6207,207,294,498,274,303,575,72,66,137,842,866,1709,413,411,821,654,786,1439,630,724,1360,47,70,115,198,226,426,833,990,1827,2982,3203,6186,87,77,161,47148,50528,97679,2590,2326,4916,12537,11660,24197,22,20,37,4,3,5,463,367,830,600,681,1288,1070,1055,2120,13138,10930,24072,102,84,185,56,81,136,13294,11097,24394,6395,6007,12397,122,138,260,87254,87976,175238
CED129,2509,3308,5818,8898,10330,19232,28,43,72,1447,1695,3141,190,188,377,22470,24853,47323,90,108,193,1774,1875,3648,174,209,381,237,268,511,133,161,288,602,618,1224,485,520,1002,1704,2035,3744,1898,2119,4018,96,101,199,347,402,746,1697,2105,3800,2413,2702,5118,57,72,127,44738,50401,95146,7797,7813,15611,4512,4440,8955,108,106,213,0,0,0,1410,1342,2751,612,681,1295,2023,2021,4048,26293,23761,50054,255,197,452,67,113,180,26612,24074,50683,3728,3699,7430,205,270,473,92242,96136,188379
CED130,424,585,1011,17307,19851,37156,4,0,4,604,683,1278,177,175,348,14970,16792,31761,30,49,81,120,123,241,276,350,625,74,78,156,108,158,267,22,22,43,233,178,405,508,624,1133,2501,2747,5245,224,292,511,229,248,477,2360,2950,5306,1543,1758,3300,64,60,125,41340,47129,88470,606,575,1184,461,360,815,36,32,69,54,48,101,150,145,295,428,596,1023,632,792,1421,26157,23625,49781,205,146,350,79,125,200,26434,23900,50335,8177,7678,15862,205,108,315,78325,81160,159489
CED131,770,1013,1783,9089,10856,19942,0,0,0,1057,1170,2227,29,27,58,14369,16536,30904,40,38,78,1338,1393,2732,124,170,290,91,104,195,98,108,201,45,44,87,496,535,1029,680,804,1485,1290,1475,2762,185,218,402,203,234,436,1933,2651,4584,1972,2312,4275,63,77,136,33085,38758,71843,991,832,1823,1591,1208,2796,78,73,158,19,15,39,180,134,311,197,298,500,398,451,847,38045,35949,73992,429,341,768,121,224,346,38594,36518,75111,5502,5108,10614,123,133,251,81142,84093,165226
CED132,1986,3247,5237,7668,9041,16709,26,37,66,571,693,1260,5,0,10,17315,20140,37453,37,55,93,1436,1605,3037,56,73,129,31,27,62,161,211,377,377,444,821,291,321,613,363,520,889,1237,1455,2695,21,31,54,47,68,113,1041,1496,2535,1239,1645,2887,35,54,90,31966,37919,69881,2613,2553,5163,997,986,1984,754,809,1563,4,3,5,172,176,345,325,390,712,496,571,1063,35252,34196,69451,388,345,731,122,203,328,35771,34743,70513,4844,5279,10126,295,313,607,79712,86422,166132
CED133,595,915,1507,12423,14264,26685,0,0,0,881,1007,1891,4,9,18,14144,16080,30227,32,34,64,130,141,273,442,510,948,90,113,200,139,169,315,18,20,32,221,250,467,672,902,1575,3062,3420,6480,194,225,419,336,410,747,2531,3092,5621,1803,2103,3906,151,155,305,37271,42904,80173,236,233,466,240,201,436,61,61,127,23,31,55,837,798,1637,322,524,850,1182,1358,2547,35387,32558,67942,296,259,557,158,248,411,35841,33069,68909,8737,7581,16319,236,176,413,84395,86501,170896
CED134,354,428,782,14513,15961,30473,0,0,0,757,808,1563,92,101,199,17600,19406,37008,41,48,91,186,181,370,126,171,299,48,71,125,253,282,535,33,27,59,199,189,390,484,603,1085,2487,2583,5069,185,248,432,224,256,479,2668,3195,5869,1429,1611,3042,30,26,55,41374,45768,87136,860,765,1618,425,340,761,16,19,41,48,47,94,210,159,370,102,166,263,356,375,725,24716,21577,46291,138,96,237,65,77,142,24910,21757,46669,10646,10033,20676,131,88,221,79073,79558,158632
CED135,2937,3956,6896,4144,4813,8954,47,62,109,1225,1319,2543,89,118,208,18571,20070,38633,84,99,183,1853,1922,3772,142,213,357,197,202,403,65,63,127,531,543,1073,478,502,980,710,910,1614,1753,1913,3666,52,67,118,165,223,391,1190,1336,2530,2417,2710,5129,63,92,154,33776,37164,70942,21924,18418,40342,11316,10047,21358,65,47,116,11,11,25,1730,1386,3114,776,832,1607,2519,2226,4745,22076,19471,41547,223,173,397,88,135,220,22385,19775,42161,9229,8052,17278,273,335,607,104420,100020,204438
CED136,417,680,1095,14976,17700,32672,0,0,0,1279,1430,2706,92,89,183,16880,19345,36231,63,88,152,363,368,736,177,264,441,130,163,287,125,172,304,29,28,51,381,482,866,735,912,1646,1854,2205,4055,218,309,529,174,207,378,2592,3475,6064,1657,1929,3584,40,35,74,41761,49205,90963,516,430,950,430,352,778,37,43,87,18,23,39,204,169,378,153,335,486,374,528,901,36126,32930,69055,241,204,445,92,160,254,36465,33289,69753,4993,4595,9589,66,69,130,85055,89187,174240
CED137,4521,6267,10788,4327,4869,9189,40,48,87,884,1002,1886,11,14,24,23687,26098,49786,24,34,53,3063,3371,6424,142,203,344,63,60,128,95,118,216,484,507,996,351,414,768,466,617,1088,2347,2789,5134,44,56,98,107,112,217,1130,1403,2530,1903,2322,4229,52,54,106,39227,44076,83303,10193,7941,18132,3941,3503,7448,121,127,252,4,0,7,298,274,570,337,366,702,641,639,1278,33269,32334,65606,259,254,518,111,158,272,33646,32747,66391,7603,6284,13887,309,360,666,100208,101938,202145
CED138,816,1298,2108,10037,12038,22070,0,0,0,543,663,1209,0,0,3,13779,16289,30065,45,77,125,255,296,551,470,565,1034,51,73,127,166,239,399,24,24,47,185,242,428,642,862,1498,1927,2254,4178,65,110,177,406,499,906,1738,2315,4049,1392,1758,3149,59,69,125,31782,38369,70153,511,498,1014,119,115,233,324,331,654,32,31,63,229,211,435,270,439,706,528,676,1206,38405,37670,76074,260,228,490,288,542,832,38961,38439,77400,7964,7925,15889,172,167,334,81176,87823,169000
CED139,381,429,815,14170,16161,30331,3,5,3,966,1056,2020,262,265,527,21178,23159,44333,46,42,90,208,208,421,190,255,447,95,95,183,586,721,1309,125,131,249,323,262,591,558,694,1253,2727,3031,5762,152,197,341,151,164,309,3006,3566,6572,1492,1680,3168,38,31,67,46260,51709,97969,563,468,1029,699,636,1340,15,20,41,22,28,48,173,140,312,526,648,1179,725,811,1540,24323,21730,46056,161,115,271,69,96,165,24553,21942,46492,7517,5909,13425,167,68,238,80892,81996,162889
CED140,708,1074,1783,10631,13333,23968,0,3,3,1063,1273,2334,37,50,88,14717,17036,31756,68,97,172,567,607,1179,240,341,583,121,142,266,153,193,343,87,82,171,771,843,1610,627,815,1444,1441,1668,3107,83,140,227,286,321,603,1662,2218,3882,1709,2052,3760,58,83,144,34340,41301,75641,637,557,1194,391,341,732,149,164,311,30,15,39,147,115,264,155,241,397,332,374,707,31897,29601,61493,288,239,526,128,235,362,32316,30074,62391,4636,4680,9305,100,93,194,73597,78659,152260
CED141,445,656,1103,11299,13847,25143,3,0,3,1256,1446,2703,29,21,54,13664,15922,29585,29,37,67,601,612,1211,226,308,535,146,166,306,121,178,302,17,22,38,337,370,711,943,1057,1999,1533,1895,3429,162,261,417,216,258,477,2299,3337,5640,1495,1775,3276,82,85,164,34464,41602,76061,332,299,631,242,219,467,42,54,94,22,17,42,82,62,146,159,253,411,264,334,595,33191,29992,63183,228,166,398,103,168,274,33523,30329,63852,3848,3743,7593,53,47,101,73224,77279,150500
CED142,5847,7847,13696,4871,4620,9492,13,9,29,589,596,1186,0,0,6,15480,14999,30479,16,15,36,2035,2136,4172,61,83,143,55,50,101,162,180,338,103,100,202,328,324,648,445,620,1067,914,888,1800,34,29,63,113,112,224,804,815,1616,1769,2086,3858,63,51,109,27850,27715,55565,2096,1600,3693,2070,1437,3509,1033,925,1955,23,25,48,138,126,266,432,418,850,598,576,1173,57073,47697,104764,816,578,1396,257,327,587,58145,48604,106748,12826,9099,21923,1060,863,1921,111520,98661,210178
