CED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
CED111,79168,81852,161021,4545,4235,8784,9521,9064,18589,4878,4750,9625,6255,6102,12354,11001,10710,21716,9796,10218,20018,9961,10400,20358,9645,10028,19670,7366,8115,15476,4507,5365,9875,1691,2863,4557,82,98,179,77322,79564,156882,1845,2290,4139,2079,2151,4233,52,51,101,35,33,69,2161,2242,4401,58928,60098,119025,16919,18378,35297,62636,63930,126565,12921,13958,26883,69448,72059,141504,1487,1447,2930,9069,8597,17663,3839,3930,7771,2880,3172,6055,3096,4387,7482,35429,38381,73809,4294,3617,7913,14995,14655,29646,3847,4137,7984,2528,3104,5631,455,657,1107
CED112,78404,83908,162312,4972,4776,9751,10915,10274,21191,5212,4848,10060,4614,4529,9142,9094,9902,18990,9510,10179,19695,9808,10607,20412,9339,10435,19776,8272,9331,17603,4925,5988,10919,1743,3038,4788,70,71,143,77156,82128,159287,1251,1776,3027,4522,4587,9107,103,92,191,68,85,155,4695,4764,9455,63613,67303,130915,10855,12223,23075,69387,73541,142926,4924,5768,10691,70906,75531,146433,1614,1545,3149,10244,9618,19864,3638,3645,7278,1312,1594,2903,1769,3504,5270,26117,30502,56615,5009,4689,9697,19386,20371,39759,5149,5620,10768,2633,2744,5376,272,250,520
CED113,84371,83362,167739,4484,4472,8960,10703,9746,20447,4804,4412,9221,4397,4030,8422,10021,10107,20132,9926,10283,20205,11338,11589,22923,12259,11996,24258,10141,9689,19828,4896,4985,9881,1413,2053,3462,161,161,322,79685,79907,159590,4684,3459,8144,3141,3006,6148,72,47,118,52,60,117,3269,3118,6386,66253,65460,131714,11956,12346,24309,71699,71331,143036,6451,6764,13211,74441,74365,148809,1304,1286,2593,9890,9041,18929,3414,3285,6705,1050,1328,2376,2206,3856,6061,34213,38056,72266,5102,4861,9967,16585,14898,31485,4285,3799,8079,2755,2291,5043,250,214,460
CED114,85788,87051,172836,5245,5011,10257,11243,10628,21872,5247,5032,10279,4592,4413,9011,10390,10368,20758,9631,10058,19687,10424,10691,21116,11457,11775,23236,10177,9954,20129,5534,6302,11837,1838,2823,4663,238,125,365,82942,84590,167528,2848,2458,5311,4004,4168,8177,82,64,144,89,80,168,4172,4319,8490,68221,70031,138247,9922,10079,19997,71058,73064,144121,7533,7489,15024,73523,75687,149211,1418,1414,2832,10170,9670,19843,3431,3638,7066,927,1295,2224,1655,3346,5000,24377,30440,54818,7673,7586,15259,19351,17491,36842,6300,5397,11697,4275,3586,7859,506,516,1022
CED115,85748,87920,173670,5050,4697,9748,11040,10206,21250,5713,5528,11241,6226,6220,12446,12398,12372,24768,10581,11497,22080,10736,11463,22196,11055,11252,22312,7816,8364,16175,3737,4169,7900,1396,2161,3562,152,148,301,84539,86387,170922,1211,1533,2748,683,739,1426,26,26,50,14,19,39,722,789,1506,35175,32588,67763,45043,49958,94996,22651,20382,43032,56393,60698,117090,67242,68506,135750,1108,1026,2136,9977,9196,19175,4384,4592,8977,2526,2835,5365,2935,4321,7257,36809,37583,74398,3909,3463,7368,10385,9774,20161,3717,3924,7645,5201,6741,11944,3799,5574,9373
CED116,81140,83641,164781,4173,3874,8045,9300,8788,18093,4409,4031,8439,3704,3331,7040,7914,7926,15835,8199,8564,16767,9274,9863,19144,11925,13142,25073,12851,13321,26172,7246,7564,14811,2148,3230,5381,94,74,171,78786,81945,160728,2353,1699,4053,4709,4600,9314,89,75,164,76,78,155,4878,4755,9633,64968,66493,131461,10874,11886,22755,71753,74594,146340,3688,4228,7909,72641,75682,148317,1381,1177,2553,8507,8108,16615,2992,2875,5861,861,1041,1904,1522,3101,4630,27418,31538,58954,4952,4651,9605,20383,20883,41268,5900,5892,11796,3126,2883,6011,230,191,420
CED117,72552,76151,148708,3845,3695,7539,7398,7094,14498,3139,2853,5990,4281,4640,8926,13810,14848,28659,12514,12871,25384,10513,10979,21488,7878,8115,15991,5336,6138,11479,2809,3331,6135,1031,1586,2619,148,151,296,70231,74580,144809,2326,1571,3897,783,874,1659,30,21,48,21,36,60,837,933,1773,45837,48053,93892,23518,25128,48643,52538,53800,106339,16584,19139,35724,60810,64316,125129,1230,1172,2407,7114,6838,13946,2709,2548,5256,2151,2418,4568,3866,5349,9209,45761,49860,95628,2544,2130,4671,5732,5629,11358,1530,1452,2981,1734,2196,3925,576,838,1414
CED118,101451,100449,201901,7502,7151,14649,15687,14836,30526,6177,5688,11861,6760,6014,12777,14621,15073,29695,19020,18632,37647,12676,12194,24867,8996,9382,18372,6270,6985,13253,2946,3237,6185,802,1259,2059,191,315,506,99639,99830,199471,1808,618,2427,1683,1469,3150,28,29,59,42,42,83,1750,1537,3287,51216,49749,100960,45769,46388,92152,48063,47369,95439,47235,48199,95433,79905,79703,159609,2263,2128,4387,14869,14084,28955,5061,4889,9947,2913,2960,5875,3539,5124,8663,50733,52618,103356,4054,3488,7539,12144,11610,23750,3133,3082,6212,2091,2495,4585,640,924,1561
CED119,73474,75852,149325,4649,4574,9224,10690,10147,20833,5063,4596,9663,4653,4062,8724,8251,8584,16837,10129,10869,21002,10046,10819,20857,8619,9110,17728,6545,7004,13548,3637,4153,7790,1191,1928,3123,63,89,148,72140,74641,146775,1335,1212,2552,1119,1101,2213,29,22,44,25,31,55,1168,1145,2315,56477,57367,113841,15169,16732,31898,58913,59559,118470,12364,13935,26296,67873,69526,137404,1677,1594,3267,10341,9869,20212,4209,4026,8234,1829,1888,3717,1871,3031,4904,34632,38231,72861,3837,3077,6917,13323,12798,26120,2791,2999,5788,1285,1474,2761,244,313,557
CED120,85491,86758,172243,6126,5698,11818,12457,11677,24140,5673,5271,10946,5019,4697,9716,10672,11043,21715,10686,11247,21934,11028,11372,22406,10131,10589,20722,8258,8651,16911,4263,4582,8843,1174,1923,3094,98,77,170,83746,85266,169013,1744,1494,3235,3470,3456,6930,78,65,139,48,57,103,3594,3571,7166,70448,71252,141700,10855,11452,22310,74571,75756,150328,6368,6982,13346,77763,79388,157149,1895,1799,3696,11735,11001,22736,4108,4074,8183,1336,1697,3030,1729,3294,5027,27314,33909,61218,5058,4719,9772,22013,19320,41328,5290,4879,10169,2647,2311,4958,265,263,525
CED121,86752,87013,173769,5388,5111,10496,11663,10999,22659,5502,5002,10504,5271,4680,9959,11276,11067,22339,10616,10508,21125,10648,10819,21471,10550,10785,21337,9086,9583,18668,5100,5756,10855,1648,2707,4362,57,73,126,82911,85226,168135,3841,1788,5630,6963,6511,13475,147,98,250,163,145,312,7275,6754,14033,74176,74323,148503,8321,8777,17096,77326,79123,156449,3541,4054,7595,78094,80270,158364,1631,1634,3266,10937,10395,21334,3518,3531,7051,1214,1483,2701,1771,3606,5378,24229,28765,52988,6079,5462,11541,23606,22716,46316,6518,6655,13178,3181,2977,6159,283,242,521
CED122,89738,92558,182291,4963,4679,9639,9084,8684,17769,4513,4203,8713,7213,7043,14257,18113,18691,36804,13785,13939,27721,11142,11566,22710,9055,9296,18352,6427,7322,13748,3950,4871,8822,1487,2270,3761,475,447,918,85464,89762,175222,4275,2794,7069,1626,1601,3229,28,29,51,41,62,100,1694,1685,3380,47014,46817,93837,37671,40831,78500,53660,53989,107649,29427,32930,62358,65717,69080,134806,1438,1397,2838,8556,8216,16771,3745,3650,7393,3972,3947,7913,5231,6540,11771,52785,57057,109839,3493,2979,6467,8436,8102,16538,2145,2361,4506,1905,2392,4299,591,809,1402
CED123,92669,95439,188110,7167,6581,13751,13498,12876,26373,5875,5667,11544,6541,6314,12858,13867,15074,28944,13738,14080,27821,11467,11686,23158,9258,9858,19118,6957,7772,14727,3424,3921,7344,873,1600,2477,143,114,254,90781,93699,184481,1892,1737,3630,4746,4836,9583,88,75,162,82,71,149,4917,4976,9892,66601,67674,134275,20829,22232,43065,69351,70585,139933,17070,18531,35599,80008,82159,162170,2031,1862,3889,12544,11906,24455,4130,4278,8412,1829,2121,3950,2318,4254,6567,32956,38258,71209,5275,4866,10137,19949,18850,38800,4989,4896,9888,2739,2865,5599,488,573,1068
CED124,76991,81037,158031,3488,3440,6930,9312,8803,18117,4360,4129,8488,3128,2964,6091,6037,6708,12743,6966,7796,14760,8932,9807,18736,11623,12954,24580,13190,13254,26449,7725,7885,15613,2236,3293,5523,74,57,132,75642,79362,154996,1348,1678,3028,5030,5207,10236,95,87,186,88,80,169,5219,5374,10596,64705,67899,132605,7100,7842,14943,70439,73927,144372,1987,2467,4452,70638,74353,144988,1117,1083,2199,8535,8063,16595,2879,2941,5819,668,938,1603,1118,2727,3845,21679,26159,47843,4742,4726,9465,22404,22925,45325,6799,6751,13554,3634,3011,6642,163,159,320
CED125,101155,104252,205409,8712,8295,17007,15786,15021,30811,6422,6181,12604,6560,6357,12909,15041,17081,32126,15833,15933,31766,11661,11734,23401,9924,10839,20761,7342,8153,15497,3202,3541,6748,668,1114,1779,169,217,378,100453,103418,203872,704,838,1539,3583,3996,7582,68,66,134,61,50,112,3716,4111,7824,64713,65649,130359,31610,33606,65217,63043,63583,126634,32511,34684,67197,86827,88791,175620,2352,2116,4468,14569,13958,28521,4618,4793,9410,2050,2323,4370,2814,4737,7545,40399,44825,85217,5457,4960,10410,18068,17470,35538,4786,4942,9727,2734,2954,5693,749,1005,1753
CED126,75395,79035,154425,4129,3913,8040,10369,9736,20113,5163,4654,9819,4345,3871,8217,7203,7384,14589,9174,10232,19404,11096,11962,23064,9643,10049,19691,7371,8197,15569,5089,5965,11059,1811,3055,4868,133,135,267,74510,77631,152141,880,1396,2286,563,489,1048,13,15,28,19,11,33,598,516,1111,52711,54046,106757,20432,22552,42984,62080,63932,126009,10664,12206,22876,66552,69404,135961,1505,1430,2934,10001,9395,19401,4407,4114,8523,2095,1999,4095,1935,3182,5119,40444,43396,83841,3706,3401,7105,10238,11246,21490,2460,2607,5067,1181,1303,2482,282,342,627
CED127,71137,73958,145097,4121,3912,8032,9516,8914,18427,4731,4320,9049,4040,3601,7644,7908,8024,15930,8430,9037,17465,9681,10496,20182,9527,10260,19794,8069,8753,16823,4006,4782,8783,1102,1878,2981,74,73,150,70049,72658,142703,1086,1312,2395,2591,2623,5213,37,30,70,35,27,67,2663,2678,5341,57608,59406,117013,10827,11859,22689,63784,65829,129616,4593,5320,9909,65162,67713,132880,1327,1259,2586,9031,8492,17526,3614,3408,7024,1305,1462,2768,1799,3602,5407,28488,33812,62298,4066,3856,7916,16482,15266,31753,3859,3647,7511,1814,1581,3388,187,195,383
CED128,87254,87976,175238,5827,5648,11475,12330,11869,24201,5969,5471,11444,5994,5544,11539,12528,12193,24718,11777,11981,23763,10640,11009,21654,10047,10609,20659,7268,7695,14968,3745,4132,7876,1130,1819,2949,122,138,260,86752,87305,174052,504,676,1185,1058,1182,2237,38,33,71,19,18,40,1120,1235,2351,43199,42809,86008,38685,40103,78792,34968,33812,68779,46206,47983,94190,68362,69887,138255,1461,1370,2831,11231,10831,22057,4551,4517,9073,2296,2438,4739,2729,3995,6729,34654,36551,71209,4141,3590,7730,13290,12118,25413,4167,4095,8267,4918,5204,10123,2943,3973,6909
CED129,92242,96136,188379,5878,5587,11468,14988,14194,29181,6374,6039,12417,5522,5216,10737,9407,10361,19762,15135,16476,31609,12877,13463,26342,9443,10117,19559,7295,8387,15684,4123,4571,8692,1202,1726,2931,205,270,473,91504,95101,186602,745,1035,1779,525,548,1074,8,7,15,17,17,33,557,572,1126,52819,53478,106292,37307,40314,77621,53173,53742,106916,36397,39565,75958,78680,80676,159351,2016,1996,4009,14538,13750,28293,5615,5436,11051,2786,2900,5693,2775,4241,7014,51363,54600,105965,3562,3238,6803,9992,10989,20976,2596,2849,5443,1286,1648,2934,323,487,815
CED130,78325,81160,159489,4639,4150,8788,10629,10204,20832,5145,5140,10289,4365,4379,8748,9090,9576,18667,8544,9024,17572,9290,9799,19085,10254,10780,21033,9415,9417,18828,5376,6098,11474,1578,2598,4181,205,108,315,75230,78174,153406,3100,2984,6081,7757,8026,15781,110,120,227,186,204,391,8052,8356,16401,63863,66278,130143,7130,7531,14664,66899,69727,136629,4350,4471,8820,67624,70620,138245,1315,1203,2519,9517,9157,18672,3331,3372,6701,963,1401,2364,1718,3406,5123,23179,28890,52066,4459,4639,9098,18896,18285,37182,5714,5279,10991,3810,2904,6714,352,305,655
CED131,81142,84093,165226,4488,4244,8735,9511,8902,18408,4788,4729,9513,6871,7029,13901,13163,13048,26213,10724,10924,21653,9936,10490,20425,9210,9635,18845,7106,7647,14747,3864,4667,8532,1479,2779,4259,123,133,251,78141,80899,159040,2997,3190,6193,3331,3440,6769,62,68,127,54,63,119,3439,3576,7017,65256,67760,133019,12171,12695,24862,68160,70833,138997,8683,8977,17666,71560,74678,146243,1460,1364,2825,9059,8507,17562,3631,3722,7351,3134,3659,6801,3712,5152,8861,37326,40673,77998,4416,3857,8275,14747,14973,29723,3991,4381,8373,2052,2199,4240,328,382,710
CED132,79712,86422,166132,4533,4332,8857,9484,9041,18521,4041,3792,7830,4194,4119,8318,12517,13959,26473,13584,14825,28409,10822,11776,22599,8510,9378,17889,6710,7901,14609,3919,4691,8611,1406,2607,4016,295,313,607,78035,84221,162256,1679,2196,3876,289,267,554,15,11,20,15,7,20,310,286,597,45642,46750,92390,31083,36313,67397,53792,54602,108394,22362,27676,50037,64604,68331,132935,1552,1401,2958,9132,8705,17836,3716,3508,7224,2421,2293,4710,3275,5119,8393,53207,57880,111092,2378,2504,4883,4345,5687,10031,1395,1557,2951,802,1043,1841,240,394,638
CED133,84395,86501,170896,4256,4057,8312,10653,9986,20634,4886,4461,9351,4084,3827,7911,8434,8829,17262,8835,9533,18369,10329,11069,21403,12634,13029,25661,12284,12175,24455,6119,6587,12706,1883,2947,4835,236,176,413,81642,84513,166156,2754,1990,4739,5444,5296,10744,125,121,240,173,161,336,5741,5581,11320,69658,70792,140447,8056,9114,17174,73579,75965,149544,3660,4325,7984,74692,77390,152085,1302,1223,2524,9663,9058,18722,3159,3092,6248,825,1050,1874,1714,3559,5271,25458,30221,55676,5278,5199,10478,21588,21768,43353,6232,5904,12135,3742,2929,6671,244,254,499
CED134,79073,79558,158632,5271,4930,10198,10855,10348,21208,4487,4236,8725,4316,4177,8486,10201,10738,20941,8668,9077,17748,9324,9402,18730,10752,10581,21337,8936,8427,17366,4794,5322,10123,1461,2310,3778,131,88,221,76137,77140,153277,2938,2413,5350,12041,12712,24750,101,87,192,208,239,447,12349,13040,25385,63674,64258,127930,5286,5502,10788,65635,66488,132121,3687,3755,7442,66580,67421,134006,1446,1383,2828,9302,8898,18197,2512,2629,5142,673,955,1625,1273,3005,4275,20308,25734,46039,4453,4570,9023,19225,17280,36500,5742,5076,10817,4133,2991,7126,335,220,555
