CED_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
CED143,18125,29065,6078,5980,8997,5878,1602,2574,1281,79576
CED144,7569,16085,7488,7047,9510,6137,4746,6113,1681,66382
CED145,17958,33825,4353,4778,7755,5316,941,1903,1674,78497
CED146,8032,15330,8903,7675,11620,6344,8511,7367,1741,75528
CED147,8351,13422,12179,9902,9548,6707,5789,7639,1300,74832
CED197,0,0,0,0,0,0,27,0,0,35
CED201,10458,19104,11758,8400,11786,7591,4357,6423,1453,81332
CED202,8966,15340,10296,9266,8440,6255,3885,7179,1103,70721
CED203,8441,15549,9682,9095,7989,6051,4034,7953,1151,69937
CED204,8198,14240,13190,8710,10733,7098,7390,9274,1891,80720
CED205,7003,12481,11225,9520,9717,6635,8563,8528,1975,75648
CED206,10850,15738,14682,9442,10195,6297,4173,7230,1405,80000
CED207,12737,28635,8157,8223,11238,7792,3020,5671,1735,87202
CED208,11680,28370,8446,8332,9805,5901,3149,5340,1455,82472
CED209,9830,17401,11003,9824,8486,6620,3375,6070,1160,73771
CED210,8523,17217,10627,9992,8456,6545,5161,7831,1380,75733
CED211,11556,23524,10551,8776,11288,7112,3172,5898,1448,83321
CED212,10029,15233,12466,9183,10053,7249,4498,7098,1373,77177
CED213,10137,13299,11840,8425,7615,6354,2607,6014,1289,67577
CED214,9231,20247,9336,8729,10052,6264,7460,9200,2059,82569
CED215,13613,25024,9969,8872,12469,6977,6799,6382,2021,92138
CED216,8560,10799,9828,8553,7432,5649,4383,7830,1348,64368
CED217,17186,26926,5633,6662,9439,6687,1337,2920,1350,78144
CED218,8545,15252,10875,8785,12106,7481,8609,8438,2097,82174
CED219,7817,11893,12023,9655,10933,6896,8069,7432,1546,76262
CED220,16883,35229,5548,6927,10329,6839,1486,3161,1490,87888
CED221,8124,13123,14295,11075,11164,7396,9907,10878,2016,87972
CED222,9882,21658,11140,9785,11031,7605,7605,11744,2279,92720
CED223,11830,13026,11217,9841,7756,6122,5044,8796,1370,74992
CED224,12900,21286,10394,7888,11450,7313,3728,5564,1379,81888
CED225,12738,25922,9387,8042,10830,6073,2373,4269,1191,80830
CED226,16049,33643,4851,6593,9964,6919,1239,3007,1395,83665
CED227,10265,15622,13340,9835,11123,7384,6703,8199,1648,84125
CED228,8818,18424,11549,10970,12427,7649,11384,9222,2245,92694
CED229,18951,38321,7213,8858,11396,6743,1842,4043,1852,99209
CED230,13424,10798,9301,8659,7154,6046,5113,10797,1619,72910
CED231,12666,24429,7972,7278,11603,6344,3072,4782,1459,79615
CED232,10435,16082,13166,9656,10714,6402,5050,6487,1476,79482
CED233,17850,51124,9012,12361,12714,8052,2506,6081,2070,121778
CED234,13371,25734,8494,7661,10998,7797,2315,4836,1600,82794
CED235,9411,10784,10078,7857,6924,5484,3856,7619,1220,63235
CED236,10973,10866,10027,8726,7297,6000,5008,10303,1414,70626
CED237,7574,14358,11141,9391,10877,7438,7098,8296,1773,77938
CED238,13255,11960,9613,8697,6718,5908,4759,10331,1393,72622
CED239,11360,28871,9032,8636,10506,5921,3308,5486,1488,84604
CED297,11,33,36,22,4,0,29,33,5,170
CED301,8621,13230,12397,11872,11325,7348,7772,10128,1720,84422
CED302,12021,23368,9274,8150,11831,6972,3965,6190,1382,83160
CED303,10064,14090,11821,8953,11581,6931,4694,6940,1247,76324
CED304,17664,41358,8885,11261,13932,8208,2850,6213,1754,112122
CED305,7912,11734,13955,8591,8810,5727,10250,8622,1585,77191
CED306,9022,12750,13679,9342,8840,6870,8018,9255,1505,79293
CED307,10533,18233,11322,9634,12202,6923,4395,6246,1299,80789
CED308,11714,16706,13138,11378,12022,9909,5697,8828,1861,91263
CED309,9987,17073,11789,10718,9623,7535,3634,7608,1385,79359
CED310,9657,16593,11998,10788,9835,7751,3892,7986,1365,79859
CED311,9452,9246,12904,7204,7245,5456,9849,10031,1634,73017
CED312,9269,13089,14024,10930,12256,8079,8400,10331,1938,88320
CED313,16312,37518,8908,10274,13287,7392,2906,5698,1543,103835
CED314,8451,15065,10674,10127,9393,6412,4525,8398,1204,74247
CED315,7876,15369,11309,13096,9775,6915,5668,7502,1412,78929
CED316,5959,9833,7931,9102,6579,5792,3881,7961,1064,58090
CED317,10475,11025,12325,9009,8447,5891,7680,11150,1783,77781
CED318,9835,17606,11893,12651,9637,7277,4591,8344,1649,83482
CED319,11083,23608,9869,9545,12297,6729,4019,6414,1431,84995
CED320,7952,10428,12421,10933,10572,7697,6550,10596,1604,78752
CED321,12679,8673,9417,7148,7085,5072,6066,10788,1446,68370
CED322,10779,19076,11073,10552,10074,8384,3038,6448,1608,81035
CED323,11811,18875,11737,12242,10811,9542,4047,8687,1917,89674
CED324,9959,26415,8913,8870,10277,6435,4522,7171,1606,84164
CED325,9048,18203,10293,10767,11357,6784,7589,8987,1747,84778
CED326,9618,17184,11306,11745,12174,7572,5904,8179,1600,85290
CED327,7313,13920,10804,9746,10925,7022,8992,9972,1796,80495
CED328,13082,32499,6622,8903,10270,6267,2038,4233,1082,85005
CED329,7990,9792,8702,8202,6716,5810,3834,7376,1270,59694
CED330,11092,12666,13827,9570,11041,7003,6880,10333,1792,84215
CED397,5,33,9,3,3,0,21,37,0,99
CED401,12883,30711,10739,12738,12386,7838,4427,8636,1705,102059
CED402,13167,9760,10673,9243,7687,6568,5814,13315,1472,77704
CED403,11793,26072,9392,11630,11031,7055,2737,5980,1306,86998
CED404,12293,10585,11772,9416,7411,5888,7648,10019,1582,76615
CED405,10650,18812,11089,10917,12297,7394,4827,7417,1456,84855
CED406,8039,13849,12606,11697,11182,7496,4325,7741,1314,78243
CED407,8470,14945,12250,11361,11810,7291,5833,8561,1529,82052
CED408,12329,17402,11391,10024,9271,6678,3400,7939,1293,79738
CED409,6941,8646,11170,11568,9451,7178,8143,11878,1803,76777
CED410,12509,29217,9144,10420,12209,7494,3277,6438,1348,92054
CED497,0,3,3,0,0,0,4,9,0,22
CED501,7473,11861,15217,11798,9748,7102,7833,8960,1460,81452
CED502,6684,13223,13729,10756,10517,6836,9000,9725,1610,82087
CED503,7046,9380,12515,8672,7716,5907,6972,6819,1224,66257
CED504,8116,15497,13363,11217,11055,7542,6685,9924,1631,85030
CED505,14838,34820,6586,8983,9348,6095,2046,4392,1274,88387
CED506,15115,18030,22759,11251,11542,6345,14865,12871,2255,115034
CED507,8374,12033,12807,8633,7687,6305,6122,9559,1176,72696
CED508,10825,22817,12785,10061,10707,6380,4632,6649,1369,86216
CED509,9704,15145,13728,10834,11477,7143,7168,7491,1515,84202
CED510,11879,21933,12047,9517,11674,6964,3207,5468,1192,83876
CED511,14421,11820,14657,8210,8030,5498,10856,10937,1492,85925
CED512,9476,15078,15037,11831,12041,8091,6145,8597,1485,87779
CED513,13847,33200,11244,11314,12219,6857,4204,6924,1449,101262
CED514,11255,25138,13174,11825,12310,7364,7211,8545,1785,98609
CED515,11874,27415,10130,9395,11665,7232,4110,6091,1288,89199
CED597,96,324,627,58,45,6,172,344,23,1697
CED601,6066,9740,6716,6816,5431,4591,3611,5820,897,49690
CED602,5744,7011,7036,6479,4846,4336,4124,6676,864,47108
CED603,6762,15473,6475,8016,6577,4555,2274,4905,974,56014
CED604,6969,12261,7296,6778,6913,4073,2038,4576,934,51833
CED605,6832,6551,7846,6497,6014,4270,4060,6453,1031,49555
CED697,14,78,74,21,9,0,18,58,0,277
CED701,7488,11911,8047,8954,6633,2940,3274,5136,1337,55722
CED702,8122,14731,8110,8945,8608,4383,2957,4712,1141,61707
CED797,12,85,63,17,0,0,8,86,4,282
CED801,13552,22941,9002,8541,13119,4988,2444,4215,1708,80503
CED802,17438,30976,5338,8541,9916,4497,1118,3378,1752,82944
CED803,13660,24322,9794,10273,13231,5880,2494,4954,1825,86430
CED897,0,0,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0,0,0
