CED_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
CED130,234,1098,6029,24583,17196,3456,853,4198,57650,33,619,2259,781,59,15,7,508,4286,3,138,342,115,21,0,0,87,717,37,760,2604,899,85,16,10,599,4998,17,375,566,109,21,9,3,163,1265,0,7,55,5,0,0,0,19,89,0,0,17,3,0,0,0,0,25,0,0,0,0,0,0,0,0,5,0,10,8,10,0,3,0,3,40,17,392,654,131,24,10,5,182,1421,97,220,132,56,32,8,9,274,833,23,74,54,63,24,7,15,57,311,413,2544,9470,25735,17359,3497,882,5304,65209
CED131,96,566,6644,21917,11956,2626,580,1285,45661,19,500,2420,1253,125,23,6,264,4615,44,547,2102,2916,381,80,25,345,6436,58,1041,4522,4167,506,100,35,612,11048,121,1364,1519,363,58,12,7,362,3819,42,508,1452,246,6,4,3,306,2580,64,439,972,450,24,0,8,128,2078,24,444,655,280,24,0,0,52,1480,7,74,112,66,22,10,0,28,320,261,2827,4705,1404,130,32,23,885,10264,27,75,95,43,19,4,0,52,306,12,47,26,23,9,0,5,25,147,449,4557,15987,27549,12619,2763,638,2857,67431
CED132,29,135,1595,6962,8201,3610,687,419,21633,10,78,789,909,232,29,0,54,2088,13,307,1202,2847,573,67,16,141,5165,23,382,1994,3756,796,90,15,200,7250,96,1091,2860,1023,77,12,6,221,5385,251,2209,6455,1679,65,8,6,411,11075,319,3294,6287,1805,36,8,4,591,12343,551,3821,5343,1793,69,0,7,604,12181,0,9,36,23,20,4,0,11,109,1218,10424,20983,6321,268,32,18,1836,41097,10,43,62,26,6,3,0,12,168,8,42,39,16,10,0,0,14,133,1284,11023,24673,17078,9284,3738,725,2483,70291
CED133,404,1594,7215,25545,16561,3272,789,3749,59127,37,401,1942,925,89,8,0,315,3728,11,120,724,599,90,21,11,161,1740,44,521,2663,1522,182,33,11,481,5467,31,383,1153,398,53,5,7,248,2277,0,14,165,47,0,0,0,28,256,0,5,16,6,0,0,0,7,36,0,0,0,0,0,0,0,0,0,3,49,62,36,18,9,0,28,202,37,452,1406,485,73,14,6,301,2775,418,830,330,212,90,19,6,355,2273,45,98,76,53,23,5,4,42,342,942,3506,11689,27819,16930,3349,816,4923,69987
CED134,211,1029,5786,22531,16060,3015,809,6154,55601,27,440,1869,524,135,28,13,580,3624,0,40,139,59,9,3,6,58,304,29,476,2004,584,148,31,16,637,3933,44,585,1072,136,20,3,0,375,2240,0,8,11,0,0,0,0,3,21,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12,14,3,6,0,0,4,41,44,600,1100,143,26,3,3,378,2302,205,449,204,118,42,15,9,361,1396,74,166,114,124,78,43,36,136,773,562,2731,9208,23506,16362,3104,876,7660,64003
CED135,61,387,2679,10666,8048,2982,784,1608,27215,45,376,773,780,111,25,5,213,2321,40,500,1697,4091,1546,240,29,484,8628,86,879,2471,4871,1656,259,41,694,10956,57,702,3468,589,49,4,7,422,5300,44,561,7600,1235,30,3,6,807,10285,52,1428,7591,1644,34,5,4,911,11671,203,1528,4769,712,18,4,0,570,7808,0,34,124,62,33,15,11,23,301,356,4252,23551,4246,160,27,31,2739,35368,16,19,138,54,6,3,0,31,276,8,50,103,31,13,0,0,36,235,524,5586,28944,19867,9891,3269,850,5116,74050
CED136,93,574,5114,22783,22640,3511,692,2121,57532,8,346,2707,1718,195,11,4,337,5326,0,238,626,1280,332,27,11,157,2668,5,578,3332,3000,524,36,15,500,7993,11,395,514,111,21,3,7,125,1182,3,23,130,71,4,0,0,14,255,0,28,281,152,13,0,0,12,492,0,0,0,0,0,0,0,0,0,0,25,78,37,20,7,0,13,174,18,466,1003,377,58,11,4,168,2106,46,218,268,83,15,3,0,135,769,10,39,29,44,21,8,0,22,168,181,1879,9746,26290,23251,3569,710,2935,68567
CED137,60,214,1974,9041,7524,3224,975,667,23683,12,177,825,650,159,28,11,71,1942,11,110,912,2358,685,108,60,180,4421,21,288,1738,3012,850,132,68,252,6362,142,797,3101,1034,111,24,9,366,5584,47,678,5323,1515,78,5,9,369,8028,127,3767,10629,3355,154,49,0,1081,19166,57,3714,8430,1722,65,6,0,749,14731,0,29,72,32,31,8,9,13,193,375,8984,27545,7660,442,96,31,2575,47702,33,117,246,150,23,5,0,43,610,15,74,110,38,10,0,0,55,305,508,9679,31614,19897,8837,3459,1072,3603,78673
CED138,304,1520,5325,18425,14817,3150,760,3033,47328,14,328,2613,3244,215,25,9,435,6877,16,333,1704,2791,262,29,10,364,5512,24,660,4314,6039,474,52,16,800,12384,65,581,1744,627,59,10,3,350,3435,0,165,1268,410,8,5,0,147,2008,3,85,404,215,9,0,0,52,771,9,80,366,137,12,0,0,72,674,20,103,58,28,25,8,0,14,258,93,1013,3841,1414,107,22,9,641,7140,291,780,591,119,34,11,3,632,2454,49,113,64,45,22,3,4,39,339,764,4093,14130,26039,15449,3241,795,5138,69648
CED139,160,748,5662,24388,18654,3575,757,3506,57453,21,322,1532,463,86,16,3,289,2727,5,32,174,119,14,3,0,27,365,23,353,1706,584,96,23,3,310,3094,34,477,2119,272,33,7,11,368,3333,0,54,81,16,0,0,0,16,170,0,15,22,11,0,0,0,3,50,0,0,0,0,0,0,0,0,3,0,7,21,10,14,0,0,4,50,34,549,2241,310,50,15,11,393,3608,80,163,96,80,30,15,15,150,626,21,32,33,58,35,13,13,87,295,323,1847,9735,25417,18870,3630,809,4457,65073
CED140,135,888,5564,16673,14767,4266,871,1826,44990,17,234,2182,2221,66,8,3,342,5072,15,217,871,1875,172,20,0,200,3373,29,451,3052,4090,243,28,9,537,8450,68,566,1642,1361,150,18,14,381,4199,21,67,612,330,23,0,0,69,1123,22,211,1169,317,19,0,4,142,1880,0,60,247,140,0,0,0,30,480,12,39,88,45,25,14,5,13,240,121,941,3763,2198,213,28,22,635,7931,23,152,278,85,17,9,0,82,646,21,41,44,22,11,0,5,30,177,330,2483,12710,23071,15254,4339,896,3110,62190
CED141,71,659,6515,22447,15733,3494,584,1794,51294,5,383,2015,1127,69,10,9,211,3825,3,140,713,1006,112,6,5,127,2118,9,523,2725,2134,183,18,11,338,5938,29,481,904,263,17,4,3,177,1878,3,58,116,52,0,0,0,18,245,0,169,311,130,5,0,0,33,647,0,58,134,61,0,0,0,0,258,4,31,57,31,14,6,0,14,158,35,796,1526,536,38,8,3,246,3182,37,98,123,57,12,5,0,51,378,5,21,17,8,4,0,0,22,77,152,2094,10909,25182,15964,3527,600,2449,60872
CED142,31,122,374,942,554,144,37,120,2323,16,510,2014,1318,332,48,19,192,4451,227,1378,4297,5364,2191,407,163,661,14683,247,1894,6306,6677,2527,456,182,853,19134,254,888,786,278,44,15,14,221,2506,672,2819,3698,714,82,4,4,681,8671,1455,10407,12137,2838,132,12,16,1903,28895,1789,12633,16529,3375,172,16,22,2817,37344,9,33,27,20,16,0,4,4,97,4158,26780,33169,7226,433,55,56,5629,77517,41,170,161,117,29,9,3,108,645,79,175,99,34,10,3,16,95,512,4562,29144,40115,14999,3550,664,295,6811,100138
CED143,84,277,1460,7137,9424,4379,927,499,24185,75,187,431,928,312,35,0,65,2036,8,238,740,1869,522,79,25,106,3582,83,426,1174,2790,831,119,28,171,5614,121,1282,3049,1507,180,37,11,257,6452,110,2660,8062,1741,96,10,7,482,13176,145,1889,3314,1110,40,5,3,257,6768,52,689,1187,566,14,0,0,80,2585,10,67,131,58,27,10,0,15,321,440,6586,15742,4984,362,64,35,1096,29306,0,49,119,63,11,3,0,30,281,8,28,42,16,3,4,4,23,119,611,7364,18539,14989,10636,4565,984,1817,59502
CED144,76,332,2955,12111,7629,2694,791,1563,28152,38,190,1017,895,225,37,6,203,2612,18,391,1455,2937,1740,271,70,366,7251,56,577,2475,3835,1964,310,85,570,9866,113,1194,7788,748,77,18,15,1009,10973,50,422,4785,629,33,5,3,474,6401,17,665,2758,461,32,3,0,458,4397,9,290,698,92,0,0,0,67,1152,4,29,150,85,54,24,10,31,389,192,2596,16184,2013,200,49,31,2038,23315,5,46,126,61,17,8,0,44,308,11,23,41,26,15,4,0,42,166,344,3581,21779,18049,9824,3068,903,4255,61802
CED145,32,86,573,2819,4210,2116,554,354,10747,8,112,1015,1583,651,119,18,111,3609,27,225,1636,3679,2170,399,48,265,8440,33,333,2649,5263,2816,509,69,379,12053,119,1299,3266,1330,195,53,26,412,6696,523,2912,8721,2404,206,26,15,831,15633,926,2908,5017,1716,104,8,4,648,11330,342,1599,2225,977,42,3,3,423,5614,3,9,40,32,24,8,0,12,129,1908,8728,19277,6450,561,94,59,2321,39401,30,226,285,184,16,5,3,90,845,25,47,31,21,5,0,0,30,157,2025,9419,22815,14745,7615,2732,682,3174,63204
CED146,62,363,1647,15441,22873,5322,1034,2666,49417,12,82,767,1017,124,9,7,173,2197,15,285,1100,2544,836,56,7,350,5196,25,367,1866,3562,965,68,16,526,7395,75,187,202,112,3,0,4,134,719,35,78,279,98,0,0,0,113,605,4,24,187,53,25,0,0,36,329,0,86,128,11,3,0,0,10,238,3,61,215,108,81,29,8,41,547,117,435,1017,383,117,28,17,335,2447,0,3,4,4,4,0,0,3,24,5,16,33,33,62,17,4,17,187,207,1192,4562,19425,24020,5435,1067,3544,59461
CED147,71,543,3196,23019,20168,4171,910,2103,54189,21,297,1829,1454,129,10,8,219,3959,0,174,833,1736,295,22,4,183,3249,27,469,2665,3190,422,32,6,401,7211,26,489,1032,272,37,5,9,178,2044,0,17,86,55,4,0,0,14,177,0,25,68,9,0,0,0,7,103,0,0,0,0,0,0,0,0,0,5,32,62,45,39,16,5,12,218,27,562,1258,386,81,19,11,208,2553,18,153,286,40,9,5,0,111,628,3,15,25,26,9,3,3,13,99,146,1746,7432,26661,20688,4229,932,2839,64676
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,36,253,2971,22256,17558,3884,617,1421,48988,6,372,2690,1477,357,41,10,255,5209,0,40,957,1535,338,46,11,117,3039,12,409,3652,3011,691,85,26,372,8254,12,151,321,170,0,0,6,54,711,0,89,263,23,0,0,0,32,409,0,60,172,12,0,0,0,23,274,0,79,85,3,0,0,0,14,182,0,16,21,6,8,6,0,9,66,15,396,866,218,6,6,4,130,1643,0,5,24,12,10,0,0,3,58,0,11,6,9,4,0,0,3,40,58,1077,7511,25512,18273,3973,644,1932,58979
CED202,99,691,6094,25998,16409,2156,378,2510,54345,6,824,2334,1429,273,24,6,408,5311,8,48,212,239,71,5,4,53,635,15,871,2545,1669,347,30,15,463,5950,5,325,566,202,12,0,8,121,1234,0,18,48,18,8,0,0,4,87,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,5,7,3,0,0,0,4,24,12,345,616,226,17,3,8,130,1356,21,88,77,50,22,0,4,85,337,3,20,12,23,27,5,12,12,114,148,2020,9350,27966,16817,2202,411,3196,62106
CED203,92,850,7267,27131,16289,2167,429,2898,57125,15,574,2019,607,51,9,0,351,3636,0,42,179,224,42,0,0,26,518,19,610,2200,836,92,7,5,380,4149,11,94,222,73,5,0,0,71,478,0,3,3,9,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,0,0,0,7,22,11,106,235,82,11,3,0,79,524,44,94,67,73,24,6,4,97,413,12,27,31,28,24,3,0,11,130,175,1691,9799,28147,16441,2188,437,3455,62336
CED204,54,252,2430,23651,17158,3438,650,2495,50127,9,397,2839,1517,411,51,7,491,5721,4,35,614,1199,429,109,18,171,2579,11,432,3458,2715,840,160,30,663,8305,10,189,1475,218,19,3,0,234,2149,0,38,215,21,0,0,0,40,314,0,21,74,13,0,0,0,9,116,0,0,0,0,0,0,0,0,0,0,8,10,3,6,0,0,8,36,9,249,1774,258,21,10,5,292,2612,0,52,51,16,0,0,0,38,158,3,13,15,18,10,0,0,47,107,86,994,7724,26656,18031,3607,685,3533,61305
CED205,47,262,1699,21747,20927,3118,450,2903,51152,3,127,717,1268,275,15,3,280,2692,4,38,1040,1252,189,16,4,242,2784,7,166,1755,2520,465,32,8,521,5477,0,80,432,480,31,11,3,143,1179,0,0,0,0,0,0,0,0,4,18,21,72,18,0,0,0,30,158,0,0,0,0,0,0,0,0,0,0,12,3,5,0,0,0,12,41,20,114,508,503,29,12,5,190,1383,9,98,12,4,5,0,0,50,172,0,8,8,24,15,8,0,13,68,86,646,3985,24800,21445,3168,460,3674,58258
CED206,94,745,4842,25501,16669,3808,932,2019,54610,10,390,1175,438,34,3,3,123,2172,0,58,390,357,30,3,0,34,878,16,447,1566,791,62,7,3,155,3049,0,76,117,41,6,0,5,15,260,0,0,13,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,8,3,4,0,8,57,0,99,145,46,10,10,5,24,335,25,104,67,17,14,0,0,52,272,0,6,17,28,8,6,3,0,80,133,1403,6632,26393,16765,3826,941,2253,58351
CED207,39,203,2650,18320,17101,4892,835,1297,45337,16,289,2611,1796,538,85,22,256,5612,18,58,713,2194,1475,159,33,172,4820,31,346,3326,3989,2017,243,56,422,10434,106,677,2138,2584,542,46,8,268,6371,40,467,1009,124,5,0,0,99,1734,25,774,1366,123,13,0,0,214,2519,3,315,914,49,4,0,4,231,1512,0,17,7,4,10,4,0,5,53,171,2242,5440,2886,564,53,11,817,12193,0,0,12,9,5,0,0,5,33,0,11,12,11,7,0,0,9,58,241,2799,11441,25219,19695,5193,903,2555,68053
CED208,40,407,6324,18814,7785,1445,306,1255,36381,17,1072,5160,2129,251,34,10,549,9218,10,731,3789,3085,458,36,6,332,8452,30,1804,8948,5213,707,71,16,881,17667,52,1996,2305,319,38,8,6,313,5028,62,556,800,110,13,0,0,110,1645,36,959,1904,135,4,0,3,133,3181,7,227,188,10,0,0,0,20,464,4,12,6,10,6,4,0,8,48,164,3752,5202,591,55,12,7,578,10359,12,78,163,82,17,8,3,118,477,4,10,13,3,3,0,0,18,53,247,6055,20649,24702,8568,1535,333,2847,64941
CED209,49,277,3829,23073,21233,2649,485,1971,53574,18,225,1567,743,210,9,0,193,2968,5,40,192,499,123,7,4,56,932,20,260,1758,1251,334,23,3,252,3906,0,10,92,100,3,0,0,14,219,0,13,18,11,0,0,0,5,46,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,17,0,30,120,108,6,0,0,21,289,24,101,82,39,10,3,0,85,342,3,4,12,19,21,0,10,7,69,105,670,5804,24488,21598,2675,503,2337,58180
CED210,58,554,6454,28040,13300,2062,372,2335,53164,28,1524,3444,1187,132,17,11,552,6893,4,132,591,680,135,12,0,98,1656,31,1653,4031,1868,267,28,9,646,8541,23,526,927,255,17,0,4,131,1884,5,56,102,4,0,0,0,19,183,4,83,194,30,0,0,0,30,348,0,20,67,48,6,0,4,6,151,0,4,8,4,0,0,0,5,16,27,684,1303,347,27,0,3,185,2587,29,119,166,62,38,3,0,83,494,14,22,25,29,10,3,0,12,114,171,3036,11981,30349,13631,2097,388,3262,64909
CED211,46,372,6942,23321,16673,3306,504,1395,52559,22,663,2966,1769,207,34,11,378,6048,5,39,584,1385,341,28,4,90,2468,23,705,3541,3155,547,65,12,466,8511,0,34,287,144,14,0,0,30,519,0,84,532,69,4,0,0,39,731,0,297,589,90,0,0,0,45,1020,0,12,55,5,0,0,0,5,73,0,8,14,10,11,5,3,10,54,3,436,1477,313,26,3,3,134,2404,0,3,18,9,0,0,0,22,46,0,10,15,13,3,0,0,3,56,77,1525,11997,26812,17249,3378,523,2015,63578
CED212,94,345,3078,24892,15756,3007,555,2171,49899,16,664,3971,2095,199,13,4,443,7419,17,71,778,1194,170,22,3,126,2376,27,734,4749,3289,370,37,9,567,9789,49,299,679,114,14,0,6,169,1329,0,13,146,28,0,0,0,15,199,0,9,95,4,0,0,0,10,121,10,14,5,0,0,0,0,6,33,0,24,19,4,12,5,0,6,61,64,366,941,142,19,0,5,203,1744,29,166,84,21,15,0,0,143,450,6,14,12,14,8,0,0,3,64,227,1620,8867,28360,16169,3046,563,3091,61942
CED213,69,433,5520,25036,15473,3139,673,2682,53011,12,314,2807,1743,125,7,4,359,5379,0,17,319,1096,283,25,3,87,1829,15,333,3129,2839,410,29,7,443,7204,8,120,814,439,23,0,0,91,1489,0,25,78,30,0,0,0,15,146,0,0,34,8,0,0,0,5,43,0,0,0,0,0,0,0,0,0,0,12,19,0,4,0,3,3,42,8,159,937,485,31,3,3,106,1719,19,139,244,40,8,5,0,136,589,3,12,15,15,3,0,0,13,59,102,1079,9835,28407,15925,3173,687,3383,62589
CED214,64,439,5225,22604,8928,1715,321,2298,41594,24,630,2271,1646,174,21,0,483,5249,11,172,2322,4021,1103,139,19,444,8229,30,796,4591,5666,1280,159,22,925,13470,27,1238,2832,656,37,3,6,615,5412,17,502,1119,196,13,0,0,149,1990,51,737,1517,164,3,0,0,262,2743,28,626,749,98,8,0,0,118,1628,0,17,26,17,3,0,0,21,88,120,3119,6240,1135,71,6,13,1157,11865,14,86,109,61,21,0,0,91,389,0,25,27,25,6,0,0,18,107,237,4464,16192,29493,10313,1885,358,4490,67422
CED215,45,200,3892,21251,20921,2723,285,2385,51705,16,379,1951,1886,702,45,4,284,5268,6,81,1424,3365,1124,130,13,300,6454,17,458,3380,5255,1823,180,16,589,11726,13,348,1188,411,35,12,8,146,2151,7,111,146,20,0,0,0,31,312,0,111,378,26,0,0,0,25,539,4,94,113,27,0,0,3,31,275,0,5,0,0,4,0,0,7,23,22,674,1825,481,37,7,12,243,3302,6,44,39,24,6,3,3,43,162,9,9,14,16,10,0,0,4,66,96,1385,9156,27029,22796,2914,315,3268,66959
CED216,159,800,6318,29164,15553,2278,441,3741,58462,20,400,1532,496,44,0,7,264,2762,3,63,121,131,18,4,5,37,385,22,459,1651,626,63,8,15,300,3147,26,539,1398,219,18,0,0,274,2482,0,0,29,3,0,0,0,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,3,0,0,9,18,26,549,1435,221,20,0,0,284,2537,79,274,205,57,21,3,4,188,835,13,25,36,39,24,5,6,25,175,298,2113,9647,30112,15685,2293,469,4537,65153
CED217,24,163,3316,13734,12809,3469,452,935,34904,16,391,4250,2697,307,30,6,276,7988,5,79,1159,3420,1491,111,15,197,6489,23,473,5412,6122,1804,142,22,480,14467,37,1244,2833,673,60,13,10,302,5172,16,328,1589,400,25,0,0,127,2481,23,674,1495,210,9,4,0,124,2535,0,69,212,25,0,0,0,10,324,0,9,3,6,13,0,0,3,36,72,2321,6136,1324,96,13,14,572,10545,7,52,200,62,11,0,0,35,369,0,12,20,26,12,0,0,9,73,126,3018,15087,21260,14731,3632,491,2028,60361
CED218,43,118,1146,21427,21112,3145,399,2294,49680,10,92,1087,1927,518,38,3,239,3918,0,9,283,1596,355,67,13,151,2475,10,96,1370,3527,875,104,17,386,6389,5,141,75,152,6,0,0,46,423,0,7,122,6,0,0,0,8,139,0,7,122,7,0,0,0,36,174,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,6,23,5,163,324,166,12,0,0,92,758,20,87,9,9,4,0,0,31,145,0,6,6,12,16,3,0,4,43,76,466,2849,25144,22013,3254,418,2808,57028
CED219,52,177,1728,22118,23099,2975,555,2896,53590,9,276,1403,1049,165,7,6,304,3220,0,12,107,422,40,6,0,57,634,9,289,1512,1476,201,7,5,362,3855,8,112,610,378,14,0,0,82,1214,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,18,5,5,3,0,3,42,13,134,633,382,25,4,0,90,1280,10,33,20,12,3,0,0,21,105,0,6,5,6,20,5,0,14,44,74,629,3890,23991,23345,2991,563,3384,58876
CED220,15,164,2541,8856,8148,2409,385,618,23130,16,425,4399,2768,366,56,12,296,8338,0,163,1453,3131,904,92,17,207,5968,17,592,5848,5901,1272,142,27,502,14309,91,2807,4508,1106,109,9,13,499,9144,107,3112,5059,810,32,19,9,439,9585,159,2749,3713,797,16,0,0,457,7898,121,1820,2698,400,12,0,4,463,5522,3,3,4,0,3,0,0,6,25,485,10488,15983,3116,176,36,27,1861,32163,10,117,185,65,3,4,6,39,438,3,21,20,22,7,0,0,9,90,533,11384,24581,17955,9606,2594,439,3031,70131
CED221,56,197,1933,21332,23875,2990,429,2633,53446,7,48,1383,1469,666,49,8,270,3899,0,21,220,667,184,28,0,97,1218,10,67,1604,2137,853,77,10,364,5117,0,23,461,84,17,4,0,44,634,0,16,5,0,0,0,0,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,0,0,0,0,30,0,52,477,84,18,4,0,56,694,0,0,5,0,0,0,0,0,12,4,3,8,17,9,0,0,5,59,73,325,4026,23572,24763,3071,443,3063,59323
CED222,78,263,4470,26116,12151,2628,579,1861,48140,10,652,3459,2377,285,24,8,426,7231,5,55,1209,2897,1439,130,32,272,6038,18,704,4661,5274,1727,152,43,694,13270,28,806,2858,1363,270,22,3,362,5704,20,201,624,54,0,0,0,42,948,18,408,890,37,14,0,0,59,1431,0,68,293,24,0,0,0,44,430,0,12,11,15,6,4,0,15,64,74,1490,4672,1491,296,24,5,525,8577,14,100,35,9,0,0,0,45,210,3,18,23,22,3,0,4,12,83,189,2575,13865,32906,14173,2808,629,3125,70270
CED223,177,939,6541,28144,17163,2263,519,3697,59447,16,620,2481,505,36,6,0,577,4238,6,28,83,69,19,4,0,41,242,20,651,2568,575,54,11,3,614,4481,11,103,307,59,14,4,6,63,564,3,10,22,26,17,5,0,14,95,0,17,24,20,0,0,0,14,76,5,14,6,0,0,0,0,5,32,0,12,3,4,3,0,0,6,26,22,155,353,116,41,13,3,91,791,73,212,116,76,29,7,3,212,738,12,24,43,49,16,9,5,42,201,297,1981,9620,28959,17301,2306,536,4665,65662
CED224,52,204,2666,15875,13608,2792,401,1015,36625,10,602,5057,2821,306,18,9,345,9170,6,88,1566,3638,933,81,16,233,6556,23,691,6623,6461,1239,98,21,572,15723,36,947,3733,1454,126,14,11,392,6720,0,121,630,61,13,0,0,56,879,7,405,842,74,0,0,0,45,1380,0,76,261,6,0,0,0,18,364,0,0,0,3,5,0,0,4,15,49,1547,5478,1592,139,15,16,517,9355,25,146,165,40,3,0,0,67,449,4,15,5,9,10,0,0,11,58,147,2613,14938,23983,14998,2905,441,2187,62211
CED225,40,282,4151,22522,15284,3215,523,1161,47188,18,510,2526,1222,110,12,4,201,4599,8,88,1224,2037,374,28,3,151,3919,24,598,3753,3258,486,44,10,351,8516,11,354,1382,586,57,0,3,111,2510,0,90,361,60,5,0,0,42,560,8,294,595,68,4,0,0,69,1033,0,183,105,15,0,0,0,22,326,0,15,14,0,3,6,0,8,42,23,939,2454,727,63,8,7,255,4471,0,0,21,17,0,0,0,25,68,0,15,22,8,9,0,0,3,61,85,1836,10400,26539,15843,3259,537,1795,60296
