CED_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Oth_lt_health_cond_0_14,F_Oth_lt_health_cond_15_24,F_Oth_lt_health_cond_25_34,F_Oth_lt_health_cond_35_44,F_Oth_lt_health_cond_45_54,F_Oth_lt_health_cond_55_64,F_Oth_lt_health_cond_65_74,F_Oth_lt_health_cond_75_84,F_Oth_lt_health_cond_85_over,F_Oth_lt_health_cond_Tot,F_No_lt_health_cond_0_14,F_No_lt_health_cond_15_24,F_No_lt_health_cond_25_34,F_No_lt_health_cond_35_44,F_No_lt_health_cond_45_54,F_No_lt_health_cond_55_64,F_No_lt_health_cond_65_74,F_No_lt_health_cond_75_84,F_No_lt_health_cond_85_over,F_No_lt_health_cond_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Oth_lt_health_cond_0_14,P_Oth_lt_health_cond_15_24,P_Oth_lt_health_cond_25_34,P_Oth_lt_health_cond_35_44,P_Oth_lt_health_cond_45_54,P_Oth_lt_health_cond_55_64,P_Oth_lt_health_cond_65_74,P_Oth_lt_health_cond_75_84,P_Oth_lt_health_cond_85_over,P_Oth_lt_health_cond_Tot,P_No_lt_health_cond_0_14,P_No_lt_health_cond_15_24,P_No_lt_health_cond_25_34,P_No_lt_health_cond_35_44,P_No_lt_health_cond_45_54,P_No_lt_health_cond_55_64,P_No_lt_health_cond_65_74,P_No_lt_health_cond_75_84,P_No_lt_health_cond_85_over,P_No_lt_health_cond_Tot
CED111,16,18,29,48,81,172,218,270,180,1027,15,10,20,39,150,359,429,435,218,1674,276,1970,1837,1421,1488,1273,785,536,410,9984,4,6,17,24,60,95,188,239,187,822,458,727,877,966,1194,1380,1177,771,565,8111,10869,6835,6793,6342,5877,4729,2827,1179,362,45806,932,849,712,679,668,628,479,383,323,5644,13293,10838,10692,10203,10391,10021,8094,5363,2862,81755,27,128,278,651,1548,3241,4118,3648,1930,15573,1955,2032,1864,1819,1716,1548,1241,791,309,13284,20,60,98,235,515,1047,1456,1168,470,5059,0,4,0,9,18,50,182,555,749,1571,38,108,213,345,736,1506,2035,1703,670,7354,38,57,70,136,389,1081,1684,1781,1146,6384,32,37,49,86,153,329,433,483,315,1915,22,31,44,85,257,637,823,854,394,3141,530,2910,2855,2340,2455,2176,1279,798,566,15900,10,15,24,36,111,239,427,522,320,1709,1147,1206,1426,1631,2006,2456,2067,1323,830,14082,21982,14874,14776,13016,12092,9561,5490,2279,643,94714
CED112,21,14,40,57,94,129,213,289,188,1050,15,15,14,57,205,502,764,573,264,2412,509,1816,1953,1833,1835,1602,1008,551,361,11473,9,3,17,24,78,144,238,280,203,986,627,605,870,1025,1233,1448,1294,810,614,8528,11628,5703,5780,5804,5471,4397,2767,1254,394,43197,1396,807,764,761,743,698,609,536,451,6769,15043,9373,9890,10174,10596,10419,9317,5984,3043,83836,39,102,371,847,1998,3792,5407,4056,1815,18425,2641,1935,2140,2138,2048,2042,1851,1012,394,16212,47,45,85,230,539,1125,1765,1408,504,5733,3,0,0,11,17,76,205,605,727,1654,50,125,210,473,1081,1872,2672,1851,568,8909,48,52,77,164,490,1288,2350,2209,1157,7849,38,24,59,91,172,276,534,570,309,2072,43,31,29,113,348,872,1349,1101,428,4313,1123,2859,3033,2993,2999,2665,1743,909,487,18804,14,8,30,43,161,310,576,599,333,2082,1664,1174,1361,1646,2052,2540,2329,1382,901,15045,23272,12287,11902,11797,11071,8591,5233,2299,652,87111
CED113,10,13,40,55,101,158,225,236,148,973,23,11,21,67,175,402,588,388,158,1837,335,1390,1683,1654,1727,1438,841,338,221,9621,0,7,14,26,62,103,172,188,127,709,489,489,767,1020,1324,1460,1191,575,412,7730,11274,5312,6167,5923,6096,5288,3417,1247,295,45012,1310,803,859,820,919,1006,730,421,242,7118,14212,8420,10057,10266,11578,11965,9680,4978,2047,83209,29,124,431,921,2231,4487,5328,3394,1365,18311,2130,1606,1920,1988,2091,2136,1806,870,300,14848,18,33,108,234,564,1314,1789,1116,393,5572,0,0,0,7,19,52,148,392,471,1089,67,119,220,409,961,1833,2234,1308,393,7542,31,68,60,191,534,1297,2271,1880,832,7170,42,24,57,98,197,327,491,467,257,1964,41,23,52,122,322,756,1196,813,299,3627,753,2162,2559,2629,2874,2514,1552,638,339,16012,11,9,25,42,116,260,484,436,237,1624,1158,926,1269,1619,2250,2735,2279,1072,621,13934,22977,11683,12971,12273,12688,11028,6988,2527,551,93686
CED114,23,19,19,49,85,123,233,263,170,977,11,11,27,60,192,404,595,502,211,2014,353,1571,1716,1566,1592,1520,899,468,282,9976,3,10,14,39,74,135,221,206,189,893,479,497,683,792,990,1253,1027,624,509,6841,12029,5762,6287,5760,5646,5241,3416,1526,408,46066,1755,999,983,1036,1013,1093,852,620,269,8618,15635,9435,10312,10033,10680,11757,9949,6298,2819,86922,40,102,311,758,1826,3917,5422,4036,1812,18223,2807,2117,2249,2104,2141,2311,2063,1197,424,17417,34,42,84,208,508,1165,1807,1410,499,5753,4,0,8,11,23,66,207,540,639,1493,52,130,263,463,1028,1989,2679,1793,539,8944,58,42,107,169,530,1387,2460,2233,1145,8134,33,40,44,92,142,271,487,536,264,1916,29,33,56,126,339,765,1272,982,386,3982,751,2365,2678,2536,2686,2557,1689,832,402,16492,5,13,20,64,136,306,561,518,318,1940,1264,935,1130,1308,1748,2302,1924,1126,752,12485,24057,12417,13160,11810,11491,10626,6855,2910,749,94073
CED115,18,15,24,45,76,123,144,163,140,745,5,4,17,24,80,161,213,189,107,802,105,671,663,622,883,1034,598,339,282,5194,0,0,4,31,52,115,170,177,136,691,318,413,535,684,1184,1694,1322,807,618,7572,12294,9020,9314,8292,7089,5346,3070,899,293,55616,1550,1009,1252,1143,1014,975,672,432,313,8355,14888,11742,12353,11486,11441,11207,8333,4160,2161,87772,22,59,182,447,1303,2677,3215,2217,1115,11233,1627,1648,1303,1053,1016,1071,922,516,228,9389,32,29,82,150,346,710,902,623,272,3154,0,0,10,9,36,103,231,507,686,1579,39,87,233,576,1401,2878,3314,1851,753,11131,37,62,84,152,481,1183,1712,1303,768,5778,31,38,42,95,184,288,354,331,238,1607,16,12,34,64,169,354,503,401,213,1766,234,1045,1173,1096,1502,1741,1009,541,421,8760,4,8,15,57,116,301,444,423,269,1640,846,779,986,1200,2139,3133,2464,1412,949,13907,25100,18310,18884,15997,14064,11041,5997,1862,492,111751
CED116,9,9,24,34,92,186,380,415,237,1383,20,17,24,45,160,502,811,671,240,2487,330,1331,1474,1527,1687,1854,1328,604,342,10473,3,3,3,31,76,177,286,313,197,1091,389,456,681,868,1122,1705,1697,899,546,8365,9939,4518,4714,4757,5136,5790,4417,1681,494,41438,1263,761,667,774,827,920,846,555,308,6924,12658,7348,7912,8556,9860,13133,13313,7552,3231,83562,35,83,305,744,1853,4869,7662,5585,2224,23362,1894,1348,1512,1685,1717,2246,2473,1305,422,14606,18,27,93,189,522,1361,2569,1880,655,7317,0,0,7,6,18,58,285,698,804,1881,54,92,174,374,760,1940,3339,2319,678,9728,38,30,86,123,436,1434,3142,2890,1397,9578,29,26,49,74,180,401,829,805,391,2772,45,29,45,89,314,988,1615,1363,456,4938,724,2151,2347,2462,2794,3180,2408,1078,508,17660,12,9,15,45,142,372,666,739,351,2358,1026,861,1082,1425,1894,3053,3155,1710,866,15063,20018,9986,9843,9787,10385,11217,8714,3433,874,84260
CED117,10,12,30,30,45,61,106,100,52,447,6,13,19,22,68,140,248,186,80,786,199,1544,2869,1682,1273,850,551,298,148,9421,0,9,10,20,38,52,81,116,91,414,300,490,1331,1046,1077,1001,952,587,340,7119,9238,4644,9179,8474,6799,4293,2338,858,223,46046,588,537,953,775,634,496,381,223,184,4775,10787,7475,14819,12852,10956,8084,6107,3324,1586,76002,15,60,308,544,1088,1766,2465,1744,862,8859,1172,1329,2650,2374,1690,1200,848,432,169,11862,23,32,143,258,486,752,1034,641,235,3608,0,0,0,4,8,33,141,359,440,990,21,50,170,308,570,891,1257,1041,370,4682,16,28,75,99,315,713,1229,992,534,4006,22,17,50,65,92,152,225,210,118,944,13,19,46,48,138,283,491,371,159,1564,389,2294,4413,2835,2253,1531,980,469,216,15375,0,5,18,32,94,147,218,276,158,948,735,824,2040,1765,1890,1841,1702,999,514,12309,18644,9994,18947,17173,13667,8521,4293,1650,420,93303
CED118,19,10,27,55,84,109,124,128,83,633,11,14,14,50,110,222,285,233,89,1025,291,1261,1345,1300,1123,891,490,242,108,7054,0,6,5,33,58,80,120,151,87,533,616,581,852,1256,1231,1269,942,556,266,7571,18766,8514,11128,13644,7304,4334,2444,733,169,67031,1378,772,1015,1067,769,575,389,214,133,6319,21973,11693,15058,18614,12164,9261,6888,3223,1257,100136,25,80,301,720,1497,2509,3024,1979,772,10912,2523,1997,1874,2185,1695,1302,1039,498,158,13263,33,43,79,245,467,743,979,608,203,3403,0,0,0,6,15,43,126,296,248,737,60,146,289,1193,1817,2649,2858,1399,358,10771,67,71,92,260,539,1167,1711,1218,476,5605,35,34,55,105,154,238,296,285,136,1332,26,25,28,95,196,421,587,466,165,2005,607,1924,2113,2050,1893,1456,838,390,149,11426,8,6,15,55,105,216,324,297,132,1159,1548,1126,1359,2127,2135,2216,1718,930,406,13560,37890,18224,22098,27887,15475,8699,4564,1457,301,136605
CED119,5,9,24,39,46,85,134,137,102,588,17,10,22,40,69,149,296,277,106,984,265,1118,1143,1178,1063,816,510,328,263,6682,0,4,9,13,39,57,133,160,117,538,510,549,668,956,1051,1177,981,577,461,6920,12477,6115,5862,7227,6675,4737,2578,994,259,46926,763,463,421,535,535,429,341,277,232,3994,14709,8656,8573,10856,10809,9091,6988,4146,1928,75768,29,74,225,625,1386,2528,3522,2591,1186,12163,1939,1566,1485,1843,1672,1351,1109,644,232,11830,30,49,82,235,520,898,1291,989,399,4498,0,5,0,11,8,24,146,395,612,1202,48,107,162,385,819,1423,1773,1214,392,6316,47,38,59,123,374,964,1722,1553,849,5722,27,26,39,77,96,187,320,321,195,1287,36,22,29,69,140,290,571,511,210,1882,586,1789,1783,1889,1709,1349,876,522,350,10848,0,9,18,32,94,151,321,363,206,1198,1323,1058,1054,1523,1760,2049,1819,987,660,12236,24819,13316,11978,14520,13355,9308,4928,1926,455,94614
CED120,17,18,30,57,78,118,196,234,118,860,12,10,27,59,158,368,571,382,126,1715,374,1471,1737,1612,1488,1345,801,355,199,9382,0,7,10,21,83,125,182,175,117,717,631,574,885,1082,1228,1366,1153,645,367,7936,13956,6631,7014,6694,6239,4606,2701,968,239,49048,1381,754,723,862,801,701,559,375,262,6418,17370,9965,11027,11242,11369,10572,8642,4575,1917,86679,30,123,411,952,2135,4052,5170,3359,1209,17439,2819,1858,2121,2197,2022,1783,1633,741,231,15401,34,45,104,274,578,1137,1647,1095,331,5251,0,3,3,0,16,48,200,462,480,1220,68,132,246,491,1126,1964,2526,1465,372,8382,78,76,95,178,566,1342,2247,1815,763,7153,45,48,58,98,159,245,445,456,218,1768,40,27,51,104,279,667,1070,794,231,3270,873,2262,2622,2561,2465,2194,1384,601,269,15239,8,18,19,50,147,273,428,419,182,1546,1619,1121,1367,1722,2108,2330,2122,1124,545,14066,28081,14241,14509,13686,12738,9354,5403,1994,430,100439
CED121,15,16,38,49,98,150,277,329,213,1194,25,14,25,46,185,481,693,534,198,2204,545,1972,2412,2044,1982,1664,1075,575,430,12706,10,5,10,41,89,171,243,279,201,1041,585,612,970,1092,1237,1515,1265,833,628,8744,12383,5795,6282,5796,5389,4291,2830,1163,297,44235,1460,802,752,739,752,661,518,430,272,6385,16098,9669,11058,10492,10810,10776,9574,5751,2703,86939,37,128,451,999,2231,4451,6026,4276,1848,20444,3246,2163,2549,2406,2237,2138,2038,1052,347,18171,27,31,123,249,561,1099,1803,1383,518,5793,4,0,4,5,27,63,282,675,815,1879,47,134,335,516,1300,2282,2875,1947,608,10041,85,71,112,199,625,1577,2570,2420,1247,8906,40,35,68,101,198,324,559,589,353,2265,53,37,54,115,360,904,1414,1112,372,4426,1174,3162,3684,3351,3290,2825,1897,988,604,20979,14,11,25,71,176,365,567,593,357,2183,1662,1206,1522,1775,2066,2675,2317,1497,949,15667,24625,12851,13397,12081,11182,8835,5578,2206,526,91267
CED122,6,14,30,33,55,77,120,155,118,614,12,13,20,36,70,168,238,250,111,917,149,1233,1612,1098,1045,796,510,389,225,7051,3,4,6,24,28,68,118,159,112,521,339,576,855,860,988,1084,952,720,489,6847,11447,8074,13864,10043,7544,5023,2950,1341,398,60695,909,861,1383,981,765,616,535,335,206,6584,13342,11162,18573,13896,11517,9228,7268,4855,2272,92107,23,87,271,498,1043,2019,2712,2537,1180,10363,1292,1567,2184,1802,1477,1135,859,605,200,11108,41,45,120,245,480,813,1122,947,381,4196,0,0,0,0,17,34,143,464,643,1307,26,75,211,330,710,1273,1779,1423,529,6363,34,32,64,123,339,852,1350,1464,802,5060,12,32,53,59,103,194,321,354,230,1354,31,22,36,58,126,311,458,480,192,1715,324,1806,2478,1832,1765,1373,874,559,301,11318,9,3,16,37,78,171,287,360,231,1196,875,995,1388,1427,1711,1908,1756,1197,714,11980,23051,17016,27850,20159,14847,9969,5455,2493,735,121569
CED123,18,18,61,90,113,147,174,143,84,853,21,20,40,75,192,385,521,326,117,1693,416,1926,2380,1864,1698,1239,717,338,167,10745,9,9,15,50,89,127,161,150,95,698,692,738,1159,1245,1306,1375,1109,530,269,8429,15491,7574,9139,8477,6091,4184,2320,822,212,54305,1785,1069,1409,1252,965,701,583,448,370,8575,19450,11978,15054,14073,11681,9834,7741,3915,1597,95322,41,146,503,1056,2124,3342,4163,2518,844,14732,3058,2379,2976,2636,2096,1732,1368,639,185,17061,32,54,124,293,526,937,1263,795,231,4251,3,0,0,8,22,50,176,347,253,856,77,170,385,861,1658,2404,2772,1483,339,10148,73,75,127,262,660,1304,2087,1505,570,6666,47,47,100,155,218,304,424,312,123,1727,55,34,76,138,327,681,934,645,204,3092,929,2968,3609,3009,2786,2073,1250,560,217,17402,18,19,34,81,158,306,392,367,149,1526,1810,1326,1849,2088,2289,2373,1948,965,387,15037,31126,16257,18571,17541,12567,8397,4487,1556,365,110866
CED124,4,15,29,34,75,168,314,361,243,1243,9,15,15,62,182,499,840,635,225,2471,357,1307,1374,1427,1681,1860,1273,612,402,10289,0,3,11,24,79,183,254,319,215,1096,428,421,572,723,1041,1634,1552,921,545,7840,9335,4358,3774,4313,5138,5741,4656,1917,474,39713,1268,673,584,687,735,865,883,609,355,6665,12241,7094,6697,7784,9801,12939,13248,7886,3289,80977,19,97,247,688,1889,4885,7692,5600,2210,23327,2309,1370,1477,1633,1855,2441,2591,1538,480,15693,21,27,65,159,483,1311,2503,1924,671,7173,0,7,3,4,13,76,268,819,828,2023,53,100,154,318,864,2009,3298,2319,710,9822,48,56,73,125,474,1517,3201,3018,1447,9953,13,28,46,67,136,334,663,784,408,2487,28,31,29,96,337,986,1759,1375,463,5110,796,2132,2147,2352,2849,3197,2371,1112,560,17517,11,6,29,55,145,380,713,789,409,2538,1086,789,915,1191,1786,2934,2969,1690,834,14187,18590,9466,7664,8579,10173,10973,9093,3826,891,79257
CED125,21,25,36,70,79,154,238,177,82,882,19,15,30,72,170,386,531,317,82,1636,400,1545,1959,1692,1494,1241,765,283,84,9463,0,5,14,50,91,159,212,169,65,767,742,676,1125,1306,1341,1554,1199,552,201,8695,19038,8531,11651,10436,6323,4496,2354,671,150,63646,1949,1039,1230,1139,846,707,492,270,139,7803,23306,12526,17066,15917,11715,10769,8105,3531,1106,104040,41,122,503,1103,2111,3983,4720,2661,766,16013,3248,2531,2814,2555,1968,1779,1466,647,133,17141,39,47,147,266,505,983,1347,790,210,4321,0,0,0,7,19,59,177,367,203,836,78,166,441,1165,1938,3142,3287,1496,316,12025,83,62,135,284,670,1517,2116,1404,460,6728,52,45,64,123,177,327,497,366,142,1786,42,31,57,137,289,672,979,626,145,2971,883,2432,2974,2716,2361,2029,1276,470,112,15261,11,11,19,87,170,326,507,370,129,1627,1949,1353,1829,2179,2267,2660,2126,964,315,15639,38090,17830,22703,21571,13298,8867,4618,1389,257,128616
CED126,8,8,15,22,44,52,77,134,125,482,5,3,0,16,58,120,278,356,202,1046,197,1127,877,884,1012,762,511,412,335,6118,6,12,4,9,29,61,118,219,212,656,380,463,446,672,943,1053,980,778,580,6297,11677,6070,5232,7324,7925,5757,3502,1699,501,49695,793,503,433,596,699,583,467,386,289,4751,13633,8517,7353,10222,11946,10030,8177,5957,3060,78890,27,62,113,377,1085,2123,3219,3269,1633,11907,1536,1254,1061,1448,1660,1308,1239,823,355,10672,25,34,67,171,538,992,1426,1361,594,5211,4,0,0,8,7,36,182,596,908,1737,33,77,79,206,452,928,1403,1278,459,4909,35,42,35,90,332,821,1568,2056,1157,6133,26,23,28,41,97,114,216,334,212,1092,27,19,16,39,106,232,534,676,348,1994,406,1753,1348,1453,1684,1310,896,683,445,9976,9,10,11,19,76,142,298,488,344,1391,921,852,691,1078,1588,1838,1746,1401,873,10990,23738,13400,10766,14246,15689,11380,6592,3169,818,99800
CED127,10,19,27,40,85,109,143,169,87,685,17,17,20,46,128,270,482,398,148,1528,320,1380,1499,1562,1615,1392,848,415,251,9275,0,7,6,19,58,99,155,194,130,670,492,500,747,1007,1235,1415,1285,686,379,7752,10399,5062,4784,5205,5719,4668,3062,1126,260,40277,896,545,515,597,673,610,450,340,246,4879,12814,7910,8012,9023,10486,10255,8741,4774,1873,73886,38,87,258,683,1533,3255,4358,3010,1143,14370,1884,1594,1610,1911,1885,1791,1577,735,225,13203,24,35,76,209,491,1082,1613,1069,373,4967,0,5,3,4,11,35,167,382,440,1044,62,93,167,362,824,1524,2065,1326,377,6790,53,47,63,130,405,1185,2118,1789,809,6599,32,40,39,68,148,231,355,348,146,1403,32,42,42,89,230,566,955,769,256,2982,734,2249,2357,2475,2676,2311,1442,642,332,15213,3,7,11,40,104,218,394,405,205,1397,1302,1036,1169,1576,2085,2511,2341,1216,547,13788,20868,11182,10250,10723,11585,9366,5874,2126,454,82426
CED128,12,15,29,62,82,137,166,163,87,751,16,7,17,27,75,218,304,244,98,1011,150,709,752,895,983,1068,577,324,193,5657,0,6,13,23,58,124,148,138,95,594,434,396,651,865,1196,1597,1213,668,365,7383,14409,8363,8998,8199,6484,4836,2556,948,262,55053,1717,927,1103,1049,905,778,529,319,229,7556,17507,10998,12180,11967,10991,10590,7663,4116,1812,87839,29,66,254,707,1584,3069,3611,2539,1050,12915,2026,1608,1399,1454,1252,1241,999,530,185,10684,30,44,93,166,397,795,1006,727,256,3510,3,3,0,6,41,80,181,393,408,1115,39,96,281,674,1590,2896,3149,1845,483,11058,57,41,78,210,575,1355,1862,1531,649,6360,37,24,58,120,175,304,370,341,158,1577,35,18,39,61,168,406,646,523,179,2074,380,1181,1302,1507,1679,1753,964,512,261,9537,6,6,20,41,132,291,374,342,163,1383,1150,827,1090,1555,2138,2827,2266,1174,542,13569,28796,17570,18662,16551,13097,9765,4967,1881,478,111773
CED129,11,13,20,38,62,74,127,134,87,571,12,8,9,28,54,120,257,274,109,876,222,1265,930,1046,1001,647,498,287,180,6075,0,0,7,12,36,59,109,154,89,466,563,622,720,1063,1196,1197,1224,716,371,7669,17400,8319,7709,12519,9050,5588,3357,1198,264,65398,803,533,493,669,607,495,353,249,185,4388,19758,11253,10345,16443,13443,10041,8301,4559,1716,95870,34,71,166,545,1173,2095,3245,2736,1033,11105,2111,1773,1362,1917,1665,1108,1023,651,217,11833,40,47,85,270,544,857,1271,1012,307,4430,0,0,6,3,12,33,133,365,394,941,58,118,151,623,1173,1840,2353,1526,378,8208,64,41,50,160,447,989,1861,1680,713,6007,41,33,30,92,120,162,297,340,179,1286,28,24,22,45,102,229,470,544,228,1679,490,1916,1495,1627,1688,1065,810,462,251,9802,10,6,16,22,69,157,302,341,169,1089,1368,1143,1139,1825,2014,2100,2121,1202,559,13466,35104,17628,15004,24386,18117,10963,6184,2288,490,130162
CED130,12,15,24,31,75,124,209,258,141,887,25,9,15,73,174,455,602,479,172,2014,335,1563,1614,1461,1513,1474,883,451,230,9525,3,8,7,24,70,141,184,237,154,826,468,545,692,845,1114,1356,1093,675,367,7154,10855,5552,5635,5004,4961,4550,3110,1459,384,41522,1769,1306,996,927,981,1005,824,630,381,8820,14345,9512,9544,8996,9779,10769,9405,6095,2598,81048,35,120,312,691,1751,3821,5208,3955,1619,17512,2565,2002,1947,1882,1974,2339,2002,1180,362,16250,23,42,118,201,466,1128,1761,1296,439,5474,3,0,0,9,17,51,202,498,532,1319,56,116,246,486,997,1846,2560,1744,479,8534,67,76,94,175,482,1394,2291,2177,1044,7792,38,45,50,72,153,275,454,501,243,1828,57,30,41,116,312,875,1221,926,313,3882,756,2363,2527,2383,2522,2538,1582,761,313,15743,14,8,15,48,139,310,468,556,290,1848,1246,986,1111,1353,1859,2434,2032,1194,556,12768,21911,11763,11547,10250,10009,8987,6178,2747,637,84026
CED131,9,14,30,51,68,120,206,249,202,946,9,8,23,50,125,337,481,400,177,1617,306,2503,2812,1930,1769,1512,942,465,304,12538,0,9,17,24,63,104,180,207,183,787,461,793,1160,1092,1145,1374,1130,655,542,8363,10618,6972,7662,6391,5703,4120,2331,977,304,45083,941,1075,883,732,728,632,501,419,450,6368,13133,11741,13023,10912,10483,9612,7620,4657,2779,83964,22,119,355,735,1561,3340,4210,3013,1660,15014,2257,2253,2733,2325,1831,1694,1479,821,315,15700,32,41,124,261,518,950,1375,1037,416,4756,0,0,4,4,18,75,232,538,698,1574,46,136,278,448,919,1577,2031,1405,532,7371,46,61,89,152,431,1176,1938,1801,1094,6796,24,33,62,86,138,250,394,470,310,1766,22,27,61,108,257,618,870,731,318,3001,700,3654,4406,3253,3054,2667,1599,765,428,20531,3,9,30,40,136,252,405,451,299,1626,1153,1356,1785,1818,2030,2398,1994,1168,794,14500,21328,14943,16616,13298,11459,8303,4602,1765,507,92825
CED132,7,7,19,47,36,70,79,86,94,444,6,0,13,22,47,100,254,269,149,861,173,1117,1487,1148,888,637,449,274,183,6355,0,8,8,11,32,49,98,129,122,452,334,418,910,937,922,992,1055,683,529,6782,11697,5579,10092,10895,8126,5573,3520,1419,396,57296,666,426,787,860,634,545,481,426,508,5334,13336,7890,13912,14771,11743,9332,7846,4668,2608,86108,22,52,217,406,820,1589,2604,2240,1231,9187,1294,1298,2035,1947,1562,1201,953,553,253,11092,22,27,99,279,503,859,1306,1013,432,4546,0,0,4,4,6,22,93,320,486,926,23,56,136,344,514,859,1215,962,387,4495,25,21,58,121,329,710,1462,1427,864,5026,23,14,52,76,85,153,200,210,171,987,18,17,41,43,108,203,440,462,225,1566,335,1672,2281,1904,1575,1114,799,431,250,10358,3,8,10,23,56,123,243,311,222,1011,820,770,1383,1610,1624,1783,1818,1179,762,11753,23588,11876,19623,21126,15625,10600,6397,2576,670,112082
CED133,7,20,31,45,99,155,264,293,229,1140,21,8,21,69,238,549,840,592,277,2613,383,1410,1656,1693,1921,1889,1194,539,352,11028,8,9,15,25,94,156,268,291,211,1076,441,463,709,921,1205,1621,1405,853,484,8098,10775,5054,5043,5265,5694,5709,4236,1512,422,43723,1595,928,953,1002,1024,1102,964,544,324,8438,14041,8259,8766,9502,11051,13008,12170,6584,2944,86328,36,102,304,764,1951,4631,6513,4427,1956,20684,2319,1583,1673,1970,2001,2469,2402,1185,418,16007,24,34,74,215,585,1348,2280,1545,570,6677,3,3,8,7,15,66,234,573,641,1552,48,101,155,380,939,1888,2772,1898,563,8749,59,53,83,160,501,1609,3098,2605,1340,9504,29,25,59,97,187,341,565,628,392,2326,48,24,48,135,413,1158,1749,1175,498,5253,858,2336,2594,2804,3270,3466,2285,960,488,19062,11,18,27,52,155,373,642,652,403,2325,1231,959,1169,1523,2078,3083,2753,1488,721,15004,21583,10929,10299,10406,11350,11203,8356,2992,761,87888
