CED_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_mo_con_0_14,M_1_mo_con_15_24,M_1_mo_con_25_34,M_1_mo_con_35_44,M_1_mo_con_45_54,M_1_mo_con_55_64,M_1_mo_con_65_74,M_1_mo_con_75_84,M_1_mo_con_85_over,M_1_mo_con_Tot,M_2_mo_con_0_14,M_2_mo_con_15_24,M_2_mo_con_25_34,M_2_mo_con_35_44,M_2_mo_con_45_54,M_2_mo_con_55_64,M_2_mo_con_65_74,M_2_mo_con_75_84,M_2_mo_con_85_over,M_2_mo_con_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_OM_Lterm_Health_Tot_0_14,M_OM_Lterm_Health_Tot_15_24,M_OM_Lterm_Health_Tot_25_34,M_OM_Lterm_Health_Tot_35_44,M_OM_Lterm_Health_Tot_45_54,M_OM_Lterm_Health_Tot_55_64,M_OM_Lterm_Health_Tot_65_74,M_OM_Lterm_Health_Tot_75_84,M_OM_Lterm_Health_Tot_85_ov,M_OM_Lterm_Health_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_mo_con_0_14,F_1_mo_con_15_24,F_1_mo_con_25_34,F_1_mo_con_35_44,F_1_mo_con_45_54,F_1_mo_con_55_64,F_1_mo_con_65_74,F_1_mo_con_75_84,F_1_mo_con_85_over,F_1_mo_con_Tot,F_2_mo_con_0_14,F_2_mo_con_15_24,F_2_mo_con_25_34,F_2_mo_con_35_44,F_2_mo_con_45_54,F_2_mo_con_55_64,F_2_mo_con_65_74,F_2_mo_con_75_84,F_2_mo_con_85_over,F_2_mo_con_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_OM_Lterm_Health_Tot_0_14,F_OM_Lterm_Health_Tot_15_24,F_OM_Lterm_Health_Tot_25_34,F_OM_Lterm_Health_Tot_35_44,F_OM_Lterm_Health_Tot_45_54,F_OM_Lterm_Health_Tot_55_64,F_OM_Lterm_Health_Tot_65_74,F_OM_Lterm_Health_Tot_75_84,F_OM_Lterm_Health_Tot_85_ov,F_OM_Lterm_Health_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_mo_con_0_14,P_1_mo_con_15_24,P_1_mo_con_25_34,P_1_mo_con_35_44,P_1_mo_con_45_54,P_1_mo_con_55_64,P_1_mo_con_65_74,P_1_mo_con_75_84,P_1_mo_con_85_over,P_1_mo_con_Tot,P_2_mo_con_0_14,P_2_mo_con_15_24,P_2_mo_con_25_34,P_2_mo_con_35_44,P_2_mo_con_45_54,P_2_mo_con_55_64,P_2_mo_con_65_74,P_2_mo_con_75_84,P_2_mo_con_85_over,P_2_mo_con_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_OM_Lterm_Health_Tot_0_14,P_OM_Lterm_Health_Tot_15_24,P_OM_Lterm_Health_Tot_25_34,P_OM_Lterm_Health_Tot_35_44,P_OM_Lterm_Health_Tot_45_54,P_OM_Lterm_Health_Tot_55_64,P_OM_Lterm_Health_Tot_65_74,P_OM_Lterm_Health_Tot_75_84,P_OM_Lterm_Health_Tot_85_ov,P_OM_Lterm_Health_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
CED111,11640,8339,8330,7099,6713,5378,3047,1266,342,52149,1353,1665,1605,1684,1914,2442,2255,1465,506,14889,68,189,240,279,450,779,1044,835,358,4237,4,16,31,49,135,406,572,659,353,2229,1419,1866,1873,2016,2502,3625,3879,2951,1223,21356,1004,906,781,679,734,620,431,293,129,5581,14061,11111,10981,9791,9950,9630,7351,4512,1691,79084,11238,7203,7236,6910,6478,5320,3257,1343,463,49447,1070,2339,2227,2055,2269,2515,2467,1744,827,17513,56,417,470,444,681,991,1190,1066,589,5900,0,30,51,122,292,557,712,834,657,3248,1124,2788,2747,2615,3245,4073,4363,3632,2071,26669,932,849,712,679,668,628,479,383,323,5644,13293,10838,10692,10203,10391,10021,8094,5363,2862,81755,22874,15544,15566,14008,13193,10700,6301,2607,809,101594,2423,4008,3838,3736,4182,4963,4725,3204,1332,32408,123,603,709,723,1133,1774,2243,1893,946,10135,4,47,78,177,430,966,1282,1486,1012,5479,2550,4659,4624,4628,5745,7702,8246,6588,3292,48022,1934,1756,1490,1359,1400,1249,904,675,454,11223
CED112,12342,6940,6390,6350,6012,4673,2829,1222,321,47075,1959,1714,1665,1874,2150,2509,2613,1489,530,16487,169,203,268,371,560,959,1336,986,333,5188,3,19,33,83,232,526,973,864,340,3068,2131,1931,1960,2324,2940,3992,4916,3339,1202,24741,1408,944,732,823,851,664,519,359,216,6521,15879,9817,9089,9499,9799,9331,8259,4923,1741,78339,12067,6030,6182,6299,5995,4945,3172,1415,490,46596,1438,2092,2268,2269,2523,2732,2942,1889,857,19022,130,411,579,655,910,1223,1535,1155,618,7211,5,32,96,195,426,818,1057,986,618,4233,1574,2538,2946,3114,3861,4779,5533,4034,2095,30467,1396,807,764,761,743,698,609,536,451,6769,15043,9373,9890,10174,10596,10419,9317,5984,3043,83836,24409,12965,12578,12654,12007,9610,6001,2637,808,93668,3397,3804,3938,4144,4671,5246,5553,3380,1389,35506,297,615,848,1023,1470,2187,2865,2145,950,12403,10,43,125,280,662,1342,2031,1854,958,7302,3707,4467,4910,5444,6797,8772,10441,7375,3300,55210,2809,1754,1491,1579,1591,1363,1133,898,672,13293
CED113,12167,6645,7111,6681,7103,6329,3989,1425,295,51761,1550,1419,1479,1761,2260,3155,2997,1514,396,16530,106,155,228,338,606,1132,1399,852,274,5091,4,7,42,71,216,472,866,678,277,2628,1662,1579,1751,2169,3080,4760,5264,3043,949,24243,1349,949,1096,1053,1141,1164,864,423,159,8200,15178,9184,9954,9906,11317,12252,10119,4896,1409,84208,11635,5574,6529,6442,6736,5898,3830,1404,370,48424,1191,1696,2061,2232,2656,3157,2943,1608,561,18107,69,322,514,624,883,1214,1332,917,452,6338,0,22,85,156,378,686,835,635,419,3219,1265,2043,2659,3004,3920,5067,5114,3159,1434,27663,1310,803,859,820,919,1006,730,421,242,7118,14212,8420,10057,10266,11578,11965,9680,4978,2047,83209,23806,12217,13647,13126,13841,12229,7821,2832,675,100182,2743,3118,3538,3991,4921,6312,5945,3119,952,34636,176,475,743,962,1487,2350,2732,1770,732,11426,5,34,127,223,597,1160,1702,1310,693,5846,2928,3627,4407,5172,6998,9822,10380,6205,2377,51909,2661,1757,1963,1872,2059,2171,1593,848,405,15318
CED114,12582,6942,7130,6339,6267,5874,3761,1522,405,50819,1896,1573,1658,1753,2142,2809,2968,1631,531,16952,124,182,278,313,566,1027,1457,1030,333,5301,5,16,38,86,210,540,994,838,348,3076,2027,1772,1973,2159,2917,4371,5418,3490,1210,25330,1877,1097,1188,1080,1220,1200,988,517,229,9401,16487,9812,10289,9574,10402,11443,10165,5531,1839,85549,12354,6012,6597,6113,6069,5747,3758,1699,518,48861,1420,1990,2110,2135,2403,2935,2906,1972,904,18793,97,406,537,571,775,1246,1466,1106,607,6812,5,30,89,179,419,735,961,894,518,3834,1527,2421,2738,2889,3604,4909,5339,3977,2031,29435,1755,999,983,1036,1013,1093,852,620,269,8618,15635,9435,10312,10033,10680,11757,9949,6298,2819,86922,24932,12955,13723,12454,12336,11626,7522,3224,915,99681,3316,3558,3768,3895,4550,5741,5872,3600,1433,35740,222,585,816,888,1333,2268,2927,2138,939,12115,15,48,128,267,635,1270,1963,1733,866,6907,3556,4191,4713,5039,6520,9281,10754,7468,3245,54768,3632,2097,2170,2118,2233,2295,1836,1133,502,18019
CED115,13236,9562,9880,8065,7567,6461,3425,1171,273,59634,1162,1175,1125,1141,1596,2474,2215,1113,374,12362,36,83,129,177,373,771,914,598,273,3350,0,10,17,42,148,344,599,479,276,1916,1196,1267,1265,1361,2116,3588,3726,2189,918,17626,1642,1103,1216,1130,1032,994,650,371,200,8342,16076,11930,12358,10551,10714,11043,7793,3730,1391,85600,12562,9301,9663,8719,7792,6183,3604,1153,412,59390,752,1261,1216,1288,1906,2641,2463,1309,549,13395,19,153,183,248,511,956,1023,724,413,4232,0,17,42,80,215,460,574,546,478,2400,775,1428,1437,1618,2638,4049,4059,2585,1440,20029,1550,1009,1252,1143,1014,975,672,432,313,8355,14888,11742,12353,11486,11441,11207,8333,4160,2161,87772,25804,18866,19540,16785,15356,12645,7024,2320,684,119023,1911,2436,2338,2429,3506,5108,4679,2425,929,25758,61,233,302,428,885,1724,1935,1326,684,7574,4,22,55,118,366,805,1174,1022,753,4325,1969,2690,2704,2977,4756,7639,7787,4774,2357,37655,3191,2112,2469,2276,2044,1972,1321,801,516,16695
CED116,10521,5708,5373,5338,5665,6008,4825,1967,439,45844,1377,1279,1262,1485,1862,3134,4022,2211,619,17252,104,159,237,304,505,1133,1926,1426,449,6240,8,9,30,87,220,637,1237,1147,452,3816,1480,1450,1528,1872,2584,4911,7184,4783,1521,27308,1456,942,1005,985,1013,989,828,493,187,7893,13460,8102,7899,8191,9259,11910,12842,7238,2148,81048,10225,4769,5026,5184,5613,6506,5016,1897,578,44812,1082,1509,1730,1950,2264,3471,4099,2469,934,19510,82,291,414,514,781,1388,2063,1488,770,7794,4,20,69,136,379,849,1283,1143,640,4526,1167,1819,2219,2599,3419,5711,7443,5102,2344,31831,1263,761,667,774,827,920,846,555,308,6924,12658,7348,7912,8556,9860,13133,13313,7552,3231,83562,20746,10479,10396,10518,11275,12517,9846,3859,1022,90657,2457,2789,2992,3431,4120,6612,8116,4680,1554,36761,186,452,656,812,1288,2520,3994,2918,1219,14037,8,32,102,228,599,1485,2514,2289,1087,8338,2647,3275,3748,4471,6008,10619,14629,9880,3864,59137,2717,1699,1666,1755,1840,1908,1677,1055,492,14816
CED117,9745,5576,10202,9160,7379,4705,2270,942,256,50223,868,1165,2305,2102,1938,1812,1697,873,331,13079,24,148,362,359,358,527,653,441,181,3054,0,11,23,46,103,199,339,330,150,1195,895,1323,2685,2506,2393,2535,2693,1646,658,17331,601,514,883,831,713,627,348,223,116,4849,11237,7408,13771,12492,10492,7858,5310,2807,1032,72409,9484,4887,9841,9084,7412,4783,2756,1032,302,49576,679,1764,3340,2462,2267,1987,1836,1093,524,15958,29,277,635,463,499,589,733,605,330,4156,4,15,57,71,137,230,410,382,242,1538,712,2050,4032,2991,2911,2808,2974,2075,1095,21653,588,537,953,775,634,496,381,223,184,4775,10787,7475,14819,12852,10956,8084,6107,3324,1586,76002,19233,10464,20037,18240,14793,9481,5024,1968,558,99802,1549,2932,5647,4564,4205,3801,3532,1961,855,29036,52,422,1004,819,853,1118,1387,1046,511,7210,3,22,71,114,245,424,746,709,390,2734,1607,3373,6717,5498,5309,5339,5671,3714,1757,38984,1191,1046,1839,1607,1349,1119,724,446,303,9621
CED118,19858,10075,11326,14885,8769,4870,2421,848,179,73232,1835,1607,1497,2385,2364,2397,1959,901,238,15175,70,133,201,263,447,753,927,529,151,3469,3,11,25,49,135,339,537,424,141,1676,1908,1756,1711,2694,2947,3490,3422,1850,528,20323,1409,1102,1567,1418,939,586,357,232,91,7704,23176,12933,14604,18999,12668,8952,6199,2926,802,101258,19258,8849,11632,14455,7983,4935,2797,906,244,71058,1283,1752,1987,2515,2515,2455,2183,1025,380,16083,57,297,380,466,649,866,968,589,267,4525,0,19,42,119,253,426,555,487,238,2154,1337,2067,2410,3091,3414,3753,3700,2108,880,22761,1378,772,1015,1067,769,575,389,214,133,6319,21973,11693,15058,18614,12164,9261,6888,3223,1257,100136,39119,18927,22957,29343,16755,9807,5216,1747,418,144286,3115,3362,3480,4889,4881,4845,4134,1930,617,31258,127,431,575,727,1094,1626,1894,1112,413,7996,7,32,66,167,391,769,1097,917,381,3827,3247,3823,4128,5788,6367,7245,7124,3953,1415,43080,2787,1871,2586,2486,1710,1162,746,446,226,14029
CED119,12953,7552,6403,7695,7133,5080,2704,1047,235,50796,1475,1379,1214,1600,1903,2218,2107,1160,315,13365,65,142,145,243,356,642,904,669,267,3433,4,6,16,38,91,235,531,507,250,1677,1537,1527,1373,1874,2353,3098,3536,2335,826,18472,844,635,471,551,552,438,291,246,129,4143,15336,9715,8248,10119,10035,8612,6531,3628,1187,73413,12886,6457,6232,7830,7293,5319,2959,1121,320,50411,1005,1515,1572,2006,2273,2263,2187,1426,508,14755,58,212,308,418,561,755,1003,781,455,4543,0,16,46,78,148,328,492,542,416,2065,1064,1738,1920,2494,2981,3342,3689,2754,1375,21360,763,463,421,535,535,429,341,277,232,3994,14709,8656,8573,10856,10809,9091,6988,4146,1928,75768,25840,14009,12633,15523,14423,10403,5660,2166,552,101206,2472,2890,2782,3600,4174,4483,4295,2592,823,28116,122,355,452,656,915,1399,1906,1452,719,7975,4,28,55,113,244,559,1022,1048,666,3741,2602,3269,3299,4371,5334,6438,7224,5093,2203,39833,1607,1094,895,1086,1087,865,628,522,362,8135
CED120,14834,7968,7811,7412,7000,5189,3042,1119,231,54600,2082,1591,1642,1872,2309,2708,2524,1293,356,16371,127,170,232,371,566,979,1301,843,250,4834,5,9,35,79,187,445,828,661,215,2475,2214,1767,1909,2320,3064,4129,4653,2798,820,23679,1528,942,936,943,954,802,548,340,125,7115,18577,10681,10649,10671,11019,10121,8243,4261,1172,85396,14452,6965,7475,7262,6819,5141,3052,1132,324,52612,1452,1909,2203,2376,2561,2897,2746,1440,589,18181,87,311,553,588,840,1170,1375,918,384,6232,0,34,65,156,341,663,912,714,361,3240,1539,2249,2822,3120,3745,4727,5027,3070,1338,27651,1381,754,723,862,801,701,559,375,262,6418,17370,9965,11027,11242,11369,10572,8642,4575,1917,86679,29285,14928,15285,14673,13823,10332,6095,2253,552,107213,3532,3504,3853,4247,4873,5604,5268,2735,943,34559,214,475,783,959,1413,2147,2674,1761,640,11064,10,41,96,233,532,1109,1741,1378,579,5712,3754,4021,4732,5442,6810,8856,9684,5870,2161,51328,2910,1696,1656,1803,1754,1504,1104,717,381,13529
CED121,12956,7402,7443,6656,6218,5025,3079,1181,276,50228,2322,1827,2001,2078,2363,2857,2810,1544,455,18251,185,280,344,482,661,1099,1495,1020,353,5928,4,19,51,79,284,641,1092,966,393,3534,2504,2128,2390,2645,3309,4601,5394,3533,1200,27705,1586,1241,1422,1311,1125,916,603,379,171,8756,17047,10770,11256,10604,10648,10546,9077,5094,1648,86692,12781,6073,6742,6279,5897,4870,3213,1321,372,47539,1719,2308,2727,2524,2669,3046,3083,1779,782,20630,132,455,702,755,990,1340,1596,1155,616,7753,14,33,137,205,498,857,1156,1062,667,4640,1866,2796,3568,3482,4168,5243,5842,3999,2067,33021,1460,802,752,739,752,661,518,430,272,6385,16098,9669,11058,10492,10810,10776,9574,5751,2703,86939,25734,13476,14176,12930,12112,9890,6294,2503,649,97768,4036,4132,4724,4596,5029,5904,5889,3328,1236,38877,313,741,1051,1237,1659,2441,3096,2175,968,13678,23,49,188,287,784,1504,2243,2029,1063,8170,4370,4921,5961,6122,7471,9849,11235,7533,3269,60728,3047,2047,2178,2045,1877,1580,1117,814,445,15141
CED122,12011,9232,14347,10507,7800,5423,2883,1318,399,63925,968,1325,1800,1694,1802,1991,1805,1237,442,13059,38,93,196,224,330,544,761,595,300,3085,0,6,17,27,86,223,391,463,224,1428,1002,1424,2017,1942,2215,2755,2955,2299,963,17580,1007,980,1648,1269,1072,818,533,317,126,7759,14027,11638,18010,13715,11085,8993,6379,3935,1491,89264,11722,8403,14411,10594,8156,5585,3350,1561,516,64303,687,1654,2419,1946,1995,2121,2134,1595,744,15302,23,226,325,316,450,623,839,833,486,4126,0,10,34,58,150,289,409,528,324,1796,714,1893,2781,2319,2601,3029,3381,2957,1552,21222,909,861,1383,981,765,616,535,335,206,6584,13342,11162,18573,13896,11517,9228,7268,4855,2272,92107,23735,17637,28757,21100,15953,11011,6237,2883,919,128232,1656,2980,4223,3634,3800,4111,3939,2829,1184,28360,66,316,523,546,781,1159,1600,1434,785,7212,0,16,54,77,235,513,796,988,547,3229,1721,3320,4795,4259,4810,5783,6342,5248,2514,38802,1915,1839,3024,2251,1830,1427,1069,652,328,14345
CED123,16434,9053,9850,9572,6989,4662,2440,848,183,60035,2196,1851,2094,2255,2427,2471,2149,1047,228,16720,152,249,353,457,657,853,1055,600,151,4535,4,18,54,109,222,489,757,558,140,2351,2358,2121,2504,2826,3308,3807,3957,2209,520,23609,1873,1243,1480,1323,1154,761,523,361,166,8892,20661,12413,13832,13721,11452,9241,6927,3417,874,92534,16004,7978,9698,9133,6681,4705,2664,943,274,58069,1540,2418,3074,2689,2660,2629,2426,1165,369,18979,116,480,767,758,923,1124,1231,733,288,6415,6,34,109,240,459,675,834,622,300,3275,1661,2929,3955,3686,4041,4431,4495,2523,960,28674,1785,1069,1409,1252,965,701,583,448,370,8575,19450,11978,15054,14073,11681,9834,7741,3915,1597,95322,32433,17029,19545,18705,13669,9363,5106,1794,458,118104,3740,4266,5173,4946,5087,5099,4575,2213,596,35698,266,728,1126,1220,1577,1972,2277,1337,442,10955,10,49,158,347,681,1166,1589,1184,442,5630,4021,5050,6454,6516,7348,8236,8445,4733,1477,52280,3654,2315,2883,2580,2113,1465,1106,807,534,17465
CED124,9710,5318,4100,4539,5412,5744,4909,2092,471,42293,1619,1224,1110,1363,1954,3128,4001,2402,632,17430,119,181,211,303,530,1228,2037,1400,444,6441,4,21,35,82,225,631,1342,1265,470,4067,1742,1422,1350,1748,2710,4984,7376,5062,1550,27948,1337,746,573,670,798,886,903,559,215,6684,12791,7485,6025,6951,8917,11615,13188,7715,2228,76922,9632,4576,4024,4660,5566,6340,5158,2118,572,42657,1254,1516,1618,1800,2281,3398,4012,2509,951,19336,83,296,411,480,824,1436,1954,1510,692,7695,7,27,59,153,391,905,1245,1132,715,4636,1339,1845,2088,2434,3495,5739,7209,5158,2362,31661,1268,673,584,687,735,865,883,609,355,6665,12241,7094,6697,7784,9801,12939,13248,7886,3289,80977,19346,9897,8125,9201,10977,12085,10069,4212,1043,84943,2876,2743,2727,3160,4234,6521,8010,4910,1580,36768,197,478,623,785,1355,2666,3987,2912,1136,14135,7,48,93,237,616,1535,2587,2402,1188,8707,3077,3265,3438,4181,6203,10720,14583,10220,3908,59602,2607,1417,1164,1355,1540,1747,1788,1172,571,13345
CED125,19958,9725,11503,11699,7500,4857,2576,827,132,68775,2305,1902,2119,2390,2427,2790,2318,916,175,17337,138,234,261,442,602,1006,1158,654,135,4633,7,23,52,96,200,531,854,568,151,2469,2454,2154,2431,2923,3221,4327,4324,2131,464,24432,2089,1081,1084,1179,922,711,404,232,68,7781,24496,12966,15022,15807,11646,9899,7296,3192,662,100988,19600,8921,12282,11123,6937,5074,2724,787,187,67630,1659,2145,2858,2768,2579,2930,2593,1110,319,18957,91,382,594,657,906,1312,1316,710,241,6221,5,35,101,236,446,756,983,649,218,3424,1760,2559,3554,3659,3931,4998,4891,2476,778,28603,1949,1039,1230,1139,846,707,492,270,139,7803,23306,12526,17066,15917,11715,10769,8105,3531,1106,104040,39547,18650,23785,22824,14436,9930,5298,1611,318,136402,3969,4045,4973,5155,5010,5723,4909,2025,496,36296,234,616,859,1097,1501,2318,2475,1365,382,10854,19,58,152,327,639,1283,1833,1215,363,5891,4213,4716,5981,6580,7154,9322,9211,4606,1245,53040,4035,2122,2313,2320,1767,1415,894,506,209,15584
CED126,12468,7615,5707,7194,8218,6123,3449,1675,391,52845,1163,1207,934,1232,1815,2162,2296,1646,560,13013,35,99,91,173,288,545,830,879,370,3314,4,6,4,26,82,167,394,586,309,1578,1204,1312,1032,1423,2180,2876,3519,3107,1241,17903,818,570,447,536,671,626,391,295,167,4518,14487,9499,7179,9154,11080,9627,7357,5084,1801,75264,11994,6374,5512,7768,8539,6354,3948,1939,642,53063,820,1445,1206,1574,2156,2288,2421,2041,979,14939,30,195,185,235,438,601,944,976,628,4228,0,4,15,42,114,207,406,619,513,1923,846,1644,1410,1855,2708,3099,3770,3634,2122,21086,793,503,433,596,699,583,467,386,289,4751,13633,8517,7353,10222,11946,10030,8177,5957,3060,78890,24462,13988,11218,14960,16761,12476,7397,3614,1034,105908,1981,2649,2138,2811,3972,4450,4714,3682,1543,27948,61,290,272,404,725,1154,1776,1854,997,7540,3,17,20,68,188,368,797,1206,827,3499,2050,2955,2439,3282,4889,5973,7291,6743,3364,38985,1610,1066,882,1139,1374,1212,851,683,458,9263
CED127,11050,6453,5725,5856,6368,5232,3245,1126,236,45294,1436,1430,1354,1616,2023,2497,2538,1308,335,14548,102,189,189,303,453,827,1138,759,198,4163,8,14,36,61,144,374,699,564,216,2113,1542,1634,1582,1980,2624,3703,4372,2632,749,20824,1034,675,581,575,680,594,441,241,118,4938,13627,8764,7887,8419,9672,9526,8060,4004,1102,71056,10793,5356,5203,5717,6332,5268,3569,1317,309,43858,1047,1724,1862,2049,2467,2747,2761,1566,544,16775,78,267,398,505,715,1074,1243,902,357,5542,0,22,36,146,293,548,722,641,410,2830,1125,2015,2300,2704,3475,4371,4725,3115,1316,25149,896,545,515,597,673,610,450,340,246,4879,12814,7910,8012,9023,10486,10255,8741,4774,1873,73886,21844,11810,10923,11579,12699,10497,6812,2445,542,89152,2489,3160,3220,3663,4490,5248,5296,2879,884,31326,179,458,592,812,1171,1905,2376,1663,551,9709,8,30,68,212,437,921,1424,1207,632,4936,2672,3645,3879,4686,6103,8074,9096,5748,2066,45970,1935,1221,1096,1175,1349,1210,891,581,364,9821
CED128,14930,9514,9974,8827,7187,5537,2834,1101,283,60190,1445,1251,1206,1497,1894,2501,2254,1149,321,13519,54,100,141,244,466,841,1030,667,209,3736,6,12,21,61,157,399,608,529,197,1986,1502,1360,1361,1808,2518,3740,3886,2348,724,19245,1715,1083,1165,1129,921,749,528,287,118,7703,18153,11957,12509,11758,10619,10027,7251,3734,1127,87137,14758,8635,9439,8747,7127,5534,3032,1130,367,58774,997,1275,1353,1729,2023,2692,2371,1322,533,14299,35,156,256,341,666,1046,1080,771,365,4726,4,5,36,106,261,539,649,578,315,2488,1031,1436,1640,2172,2951,4278,4102,2668,1214,21510,1717,927,1103,1049,905,778,529,319,229,7556,17507,10998,12180,11967,10991,10590,7663,4116,1812,87839,29692,18152,19408,17570,14314,11071,5869,2234,652,118968,2437,2531,2562,3227,3919,5189,4622,2474,860,27819,91,256,392,586,1133,1891,2113,1435,569,8459,5,14,51,166,421,936,1259,1106,507,4477,2531,2801,3008,3978,5469,8017,7990,5012,1938,40752,3436,2011,2270,2175,1830,1527,1055,604,352,15257
CED129,18351,9684,7585,12439,9671,5926,3290,1278,266,68483,1589,1540,1204,1864,2139,2299,2266,1351,331,14587,51,104,109,204,400,609,930,747,223,3382,0,9,10,25,71,175,433,516,220,1465,1648,1653,1327,2099,2610,3084,3631,2619,775,19436,854,542,461,587,586,399,315,204,157,4118,20849,11883,9373,15119,12861,9413,7232,4103,1201,92042,17858,8734,8176,13273,9815,6278,3900,1441,351,69822,1052,1746,1445,2111,2394,2404,2579,1540,526,15801,42,229,211,327,495,618,1002,827,358,4108,0,17,17,61,138,244,462,503,302,1742,1099,1992,1670,2502,3030,3272,4042,2873,1182,21656,803,533,493,669,607,495,353,249,185,4388,19758,11253,10345,16443,13443,10041,8301,4559,1716,95870,36208,18419,15763,25707,19481,12205,7196,2717,621,138305,2647,3288,2646,3978,4535,4703,4843,2894,856,30388,97,334,322,529,898,1233,1933,1575,579,7492,4,19,27,90,207,422,893,1024,525,3213,2745,3647,2995,4596,5637,6351,7669,5490,1956,41096,1659,1076,956,1255,1186,898,670,451,344,8504
CED130,11573,6482,6137,5530,5425,4906,3413,1424,298,45191,1743,1439,1477,1499,1948,2654,2832,1602,442,15630,144,204,251,337,533,1010,1381,978,308,5148,18,26,41,83,213,566,908,795,289,2943,1904,1668,1767,1924,2696,4230,5115,3384,1036,23721,1786,1351,1101,1023,1146,1113,879,567,244,9203,15265,9503,9004,8477,9266,10245,9412,5376,1579,78113,11192,5813,5973,5418,5454,5048,3463,1632,462,44460,1270,1935,1996,1923,2208,2693,2746,1906,757,17433,108,429,495,561,733,1246,1380,1047,529,6530,6,29,91,177,404,772,987,877,478,3810,1387,2388,2573,2657,3346,4715,5122,3830,1761,27775,1769,1306,996,927,981,1005,824,630,381,8820,14345,9512,9544,8996,9779,10769,9405,6095,2598,81048,22768,12295,12113,10948,10881,9954,6876,3058,757,89646,3014,3373,3467,3421,4155,5351,5576,3509,1199,33060,255,632,744,902,1273,2251,2762,2028,837,11679,22,51,129,261,618,1341,1896,1677,766,6755,3290,4057,4337,4574,6041,8944,10237,7207,2799,51493,3544,2660,2094,1956,2127,2112,1700,1201,623,18019
