CED_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
CED111,1879,1754,3630,4605,4198,8802,1171,1188,2359,465,511,976,6243,5904,12149,2983,2976,5964,1477,1441,2917,555,544,1092,5024,4964,9984,246,301,549,264,379,643,851,499,1353,732,1153,1886,9,12,15,2096,2355,4448,2519,3158,5674,1079,1046,2123,368,430,794,744,1352,2097,5,10,15,4715,5988,10709,6825,8353,15174,174,166,340,235,389,621,3,8,7,407,566,970,3587,3914,7504,82,98,179,24043,25545,49591
CED112,2045,1906,3947,4980,4635,9617,1185,1227,2413,840,768,1608,7017,6641,13659,3658,3447,7104,1034,1026,2059,785,813,1602,5486,5294,10782,195,294,492,143,298,440,890,521,1415,703,1252,1954,6,11,23,1936,2385,4322,786,1237,2024,295,555,846,205,305,511,430,1019,1445,0,7,7,1715,3121,4837,3658,5511,9165,132,170,306,232,374,613,0,5,8,368,554,926,4177,4751,8935,70,71,143,22823,24728,47549
CED113,1597,1481,3081,4703,4298,9004,1519,1299,2820,643,663,1309,6877,6262,13146,3093,2897,5991,1385,1335,2719,737,774,1509,5224,5002,10222,212,186,399,168,244,402,763,464,1226,739,1242,1980,15,7,19,1896,2137,4034,575,976,1557,307,503,804,170,300,474,738,1432,2164,8,10,17,1793,3220,5016,3695,5364,9063,176,158,340,292,502,796,9,12,20,476,676,1151,6121,5152,11272,161,161,322,24152,24100,48255
CED114,1838,1727,3562,4725,4374,9103,1616,1671,3291,718,686,1407,7069,6737,13801,3204,3251,6451,1435,1448,2882,731,838,1572,5375,5546,10917,197,238,439,190,334,525,778,498,1279,644,1275,1918,15,10,19,1822,2358,4179,375,848,1223,183,392,576,127,224,348,390,919,1313,4,8,10,1074,2393,3474,2904,4761,7662,168,148,314,235,446,678,15,9,23,422,596,1013,7090,6551,13642,238,125,365,24931,26044,50969
CED115,1333,1140,2471,4876,4496,9375,1447,1371,2823,476,466,946,6829,6354,13184,4585,4364,8949,1133,1188,2319,449,492,934,6174,6062,12239,396,432,822,517,845,1362,477,237,710,634,1011,1648,13,20,31,2039,2534,4573,2334,2975,5315,642,707,1347,307,351,664,346,507,856,10,18,27,3639,4559,8205,5705,7126,12831,415,503,920,447,777,1225,28,16,45,893,1299,2187,6327,6351,12678,152,148,301,27412,28476,55887
CED116,1698,1443,3142,4572,4340,8912,745,753,1495,528,523,1052,5861,5628,11486,2997,2871,5872,816,872,1685,683,691,1376,4505,4441,8944,180,204,389,114,222,340,752,415,1167,591,1114,1708,14,16,30,1655,1970,3624,475,767,1245,226,470,693,96,168,264,417,914,1326,4,3,8,1214,2326,3542,2871,4296,7166,125,103,231,192,385,576,12,10,17,323,498,822,5830,5024,10857,94,74,171,21184,21403,42587
CED117,1434,1325,2754,3815,3559,7375,731,795,1524,430,421,855,4981,4780,9760,1859,1646,3508,876,1096,1966,1122,888,2008,3862,3639,7497,223,253,481,394,445,839,299,179,482,763,1068,1831,7,3,13,1685,1963,3644,1910,2279,4187,990,1247,2242,298,363,661,1232,1878,3109,5,10,18,4432,5773,10211,6127,7738,13865,251,246,495,408,599,1008,6,6,14,661,847,1512,3200,2970,6173,148,151,296,20411,21448,41863
CED118,2572,2411,4987,7880,7382,15266,1915,1911,3822,831,814,1646,10640,10119,20754,4747,4395,9146,1785,1806,3592,838,801,1639,7384,7016,14399,424,360,791,407,605,1011,704,389,1092,822,1426,2245,10,10,18,2360,2790,5152,2559,2990,5551,790,1119,1915,359,435,794,765,1147,1911,12,3,16,4485,5701,10186,6862,8508,15371,599,440,1040,573,682,1252,13,16,25,1187,1131,2316,5677,4207,9883,191,315,506,34510,33708,68216
CED119,2026,1845,3865,4935,4583,9514,1726,1675,3402,505,507,1011,7168,6773,13948,3419,3340,6761,1539,1568,3105,696,673,1365,5659,5581,11245,190,272,462,147,218,365,1046,387,1438,540,919,1463,8,10,15,1936,1811,3743,1542,2080,3621,306,454,759,246,317,566,637,1062,1701,10,11,18,2748,3915,6665,4688,5729,10417,119,119,240,259,364,620,0,6,8,380,483,863,2155,2266,4421,63,89,148,22148,22769,44911
CED120,2326,2161,4485,5777,5248,11020,1497,1532,3030,851,905,1755,8139,7689,15827,3434,3265,6698,1550,1545,3096,943,1034,1974,5932,5852,11786,227,275,495,122,222,341,1170,609,1777,615,1134,1742,17,11,25,2145,2244,4391,912,1481,2392,308,498,801,147,300,452,470,1062,1528,4,3,11,1847,3340,5190,4001,5599,9598,200,183,378,218,376,601,0,7,6,418,564,987,4548,4093,8645,98,77,170,25455,26040,51492
CED121,2085,1953,4039,5164,4892,10062,1360,1286,2651,1050,1068,2118,7589,7265,14859,3469,3382,6848,989,993,1983,930,951,1882,5394,5336,10722,214,266,485,138,312,455,966,609,1571,677,1349,2030,15,7,27,2013,2553,4568,636,1077,1710,287,488,773,163,289,451,482,1088,1566,5,5,6,1566,2946,4515,3583,5508,9093,176,152,325,246,437,680,3,7,12,423,588,1013,5980,3909,9883,57,73,126,25111,24627,49736
CED122,1724,1564,3288,3255,3109,6368,1732,1750,3482,952,882,1831,5945,5756,11698,1637,1590,3222,1976,1884,3862,1198,1132,2332,4818,4609,9432,297,327,628,480,713,1191,560,337,895,1151,1559,2707,10,10,15,2488,2941,5438,3725,3921,7643,1636,1609,3244,317,408,729,993,1491,2489,17,16,33,6695,7444,14139,9200,10403,19599,476,462,938,763,948,1713,11,8,23,1253,1417,2670,6007,5059,11069,475,447,918,29423,29253,58675
CED123,2440,2131,4575,6354,5960,12310,1530,1586,3112,919,854,1776,8819,8405,17225,3377,3436,6815,1933,1956,3892,909,818,1724,6226,6218,12452,301,433,729,240,499,739,1014,548,1560,709,1321,2031,12,11,17,2281,2803,5085,1223,1823,3046,470,703,1168,243,390,636,574,1179,1756,7,4,16,2515,4105,6621,4801,6920,11722,231,218,448,336,511,843,8,7,9,573,732,1309,6069,6086,12155,143,114,254,29065,30616,59679
CED124,1430,1317,2754,4357,4170,8532,871,818,1686,592,532,1120,5825,5524,11348,2978,2836,5819,935,981,1925,625,659,1282,4545,4486,9030,181,281,458,104,264,376,658,478,1132,446,1010,1454,11,11,17,1402,2035,3439,373,649,1018,122,352,474,76,169,251,307,811,1113,3,6,10,887,1988,2871,2283,4023,6307,78,107,183,136,287,419,8,6,14,222,397,619,4874,5090,9968,74,57,132,19263,20899,40167
CED125,2742,2391,5129,7128,6834,13963,1680,1751,3434,1412,1393,2802,10238,9997,20237,4358,4126,8484,1953,1924,3879,971,1008,1979,7299,7077,14375,311,385,694,321,599,919,848,423,1274,830,1315,2139,12,8,21,2322,2733,5050,1633,2299,3929,560,941,1499,268,361,628,647,1115,1760,14,18,28,3111,4724,7838,5444,7475,12920,266,338,605,398,636,1033,11,7,17,676,979,1658,5194,5253,10450,169,217,378,31763,33387,65150
CED126,1851,1730,3580,5054,4726,9782,904,790,1695,875,790,1661,6837,6316,13146,3181,3027,6203,1384,1376,2761,1456,1345,2802,6022,5755,11777,230,218,444,172,220,390,880,366,1246,632,948,1583,7,5,16,1919,1762,3679,1762,2090,3849,297,466,763,268,345,612,536,1038,1575,4,12,11,2867,3948,6811,4791,5711,10507,139,159,299,306,455,761,3,0,3,450,614,1065,2460,2865,5329,133,135,267,22543,23134,45677
CED127,1665,1523,3194,4452,4212,8668,827,837,1670,873,768,1644,6159,5836,11996,2844,2756,5602,1122,1052,2172,1088,1017,2100,5059,4835,9891,218,267,485,153,288,443,930,442,1376,570,1073,1645,5,5,15,1880,2082,3960,848,1269,2114,289,608,903,218,260,481,596,1257,1851,0,10,15,1962,3400,5361,3850,5484,9337,139,154,291,201,380,587,0,9,7,347,545,888,2684,2714,5400,74,73,150,19841,21014,40857
CED128,1694,1512,3208,5122,4839,9962,2004,1987,3986,643,626,1269,7789,7478,15264,4057,3749,7802,1904,2068,3972,561,623,1188,6540,6447,12981,389,393,784,404,713,1115,663,283,946,690,1066,1760,9,6,15,2156,2462,4613,1980,2559,4545,492,614,1108,259,318,572,376,603,975,12,11,24,3126,4097,7221,5306,6589,11898,411,419,832,507,684,1195,24,21,46,946,1124,2073,5617,5442,11060,122,138,260,28003,28728,56734
CED129,2413,2325,4734,7245,6697,13937,1901,1840,3740,1123,1117,2237,10279,9660,19939,3992,3714,7714,2059,2142,4198,1716,1601,3322,7782,7471,15247,251,350,605,220,423,650,701,323,1021,680,1279,1956,3,0,6,1864,2375,4242,2823,3333,6152,631,736,1370,428,420,848,894,1220,2113,12,9,17,4788,5714,10501,6658,8099,14761,223,219,444,378,549,925,0,10,10,602,775,1376,2224,2324,4546,205,270,473,30161,30924,61080
CED130,1649,1487,3140,4469,4236,8706,1401,1356,2762,659,679,1338,6541,6280,12815,3605,3138,6743,864,1009,1874,790,1056,1846,5263,5206,10467,190,191,383,133,313,444,618,489,1106,623,1228,1855,12,9,20,1576,2228,3805,586,1053,1634,346,504,856,159,281,437,451,1026,1477,4,6,9,1544,2867,4412,3120,5104,8221,117,135,259,151,318,468,6,4,9,277,460,735,7097,6955,14047,205,108,315,24150,25597,49751
CED131,1814,1616,3432,4529,4095,8626,1238,1195,2432,635,583,1218,6405,5874,12283,3127,3089,6219,858,901,1759,782,750,1533,4774,4749,9522,308,301,605,282,365,642,639,470,1106,805,1123,1926,5,0,7,2035,2255,4289,2770,3523,6292,1164,1406,2572,384,509,894,1138,1797,2930,15,7,16,5473,7238,12715,7516,9500,17022,173,177,356,307,479,781,0,6,5,480,658,1144,4152,4124,8274,123,133,251,25268,26659,51924
CED132,1852,1615,3464,4365,4241,8607,1169,1063,2238,825,790,1615,6365,6105,12474,1732,1964,3689,1557,1193,2750,1784,1679,3470,5084,4838,9926,163,153,318,231,436,664,275,151,424,654,1206,1861,9,5,13,1329,1952,3284,2526,2523,5049,737,1002,1735,318,357,681,1147,1639,2779,10,9,16,4740,5529,10264,6072,7487,13564,204,255,459,505,714,1218,8,3,13,722,969,1691,3133,3648,6779,295,313,607,23528,24979,48505
CED133,1632,1501,3137,4496,4189,8688,1386,1367,2748,755,675,1433,6647,6234,12886,3226,3094,6313,1278,1318,2596,618,547,1162,5124,4958,10084,207,255,461,171,397,568,634,462,1096,641,1188,1824,8,9,21,1665,2310,3967,372,630,1005,242,471,716,146,247,395,482,1130,1614,12,9,23,1261,2490,3753,2931,4805,7731,119,128,249,199,346,540,10,13,16,322,483,806,7146,6315,13458,236,176,413,24041,24471,48512
CED134,1801,1694,3493,4303,4042,8345,1774,1793,3568,543,477,1018,6625,6329,12948,2978,2953,5932,729,795,1520,574,645,1220,4290,4395,8689,142,158,300,130,217,349,591,450,1034,516,1177,1690,8,9,21,1390,2005,3397,271,553,819,135,307,444,61,199,258,329,977,1303,3,9,15,794,2040,2832,2184,4049,6237,117,115,235,174,283,453,7,6,15,297,407,701,9727,9425,19150,131,88,221,25059,26383,51440
CED135,2161,2045,4206,6455,5970,12426,1511,1469,2979,558,578,1134,8542,8024,16563,3368,3148,6519,1458,1473,2934,608,561,1164,5448,5189,10635,611,457,1068,753,982,1732,515,302,815,980,1697,2669,12,15,19,2868,3451,6317,3345,3358,6707,1716,1678,3397,413,430,847,856,1176,2034,29,15,45,6361,6663,13027,9253,10138,19391,1106,780,1889,710,855,1564,15,12,28,1838,1643,3480,7528,6602,14132,273,335,607,35033,33977,69013
CED136,2096,1997,4091,5408,5135,10539,1623,1527,3153,782,757,1539,7812,7424,15239,3741,3564,7297,1155,1257,2412,774,714,1494,5668,5538,11209,274,314,585,190,333,526,862,549,1415,747,1374,2122,9,11,25,2086,2590,4670,698,1115,1809,318,571,889,157,307,465,589,1195,1776,0,8,10,1766,3188,4958,3850,5780,9629,161,162,323,263,426,684,16,9,22,438,598,1031,3813,3916,7729,66,69,130,23757,25321,49074
CED137,1748,1620,3368,3858,3772,7629,1573,1540,3110,697,840,1542,6138,6156,12297,2137,2305,4439,1536,1469,3001,1144,1253,2400,4825,5032,9852,644,499,1149,815,1070,1886,539,330,872,1038,1479,2522,13,10,25,3057,3391,6453,3923,4116,8038,1835,1902,3733,572,501,1076,1121,1475,2597,34,22,56,7476,8020,15497,10565,11432,21993,952,900,1849,1059,1189,2245,16,12,31,2027,2104,4128,6100,4944,11044,309,360,666,31706,31649,63351
CED138,1538,1418,2952,3885,3541,7421,1433,1406,2841,954,934,1892,6291,5887,12180,2569,2373,4942,1264,1322,2585,1047,1040,2089,4896,4750,9637,192,237,426,225,436,660,560,380,941,690,1184,1873,20,16,31,1685,2245,3927,474,902,1372,328,706,1040,146,268,419,500,1236,1737,9,11,18,1456,3126,4583,3149,5381,8526,100,160,263,299,572,873,12,6,16,411,744,1155,6191,6424,12619,172,167,334,22644,24765,47408
CED139,1868,1737,3612,4624,4246,8871,1765,1821,3584,578,542,1123,6970,6616,13584,2893,2814,5707,1608,1733,3338,700,709,1412,5201,5262,10467,266,226,492,168,263,430,803,579,1386,650,1195,1843,13,8,22,1896,2276,4169,645,1498,2141,233,449,689,135,307,444,457,1058,1517,5,6,11,1479,3320,4799,3378,5601,8979,180,158,340,201,313,515,3,9,11,384,477,863,6522,5350,11874,167,68,238,24492,25123,49615
CED140,1842,1615,3461,4394,4016,8415,940,829,1772,888,790,1682,6240,5654,11889,3021,3005,6021,773,703,1477,955,1009,1962,4755,4718,9475,196,226,429,175,288,462,748,393,1145,597,1135,1730,12,5,18,1731,2053,3780,985,1354,2344,332,548,883,184,296,478,538,1112,1649,3,13,15,2049,3321,5368,3778,5378,9157,102,118,221,229,385,610,5,0,11,339,508,847,3555,4089,7642,100,93,194,20609,22060,42668
CED141,1862,1708,3562,5024,4515,9531,1019,996,2019,454,420,871,6506,5934,12434,3440,3231,6673,893,931,1827,519,549,1069,4858,4720,9581,162,239,403,137,228,365,844,397,1232,624,954,1574,9,3,15,1770,1819,3589,921,1234,2155,312,503,813,175,265,435,485,1004,1489,6,4,8,1901,3009,4904,3673,4831,8500,105,98,201,237,378,612,5,3,8,345,484,824,2883,3099,5985,53,47,101,20181,20815,40996
CED142,1105,988,2098,2022,1949,3968,427,400,824,415,428,843,2864,2777,5646,1033,956,1995,355,441,796,558,508,1063,1955,1911,3867,373,458,828,1227,1657,2884,373,320,695,1649,1986,3639,4,16,21,3633,4430,8066,5009,5745,10756,2937,2993,5935,456,503,954,2203,2353,4558,27,15,45,10627,11609,22239,14278,16059,30334,1149,1510,2662,1456,1827,3285,19,7,32,2630,3347,5978,10604,7436,18038,1060,863,1921,34489,33382,67874
CED143,1761,1642,3399,4320,4191,8514,958,915,1874,967,894,1860,6254,6010,12258,2293,2114,4406,1433,1241,2672,1806,1848,3657,5535,5209,10743,154,171,323,178,295,475,423,233,651,669,971,1641,8,5,8,1420,1673,3094,1983,2202,4186,426,633,1057,294,349,640,763,1289,2055,7,9,15,3474,4476,7951,4903,6162,11061,110,140,251,338,534,872,0,0,0,448,672,1120,2074,2177,4253,184,202,384,21155,22072,43225
CED144,1760,1600,3359,4512,3992,8503,1704,1667,3371,1446,1473,2919,7675,7150,14824,3346,3130,6474,1630,1558,3188,1136,1137,2273,6120,5842,11965,467,384,852,867,778,1642,547,256,802,812,1154,1968,16,15,28,2710,2586,5300,2948,3145,6094,1366,1143,2507,365,375,737,702,860,1565,20,20,36,5388,5542,10935,8124,8150,16272,854,547,1400,635,749,1389,17,13,35,1512,1311,2821,6417,5854,12271,201,190,384,31811,30090,61899
CED145,1422,1348,2766,2348,2300,4646,543,586,1125,1801,1660,3464,4699,4554,9251,712,686,1392,593,803,1392,2626,2425,5046,3943,3918,7857,98,120,216,232,397,625,186,148,330,756,1083,1840,7,3,9,1270,1747,3018,1716,2040,3761,610,891,1508,214,256,467,855,1349,2203,17,10,22,3410,4549,7961,4693,6302,10997,124,182,310,501,754,1255,10,4,16,633,941,1574,3556,4064,7614,315,302,621,19256,21430,40685
CED146,2125,1933,4053,6395,5814,12203,2101,2058,4164,1639,1648,3291,10171,9544,19713,5039,4596,9638,2002,2015,4019,1363,1436,2794,8418,8071,16487,382,424,807,360,671,1030,759,289,1046,641,1122,1757,9,15,21,2150,2518,4662,2556,3428,5989,571,777,1351,400,452,853,518,876,1389,9,17,28,4060,5556,9614,6233,8095,14327,327,404,738,404,591,997,6,15,22,739,1011,1752,5511,5676,11189,120,162,280,33310,34498,67810
CED147,2038,1881,3924,5249,4736,9983,1242,1237,2475,768,772,1542,7260,6759,14021,3548,3301,6848,1250,1349,2599,812,914,1727,5609,5571,11185,207,270,480,171,350,521,971,567,1544,680,1222,1905,13,11,20,2044,2421,4463,769,1333,2109,245,473,709,176,303,485,444,920,1363,0,5,14,1634,3037,4672,3692,5466,9158,126,155,280,210,377,580,11,3,14,337,537,876,3744,3926,7671,78,82,154,22762,24219,46983
