CED_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
CED111,63,111,645,822,202,1240,143,866,48,4134,350,1475,1371,1935,881,1239,325,773,124,8479,1642,5857,2521,2025,1734,912,795,947,248,16666,2560,5273,1880,1562,1840,694,862,804,229,15710,2599,4372,1836,1612,2355,721,841,992,234,15570,1627,2937,1327,1181,1703,641,771,961,169,11313,336,791,255,208,427,141,148,239,34,2594,45,93,16,12,30,22,9,30,8,269,11,0,0,0,7,0,0,0,5,23,9224,20910,9862,9367,9173,5614,3904,5611,1095,74762
CED112,79,74,691,679,151,1603,254,1193,79,4815,288,588,1341,1357,550,967,361,868,109,6416,1303,3040,2678,2028,1683,1045,811,1288,225,14115,2239,3430,2235,1799,2065,949,913,1200,267,15095,2215,2923,1926,1976,2246,1071,1140,1357,267,15129,1455,1954,1422,1478,1926,832,1055,1257,159,11541,351,593,310,317,473,247,233,246,53,2831,61,61,26,8,53,24,19,24,28,313,11,4,0,0,5,0,0,0,10,26,8007,12672,10636,9656,9149,6734,4781,7438,1201,70283
CED113,87,86,795,1027,238,1376,158,1034,90,4887,324,606,1390,1410,706,722,421,886,117,6579,1898,3607,2871,1983,1946,971,824,1582,334,16013,3227,3972,2225,1688,2223,798,823,1189,330,16481,4064,3950,2104,1790,2767,936,1030,1361,363,18369,2909,2869,1663,1489,2247,882,1137,1523,283,15002,1287,904,414,331,586,271,341,425,119,4683,399,89,47,27,58,36,38,52,34,789,51,10,4,0,4,3,3,5,15,98,14248,16089,11517,9741,10786,5999,4775,8070,1675,82890
CED114,134,63,902,824,203,1602,148,1177,121,5175,394,608,1449,1251,522,746,357,1060,129,6529,1804,3076,2761,1930,1431,970,1069,2270,308,15620,2690,3029,2083,1636,1713,798,1028,1889,292,15154,3159,2642,1799,1726,2200,1009,1259,1995,284,16076,3033,2093,1593,1449,2100,944,1483,2022,253,14986,1389,653,447,362,660,329,542,570,115,5065,386,77,35,21,94,34,54,89,74,870,60,4,7,0,3,6,0,7,20,104,13045,12242,11076,9202,8944,6441,5939,11072,1603,79567
CED115,35,98,221,273,151,771,179,402,54,2188,262,1259,687,904,907,960,717,618,186,6502,1184,3934,1485,1445,2094,951,1381,1129,407,14013,1282,2277,1301,1183,1777,726,1374,1179,380,11479,1076,1473,1409,1133,1497,720,1683,1799,309,11105,847,875,1210,816,1207,556,1628,1622,191,8951,205,284,276,163,309,121,301,373,45,2085,21,29,8,0,17,14,13,21,12,136,0,0,0,0,0,5,0,0,4,13,4911,10234,6605,5930,7960,4819,7282,7140,1587,56472
CED116,87,71,747,791,141,1337,105,932,103,4314,226,462,1239,1090,364,660,189,622,86,4941,1147,2646,2534,1756,1121,836,481,1022,195,11737,1953,3044,2083,1610,1364,785,555,1064,188,12649,2236,2988,1883,1869,1816,944,753,1307,236,14028,2097,2800,1599,1810,1869,1016,804,1299,196,13482,713,945,392,334,555,314,250,357,74,3925,132,117,30,22,59,33,25,48,39,501,15,3,4,0,5,5,0,0,13,40,8601,13066,10497,9274,7283,5934,3163,6653,1126,65606
CED117,27,142,162,400,144,660,43,300,14,1893,347,1651,601,1229,881,899,157,423,73,6265,3405,11035,1965,1767,2599,1261,457,766,340,23594,5258,9321,1415,1020,2132,868,336,514,302,21158,4532,6912,1090,862,2038,794,326,446,218,17232,2050,4161,784,586,1455,478,358,471,117,10455,475,1340,229,165,427,134,130,156,44,3096,63,151,12,7,44,15,8,27,13,357,0,6,0,0,0,4,0,4,0,20,16160,34717,6256,6039,9725,5108,1817,3108,1130,84060
CED118,64,210,497,502,261,1392,169,746,72,3914,373,1453,1091,1212,1180,1291,834,804,163,8400,2207,7145,2306,1967,2886,1345,1911,1240,507,21514,4836,10357,2644,2169,4426,1369,1761,1227,553,29348,3182,4838,1839,1700,3257,1005,1550,1221,323,18911,1416,2192,1234,1010,2134,602,1138,979,161,10864,270,496,258,215,499,146,291,279,43,2498,19,43,19,17,20,15,10,10,9,156,0,0,0,0,0,0,0,4,0,8,12371,26734,9888,8787,14660,7172,7667,6510,1825,95618
CED119,61,185,752,834,241,1253,124,793,47,4290,325,1286,1368,1347,830,873,257,450,64,6801,1757,4692,2151,1625,1848,808,440,514,194,14034,3622,5609,2030,1366,2828,839,590,551,298,17728,3511,4426,1974,1543,3342,1023,760,759,246,17577,2039,2884,1385,1042,2512,763,654,719,137,12140,418,823,310,220,637,215,218,219,42,3094,37,88,38,27,55,16,22,24,12,319,3,0,0,0,0,0,0,0,0,11,11784,20005,10013,7990,12294,5783,3066,4023,1037,75998
CED120,92,107,1219,777,245,1506,189,1187,99,5434,346,745,1757,1313,814,964,439,875,143,7397,1873,3424,3442,2022,2162,1113,1320,1415,318,17093,3019,3439,2721,1830,2620,1007,1473,1238,327,17665,3170,2990,2374,1942,2883,1129,1606,1382,305,17781,2369,2124,1567,1331,2208,897,1437,1292,242,13462,923,754,380,264,567,248,397,340,64,3941,247,72,30,14,51,26,22,59,40,561,27,4,3,0,4,0,0,0,3,41,12063,13664,13494,9500,11558,6889,6886,7787,1536,83372
