CED_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
CED111,0,0,4,52,236,145,140,151,22,30,54,57,27,8,25,953,23,12,17,36,89,31,31,8,0,0,0,4,0,0,10,272,7,3,10,22,10,8,33,31,9,0,7,0,0,7,0,135,0,0,18,57,95,111,200,67,18,21,16,29,6,9,6,653,0,0,9,18,31,22,28,26,21,18,23,17,13,0,5,240,0,0,0,0,9,21,12,21,3,6,6,9,6,0,0,87,0,0,0,12,27,54,223,142,56,27,30,32,17,9,10,627,177,714,1869,1057,710,513,913,520,72,60,72,56,35,14,252,7041,5,3,25,78,66,85,177,127,25,27,14,34,35,17,9,731,0,0,0,152,141,77,81,115,31,40,59,58,19,4,25,811,82,412,849,1314,678,789,1003,744,298,169,284,315,104,18,213,7267,543,2869,5322,4546,3251,3179,4964,3771,1079,999,1252,1538,749,127,1132,35297
CED112,0,0,9,47,240,202,251,239,43,31,41,62,15,0,32,1218,10,13,9,17,56,12,31,14,0,0,0,4,0,0,4,166,0,0,10,18,13,7,13,13,3,0,0,0,0,0,0,79,0,5,27,69,95,127,252,81,33,19,14,13,12,0,13,760,0,5,8,20,19,12,27,18,3,0,0,0,0,0,5,120,0,0,0,0,5,11,10,7,3,0,0,0,0,3,0,39,0,0,4,3,22,37,128,77,20,18,15,22,3,5,9,359,220,634,1858,1097,914,641,1005,472,60,52,47,45,38,7,247,7331,0,4,27,56,50,68,123,87,11,13,8,12,8,3,9,472,0,0,3,28,38,24,36,41,5,11,8,8,3,0,8,204,114,271,511,595,455,334,548,274,63,48,47,49,16,11,106,3443,531,1544,3419,2906,3104,2576,3955,2438,464,425,364,419,169,80,690,23075
CED113,0,0,4,17,129,91,212,243,54,47,55,77,33,9,26,1013,21,8,18,15,71,8,8,13,0,5,0,0,0,0,8,167,0,4,10,27,22,13,24,18,0,0,3,0,0,3,3,122,0,13,32,63,71,101,247,77,24,22,23,33,20,11,7,759,0,3,3,12,33,21,33,43,14,9,5,16,4,0,5,199,0,0,0,0,9,4,10,20,4,0,14,70,10,0,13,152,0,3,6,14,23,36,120,74,19,15,14,22,11,4,16,385,191,726,1737,1045,707,490,716,330,25,43,41,55,29,17,207,6353,8,10,51,102,107,122,176,132,22,15,14,14,18,0,17,804,0,0,0,15,39,25,35,11,0,5,0,6,0,3,16,167,115,334,568,560,456,347,516,316,75,72,66,151,75,22,107,3793,551,1947,3550,2943,2779,2153,3854,2523,617,686,661,833,337,118,752,24309
CED114,0,0,5,12,123,100,225,352,73,88,99,180,33,15,36,1346,6,0,7,3,9,4,8,0,0,0,0,0,0,0,0,38,0,3,5,13,7,8,8,7,0,4,0,0,0,0,0,54,0,7,10,18,22,76,168,87,17,22,14,50,18,22,13,533,0,4,3,6,13,15,43,45,18,21,28,3,12,3,5,217,0,0,0,0,4,0,14,30,9,17,46,55,13,0,0,190,0,0,0,4,14,16,83,45,18,8,13,15,6,4,12,249,132,429,971,466,330,171,325,116,23,17,40,40,31,7,150,3254,4,5,14,16,26,34,50,41,14,4,7,6,11,0,11,247,0,0,0,13,10,14,29,31,5,13,8,6,5,0,3,145,47,157,237,222,236,240,550,514,99,101,151,224,82,52,125,3038,466,1637,1965,1246,1385,1407,3337,2866,818,930,1156,1419,488,164,723,19997
CED115,0,0,5,204,597,405,448,298,63,61,79,99,29,0,69,2361,25,15,23,57,190,72,42,3,0,7,0,0,0,0,16,445,0,0,7,21,24,17,22,15,6,3,7,0,0,0,9,120,0,0,4,28,24,19,27,6,7,3,0,0,3,0,3,121,0,3,22,14,46,34,25,33,7,5,7,14,0,0,0,204,0,0,0,0,38,22,28,34,7,4,9,6,3,0,0,149,0,0,5,49,307,204,284,237,72,22,39,36,5,7,52,1310,25,122,331,181,104,45,56,39,7,4,4,5,8,3,75,1021,0,0,5,8,25,24,41,23,0,9,8,18,12,3,4,193,3,8,31,2863,8117,5595,3995,2986,699,614,581,616,386,108,1115,27729,83,250,1125,3465,4689,4117,3106,2053,1116,774,613,537,173,57,799,22954,347,1524,4057,9135,17467,16327,15861,11580,4162,3336,2771,3562,1158,304,3396,94996
CED116,0,0,3,35,130,82,97,159,49,35,35,35,39,6,33,736,13,14,22,16,71,10,7,7,0,0,0,0,0,0,7,169,4,10,13,18,16,8,12,5,0,4,0,0,0,0,0,104,6,13,41,91,73,100,146,38,3,6,8,15,15,0,8,561,0,0,11,8,12,9,15,30,0,0,5,11,0,4,4,109,0,0,0,0,3,6,4,7,5,0,3,0,0,0,0,31,0,0,0,6,19,37,90,62,22,10,12,9,11,0,17,304,361,1202,2767,1466,889,498,798,333,48,44,34,64,25,7,383,8906,6,4,40,92,78,82,138,69,16,24,26,32,19,11,15,655,0,0,0,19,34,25,22,24,15,4,5,4,0,6,18,169,148,413,597,587,343,245,288,152,50,40,66,66,28,10,120,3155,800,2740,4682,3352,2515,1745,2578,1537,381,336,381,472,229,63,958,22755
CED117,0,0,12,106,357,255,260,226,61,58,74,99,33,8,21,1582,6,18,14,26,122,41,56,34,10,7,6,5,0,0,9,352,0,10,18,41,77,76,93,63,9,16,20,10,7,11,7,468,4,6,32,106,170,171,189,86,18,31,14,12,11,7,7,861,0,0,18,28,89,75,53,32,0,6,5,7,4,0,11,328,0,0,3,14,47,48,50,57,16,12,15,14,3,0,7,290,0,0,3,21,108,130,315,272,59,43,23,31,16,0,28,1043,70,227,798,883,1022,1291,2045,1241,220,203,183,174,88,38,130,8613,0,7,57,97,152,196,312,274,59,73,70,82,63,21,26,1499,0,0,3,349,601,366,222,233,50,81,77,75,42,5,70,2180,95,223,857,1320,1136,951,1169,1020,354,351,355,386,128,32,232,8618,325,1766,4459,4822,6660,6556,8918,6186,1570,1710,1796,1764,668,226,1212,48643
CED118,0,0,20,348,1723,1516,1654,935,207,192,273,331,120,11,101,7426,15,16,17,38,154,73,53,19,0,0,0,0,0,0,4,390,0,3,4,28,72,56,154,77,27,28,18,22,10,7,0,505,0,3,4,68,173,239,515,166,87,70,62,108,31,4,16,1554,0,0,27,53,488,1057,1813,1083,153,143,130,165,58,16,69,5260,0,0,0,3,40,68,50,54,9,11,9,3,0,0,9,261,0,0,0,4,51,90,175,86,16,22,18,15,6,0,23,504,67,250,733,488,425,287,549,322,64,47,52,46,13,3,69,3431,4,0,5,29,35,73,149,135,29,41,25,39,22,5,10,606,0,0,3,99,166,53,88,72,17,33,18,21,4,7,42,630,122,432,951,1138,1298,1728,2212,1184,340,418,304,283,132,50,260,10863,356,1243,3003,3754,8557,12896,26955,15375,3920,4082,4174,4340,1536,364,1593,92152
CED119,0,0,25,78,381,229,207,147,33,41,35,51,15,3,20,1261,9,6,11,30,139,39,47,39,0,4,0,0,0,0,9,346,0,4,15,24,38,18,45,14,7,3,4,5,3,0,0,184,0,5,21,100,181,152,250,87,35,22,11,35,10,9,16,927,0,0,11,28,54,44,42,19,4,0,3,0,0,0,5,213,0,0,0,0,27,24,31,13,0,0,0,4,0,5,6,111,0,0,3,13,32,66,113,79,10,5,11,8,7,0,15,370,137,410,1120,772,680,518,1175,549,85,54,76,36,28,12,144,5798,5,6,30,53,51,84,126,102,6,14,14,18,21,6,15,556,0,0,0,114,266,153,135,86,28,11,23,30,8,0,22,894,81,223,584,861,831,872,1085,639,147,130,90,114,30,13,100,5807,417,1351,3277,3424,4885,5010,6818,3376,651,581,530,593,215,95,671,31898
CED120,0,3,13,31,188,132,132,159,37,31,32,42,12,3,16,838,11,8,8,21,84,22,25,14,8,0,0,0,0,0,3,204,0,8,6,20,14,16,17,7,0,7,0,0,0,0,0,92,5,6,15,57,86,111,178,49,14,0,13,27,3,3,9,585,0,3,4,17,13,25,44,26,5,0,6,0,4,0,5,157,0,0,0,0,4,11,23,6,3,0,0,0,0,0,0,56,0,0,0,0,34,29,89,53,10,9,17,9,5,0,4,272,168,625,1839,1267,884,432,602,267,32,25,34,25,17,6,236,6457,0,6,29,53,49,62,99,50,12,7,11,15,7,7,14,412,0,3,0,37,41,30,34,42,4,3,0,6,8,3,17,223,105,295,609,781,639,550,564,296,44,62,60,74,25,36,132,4276,478,1682,3521,3210,3181,2483,3344,1978,319,319,368,440,164,100,730,22310
CED121,0,4,3,25,158,113,186,223,41,51,52,46,20,8,30,961,15,8,10,15,38,6,16,3,0,0,0,0,0,0,7,125,0,3,10,8,8,9,15,4,0,0,0,0,4,0,0,72,0,4,7,52,53,109,313,97,32,19,25,43,32,0,8,786,0,3,3,5,19,17,42,20,0,3,3,11,3,0,0,128,0,0,0,0,4,6,10,6,3,0,0,0,0,0,0,35,0,0,0,4,15,39,107,96,31,10,21,26,9,5,17,377,189,556,1223,765,532,360,523,248,38,28,23,28,19,12,213,4758,3,5,17,47,45,44,114,54,9,12,3,5,12,0,20,405,0,0,0,13,13,18,50,31,12,7,14,32,9,0,35,235,89,155,263,273,269,257,444,226,55,26,54,75,22,6,155,2363,540,1327,2125,1954,1969,1605,3095,1811,363,339,378,470,186,76,848,17096
CED122,0,3,29,156,503,357,453,381,101,92,123,174,53,19,64,2499,8,17,31,80,216,73,89,83,32,24,19,23,5,3,14,710,0,7,25,71,100,87,146,87,38,32,47,24,23,17,16,732,0,11,8,123,279,516,627,142,47,43,42,53,29,7,20,1951,0,4,6,29,74,82,78,52,3,21,18,18,14,0,13,411,0,0,0,14,107,105,130,85,24,18,24,41,17,4,17,586,0,0,8,33,125,153,341,235,70,43,52,54,21,6,15,1160,71,236,773,717,776,932,1817,1777,418,445,481,551,229,46,192,9467,0,5,26,83,79,129,246,227,67,69,110,102,61,38,33,1269,0,3,17,201,195,88,163,148,43,86,72,73,41,0,56,1177,142,480,1048,2081,1890,2331,2580,2251,957,1071,1404,1500,506,102,476,18808,492,2079,4500,5855,8475,9708,13879,11321,3501,3983,4686,5415,2157,492,1963,78500
CED123,0,0,13,153,755,777,1035,672,156,132,132,176,69,3,57,4138,16,9,28,34,96,37,32,12,7,3,7,0,0,0,9,270,0,0,11,26,27,24,40,28,12,4,0,0,6,0,9,189,0,3,17,85,148,106,160,62,3,16,13,15,10,0,8,638,0,0,16,29,117,127,251,166,41,26,23,26,18,7,18,863,0,0,0,0,3,33,31,21,4,4,4,3,0,0,5,112,0,0,3,8,46,72,167,115,25,20,19,22,8,3,25,543,120,475,1979,1271,983,355,450,260,23,29,18,19,27,7,116,6131,0,3,25,36,42,38,75,49,17,11,16,16,0,0,16,338,0,0,6,34,70,42,94,69,12,8,7,6,5,0,55,408,142,429,884,891,926,994,1646,748,217,181,162,160,50,27,239,7690,509,1621,4370,3853,5203,5439,10065,5929,1196,1059,1020,1101,468,140,1096,43065
CED124,0,0,8,19,114,78,86,75,26,20,24,35,25,4,35,559,15,3,16,12,32,7,9,10,3,0,0,0,0,3,4,110,0,0,13,14,10,3,3,0,0,0,0,0,0,0,0,55,0,3,41,59,76,79,134,40,11,0,7,9,5,3,11,471,0,9,10,6,9,12,8,5,0,0,0,0,0,0,3,54,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,17,0,0,0,10,15,15,62,44,5,9,18,9,0,0,15,203,270,761,1916,979,659,332,544,183,14,25,28,33,21,3,279,6030,3,11,48,53,58,48,94,51,12,3,7,22,11,3,14,431,0,0,0,4,22,3,12,18,0,0,3,11,4,0,4,91,99,213,325,320,219,136,222,105,25,31,29,34,13,3,63,1857,625,1659,3047,2217,1889,1110,1788,889,183,184,228,279,127,47,657,14943
