CED_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
CED315,32432,24083,23996,21107,20429,18953,14598,7302,2357,165258
CED316,25245,15361,14974,15459,18363,23051,26382,15905,4813,159556
CED317,34172,19996,22323,21200,23499,26983,24568,11289,3280,187311
CED318,34175,20896,25027,24574,26116,25346,20147,8958,2549,187781
CED319,28339,18924,25673,24411,21222,17016,13009,8361,4264,161214
CED320,36042,22274,23571,22109,22743,21705,20989,11653,3422,184511
CED321,28577,16142,17667,17004,19945,22964,21288,11018,3493,158095
CED322,28885,18931,20682,22547,22137,19258,17301,10190,4332,164265
CED323,25532,22573,29506,24064,23941,22824,20539,12745,4527,186254
CED324,30050,22372,28267,25568,20504,16805,12906,7322,3142,166943
CED325,41357,24412,27701,28094,23551,18753,12770,6412,2161,185217
CED326,36593,20962,22745,26100,23752,20124,17954,10850,4344,183428
CED327,42580,24842,26359,27794,22424,18741,14277,6517,2025,185552
CED328,30210,27105,20066,22853,22301,15704,12841,7780,3154,161999
CED329,24113,14828,13236,15838,20320,24529,24731,13086,3951,154637
CED330,38251,21696,20793,23538,25053,22669,17514,8374,2365,180260
CED397,6,24,87,111,79,34,14,0,0,354
CED401,29543,27924,37468,28746,23631,21531,17058,9366,5061,200330
CED402,29158,17750,18602,19058,22107,24621,22129,12144,4645,170213
CED403,27122,20763,22796,22610,21728,21355,19570,11952,6226,174122
CED404,29998,17539,20911,19779,23161,27425,23577,12680,4290,179349
CED405,26442,19126,23605,22182,22201,22680,18002,11039,5474,170747
CED406,29255,18945,20690,21594,20987,20647,18324,9348,3583,163385
CED407,31086,21214,23106,23736,21626,20021,17042,10425,3809,172055
CED408,29673,17768,15612,19328,22838,24080,23865,12995,4271,170428
CED409,40182,24347,27729,24236,22017,21557,15013,8412,3433,186919
CED410,30450,22312,24204,24989,23642,21519,18927,13235,6404,185673
CED497,0,0,0,16,10,0,0,0,0,34
CED501,39723,22071,25058,24962,22397,18658,13062,7337,2466,175746
CED502,40868,21790,26400,28730,21092,17341,13647,6890,2393,179148
CED503,30369,16766,16768,18020,18967,19354,18252,10854,3626,152970
CED504,32720,21412,26188,24801,21788,20774,16962,9337,3172,177147
CED505,30088,21847,22453,23199,22536,18820,15881,10587,5075,170484
CED506,43022,23728,38203,37832,36529,36616,27821,10430,2409,256586
CED507,30536,15861,16894,20070,20673,20119,17470,9005,3283,153914
CED508,30339,18861,23820,24504,21836,18764,14346,7569,3141,163184
CED509,36158,20530,23166,24586,22374,18892,14217,7882,2742,170549
CED510,30757,19482,15634,21159,22659,21394,17775,8035,3054,159945
CED511,32272,18805,23419,23724,25691,26869,20359,10280,3540,184969
CED512,39936,22686,23831,25736,23468,16997,11416,6129,2076,172278
CED513,25562,19470,36581,29682,22747,19615,14672,8289,4266,180887
CED514,30805,24543,34899,28105,21777,19459,15330,8333,4030,187274
CED515,33576,23792,19144,24971,24249,21557,18592,10327,4811,181017
CED597,3,137,518,957,896,533,176,32,0,3250
CED601,18470,12905,15091,12667,13633,14255,12460,7236,2743,109474
CED602,18412,11552,12719,11719,13845,15518,13840,7959,2759,108329
CED603,16747,13594,21197,14436,13346,13035,11000,6326,2709,112400
CED604,19512,11443,14592,14215,13638,14222,12774,7110,2594,110097
CED605,19376,11443,13090,12739,14385,17083,14770,7234,2069,112197
CED697,5,21,62,80,90,75,33,3,0,366
CED701,28353,18153,24600,20765,18527,18098,12896,3287,534,145217
CED702,22642,13281,22023,18172,15172,13305,9520,3467,731,118304
CED797,0,37,58,105,120,106,42,10,0,482
CED801,28807,17222,22214,21863,19507,17659,13783,7471,2543,151069
CED802,20542,24767,27374,20340,17338,14615,11601,6946,3296,146810
CED803,33663,19285,28305,27266,19579,12964,9867,4832,1407,157160
CED897,0,0,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0,0,0
