CED_CODE_2021,M_15_19_Ud_wk_L_5_hrs,M_15_19_Ud_wk_5_14_hrs,M_15_19_Ud_wk_15_29_hrs,M_15_19_Ud_wk_30h_more,M_15_19_no_Ud_wk,M_15_19_Ud_wk_ns,M_15_19_OS_vis,M_15_19_yr_Tot,M_20_24_Ud_wk_L_5_hrs,M_20_24_Ud_wk_5_14_hrs,M_20_24_Ud_wk_15_29_hrs,M_20_24_Ud_wk_30h_more,M_20_24_no_Ud_wk,M_20_24_Ud_wk_ns,M_20_24_OS_vis,M_20_24_yr_Tot,M_25_34_Ud_wk_L_5_hrs,M_25_34_Ud_wk_5_14_hrs,M_25_34_Ud_wk_15_29_hrs,M_25_34_Ud_wk_30h_more,M_25_34_no_Ud_wk,M_25_34_Ud_wk_ns,M_25_34_OS_vis,M_25_34_yr_Tot,M_35_44_Ud_wk_L_5_hrs,M_35_44_Ud_wk_5_14_hrs,M_35_44_Ud_wk_15_29_hrs,M_35_44_Ud_wk_30h_more,M_35_44_no_Ud_wk,M_35_44_Ud_wk_ns,M_35_44_OS_vis,M_35_44_yr_Tot,M_45_54_Ud_wk_L_5_hrs,M_45_54_Ud_wk_5_14_hrs,M_45_54_Ud_wk_15_29_hrs,M_45_54_Ud_wk_30h_more,M_45_54_no_Ud_wk,M_45_54_Ud_wk_ns,M_45_54_OS_vis,M_45_54_yr_Tot,M_55_64_Ud_wk_L_5_hrs,M_55_64_Ud_wk_5_14_hrs,M_55_64_Ud_wk_15_29_hrs,M_55_64_Ud_wk_30h_more,M_55_64_no_Ud_wk,M_55_64_Ud_wk_ns,M_55_64_OS_vis,M_55_64_yr_Tot,M_65_74_Ud_wk_L_5_hrs,M_65_74_Ud_wk_5_14_hrs,M_65_74_Ud_wk_15_29_hrs,M_65_74_Ud_wk_30h_more,M_65_74_no_Ud_wk,M_65_74_Ud_wk_ns,M_65_74_OS_vis,M_65_74_yr_Tot,M_75_84_Ud_wk_L_5_hrs,M_75_84_Ud_wk_5_14_hrs,M_75_84_Ud_wk_15_29_hrs,M_75_84_Ud_wk_30h_more,M_75_84_no_Ud_wk,M_75_84_Ud_wk_ns,M_75_84_OS_vis,M_75_84_yr_Tot,M_85ov_Ud_wk_L_5_h,M_85ov_Ud_wk_5_14_h,M_85ov_Ud_wk_15_29_h,M_85ov_Ud_wk_30h_more,M_85ov_no_Ud_wk,M_85ov_Ud_wk_ns,M_85ov_OS_vis,M_85_yr_over_Tot,M_Tot_Ud_wk_L_5_hrs,M_Tot_Ud_wk_5_14_hrs,M_Tot_Ud_wk_15_29_hrs,M_Tot_Ud_wk_30h_more,M_Tot_no_Ud_wk,M_Tot_Ud_wk_ns,M_Tot_OS_vis,M_Total_Tot,F_15_19_Ud_wk_L_5_hrs,F_15_19_Ud_wk_5_14_hrs,F_15_19_Ud_wk_15_29_hrs,F_15_19_Ud_wk_30h_more,F_15_19_no_Ud_wk,F_15_19_Ud_wk_ns,F_15_19_OS_vis,F_15_19_yr_Tot,F_20_24_Ud_wk_L_5_hrs,F_20_24_Ud_wk_5_14_hrs,F_20_24_Ud_wk_15_29_hrs,F_20_24_Ud_wk_30h_more,F_20_24_no_Ud_wk,F_20_24_Ud_wk_ns,F_20_24_OS_vis,F_20_24_yr_Tot,F_25_34_Ud_wk_L_5_hrs,F_25_34_Ud_wk_5_14_hrs,F_25_34_Ud_wk_15_29_hrs,F_25_34_Ud_wk_30h_more,F_25_34_no_Ud_wk,F_25_34_Ud_wk_ns,F_25_34_OS_vis,F_25_34_yr_Tot,F_35_44_Ud_wk_L_5_hrs,F_35_44_Ud_wk_5_14_hrs,F_35_44_Ud_wk_15_29_hrs,F_35_44_Ud_wk_30h_more,F_35_44_no_Ud_wk,F_35_44_Ud_wk_ns,F_35_44_OS_vis,F_35_44_yr_Tot,F_45_54_Ud_wk_L_5_hrs,F_45_54_Ud_wk_5_14_hrs,F_45_54_Ud_wk_15_29_hrs,F_45_54_Ud_wk_30h_more,F_45_54_no_Ud_wk,F_45_54_Ud_wk_ns,F_45_54_OS_vis,F_45_54_yr_Tot,F_55_64_Ud_wk_L_5_hrs,F_55_64_Ud_wk_5_14_hrs,F_55_64_Ud_wk_15_29_hrs,F_55_64_Ud_wk_30h_more,F_55_64_no_Ud_wk,F_55_64_Ud_wk_ns,F_55_64_OS_vis,F_55_64_yr_Tot,F_65_74_Ud_wk_L_5_hrs,F_65_74_Ud_wk_5_14_hrs,F_65_74_Ud_wk_15_29_hrs,F_65_74_Ud_wk_30h_more,F_65_74_no_Ud_wk,F_65_74_Ud_wk_ns,F_65_74_OS_vis,F_65_74_yr_Tot,F_75_84_Ud_wk_L_5_hrs,F_75_84_Ud_wk_5_14_hrs,F_75_84_Ud_wk_15_29_hrs,F_75_84_Ud_wk_30h_more,F_75_84_no_Ud_wk,F_75_84_Ud_wk_ns,F_75_84_OS_vis,F_75_84_yr_Tot,F_85ov_Ud_wk_L_5_h,F_85ov_Ud_wk_5_14_h,F_85ov_Ud_wk_15_29_h,F_85ov_Ud_wk_30h_more,F_85ov_no_Ud_wk,F_85ov_Ud_wk_ns,F_85ov_OS_vis,F_85_yr_over_Tot,F_Tot_Ud_wk_L_5_hrs,F_Tot_Ud_wk_5_14_hrs,F_Tot_Ud_wk_15_29_hrs,F_Tot_Ud_wk_30h_more,F_Tot_no_Ud_wk,F_Tot_Ud_wk_ns,F_Tot_OS_vis,F_Total_Tot,P_15_19_Ud_wk_L_5_hrs,P_15_19_Ud_wk_5_14_hrs,P_15_19_Ud_wk_15_29_hrs,P_15_19_Ud_wk_30h_more,P_15_19_no_Ud_wk,P_15_19_Ud_wk_ns,P_15_19_OS_vis,P_15_19_yr_Tot,P_20_24_Ud_wk_L_5_hrs,P_20_24_Ud_wk_5_14_hrs,P_20_24_Ud_wk_15_29_hrs,P_20_24_Ud_wk_30h_more,P_20_24_no_Ud_wk,P_20_24_Ud_wk_ns,P_20_24_OS_vis,P_20_24_yr_Tot,P_25_34_Ud_wk_L_5_hrs,P_25_34_Ud_wk_5_14_hrs,P_25_34_Ud_wk_15_29_hrs,P_25_34_Ud_wk_30h_more,P_25_34_no_Ud_wk,P_25_34_Ud_wk_ns,P_25_34_OS_vis,P_25_34_yr_Tot,P_35_44_Ud_wk_L_5_hrs,P_35_44_Ud_wk_5_14_hrs,P_35_44_Ud_wk_15_29_hrs,P_35_44_Ud_wk_30h_more,P_35_44_no_Ud_wk,P_35_44_Ud_wk_ns,P_35_44_OS_vis,P_35_44_yr_Tot,P_45_54_Ud_wk_L_5_hrs,P_45_54_Ud_wk_5_14_hrs,P_45_54_Ud_wk_15_29_hrs,P_45_54_Ud_wk_30h_more,P_45_54_no_Ud_wk,P_45_54_Ud_wk_ns,P_45_54_OS_vis,P_45_54_yr_Tot
CED111,2192,434,38,12,1937,265,0,4878,2254,1136,152,68,2255,367,16,6255,3129,3297,678,297,3001,574,18,11001,2120,3669,1134,532,1851,492,8,9796,2246,3645,1191,480,1944,446,11,9961,2106,3315,1122,521,2189,371,10,9645,1179,2195,1054,539,2058,329,10,7366,696,1036,541,324,1587,330,0,4507,213,237,126,102,780,233,0,1691,16124,18969,6039,2885,17603,3405,77,65098,2322,612,60,19,1437,292,7,4750,2171,1726,339,133,1426,303,7,6102,1935,3625,1486,1314,1797,531,17,10710,887,3069,2397,2302,1101,450,18,10218,1036,3692,2463,1620,1210,376,6,10400,995,3248,2244,1495,1687,344,10,10028,619,1917,1797,1408,1978,377,19,8115,464,1034,817,786,1802,458,3,5365,303,360,195,135,1289,583,3,2863,10733,19280,11802,9203,13736,3717,90,68553,4513,1040,99,31,3375,555,6,9625,4427,2861,486,203,3681,676,19,12354,5061,6919,2173,1611,4800,1111,38,21716,3007,6737,3533,2833,2952,937,23,20018,3272,7335,3651,2097,3155,820,22,20358
CED112,2279,419,31,18,2144,313,3,5212,1681,708,95,56,1809,248,3,4614,2427,2571,650,332,2556,546,3,9094,2156,3241,1065,560,1888,587,12,9510,2270,3380,1093,488,2031,543,11,9808,1933,2974,1061,558,2365,434,7,9339,1288,2200,1129,641,2554,446,10,8272,659,1060,561,398,1809,432,7,4925,185,212,114,89,817,324,4,1743,14868,16767,5810,3154,17970,3881,57,62516,2187,576,70,36,1674,299,4,4848,1452,1068,292,207,1266,241,0,4529,1380,3025,1402,1792,1701,599,9,9902,798,3048,2225,2400,1176,532,5,10179,1040,3539,2272,1728,1513,502,9,10607,1016,3204,2159,1551,2040,446,21,10435,722,2059,1854,1579,2576,524,13,9331,477,927,785,796,2356,648,6,5988,261,316,167,131,1452,710,0,3038,9328,17762,11221,10228,15754,4498,67,68860,4468,992,104,52,3821,614,5,10060,3131,1779,389,265,3080,493,4,9142,3801,5594,2052,2134,4259,1141,18,18990,2951,6291,3295,2969,3059,1118,13,19695,3308,6918,3366,2212,3541,1047,17,20412
CED113,2285,371,43,7,1698,399,6,4804,1635,733,108,45,1511,357,12,4397,2859,2880,630,226,2419,947,65,10021,2363,3515,1069,490,1621,849,24,9926,2828,4052,1212,455,1898,873,11,11338,2795,4138,1379,657,2336,938,11,12259,1710,3034,1443,924,2311,699,17,10141,757,1177,655,454,1433,430,0,4896,179,215,115,90,624,183,3,1413,17403,20104,6648,3343,15844,5681,155,69185,2251,538,64,19,1205,330,5,4412,1399,1110,222,130,864,287,20,4030,1674,3371,1445,1447,1416,713,50,10107,1043,3600,2268,1812,908,638,15,10283,1351,4710,2505,1314,1033,664,9,11589,1279,4226,2579,1701,1453,727,26,11996,697,2360,2235,1939,1823,619,14,9689,402,958,881,839,1451,453,7,4985,221,263,155,116,1007,289,0,2053,10314,21136,12351,9321,11163,4718,149,69144,4535,906,107,31,2901,726,9,9221,3028,1841,330,174,2376,648,30,8422,4531,6249,2071,1672,3835,1663,122,20132,3402,7115,3342,2303,2525,1484,37,20205,4177,8760,3714,1771,2935,1541,27,22923
CED114,2102,423,30,24,2127,536,3,5247,1462,724,115,50,1789,430,29,4592,2690,2676,596,244,3077,1001,102,10390,2368,2995,839,338,2140,895,55,9631,2729,3139,881,348,2333,971,17,10424,2850,3326,906,434,3009,919,14,11457,1873,2556,1032,601,3240,869,11,10177,794,1105,635,431,2043,528,3,5534,228,235,137,95,872,275,0,1838,17087,17189,5168,2574,20621,6426,234,69298,2165,651,99,17,1655,442,3,5032,1157,1240,305,204,1123,384,10,4413,1332,3017,1496,1702,1929,837,57,10368,881,2916,2179,1980,1275,801,19,10058,1066,3663,2244,1428,1509,759,10,10691,1138,3756,2330,1661,2020,849,17,11775,625,2141,2057,1849,2513,764,8,9954,494,1033,899,1028,2136,708,0,6302,260,345,204,164,1432,415,0,2823,9120,18765,11824,10036,15583,5963,122,71411,4267,1075,132,44,3780,975,4,10279,2618,1961,420,254,2907,811,37,9011,4022,5694,2089,1949,5006,1839,152,20758,3249,5911,3017,2319,3417,1693,76,19687,3798,6801,3129,1779,3841,1737,31,21116
CED115,1439,459,59,28,3283,439,0,5713,1426,763,115,75,3359,486,0,6226,2451,2082,468,318,5939,1094,38,12398,1789,2058,655,449,4637,965,27,10581,1771,2046,666,457,4891,885,17,10736,1791,2161,789,538,4971,793,12,11055,1149,1481,633,402,3564,568,21,7816,470,580,241,184,1825,422,7,3737,123,134,52,37,745,301,3,1396,12412,11781,3676,2489,33210,5963,129,69656,1541,627,123,51,2767,418,4,5528,1425,1218,301,171,2650,453,6,6220,1627,2332,1096,1395,4753,1146,20,12372,818,2011,1388,2005,4331,930,13,11497,861,2122,1600,1951,4113,790,19,11463,806,2049,1702,1960,3965,722,48,11252,659,1414,1124,1233,3315,585,26,8364,365,614,368,402,1908,507,5,4169,164,177,76,62,1160,523,6,2161,8260,12571,7791,9227,28955,6072,142,73023,2983,1089,184,77,6045,857,8,11241,2853,1981,419,246,6006,939,11,12446,4084,4422,1565,1716,10691,2239,53,24768,2603,4076,2046,2453,8966,1896,42,22080,2636,4176,2263,2409,9001,1675,36,22196
CED116,1865,328,36,7,1767,389,5,4409,1323,567,94,40,1308,355,10,3704,2234,2231,520,247,1829,837,12,7914,1885,2829,920,423,1364,773,8,8199,2178,3223,968,448,1675,773,13,9274,2498,4003,1460,759,2425,765,21,11925,1962,3958,2033,1160,3007,717,11,12851,900,1733,1003,745,2362,506,5,7246,243,347,199,144,994,218,0,2148,15084,19220,7228,3981,16732,5339,80,67666,1859,447,57,20,1292,345,6,4031,1041,862,213,166,812,236,5,3331,1153,2495,1178,1416,1143,527,9,7926,751,2706,1917,1779,847,549,13,8564,1057,3679,2084,1350,1134,559,6,9863,1379,4395,2980,1866,1883,630,5,13142,911,3253,3162,2503,2813,667,14,13321,555,1358,1240,1334,2450,617,9,7564,355,426,227,175,1620,422,0,3230,9050,19623,13061,10624,14003,4554,66,70975,3725,781,95,26,3064,736,8,8439,2363,1428,309,214,2122,588,15,7040,3384,4723,1697,1658,2972,1370,24,15835,2635,5534,2844,2206,2213,1321,23,16767,3236,6898,3055,1799,2807,1335,23,19144
CED117,1688,237,18,14,1078,109,5,3139,1539,956,126,55,1326,266,8,4281,4187,4902,777,226,2947,728,39,13810,3085,4965,1407,457,1966,608,18,12514,2435,4189,1321,402,1667,481,25,10513,1682,2862,894,282,1689,445,17,7878,992,1712,642,229,1445,297,22,5336,486,713,255,116,1015,226,6,2809,136,149,55,22,530,138,0,1031,16240,20683,5495,1800,13657,3299,139,61312,1479,341,33,24,854,122,0,2853,1629,1486,239,69,945,263,12,4640,3630,6079,1463,710,2177,769,22,14848,1859,4828,2599,1692,1362,507,17,12871,1484,4309,2489,1259,1028,390,15,10979,1171,3160,1626,761,1093,271,33,8115,700,1892,1231,675,1352,263,32,6138,382,781,538,328,1062,239,0,3331,196,214,96,73,771,237,0,1586,12528,23084,10312,5586,10645,3062,138,65361,3165,579,47,33,1923,234,5,5990,3167,2443,369,124,2265,532,21,8926,7814,10983,2244,940,5120,1501,65,28659,4950,9795,4002,2153,3333,1112,36,25384,3922,8491,3812,1658,2692,868,42,21488
CED118,2517,654,50,42,2618,284,0,6177,2074,1052,176,68,2793,606,3,6760,3196,3441,888,437,5126,1522,13,14621,3299,5962,2289,1073,5063,1311,15,19020,2722,4108,1339,658,3105,729,11,12676,1820,2745,932,489,2503,461,40,8996,1036,1557,686,452,2172,296,71,6270,433,593,280,189,1208,222,17,2946,111,88,64,34,410,102,0,802,17208,20197,6708,3438,24992,5537,180,78262,2372,797,103,42,2112,260,0,5688,1760,1418,313,205,1975,333,14,6014,1903,3809,2084,2364,3960,932,14,15073,1236,4605,4107,4072,3684,913,12,18632,984,3636,2583,2121,2313,514,24,12194,841,2453,1794,1563,2229,387,122,9382,543,1423,1286,1160,2146,336,93,6985,315,564,445,357,1306,227,16,3237,135,149,78,52,688,154,0,1259,10097,18862,12792,11942,20418,4045,300,78458,4888,1456,157,83,4732,544,0,11861,3832,2474,491,270,4763,938,21,12777,5101,7251,2977,2799,9089,2452,30,29695,4542,10568,6395,5150,8745,2221,28,37647,3711,7744,3926,2782,5421,1245,38,24867
CED119,2399,360,18,9,2125,152,0,5063,1870,660,67,29,1859,171,3,4653,2451,2513,553,232,2188,305,5,8251,2298,3919,1340,551,1680,334,6,10129,2451,4052,1195,469,1619,255,7,10046,1906,3266,1128,462,1625,228,6,8619,1128,2121,1058,453,1588,177,17,6545,563,879,454,284,1201,248,6,3637,147,179,94,67,487,214,3,1191,15216,17945,5902,2554,14377,2074,58,58133,2423,506,34,9,1512,113,0,4596,1695,948,161,59,1090,99,9,4062,1629,2919,1187,1168,1407,268,10,8584,896,3399,2665,2507,1097,293,17,10869,897,3959,2836,1777,1112,224,5,10819,833,3158,2170,1422,1321,184,17,9110,496,1763,1707,1283,1498,235,23,7004,371,836,698,605,1322,319,7,4153,185,233,122,74,785,534,0,1928,9439,17715,11582,8901,11153,2264,79,61134,4822,864,50,28,3637,262,0,9663,3569,1603,229,93,2947,266,8,8724,4082,5431,1743,1398,3592,569,18,16837,3192,7314,4002,3054,2779,632,21,21002,3349,8010,4027,2245,2735,476,13,20857
CED120,2411,567,49,23,2287,330,3,5673,1758,782,114,49,2006,298,9,5019,3005,3113,756,362,2692,726,20,10672,2678,3693,1198,546,1889,660,16,10686,2623,3838,1219,513,2182,646,14,11028,2285,3280,1159,611,2242,543,8,10131,1369,2258,1199,805,2132,473,15,8258,592,946,547,414,1406,358,4,4263,158,167,84,67,556,146,0,1174,16887,18652,6324,3393,17390,4179,90,66909,2448,689,74,27,1740,295,0,5271,1560,1221,282,175,1252,208,9,4697,1409,3440,1793,2170,1675,536,14,11043,803,3504,2622,2610,1158,541,5,11247,1002,3932,2665,1934,1347,494,8,11372,962,3312,2334,1851,1653,473,19,10589,630,1932,1874,1780,1982,442,10,8651,444,797,721,706,1497,409,3,4582,194,250,102,99,960,319,0,1923,9445,19083,12452,11347,13265,3714,70,69379,4855,1255,124,55,4028,623,5,10946,3315,2009,393,223,3258,507,14,9716,4415,6557,2544,2530,4367,1269,35,21715,3484,7199,3822,3162,3050,1200,16,21934,3625,7769,3879,2446,3531,1139,20,22406
CED121,2212,450,46,25,2382,382,0,5502,1699,787,113,46,2158,474,6,5271,2846,3211,789,345,2884,1177,15,11276,2455,3580,1077,519,1941,1035,13,10616,2466,3531,1031,465,2347,807,3,10648,2258,3339,1188,615,2511,632,10,10550,1344,2466,1263,805,2693,504,8,9086,668,1082,688,477,1788,392,5,5100,178,254,102,79,838,192,0,1648,16123,18702,6310,3369,19541,5602,54,69704,2209,648,79,19,1743,294,6,5002,1340,1249,333,221,1288,247,9,4680,1408,3472,1844,2074,1716,540,8,11067,859,3299,2370,2284,1185,501,12,10508,1070,3749,2345,1620,1573,460,6,10819,949,3299,2373,1787,1962,404,14,10785,658,1980,2067,1943,2485,437,10,9583,446,957,890,871,2095,486,3,5756,236,344,147,113,1531,336,0,2707,9166,19003,12442,10945,15579,3711,70,70907,4423,1100,127,44,4129,678,7,10504,3035,2039,445,267,3443,716,14,9959,4257,6687,2635,2414,4601,1720,25,22339,3317,6873,3442,2804,3128,1536,23,21125,3529,7281,3377,2088,3917,1267,15,21471
CED122,1885,359,29,15,1929,285,17,4513,2090,1102,136,68,3200,548,66,7213,4908,4234,731,271,6312,1550,110,18113,3299,4547,1210,448,3142,1065,69,13785,2633,3903,1099,372,2265,807,61,11142,2106,2815,938,319,2203,609,63,9055,1243,1789,614,272,2003,462,50,6427,684,852,359,190,1479,367,19,3950,222,245,88,53,671,207,0,1487,19078,19851,5199,2008,23217,5893,455,75692,1943,463,38,25,1491,227,15,4203,2197,1654,238,81,2319,484,73,7043,4257,5724,1466,1036,4865,1225,119,18691,1857,4370,2570,2144,2182,776,35,13939,1354,3992,2472,1523,1649,522,47,11566,1130,2999,1743,1120,1807,430,72,9296,678,1847,1356,930,2043,417,48,7322,544,1022,743,545,1589,417,21,4871,297,340,152,89,970,424,0,2270,14257,22410,10776,7498,18905,4911,425,79194,3830,822,66,41,3417,511,32,8713,4287,2752,379,152,5517,1027,133,14257,9163,9958,2198,1312,11184,2777,231,36804,5154,8923,3776,2596,5327,1837,110,27721,3988,7900,3573,1894,3915,1333,107,22710
CED123,2135,577,64,27,2643,432,0,5875,2050,1046,165,97,2707,476,0,6541,3546,3700,914,411,4047,1215,38,13867,2926,4322,1389,671,3312,1090,20,13738,2509,3566,1050,529,2932,869,15,11467,1963,2787,826,431,2662,558,19,9258,1121,1793,798,487,2302,421,33,6957,502,687,318,231,1328,347,5,3424,102,122,50,56,377,163,0,873,16852,18602,5591,2941,22316,5570,132,72004,2310,847,100,37,2046,324,4,5667,1754,1527,406,259,1872,494,7,6314,1938,4337,2065,2528,2995,1192,18,15074,1142,3914,2703,3032,2285,996,10,14080,1078,3656,2298,1836,2098,707,11,11686,938,2749,1935,1533,2188,493,23,9858,589,1585,1430,1367,2290,474,30,7772,393,626,504,479,1470,442,7,3921,160,159,79,73,729,396,3,1600,10299,19407,11520,11147,17969,5525,112,75979,4445,1427,164,68,4687,759,7,11544,3796,2574,574,352,4582,975,15,12858,5482,8031,2978,2945,7043,2404,57,28944,4069,8240,4093,3707,5598,2089,28,27821,3588,7228,3351,2367,5034,1570,25,23158
CED124,1847,348,36,12,1719,388,6,4360,1132,524,85,40,1126,210,0,3128,1552,1776,494,216,1555,431,8,6037,1546,2497,804,393,1236,479,7,6966,1944,3133,1060,468,1761,549,12,8932,2370,3740,1400,837,2595,674,10,11623,1923,3670,2100,1312,3402,786,8,13190,971,1701,1053,863,2552,571,5,7725,253,310,175,168,1042,289,3,2236,13534,17691,7209,4325,16992,4379,60,64196,1856,525,55,27,1344,317,0,4129,883,795,211,167,718,190,0,2964,798,2056,1156,1233,995,458,11,6708,637,2491,1745,1655,744,510,15,7796,979,3459,2105,1492,1240,520,3,9807,1261,4087,2932,2058,1988,623,11,12954,845,2973,3015,2798,2899,728,7,13254,614,1368,1236,1364,2627,680,3,7885,327,392,210,212,1645,504,0,3293,8203,18150,12665,10996,14185,4529,51,68787,3703,876,85,41,3068,705,3,8488,2015,1316,301,207,1842,401,4,6091,2352,3833,1646,1446,2553,892,23,12743,2182,4989,2548,2055,1980,989,20,14760,2923,6599,3170,1963,3003,1072,17,18736
CED125,2219,659,77,28,3010,432,4,6422,1928,989,162,92,2976,401,9,6560,3651,3778,1013,506,5175,898,20,15041,3188,4588,1542,919,4594,975,20,15833,2479,3500,987,583,3453,653,14,11661,1967,2797,950,519,3182,484,25,9924,1223,1778,831,465,2669,339,46,7342,462,611,345,234,1283,257,9,3202,107,80,41,25,334,80,9,668,17213,18775,5942,3363,26673,4522,159,76653,2216,885,133,50,2494,402,0,6181,1700,1468,384,298,2107,398,10,6357,2029,4465,2237,3064,4262,1007,20,17081,1111,3907,2963,3651,3388,907,16,15933,1035,3389,2204,1969,2532,583,24,11734,969,2826,1962,1744,2798,473,68,10839,655,1670,1394,1304,2642,439,48,8153,374,595,471,408,1335,346,13,3541,124,151,60,50,514,205,5,1114,10208,19358,11800,12536,22072,4755,201,80934,4429,1542,211,72,5514,832,6,12604,3627,2457,546,388,5079,800,22,12909,5682,8240,3244,3568,9436,1909,42,32126,4299,8493,4501,4568,7984,1877,36,31766,3515,6886,3185,2556,5980,1239,37,23401
CED126,2606,334,28,10,2007,172,12,5163,1864,618,68,28,1616,144,5,4345,2416,1899,372,135,2042,319,19,7203,2242,3565,1095,410,1491,355,19,9174,2869,4539,1329,478,1523,340,21,11096,2419,3806,1126,403,1545,327,17,9643,1473,2625,1023,416,1552,268,17,7371,909,1465,668,341,1430,269,4,5089,240,321,132,102,789,219,6,1811,17023,19182,5831,2323,13996,2412,121,60896,2518,491,26,15,1457,144,0,4654,1741,888,126,37,939,136,10,3871,1543,2478,906,741,1348,330,36,7384,960,3396,2339,2218,954,365,13,10232,1154,4502,3013,1868,1043,361,17,11962,1115,3777,2390,1224,1208,313,14,10049,702,2391,2071,1237,1479,304,17,8197,576,1341,1160,904,1603,373,8,5965,339,407,243,164,1441,460,4,3055,10657,19671,12274,8399,11472,2789,118,65380,5121,827,55,24,3461,314,15,9819,3608,1507,191,64,2563,281,10,8217,3956,4373,1278,879,3396,647,55,14589,3199,6958,3430,2623,2446,720,29,19404,4021,9046,4338,2347,2571,707,39,23064
CED127,2297,489,45,26,1662,204,0,4731,1606,722,99,60,1352,189,0,4040,2186,2519,638,311,1844,392,21,7908,1866,3218,1158,546,1246,382,10,8430,2132,3749,1401,517,1489,391,16,9681,1948,3516,1356,690,1667,355,6,9527,1229,2584,1396,796,1755,296,7,8069,566,1059,575,366,1227,211,0,4006,153,203,94,80,486,84,0,1102,13988,18061,6770,3397,12717,2497,65,57496,2132,652,65,13,1257,188,8,4320,1265,1021,239,131,811,130,4,3601,1178,2577,1305,1554,1063,342,9,8024,728,2842,2178,2206,737,331,15,9037,927,3910,2560,1768,938,375,9,10496,967,3649,2473,1620,1234,311,8,10260,660,2262,2077,1784,1652,312,14,8753,405,997,865,830,1391,287,11,4782,194,205,151,112,969,238,0,1878,8455,18117,11921,10019,10045,2512,70,61142,4439,1141,114,45,2916,393,6,9049,2868,1743,340,192,2163,321,9,7644,3369,5094,1944,1862,2901,732,30,15930,2597,6064,3341,2751,1983,708,21,17465,3055,7656,3959,2286,2428,767,27,20182
CED128,1631,514,61,28,3317,413,0,5969,1449,685,129,82,3167,483,8,5994,2521,2183,574,324,5852,1054,19,12528,2022,2681,891,522,4656,986,25,11777,1901,2458,741,498,4302,715,18,10640,1733,2321,816,443,4118,603,17,10047,1040,1527,673,439,3123,451,13,7268,545,634,303,208,1775,272,13,3745,126,140,70,27,612,149,4,1130,12970,13137,4266,2577,30918,5126,110,69100,1588,755,109,56,2598,362,0,5471,1336,1097,296,187,2260,354,8,5544,1518,2414,1244,1747,4292,964,17,12193,784,2406,1839,2562,3516,866,12,11981,751,2460,1798,1942,3372,667,21,11009,780,2269,1769,1776,3402,602,23,10609,590,1329,1136,1205,2959,451,31,7695,396,704,468,467,1748,341,10,4132,178,193,104,58,997,280,9,1819,7914,13621,8761,9999,25153,4884,132,70460,3220,1268,168,85,5923,772,3,11444,2782,1788,427,262,5431,839,12,11539,4038,4592,1819,2078,10140,2020,33,24718,2807,5084,2735,3081,8168,1848,35,23763,2650,4913,2542,2439,7671,1389,39,21654
CED129,3030,600,41,19,2518,162,3,6374,2339,856,91,35,2035,152,10,5522,2759,2667,566,246,2772,365,30,9407,3098,5493,1872,829,3362,470,17,15135,3027,5064,1595,556,2298,323,16,12877,2125,3527,1128,488,1909,233,34,9443,1271,2281,1115,541,1790,237,66,7295,683,1094,517,292,1324,184,16,4123,132,190,84,57,572,168,4,1202,18464,21773,7007,3069,18582,2300,188,71381,3030,770,64,19,2029,124,3,6039,2114,1297,212,84,1344,153,4,5216,1867,3255,1359,1316,2163,376,15,10361,1225,4528,3825,3715,2686,467,34,16476,1051,4470,3493,2461,1663,306,19,13463,842,3052,2393,1772,1709,273,73,10117,587,2007,1909,1661,1899,240,83,8387,427,924,785,724,1450,254,13,4571,193,239,136,64,872,217,5,1726,11339,20535,14183,11820,15825,2410,252,76358,6057,1372,112,38,4550,286,8,12417,4455,2158,309,122,3374,307,12,10737,4631,5921,1917,1564,4941,738,43,19762,4323,10019,5697,4543,6046,937,43,31609,4085,9537,5087,3018,3961,629,37,26342
CED130,1991,463,52,38,1999,596,0,5145,1270,802,147,55,1545,550,9,4365,2293,2429,578,269,2497,932,88,9090,1925,2727,860,377,1779,807,68,8544,2111,3000,873,422,1978,880,20,9290,2361,2985,1024,499,2510,873,7,10254,1559,2433,1162,800,2692,759,0,9415,741,1116,584,513,1819,606,0,5376,208,207,104,105,675,277,0,1578,14464,16165,5385,3073,17487,6278,201,63058,2045,696,86,49,1598,674,8,5140,1059,1180,295,244,1098,495,4,4379,1150,2777,1509,1561,1705,847,32,9576,708,2815,1982,1678,1047,769,24,9024,971,3366,2092,1274,1320,756,11,9799,1028,3341,2274,1544,1811,770,8,10780,655,2013,1978,1880,2147,732,10,9417,468,1076,863,1000,1989,698,4,6098,250,327,168,159,1256,444,0,2598,8328,17592,11242,9389,13969,6179,102,66807,4036,1158,140,89,3595,1266,8,10289,2326,1983,439,296,2638,1040,15,8748,3442,5211,2093,1830,4200,1780,118,18667,2635,5539,2839,2051,2828,1581,94,17572,3078,6366,2967,1701,3296,1640,36,19085
