CED_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED121,781,671,611,553,258,56,3551,46,302,379,336,401,357,125,18,1969,593,3089,3015,2190,1804,1696,685,185,13266,506,1944,2274,2376,2190,1628,673,198,11784,3101,7608,6642,6387,5648,3576,1586,432,34982,476,467,372,346,300,234,61,22,2276,201,337,336,556,658,648,355,99,3190,3779,8411,7342,7290,6605,4456,2004,554,40448,43,74,95,122,155,153,106,36,780,1434,1880,1718,1572,1396,1527,1465,896,11884,6433,16293,15605,14553,13167,10375,5315,1941,83678
CED122,5334,3343,2050,1077,408,87,18581,72,784,873,727,490,375,107,23,3445,3465,14497,9040,5939,3609,2136,824,226,39734,1160,3269,3100,2949,2178,1239,579,203,14672,1288,3591,2861,2680,2434,1399,873,299,15421,205,174,158,207,167,119,54,15,1093,161,331,375,537,609,399,203,58,2669,1649,4095,3396,3424,3206,1921,1123,372,19182,113,346,253,189,214,184,105,32,1434,1591,2979,2136,1579,1294,1232,1090,694,12594,8320,31967,24134,18149,13042,8155,4234,1635,109637
CED123,2367,1065,594,316,99,12,6384,79,467,551,408,283,234,59,3,2084,1393,5263,4922,2769,1685,1135,355,71,17590,864,2966,3235,2673,1880,1075,347,73,13126,3340,7170,6049,5067,3977,2310,907,191,29014,379,413,402,345,264,165,31,3,1995,225,363,506,581,565,427,172,32,2873,3942,7947,6949,5998,4808,2903,1114,231,33882,62,138,201,164,151,134,69,20,941,1741,2526,2294,1765,1367,1285,1132,725,12841,8160,21146,20524,14839,10775,7082,3176,1138,86840
CED124,580,607,712,691,247,37,3246,23,215,282,396,514,524,144,17,2108,344,1914,2331,2330,2399,2476,973,214,12978,308,1032,1666,2254,2666,2472,1043,239,11678,2072,4113,4380,5343,6312,4938,2343,571,30070,286,298,278,320,378,389,129,26,2106,143,166,269,465,815,894,453,124,3327,2506,4585,4929,6125,7502,6217,2928,719,35501,33,44,68,92,176,255,162,56,884,1183,1034,1152,1384,1943,2441,2231,1207,12574,4414,9197,11008,13182,15910,15069,7715,2477,78980
CED125,3246,1350,708,374,106,23,8279,89,543,640,405,270,193,44,5,2186,1486,6897,6547,3160,1944,1195,343,58,21621,982,3671,3973,2875,2054,1180,314,46,15095,2654,6592,5818,4631,3978,2415,905,141,27128,335,428,419,313,281,175,46,4,2009,233,390,602,667,682,518,165,35,3288,3225,7412,6843,5600,4941,3113,1114,178,32428,86,194,252,182,177,163,68,13,1137,1661,2123,2092,1451,1263,1193,870,345,10996,7616,23228,23595,15025,11347,7406,2867,663,91749
CED126,2354,2419,1709,1020,437,96,9319,31,337,600,817,698,535,207,52,3272,1505,5193,6553,6480,4351,2940,1446,430,28890,625,1738,2668,3710,2905,2045,1250,401,15345,1385,2624,2972,3591,3199,1952,1388,458,17569,161,101,176,239,222,199,88,30,1209,124,188,340,651,821,744,530,194,3583,1665,2910,3478,4483,4241,2899,2002,676,22356,44,99,144,198,197,209,193,82,1170,606,709,890,970,908,965,1152,950,7148,4518,12228,16691,19082,15008,10612,6678,2681,87498
CED127,1566,1629,1548,1258,384,68,7798,40,357,511,744,778,726,183,25,3357,839,3248,3830,3779,3157,2615,981,226,18673,596,1674,2223,2738,2624,1951,845,223,12865,2231,4505,4344,4625,4167,2548,1109,294,23821,246,222,223,266,283,201,62,11,1518,141,183,280,504,640,651,325,78,2812,2623,4916,4841,5395,5087,3399,1500,384,28150,43,70,97,115,133,175,156,37,824,718,790,853,961,965,970,954,600,6807,4915,12335,13923,15359,14285,11094,5001,1561,78478
CED128,1553,670,534,291,61,10,4899,60,333,326,255,211,133,36,6,1357,1627,5484,3989,2532,1885,1114,345,80,17060,900,2546,2904,2457,1753,884,292,65,11806,1713,3603,3611,3459,2973,1756,765,169,18058,223,254,305,270,235,119,26,3,1432,159,311,475,550,594,341,133,38,2598,2095,4169,4386,4281,3801,2218,923,207,22084,62,174,189,137,158,132,55,11,926,1554,2152,2040,1587,1467,1228,865,569,11460,6403,16540,15392,11925,9804,5998,2576,948,69590
CED129,7405,3909,2152,1117,325,62,18124,71,487,1071,917,588,471,144,18,3771,2306,7843,11420,7725,4501,3036,1095,214,38152,874,1837,3421,3971,2794,1855,779,188,15722,1528,2382,2863,3510,2632,1742,1176,273,16099,217,126,166,228,232,156,74,17,1217,161,197,419,652,693,664,347,88,3221,1909,2708,3450,4386,3558,2556,1597,376,20536,70,134,280,246,224,222,146,26,1349,590,828,1115,825,718,775,709,510,6069,5907,16898,28159,21984,14530,10029,4806,1406,103720
CED130,1006,812,751,565,241,59,4405,38,306,444,460,426,424,121,18,2233,674,3248,2857,2494,1994,1685,683,190,13818,285,1252,1691,2040,2074,1529,693,170,9732,2336,4871,4552,4477,4530,3009,1293,279,25338,425,416,281,310,359,221,90,8,2118,162,240,270,480,594,581,288,68,2682,2926,5526,5102,5267,5485,3810,1667,359,30140,56,93,85,84,123,148,103,31,730,2389,1904,1786,1931,2104,2153,1884,930,15089,6399,13259,12974,13088,12957,10321,5395,1754,76143
