CED_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
CED131,35,61,159,196,259,521,863,889,771,3756,4,16,63,100,102,131,105,102,91,710,535,827,1309,989,892,916,971,1067,1000,8516,4503,13864,26140,21599,20391,18798,14699,8516,4256,132773
CED132,7,3,41,59,75,154,344,421,327,1435,0,4,67,71,70,80,120,120,105,634,204,275,1211,1200,794,701,800,784,795,6764,2616,8283,26374,28303,22501,17796,14489,8554,4007,132915
CED133,57,42,177,267,431,871,1624,1627,1068,6171,10,16,53,62,64,83,87,50,58,497,680,775,1846,1760,1650,1855,1831,1354,843,12583,4345,7829,17111,18281,21348,25616,24437,12688,4827,136487
CED134,80,66,204,265,513,1199,2046,1587,790,6754,7,13,43,39,70,87,139,115,41,549,1067,1141,2574,2351,2357,2598,2252,1647,863,16834,4489,8452,20840,17710,18690,21307,17335,10112,3770,122712
CED135,18,47,316,427,627,862,1255,1002,513,5064,9,74,410,423,371,557,580,447,220,3088,589,1189,3289,2507,1449,1350,1098,864,643,12975,3962,14711,41208,35840,21764,18921,13228,7112,2889,159634
CED136,73,71,223,234,437,923,1655,1223,700,5538,5,18,57,52,75,89,80,50,39,478,398,433,1035,882,839,887,1132,1142,617,7363,4840,9863,22490,20841,20912,21113,19538,11262,3570,134429
CED137,9,32,178,194,288,540,1095,1462,943,4738,5,85,416,244,207,311,382,433,347,2420,308,1112,3155,1930,1094,907,934,814,776,11028,3303,16795,44790,31354,22938,20412,14908,8442,4089,167040
CED138,30,26,133,181,245,566,1145,1342,928,4587,8,6,31,37,42,68,61,58,50,372,554,594,1544,1655,1593,1658,1653,1395,1162,11814,3669,7007,17200,20336,21650,24067,23340,13238,5740,136246
CED139,73,67,229,325,438,900,1690,1447,942,6112,6,18,114,122,100,112,107,82,46,704,710,843,1612,1513,1476,1546,1498,1227,703,11133,5200,10140,19659,18147,18854,20592,18135,10812,4424,125951
CED140,30,31,89,116,226,517,899,902,592,3396,9,18,39,44,59,78,63,65,48,431,297,346,838,818,849,916,1120,1180,970,7337,3595,7727,15589,18439,19934,20541,18461,11699,4888,120869
CED141,50,44,138,161,267,630,1177,1075,711,4249,12,6,29,34,51,68,63,63,45,362,292,312,705,681,663,712,881,989,562,5786,3889,8017,16463,17927,19195,19507,17717,11461,4234,118415
CED142,10,44,218,187,210,394,574,476,226,2352,5,77,367,233,135,179,191,148,124,1453,481,2269,5797,3284,2079,1654,1266,863,428,18129,3296,21782,67109,38905,22589,17446,11628,5557,1842,190150
CED143,9,10,36,53,61,144,265,363,297,1233,0,3,33,45,56,44,56,65,62,369,182,198,708,697,601,465,443,516,493,4302,2761,7397,19639,21740,22484,17506,12488,8260,3556,115825
CED144,18,45,365,518,867,1366,2147,2104,1013,8448,11,61,423,371,532,857,1056,928,561,4803,580,913,2381,1895,1484,1282,1042,859,717,11148,4597,12795,29393,25568,22350,20094,14009,8375,3985,141169
CED145,5,11,54,56,47,90,191,339,287,1077,0,10,49,28,32,41,46,65,54,322,255,362,1713,1137,790,630,649,883,1093,7502,2038,7021,28717,22396,18701,14486,11845,7792,3779,116766
CED146,42,65,350,709,1044,1717,2132,1421,566,8047,24,78,327,508,807,1344,1077,660,323,5154,743,668,1559,1677,1304,1218,908,748,529,9362,6305,13801,26904,28629,25132,21990,13605,6374,2292,145031
CED147,52,40,148,221,326,858,1747,1455,786,5639,7,14,43,64,95,113,192,205,133,869,398,394,875,885,845,827,982,1182,914,7289,4594,9345,19586,19962,21042,21100,18857,12048,4460,130988
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,8,3,0,0,32
CED201,30,33,123,169,292,533,979,1297,768,4223,11,14,79,116,120,208,220,180,117,1060,246,294,736,710,568,572,661,721,599,5102,3413,9621,20159,22261,21467,20320,15650,8801,3571,125265
CED202,87,110,219,239,318,566,1204,1419,896,5061,8,26,57,47,74,67,77,41,33,424,479,524,1066,973,1106,1015,1140,1005,649,7956,3716,8689,18847,18558,19548,19135,16777,8813,3516,117613
CED203,82,78,264,311,375,644,1343,1594,959,5642,8,37,118,133,157,138,101,58,31,780,464,458,1185,1066,1167,1202,1192,1185,918,8837,3552,8426,18419,18254,19048,19844,17750,9894,4035,119209
CED204,75,119,542,803,789,1099,1727,1855,928,7945,27,135,781,958,871,694,520,442,260,4677,570,729,1926,1544,1251,1132,1003,858,483,9499,4275,12130,26452,25021,22904,21205,15072,8038,3246,138339
CED205,93,194,793,1370,1522,1812,2142,1598,507,10029,28,113,433,653,814,1169,939,685,284,5121,647,785,2113,1822,1241,1023,731,462,194,9021,4864,13232,32172,29567,21375,17825,10599,4913,1469,136010
CED206,48,47,197,261,322,418,804,1179,617,3895,9,37,107,126,129,77,81,83,48,690,337,310,706,695,822,759,665,689,384,5359,3555,8696,19124,20378,21476,20031,15823,8399,2648,120117
CED207,22,45,121,163,299,461,1202,1836,1212,5357,11,52,190,184,194,255,357,330,263,1835,315,843,1521,962,763,665,720,875,897,7557,4334,15428,26058,24222,23367,19725,16019,12351,6299,147803
CED208,27,40,127,194,308,655,1758,2931,1727,7761,9,43,91,115,170,267,465,748,478,2385,287,503,1365,1055,873,768,710,700,633,6902,2683,9764,29505,24974,21313,16040,10934,7559,4004,126769
CED209,50,34,106,118,160,321,770,1060,737,3363,11,17,50,42,42,44,46,57,29,336,285,394,688,708,676,694,909,911,720,5982,3312,8521,18252,19763,18388,17589,17242,9437,3813,116322
CED210,81,96,276,350,460,729,1497,1851,1128,6468,10,35,150,202,219,190,184,198,130,1319,437,576,1326,1146,1050,939,950,938,585,7951,3526,10313,23658,20435,20154,18729,15406,8991,3754,124965
CED211,28,64,246,301,317,456,805,1286,930,4433,3,30,200,182,199,258,221,152,98,1353,192,248,696,733,631,558,636,822,941,5454,3164,9350,20549,23936,22308,19271,15735,10217,4839,129370
CED212,55,75,175,245,362,511,873,1135,689,4120,17,25,69,60,73,85,87,93,62,566,425,411,1106,1088,1093,871,807,912,734,7460,3510,8522,19990,21720,21839,19137,14746,8565,3566,121600
CED213,66,45,147,163,263,396,1038,1567,974,4661,8,10,33,50,55,85,84,98,62,480,397,346,756,917,1131,1073,1290,1351,980,8229,3404,6997,13855,15846,19778,20390,20862,13892,5439,120467
CED214,51,93,395,675,1036,1594,2498,2529,1211,10078,16,69,435,503,740,1085,985,730,507,5066,509,903,2696,1862,1387,1229,1140,990,751,11469,3369,12291,35068,27354,21668,18152,13525,7501,3387,142323
CED215,39,54,159,267,343,625,1351,1540,863,5238,7,44,140,183,227,268,364,397,240,1876,456,593,1780,1716,1015,735,655,504,344,7799,3485,9753,28571,36170,24029,16945,11611,6008,2513,139095
CED216,111,74,274,296,423,854,1630,1986,1020,6671,3,24,56,76,71,90,86,91,48,544,606,646,1461,1553,1447,1661,1828,1464,999,11669,3693,7504,17427,16917,18387,22246,21351,11457,3991,122970
CED217,21,16,33,57,91,160,461,790,694,2326,4,16,50,52,73,81,96,123,88,584,218,215,592,649,672,497,625,674,618,4766,3176,8214,14827,19367,23838,19743,15306,9318,4733,118528
CED218,44,59,333,566,745,1325,2490,1904,646,8113,11,41,268,368,518,692,673,477,222,3277,503,619,1682,1439,1099,819,738,488,214,7599,4305,11450,26046,28142,23573,18484,13076,5905,1863,132851
CED219,81,105,343,382,442,680,1421,1228,559,5237,10,35,152,199,221,195,190,166,52,1227,511,526,1469,1338,1066,863,795,576,218,7353,4052,9756,24902,24361,20467,16996,13203,5857,1888,121479
CED220,17,19,60,63,91,172,442,963,646,2475,0,19,76,58,57,87,90,207,125,726,188,436,1487,898,727,607,700,717,587,6343,2498,11481,31306,22129,19241,16116,12844,8451,3873,127932
CED221,87,108,565,797,772,872,1169,1015,455,5845,18,112,623,820,810,604,409,196,81,3666,478,628,1722,1473,1011,819,602,409,209,7345,4364,12438,30513,31195,21875,16361,10206,4774,1589,133319
CED222,52,79,381,630,877,1471,2331,3064,1673,10565,28,164,539,591,759,1204,1073,910,487,5754,397,838,2090,1264,992,911,874,842,636,8841,4036,15281,34330,27854,23785,20335,16090,10443,4897,157056
CED223,70,61,172,221,293,612,1303,1729,1113,5561,10,14,62,51,86,101,102,65,51,546,644,691,1254,1322,1480,1632,1606,1320,740,10693,3889,7708,17020,17927,20328,23000,20795,11232,4207,126104
CED224,35,39,188,317,376,610,981,1415,989,4959,9,32,216,269,293,322,306,237,159,1843,218,244,830,821,648,604,715,779,559,5423,3128,8438,19625,23717,23264,18787,14199,8688,4096,123946
CED225,35,32,94,116,174,327,863,1540,1126,4308,10,28,84,108,117,180,163,147,155,999,220,287,695,686,624,584,696,634,426,4843,3057,8849,18987,22204,21912,19321,16033,9181,3928,123464
CED226,22,21,35,71,116,163,450,849,747,2465,0,20,62,58,101,130,134,147,149,807,246,302,710,602,644,523,552,573,478,4631,3548,11839,20656,19730,22653,19665,15300,9373,4930,127689
CED227,65,58,261,311,317,522,862,1006,481,3888,8,30,165,171,165,153,118,93,40,942,446,473,1269,1114,926,725,656,606,348,6558,3956,10016,25979,26611,20782,15388,11140,6241,2076,122183
CED228,81,126,436,500,576,867,1214,1115,484,5396,16,91,359,441,492,445,312,209,109,2471,629,880,2537,2133,1158,819,713,518,310,9700,4391,13077,35890,36369,21262,16622,10884,4775,1596,144865
CED229,21,23,104,103,123,190,404,678,448,2100,5,26,129,90,53,73,91,140,103,699,274,788,2583,1826,1293,1100,985,827,702,10367,2231,11472,40469,28340,21248,17046,12993,6779,2878,143447
CED230,103,118,386,452,621,1111,2100,2709,1751,9348,13,64,205,186,231,219,164,158,77,1321,714,640,1603,1592,1705,2024,2153,1762,1116,13317,3824,8244,19588,17844,20333,24196,21303,12550,5414,133295
CED231,21,26,133,182,248,534,1511,2495,1375,6521,3,18,104,91,155,208,336,529,331,1784,236,410,1203,944,826,672,688,702,403,6078,2838,9538,23780,22424,20754,17094,13675,8660,3739,122498
CED232,43,41,139,191,250,426,913,987,482,3477,11,12,71,83,82,74,101,85,34,542,451,304,872,922,853,769,657,497,248,5576,3715,8430,20359,23882,21414,17208,12783,6049,1749,115596
CED233,22,44,227,196,285,402,555,741,547,3015,13,87,333,186,192,253,222,229,185,1693,593,2065,4998,2686,1666,1402,1041,658,335,15437,5466,28115,67205,31649,18489,14668,10363,5270,2136,183365
CED234,17,40,102,148,245,482,1286,2251,1550,6119,8,32,147,136,139,276,323,390,317,1769,224,328,813,778,721,633,701,891,741,5835,3325,10705,20569,23230,23302,20933,16483,12391,5737,136666
CED235,87,55,209,243,327,652,1365,1783,1141,5847,9,23,50,44,80,85,74,108,66,542,427,362,1020,1132,1130,1339,1466,1193,607,8686,3124,6392,15556,15752,17638,20986,20401,10928,3948,114718
CED236,97,88,381,455,531,963,1926,2203,1245,7887,14,38,155,203,230,199,154,162,87,1241,623,650,1584,1421,1558,1675,1653,1527,1015,11699,3841,8428,18570,17564,20021,21624,18932,11224,4434,124649
CED237,36,51,270,474,651,1245,2842,2738,1168,9472,9,57,205,279,363,564,716,739,438,3360,391,609,1400,1218,902,809,782,745,555,7407,3677,11302,26382,26396,20908,18249,13535,7393,2925,130764
CED238,82,67,229,269,347,682,1525,2065,1366,6632,0,22,90,75,78,105,80,60,37,546,571,498,1199,1198,1384,1455,1575,1298,800,9977,3502,7209,17023,16819,19764,22855,20414,10972,4524,123083
CED239,17,29,117,219,311,653,1523,2734,1936,7543,5,37,111,121,182,303,453,694,474,2374,260,531,1645,1129,797,661,666,655,650,7000,2543,11514,33742,25952,18876,14510,9749,7036,4439,128365
CED297,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,38,98,129,108,13,0,0,389,0,4,52,140,182,158,16,0,0,565
CED301,85,65,205,354,458,772,1738,2205,913,6792,11,27,92,92,161,163,135,80,40,807,719,834,1751,1559,1278,1088,1011,874,534,9640,5665,12108,27628,25512,23031,20541,15367,8019,2580,140457
CED302,25,25,67,107,207,349,924,1504,880,4091,8,25,87,70,110,102,109,107,71,680,263,357,759,721,659,547,520,623,517,4956,4067,9780,20064,24263,22760,17949,13598,8054,3319,123859
CED303,41,17,98,148,220,380,1147,1620,811,4473,3,13,28,45,64,57,54,58,23,345,250,257,599,624,680,663,819,823,770,5480,4323,8103,16028,19398,21508,21341,18584,10336,3813,123437
CED304,24,35,93,99,136,177,366,626,410,1959,0,25,121,73,81,57,55,63,57,527,350,1148,3117,2034,1530,1257,800,594,354,11184,4653,19048,43418,29116,24340,18090,11488,5879,2293,158315
CED305,46,41,153,230,395,710,1692,2334,997,6602,3,14,68,64,76,91,65,63,42,499,791,1492,4033,3778,3826,3251,1802,1102,545,20622,4574,9733,23363,23005,22938,22784,16587,8390,2847,134213
CED306,34,58,139,240,321,668,1550,2182,1020,6202,12,21,62,56,80,80,80,73,42,501,649,909,2178,1787,1761,1940,1702,1144,575,12640,4278,9752,21535,20695,21531,22517,18166,9054,2978,130516
CED307,24,24,96,126,191,301,838,1336,557,3483,14,9,46,63,78,79,69,36,23,417,273,288,643,610,608,424,472,429,283,4034,4456,9153,18743,21949,23090,18383,13981,6978,2044,118768
CED308,66,51,137,222,280,515,1056,1276,604,4200,11,21,92,108,88,95,108,92,53,659,615,745,1770,1420,1356,1041,1174,1128,627,9888,5207,12007,25754,25342,25526,22381,19518,11475,3556,150765
CED309,41,28,62,112,173,349,819,1383,838,3793,5,15,42,41,63,51,48,42,27,342,388,495,1071,1166,1053,1067,1160,1199,864,8461,4034,8172,18197,21338,22821,22601,20919,12154,4491,134735
CED310,47,23,86,120,206,344,988,1715,977,4505,12,16,35,41,52,52,53,49,32,334,479,503,1158,1065,1040,1061,1175,1134,768,8369,4751,9222,19468,20648,22322,22057,20840,12944,4710,136952
CED311,51,43,161,255,427,883,2029,2198,783,6829,8,26,45,44,55,77,86,68,31,441,757,906,2354,2544,2643,2618,2005,1105,404,15330,4344,8406,20033,21113,22363,23475,17944,7983,2051,127702
CED312,68,53,273,346,479,632,1347,1384,602,5180,14,32,161,235,260,213,185,108,41,1251,775,942,2094,1689,1375,1027,967,912,505,10288,5645,12932,28382,26310,23685,19537,15515,8301,2614,142918
CED313,14,20,81,104,156,250,546,862,634,2667,4,16,94,80,61,78,94,103,90,620,465,955,2155,1409,1136,916,844,686,465,9027,4701,16952,36907,28402,23484,16940,10999,5807,2736,146928
CED314,81,119,208,334,420,582,1442,2357,1281,6825,29,77,242,241,180,176,146,69,44,1196,464,583,1156,990,982,1001,942,942,608,7675,4531,10091,20622,19108,19117,18353,15996,10001,3999,121814
CED315,82,57,152,226,323,641,1134,1473,670,4751,13,18,92,97,115,127,89,75,31,666,812,1360,2038,1592,1428,1269,1124,800,452,10879,5750,12883,23985,21103,20418,18948,14584,7300,2361,127325
CED316,67,56,164,245,438,800,2424,3119,1500,8819,7,28,78,67,88,107,94,129,55,654,423,425,1005,906,1125,1349,1776,1710,798,9524,3816,6952,14962,15445,18359,23040,26372,15882,4807,129634
CED317,123,87,293,310,519,1016,2306,2607,1134,8393,21,25,123,61,127,171,173,136,91,930,1088,1182,2882,2639,2907,2984,2860,1543,645,18734,5160,9385,22309,21177,23481,26966,24557,11281,3270,147592
CED318,91,67,200,333,378,733,1212,1171,585,4761,15,23,104,163,194,170,166,121,34,1000,904,1404,3639,2714,2787,2887,2586,1358,460,18741,4977,10258,25001,24558,26097,25325,20128,8948,2547,147843
CED319,39,28,95,129,240,400,917,1596,1092,4532,5,14,68,116,107,119,88,91,67,668,263,470,1191,944,798,661,705,785,816,6646,3501,10297,25660,24396,21213,17006,13002,8355,4262,127681
CED320,74,59,226,279,460,698,1827,2224,873,6729,11,22,122,102,101,94,77,79,41,651,566,639,1426,1242,1119,943,1228,1053,642,8858,5256,10859,23553,22100,22722,21696,20965,11653,3422,142233
CED321,60,50,166,245,498,1026,2493,2866,1216,8621,10,20,53,42,50,93,143,122,58,582,752,833,2093,1833,2137,2360,2121,1516,683,14332,4092,7790,17656,16988,19930,22955,21275,11009,3485,125186
CED322,23,16,72,112,179,343,661,979,652,3034,6,14,43,53,55,48,70,55,60,395,356,507,1290,1125,1047,914,1052,1197,1071,8570,4053,9387,20674,22539,22122,19249,17294,10184,4330,129834
CED323,30,41,135,168,243,449,881,1221,644,3812,5,21,88,79,80,91,106,87,79,639,572,1099,2831,1994,1794,1968,1918,1609,1026,14819,4363,13086,29484,24049,23931,22809,20521,12731,4523,155498
CED324,36,34,178,239,393,482,867,1244,757,4230,7,41,222,278,287,321,248,153,135,1691,281,596,1399,1004,738,622,600,510,378,6133,4041,13015,28244,25556,20487,16795,12893,7314,3141,131483
CED325,109,80,304,558,679,896,1115,1126,503,5365,22,63,272,313,474,567,394,179,126,2411,521,614,1590,1406,1040,823,628,498,283,7404,5399,12011,27661,28070,23522,18732,12756,6413,2161,136721
CED326,50,40,143,207,329,524,1371,1936,967,5563,5,29,81,94,106,154,122,83,55,714,343,443,1068,1083,919,789,871,976,876,7364,4683,10048,22740,26082,23735,20115,17943,10846,4345,140536
CED327,60,82,514,637,685,862,1389,1273,529,6040,12,78,512,563,546,464,337,219,82,2810,797,798,1931,1763,1289,925,840,620,354,9317,5693,11909,26312,27772,22399,18720,14264,6512,2025,135602
CED328,26,11,48,59,91,119,291,528,459,1630,4,19,45,50,53,50,45,35,22,323,267,496,746,531,434,359,460,551,528,4378,6186,14243,20066,22853,22296,15699,12834,7773,3154,125091
CED329,57,55,120,195,338,688,1782,2175,1069,6472,6,12,28,35,59,61,83,67,32,390,521,417,1088,1218,1338,1523,1631,1323,732,9789,3817,6242,13236,15839,20311,24516,24723,13081,3952,125715
CED330,61,44,161,237,382,677,1646,1792,724,5727,5,19,108,98,110,113,114,75,34,684,659,554,1264,1349,1348,1136,1032,817,430,8586,5356,9571,20782,23538,25050,22664,17512,8371,2367,135216
CED397,0,0,0,3,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,10,8,57,76,45,16,6,0,0,219,9,12,92,111,79,34,14,0,0,348
CED401,35,61,258,397,479,718,1291,1798,1555,6587,16,69,291,373,429,469,433,410,327,2814,432,868,1959,1519,1250,1101,1008,778,568,9471,4634,17565,37423,28718,23608,21516,17044,9357,5056,164922
CED402,50,45,229,318,377,768,2131,2688,1628,8248,13,30,94,138,166,148,111,121,69,889,564,527,1224,1268,1530,1621,1664,1348,707,10457,3883,8202,18578,19045,22088,24610,22118,12134,4649,135310
CED403,36,26,105,156,209,369,806,1332,1192,4234,3,14,64,89,94,186,157,145,106,848,206,336,736,629,611,675,799,796,572,5358,3688,11090,22785,22608,21726,21346,19563,11945,6216,140961
CED404,68,76,252,291,426,903,2043,2599,1380,8040,7,10,70,59,71,81,94,84,47,529,673,786,2109,1975,2296,2468,2150,1595,679,14722,3902,8580,20903,19762,23150,27417,23570,12670,4289,144236
CED405,33,37,127,218,320,598,1557,2415,1664,6975,4,18,81,108,191,233,254,329,297,1514,233,378,885,779,729,782,759,794,498,5830,3394,10375,23583,22172,22182,22657,17995,11034,5468,138865
