CED_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
CED231,34331,94181,6423,12908,8451,20084,14873,32995,3905,6775,3399,5470,4621,7419,1474,2780,26,48,13417,22489,0,0,0,0,4,3,170,348,173,349,51,98,62849,150116,6500,..,69348,150116
CED232,51401,150239,2467,4622,701,1599,3167,6223,168,299,80,148,0,0,0,0,29,62,276,504,53,95,24,35,7,13,4,13,89,155,48,118,54983,157238,3429,..,58414,157238
CED233,5761,14745,10858,24285,10516,25354,21371,49642,4929,8432,7878,13057,15835,26344,42369,74025,41,94,71058,121948,0,0,9,9,162,162,509,1043,679,1213,306,464,99177,188008,26755,..,125931,188008
CED234,44887,127635,5688,11766,5950,16147,11640,27913,1899,3866,974,1733,2213,3939,2277,4162,33,94,7407,13793,12,18,3,7,0,0,20,43,33,70,58,138,64023,169552,6007,..,70031,169552
CED235,55829,134023,2936,4122,470,938,3408,5067,1250,1785,34,37,12,16,0,6,21,22,1321,1872,184,235,527,744,18,23,64,128,785,1121,93,178,61436,142264,17666,..,79096,142264
CED236,57366,143340,5097,7826,192,366,5295,8194,136,202,21,19,4,3,0,0,22,48,180,271,551,798,640,943,87,114,316,512,1587,2372,126,272,64554,154444,7160,..,71717,154444
CED237,49527,146996,3784,8547,3530,8670,7314,17219,1161,2512,462,691,537,843,0,0,24,58,2189,4102,0,0,0,0,23,24,19,53,39,76,49,78,59114,168472,3001,..,62112,168472
CED238,59126,139850,3567,5225,630,1191,4200,6418,920,1317,83,123,7,14,0,0,22,38,1029,1497,290,474,275,449,54,92,121,270,740,1287,135,281,65229,149332,14113,..,79340,149332
CED239,34869,95202,7224,14322,10824,25481,18049,39804,4617,7765,1705,2848,4503,7125,687,1066,45,122,11562,18929,0,0,0,0,89,91,291,662,381,755,82,195,64941,154886,7058,..,71999,154886
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
CED301,62434,171990,3329,5822,2112,4324,5438,10146,1011,1558,118,171,95,132,48,64,63,113,1331,2036,247,436,124,195,108,140,45,114,523,881,149,271,69873,185327,5228,..,75106,185327
CED302,46256,133188,1851,3036,6279,14253,8131,17289,1590,2304,1416,2474,1581,2817,326,630,87,182,4997,8412,180,242,507,737,27,75,8,18,718,1073,112,189,60211,160159,3281,..,63494,160159
CED303,50612,138319,3583,5615,3383,6589,6964,12202,1624,2597,385,648,643,1128,0,0,90,193,2737,4567,184,287,56,87,60,83,18,22,312,477,89,166,60718,155735,4444,..,65165,155735
CED304,27620,78827,332,572,4829,9998,5165,10575,7478,12328,11144,18989,13419,23529,17021,29146,543,942,49600,84939,21,41,11,6,109,115,68,138,204,301,348,547,82941,175178,10333,..,93271,175178
CED305,52261,135388,3107,5340,1311,2218,4424,7560,2118,3369,141,236,163,285,130,225,44,87,2593,4201,1352,2663,312,460,150,233,39,75,1853,3428,581,1101,61702,151682,9609,..,71315,151682
CED306,50841,132322,4173,6822,2205,3919,6375,10740,2394,4036,625,1110,260,460,326,599,27,65,3638,6279,1816,3385,724,1271,113,199,70,159,2723,5013,936,1793,64513,156148,7714,..,72224,156148
CED307,48310,140268,2813,4544,4773,10048,7584,14597,580,986,126,200,10,21,0,6,148,313,868,1523,122,170,96,129,10,12,7,17,231,332,51,122,57043,156835,2383,..,59430,156835
CED308,45841,133779,7720,15485,10084,22968,17803,38448,1499,2528,3276,5674,2257,4062,2250,4397,93,208,9377,16871,433,722,267,443,22,38,40,71,760,1271,261,523,74043,190888,5077,..,79122,190888
CED309,47511,129176,4269,7401,5495,11092,9763,18492,3582,6164,1400,2527,2284,4326,1033,1852,259,507,8556,15382,947,1772,153,239,143,173,17,32,1261,2209,381,761,67460,166023,5457,..,72919,166023
CED310,49102,133806,5048,8381,2789,5802,7839,14183,2421,4210,1862,3287,3946,7138,1199,2126,165,288,9594,17050,438,748,355,618,138,191,47,103,970,1666,252,484,67761,167198,7654,..,75417,167198
CED311,55295,141808,1529,2717,1200,2139,2729,4857,2295,3695,263,385,276,421,112,162,35,83,2981,4740,1922,3443,487,791,227,337,63,142,2692,4716,682,1220,64380,157343,11222,..,75602,157343
CED312,56475,166562,4311,8407,4745,10644,9059,19054,1804,3158,199,283,113,201,0,10,137,309,2252,3949,171,255,236,308,85,108,10,21,513,691,131,266,68429,190520,3404,..,71838,190520
CED313,31515,90672,600,1071,7674,16454,8275,17524,6756,11338,9172,16161,8197,15145,10510,18989,57,120,34683,61745,0,0,34,60,20,21,43,83,98,162,224,399,74799,170511,7611,..,82409,170511
CED314,50844,133904,6990,11672,1844,3367,8834,15033,2333,3990,66,84,50,69,102,155,21,37,2569,4338,171,278,107,170,104,148,27,60,412,656,130,257,62785,154198,5111,..,67900,154198
CED315,49727,133381,4781,7659,3396,5800,8171,13455,1934,3069,1329,2147,1146,2022,743,1241,29,57,5174,8541,412,786,233,415,63,82,39,69,747,1360,306,513,64129,157250,6689,..,70822,157250
CED316,54315,134230,4087,6384,1887,3184,5973,9565,2640,4082,200,331,531,915,10,17,23,46,3400,5390,2000,3552,328,531,122,204,73,138,2523,4426,667,1278,66878,154888,6450,..,73327,154888
CED317,57881,149874,2967,5480,699,1261,3669,6743,2438,4265,81,149,29,53,0,4,62,89,2616,4578,5088,9858,556,917,659,1113,176,352,6482,12245,1402,2833,72040,176264,10019,..,82065,176264
CED318,46894,128323,4354,8068,3968,7400,8325,15473,6184,11045,3751,6718,1058,1960,516,937,27,92,11542,20755,1804,3639,520,900,668,1287,240,510,3224,6336,1065,1942,71045,172821,8159,..,79205,172821
CED319,43509,117564,1941,3138,6897,14151,8833,17288,4816,8075,4096,6931,2328,4059,1684,2772,60,127,12982,21961,0,3,130,143,23,28,46,84,200,254,91,167,65621,157233,3900,..,69523,157233
CED320,57501,159498,5341,9718,3799,7532,9138,17256,796,1290,306,422,211,354,0,0,263,510,1568,2577,476,729,527,736,40,60,37,79,1077,1607,142,275,69427,181221,4629,..,74052,181221
CED321,56581,136927,2971,4626,332,621,3297,5245,1225,1830,0,4,3,3,0,3,17,35,1243,1868,1850,3515,366,603,277,501,123,249,2613,4862,836,1590,64572,150495,10843,..,75410,150495
CED322,34436,99853,3784,7535,11385,26820,15171,34361,2789,4653,4893,8839,2850,5309,2912,5212,115,229,13557,24252,329,645,50,82,58,70,29,64,460,859,139,237,63764,159563,6411,..,70168,159563
CED323,30574,86606,4427,8357,9808,21660,14237,30017,5220,9621,7654,13607,5935,10776,13631,24564,57,140,32502,58709,509,734,175,240,100,103,89,192,873,1268,422,732,78611,177338,14191,..,92799,177338
CED324,44378,129516,1236,2535,7885,19056,9122,21596,3761,6335,2492,4348,1189,2093,208,399,106,228,7757,13393,43,54,76,95,3,4,37,88,154,240,122,211,61537,164958,3858,..,65396,164958
CED325,53692,161118,2127,3802,6019,14200,8146,18000,443,642,219,345,51,84,4,0,123,290,840,1357,162,204,63,94,12,11,9,13,246,325,92,212,63018,181007,3327,..,66349,181007
CED326,53637,148412,3831,6105,6865,15310,10695,21416,2912,4385,939,1444,1622,2569,929,1690,87,173,6484,10264,267,388,403,572,69,70,26,54,766,1088,111,196,71696,181370,4064,..,75761,181370
CED327,50672,156680,2312,4658,8553,20108,10863,24759,897,1650,280,463,30,54,75,122,70,149,1352,2440,95,131,56,72,28,26,7,15,184,248,100,205,63170,184325,3386,..,66553,184325
CED328,41248,120483,742,1136,2612,5746,3351,6881,3612,6598,5773,10910,3552,7019,2260,4194,70,150,15271,28876,0,5,0,0,4,10,9,21,15,34,172,335,60055,156611,4032,..,64086,156611
CED329,54057,133370,2398,3585,2387,4337,4780,7920,2151,3402,573,1041,227,448,10,17,86,177,3042,5083,741,1352,230,348,315,515,42,90,1334,2302,511,901,63721,149583,9461,..,73185,149583
CED330,58403,170369,1736,3174,713,1537,2453,4711,246,544,9,13,7,17,3,11,199,443,464,1025,270,416,125,225,77,166,79,196,553,1006,192,372,62061,177482,4453,..,66510,177482
CED397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,8,9,5,12,0,..,5,12
CED401,44840,119835,12509,24555,7475,15898,19987,40459,7191,12979,2022,3320,3546,5895,3506,5870,102,243,16369,28314,27,63,6,6,86,89,195,424,317,584,392,718,81907,189905,8155,..,90065,189905
CED402,63543,151571,5174,8639,126,245,5300,8882,1547,2145,0,0,20,32,3,11,10,18,1579,2207,566,1047,358,604,83,137,142,346,1157,2136,432,791,72007,165576,13760,..,85762,165576
CED403,47408,123271,12885,23551,3589,7798,16471,31354,6794,10849,832,1317,669,1125,303,479,36,69,8634,13844,64,143,38,72,11,13,106,200,221,431,194,337,72925,169233,5791,..,78714,169233
CED404,62374,145066,7548,13944,261,544,7819,14484,1664,2268,59,80,0,5,5,3,60,137,1783,2488,1565,2970,492,850,257,423,140,322,2454,4562,853,1487,75285,168092,20755,..,96037,168092
CED405,48820,124547,10340,19092,5183,11375,15524,30469,5606,9019,824,1300,895,1469,108,199,74,160,7515,12140,129,236,68,84,13,16,88,199,301,535,196,384,72357,168072,5584,..,77943,168072
CED406,59056,149812,4795,7317,1002,2023,5793,9344,1090,1686,54,71,47,76,0,0,50,112,1236,1950,147,214,178,253,16,23,5,13,350,497,70,149,66507,161753,3440,..,69941,161753
CED407,57194,153600,4828,7972,1565,3470,6400,11441,1678,2612,380,697,334,572,0,0,46,123,2430,4007,12,29,0,0,0,0,11,29,27,59,110,203,66160,169307,3101,..,69265,169307
