CED_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
CED325,2887,20040,25192,8102,3792,60010,3011,63018
CED326,4123,25993,26495,8023,3937,68568,3130,71696
CED327,3072,19606,23652,8454,4320,59108,4062,63170
CED328,3775,21807,23038,6624,3241,58477,1575,60055
CED329,2938,21559,22235,8125,4872,59729,3992,63721
CED330,1154,13734,23230,11312,9124,58557,3506,62061
CED397,4,0,0,0,0,7,4,5
CED401,9988,32834,25203,7074,3414,78522,3384,81907
CED402,3353,22013,24685,10391,7017,67464,4546,72007
CED403,5774,27820,25968,7521,3774,70861,2061,72925
CED404,4845,24665,24361,9549,6128,69552,5736,75285
CED405,5855,26991,25292,7681,3980,69793,2562,72357
CED406,3491,22768,25278,8339,4379,64254,2244,66507
CED407,3559,22664,24821,8575,4635,64257,1905,66160
CED408,2077,21163,26778,10138,6542,66696,2755,69458
CED409,5802,24612,23612,8266,4765,67054,3936,70987
CED410,5648,28639,27123,7840,4123,73370,2202,75578
CED497,0,0,0,0,0,0,0,0
CED501,2759,22211,25648,8641,4393,63659,3101,66760
CED502,2963,20949,25235,8635,4767,62560,3382,65938
CED503,2290,19977,22359,8651,5610,58882,2728,61609
CED504,3608,23162,25581,8782,4880,66008,3208,69220
CED505,3817,25595,26276,7227,3434,66344,2444,68794
CED506,5046,28084,25643,9949,6257,74975,10926,85894
CED507,2096,19621,23678,8618,4622,58638,3517,62155
CED508,3406,22666,25693,7752,3964,63471,2815,66286
CED509,2008,17404,24939,9651,6270,60271,2747,63019
CED510,1507,16251,26645,9109,5051,58567,1547,60114
CED511,3237,21256,23888,9880,6751,65005,7010,72020
CED512,1781,18887,25638,8826,4792,59922,2180,62103
CED513,7835,36274,24952,5774,2726,77567,4454,82014
CED514,5012,29947,27088,8015,3956,74010,4034,78038
CED515,2306,19732,27880,9233,4965,64115,1671,65791
CED597,11,0,0,0,0,13,0,13
CED601,2813,15667,15217,5972,3622,43289,2391,45682
CED602,2687,16155,15796,6135,3641,44416,2577,46989
CED603,4128,17591,14246,4843,2725,43532,1896,45425
CED604,1995,14279,16530,6089,3793,42683,1651,44337
CED605,1810,13820,16205,7397,5102,44334,2664,46998
CED697,0,0,0,0,0,0,0,0
CED701,5971,14742,10772,3950,2584,38017,5233,43257
CED702,2738,14537,14918,4715,2161,39068,3713,42780
CED797,7,0,0,0,0,7,3,7
CED801,2413,20321,23019,7261,3872,56890,1990,58876
CED802,4671,26002,18936,4763,2219,56592,2682,59269
CED803,2498,20443,23353,6460,3285,56039,1926,57967
CED897,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0
