SOSR_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_mo_con_0_14,M_1_mo_con_15_24,M_1_mo_con_25_34,M_1_mo_con_35_44,M_1_mo_con_45_54,M_1_mo_con_55_64,M_1_mo_con_65_74,M_1_mo_con_75_84,M_1_mo_con_85_over,M_1_mo_con_Tot,M_2_mo_con_0_14,M_2_mo_con_15_24,M_2_mo_con_25_34,M_2_mo_con_35_44,M_2_mo_con_45_54,M_2_mo_con_55_64,M_2_mo_con_65_74,M_2_mo_con_75_84,M_2_mo_con_85_over,M_2_mo_con_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_OM_Lterm_Health_Tot_0_14,M_OM_Lterm_Health_Tot_15_24,M_OM_Lterm_Health_Tot_25_34,M_OM_Lterm_Health_Tot_35_44,M_OM_Lterm_Health_Tot_45_54,M_OM_Lterm_Health_Tot_55_64,M_OM_Lterm_Health_Tot_65_74,M_OM_Lterm_Health_Tot_75_84,M_OM_Lterm_Health_Tot_85_ov,M_OM_Lterm_Health_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_mo_con_0_14,F_1_mo_con_15_24,F_1_mo_con_25_34,F_1_mo_con_35_44,F_1_mo_con_45_54,F_1_mo_con_55_64,F_1_mo_con_65_74,F_1_mo_con_75_84,F_1_mo_con_85_over,F_1_mo_con_Tot,F_2_mo_con_0_14,F_2_mo_con_15_24,F_2_mo_con_25_34,F_2_mo_con_35_44,F_2_mo_con_45_54,F_2_mo_con_55_64,F_2_mo_con_65_74,F_2_mo_con_75_84,F_2_mo_con_85_over,F_2_mo_con_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_OM_Lterm_Health_Tot_0_14,F_OM_Lterm_Health_Tot_15_24,F_OM_Lterm_Health_Tot_25_34,F_OM_Lterm_Health_Tot_35_44,F_OM_Lterm_Health_Tot_45_54,F_OM_Lterm_Health_Tot_55_64,F_OM_Lterm_Health_Tot_65_74,F_OM_Lterm_Health_Tot_75_84,F_OM_Lterm_Health_Tot_85_ov,F_OM_Lterm_Health_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_mo_con_0_14,P_1_mo_con_15_24,P_1_mo_con_25_34,P_1_mo_con_35_44,P_1_mo_con_45_54,P_1_mo_con_55_64,P_1_mo_con_65_74,P_1_mo_con_75_84,P_1_mo_con_85_over,P_1_mo_con_Tot,P_2_mo_con_0_14,P_2_mo_con_15_24,P_2_mo_con_25_34,P_2_mo_con_35_44,P_2_mo_con_45_54,P_2_mo_con_55_64,P_2_mo_con_65_74,P_2_mo_con_75_84,P_2_mo_con_85_over,P_2_mo_con_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_OM_Lterm_Health_Tot_0_14,P_OM_Lterm_Health_Tot_15_24,P_OM_Lterm_Health_Tot_25_34,P_OM_Lterm_Health_Tot_35_44,P_OM_Lterm_Health_Tot_45_54,P_OM_Lterm_Health_Tot_55_64,P_OM_Lterm_Health_Tot_65_74,P_OM_Lterm_Health_Tot_75_84,P_OM_Lterm_Health_Tot_85_ov,P_OM_Lterm_Health_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
SOSR179,0,0,0,4,17,5,0,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,31,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,14,5,0,0,0,26,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0
SOSR201,355176,226280,283025,255978,195128,135795,73292,29807,8206,1562693,35414,37180,49283,51765,53641,57858,51747,30885,10735,378496,1728,3666,6865,8129,11278,17487,22513,17574,7264,96512,101,251,732,1437,3463,7721,12951,13189,6880,46732,37242,41093,56886,61332,68381,83061,87208,61650,24885,521743,29281,21687,28694,23905,20609,15810,10225,6748,3374,160330,421696,289057,368608,341215,284123,234672,170728,98203,36466,2244770,346190,200303,270378,251891,197404,139688,82106,33901,10913,1532774,24170,46857,63730,58661,60424,62563,59709,39080,17682,432881,1280,7663,13010,12436,16389,21986,26460,22051,12660,133950,68,421,1401,2567,5738,10275,14936,15635,11637,62673,25521,54943,78150,73670,82551,94828,101104,76772,41978,629509,27651,18910,25497,22110,19159,15241,11554,8106,5787,154015,399358,274162,374015,347669,299119,249754,194757,118783,58676,2316294,701360,426582,553406,507871,392537,275486,155396,63711,19117,3095467,59583,84040,113010,110428,114062,120423,111448,69967,28419,811384,3011,11333,19883,20570,27665,39475,48978,39629,19930,230467,171,672,2138,4005,9209,17991,27882,28825,18522,109405,62764,96037,135032,135000,150933,177886,188307,138421,66862,1151253,56931,40599,54193,46012,39770,31050,21778,14849,9159,314342
SOSR203,28180,17501,19840,15415,13316,10160,6392,2652,751,114203,4376,4321,5158,4819,4838,5387,5343,3073,1036,38352,330,567,938,978,1337,1995,2622,1904,787,11453,13,49,114,243,525,1125,1776,1630,791,6271,4719,4940,6207,6044,6701,8507,9737,6611,2615,56075,3025,2220,2165,1727,1855,1572,1115,709,379,14769,35919,24658,28213,23187,21872,20240,17240,9973,3745,185044,27735,15375,17793,15371,13412,11109,7253,3183,1129,112355,3235,5800,6993,6025,5787,6158,6276,3932,1905,46117,232,1254,1933,1763,2084,2699,3313,2417,1328,17020,4,94,257,468,988,1705,2186,2006,1381,9088,3472,7143,9177,8255,8855,10568,11774,8358,4617,72222,2912,2008,2012,1765,1708,1464,1221,935,658,14670,34119,24531,28977,25388,23973,23137,20245,12470,6405,199248,55907,32878,37631,30784,26734,21264,13642,5833,1880,226557,7608,10121,12149,10843,10620,11551,11615,7010,2944,84470,560,1817,2869,2738,3417,4698,5927,4323,2116,28471,25,144,368,712,1511,2826,3964,3641,2177,15359,8194,12082,15386,14293,15557,19079,21504,14969,7235,128305,5941,4227,4174,3489,3559,3040,2334,1639,1034,29442
SOSR211,10636,5174,6264,5643,3724,2409,1370,463,97,35782,1394,1029,1427,1534,1391,1349,1291,541,140,10094,116,178,232,330,419,554,717,383,92,3013,8,8,39,89,151,347,553,382,111,1695,1514,1222,1695,1950,1958,2251,2564,1305,345,14803,1405,715,782,726,583,429,277,137,29,5079,13553,7111,8738,8318,6259,5094,4211,1906,470,55665,10792,4286,6262,5320,3333,2456,1505,516,156,34626,1101,1381,1838,1751,1582,1516,1461,681,216,11521,101,301,561,567,658,746,784,473,161,4363,3,12,93,193,329,546,662,378,162,2389,1207,1694,2492,2511,2569,2802,2908,1539,548,18273,1367,636,800,730,531,394,302,160,72,4995,13366,6618,9552,8574,6435,5657,4710,2212,776,57893,21428,9461,12521,10963,7055,4867,2881,977,253,70412,2495,2408,3260,3282,2968,2867,2753,1225,358,21616,216,486,792,899,1074,1295,1502,859,253,7376,15,24,134,281,482,895,1216,763,278,4081,2725,2915,4185,4467,4530,5055,5474,2844,889,33076,2772,1348,1574,1463,1109,824,575,296,104,10071
SOSR212,20567,10886,11993,11019,9865,7742,4705,1744,479,79001,2971,2458,2912,3060,3383,3821,3943,2107,681,25344,208,313,461,579,902,1406,1840,1337,464,7510,3,31,79,120,314,697,1281,1167,509,4205,3183,2808,3453,3762,4599,5920,7066,4614,1649,37057,2392,1475,1464,1460,1431,1222,895,647,372,11368,26141,15171,16910,16244,15895,14883,12667,7010,2505,127421,19880,9604,11541,11139,10082,8235,5310,2068,710,78557,2217,3048,3967,3765,3926,4346,4399,2706,1200,29580,176,636,992,1031,1326,1847,2238,1626,850,10718,4,47,158,300,588,1123,1489,1310,822,5847,2401,3724,5119,5098,5841,7311,8125,5640,2873,46138,2287,1310,1440,1436,1310,1181,1022,799,674,11454,24564,14631,18098,17672,17229,16724,14453,8512,4258,136153,40447,20487,23532,22162,19937,15973,10017,3810,1188,157558,5190,5511,6880,6828,7310,8160,8341,4818,1883,54928,386,943,1454,1611,2226,3252,4076,2966,1312,18222,10,78,240,421,905,1823,2776,2473,1331,10052,5582,6534,8572,8856,10441,13229,15188,10257,4529,83200,4678,2785,2895,2896,2744,2403,1917,1445,1052,22815
SOSR213,18318,9752,10542,9185,8472,7183,4907,2073,576,71008,2821,2331,2707,2848,3182,3888,4084,2511,824,25191,234,356,448,609,886,1461,2032,1600,572,8183,7,19,72,158,343,806,1403,1303,580,4692,3058,2709,3223,3616,4415,6150,7517,5406,1974,38072,2255,1320,1519,1352,1288,1077,882,589,322,10609,23632,13779,15282,14157,14178,14410,13311,8073,2871,119686,18073,8311,9956,9149,8595,7623,5408,2433,834,70375,1976,2945,3780,3593,3736,4297,4549,3243,1453,29575,175,618,1011,1061,1449,1852,2424,1879,970,11443,8,64,137,328,696,1183,1621,1461,984,6487,2162,3626,4931,4979,5883,7333,8595,6583,3415,47498,2116,1130,1224,1213,1131,1037,951,784,567,10153,22345,13070,16105,15339,15604,15992,14955,9797,4817,128028,36387,18065,20498,18334,17067,14806,10319,4506,1412,141388,4802,5276,6483,6441,6918,8182,8633,5755,2281,54766,402,970,1466,1667,2337,3311,4455,3473,1542,19629,14,85,204,485,1043,1990,3024,2760,1561,11174,5221,6329,8150,8599,10293,13484,16116,11993,5386,85575,4369,2453,2741,2564,2419,2117,1831,1370,895,20758
SOSR214,9272,5217,5391,4729,4834,4530,3624,1555,430,39578,1422,1313,1323,1485,1677,2341,3015,1871,608,15053,115,172,271,309,494,985,1480,1196,420,5445,3,8,45,76,209,504,983,1041,434,3297,1541,1494,1640,1868,2377,3828,5482,4107,1465,23798,1194,653,705,698,710,768,695,514,244,6196,12009,7364,7734,7297,7925,9123,9796,6175,2142,69574,9152,4255,4981,4737,4849,4813,4066,1775,645,39265,984,1545,1859,1818,2124,2736,3401,2201,1017,17684,62,320,455,546,801,1227,1671,1363,709,7158,4,16,74,184,380,743,1144,1044,690,4272,1056,1889,2387,2554,3305,4701,6207,4604,2407,29119,1117,577,635,658,657,708,745,617,441,6165,11327,6721,8003,7948,8810,10227,11018,6996,3491,74541,18426,9473,10372,9468,9680,9348,7685,3329,1074,78841,2410,2862,3183,3309,3796,5072,6419,4068,1625,32740,180,497,727,852,1298,2210,3150,2557,1129,12605,9,29,117,261,582,1247,2124,2085,1118,7570,2593,3384,4029,4417,5682,8531,11689,8713,3869,52915,2313,1233,1340,1361,1371,1478,1444,1130,688,12358
SOSR215,16156,7867,8360,7964,8004,7602,5429,2107,586,64073,2313,1818,2168,2359,2807,3763,4414,2470,762,22873,153,231,370,456,771,1350,2148,1551,516,7542,11,20,49,127,286,800,1397,1297,511,4484,2473,2065,2589,2941,3858,5914,7958,5315,1787,34900,1954,1140,1100,1171,1213,1249,1086,655,293,9861,20586,11079,12052,12077,13082,14750,14478,8081,2661,108840,15592,6660,7851,8019,7871,7775,5599,2391,755,62516,1756,2171,2862,2921,3286,4269,4601,2886,1364,26110,138,412,727,850,1126,1815,2302,1722,951,10050,9,37,115,188,520,1097,1567,1327,835,5692,1905,2619,3696,3960,4939,7177,8473,5936,3143,41851,1860,968,1024,1060,1215,1117,1155,776,479,9656,19353,10245,12572,13038,14019,16074,15229,9104,4381,114020,31744,14532,16211,15981,15872,15379,11034,4497,1336,126588,4062,3981,5029,5283,6097,8033,9017,5360,2127,48984,297,644,1097,1305,1897,3160,4458,3274,1467,17588,19,51,165,314,800,1895,2963,2626,1347,10177,4374,4685,6288,6904,8796,13086,16438,11257,4935,76754,3819,2110,2126,2231,2429,2366,2243,1427,769,19517
SOSR221,4238,2090,2044,2154,2273,2418,1684,599,126,17623,632,417,490,636,835,1243,1419,725,174,6571,48,69,57,140,240,448,653,406,129,2191,4,7,13,40,74,253,471,325,116,1306,684,493,563,816,1149,1941,2542,1460,420,10070,465,280,233,299,345,391,378,194,96,2677,5384,2870,2835,3263,3765,4751,4604,2248,640,30362,4197,1719,1938,2120,2266,2357,1665,569,178,16999,436,560,685,717,968,1305,1264,727,302,6971,29,93,179,219,357,547,687,377,184,2687,0,7,21,65,142,330,404,298,167,1430,470,660,888,1004,1467,2185,2352,1403,662,11092,458,246,208,310,297,371,336,201,152,2577,5126,2624,3027,3428,4039,4911,4350,2170,991,30663,8436,3818,3975,4263,4535,4773,3347,1167,299,34612,1074,973,1181,1354,1803,2544,2681,1451,480,13544,78,163,237,358,600,998,1344,788,315,4881,6,18,36,102,218,585,876,618,283,2736,1151,1156,1450,1819,2621,4128,4895,2860,1079,21161,924,523,437,609,644,770,707,393,251,5250
SOSR222,2356,1391,1347,1300,1491,1464,918,324,68,10660,372,270,343,322,497,705,761,362,81,3718,23,38,54,74,133,275,376,173,59,1201,0,3,8,14,46,156,264,138,53,682,391,315,404,413,675,1138,1398,677,192,5604,358,307,251,214,275,322,243,103,32,2103,3105,2016,1999,1924,2445,2933,2557,1105,291,18367,2377,1290,1260,1210,1383,1468,828,298,75,10196,241,387,389,505,529,705,669,360,117,3900,19,84,90,139,184,343,328,195,68,1438,0,9,16,26,82,185,205,130,88,739,263,470,490,671,799,1226,1202,689,278,6084,312,321,204,219,284,300,180,117,50,1987,2953,2076,1962,2104,2466,2992,2207,1101,399,18263,4732,2678,2612,2509,2880,2935,1750,623,137,20854,615,656,730,821,1029,1411,1429,729,202,7621,42,114,143,217,320,612,703,369,125,2646,0,7,20,44,126,344,465,271,146,1425,652,779,892,1083,1471,2369,2600,1364,472,11686,672,633,454,436,557,620,417,218,82,4089
SOSR231,29966,17886,12944,15352,19539,19644,12835,4235,744,133135,3556,3206,2805,3802,5882,8655,9076,4091,847,41913,200,328,355,684,1376,2847,3989,2164,514,12459,8,24,61,136,478,1282,2283,1655,397,6320,3763,3561,3219,4618,7730,12789,15353,7909,1760,60691,3838,2739,2985,3335,3688,3765,2953,1402,335,25051,37569,24185,19148,23309,30959,36189,31145,13546,2832,218878,28778,14924,11907,14896,19021,18367,11072,3347,738,123050,2672,3745,3793,4841,6568,8689,7883,3612,893,42694,150,570,847,1140,2088,3220,3394,1799,589,13789,10,44,149,277,740,1539,1941,1208,424,6329,2834,4359,4786,6258,9389,13451,13221,6619,1899,62806,3612,2235,1772,2293,2912,3110,2397,1173,348,19852,35224,21513,18465,23449,31328,34925,26686,11135,2986,205705,58748,32804,24853,30249,38556,38007,23908,7580,1480,256178,6224,6952,6592,8645,12444,17346,16957,7696,1736,84602,345,901,1197,1823,3457,6068,7385,3963,1100,26249,19,65,206,415,1216,2820,4225,2866,820,12646,6595,7914,7999,10877,17122,26233,28569,14526,3655,123501,7453,4973,4759,5632,6605,6876,5357,2576,679,44913
SOSR279,0,3,10,29,39,27,7,0,0,120,0,0,0,10,9,8,0,0,0,27,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,9,0,0,0,34,0,4,19,90,121,100,13,0,0,338,0,9,30,131,163,141,16,0,0,493,0,0,4,3,4,5,0,0,0,18,0,0,3,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,16,8,13,16,0,0,0,49,0,0,17,14,18,24,0,0,0,72,0,3,10,36,44,36,7,0,0,133,0,0,4,8,8,10,0,0,0,34,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,9,10,15,0,0,0,45,0,4,38,98,129,111,13,0,0,389
SOSR301,187112,116505,124367,114595,92560,61600,33017,12433,2926,745116,20681,22580,26688,27789,29545,29566,26179,14322,4175,201518,1502,2822,4443,5190,7419,10291,12699,8787,3019,56171,79,248,579,1242,2619,5336,8345,7359,2832,28639,22266,25656,31710,34212,39576,45199,47218,30470,10023,286331,16911,12325,14142,12197,10669,7688,4944,2900,1482,83272,226294,154488,170218,161004,142810,114486,85183,45801,14432,1114721,181035,103400,119908,114367,92513,63171,37127,14456,4361,730333,15516,30418,35724,33547,33830,32320,29273,17463,7187,235278,1196,5510,8436,8589,10819,12965,14415,10326,5216,77465,82,447,1268,2277,4849,7473,9688,8522,4949,39551,16788,36374,45420,44410,49500,52754,53375,36312,17355,352293,15912,11215,12517,11034,9430,7166,5302,3692,2894,79160,213736,150982,177846,169808,151446,123094,95806,54462,24608,1161787,368150,219899,244276,228958,185071,124767,70147,26892,7289,1475454,36196,53000,62408,61334,63373,61893,55447,31778,11365,436794,2700,8329,12880,13775,18231,23256,27114,19119,8231,133641,156,699,1837,3515,7470,12808,18034,15887,7785,68188,39054,62030,77134,78623,89079,97956,100601,66781,27382,638622,32827,23540,26654,23232,20102,14856,10247,6590,4377,162427
SOSR302,65160,39513,41133,39884,37374,28152,19262,8270,1855,280613,7301,6927,7614,9004,10573,12235,13978,8708,2511,78846,480,718,1026,1523,2369,3930,5982,5047,1682,22752,25,55,130,330,754,1811,3557,3748,1603,12005,7798,7693,8773,10857,13694,17976,23515,17493,5790,113597,6972,4803,5380,4861,4943,4084,3474,2342,1004,37853,79932,52010,55289,55602,56011,50215,46253,28110,8648,432062,63067,37102,42115,42475,39818,31590,22025,9112,2329,289632,5537,9372,10587,11082,12534,14131,15651,10067,3715,92683,365,1486,2096,2516,3642,4965,6909,5413,2615,30015,24,102,243,606,1281,2439,3824,3861,2447,14814,5929,10958,12926,14209,17451,21535,26381,19339,8777,137515,6338,4767,5417,5078,4904,4543,3834,2726,1702,39300,75335,52835,60461,61758,62169,57674,52238,31178,12814,466452,128223,76622,83249,82362,77190,59741,41288,17385,4184,570249,12837,16299,18204,20090,23106,26368,29627,18772,6222,171531,840,2203,3125,4043,6008,8898,12892,10454,4293,52766,49,150,375,936,2031,4245,7377,7602,4049,26817,13726,18656,21705,25065,31149,39513,49897,36832,14567,251110,13307,9560,10795,9937,9838,8631,7312,5069,2708,77159
SOSR303,34528,21510,21027,17793,16294,12411,7247,2721,593,134126,3817,3803,4301,4548,5435,6270,6027,3156,894,38260,279,484,731,924,1531,2302,2830,1950,612,11643,14,36,111,241,570,1233,1965,1603,576,6345,4112,4315,5140,5710,7539,9804,10818,6716,2078,56239,4186,3833,3961,3246,3083,2502,2005,1069,365,24259,42829,29666,30133,26757,26913,24722,20072,10506,3038,214621,33658,19889,20476,19028,17068,12740,7902,3103,951,134819,2890,5356,6062,5889,6589,6894,6431,3773,1532,45421,172,959,1419,1625,2127,2830,3052,2328,1084,15600,10,73,211,471,972,1704,2126,1793,1015,8369,3072,6395,7697,7982,9689,11425,11620,7895,3628,69392,3972,3014,3378,2876,2689,2401,1817,1101,549,21814,40699,29298,31555,29890,29449,26563,21333,12103,5134,226027,68182,41405,41511,36819,33361,25148,15147,5821,1546,268947,6704,9162,10365,10439,12024,13169,12460,6936,2426,83682,448,1443,2148,2546,3662,5130,5884,4281,1695,27240,29,106,320,711,1537,2937,4093,3394,1588,14712,7182,10709,12839,13699,17226,21230,22434,14606,5708,125638,8157,6853,7337,6124,5777,4909,3819,2173,920,46070
SOSR311,19024,10710,10408,9307,8451,7341,4868,2191,533,72836,2461,2283,2359,2584,3064,3906,4431,2550,728,24363,189,285,436,526,930,1648,2316,1653,555,8549,18,36,70,178,419,981,1719,1659,604,5673,2668,2602,2866,3285,4418,6541,8470,5861,1891,38588,2393,1559,1562,1427,1484,1420,1148,749,315,12059,24075,14868,14834,14029,14350,15305,14482,8794,2737,123482,18395,9461,10108,9476,8766,7717,5244,2284,685,72142,2015,3059,3387,3341,3632,4424,4838,3130,1240,29072,153,561,842,998,1384,1992,2469,1991,895,11288,6,38,162,336,723,1398,1865,1754,911,7199,2182,3662,4387,4677,5740,7814,9170,6876,3049,47557,2311,1438,1438,1364,1339,1282,1115,924,448,11662,22891,14559,15938,15513,15837,16812,15528,10089,4182,131361,37417,20171,20524,18789,17212,15056,10112,4481,1223,144980,4478,5340,5749,5926,6699,8335,9268,5676,1965,53440,340,851,1275,1525,2310,3639,4783,3642,1455,19830,28,73,226,515,1144,2377,3583,3412,1517,12870,4846,6258,7253,7964,10151,14356,17639,12735,4936,86143,4705,2997,3002,2792,2823,2702,2266,1673,757,23723
SOSR312,6643,3892,3498,3340,3415,3007,2227,937,212,27170,941,840,980,1042,1252,1743,1919,1167,323,10201,95,107,179,241,364,719,1075,753,246,3778,5,16,41,82,207,437,820,648,241,2492,1034,966,1198,1365,1820,2898,3815,2567,807,16475,877,526,514,575,581,492,361,251,99,4278,8560,5379,5211,5282,5813,6401,6402,3757,1124,47929,6614,3298,3217,3266,3325,3224,2292,1051,273,26560,768,1095,1317,1307,1467,1849,2170,1409,520,11901,57,239,328,399,588,860,1142,805,419,4835,0,33,52,149,322,621,806,720,358,3062,828,1367,1697,1853,2376,3328,4117,2933,1295,19795,836,399,463,486,472,466,380,293,161,3949,8278,5064,5372,5607,6170,7016,6787,4280,1727,50304,13258,7189,6711,6610,6743,6231,4520,1986,486,53728,1710,1934,2291,2344,2714,3592,4093,2575,847,22105,145,351,510,637,947,1576,2216,1557,661,8609,5,48,96,236,526,1061,1622,1373,591,5554,1864,2335,2897,3216,4191,6231,7936,5504,2103,36269,1710,925,978,1062,1050,957,740,548,263,8230
SOSR313,14177,7201,7503,6352,5618,4615,3091,1252,236,50052,1950,1465,1699,1783,1907,2374,2543,1377,382,15480,163,198,269,349,543,831,1221,837,221,4631,9,14,44,83,192,526,834,668,245,2611,2123,1675,2011,2215,2641,3732,4602,2875,844,22719,1802,1196,1322,1165,1156,1043,789,371,131,8976,18098,10080,10840,9734,9412,9387,8479,4500,1214,81746,13944,6431,7395,6662,5641,4848,3258,1249,324,49751,1447,1872,2382,2194,2219,2571,2632,1597,612,17530,105,403,563,700,815,1135,1324,898,394,6344,5,30,95,208,429,741,899,724,360,3490,1555,2305,3046,3100,3458,4456,4856,3214,1364,27364,1678,971,1063,995,928,924,711,370,212,7847,17177,9704,11498,10756,10028,10223,8828,4832,1908,84958,28117,13634,14899,13016,11258,9462,6347,2494,570,99802,3397,3336,4077,3977,4126,4948,5176,2975,992,33008,272,599,833,1051,1361,1962,2548,1732,608,10973,17,46,137,283,617,1269,1737,1388,607,6105,3679,3979,5053,5311,6104,8189,9463,6097,2207,50082,3476,2166,2384,2158,2081,1966,1500,741,345,16823
SOSR314,13734,7048,7568,6817,6490,4993,3244,1297,313,51510,1739,1357,1404,1739,2104,2548,2586,1485,430,15397,112,140,221,348,583,965,1300,886,241,4794,3,18,29,82,231,502,927,764,267,2824,1862,1516,1654,2167,2914,4020,4811,3136,938,23014,2011,1444,1770,1626,1610,1339,937,529,197,11459,17607,10018,10988,10616,11012,10354,8993,4959,1444,85987,13356,6283,7287,6656,6167,4911,3258,1388,374,49682,1296,1716,2123,2252,2370,2689,2744,1680,639,17514,86,330,509,652,846,1207,1385,981,463,6456,3,19,62,180,440,715,908,709,415,3463,1387,2061,2698,3080,3661,4612,5037,3376,1519,27427,1943,1091,1219,1141,1114,889,771,482,325,8976,16682,9435,11207,10879,10937,10412,9069,5239,2217,86088,27088,13339,14853,13475,12659,9904,6506,2683,686,101193,3033,3072,3529,3994,4470,5240,5327,3166,1068,32906,202,468,724,1002,1427,2166,2687,1865,700,11251,11,34,98,260,671,1220,1835,1472,684,6288,3246,3580,4352,5252,6576,8628,9851,6511,2458,50446,3951,2537,2993,2771,2719,2233,1705,1006,524,20434
SOSR315,19747,9934,10245,9491,9476,8543,6265,2312,484,76494,2523,1916,2072,2498,3240,4469,5251,2555,592,25113,197,244,348,507,952,1808,2567,1612,456,8684,11,23,61,159,402,1089,1956,1442,424,5567,2728,2180,2485,3158,4589,7364,9775,5604,1468,39359,2714,2014,3146,2801,2726,2491,1771,802,300,18766,25190,14125,15878,15449,16795,18397,17812,8716,2254,134622,19189,8900,10081,9554,8934,8636,6155,2252,582,74275,1877,2383,3061,3187,3697,4757,5182,2652,873,27666,160,479,709,946,1381,2171,2609,1539,725,10709,10,44,137,286,684,1406,1753,1322,641,6274,2040,2900,3901,4422,5761,8343,9538,5512,2239,44652,2573,1650,1789,1606,1724,1787,1512,826,462,13927,23806,13448,15768,15573,16409,18765,17209,8587,3287,132859,38929,18839,20319,19042,18408,17180,12422,4563,1075,150770,4399,4301,5134,5680,6938,9228,10435,5204,1459,52781,362,721,1058,1447,2325,3985,5176,3143,1180,19393,20,64,195,447,1086,2492,3705,2758,1069,11836,4773,5080,6385,7577,10345,15700,19314,11110,3707,84014,5292,3661,4937,4404,4451,4281,3285,1628,764,32694
