SOSR_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
SOSR401,605836,633417,1239255,34574,32644,67219,74285,70332,144617,35872,34043,69913,42285,40562,82852,88267,89325,177588,82056,84941,166999,75880,78403,154288,70541,76664,147206,57243,65531,122775,32322,40191,72511,12519,20777,33295,1146,1218,2365,592119,616967,1209092,13717,16446,30165,10230,10547,20783,300,311,615,311,287,598,10844,11144,21996,411332,424981,836313,171846,185551,357402,442707,460639,903341,138814,148830,287643,518158,542803,1060962,9627,8920,18545,70858,67186,138047,28147,28372,56525,17890,19789,37677,23695,34770,58463,282168,307680,589849,79135,75119,154255,66210,69736,135950,21846,23045,44896,19048,23373,42415,5393,7122,12524
SOSR412,47341,49754,97091,2890,2689,5581,6462,6061,12531,3039,2862,5899,2952,2869,5824,6198,6288,12486,5547,6010,11553,6021,6501,12526,5898,6286,12190,4696,5115,9815,2661,3563,6220,976,1507,2485,50,42,88,46339,48718,95059,1000,1038,2039,1324,1404,2732,40,42,83,40,37,80,1413,1479,2889,38070,39512,77580,6999,7954,14947,42410,44461,86869,2693,3077,5770,42903,45048,87954,717,748,1463,6090,5717,11807,2120,2116,4237,583,880,1460,1021,2184,3201,15819,19166,34982,8571,7976,16546,6995,7136,14129,2406,2329,4735,1783,1865,3648,173,184,359
SOSR413,44438,46159,90590,2346,2182,4527,5364,5307,10672,2578,2422,5004,2341,2247,4590,5067,4896,9963,4893,4917,9802,5427,5703,11126,5842,6198,12047,5704,6463,12164,3691,4012,7702,1177,1823,2997,61,48,112,42207,44913,87120,2231,1243,3475,2924,2790,5711,47,52,97,38,55,90,3009,2896,5904,35964,37381,73345,5812,6278,12092,38366,40970,79333,2469,2796,5260,39120,41884,81010,570,544,1114,4987,4924,9918,1754,1778,3533,412,580,991,807,1605,2408,14288,17149,31439,7417,7289,14700,7489,6971,14461,2451,2467,4918,2187,2150,4332,167,149,313
SOSR414,14971,16253,31230,786,751,1543,1734,1721,3456,799,759,1557,694,693,1387,1639,1671,3309,1569,1769,3340,1722,1862,3582,1868,2133,4001,2237,2628,4860,1481,1620,3103,443,645,1089,22,14,38,14666,15853,30519,310,399,716,263,250,519,6,9,21,7,0,7,279,268,545,11912,12956,24865,2295,2497,4791,13521,14755,28283,797,800,1598,13551,14807,28359,208,195,400,1646,1625,3275,581,573,1155,142,212,349,259,588,843,4954,6207,11159,2627,2730,5363,2564,2498,5063,868,844,1703,571,628,1195,122,69,190
SOSR415,57885,59466,117352,3048,3006,6059,6973,6785,13759,3071,2798,5872,2875,2504,5379,6504,6466,12976,6256,6503,12768,6965,7300,14264,8086,8213,16290,7971,8145,16116,4570,5235,9808,1563,2505,4067,485,91,572,55718,57416,113133,2170,2050,4216,1766,1851,3618,50,23,70,58,60,115,1870,1937,3808,46302,47709,94012,7248,8019,15267,50816,52912,103731,3106,3213,6321,51583,53711,105293,724,670,1398,6489,6330,12820,2077,2080,4154,495,654,1141,896,1942,2836,17369,21331,38704,10090,9432,19522,9591,9235,18829,3600,3037,6646,2858,2826,5681,251,193,445
SOSR421,15842,16179,32026,807,794,1603,1854,1774,3629,807,779,1583,705,665,1368,1534,1621,3163,1615,1700,3316,1898,1951,3852,2470,2498,4966,2457,2363,4819,1241,1327,2566,452,711,1164,13,16,20,15284,15605,30892,558,575,1132,590,639,1229,11,11,23,4,7,9,608,656,1263,12965,13190,26156,1664,1802,3468,14057,14377,28432,694,737,1433,14219,14607,28819,162,183,349,1742,1633,3375,546,576,1125,138,195,334,185,505,687,4526,5793,10318,2930,2764,5693,2765,2399,5163,946,776,1725,831,735,1557,23,32,63
SOSR422,10095,9562,19658,452,452,908,1050,969,2023,497,423,913,436,375,809,936,950,1886,909,939,1847,1251,1173,2423,1741,1744,3484,1793,1540,3331,830,757,1584,202,236,440,9,5,18,9839,9340,19179,258,220,483,888,964,1850,4,3,9,6,9,16,902,977,1879,8108,7661,15774,1027,1064,2097,8383,7877,16260,842,914,1756,8968,8493,17460,111,117,238,932,869,1793,263,271,536,58,70,124,109,266,368,2452,3065,5518,1906,1647,3551,1919,1586,3505,716,541,1258,616,425,1043,38,34,72
SOSR431,79819,69811,149628,3450,3379,6828,9468,8681,18152,4445,3942,8389,3738,3000,6734,7828,6449,14280,9068,8098,17164,11668,10591,22253,13719,12000,25719,10961,9174,20137,4611,3641,8252,865,854,1723,293,103,392,73578,68270,141847,6240,1546,7783,2149,1984,4134,40,34,74,27,24,53,2218,2040,4256,63862,56025,119882,8576,8460,17035,68498,61579,130075,3704,3617,7317,69808,62779,132582,765,778,1542,8728,8062,16788,2972,2851,5822,695,970,1665,960,2088,3043,25005,28485,53489,14085,10966,25047,13299,8912,22210,4356,2697,7056,3102,1939,5039,248,195,440
SOSR479,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,17,0,17,17,0,17,7,0,7,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0
SOSR501,978179,1027301,2005481,64648,61180,125835,134627,127708,262338,60713,58103,118813,63523,62845,126375,138475,148949,287428,140711,149730,290440,124118,132138,256255,106670,115861,222529,83955,93356,177310,45355,52848,98207,15374,24582,39957,2636,2568,5203,957500,1006434,1963937,20678,20866,41544,19025,19405,38432,480,407,892,487,489,976,19995,20307,40300,587114,604198,1191319,349655,381803,731454,726344,751917,1478263,204703,229653,434358,815811,853688,1669498,18688,17393,36084,127640,121106,248750,46802,47043,93848,25125,28016,53143,31902,51689,83593,462814,514348,977167,72408,72690,145091,144706,146044,290751,32273,31594,63863,19085,23054,42140,5428,6915,12345
SOSR511,35471,37465,72939,2315,2174,4492,5406,5033,10440,2300,2329,4627,1932,1860,3786,4384,4706,9091,4653,5014,9666,4504,4978,9478,4253,4597,8854,3372,3701,7074,1790,2128,3920,561,949,1511,43,49,92,34286,36813,71097,1185,650,1835,1249,1310,2563,14,10,21,32,33,70,1294,1362,2653,26755,28015,54775,7107,7812,14919,30338,32372,62711,2925,3416,6340,30722,32857,63577,671,581,1255,5082,4749,9833,1553,1636,3194,303,432,738,616,1465,2083,11392,14248,25642,3514,3736,7249,8446,8061,16509,1738,1568,3308,845,871,1715,124,94,215
SOSR512,59066,60799,119864,3613,3477,7093,8289,7890,16181,3724,3485,7209,3265,3096,6364,7421,7419,14837,7405,7765,15166,7470,8038,15506,7488,7767,15253,5986,6334,12323,3271,3763,7037,1137,1766,2902,111,94,209,55759,58576,114329,3305,2226,5534,3744,3688,7430,45,44,93,79,51,132,3871,3783,7656,43384,44400,87787,10968,12171,23137,48782,51003,99789,4816,5249,10066,49154,51640,100792,911,896,1807,7531,7170,14700,2310,2312,4619,495,616,1114,1148,2488,3637,18818,22852,41672,5664,5925,11589,13251,12130,25380,2819,2495,5313,1736,1560,3297,281,241,523
SOSR513,41570,37730,79299,2868,2626,5491,5764,5525,11289,2029,1793,3815,1978,1882,3860,6316,6542,12858,6867,5948,12809,5979,4707,10684,5045,4202,9248,3203,3003,6210,1294,1173,2466,231,330,563,206,135,346,35363,34847,70214,6212,2875,9088,3891,4013,7906,142,121,263,235,239,470,4267,4374,8642,26383,24601,50981,8118,8214,16332,30421,28560,58985,3756,3998,7753,31023,29170,60194,679,652,1328,4930,4746,9678,1146,1107,2251,250,361,606,789,1569,2356,13396,14837,28230,3696,3166,6862,7165,5482,12649,1448,1058,2507,653,561,1217,115,96,212
SOSR514,13626,14253,27874,895,812,1705,2050,1979,4025,856,729,1589,596,510,1106,1549,1649,3194,1768,2074,3836,1708,1934,3643,1625,1793,3414,1593,1607,3198,760,834,1591,221,340,561,62,20,83,13116,13814,26929,509,440,951,534,538,1072,5,6,14,9,4,11,553,556,1107,10015,10406,20425,2423,2758,5183,11584,12179,23760,881,1001,1881,11590,12238,23825,189,214,408,1863,1783,3643,559,491,1050,61,90,154,201,547,748,4447,5580,10028,1341,1310,2645,2742,2698,5436,630,533,1169,393,299,696,40,24,60
SOSR515,50568,49230,99799,3119,2884,6007,6751,6262,13017,2656,2447,5104,2503,2307,4808,6329,6480,12807,6208,6277,12491,6586,6116,12696,6681,6649,13327,6038,5912,11946,2890,2808,5698,808,1099,1904,327,161,490,46244,46734,92982,4318,2496,6814,3832,4052,7879,89,87,173,64,84,147,3982,4221,8205,35309,34493,69804,8933,9465,18398,40371,39855,80226,3889,4076,7968,41022,40466,81488,706,649,1357,5840,5404,11247,1524,1493,3023,270,350,622,694,1626,2320,14804,17368,32168,4769,4683,9446,11028,9743,20767,2642,2025,4670,1526,1253,2770,262,212,473
SOSR521,21451,20119,41575,1249,1149,2392,2528,2324,4846,975,946,1925,983,877,1866,2552,2504,5059,2557,2462,5022,2863,2592,5453,3281,3045,6325,2866,2581,5446,1281,1226,2507,317,423,738,53,69,120,18725,18850,37575,2729,1276,4002,2553,2784,5331,11,21,29,22,25,51,2588,2827,5411,14807,14095,28896,3320,3467,6786,16628,15786,32414,1610,1896,3514,17082,16430,33513,255,235,489,2172,1990,4160,492,521,1011,80,95,171,230,556,789,5691,6514,12209,1809,1848,3654,5069,4316,9380,1108,943,2051,832,629,1463,74,69,143
SOSR522,12546,11805,24346,691,662,1353,1483,1453,2936,620,587,1204,621,671,1292,1503,1436,2939,1447,1350,2802,1563,1365,2920,1832,1810,3646,1806,1580,3386,796,685,1481,179,198,373,28,48,77,11310,11213,22528,1231,592,1819,2676,2838,5513,10,15,29,13,23,33,2698,2874,5576,9345,8830,18174,1736,1696,3439,9215,8558,17777,1850,2013,3854,10462,9933,20394,142,153,297,1279,1261,2541,263,276,534,48,68,119,112,279,392,3465,3781,7251,1140,1197,2342,2995,2541,5538,722,534,1260,557,364,916,64,78,148
SOSR531,118008,84308,202315,3965,3652,7622,10455,9669,20119,4807,4197,8998,5940,3843,9785,16591,9515,26105,18116,10697,28811,19874,13079,32959,19251,14508,33753,13287,10535,23823,4877,3797,8679,840,818,1662,503,262,774,79085,75458,154547,38922,8845,47766,5315,3619,8936,80,32,105,129,44,171,5522,3699,9216,74820,58311,133126,21289,16470,37753,85767,69283,155050,7532,5845,13374,86545,70037,156579,925,899,1827,9344,8657,18000,2937,2804,5746,741,771,1508,1448,2500,3949,38750,35094,73847,10322,7637,17962,25123,15291,40411,4600,2780,7377,2491,1422,3914,472,186,652
SOSR579,3003,413,3413,0,0,0,0,4,3,14,8,19,81,37,121,459,94,549,945,55,999,896,57,951,473,86,560,119,61,178,15,17,32,0,3,3,143,16,164,24,15,37,2981,399,3380,40,6,44,0,0,0,0,0,0,39,6,48,1000,174,1179,618,97,717,1404,244,1654,208,22,233,1373,231,1606,0,0,0,0,0,0,0,5,5,10,4,10,63,9,68,944,198,1141,246,22,272,366,40,402,32,6,38,4,0,4,4,0,0
SOSR603,95961,101511,197474,5262,4960,10226,11387,10749,22133,5386,5120,10503,6359,6227,12586,17311,16985,34293,12417,13073,25494,11078,12046,23122,10611,11972,22581,9198,10716,19915,5165,6599,11761,1787,3070,4857,312,165,476,92199,98019,190215,3762,3494,7258,3921,4028,7953,198,197,393,192,222,414,4310,4453,8756,71330,76120,147450,20235,20890,41122,76235,82012,158242,14781,15020,29801,78921,85295,164218,1419,1351,2769,10765,10143,20902,4137,4082,8220,2463,2605,5063,5534,6849,12390,45129,48806,93934,5828,6304,12133,16843,18360,35199,4151,4612,8760,2433,2701,5134,438,499,931
SOSR611,39268,41861,81130,2168,2115,4278,4809,4595,9404,2404,2379,4786,2852,2670,5521,6366,6107,12473,4740,5054,9793,4684,5249,9935,4441,4950,9388,3711,4427,8144,2304,2914,5220,782,1399,2182,91,75,170,37505,40082,77589,1761,1781,3541,1420,1511,2931,53,77,136,48,69,116,1525,1649,3180,30620,33146,63767,6564,6714,13278,32773,35594,68364,4454,4344,8798,33528,36521,70051,551,569,1113,4522,4335,8858,1744,1792,3537,802,935,1741,1698,2216,3913,14617,16450,31065,2586,3069,5658,9205,9482,18686,2169,2247,4420,1294,1415,2709,310,342,652
SOSR612,21326,23285,44614,1229,1171,2408,2676,2694,5363,1310,1285,2602,1295,1325,2619,2889,2978,5863,2301,2631,4938,2615,2865,5482,2659,3080,5738,2366,2759,5119,1518,1715,3226,472,785,1256,32,33,69,20705,22641,43340,622,651,1272,1643,1802,3449,63,55,121,71,75,154,1780,1939,3717,17800,19601,37409,2317,2439,4756,19031,20944,39970,1143,1234,2377,19162,21099,40259,313,269,577,2497,2504,5004,909,956,1866,235,321,551,521,871,1389,5817,7028,12840,1670,1916,3584,6149,6461,12605,1595,1752,3344,857,924,1779,91,83,172
SOSR613,5882,6580,12458,276,286,558,735,635,1370,353,358,714,306,322,625,593,654,1244,584,654,1238,690,806,1500,833,990,1823,809,935,1740,526,654,1183,184,278,461,4,7,13,5786,6413,12199,100,166,265,467,553,1022,15,19,35,25,20,45,509,596,1107,4999,5600,10597,502,605,1107,5420,6093,11509,150,183,335,5414,6114,11524,60,70,128,676,593,1269,260,265,522,53,64,120,106,215,319,1460,1862,3319,436,523,959,1782,2015,3796,541,590,1130,320,316,635,11,9,22
SOSR614,8002,8485,16486,482,433,913,1047,998,2041,436,449,881,427,410,833,924,1006,1933,917,985,1899,908,1045,1958,1208,1190,2402,993,1087,2085,517,666,1177,142,215,361,7,7,8,7872,8350,16222,129,137,261,521,605,1129,22,25,52,26,27,55,572,663,1230,6810,7147,13956,637,779,1421,7357,7792,15152,179,212,391,7330,7764,15097,116,119,233,971,913,1880,285,317,602,62,81,146,159,313,472,2067,2596,4659,619,741,1367,2350,2350,4701,583,561,1151,333,285,614,33,18,54
SOSR615,30971,33202,64168,1751,1668,3416,3917,3706,7624,1733,1504,3233,1578,1588,3167,3695,3939,7630,3266,3595,6856,3537,3978,7521,4138,4571,8710,4239,4596,8829,2369,2889,5258,754,1169,1930,68,40,110,30327,32435,62758,652,763,1417,1872,1995,3870,71,78,154,62,61,121,2011,2140,4146,25591,27488,53083,3514,3771,7285,28164,30288,58451,1155,1236,2391,28054,30244,58293,414,430,845,3636,3439,7079,1184,1103,2287,262,358,622,716,1199,1917,8335,10475,18817,2313,2676,4994,9018,9147,18164,2524,2420,4941,1270,1129,2396,97,66,161
SOSR621,10987,10946,21934,540,482,1021,1245,1245,2490,535,469,1002,494,420,916,1163,1188,2351,1219,1217,2432,1406,1422,2829,1712,1818,3527,1618,1594,3208,875,826,1699,202,265,463,38,19,60,10625,10620,21244,367,325,695,601,635,1241,23,30,54,38,24,60,666,692,1358,8879,8794,17664,1281,1413,2693,9886,9879,19764,377,425,804,9881,9903,19781,124,119,241,1159,1151,2314,348,351,702,95,109,205,245,406,650,3341,3926,7261,812,840,1650,3056,2699,5757,790,752,1543,451,319,774,23,30,57
SOSR622,4632,4540,9170,202,180,378,490,462,954,198,204,403,188,165,356,410,415,820,422,461,884,590,606,1194,815,820,1636,831,738,1575,378,352,732,99,138,235,6,0,7,4497,4395,8898,130,140,271,204,243,439,19,17,30,13,20,35,230,270,505,3696,3638,7331,557,549,1102,4176,4106,8281,125,140,262,4178,4120,8294,40,43,88,442,433,872,131,138,271,32,39,72,86,150,242,1328,1543,2878,324,358,683,1393,1219,2608,363,300,664,183,135,320,8,10,16
SOSR631,54599,51491,106089,2622,2474,5094,6653,6245,12901,3123,2746,5864,2381,2118,4502,5210,5219,10426,5993,6385,12382,7630,7761,15396,9405,9014,18414,7827,6485,14315,3167,2469,5638,591,565,1154,89,42,128,53657,50707,104364,942,786,1725,2859,2748,5608,137,115,250,105,119,227,3101,2985,6085,44486,41753,86232,6171,6176,12345,49628,46770,96400,1613,1747,3358,49359,46637,95996,597,584,1181,6133,5769,11899,2153,2058,4208,452,555,1005,1044,1844,2887,16300,19465,35762,3954,4182,8144,15977,12489,28468,3822,2681,6510,1794,995,2784,120,64,177
SOSR679,299,76,378,0,0,0,0,0,5,0,4,5,9,6,15,58,13,69,67,16,78,71,18,90,63,11,77,25,9,33,4,0,3,0,0,0,8,0,13,0,0,0,299,76,378,6,0,9,0,0,0,0,0,0,3,0,5,224,61,285,34,7,42,181,59,240,16,0,16,186,61,244,0,0,0,0,0,5,3,0,3,0,0,3,0,3,8,100,34,131,21,9,27,68,13,84,3,5,6,4,0,4,0,0,0
SOSR703,69642,67583,137228,4591,4388,8974,8610,8283,16890,3492,3331,6828,5770,4207,9975,12888,13310,26196,10412,10752,21165,8585,8441,17025,7457,7408,14864,5539,5167,10705,1928,1858,3789,364,448,809,2054,530,2586,59774,61666,121440,9873,5918,15788,6171,6198,12371,238,205,448,655,628,1278,7069,7030,14100,42465,40574,83039,18285,20032,38316,43550,42630,86180,15564,17265,32828,51152,50877,102030,1183,1150,2341,7671,7387,15056,2155,2283,4440,1034,1333,2372,3065,5157,8225,29059,32115,61176,5949,5292,11235,8860,7149,16005,2149,1913,4054,1608,1509,3117,361,433,796
SOSR712,13458,14238,27703,1009,883,1887,1851,1728,3577,743,729,1474,641,715,1350,2318,2737,5054,2056,2137,4199,1617,1810,3426,1669,1835,3507,1165,1165,2328,339,375,715,55,120,180,55,50,101,12125,12817,24943,1329,1424,2758,2497,2891,5396,19,9,34,51,51,103,2563,2958,5523,8784,9389,18166,3439,3556,6992,9023,9373,18397,3071,3434,6506,10272,10965,21235,251,212,464,1677,1573,3254,453,412,862,82,127,209,517,927,1439,5142,6332,11475,1289,1233,2530,1772,1541,3318,555,555,1111,483,485,970,120,160,277
SOSR714,3570,3552,7119,257,204,464,484,457,943,167,155,319,244,241,489,629,701,1329,492,476,970,397,472,869,449,485,935,323,267,598,110,72,178,16,20,32,20,11,29,3069,3069,6140,500,485,980,922,1038,1963,19,23,42,26,31,54,964,1091,2058,2421,2442,4863,630,653,1278,2286,2211,4499,648,738,1388,2723,2722,5447,53,36,95,395,380,775,77,62,139,27,39,69,103,170,274,1121,1294,2418,298,291,598,525,468,993,163,131,304,119,113,236,27,30,63
SOSR715,9249,9000,18250,690,653,1345,1607,1465,3076,833,726,1560,717,720,1432,1587,1730,3317,1402,1392,2796,1103,1108,2207,830,793,1622,384,309,698,87,82,165,10,18,27,15,28,42,8542,8532,17075,712,464,1174,5956,6064,12022,22,16,38,71,60,129,6047,6139,12187,7721,7670,15388,624,636,1264,2519,2422,4935,5718,5832,11552,7947,7943,15884,162,166,329,1394,1233,2620,305,281,586,19,44,65,151,240,385,2134,2504,4638,1023,1097,2121,1600,1389,2989,599,533,1135,504,498,1002,113,106,219
SOSR721,6916,7026,13943,539,456,995,1033,994,2025,511,511,1023,543,577,1118,1182,1297,2483,954,975,1932,865,865,1726,732,835,1572,437,417,851,109,76,189,12,17,24,28,33,65,6338,6602,12942,584,420,1000,3935,4217,8149,16,16,29,31,35,67,3978,4265,8240,5827,5953,11778,516,561,1080,2599,2532,5137,3735,3979,7715,6096,6252,12352,131,135,265,925,891,1813,166,186,352,32,41,68,102,202,304,1653,2007,3664,735,742,1475,1121,1110,2236,545,466,1016,560,570,1125,126,142,267
SOSR722,6820,6822,13646,506,433,941,1138,981,2123,481,448,929,487,494,981,1016,1111,2130,829,868,1699,739,864,1603,761,876,1636,680,618,1302,160,116,281,21,12,34,9,8,17,6463,6543,13008,360,284,635,4421,4578,9000,18,18,31,28,29,55,4460,4629,9086,5898,5907,11803,377,396,783,2280,2134,4413,3950,4118,8069,6167,6153,12321,119,109,224,980,837,1823,122,128,257,8,21,28,77,135,212,1098,1342,2444,696,768,1460,1234,1210,2448,643,581,1226,694,669,1361,150,179,329
SOSR731,24898,21242,46134,1149,1053,2204,2685,2536,5214,1266,1123,2392,1579,1205,2781,3583,2986,6564,3241,2800,6046,3576,2994,6569,3721,3365,7082,3187,2573,5758,841,541,1379,67,75,145,246,101,345,19945,19345,39290,4954,1894,6848,5180,4682,9869,49,43,93,72,92,161,5304,4822,10126,17934,15840,33768,2475,2482,4957,15766,13984,29750,4096,4359,8450,19065,17514,36581,254,245,497,2272,2161,4429,527,536,1069,121,158,272,324,691,1016,6348,7404,13752,2551,2086,4634,4932,3316,8254,1400,965,2364,1122,796,1920,233,193,423
SOSR779,429,73,494,0,0,0,0,0,0,10,0,11,17,15,27,54,16,65,106,3,112,117,7,124,96,12,106,22,21,40,4,5,10,0,0,0,12,7,17,13,5,12,418,68,486,12,0,9,0,0,0,0,0,0,11,0,15,204,37,242,73,11,83,248,45,295,29,4,32,245,43,287,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,151,33,185,35,4,40,78,14,86,6,0,5,6,0,3,0,0,0
SOSR802,223072,229119,452187,13719,12877,26598,28814,27106,55921,13398,13019,26420,17207,17276,34485,38635,38983,77611,34260,34928,69193,27816,28214,56022,21554,23233,44784,16208,18701,34910,8592,10452,19045,2859,4340,7199,547,595,1151,215673,222069,437742,7396,7053,14449,4248,4110,8359,116,103,219,139,159,303,4503,4373,8874,151391,153252,304641,62805,67384,130189,159006,162169,321181,54060,57568,111625,190801,196510,387314,4014,3850,7862,27632,25935,53577,10879,10837,21715,8388,9086,17474,12478,15738,28212,133840,139878,273720,8494,7972,16465,19716,21882,41596,5286,5763,11049,3542,4222,7764,827,1016,1838
SOSR822,310,299,614,15,13,22,54,51,103,28,23,47,13,17,24,30,23,54,47,46,94,47,52,99,25,41,69,28,25,62,15,16,33,0,3,6,0,0,0,310,299,614,0,0,0,6,6,16,0,0,0,0,0,0,6,6,16,271,256,531,27,29,58,288,277,566,11,11,23,297,284,575,5,5,9,55,49,104,23,15,35,0,6,5,5,16,24,153,170,318,8,9,18,50,43,91,11,3,19,10,0,6,0,0,0
SOSR831,360,289,649,27,15,42,29,27,51,33,19,51,55,36,87,70,60,134,30,30,61,38,32,71,30,45,74,33,21,58,6,3,9,3,5,7,0,0,0,252,248,503,107,43,151,10,8,16,0,3,4,0,0,0,15,13,22,255,216,463,49,38,93,281,232,511,28,19,45,287,237,526,7,4,14,27,27,49,23,15,34,21,12,43,25,21,43,189,165,347,9,8,13,43,36,70,11,9,16,8,4,15,0,0,0
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,870,733,1605,41,40,79,103,89,192,27,34,59,36,28,67,163,106,264,110,131,240,125,127,258,125,111,227,113,57,175,24,11,36,4,0,4,5,0,6,624,562,1186,245,175,421,3,3,6,0,0,0,0,0,0,3,3,6,395,328,721,252,231,484,320,248,571,341,320,661,560,454,1017,13,8,22,87,77,166,8,23,36,9,6,12,22,18,36,296,288,590,43,28,71,108,74,179,20,10,34,40,20,61,8,10,23
SOSR921,874,966,1846,41,31,73,97,94,192,40,40,83,29,42,71,59,74,133,97,112,205,114,133,249,190,195,380,124,158,281,64,72,139,13,20,37,5,3,8,802,891,1692,71,79,150,8,9,16,5,0,5,0,0,0,10,9,19,540,583,1120,215,273,483,450,538,981,308,324,635,677,774,1450,17,13,27,82,80,161,30,26,52,9,9,20,5,32,35,300,420,725,65,67,132,211,209,417,41,27,59,13,7,25,0,0,0
SOSR922,529,463,993,23,24,45,62,60,119,30,21,50,47,38,88,89,72,161,60,53,116,51,50,100,84,75,164,49,41,92,31,16,45,3,0,10,3,5,3,368,358,728,163,102,268,17,29,45,4,0,3,0,0,0,21,27,48,355,327,681,83,47,126,234,179,419,206,192,397,435,376,813,4,3,10,52,46,100,9,3,6,7,3,8,20,14,34,219,196,414,17,14,28,52,34,84,11,8,21,13,11,22,36,39,73
SOSR931,622,385,1009,21,16,34,47,32,78,17,15,37,38,21,58,144,44,188,99,33,130,95,70,165,59,60,120,70,49,120,26,41,69,9,4,10,4,0,5,319,301,617,300,84,382,70,78,149,0,0,0,0,0,0,70,79,153,212,198,414,325,116,439,186,196,385,150,119,267,284,267,551,12,4,10,38,24,61,9,9,24,0,6,6,10,5,15,127,154,281,22,18,43,77,66,140,16,19,39,21,17,45,5,6,10
