SOSR_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
SOSR302,0,10,46,267,1167,1015,1416,1130,286,279,374,515,199,72,234,7020,64,59,91,150,452,170,214,131,33,34,32,21,17,9,35,1511,4,21,72,149,176,193,268,138,30,48,37,47,26,19,40,1273,8,40,138,541,826,1794,4683,1837,476,378,380,494,247,149,176,12167,3,25,71,94,137,103,272,171,36,44,50,44,20,5,29,1110,0,0,4,14,187,431,382,422,83,106,114,114,48,10,60,1975,0,0,11,57,183,271,833,559,144,116,147,168,101,15,100,2704,1129,3618,8956,6546,6053,5017,13308,5698,1083,942,970,976,550,208,1406,56458,30,65,213,390,449,596,1102,765,188,161,194,252,201,44,82,4739,0,0,8,176,210,150,275,362,104,132,125,133,84,15,58,1823,487,1385,2671,3321,3394,3955,7037,5229,1685,1754,1866,2522,947,190,901,37350,2772,9193,17266,19727,27476,28946,59280,33272,7626,7571,8205,9559,4375,1528,6133,242937
SOSR303,0,0,18,127,685,596,1453,1209,208,193,234,242,124,34,91,5208,14,7,19,16,107,41,60,36,10,0,3,15,4,0,8,355,0,9,42,65,38,39,84,50,8,15,20,49,29,19,7,485,0,6,40,124,159,288,1131,316,46,94,66,92,73,29,28,2491,0,5,35,51,85,65,291,197,61,46,55,71,31,12,12,1021,0,0,0,0,14,70,90,145,25,37,32,47,22,0,11,491,0,0,6,29,126,164,443,254,61,40,63,64,26,12,41,1324,350,1194,3062,1988,1726,1411,2753,1192,195,193,198,238,99,57,388,15047,8,20,100,147,148,189,343,235,55,63,71,95,63,24,24,1578,0,0,3,43,95,80,195,176,55,51,48,40,24,8,28,831,100,353,922,1312,1569,1482,3804,2597,568,779,868,1215,431,103,449,16542,817,2871,5912,6274,8238,7883,18568,11700,2327,2781,3478,4801,1796,511,2007,79970
SOSR311,0,0,10,90,377,275,830,925,194,155,169,248,80,34,77,3461,10,7,9,13,33,18,16,13,0,0,0,0,8,0,0,129,0,4,9,21,14,5,27,17,9,6,7,5,4,7,3,134,0,5,19,54,91,167,920,266,47,62,77,114,65,9,36,1920,0,3,8,20,19,15,119,158,21,19,21,46,67,23,5,552,0,0,0,0,0,16,37,65,19,22,33,69,18,0,3,278,0,0,0,13,34,39,138,170,31,21,43,49,27,0,30,605,250,901,2180,1350,927,514,1121,461,71,80,56,119,79,17,330,8454,5,8,42,62,59,64,125,77,19,17,10,16,14,4,10,528,0,0,0,17,37,41,278,104,28,26,7,28,16,0,14,587,120,275,470,481,401,336,1104,569,133,146,112,264,143,68,150,4775,588,2062,3622,3444,3612,2869,7769,4777,986,1079,1104,1707,843,299,1094,35860
SOSR312,0,0,0,37,137,90,286,375,89,46,60,49,9,5,33,1220,0,5,6,8,17,15,12,12,0,0,0,0,0,0,0,80,3,0,4,8,0,3,18,14,0,0,0,0,0,0,0,59,5,3,17,38,39,91,295,139,14,30,10,68,12,0,18,779,3,7,3,0,10,0,25,20,3,8,5,6,8,0,5,100,0,0,0,0,3,4,4,7,0,0,0,0,0,0,0,23,0,0,0,4,17,15,48,66,12,10,8,13,5,0,13,226,151,468,1157,729,513,292,622,293,49,42,31,41,23,5,203,4611,0,12,20,35,31,30,60,41,18,3,5,15,3,0,6,282,0,0,0,4,5,3,20,14,0,3,4,3,0,0,4,75,41,126,218,231,210,165,283,202,31,42,41,50,21,9,51,1730,310,1004,1889,1793,1816,1446,2909,1977,356,359,319,395,156,55,543,15326
SOSR313,0,0,3,21,201,161,525,516,95,94,112,113,47,13,44,1934,0,0,7,12,23,5,23,19,3,7,5,5,0,0,3,110,0,0,8,17,7,11,16,11,6,3,0,5,0,0,4,89,0,4,15,47,50,126,568,235,36,61,50,122,58,18,23,1423,0,3,3,8,7,5,33,47,14,13,7,13,9,0,6,160,0,0,0,0,5,12,16,39,11,5,38,53,17,0,3,199,0,0,0,3,22,19,78,57,27,10,16,27,10,4,8,274,141,552,1215,735,575,348,741,321,59,67,60,64,43,16,142,5085,0,12,23,52,45,53,98,54,17,22,11,18,16,0,15,439,0,0,0,3,8,19,49,45,6,14,8,14,3,0,7,179,42,127,243,317,245,295,846,450,95,113,107,198,111,74,94,3346,285,1113,1995,2077,2244,2054,5017,3239,602,655,731,1031,477,228,597,22343
SOSR314,0,0,7,28,178,121,361,361,99,63,103,95,27,8,42,1488,3,7,9,11,23,9,17,7,0,0,0,5,0,0,0,93,0,5,4,10,8,0,23,20,7,4,6,3,3,0,3,104,0,5,18,42,77,130,513,195,20,40,55,66,26,16,18,1227,0,3,12,8,11,14,26,31,3,20,17,9,10,3,3,160,0,0,0,0,3,12,47,65,34,42,104,177,40,0,13,536,0,0,0,5,21,32,110,54,26,16,17,22,10,0,15,336,116,453,1337,850,674,481,1171,440,77,39,56,101,33,14,192,6041,4,12,44,62,46,51,101,59,15,17,22,22,8,0,10,459,0,0,0,10,25,16,70,30,5,7,3,14,14,6,17,212,55,149,319,398,369,334,725,462,99,120,155,378,180,195,159,4080,355,1328,2435,2400,2864,2374,5305,3076,650,717,1009,1574,593,342,854,25879
SOSR315,0,0,13,29,227,172,434,501,154,150,174,236,77,43,95,2306,0,8,9,13,51,7,13,8,0,0,0,8,0,0,3,125,0,6,11,33,13,19,18,8,0,5,0,0,0,0,7,118,0,7,37,66,90,125,547,160,27,27,38,44,23,3,40,1235,0,9,12,14,15,4,26,21,4,0,4,3,0,0,3,119,0,0,0,3,0,9,22,39,15,3,34,33,9,0,10,182,0,0,0,4,24,30,129,97,21,14,16,27,13,3,24,414,252,1011,2748,1571,1168,741,1543,515,83,65,47,100,54,21,405,10327,5,7,76,105,76,82,151,92,20,24,18,20,18,3,16,724,0,0,0,10,21,20,56,49,23,25,28,45,12,0,26,322,84,279,485,599,536,391,881,495,105,116,171,395,242,87,245,5113,629,2363,4432,4074,4367,3281,6203,3381,697,654,822,1378,612,236,1522,34656
SOSR321,0,0,5,14,79,51,155,131,14,22,30,40,6,0,18,572,4,0,3,5,18,9,3,3,0,0,0,0,0,0,3,44,0,0,15,13,0,10,5,0,0,0,0,0,0,3,0,51,0,3,17,32,45,75,212,51,14,17,8,11,10,9,9,509,0,0,6,0,9,4,4,8,0,0,0,0,0,0,4,46,0,0,0,0,6,6,5,10,3,3,3,6,0,0,0,37,0,0,5,0,11,17,29,32,7,11,8,5,0,0,11,140,119,422,1081,683,470,341,606,206,31,45,32,38,22,4,151,4250,3,5,34,49,38,38,60,32,8,11,3,12,7,0,8,303,0,0,0,3,3,5,12,13,7,9,0,0,8,0,7,60,31,111,234,293,219,180,278,145,45,28,36,75,46,33,77,1832,233,915,1832,1776,1747,1327,2150,990,191,204,207,261,144,70,479,12534
SOSR322,0,3,0,4,24,30,28,36,3,7,9,10,0,0,11,171,3,0,0,3,9,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,19,0,0,4,8,18,30,78,27,6,4,3,10,4,0,5,195,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,3,5,8,16,6,6,5,9,3,4,0,3,69,48,183,443,315,160,125,166,53,13,15,7,19,12,0,74,1628,0,4,6,18,17,19,19,8,0,0,0,5,0,0,10,109,0,0,0,0,0,0,4,9,0,0,0,0,0,0,4,11,28,57,116,107,102,47,101,60,5,10,14,42,21,3,46,764,128,438,755,783,674,478,692,346,86,71,80,134,60,20,236,4984
SOSR331,0,0,10,62,311,208,373,363,94,68,75,94,47,17,109,1822,10,15,22,27,94,19,20,16,0,7,0,3,6,0,7,252,3,7,28,51,41,24,38,20,7,4,10,8,9,0,8,255,5,24,73,171,193,411,1239,340,59,63,52,83,32,24,53,2814,0,5,31,21,21,29,36,25,3,0,0,8,0,0,5,187,0,0,0,4,40,47,65,41,16,7,23,23,28,0,8,308,0,0,8,17,76,70,183,152,33,23,31,42,19,3,34,694,385,1448,4271,2593,2065,1478,2932,954,115,111,95,134,73,15,718,17383,9,24,144,210,198,179,298,143,25,40,20,43,32,10,44,1422,0,0,6,39,104,60,81,46,14,23,13,19,14,5,48,473,138,455,1065,1190,1177,809,1399,577,133,143,180,463,216,205,454,8601,919,3550,7541,7444,8308,5960,10096,4135,722,716,787,1325,651,333,2475,54966
SOSR379,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,4,0,4,6,8,4,12,3,0,4,48
SOSR401,0,3,24,267,1607,1467,3190,2564,520,507,573,855,308,79,270,12236,198,210,287,285,1919,683,386,145,42,24,28,31,15,3,91,4347,5,27,94,244,271,240,618,348,127,136,125,165,83,21,33,2544,8,34,159,356,408,669,2160,810,217,196,381,443,228,42,83,6179,6,34,63,172,242,252,1067,1132,219,330,423,523,272,25,87,4839,0,0,0,11,98,166,313,419,89,102,118,105,55,8,32,1503,0,4,3,77,545,379,772,435,109,81,99,138,73,29,79,2824,1302,7391,24979,12889,6814,4262,11880,4780,562,516,560,678,387,206,2000,79207,16,31,205,403,410,480,898,598,155,135,160,149,162,50,80,3936,0,6,30,1827,4458,2334,2206,1766,520,510,629,716,409,66,501,15988,1119,2185,3337,3182,5130,6830,12121,7936,2709,2163,2496,2927,1241,254,1143,54772,4950,24269,42072,26383,30238,26746,73033,50468,12889,13484,15920,19266,8289,1720,7674,357402
SOSR412,0,6,0,23,68,67,201,213,27,32,36,47,18,11,21,771,0,8,16,10,29,17,9,7,0,0,0,0,0,0,0,92,0,0,3,8,9,7,15,22,0,3,3,0,0,0,0,69,0,4,5,12,11,47,224,109,29,18,44,54,33,13,11,613,0,0,0,9,3,7,35,37,8,18,9,9,3,0,6,142,0,0,0,0,0,0,5,16,4,0,4,4,0,0,0,39,0,0,0,3,8,12,89,59,8,22,24,7,0,3,7,239,95,650,3010,1269,448,274,673,280,24,46,12,21,18,7,230,7056,0,0,12,26,22,36,57,44,5,4,9,5,7,5,0,233,0,0,4,9,17,6,10,12,4,0,0,3,3,0,7,78,45,102,200,179,100,116,380,291,78,38,64,43,13,7,46,1701,242,1382,3710,1839,1035,840,2387,1527,293,297,361,327,161,79,473,14947
SOSR413,0,0,0,16,77,56,205,235,34,61,22,71,16,0,21,800,3,0,4,10,28,10,8,3,0,0,3,0,0,0,4,72,0,0,6,5,3,12,6,7,0,4,0,0,0,0,5,50,0,5,16,33,27,35,104,57,12,12,10,14,10,0,8,332,0,3,0,7,6,3,5,18,3,5,5,8,0,0,8,71,0,0,0,0,5,0,3,13,5,6,0,8,8,5,0,48,0,0,0,8,6,10,35,16,0,4,3,3,13,0,4,101,140,684,1816,816,402,237,454,212,32,19,26,24,4,0,188,5063,0,4,20,34,25,40,53,27,3,6,14,13,6,5,10,250,0,0,0,14,7,8,32,46,18,30,3,14,3,0,25,217,47,114,143,120,107,108,212,114,50,36,62,87,72,35,79,1396,339,1429,2388,1404,996,717,1689,1167,244,323,291,375,184,56,488,12092
SOSR414,0,0,0,0,11,10,39,72,21,17,12,19,0,3,8,205,0,0,0,0,13,3,3,0,0,0,0,0,0,0,4,30,0,0,3,4,0,0,10,0,0,0,0,0,0,0,0,12,0,0,3,9,9,11,30,16,8,6,9,4,3,0,0,110,0,8,3,0,0,0,0,4,0,0,0,0,0,0,6,19,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,15,0,0,0,0,0,10,13,13,0,5,3,4,0,0,5,63,54,285,838,417,188,103,213,73,8,13,3,5,13,3,98,2311,0,6,9,17,7,10,13,9,3,0,0,0,0,0,0,80,0,0,0,4,0,5,18,6,3,0,0,4,4,0,0,54,19,33,48,39,34,41,61,44,7,11,6,33,15,16,20,439,123,572,1025,602,373,281,590,463,104,132,102,146,56,29,191,4791
SOSR415,0,0,0,18,49,60,158,217,30,48,43,45,16,0,21,714,5,5,7,7,32,12,9,0,0,0,0,0,0,0,0,77,0,0,6,11,8,4,0,5,0,0,0,0,0,0,0,31,0,0,16,22,24,41,134,50,11,6,15,7,0,0,4,343,0,0,0,16,3,0,26,50,15,18,21,12,4,0,3,155,0,0,0,0,0,5,6,12,6,6,4,10,5,0,5,64,0,0,0,5,11,10,33,37,10,14,11,8,11,4,9,158,146,756,2601,1171,510,324,778,263,31,16,15,25,14,4,276,6944,0,9,17,37,29,33,69,45,3,5,4,10,11,3,16,268,0,0,0,21,45,25,51,35,6,4,6,9,5,0,13,218,53,113,205,162,115,91,207,155,40,41,38,72,54,41,88,1490,360,1648,3416,1835,1222,902,2226,1378,305,308,316,455,225,73,597,15267
SOSR421,0,0,0,0,17,12,28,53,20,10,12,13,4,0,3,182,4,0,7,0,8,5,6,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,9,8,8,21,21,4,4,8,21,4,0,3,111,0,0,0,7,0,0,3,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,4,9,0,0,0,13,0,0,0,26,0,0,0,0,0,3,3,8,0,0,0,0,0,0,3,25,39,231,702,302,143,80,153,48,5,5,11,9,0,0,77,1815,0,0,8,3,8,0,19,0,0,0,0,0,0,0,0,50,0,0,0,4,3,0,0,11,4,0,0,0,0,0,0,23,16,43,32,28,22,8,37,29,11,4,9,29,48,17,6,335,76,444,857,458,309,190,362,247,65,51,72,120,67,15,133,3468
SOSR422,0,0,0,0,6,11,19,7,4,3,6,11,0,0,6,68,0,0,0,3,6,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,8,28,11,0,0,0,3,4,0,0,63,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,3,0,0,3,0,0,0,22,17,148,446,175,76,35,83,21,0,8,4,3,0,0,47,1075,0,3,5,3,6,5,10,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,4,29,58,39,21,9,18,6,0,8,0,0,0,0,12,215,42,297,596,315,175,107,235,98,19,40,23,25,13,10,95,2097
SOSR431,0,0,3,9,66,43,106,101,25,33,31,26,21,14,33,514,0,4,15,13,44,9,10,4,0,0,0,0,0,0,0,96,0,0,8,7,6,4,5,10,5,4,3,4,0,0,6,64,0,3,15,32,30,55,146,70,18,5,18,20,23,7,17,440,0,0,0,5,8,4,9,20,0,3,5,0,0,0,6,54,0,0,3,0,0,10,10,8,8,0,3,5,0,0,0,44,0,0,0,5,15,16,46,43,10,6,8,22,3,3,18,200,85,806,2865,1247,656,419,916,272,37,26,34,44,19,3,379,7820,0,3,34,51,68,52,63,27,3,6,13,11,6,5,11,353,0,0,0,35,164,86,59,38,5,4,10,3,13,0,23,446,39,159,256,197,209,220,281,142,31,33,48,70,26,19,99,1838,249,1878,3940,2111,1872,1361,2327,1110,240,241,267,377,179,59,821,17035
SOSR479,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,9,3,0,4,0,0,0,0,0,17
SOSR501,9,5,50,399,2049,1762,8969,10134,1711,1240,1163,1468,522,163,479,30116,193,86,165,363,2173,646,553,497,63,61,67,56,29,10,100,5059,67,138,433,1436,2327,2280,4527,1763,349,380,373,404,308,56,236,15076,19,82,408,1537,3435,4888,15642,6520,867,703,831,926,497,269,408,37031,46,73,179,370,824,807,2346,1985,258,252,286,671,302,24,107,8528,0,0,3,22,236,355,662,1155,150,151,210,284,55,15,68,3361,4,4,34,188,724,816,2685,1719,422,337,355,366,199,65,239,8156,2092,6214,33707,26709,28057,18098,42287,21958,2074,1696,1691,1823,1053,395,3759,191611,31,82,420,759,939,1047,1921,1358,278,274,302,395,320,139,207,8467,5,0,22,1623,4583,2704,2791,2115,499,511,435,578,302,76,635,16876,829,1333,6489,7209,10930,13922,31621,17967,3987,3763,4186,5470,2305,534,2154,112691,6177,19325,56694,56785,87317,76215,190989,124983,20026,18148,20172,25097,11657,3349,14525,731454
SOSR511,0,0,0,14,44,58,321,291,55,40,45,50,33,4,19,976,9,4,0,5,33,9,10,13,0,0,0,0,0,0,3,92,3,5,5,14,9,13,44,14,6,4,7,0,4,0,3,120,0,5,20,44,65,111,691,294,20,44,36,39,14,7,22,1410,0,0,3,0,7,11,23,15,8,5,4,0,0,4,0,71,0,0,0,0,0,4,13,36,4,12,22,39,17,0,0,148,0,0,0,3,8,11,62,27,10,12,11,10,3,0,6,166,115,246,1164,774,609,329,830,382,43,18,24,47,28,0,127,4725,0,0,18,42,23,7,41,23,5,0,3,4,0,7,4,175,0,0,0,5,7,19,26,24,4,8,0,6,5,0,3,113,24,38,102,119,153,130,513,283,39,60,36,50,34,20,41,1643,253,630,1593,1344,1579,1163,3821,2439,313,346,333,421,213,70,402,14919
SOSR512,0,0,0,25,102,102,635,544,105,82,103,126,33,12,30,1904,10,4,3,10,10,6,11,8,3,0,0,0,0,0,5,70,0,3,10,26,20,22,28,18,0,0,0,3,0,0,0,129,0,7,25,41,68,135,678,358,25,61,47,68,48,24,16,1605,4,3,0,3,5,9,43,37,6,4,11,12,0,3,0,140,0,0,0,0,0,3,11,35,4,0,8,17,5,0,5,80,0,0,0,8,16,51,152,122,45,28,19,15,10,11,18,498,190,471,2074,1298,868,483,904,464,52,41,39,57,31,13,245,7235,4,0,27,54,45,35,59,50,7,12,7,13,10,0,5,311,0,0,0,10,33,35,32,59,13,4,10,16,8,0,19,237,44,84,199,165,211,189,754,479,105,99,144,147,90,81,65,2854,408,1013,2801,2224,2229,1845,5229,3686,552,543,624,724,351,213,688,23137
SOSR513,0,0,0,7,57,45,295,456,98,54,72,80,31,3,22,1224,4,0,0,6,27,7,8,12,0,0,0,0,0,0,0,70,0,0,5,18,31,14,34,0,0,0,11,8,0,0,5,132,0,0,4,29,54,98,499,225,22,15,19,49,22,12,15,1058,0,0,5,4,10,4,39,44,9,3,6,15,4,0,0,146,0,0,0,4,0,0,9,39,0,4,0,11,4,0,0,72,0,0,0,4,16,30,93,93,24,18,22,30,11,0,9,352,32,148,738,578,708,480,1254,676,57,42,49,54,34,10,143,4996,0,3,4,28,18,28,44,37,3,12,12,12,0,0,5,201,0,0,0,4,5,3,18,39,11,12,4,11,6,4,3,125,12,22,86,120,162,161,602,345,69,74,89,153,81,22,65,2055,100,341,1064,1180,1707,1420,4498,3152,458,384,458,710,329,106,419,16332
SOSR514,0,0,0,8,14,10,84,80,9,12,4,3,9,4,7,251,12,0,5,0,7,0,3,3,0,0,0,0,0,0,3,35,0,3,5,6,8,8,10,4,0,0,0,3,0,0,3,46,0,0,0,25,49,36,65,33,6,3,4,10,0,0,7,240,0,0,0,0,6,4,4,6,0,0,0,4,0,0,0,30,0,0,0,0,0,0,7,10,8,3,0,9,4,0,0,39,0,0,0,0,3,4,21,3,4,0,3,3,11,0,3,54,37,85,455,322,262,162,283,166,22,4,20,28,10,5,66,1934,0,3,3,14,15,13,16,10,3,0,4,6,0,0,0,96,0,0,0,0,0,6,9,4,0,0,3,0,3,0,0,34,18,10,54,49,59,50,120,88,19,20,24,42,17,0,74,642,138,217,625,590,641,455,970,736,117,90,106,163,90,23,213,5183
SOSR515,0,0,0,12,43,31,257,421,108,83,99,126,23,16,32,1242,4,5,6,4,35,3,7,5,0,3,4,0,0,0,0,77,0,0,11,17,14,15,24,6,3,6,0,3,0,0,17,126,0,4,24,40,65,94,371,104,11,10,18,19,19,3,11,799,0,0,4,3,7,9,22,15,11,3,3,4,6,0,0,83,0,0,0,0,5,0,22,37,8,3,26,23,0,0,6,128,0,0,0,3,10,19,100,64,27,20,14,23,7,3,22,320,121,373,1822,1191,847,471,849,371,42,31,38,55,26,9,287,6521,0,6,30,48,30,40,60,30,6,8,18,19,17,8,8,322,0,0,0,9,11,17,35,29,13,10,7,8,5,0,9,150,25,56,202,158,212,158,518,299,71,63,72,144,94,88,91,2265,291,857,2495,2098,2085,1546,3565,2239,422,364,471,697,303,184,773,18398
SOSR521,0,0,0,7,16,25,95,170,42,39,44,43,30,0,14,519,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,18,0,0,5,11,4,3,3,3,0,0,0,0,0,0,3,32,0,0,6,6,29,27,143,57,11,3,9,10,12,8,10,326,0,0,3,0,3,0,3,3,0,0,3,0,0,0,0,19,0,0,0,0,0,0,8,11,0,0,20,21,7,0,0,58,0,0,0,0,3,11,31,18,4,10,7,7,0,0,6,103,54,156,708,456,279,188,328,179,4,7,15,28,12,0,122,2554,0,3,12,15,9,10,16,14,0,3,0,0,0,0,6,98,0,0,0,0,3,5,9,12,0,6,4,0,4,0,0,51,10,30,101,68,61,55,152,85,20,22,20,56,13,48,35,762,118,344,1005,792,775,591,1200,827,139,125,169,211,106,75,306,6786
SOSR522,0,0,0,4,16,6,36,31,8,4,7,13,0,0,4,132,0,0,0,0,6,4,0,6,0,0,0,0,0,0,0,18,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,12,0,0,4,6,8,29,49,17,0,3,0,0,8,0,5,132,3,0,0,0,0,5,0,3,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,11,0,0,0,0,0,0,5,10,0,0,0,4,0,0,0,23,33,106,441,260,187,99,172,80,14,17,6,18,3,0,59,1483,0,0,10,0,3,3,11,10,3,0,0,3,0,0,4,55,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,17,9,7,43,29,39,32,64,34,10,6,17,33,12,13,19,361,62,200,579,435,454,307,523,335,79,50,69,122,38,29,148,3439
SOSR531,0,0,5,9,82,73,325,360,47,33,42,61,26,11,55,1129,9,9,10,10,90,15,17,10,0,0,5,0,0,0,5,174,3,7,25,42,61,40,65,19,3,7,0,8,0,0,5,284,0,10,28,94,226,312,962,315,41,42,42,65,23,13,56,2226,0,7,10,7,19,15,25,9,0,0,0,9,0,0,26,136,0,0,0,0,3,9,11,23,3,5,13,23,9,0,8,113,0,0,3,18,23,39,91,67,12,12,15,24,15,0,17,331,187,676,3559,2498,2023,1392,2483,856,76,60,89,154,48,16,599,14727,3,10,58,101,82,73,136,93,10,6,13,22,18,0,18,634,0,0,4,25,132,58,47,50,3,12,6,7,4,3,97,455,37,127,504,425,579,511,1092,453,71,76,132,301,102,93,333,4826,455,1641,5101,4445,5256,4055,7765,3808,455,443,636,1095,390,218,1989,37753
