SOSR_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
SOSR314,363,573,932,172,247,420,182,566,754,221,1185,1414,761,3141,3905,876,2091,2970,3007,1405,4411,2448,1711,4164,2788,1686,4482,3255,1200,4459,2427,986,3413,2583,767,3350,5659,1322,6981,4002,219,4221,3269,407,3678,1831,110,1944,4091,629,4718,3578,326,3902,692,1104,1803,42219,19688,61902
SOSR315,678,962,1640,335,388,725,330,979,1311,396,2175,2574,1482,5891,7372,1566,3500,5064,5947,2342,8291,4455,2757,7215,4719,2626,7337,5134,2123,7262,3608,1489,5096,3794,1228,5025,7739,2053,9786,5480,366,5845,4109,638,4742,2498,163,2657,5185,1001,6186,5760,499,6263,1104,2144,3247,64317,33314,97631
SOSR321,313,444,758,133,145,274,169,407,579,213,860,1076,659,2389,3044,647,1188,1832,2267,970,3239,1789,1127,2913,1852,1018,2868,2028,784,2805,1420,579,2002,1469,444,1917,2944,658,3601,2010,132,2143,1555,180,1736,863,67,929,1861,339,2199,2449,189,2633,550,774,1321,25194,12682,37875
SOSR322,139,264,399,73,101,169,75,237,313,97,525,621,338,1268,1605,330,700,1025,1105,599,1704,854,682,1536,962,726,1684,1005,620,1626,600,374,974,633,311,949,1129,560,1694,760,120,888,559,166,719,311,49,360,647,270,915,1034,101,1138,284,590,868,10911,8278,19190
SOSR331,1646,1812,3456,812,668,1485,645,1424,2066,622,2856,3479,2401,6942,9339,2251,3623,5875,7913,3270,11183,6524,3967,10487,7707,3923,11631,8894,2794,11689,6163,2064,8226,6909,1672,8574,13638,2538,16177,10137,611,10752,7905,792,8700,4939,223,5162,13419,1456,14872,11971,674,12641,2234,3197,5429,116723,44504,161222
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,7,5
SOSR401,2845,4692,7531,1212,1843,3055,1410,5452,6861,1705,11109,12813,5333,26711,32049,6582,16853,23434,19659,11278,30941,19450,13899,33349,23334,14833,38170,26496,11430,37927,19771,9101,28872,20452,6760,27215,43886,10062,53946,32706,1819,34523,25111,2330,27444,15994,630,16625,39663,3502,43167,19494,2622,22116,2768,4969,7737,327875,159908,487788
SOSR412,195,307,504,98,148,245,102,523,631,151,1075,1228,553,2636,3184,646,1556,2201,2002,948,2952,1776,1220,2998,1889,1196,3087,2174,835,3009,1530,707,2233,1695,472,2172,3646,730,4375,2619,81,2697,1830,150,1973,1116,30,1142,1971,191,2168,1886,146,2039,303,540,841,26192,13489,39681
SOSR413,191,317,512,91,177,265,114,532,648,151,1069,1220,544,2837,3386,640,1684,2326,2277,1044,3322,1849,1151,2999,2121,1023,3147,2241,731,2972,1394,583,1978,1373,369,1745,2687,594,3284,1859,78,1937,1336,151,1490,816,25,837,2115,268,2380,1868,125,1995,342,718,1056,24018,13472,37487
SOSR414,85,101,183,31,66,104,33,156,190,51,279,331,180,929,1114,207,678,888,890,394,1287,800,449,1249,817,373,1193,838,256,1094,572,193,764,581,144,732,1119,167,1281,707,33,735,461,39,502,245,18,262,433,73,505,639,40,683,108,163,271,8799,4562,13361
