SOSR_CODE_2021,M_SEO_Before_2005,M_SEO_2005_2010,M_SEO_2011_2015,M_SEO_2016,M_SEO_2017,M_SEO_2018,M_SEO_2019,M_SEO_2020,M_SEO_2021,M_SEO_Yr_arr_ns,M_SEO_Tot,M_Sol_sp_En_Vww_B_2005,M_Sol_sp_En_Vww_2005_2010,M_Sol_sp_En_Vww_2011_2015,M_Sol_sp_En_Vww_2016,M_Sol_sp_En_Vww_2017,M_Sol_sp_En_Vww_2018,M_Sol_sp_En_Vww_2019,M_Sol_sp_En_Vww_2020,M_Sol_sp_En_Vww_2021,M_Sol_sp_En_Vww_Yr_arr_ns,M_Sol_sp_En_Vww_Tot,M_Sol_sp_En_Nwna_B_2005,M_Sol_sp_En_Nwna_2005_2010,M_Sol_sp_En_Nwna_2011_2015,M_Sol_sp_En_Nwna_2016,M_Sol_sp_En_Nwna_2017,M_Sol_sp_En_Nwna_2018,M_Sol_sp_En_Nwna_2019,M_Sol_sp_En_Nwna_2020,M_Sol_sp_En_Nwna_2021,M_Sol_sp_En_Nwna_Yr_arr_ns,M_Sol_sp_En_Nwna_Tot,M_Sol_sp_E_Pr_E_ns_B_2005,M_Sol_sp_E_Pr_E_ns_2005_2010,M_Sol_sp_E_Pr_E_ns_2011_2015,M_Sol_sp_E_Pr_E_ns_2016,M_Sol_sp_E_Pr_E_ns_2017,M_Sol_sp_E_Pr_E_ns_2018,M_Sol_sp_E_Pr_E_ns_2019,M_Sol_sp_E_Pr_E_ns_2020,M_Sol_sp_E_Pr_E_ns_2021,M_So_sp_E_Pr_E_ns_Yr_ar_ns,M_Sol_sp_E_Pr_E_ns_Tot,M_Sol_sp_En_Tot_B_2005,M_Sol_sp_En_Tot_2005_2010,M_Sol_sp_En_Tot_2011_2015,M_Sol_sp_En_Tot_2016,M_Sol_sp_En_Tot_2017,M_Sol_sp_En_Tot_2018,M_Sol_sp_En_Tot_2019,M_Sol_sp_En_Tot_2020,M_Sol_sp_En_Tot_2021,M_Sol_sp_En_Tot_Yr_arr_ns,M_Sol_sp_En_Tot_YoA_Tot,M_LanProf_En_ns_B_2005,M_LanProf_En_ns_2005_2010,M_LanProf_En_ns_2011_2015,M_LanProf_En_ns_2016,M_LanProf_En_ns_2017,M_LanProf_En_ns_2018,M_LanProf_En_ns_2019,M_LanProf_En_ns_2020,M_LanProf_En_ns_2021,M_LanProf_En_ns_Yr_arr_ns,M_LanProf_En_ns_Tot,M_Tot_B_2005,M_Tot_2005_2010,M_Tot_2011_2015,M_Tot_2016,M_Tot_2017,M_Tot_2018,M_Tot_2019,M_Tot_2020,M_Tot_2021,M_Tot_Yr_arrival_ns,M_Tot_YoA_Tot,F_SEO_B_2005,F_SEO_2005_2010,F_SEO_2011_2015,F_SEO_2016,F_SEO_2017,F_SEO_2018,F_SEO_2019,F_SEO_2020,F_SEO_2021,F_SEO_Yr_arr_ns,F_SEO_Tot,F_Sol_sp_En_Vww_B_2005,F_Sol_sp_En_Vww_2005_2010,F_Sol_sp_En_Vww_2011_2015,F_Sol_sp_En_Vww_2016,F_Sol_sp_En_Vww_2017,F_Sol_sp_En_Vww_2018,F_Sol_sp_En_Vww_2019,F_Sol_sp_En_Vww_2020,F_Sol_sp_En_Vww_2021,F_Sol_sp_En_Vww_Yr_arr_ns,F_Sol_sp_En_Vww_Tot,F_Sol_sp_En_Nwna_B_2005,F_Sol_sp_En_Nwna_2005_2010,F_Sol_sp_En_Nwna_2011_2015,F_Sol_sp_En_Nwna_2016,F_Sol_sp_En_Nwna_2017,F_Sol_sp_En_Nwna_2018,F_Sol_sp_En_Nwna_2019,F_Sol_sp_En_Nwna_2020,F_Sol_sp_En_Nwna_2021,F_Sol_sp_En_Nwna_Yr_arr_ns,F_Sol_sp_En_Nwna_Tot,F_Sol_sp_En_Pr_En_ns_B_2005,F_Sol_sp_E_Pr_En_ns_2005_2010,F_Sol_sp_E_Pr_En_ns_2011_2015,F_Sol_sp_En_Prof_En_ns_2016,F_Sol_sp_En_Prof_En_ns_2017,F_Sol_sp_En_Prof_En_ns_2018,F_Sol_sp_En_Prof_En_ns_2019,F_Sol_sp_En_Prof_En_ns_2020,F_Sol_sp_En_Prof_En_ns_2021,F_So_sp_En_Pro_En_ns_Yr_ar_ns,F_Sol_sp_En_Prof_En_ns_Tot,F_Sol_sp_En_Tot_B_2005,F_Sol_sp_En_Tot_2005_2010,F_Sol_sp_En_Tot_2011_2015,F_Sol_sp_En_Tot_2016,F_Sol_sp_En_Tot_2017,F_Sol_sp_En_Tot_2018,F_Sol_sp_En_Tot_2019,F_Sol_sp_En_Tot_2020,F_Sol_sp_En_Tot_2021,F_Sol_sp_En_Tot_Yr_arr_ns,F_Sol_sp_En_Tot_YoA_Tot,F_LanProf_En_ns_B_2005,F_LanProf_En_ns_2005_2010,F_LanProf_En_ns_2011_2015,F_LanProf_En_ns_2016,F_LanProf_En_ns_2017,F_LanProf_En_ns_2018,F_LanProf_En_ns_2019,F_LanProf_En_ns_2020,F_LanProf_En_ns_2021,F_LanProf_En_ns_Yr_arr_ns,F_LanProf_En_ns_Tot,F_Tot_B_2005,F_Tot_2005_2010,F_Tot_2011_2015,F_Tot_2016,F_Tot_2017,F_Tot_2018,F_Tot_2019,F_Tot_2020,F_Tot_2021,F_Tot_Yr_arrival_ns,F_Tot_YoA_Tot,P_SEO_B_2005,P_SEO_2005_2010,P_SEO_2011_2015,P_SEO_2016,P_SEO_2017,P_SEO_2018,P_SEO_2019,P_SEO_2020,P_SEO_2021,P_SEO_Yr_arr_ns,P_SEO_Tot,P_Sol_sp_En_Vww_B_2005,P_Sol_sp_En_Vww_2005_2010,P_Sol_sp_En_Vww_2011_2015,P_Sol_sp_En_Vww_2016,P_Sol_sp_En_Vww_2017,P_Sol_sp_En_Vww_2018,P_Sol_sp_En_Vww_2019,P_Sol_sp_En_Vww_2020,P_Sol_sp_En_Vww_2021,P_Sol_sp_En_Vww_Yr_arr_ns,P_Sol_sp_En_Vww_Tot,P_Sol_sp_En_Nwna_B_2005,P_Sol_sp_En_Nwna_2005_2010,P_Sol_sp_En_Nwna_2011_2015,P_Sol_sp_En_Nwna_2016,P_Sol_sp_En_Nwna_2017,P_Sol_sp_En_Nwna_2018,P_Sol_sp_En_Nwna_2019,P_Sol_sp_En_Nwna_2020,P_Sol_sp_En_Nwna_2021,P_Sol_sp_En_Nwna_Yr_arr_ns,P_Sol_sp_En_Nwna_Tot,P_Sol_sp_En_Pr_En_ns_B_2005,P_Sol_sp_E_Pr_En_ns_2005_2010,P_Sol_sp_E_Pr_En_ns_2011_2015,P_Sol_sp_En_Prof_En_ns_2016,P_Sol_sp_En_Prof_En_ns_2017,P_Sol_sp_En_Prof_En_ns_2018,P_Sol_sp_En_Prof_En_ns_2019,P_Sol_sp_En_Prof_En_ns_2020,P_Sol_sp_En_Prof_En_ns_2021,P_So_sp_En_Pro_En_ns_Yr_ar_ns,P_Sol_sp_En_Prof_En_ns_Tot,P_Sol_sp_En_Tot_B_2005,P_Sol_sp_En_Tot_2005_2010
SOSR379,4,0,0,0,0,0,3,0,0,3,12,0,0,0,6,3,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,8,4,9,0,0,4,39,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,12,6,0,0,0,0,0,5,0,0,3,19,0,0,0,6,3,0,6,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,49128,8310,5325,929,935,1096,1229,713,251,1617,69533,25940,18296,16237,4568,4903,6018,6963,2867,395,1344,87532,5429,1748,2625,616,558,726,1221,531,170,415,14048,93,27,31,3,13,13,18,11,8,42,255,31466,20070,18897,5192,5476,6756,8207,3410,577,1794,101837,103,21,13,3,4,8,11,11,0,303,470,80691,28400,24228,6127,6419,7867,9450,4141,826,3717,171846,51888,8284,5272,951,926,1125,1233,686,247,1810,72426,28602,18044,17630,4961,5299,5948,6740,2651,423,1272,91576,8672,2795,3282,841,829,984,1817,789,223,619,20848,127,37,31,0,8,5,10,20,0,43,286,37404,20877,20946,5801,6136,6933,8571,3457,646,1932,112707,130,20,22,6,8,4,14,5,0,217,424,89414,29181,26241,6769,7069,8054,9818,4150,898,3960,185551,101019,16589,10600,1882,1865,2223,2465,1405,498,3429,141962,54548,36345,33867,9530,10199,11963,13705,5517,820,2612,179107,14097,4541,5905,1456,1397,1713,3038,1323,391,1031,34895,218,63,65,6,19,19,32,30,12,82,545,68860,40946
SOSR412,3972,438,304,43,45,42,34,30,16,155,5082,448,409,367,79,93,127,100,34,14,43,1700,31,41,40,3,8,11,17,8,3,5,188,6,0,0,0,0,0,0,0,0,3,14,483,450,405,84,103,141,120,47,20,55,1899,11,0,0,0,0,0,0,0,0,7,19,4463,888,709,128,143,183,146,74,35,218,6999,4403,474,313,54,42,46,41,31,18,178,5600,627,429,431,103,94,119,101,41,18,49,2016,75,61,61,11,19,13,40,15,7,12,302,5,4,0,0,0,0,0,0,0,0,9,706,495,499,114,110,131,137,53,25,62,2331,8,0,0,0,0,0,0,0,0,10,22,5112,970,816,170,150,178,178,87,42,251,7954,8373,916,624,96,87,83,71,63,39,334,10681,1068,843,795,177,185,246,196,75,33,91,3714,105,101,100,21,27,29,55,24,13,19,490,7,3,5,0,0,0,0,0,0,4,23,1183,949
SOSR413,3165,329,214,37,27,42,54,20,13,133,4026,438,286,290,73,90,96,108,44,19,27,1468,37,28,43,5,5,4,28,12,3,4,164,3,0,0,0,0,0,0,0,0,0,6,480,311,327,80,93,99,130,60,19,32,1639,9,0,0,0,0,0,0,0,0,136,143,3650,645,545,120,124,144,182,83,28,307,5812,3431,316,249,26,40,41,39,21,7,143,4315,521,311,328,86,151,88,118,58,9,27,1693,52,32,47,13,14,12,34,26,5,12,250,0,0,0,0,0,0,0,0,0,0,9,575,344,377,101,161,100,151,84,16,37,1948,4,0,0,0,0,0,0,0,0,0,10,4011,655,622,124,198,146,191,104,26,185,6278,6593,640,463,64,70,87,91,40,19,279,8345,955,601,616,155,239,184,225,106,25,57,3166,92,53,85,25,19,17,60,39,7,16,415,5,0,0,0,0,0,0,0,0,0,13,1055,658
SOSR414,1331,117,89,17,9,14,13,9,5,68,1673,108,77,117,23,31,28,51,15,14,10,463,10,20,54,10,12,12,11,10,0,5,150,0,0,0,0,0,0,0,0,0,0,0,119,95,166,32,44,45,59,24,12,18,613,7,0,0,0,0,0,0,0,0,5,10,1450,217,258,50,59,54,76,33,19,85,2295,1506,146,94,11,18,16,7,11,5,78,1888,138,72,99,35,36,23,44,7,4,13,483,14,11,12,15,26,9,10,4,0,8,112,0,0,0,0,0,0,0,0,0,4,4,157,93,112,50,57,30,60,12,4,28,598,3,0,0,0,0,0,6,0,0,0,14,1659,241,206,56,80,51,65,27,13,105,2497,2831,270,182,28,33,28,22,20,8,145,3559,251,147,209,57,72,50,94,21,18,25,947,27,36,66,22,33,21,23,22,0,12,261,0,0,0,0,0,0,0,0,0,4,4,269,182
SOSR415,4000,502,267,40,31,26,39,23,10,181,5118,537,333,321,90,90,110,121,62,24,33,1721,87,35,69,16,16,21,30,17,25,43,357,9,0,0,0,0,0,3,0,0,7,18,638,369,388,109,107,126,155,82,47,82,2103,7,0,0,0,0,0,0,0,3,13,30,4650,871,654,143,133,154,198,101,63,280,7248,4446,518,307,52,48,43,52,26,4,230,5726,581,309,370,90,117,120,168,81,10,44,1885,169,40,39,21,10,6,39,20,0,24,368,6,0,0,0,0,0,0,0,0,4,12,753,359,409,108,125,123,206,101,10,79,2267,14,0,0,0,0,0,0,0,0,8,28,5216,872,717,160,175,161,259,129,13,314,8019,8452,1022,575,88,78,66,94,47,11,412,10843,1116,645,693,177,206,227,290,145,28,83,3606,253,78,103,38,23,23,74,34,26,69,728,12,0,0,0,0,0,3,0,0,13,32,1388,723
SOSR421,1096,90,50,6,12,9,6,0,0,59,1326,69,40,59,23,13,17,42,28,8,0,300,3,0,6,0,0,3,7,0,11,3,36,0,0,0,0,0,0,0,0,0,0,5,71,40,67,23,13,23,55,30,17,3,336,4,0,0,0,0,0,0,0,0,3,6,1167,130,117,29,20,35,65,33,17,59,1664,1162,99,53,13,15,13,12,3,0,58,1428,76,47,72,19,21,28,39,24,0,3,325,7,0,10,6,0,4,9,7,0,0,33,0,0,0,0,0,0,0,0,0,0,0,83,47,77,24,21,32,44,30,0,3,364,9,0,0,0,0,0,0,0,0,0,9,1249,150,134,40,31,44,59,34,0,70,1802,2255,192,100,25,19,19,23,4,0,116,2753,143,83,130,40,30,45,81,52,8,5,625,7,0,17,6,0,5,19,7,11,4,69,0,0,0,0,0,0,0,0,0,0,5,152,85
SOSR422,738,53,22,3,3,0,3,0,0,44,870,64,32,14,4,9,4,6,3,0,6,138,3,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,62,35,14,4,9,8,12,3,0,4,149,3,0,0,0,0,0,0,0,0,0,4,803,85,39,10,18,10,14,3,3,53,1027,724,51,34,6,10,6,3,6,4,38,877,61,28,29,9,16,13,9,0,0,3,173,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,64,28,29,9,16,13,11,7,0,4,181,0,0,0,0,0,0,0,0,3,0,3,793,85,60,14,24,13,18,8,5,46,1064,1469,103,62,8,17,6,8,6,4,78,1751,125,60,38,15,21,15,22,8,0,9,314,5,3,0,0,0,0,3,0,0,6,21,0,0,0,0,0,0,0,0,0,0,0,131,63
SOSR431,5038,550,278,46,45,54,50,26,7,257,6351,822,259,207,48,53,53,104,31,16,72,1665,205,24,41,19,10,19,34,17,11,22,406,10,3,0,0,0,0,3,3,0,4,20,1034,289,252,69,67,75,146,50,27,98,2099,10,0,0,0,0,0,0,0,0,119,131,6087,835,530,111,106,128,194,76,39,470,8576,4914,561,302,53,50,55,53,30,9,268,6305,797,250,242,68,70,73,99,47,11,60,1710,250,38,30,8,10,14,27,16,0,16,410,8,8,0,0,0,0,0,0,0,6,16,1055,294,278,70,86,84,129,68,12,79,2140,12,0,0,0,0,0,0,0,0,3,17,5973,851,578,128,130,140,182,96,21,349,8460,9951,1106,583,99,91,111,106,58,17,521,12650,1618,507,454,115,120,123,202,83,25,132,3381,455,64,76,21,23,38,64,29,15,37,820,18,9,0,0,0,0,3,3,0,6,35,2086,580
SOSR479,3,0,0,0,0,0,0,0,0,0,4,0,9,3,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,9,3,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SOSR501,117008,33865,25682,2713,2416,2488,2789,1644,731,3701,193031,42602,36006,30311,5593,5109,6105,7544,3021,591,2063,138961,6048,2795,2564,632,637,727,1372,642,181,558,16151,112,72,57,12,11,13,37,30,20,76,429,48760,38865,32936,6239,5762,6844,8955,3694,791,2702,155545,160,58,44,10,9,8,13,16,9,750,1075,165929,72792,58662,8961,8184,9345,11757,5342,1527,7152,349655,122653,32796,25963,3061,2665,2708,3127,1723,745,3692,199119,48577,36455,36001,6988,6327,7010,8050,3392,759,2243,155789,9413,4458,4249,994,953,1085,2124,1177,308,826,25593,133,63,62,12,11,17,34,13,9,98,449,58124,40977,40312,7995,7292,8108,10205,4581,1075,3169,181831,187,51,48,15,10,11,10,8,3,515,848,180955,73820,66314,11068,9968,10828,13343,6315,1818,7373,381803,239659,66659,51641,5769,5084,5196,5914,3362,1477,7392,392159,91176,72458,66315,12582,11439,13115,15595,6413,1352,4308,294754,15467,7251,6816,1628,1593,1808,3495,1820,489,1387,41745,246,137,116,27,22,29,73,38,27,172,879,106883,79844
SOSR511,3060,867,564,42,42,49,59,36,17,116,4856,421,586,575,79,96,76,87,43,17,32,2004,29,29,17,3,10,21,24,9,7,3,150,0,3,5,0,0,0,0,0,0,0,7,455,619,592,81,102,100,123,54,20,32,2163,5,0,0,0,3,0,0,0,0,83,92,3513,1485,1155,122,145,152,178,84,29,235,7107,3245,900,579,63,61,58,71,48,14,122,5169,531,611,661,118,121,100,121,55,18,35,2377,49,38,35,9,19,18,43,22,4,0,242,3,0,3,0,0,0,0,0,0,0,9,582,646,702,123,141,124,166,81,24,39,2637,3,0,0,0,0,0,0,0,0,4,12,3839,1550,1285,190,200,183,240,123,38,165,7812,6305,1771,1149,106,102,111,130,78,30,238,10024,956,1199,1234,195,213,174,216,98,36,66,4385,79,62,52,5,29,47,74,30,3,5,396,6,5,3,0,0,0,0,0,0,0,21,1038,1265
SOSR512,4691,1060,822,80,90,109,113,61,47,228,7299,587,954,851,139,164,162,193,89,71,58,3280,50,37,59,18,4,16,23,14,21,8,250,6,3,0,0,0,0,0,0,0,0,11,635,992,904,159,178,175,222,105,97,68,3539,13,4,0,0,0,0,0,0,0,116,130,5340,2055,1727,238,271,290,334,166,142,412,10968,5286,1139,876,102,103,122,127,72,20,194,8035,780,988,1002,175,158,199,223,92,35,39,3696,86,52,76,34,12,23,36,27,25,14,370,5,0,0,0,0,0,0,0,0,6,13,869,1039,1079,209,168,220,262,117,59,52,4075,19,8,0,0,0,0,3,0,0,29,56,6175,2177,1958,309,275,342,392,189,75,274,12171,9978,2198,1698,183,201,227,240,129,60,421,15334,1370,1939,1849,315,327,360,418,187,108,100,6973,133,86,132,51,16,36,60,39,47,19,621,4,6,0,0,0,0,0,0,0,3,20,1505,2027
SOSR513,2933,1161,896,76,65,79,98,59,28,150,5544,440,730,596,114,90,117,181,67,24,55,2418,23,21,9,3,4,8,14,15,5,6,106,7,4,3,0,0,0,0,3,0,0,16,473,753,611,115,94,123,192,88,28,55,2541,12,8,3,0,0,0,5,0,0,15,34,3421,1918,1508,196,157,200,300,145,58,226,8118,2750,1066,879,93,79,85,119,64,21,119,5292,466,615,737,159,133,148,252,111,30,48,2697,36,29,27,7,13,18,39,10,0,7,183,0,0,0,0,0,0,3,0,0,0,5,505,644,765,168,147,162,295,120,27,59,2886,12,5,0,0,0,4,0,0,0,21,34,3266,1710,1641,263,229,257,414,185,49,196,8214,5687,2222,1775,173,145,164,222,127,52,276,10839,910,1345,1334,272,225,266,430,181,52,106,5110,62,48,37,16,13,28,51,20,3,8,283,6,3,3,0,0,0,6,3,0,0,25,976,1395
SOSR514,1234,220,194,24,15,18,36,13,4,57,1814,117,116,125,24,23,33,40,17,8,17,513,4,8,9,0,0,0,3,9,0,56,88,0,0,0,0,0,0,0,0,0,0,3,123,121,133,22,23,36,44,23,8,71,606,3,0,0,0,0,0,0,0,0,7,10,1364,339,328,45,38,53,80,30,9,138,2423,1341,237,206,35,18,22,40,25,9,49,1987,169,151,193,32,34,25,41,21,6,19,690,13,13,12,4,0,4,6,7,0,5,58,0,0,0,0,0,0,0,0,0,0,5,185,166,205,36,33,28,52,31,9,17,752,3,0,0,0,0,0,0,0,0,10,11,1529,402,412,73,50,52,86,57,12,80,2758,2571,456,408,61,33,45,77,35,11,105,3797,289,266,317,58,56,61,81,43,11,38,1202,17,22,17,7,0,3,13,15,0,57,150,4,0,0,0,0,0,0,0,0,0,3,307,287
SOSR515,4462,789,532,55,58,66,84,45,34,235,6370,509,530,448,116,89,119,197,70,73,81,2242,36,49,51,9,5,22,30,18,10,15,251,7,0,0,0,0,0,0,6,4,4,21,550,580,495,126,96,147,227,96,92,102,2510,16,3,3,0,0,0,6,0,0,25,52,5023,1379,1035,188,160,213,314,143,126,362,8933,4545,796,596,84,84,76,115,57,15,274,6640,558,514,548,131,104,153,212,100,31,85,2432,54,64,51,17,16,29,52,15,7,19,317,4,0,8,0,0,0,3,0,0,0,16,615,577,608,147,122,183,261,111,43,100,2763,15,3,0,0,0,0,5,0,0,36,59,5171,1373,1203,235,206,255,380,169,56,415,9465,9005,1589,1126,143,145,145,196,99,49,511,13004,1062,1039,995,244,201,273,411,171,103,169,4675,91,112,99,29,26,51,78,32,22,34,563,5,5,5,0,0,0,3,6,6,6,36,1162,1157
SOSR521,1794,291,227,31,22,24,27,22,10,124,2570,163,135,171,30,22,39,56,25,15,12,670,8,0,3,0,0,9,8,9,3,4,50,5,0,0,0,0,0,0,0,3,0,6,178,137,180,34,21,48,61,28,27,22,727,6,0,0,0,0,0,0,0,0,9,21,1979,427,402,69,46,72,94,48,33,148,3320,1763,267,227,29,33,38,38,13,6,117,2540,187,175,183,41,38,49,70,35,29,24,825,6,9,8,0,6,10,20,7,8,9,79,0,3,3,0,0,0,0,0,0,0,8,190,188,197,41,46,62,86,44,34,30,916,7,0,0,0,0,0,0,0,0,4,15,1960,453,420,75,77,103,121,63,48,155,3467,3558,561,455,68,55,61,65,35,15,245,5115,350,309,357,73,63,85,120,57,43,38,1500,14,12,11,0,5,17,24,13,14,11,129,5,3,3,0,0,0,0,0,3,0,18,366,319
SOSR522,1042,139,95,18,19,15,26,10,3,52,1421,69,56,60,16,8,18,30,11,0,5,277,10,0,5,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,74,56,64,18,13,18,38,11,0,5,295,6,0,0,0,0,0,0,0,0,21,25,1126,197,161,36,24,32,61,18,7,73,1736,968,131,110,27,17,19,23,11,9,46,1344,81,47,68,17,10,23,34,12,14,13,319,7,5,3,0,0,0,4,0,3,5,22,0,0,0,0,0,0,0,0,0,0,0,93,50,70,17,10,23,35,12,14,17,340,0,0,0,0,0,0,0,0,0,9,11,1058,182,179,41,24,39,60,21,21,66,1696,2008,271,205,47,33,35,51,17,8,104,2764,155,109,130,30,19,41,66,21,17,18,597,15,5,4,0,0,0,3,0,3,5,40,0,0,0,0,0,0,0,0,0,0,0,170,111
SOSR531,10826,2229,1355,133,97,158,263,73,54,533,15729,1366,1183,860,87,121,144,269,104,69,113,4329,117,30,37,8,8,33,44,11,10,19,316,12,14,7,0,0,3,0,0,6,7,40,1496,1219,903,95,131,171,321,119,83,138,4683,47,17,8,0,0,0,5,8,0,785,878,12375,3469,2269,225,237,334,583,199,140,1454,21289,9457,1498,944,125,92,122,209,79,33,412,12965,1116,638,549,95,104,161,265,89,28,79,3120,121,29,45,3,14,21,33,23,5,17,295,9,0,0,0,0,0,3,0,0,8,26,1240,669,592,99,115,179,299,111,38,101,3441,22,0,3,0,0,0,3,0,0,20,52,10716,2167,1535,226,206,304,511,194,76,535,16470,20278,3725,2294,256,193,284,474,155,95,943,28698,2482,1817,1411,182,223,305,531,194,97,192,7446,239,56,76,10,23,50,78,32,14,29,615,17,12,6,0,0,3,3,0,9,15,66,2737,1890
SOSR579,242,93,71,4,4,10,12,5,3,6,439,52,43,27,3,4,7,5,4,0,15,168,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,58,41,27,3,4,7,5,4,0,15,175,0,0,0,0,0,0,0,0,0,0,5,301,139,100,9,9,18,14,10,3,25,618,44,7,9,0,0,0,4,0,0,0,79,3,8,3,4,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,4,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,51,15,15,4,0,0,5,6,0,5,97,291,101,71,5,7,13,10,6,3,8,511,55,45,36,9,4,7,8,9,0,19,191,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,62,49
SOSR603,5452,732,675,165,126,189,145,72,34,242,7829,1411,1426,3723,1282,1194,1044,812,277,39,184,11394,163,78,221,84,81,81,121,38,10,18,897,9,4,13,0,3,3,4,3,0,0,44,1580,1503,3951,1368,1281,1132,932,319,46,209,12330,14,0,6,0,0,0,6,0,0,49,73,7050,2237,4625,1531,1404,1320,1081,398,87,500,20235,5785,766,651,168,142,137,158,70,32,205,8115,1785,1449,3207,1240,1219,1116,972,319,40,186,11523,224,121,272,85,96,93,150,64,15,23,1145,7,6,5,0,0,0,9,4,0,9,38,2015,1567,3484,1324,1322,1209,1127,380,58,215,12703,22,0,4,5,3,0,0,0,0,29,67,7819,2338,4138,1500,1465,1346,1290,448,93,456,20890,11238,1494,1325,331,270,326,301,141,71,444,15949,3198,2866,6932,2517,2416,2159,1780,595,81,377,22918,385,193,494,171,178,179,274,104,23,43,2041,20,7,12,3,5,7,10,0,0,13,78,3596,3069
SOSR611,2022,237,184,41,45,51,46,33,4,79,2738,355,398,960,411,380,360,301,113,17,42,3355,34,39,130,43,47,28,57,29,5,8,429,0,0,0,0,0,3,7,0,3,4,21,394,438,1093,460,430,394,364,142,28,59,3798,3,0,0,4,4,0,0,0,0,11,21,2421,676,1281,500,483,445,409,173,35,149,6564,2152,266,222,36,51,47,46,24,3,86,2933,493,440,790,323,349,325,300,110,25,35,3196,31,53,170,67,44,54,75,40,5,17,550,0,0,0,0,0,4,14,0,0,4,19,524,494,961,389,394,384,384,148,31,49,3765,7,0,0,0,0,0,0,0,0,10,19,2683,767,1183,425,447,429,426,172,37,146,6714,4173,501,412,71,102,98,86,53,9,166,5676,847,833,1753,730,735,692,602,224,43,76,6549,64,95,297,113,95,78,130,65,10,29,973,0,0,0,0,0,6,16,0,4,4,40,916,932
SOSR612,1083,70,56,9,11,31,21,12,6,58,1351,145,106,209,76,104,92,94,27,7,22,876,12,9,9,7,10,9,14,5,9,3,75,0,0,0,0,0,0,3,0,0,0,3,160,108,215,84,110,98,109,27,17,25,959,0,0,0,0,0,0,0,0,0,9,10,1241,184,275,87,121,130,128,43,17,85,2317,1117,102,59,19,8,21,18,13,3,52,1399,206,106,184,69,105,88,105,28,18,34,942,9,10,12,6,5,12,19,6,5,4,91,0,0,0,0,0,0,0,0,0,0,3,219,120,200,78,109,102,125,29,18,32,1033,4,0,0,0,0,0,0,0,0,0,4,1338,215,251,92,116,129,140,42,26,85,2439,2197,170,117,22,20,55,32,19,7,112,2749,355,211,392,150,205,186,199,53,23,53,1819,20,17,22,12,14,17,33,9,11,8,161,0,0,0,0,0,0,3,0,0,0,7,375,228
SOSR613,346,12,17,5,4,0,4,0,0,7,395,29,8,20,5,11,9,9,0,0,0,99,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,36,8,19,10,9,9,9,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,380,22,38,7,19,9,11,3,0,12,502,384,17,29,4,5,5,6,4,0,18,460,45,19,24,13,4,12,8,0,0,0,128,5,0,4,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,51,15,25,13,8,12,11,0,0,8,140,0,0,0,0,0,0,0,0,0,0,0,429,39,54,20,16,12,15,3,0,24,605,724,30,45,3,12,5,12,0,0,24,863,76,21,47,21,22,15,18,4,0,5,229,7,0,3,0,5,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,4,90,23
