SOSR_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
SOSR322,8,38,0,47,861,143,0,1047,82,40,3,127,784,110,4,1029,668,78,38,789,1208,264,54,2316,982,63,39,1085,960,277,13,2333,581,107,11,694,1909,324,4,2939,121,236,5,368,3481,412,4,4264,26,195,0,221,3747,369,14,4355,10,30,0,41,1692,195,7,1932,0,3,0,3,276,58,0,334,2482,791,108,3379,14914,2152,101,20548,22,100,3,123,706,112,0,940,170,85,22,275,639,103,5,1019,999,128,104,1228,874,230,21,2358,1185,99,87,1370,766,215,7,2355,542,228,38,803,1853,239,3,2898,64,495,8,571,3291,348,10,4218,28,314,4,341,3154,308,9,3809,6,41,0,49,1378,165,4,1595,0,6,0,6,342,54,0,400,3013,1487,258,4757,13000,1785,52,19601,35,132,4,175,1563,251,0,1989,251,123,21,400,1422,218,8,2048,1672,209,142,2020,2089,498,75,4675,2161,162,125,2453,1728,497,13,4691,1115,334,47,1500,3767,566,3,5833
SOSR331,51,518,5,572,11829,1658,9,14072,429,298,9,739,8683,1843,164,11420,6273,521,192,6987,11959,4779,556,24278,13372,488,370,14234,9056,4853,239,28372,9009,1065,224,10295,20646,5247,97,36287,1819,2541,53,4415,31719,4636,50,40822,331,2472,15,2818,28640,3189,61,34702,64,480,4,544,13029,1440,17,15041,8,24,0,34,2328,308,0,2674,31362,8415,862,40638,137885,27959,1186,207676,101,945,10,1058,10409,1392,6,12865,841,598,48,1486,6860,1114,87,9544,9210,805,511,10527,8404,2620,226,21775,15739,823,806,17370,6574,2609,66,26627,8161,2513,346,11029,20167,3074,48,34321,754,5991,53,6791,27938,3132,44,37907,172,3784,18,3973,22976,2468,46,29466,45,542,9,595,10098,1140,14,11855,6,33,0,38,2191,259,0,2492,35031,16035,1801,52864,115628,17810,545,186853,151,1466,16,1635,22243,3054,16,26935,1277,898,57,2228,15541,2952,245,20966,15480,1334,700,17516,20359,7395,783,46059,29109,1315,1173,31600,15631,7467,304,55002,17170,3583,567,21324,40811,8326,147,70611
SOSR379,0,0,0,0,0,0,0,8,0,0,0,0,6,5,0,8,9,0,0,9,15,40,6,69,5,0,0,5,28,74,6,107,4,0,0,4,27,45,0,77,0,0,0,0,7,16,0,26,0,0,0,0,8,6,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11,104,187,17,317,0,0,0,0,3,4,0,6,0,0,0,0,3,4,5,9,0,0,0,0,9,12,7,35,0,0,0,0,5,3,0,7,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,29,10,65,0,0,0,0,8,10,0,11,0,0,0,0,5,8,5,18,9,0,0,9,26,57,15,102,3,0,0,3,30,77,6,114,3,0,0,3,28,45,0,79
SOSR401,108,1445,11,1564,32750,1507,53,35872,743,1230,24,2001,38357,1855,73,42285,17236,1963,425,19615,64070,4357,227,88267,41726,1415,1121,44269,33978,3654,159,82056,24779,1686,656,27120,45568,3046,151,75880,4533,5352,109,9996,57903,2491,152,70541,789,9419,37,10241,44814,2020,168,57243,140,2470,4,2616,28110,1533,60,32322,9,139,0,152,11408,941,19,12519,90064,25114,2389,117571,356949,21401,1059,496985,175,2418,17,2607,30045,1343,42,34043,1769,2209,97,4083,34787,1642,56,40562,27836,3362,1262,32455,52943,3738,190,89325,50862,2341,2403,55604,26118,3085,138,84941,23166,4171,914,28252,47469,2548,131,78403,2135,14417,171,16723,57482,2214,244,76664,572,15489,81,16145,46950,2192,247,65531,143,2761,15,2916,34933,2269,71,40191,20,146,0,175,18858,1732,25,20777,106673,47310,4973,158958,349586,20751,1148,530439,283,3862,31,4172,62798,2849,92,69913,2516,3441,120,6081,73141,3496,132,82852,45066,5325,1686,52076,117012,8086,418,177588,92586,3753,3527,99873,60096,6736,297,166999,47946,5856,1570,55371,93041,5594,284,154288
SOSR412,15,151,0,158,2708,167,0,3039,122,112,4,235,2558,156,3,2952,1898,165,61,2128,3716,334,13,6198,2976,115,120,3210,2036,296,7,5547,1684,200,54,1930,3772,314,5,6021,256,545,12,813,4842,246,0,5898,47,556,0,605,3873,198,11,4696,11,111,0,118,2360,183,0,2661,0,4,0,4,870,102,0,976,7007,1955,254,9209,26735,1993,43,37982,23,241,0,269,2451,139,0,2862,274,201,8,488,2237,140,0,2869,2717,288,214,3219,2767,294,7,6288,3624,190,235,4048,1672,271,9,6010,1590,552,75,2214,4035,249,7,6501,117,1289,17,1424,4613,243,6,6286,32,849,0,882,4004,223,4,5115,11,150,0,155,3139,263,0,3563,0,6,0,7,1295,205,0,1507,8397,3765,555,12714,26214,2032,42,41002,38,388,0,432,5153,310,0,5899,396,312,16,723,4794,300,3,5824,4620,457,276,5352,6485,630,21,12486,6604,304,359,7264,3704,572,17,11553,3274,745,128,4148,7805,559,10,12526
SOSR413,17,121,4,147,2237,194,4,2578,96,74,3,171,1932,239,0,2341,1266,141,36,1443,2854,752,10,5067,2253,89,91,2434,1821,626,14,4893,1534,165,59,1754,3187,476,14,5427,309,475,11,796,4631,413,8,5842,61,626,0,688,4702,310,7,5704,11,156,0,169,3317,201,5,3691,0,6,0,6,1056,110,5,1177,5548,1862,205,7614,25728,3322,62,36721,15,197,3,212,2036,166,0,2422,237,190,17,439,1676,132,0,2247,2007,209,128,2348,2266,271,7,4896,2839,158,212,3201,1432,269,8,4917,1514,433,74,2025,3368,303,6,5703,147,1103,11,1259,4662,272,9,6198,45,1065,4,1117,5042,295,9,6463,7,181,3,196,3546,270,6,4012,5,7,0,12,1659,151,3,1823,6815,3547,449,10810,25675,2143,49,38676,37,322,4,359,4274,365,7,5004,331,263,16,612,3604,370,4,4590,3275,351,164,3796,5120,1028,20,9963,5090,248,301,5642,3250,900,18,9802,3045,594,130,3776,6558,780,17,11126
SOSR414,3,39,0,39,719,43,0,799,22,18,0,46,611,34,3,694,496,53,12,570,1000,68,4,1639,833,34,31,895,584,81,6,1569,502,46,13,561,1081,79,0,1722,75,161,0,236,1548,79,0,1868,14,246,3,263,1880,89,0,2237,7,46,0,49,1339,90,0,1481,0,3,0,3,399,44,0,443,1950,647,64,2661,9158,606,22,12445,5,62,0,68,655,40,0,759,72,54,0,130,542,17,0,693,717,71,46,835,755,77,8,1671,1099,55,57,1212,487,68,0,1769,461,131,23,621,1175,67,3,1862,33,408,3,443,1622,67,3,2133,11,427,0,443,2081,103,0,2628,0,63,0,59,1448,111,0,1620,0,3,0,9,585,49,0,645,2401,1278,136,3816,9345,605,15,13781,4,98,0,107,1370,77,0,1557,97,72,5,176,1156,54,3,1387,1211,130,57,1396,1755,150,12,3309,1935,86,90,2106,1070,151,3,3340,962,180,36,1174,2257,144,0,3582
SOSR415,19,133,0,150,2638,281,0,3071,115,100,0,218,2396,207,50,2875,1894,158,60,2107,3730,406,266,6504,3246,144,121,3517,2233,398,106,6256,1846,232,42,2119,4306,507,32,6965,373,646,6,1027,6525,525,12,8086,65,862,0,928,6578,456,6,7971,13,169,0,182,4006,388,0,4570,4,6,0,9,1384,166,3,1563,7571,2450,236,10255,33802,3327,477,47861,28,244,6,274,2300,223,0,2798,252,167,11,429,1959,111,8,2504,2862,271,154,3288,2760,394,28,6466,3942,205,251,4399,1738,352,12,6503,1688,581,79,2345,4553,394,7,7300,135,1516,15,1667,6132,397,13,8213,38,1218,5,1261,6387,482,11,8145,10,196,0,213,4629,394,4,5235,0,15,0,18,2217,271,3,2505,8966,4412,523,13895,32676,3017,88,49678,47,372,7,429,4937,506,4,5872,374,260,12,645,4352,320,57,5379,4757,427,215,5390,6490,797,297,12976,7193,350,373,7918,3973,754,122,12768,3532,811,125,4464,8865,893,36,14264
SOSR421,4,30,0,40,689,75,0,807,27,34,3,61,586,50,0,705,484,48,22,556,859,112,6,1534,867,37,31,934,531,145,3,1615,497,73,19,585,1169,147,0,1898,100,226,0,330,1987,160,0,2470,24,238,4,258,2023,168,0,2457,4,30,0,34,1085,124,0,1241,0,0,0,0,385,66,0,452,2005,712,82,2803,9308,1058,13,13180,9,61,0,72,622,77,0,779,55,61,6,120,507,35,0,665,728,89,49,868,649,100,0,1621,1029,76,89,1194,401,111,0,1700,422,166,21,612,1215,126,0,1951,47,497,0,542,1805,138,5,2498,14,318,0,334,1870,155,5,2363,0,51,0,53,1163,113,0,1327,0,0,0,0,593,118,0,711,2301,1326,172,3800,8831,974,16,13612,15,91,3,108,1314,159,0,1583,80,99,10,183,1092,90,4,1368,1211,141,74,1429,1514,215,4,3163,1895,113,121,2129,930,253,5,3316,925,232,37,1199,2389,271,0,3852
SOSR422,4,46,5,51,381,57,0,497,25,36,7,67,330,36,0,436,306,59,25,385,468,83,0,936,431,39,24,500,327,77,0,909,242,68,12,321,821,110,0,1251,46,135,0,189,1379,170,3,1741,9,127,0,137,1456,187,0,1793,4,25,0,27,711,90,0,830,0,3,0,6,174,28,0,202,1072,540,72,1678,6056,843,9,8588,5,65,6,73,287,59,0,423,53,50,14,116,221,31,0,375,404,71,50,531,346,74,0,950,500,59,38,602,259,81,0,939,212,119,15,349,719,100,0,1173,25,305,3,338,1251,155,4,1744,7,167,3,177,1208,152,0,1540,8,17,0,21,643,84,0,757,0,4,0,4,203,35,0,236,1209,863,139,2213,5149,769,5,8138,6,115,5,126,673,117,0,913,81,85,17,185,557,69,5,809,714,127,72,915,814,154,0,1886,938,103,67,1100,592,159,0,1847,452,184,34,667,1539,216,0,2423
SOSR431,16,197,0,216,3778,446,6,4445,95,115,0,216,3068,412,38,3738,2136,196,56,2390,4180,1135,130,7828,4624,150,170,4953,2806,1246,64,9068,3239,357,85,3675,6686,1281,25,11668,601,1089,13,1703,10798,1212,7,13719,101,1174,8,1286,8793,866,13,10961,17,224,0,242,3922,439,5,4611,3,5,0,10,759,90,5,865,10836,3512,342,14685,44793,7127,296,66900,33,319,0,352,3187,402,5,3942,206,211,11,428,2331,228,14,3000,2780,286,169,3233,2658,534,23,6449,5122,270,326,5714,1875,496,11,8098,2632,839,108,3577,6263,733,18,10591,210,2424,14,2653,8570,773,10,12000,61,1758,8,1829,6691,648,11,9174,17,211,0,232,3077,327,3,3641,0,5,0,5,732,114,0,854,11050,6330,643,18023,35379,4258,88,57752,44,518,0,565,6964,852,13,8389,300,331,10,641,5400,645,58,6734,4912,481,231,5624,6834,1661,153,14280,9742,421,502,10665,4681,1749,73,17164,5868,1194,188,7257,12946,2015,34,22253
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,6,4,5,19,0,0,0,0,9,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,22,8,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,6,4,5,19,0,0,0,0,9,7,0,15
SOSR501,192,2861,17,3072,54916,2666,63,60713,1343,1999,46,3384,56421,3527,190,63523,29372,3335,775,33490,95766,8675,548,138475,71692,2526,2028,76248,56556,7519,388,140711,42542,2947,1118,46599,71411,5739,372,124118,7686,8374,205,16271,85684,4324,397,106670,1362,13341,58,14763,65460,3393,342,83955,250,3467,21,3736,38604,2894,118,45355,36,180,0,216,13237,1891,28,15374,154478,39031,4267,197779,538058,40614,2453,778901,305,4646,46,5000,50409,2620,67,58103,3383,3939,195,7519,52126,3017,187,62845,51030,6363,2512,59909,81084,7486,478,148949,89743,4592,5100,99436,43775,6278,242,149730,41204,8074,1868,51148,75912,4819,262,132138,3462,23865,288,27606,83909,3829,513,115861,945,23115,133,24194,65076,3641,446,93356,219,4230,29,4479,44359,3872,140,52848,35,246,0,280,20840,3421,45,24582,190328,79073,10170,279563,517489,38980,2380,838412,501,7504,72,8076,105319,5289,129,118813,4725,5937,239,10897,108550,6540,379,126375,80407,9700,3290,93390,176844,16159,1024,287428,161436,7122,7123,175687,100330,13795,632,290440,83743,11023,2982,97751,147322,10552,635,256255
SOSR511,13,121,0,130,2044,119,4,2300,121,72,4,192,1584,152,0,1932,1280,124,47,1443,2490,439,14,4384,2459,98,109,2665,1580,400,9,4653,1327,140,37,1509,2669,311,6,4504,226,391,9,621,3395,233,5,4253,43,413,0,454,2720,197,0,3372,10,76,0,86,1595,107,3,1790,0,4,0,4,468,89,0,561,5477,1430,207,7109,18548,2048,44,27749,16,207,0,226,2001,104,0,2329,241,135,15,393,1374,89,0,1860,2137,194,167,2499,1934,262,7,4706,3088,161,243,3497,1313,199,4,5014,1306,389,76,1767,3000,207,6,4978,95,1050,15,1155,3253,180,7,4597,30,673,0,705,2827,160,3,3701,12,100,0,112,1853,156,7,2128,6,8,0,11,762,179,0,949,6926,2918,516,10361,18321,1533,41,30255,25,326,4,357,4047,220,6,4627,364,203,16,586,2955,243,3,3786,3415,315,212,3950,4422,704,26,9091,5548,267,346,6161,2893,600,8,9666,2631,534,118,3274,5673,515,9,9478
SOSR512,7,188,3,198,3200,326,0,3724,160,102,12,276,2645,330,13,3265,1992,187,70,2247,4201,941,26,7421,3441,144,130,3714,2788,885,15,7405,2029,192,66,2288,4461,720,8,7470,401,516,17,926,5867,676,21,7488,51,520,0,575,4922,482,8,5986,15,112,0,123,2866,276,9,3271,0,4,0,4,981,144,4,1137,8098,1964,289,10349,31931,4780,110,47164,27,309,4,332,2877,275,3,3485,366,208,26,600,2228,264,7,3096,3077,317,248,3640,3106,643,28,7419,4419,275,339,5026,2130,600,6,7765,1957,612,109,2680,4833,512,11,8038,160,1341,17,1519,5706,526,11,7767,39,940,11,986,4891,447,14,6334,12,153,0,165,3261,336,5,3763,0,14,0,8,1527,223,4,1766,10048,4162,749,14957,30563,3823,84,49428,30,493,3,526,6073,601,3,7209,526,310,36,871,4882,594,15,6364,5062,505,321,5883,7309,1583,56,14837,7857,417,465,8738,4913,1487,19,15166,3988,805,172,4963,9297,1226,22,15506
SOSR513,21,95,6,120,1598,307,0,2029,89,71,4,157,1420,384,14,1978,1443,142,55,1641,3322,1268,82,6316,2860,118,92,3065,2364,1392,45,6867,1356,149,38,1546,3153,1259,21,5979,201,293,0,493,3494,1033,29,5045,20,253,0,275,2484,434,12,3203,6,57,0,66,1041,183,4,1294,0,3,0,0,192,35,0,231,5998,1179,190,7362,19074,6300,199,32940,18,182,0,206,1325,261,4,1793,183,114,14,317,1233,306,23,1882,2240,232,177,2645,2821,1025,59,6542,3039,190,244,3470,1681,784,12,5948,1025,321,57,1409,2615,675,4,4707,78,638,4,721,2899,566,15,4202,10,384,3,393,2226,361,18,3003,0,69,0,74,941,158,0,1173,0,4,0,6,273,47,0,330,6600,2146,506,9243,16016,4185,131,29578,43,281,3,321,2922,566,5,3815,268,184,25,474,2649,696,40,3860,3681,379,230,4286,6140,2294,137,12858,5897,309,330,6535,4052,2181,51,12809,2388,468,99,2957,5763,1937,25,10684
SOSR514,0,38,0,44,722,94,0,856,35,7,0,43,494,58,8,596,404,44,10,456,889,170,28,1549,887,37,43,969,634,148,23,1768,580,42,19,641,910,154,5,1708,90,128,0,220,1270,134,3,1625,16,188,0,197,1276,115,0,1593,3,35,0,44,645,70,0,760,0,0,0,0,181,46,0,221,2014,522,76,2608,7023,985,62,10676,3,62,0,68,594,66,0,729,58,23,7,81,368,56,0,510,666,84,44,798,725,129,3,1649,1215,71,94,1381,539,148,3,2074,557,127,38,723,1069,144,5,1934,37,359,0,399,1276,115,5,1793,8,298,0,309,1196,100,0,1607,0,40,0,47,700,85,3,834,0,7,0,7,271,65,0,340,2549,1073,188,3805,6735,900,20,11464,11,104,0,112,1315,161,0,1589,85,37,7,125,864,117,8,1106,1070,122,56,1253,1609,297,30,3194,2099,110,132,2351,1176,293,23,3836,1136,169,57,1365,1977,297,3,3643
SOSR515,11,142,5,158,2126,375,3,2656,129,91,7,223,1857,316,101,2503,1708,159,74,1941,3388,887,116,6329,2819,129,132,3081,2239,848,48,6208,1500,184,57,1746,3930,888,22,6586,290,404,14,703,5216,748,12,6681,40,409,0,452,5031,539,14,6038,10,64,0,79,2508,297,4,2890,0,3,0,10,662,129,0,808,6511,1590,284,8383,26963,5028,320,40698,25,251,15,288,1823,334,0,2447,307,168,19,489,1467,317,30,2307,2517,270,216,3003,2657,745,66,6480,3389,219,285,3895,1667,702,15,6277,1299,470,93,1858,3616,635,9,6116,105,1000,18,1121,4945,562,22,6649,21,678,3,705,4728,462,15,5912,14,97,0,107,2371,328,3,2808,0,11,0,11,879,209,0,1099,7672,3157,643,11480,24148,4296,160,40084,40,393,17,444,3944,706,4,5104,439,255,22,713,3328,637,128,4808,4225,430,291,4950,6042,1634,181,12807,6210,342,419,6973,3907,1551,57,12491,2799,653,151,3600,7550,1519,32,12696
SOSR521,11,61,0,71,766,132,0,975,71,50,3,126,683,163,7,983,664,82,28,769,1241,516,21,2552,1011,63,56,1131,923,486,8,2557,535,103,21,663,1644,555,0,2863,130,216,3,345,2450,484,4,3281,24,163,0,188,2314,360,0,2866,0,31,0,35,1069,177,0,1281,0,0,0,0,269,46,0,317,2449,775,116,3342,11364,2927,51,17680,17,102,6,126,680,132,4,946,140,79,10,222,521,129,7,877,973,124,91,1187,946,341,31,2504,1192,118,115,1428,713,308,11,2462,455,248,30,738,1536,308,9,2592,54,421,7,481,2207,357,5,3045,12,300,3,317,1953,298,4,2581,0,47,0,46,994,184,0,1226,0,4,0,4,360,61,0,423,2846,1437,261,4554,9917,2117,67,16650,31,163,7,203,1454,267,4,1925,207,131,16,351,1202,290,20,1866,1634,200,119,1960,2189,861,52,5059,2203,185,169,2560,1643,795,20,5022,997,354,54,1404,3181,864,10,5453
SOSR522,11,82,3,91,440,85,0,620,62,75,10,136,415,63,3,621,392,71,47,514,790,183,22,1503,557,80,57,687,567,196,0,1447,307,78,21,403,944,217,0,1563,56,113,4,180,1420,234,0,1832,18,126,0,143,1423,238,0,1806,3,21,0,24,664,109,0,796,0,0,0,0,141,35,0,179,1397,651,142,2181,6803,1361,28,10373,23,110,3,138,368,85,0,587,118,80,26,225,367,71,11,671,527,88,98,706,572,139,21,1436,600,121,111,833,378,137,7,1350,238,169,29,436,788,130,6,1365,31,279,3,313,1299,198,3,1810,14,199,5,213,1170,192,4,1580,3,27,4,32,553,100,0,685,0,3,3,7,148,46,0,198,1551,1078,283,2907,5643,1088,47,9688,32,186,9,226,809,171,0,1204,176,150,32,362,781,130,12,1292,917,163,141,1222,1361,322,45,2939,1157,196,169,1520,943,330,3,2802,540,247,53,835,1734,348,6,2920
SOSR531,21,213,0,239,3985,575,3,4807,122,173,14,309,4018,1552,59,5940,2833,300,98,3234,7735,5447,174,16591,6486,288,254,7028,5533,5459,100,18116,4282,475,129,4888,9995,4934,64,19874,779,1153,31,1966,13656,3581,48,19251,118,1135,4,1261,10521,1482,28,13287,15,182,3,199,4143,531,5,4877,3,0,0,7,742,86,0,840,14663,3924,546,19126,60339,23641,483,103590,26,385,6,418,3299,473,3,4197,206,239,27,471,2701,623,47,3843,2955,406,217,3574,4282,1544,113,9515,5795,364,441,6593,2755,1321,28,10697,2941,929,141,4013,7566,1486,12,13079,280,2530,27,2837,10317,1333,22,14508,62,1669,10,1740,7852,930,14,10535,18,200,3,225,3191,379,0,3797,5,13,0,15,730,69,4,818,12284,6734,872,19884,42698,8152,251,70987,50,598,6,656,7283,1052,7,8998,328,408,39,779,6717,2178,111,9785,5785,706,311,6805,12017,6991,290,26105,12282,651,689,13619,8294,6780,126,28811,7230,1402,274,8902,17564,6416,74,32959
SOSR579,0,0,0,0,8,7,0,14,0,0,0,0,48,28,0,81,35,3,0,37,198,192,24,459,152,0,6,161,333,413,37,945,101,10,4,115,351,376,53,896,9,10,0,21,237,196,24,473,0,5,0,5,73,40,0,119,0,0,0,7,7,0,0,15,0,0,0,0,0,0,0,0,300,30,9,347,1254,1251,143,3002,0,0,0,0,5,3,0,8,0,0,0,0,23,15,0,37,4,3,0,8,52,28,3,94,8,0,0,4,23,20,7,55,0,0,0,3,34,23,0,57,0,0,0,0,55,29,3,86,0,11,0,11,36,11,0,61,0,4,0,4,6,5,0,17,0,0,0,0,0,0,4,3,5,21,0,26,233,123,16,405,0,0,0,0,8,10,0,19,0,4,0,4,75,43,0,121,39,10,0,52,246,224,33,549,154,0,6,165,359,429,37,999,104,9,4,110,387,391,61,951
